"Hs_symbol","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","Heart","dHs_Avg_TPM","FoldChange"
"ELF4","Elf4",0.161356,0.286848,0.225585,22,41,7,0.224596333333333,1.53074,1.53074,0.483888638632706
"ELF5","Elf5",0.712516,1.30983,2.517539,22,50,13,1.513295,0,0,2.513295
"ELFN1","Elfn1",4.595546,5.241603,4.369841,349,499,95,4.73566333333333,0.16446,0.16446,4.92559927634554
"ELFN2","Elfn2",13.255028,11.871048,6.701876,1521,1770,352,10.6093173333333,0.01265,0.01265,11.4642940140555
"ELK1","Elk1",6.163966,4.144278,4.102714,466,461,100,4.80365266666667,12.99235,12.99235,0.414773263009192
"ELK3","Elk3",3.2027,3.056304,1.90758,152,196,38,2.72219466666667,17.05325,17.05325,0.206178647427287
"ELK4","Elk4",29.571384,30.8892,27.570191,504,726,125,29.3435916666667,13.09355,13.09355,2.15301266655077
"ELL","Ell",4.761748,4.933956,3.537004,253,328,74,4.41090266666667,0.70844,0.70844,3.16715990416208
"ELL2","Ell2",15.004272,11.971583,9.021784,419,691,122,11.999213,15.92733,15.92733,0.767942315769823
"ELL3","Ell3",1.106972,1.037267,1.322849,43,66,14,1.155696,4.60488,4.60488,0.384610553660382
"ELMO1","Elmo1",29.723496,26.775049,28.81444,2075,2840,643,28.4376616666667,18.44483,18.44483,1.51390686710384
"ELMO2","Elmo2",45.509765,38.606552,44.399994,2114,2702,705,42.8387703333333,31.72815,31.72815,1.33948207684618
"ELMO3","Elmo3",3.23572,2.830267,2.456118,66,93,22,2.84070166666667,0.03795,0.03795,3.70027618542961
"ELMOD1","Elmod1",54.125012,37.957885,49.217012,2602,2773,736,47.0999696666667,0.58194,0.58194,30.4056852135142
"ELMOD2","Elmod2",6.354372,7.155537,5.721138,536,862,153,6.410349,22.56899,22.56899,0.314410969668195
"ELMOD3","Elmod3",12.35047,7.074323,10.083851,330,451,115,9.83621466666667,13.8273,13.8273,0.730828584210657
"ELN","Eln",2.809913,1.412828,2.633008,175,155,59,2.28524966666667,10.03207,10.03207,0.297790864875465
"ELOF1","Elof1",25.054436,22.507536,31.129595,366,485,145,26.2305223333333,16.40806,16.40806,1.56424795947012
"ELOVL1","Elovl1",31.387698,37.257201,39.392068,671,1142,270,36.0123223333333,48.832,48.832,0.742742059988227
"ELOVL2","Elovl2",6.635649,5.280502,5.922945,538,644,151,5.94636533333333,7.38805,7.38805,0.828126362305105
"ELOVL3","Elovl3",0,0.017534,0,0,1,0,0.00584466666666667,0.20241,0.20241,0.836523870116405
"ELOVL4","Elovl4",18.386809,15.290865,17.332793,1119,1423,328,17.003489,0.54398,0.54398,11.6604418451016
"ELOVL5","Elovl5",52.259544,67.333453,57.7203,2104,4368,714,59.1044323333333,41.84877,41.84877,1.40271079737723
"ELOVL6","Elovl6",14.061837,10.48994,10.903819,1725,1987,444,11.818532,5.18682,5.18682,2.07190964017056
"ELOVL7","Elovl7",11.011195,14.825054,10.965008,784,1677,276,12.2670856666667,0.46808,0.46808,9.03703181479665
"ELP2","Elp2",45.71536,33.024958,40.800703,1627,1904,447,39.847007,55.95439,55.95439,0.717188034144515
"ELP3","Elp3",23.411302,19.06062,24.421678,1416,1734,465,22.2978666666667,47.42776,47.42776,0.481084953478473
"ELP4","Elp4",6.80999,10.225492,7.059013,231,333,70,8.03149833333333,19.95028,19.95028,0.431092010862544
"ELP5","Elp5",37.986503,36.448569,63.5606,576,731,235,45.9985573333333,39.98911,39.98911,1.14661082744498
"ELP6","Elp6",4.142272,5.048883,2.783721,114,177,30,3.99162533333333,16.193,16.193,0.290328932317416
"EMB","Emb",14.425151,11.665261,11.347584,809,1030,215,12.479332,13.09355,13.09355,0.956418503499828
"EMC1","Emc1",17.405156,14.31361,15.447745,1348,1854,455,15.7221703333333,25.2383,25.2383,0.637319122554942
"EMC10","Emc10",62.11739,57.256623,70.697269,2054,2887,746,63.357094,18.43218,18.43218,3.31188235185141
"EMC2","Emc2",32.783222,28.860924,33.083278,748,981,237,31.575808,106.91172,106.91172,0.301874606391224
"EMC3","Emc3",25.416952,24.774839,29.083623,1004,1476,369,26.425138,163.41009,163.41009,0.166809336336961
"EMC4","Emc4",62.708818,56.598742,68.439725,1073,1458,370,62.5824283333333,192.10206,192.10206,0.329268513931614
"EMC6","Emc6",23.175207,18.481592,26.663204,461,550,150,22.7733343333333,46.3651,46.3651,0.501916692529591
"EMC7","Emc7",13.912816,11.865565,14.610246,1768,2261,581,13.4628756666667,121.1565,121.1565,0.118396284001806
"EMC8","Emc8",35.292293,35.856954,29.838729,1270,1820,349,33.6626586666667,15.07973,15.07973,2.15567417280431
"EMC9","Emc9",51.478068,46.570319,78.670599,413,576,154,58.9063286666667,6.36334,6.36334,8.13575478881413
"EMCN","Emcn",6.327355,4.457767,8.208024,157,159,43,6.33104866666667,74.71549,74.71549,0.0968236310253908
"EMD","Emd",16.536374,11.504695,16.933309,373,444,117,14.9914593333333,24.54251,24.54251,0.626072352847599
"EME1","Eme1",0.058092,0.064425,0.416636,3,5,3,0.179717666666667,0.8476,0.8476,0.638513567150177
"EME2","Eme2",15.61798,14.846917,14.195446,792,1174,224,14.886781,1.25243,1.25243,7.05317412749786
"EMG1","Emg1",21.629501,22.834929,25.938224,336,473,110,23.4675513333333,50.31214,50.31214,0.47683747614762
"EMID1","Emid1",4.060067,1.938157,1.829647,79,72,21,2.60929033333333,0.17711,0.17711,3.06623028717226
"EMILIN1","Emilin1",0.816499,0.530236,1.931707,31,37,10,1.092814,0.67049,0.67049,1.25281444366623
"EMILIN2","Emilin2",6.020948,18.178483,6.271467,320,987,111,10.156966,7.23624,7.23624,1.35461885520577
"EMILIN3","Emilin3",0,0.008862,0,0,1,0,0.002954,6.16093,6.16093,0.140059182257053
"EML1","Eml1",82.772122,104.634638,133.670831,2072,3841,819,107.025863666667,25.89614,25.89614,4.01640769518104
"EML2","Eml2",121.61793,120.063585,98.786481,3844,5748,1401,113.489332,9.7917,9.7917,10.6090173003327
"EML3","Eml3",17.19215,12.242441,13.918286,350,460,139,14.450959,12.17005,12.17005,1.17318909191689
"EML4","Eml4",7.107299,4.923338,5.425185,744,789,181,5.81860733333333,7.41336,7.41336,0.810449966878076
"EML5","Eml5",37.384023,23.98278,18.272381,1298,1298,202,26.5463946666667,3.08679,3.08679,6.74034992418663
"EML6","Eml6",19.840474,11.482501,11.487065,794,922,163,14.2700133333333,0.12651,0.12651,13.5551511600726
"EMP1","Emp1",1.944908,2.454268,3.074338,103,187,55,2.49117133333333,51.07119,51.07119,0.0670461215373287
"EMP2","Emp2",5.980786,4.719253,6.075141,451,531,144,5.59172666666667,32.41129,32.41129,0.197290396948656
"EMP3","Emp3",5.246916,6.742147,4.168645,26,45,8,5.38590266666667,24.416,24.416,0.251255219809044
"EMX1","Emx1",0.167356,0.027225,0,4,1,0,0.0648603333333333,0,0,1.06486033333333
"EMX2","Emx2",0,0,0,0,0,0,0,0.46808,0.46808,0.681161789548253
"EN1","En1",0.431746,0.377002,0.379896,22,29,6,0.396214666666667,0,0,1.39621466666667
"EN2","En2",0.422369,0.852794,0.932271,28,87,19,0.735811333333333,0,0,1.73581133333333
"ENAH","Enah",60.419447,41.704125,42.66571,4764,5690,1133,48.263094,55.01823,55.01823,0.879411827185543
"ENAM","Enam",0,0,0,0,0,0,0,5.83201,5.83201,0.14636980917768
"ENC1","Enc1",9.610752,8.486238,5.839838,1002,1316,192,7.97894266666667,6.02177,6.02177,1.27872924727906
"ENDOD1","Endod1",84.551831,82.169548,78.20621,6996,10706,2276,81.6425296666667,17.54663,17.54663,4.45593240748679
"ENDOG","Endog",12.831203,11.686164,21.333543,219,301,114,15.2836366666667,4.1115,4.1115,3.18568652385145
"ENDOU","Endou",0.454145,1.068412,0.497788,19,74,8,0.673448333333333,0.53133,0.53133,1.09280712409039
"ENDOV","Endov",5.301769,4.43327,4.633993,365,507,94,4.78967733333333,7.02118,7.02118,0.721798704596248
"ENG","Eng",13.981606,12.006079,18.773434,434,531,197,14.920373,28.80582,28.80582,0.534136386786205
"ENGASE","Engase",7.339924,4.86513,6.676807,216,240,71,6.29395366666667,6.37599,6.37599,0.98887792237607
"ENHO","Enho",55.918812,55.621498,81.512418,1126,1726,505,64.3509093333333,0,0,65.3509093333333
"ENKUR","Enkur",2.260411,1.412753,1.447236,40,42,10,1.7068,0,0,2.7068
"ENO1","Eno1",633.888931,574.339161,701.940102,8327,11132,3226,636.722731333333,74.72814,74.72814,8.42121213241648
"ENO2","Eno2",550.313022,442.071508,516.752099,13791,16174,4369,503.045543,23.23948,23.23948,20.7944041291315
"ENO3","Eno3",11.740255,10.839322,7.739904,145,152,31,10.1064936666667,310.76635,310.76635,0.0356244144586697
"ENO4","Eno4",2.428657,1.150962,2.593235,93,76,28,2.057618,0.20241,0.20241,2.54290799311383
"ENOPH1","Enoph1",14.121233,16.428162,16.430959,489,846,180,15.660118,32.90467,32.90467,0.491381216805826
"ENOX1","Enox1",4.007532,4.082365,5.189897,253,384,80,4.426598,4.17476,4.17476,1.04866660482805
"ENOX2","Enox2",2.917668,3.58209,3.467523,164,256,59,3.322427,10.10797,10.10797,0.389128436609029
"ENPEP","Enpep",3.077663,2.498273,3.333871,143,238,50,2.96993566666667,17.33157,17.33157,0.216562774855982
"ENPP1","Enpp1",3.981078,4.058268,3.815129,480,835,169,3.95149166666667,4.65549,4.65549,0.875519480481208
"ENPP2","Enpp2",136.341063,173.275365,152.231341,7965,15261,2928,153.949256333333,9.23507,9.23507,15.139051939394
"ENPP3","Enpp3",0.657753,1.327742,0.774281,25,80,10,0.919925333333333,0.36687,0.36687,1.40461443541327
"ENPP4","Enpp4",11.806723,16.974455,13.382304,1119,2432,394,14.054494,23.85937,23.85937,0.605586304077698
"ENPP5","Enpp5",69.863021,61.16106,63.726348,4617,5868,1296,64.9168096666667,5.59164,5.59164,10.0000621494297
"ENPP6","Enpp6",12.016951,20.347545,11.333673,706,2031,247,14.5660563333333,0.29097,0.29097,12.057643735589
"ENPP7","Enpp7",0,0,0,0,0,0,0,0,0,1
"ENSA","Ensa",45.565924,37.725067,41.213157,2883,3854,889,41.5013826666667,195.47981,195.47981,0.216314249625275
"ENTPD1","Entpd1",22.653791,29.234264,20.873329,205,271,80,24.2537946666667,7.51456,7.51456,2.96595416165564
"ENTPD2","Entpd2",6.405962,7.622327,8.095633,249,364,85,7.37464066666667,0.49338,0.49338,5.60784305847585
"ENTPD4","Entpd4",55.417688,46.19446,54.448984,3361,4052,1045,52.0203773333333,31.34863,31.34863,1.63903007123743
"ENTPD5","Entpd5",20.806818,16.491441,11.859203,1258,1883,357,16.3858206666667,15.72492,15.72492,1.03951592394264
"ENTPD7","Entpd7",3.015744,2.573282,3.338444,300,434,96,2.97582333333333,1.21447,1.21447,1.79538369602358
"ENTPD8","Entpd8",0,0,0,0,0,0,0,0,0,1
"ENY2","Eny2",33.546966,27.947038,33.213665,796,1001,236,31.569223,146.3695,146.3695,0.221003823722005
"EOGT","Eogt",16.593813,11.583208,12.881583,531,740,162,13.6862013333333,21.98705,21.98705,0.638890215722911
"EOMES","Eomes",0,0.023668,0,0,2,0,0.00788933333333333,0.26567,0.26567,0.796328690206241
"EP300","Ep300",21.398188,15.605637,8.001817,1143,1368,230,15.0018806666667,9.53869,9.53869,1.51839371560096
"EP400","Ep400",15.898598,12.676563,11.622926,1545,1772,348,13.3993623333333,5.6802,5.6802,2.15552862688742
"EPAS1","Epas1",71.530687,61.249295,59.877161,2974,3728,1022,64.2190476666667,253.0029,253.0029,0.25676497263089
"EPB41","Epb41",25.855432,21.106724,22.097057,2558,3155,634,23.0197376666667,16.67372,16.67372,1.35906519208557
"EPB41L1","Epb41l1",102.772473,82.400253,82.768165,12924,16000,3442,89.3136303333333,17.34422,17.34422,4.9232744882766
"EPB41L2","Epb41l2",54.768533,47.442482,43.153445,2000,3085,618,48.45482,118.53779,118.53779,0.413717034587974
"EPB41L3","Epb41l3",212.024408,213.03055,206.724419,10772,15145,3458,210.593125666667,7.09709,7.09709,26.1319962686183
"EPB41L4A","Epb41l4a",1.795313,2.646004,1.40076,72,148,34,1.947359,14.73816,14.73816,0.187274687765279
"EPB41L4B","Epb41l4b",13.884318,8.52078,7.413452,1270,1340,304,9.93951666666667,8.53927,8.53927,1.14678761232952
"EPB41L5","Epb41l5",2.062953,1.86894,1.182648,210,259,54,1.704847,15.15563,15.15563,0.167424421084167
"EPB42","Epb42",0.068498,0.2016,0.10604,3,10,1,0.125379333333333,0.97411,0.97411,0.570069212624085
"EPC1","Epc1",9.132574,7.911042,4.763135,511,718,129,7.268917,33.79023,33.79023,0.237679285247611
"EPC2","Epc2",12.824438,8.44662,7.951459,600,614,132,9.740839,26.87025,26.87025,0.385387249845265
"EPCAM","Epcam",0.087284,0.077143,0,3,4,0,0.054809,1.39159,1.39159,0.441049260115655
"EPDR1","Epdr1",68.513484,57.640127,71.4635,2481,3106,844,65.8723703333333,92.64164,92.64164,0.714130704388916
"EPG5","Epg5",6.489295,4.615025,5.768211,1170,1418,240,5.624177,13.13151,13.13151,0.468752242329376
"EPGN","Epgn",0,0,0,0,0,0,0,0.58194,0.58194,0.632135226367625
"EPHA1","Epha1",0.246955,0.307638,0.099448,17,33,2,0.218013666666667,0.67049,0.67049,0.729135563018436
"EPHA10","Epha10",16.711993,12.310658,12.447997,1138,1370,347,13.8235493333333,0.01265,0.01265,14.6383739034546
"EPHA2","Epha2",1.282303,0.680706,0.551389,45,46,15,0.838132666666667,1.6952,1.6952,0.682002325121203
"EPHA3","Epha3",0.327476,0.319661,0.332615,37,42,6,0.326584,7.2995,7.2995,0.159839026447376
"EPHA4","Epha4",6.009778,5.059822,3.655348,622,797,151,4.908316,28.99558,28.99558,0.196972887338735
"EPHA5","Epha5",5.996836,5.606315,4.552758,671,1047,169,5.385303,0.17711,0.17711,5.42455930201935
"EPHA6","Epha6",1.83606,1.691805,0.44114,131,187,12,1.32300166666667,0.08856,0.08856,2.1340134367115
"EPHA7","Epha7",2.696388,2.732182,4.334137,171,244,46,3.25423566666667,10.17123,10.17123,0.380820703420005
"EPHA8","Epha8",1.343299,0.86637,1.027556,142,141,34,1.079075,0,0,2.079075
"EPHB1","Ephb1",11.811241,17.453198,18.177307,1021,2031,361,15.8139153333333,1.73316,1.73316,6.15182255460102
"EPHB2","Ephb2",3.093283,2.375822,4.596458,382,440,102,3.35518766666667,0.11386,0.11386,3.90999557095745
"EPHB3","Ephb3",1.82657,1.526506,2.496578,117,109,37,1.94988466666667,0.22771,0.22771,2.40275363617358
"EPHB4","Ephb4",1.48157,1.000022,2.085359,128,134,57,1.522317,8.27361,8.27361,0.271988686175071
"EPHB6","Ephb6",27.844087,23.685569,29.977738,874,1026,294,27.1691313333333,2.23919,2.23919,8.69635042505482
"EPHX1","Ephx1",22.98594,29.774496,29.72909,523,888,222,27.4965086666667,44.42953,44.42953,0.62726840155878
"EPHX2","Ephx2",3.331684,3.078335,4.756394,140,192,63,3.72213766666667,50.16033,50.16033,0.0923007663685255
"EPHX3","Ephx3",0.220425,0.210347,0.199512,11,16,3,0.210094666666667,0.15181,0.15181,1.05060267463094
"EPHX4","Ephx4",6.620714,5.861008,9.367899,114,147,46,7.283207,0.18976,0.18976,6.96208226869285
"EPM2A","Epm2a",8.820354,6.931235,7.229759,600,706,154,7.66044933333333,57.58634,57.58634,0.147823696331488
"EPM2AIP1","Epm2aip1",25.001321,22.733077,17.752338,3691,5087,816,21.828912,40.30538,40.30538,0.552686163400506
"EPN1","Epn1",121.686689,97.192083,107.944913,2459,3183,842,108.941228333333,11.20859,11.20859,9.00523552132829
"EPN2","Epn2",38.400853,42.034494,29.503732,1829,3003,627,36.6463596666667,50.22359,50.22359,0.734941843526911
"EPN3","Epn3",5.134149,3.744003,6.766625,221,259,73,5.21492566666667,4.18741,4.18741,1.19807874578386
"EPO","Epo",0,0,0,0,0,0,0,0,0,1
"EPOR","Epor",0.335085,0.484339,0.356758,12,23,4,0.392060666666667,6.60371,6.60371,0.183076506950774
"EPPIN","Wfdc6a",0.154883,0,0,2,0,0,0.0516276666666667,0,0,1.05162766666667
"EPPK1","Eppk1",0.029273,0.031675,0.047354,8,14,4,0.0361006666666667,0.03795,0.03795,0.998218282833149
"EPS15","Eps15",217.625882,170.728619,195.268403,5024,7250,1373,194.540968,54.66401,54.66401,3.51287965060368
"EPS15L1","Eps15l1",21.59798,17.219863,18.912606,1165,1327,344,19.243483,34.35951,34.35951,0.572504624639878
"EPS8","Eps8",12.735559,11.468493,14.204339,704,869,184,12.802797,54.62606,54.62606,0.24813544227292
"EPS8L1","Eps8l1",22.358,19.017354,9.568825,156,178,42,16.981393,0.48073,0.48073,12.1436001161589
"EPS8L2","Eps8l2",1.860753,1.33497,1.882607,47,59,21,1.69277666666667,0.06325,0.06325,2.53259032839564
"EPS8L3","Eps8l3",0,0,0.066681,0,0,1,0.022227,0.0506,0.0506,0.972993527508091
"EPSTI1","Epsti1",0.276305,0.125942,0.437728,10,7,4,0.279991666666667,5.26272,5.26272,0.204382706981418
"EPX","Epx",0.491236,0.185,0.665283,14,16,5,0.447173,0,0,1.447173
"EPYC","Epyc",0,0.06453,0.330687,0,3,3,0.131739,0.06325,0.06325,1.0644147660475
"ERAL1","Eral1",8.956187,8.677781,8.360346,312,388,110,8.66477133333333,45.34039,45.34039,0.20856042284783
"ERAP1","Erap1",8.694587,12.479543,10.73358,306,434,115,10.6359033333333,37.62341,37.62341,0.301265562345048
"ERAS","Eras",0,0,0,0,0,0,0,0,0,1
"ERBB2","Erbb2",1.545292,0.409942,0.98243,65,46,15,0.979221333333333,25.31421,25.31421,0.0752149250664692
"ERBB3","Erbb3",4.432954,4.499346,4.400694,593,908,186,4.44433133333333,8.24831,8.24831,0.588683914502578
"ERBB4","Erbb4",3.929516,3.819524,2.959663,943,1450,223,3.56956766666667,2.55546,2.55546,1.28522544668388
"ERC1","Erc1",4.613122,3.126447,3.496387,629,699,165,3.74531866666667,22.58164,22.58164,0.201229374490776
"ERC2","Erc2",11.461135,7.163729,9.878553,766,898,155,9.501139,1.34098,1.34098,4.48578757614332
"ERCC1","Ercc1",30.836193,25.555461,38.72615,200,282,74,31.7059346666667,41.35539,41.35539,0.772178810457575
"ERCC2","Ercc2",35.655557,36.946369,23.183198,439,519,149,31.9283746666667,3.61812,3.61812,7.13025531312887
"ERCC3","Ercc3",10.323047,9.146909,14.100806,559,584,163,11.190254,47.2127,47.2127,0.252843213510133
"ERCC4","Ercc4",6.16185,5.567567,5.906623,487,605,151,5.87868,4.44042,4.44042,1.2643656188309
"ERCC5","Ercc5",6.489611,6.743063,3.867834,412,536,101,5.70016933333333,38.61017,38.61017,0.169152753783519
"ERCC6","Ercc6",4.541198,2.297563,3.761994,435,532,101,3.533585,5.18682,5.18682,0.732781137967486
"ERCC6L","Ercc6l",0.101718,0.100787,0.11648,12,18,4,0.106328333333333,0.03795,0.03795,1.06587825360888
"ERCC6L2","Ercc6l2",9.678625,8.635362,10.896873,573,785,162,9.73695333333333,19.52015,19.52015,0.523239514980803
"ERCC8","Ercc8",6.613006,4.912106,6.283767,207,215,67,5.936293,10.71521,10.71521,0.592075856941531
"EREG","Ereg",0,0.007621,0,0,1,0,0.00254033333333333,0,0,1.00254033333333
"ERF","Erf",3.950058,4.400207,4.895893,207,394,78,4.415386,1.82171,1.82171,1.91918588373717
"ERG","Erg",2.085598,2.018361,2.145677,101,156,33,2.083212,13.28332,13.28332,0.215861018306668
"ERGIC1","Ergic1",27.985417,22.412242,26.668312,1117,1407,342,25.688657,64.43041,64.43041,0.407893775998041
"ERGIC2","Ergic2",55.238768,53.00911,38.449029,827,1002,215,48.898969,143.56102,143.56102,0.345175822638772
"ERGIC3","Ergic3",147.437003,119.95859,200.446982,1256,1561,476,155.947525,58.19358,58.19358,2.6514281616351
"ERH","Erh",22.514783,17.793206,23.32264,252,298,75,21.2102096666667,192.69664,192.69664,0.114664919673706
"ERI1","Eri1",2.88706,3.205846,1.86923,242,337,65,2.65404533333333,6.07237,6.07237,0.516664899225201
"ERI2","Eri2",3.10943,2.587388,2.677747,191,239,44,2.79152166666667,17.38217,17.38217,0.206260831374461
"ERI3","Eri3",392.671961,327.452151,597.216084,1021,1388,412,439.113398666667,29.43836,29.43836,14.4591692412688
"ERLEC1","Erlec1",29.616657,27.699874,42.657099,869,1151,241,33.3245433333333,73.47572,73.47572,0.460882329614716
"ERLIN1","Erlin1",24.573608,4.103387,19.508255,273,258,74,16.06175,14.18152,14.18152,1.12384991753131
"ERLIN2","Erlin2",42.071082,55.680631,34.450321,1015,1674,295,44.0673446666667,25.9847,25.9847,1.67010730772129
"ERMAP","Ermap",0.096599,0.185775,0.051402,9,17,1,0.111258666666667,6.12298,6.12298,0.156010358960248
"ERMN","Ermn",51.389812,74.792817,56.188258,3832,8663,1293,60.7902956666667,0.20241,0.20241,51.3887074015242
"ERMP1","Ermp1",31.165596,31.266753,27.232473,2641,4264,796,29.888274,28.5022,28.5022,1.04698205557552
"ERN1","Ern1",2.098971,1.55165,1.283829,315,326,63,1.64481666666667,1.60665,1.60665,1.01464203735318
"ERN2","Ern2",0.206072,0.064034,0.149735,13,6,3,0.139947,0,0,1.139947
"ERP27","Erp27",0,0.073168,0.070488,0,2,1,0.0478853333333333,0.34157,0.34157,0.781088823791031
"ERP29","Erp29",45.994025,39.464419,51.114893,864,1118,315,45.5244456666667,80.53485,80.53485,0.570608097846095
"ERP44","Erp44",19.888047,20.364674,14.807559,516,706,151,18.3534266666667,26.02265,26.02265,0.71619277408643
"ERRFI1","Errfi1",20.969475,17.521256,20.340466,1336,1647,395,19.610399,19.5834,19.5834,1.00131168805931
"ERVFRD-1","Synb",0.145478,0.158788,0.124129,13,21,4,0.142798333333333,0.0506,0.0506,1.08775778919982
"ESAM","Esam",76.789108,62.929424,94.177769,269,344,110,77.9654336666667,37.07943,37.07943,2.07370314279039
"ESCO1","Esco1",5.360718,4.766737,6.180696,314,378,85,5.43605033333333,8.21035,8.21035,0.698784555780544
"ESCO2","Esco2",0.315715,0.467644,0.149568,7,15,3,0.310975666666667,0.32892,0.32892,0.986497055252887
"ESD","Esd",91.250514,83.139088,113.173474,1010,1328,368,95.8543586666667,315.42184,315.42184,0.306092520878668
"ESF1","Esf1",8.223526,6.391128,6.144946,483,555,131,6.91986666666667,18.72315,18.72315,0.401551814323101
"ESM1","Esm1",0.076716,0.065892,0.081575,3,4,1,0.0747276666666667,0.0759,0.0759,0.998910369613037
"ESPL1","Espl1",1.19467,1.287943,2.852884,26,47,5,1.778499,0.0253,0.0253,2.7099375792451
"ESPN","Espn",1.533057,1.320436,1.936438,69,80,24,1.59664366666667,0.13916,0.13916,2.27943718763533
"ESPNL","Espnl",0.049101,0.059464,0,6,11,0,0.0361883333333333,0,0,1.03618833333333
"ESR1","Esr1",1.605497,1.072651,0.634683,175,202,27,1.104277,1.70785,1.70785,0.777102498292003
"ESR2","Esr2",0.143625,0.083394,0.06216,9,8,1,0.096393,1.29038,1.29038,0.478694801735956
"ESRP1","Esrp1",0.024996,0.207788,0.081573,2,19,2,0.104785666666667,0.25302,0.25302,0.881698350119445
"ESRP2","Esrp2",0.118334,0,0.082606,2,0,2,0.06698,0.61989,0.61989,0.658674354431474
"ESRRA","Esrra",25.971608,21.79837,32.02342,835,1122,322,26.5977993333333,11.91703,11.91703,2.13654372044761
"ESRRB","Esrrb",2.455887,2.010599,2.696541,213,267,79,2.38767566666667,8.22301,8.22301,0.36730694932204
"ESRRG","Esrrg",15.407846,13.165371,12.213071,1400,2017,402,13.5954293333333,24.66902,24.66902,0.568600956847333
"ESYT1","Esyt1",27.054818,23.488061,29.982724,2009,2620,637,26.8418676666667,23.01176,23.01176,1.15950965971119
"ESYT2","Esyt2",16.36227,12.630956,14.962276,898,1141,250,14.651834,37.59811,37.59811,0.405507782634953
"ESYT3","Esyt3",1.082764,0.994973,1.004118,78,146,13,1.027285,1.22713,1.22713,0.910267923291411
"ETAA1","Etaa1",1.744611,1.291985,1.626672,149,171,43,1.55442266666667,15.45925,15.45925,0.155196783976589
"ETF1","Etf1",16.271923,14.365582,15.043575,1298,1728,375,15.2270266666667,92.76815,92.76815,0.173054781038835
"ETFA","Etfa",44.626718,39.772538,55.602208,656,888,204,46.6671546666667,792.02723,792.02723,0.0601078410216339
"ETFB","Etfb",86.709829,89.153635,105.752917,450,648,167,93.872127,31.57634,31.57634,2.91230159680308
"ETFDH","Etfdh",13.314952,12.811591,12.236342,607,883,187,12.7876283333333,315.48509,315.48509,0.0435648590375405
"ETHE1","Ethe1",5.456366,4.579054,5.815888,158,201,53,5.28376933333333,6.86937,6.86937,0.798509834120563
"ETNK1","Etnk1",69.279814,58.86411,55.810186,9520,12287,2394,61.3180366666667,4.8832,4.8832,10.5925409074427
"ETNK2","Etnk2",2.141282,2.137303,5.424435,73,99,27,3.23434,2.15063,2.15063,1.34396612740944
"ETS1","Ets1",2.503521,1.852974,2.514337,204,270,81,2.29027733333333,50.81817,50.81817,0.0634965945986385
"ETS2","Ets2",13.064707,7.248673,11.037998,638,613,172,10.4504593333333,38.04089,38.04089,0.293294013874513
"ETV1","Etv1",11.395489,16.327338,10.202316,1059,2144,302,12.6417143333333,42.69637,42.69637,0.312193308811083
"ETV2","Etv2",0,0,0,0,0,0,0,0,0,1
"ETV3","Etv3",5.319548,4.102713,4.038004,579,683,140,4.486755,9.65254,9.65254,0.515065421016959
"ETV4","Etv4",7.306158,6.733375,8.109346,202,232,64,7.38295966666667,0.16446,0.16446,7.19901041398302
"ETV5","Etv5",14.9324,13.395366,16.331423,775,905,222,14.8863963333333,4.56693,4.56693,2.85370865689587
"ETV6","Etv6",3.134663,2.440817,5.495862,361,421,123,3.69044733333333,6.40129,6.40129,0.633733759024891
"EVC","Evc",7.257277,4.262722,4.709661,254,281,71,5.40988666666667,1.46749,1.46749,2.59773562067796
"EVC2","Evc2",3.615785,2.016469,3.70695,194,179,80,3.113068,0.75905,0.75905,2.33823256871607
"EVI2A","Evi2a",46.537793,56.047044,55.74595,863,1719,367,52.776929,3.2639,3.2639,12.6121459227468
"EVI2B","Evi2b",0.537215,0.638123,0.768174,20,35,9,0.647837333333333,8.51397,8.51397,0.17320186350528
"EVI5","Evi5",27.35818,23.81907,18.698854,1538,1859,391,23.2920346666667,9.39953,9.39953,2.33587812782565
"EVL","Evl",52.73439,43.924005,61.203707,1040,1270,311,52.6207006666667,39.21741,39.21741,1.33327085624526
"EVPL","Evpl",1.409006,0.986116,1.080564,204,220,49,1.158562,0.01265,0.01265,2.13159729422802
"EVX1","Evx1",0.536381,0.617815,0.222034,26,33,4,0.458743333333333,0,0,1.45874333333333
"EVX2","Evx2",0.164414,0.106096,0.204786,10,13,5,0.158432,0,0,1.158432
"EWSR1","Ewsr1",211.58833,292.788457,207.547406,2678,3684,732,237.308064333333,165.33301,165.33301,1.43271659866754
"EXD1","Exd1",1.175982,0.667028,0.933444,88,118,25,0.925484666666667,0,0,1.92548466666667
"EXD2","Exd2",34.412446,25.849709,19.954333,929,1128,229,26.7388293333333,20.3804,20.3804,1.29739524673689
"EXO1","Exo1",0.374622,0.426045,0.074816,13,24,4,0.291827666666667,0.15181,0.15181,1.12156316290592
"EXOC1","Exoc1",57.913037,45.05332,38.660037,1096,1428,274,47.208798,37.81317,37.81317,1.24207319319705
"EXOC2","Exoc2",10.694119,9.175272,7.462292,995,1272,219,9.110561,11.68932,11.68932,0.796777211071988
"EXOC3","Exoc3",33.124942,31.586132,30.802579,2023,2510,557,31.8378843333333,18.96352,18.96352,1.64489450424241
