"Hs_symbol","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"B3GAT2","B3gat2",2.964062,2.006897,2.1581,354,371,82,2.376353,16.45103,16.45103,0.193475857872
"B3GAT3","B3gat3",42.642644,36.946987,51.124711,1251,1632,477,43.5714473333333,64.14449,64.14449,0.684193664473132
"B3GNT3","B3gnt3",0.226376,0.192755,0.287905,15,19,6,0.235678666666667,0.10373,0.10373,1.11954795707887
"B3GNT4","B3gnt4",0.070143,0.779482,0.883721,2,32,8,0.577782,6.97042,6.97042,0.197954687456872
"B3GNT5","B3gnt5",0.286904,0.082417,1.389238,20,12,7,0.586186333333333,4.93738,4.93738,0.267152571223896
"B3GNT6","B3gnt6",0.339704,0.252296,0.320376,17,19,5,0.304125333333333,0.37342,0.37342,0.94954590244305
"B3GNT7","B3gnt7",0.182233,0.245977,0.115314,10,20,2,0.181174666666667,7.46831,7.46831,0.139481746259486
"B3GNT8","B3gnt8",0.402578,0.391941,0.460571,26,29,11,0.418363333333333,0.41491,0.41491,1.00244067349396
"B3GNT9","B3gnt9",1.602642,1.88121,2.663521,79,139,35,2.04912433333333,10.41414,10.41414,0.267135704777875
"B3GNTL1","B3gntl1",1.725266,1.391372,2.118437,97,124,35,1.745025,42.59012,42.59012,0.0629735591459716
"B4GALNT1","B4galnt1",19.501035,16.266601,22.718291,913,1125,330,19.495309,21.82406,21.82406,0.897969467307745
"B4GALNT2","B4galnt2",0.115087,0.057947,0.091021,4,3,1,0.0880183333333333,0,0,1.08801833333333
"B4GALNT3","B4galnt3",0.170004,0.134502,0.120016,12,15,3,0.141507333333333,5.20707,5.20707,0.183904375709205
"B4GALNT4","B4galnt4",14.017439,9.293755,14.381918,530,552,141,12.5643706666667,214.92139,214.92139,0.062820875072482
"B4GALT1","B4galt1",1.205662,0.995001,1.195142,97,120,32,1.131935,4.58471,4.58471,0.381744978700774
"B4GALT2","B4galt2",8.608652,8.28672,9.87588,355,408,116,8.92375066666667,95.22096,95.22096,0.103135020339297
"B4GALT3","B4galt3",16.777068,15.932089,19.281423,344,502,125,17.3301933333333,20.03997,20.03997,0.871208149694764
"B4GALT4","B4galt4",9.992073,9.426576,7.325954,265,348,72,8.91486766666667,20.82829,20.82829,0.454220997919061
"B4GALT5","B4galt5",22.551807,21.358746,21.19732,854,1105,288,21.7026243333333,14.93662,14.93662,1.4245570474375
"B4GALT6","B4galt6",18.423605,14.467911,13.938274,2209,2628,520,15.60993,7.01191,7.01191,2.07315484073086
"B4GALT7","B4galt7",7.622953,6.344172,8.057971,306,382,106,7.34169866666667,16.65848,16.65848,0.472390526628943
"B9D1","B9d1",12.557309,11.223456,8.894108,92,143,19,10.8916243333333,23.75338,23.75338,0.480404063337344
"B9D2","B9d2",21.998121,16.642133,13.094582,139,168,43,17.2449453333333,4.79217,4.79217,3.14993263894764
"BAALC","Baalc",42.62771,31.459743,45.631292,2300,2507,773,39.9062483333333,1263.9701,1263.9701,0.0323377195503145
"BAAT","Baat",0,0.142025,0,0,6,0,0.0473416666666667,0.43565,0.43565,0.729524373396487
"BABAM1","Babam1",279.742561,215.469317,285.067819,930,1174,294,260.093232333333,111.13261,111.13261,2.32843266854605
"BACE1","Bace1",54.086932,64.019805,51.938629,2822,4583,847,56.6817886666667,67.11107,67.11107,0.846878321933082
"BACE2","Bace2",13.986604,16.926872,19.057827,247,488,87,16.657101,5.16558,5.16558,2.86381832690517
"BACH1","Bach1",3.236471,4.182656,2.653248,391,580,105,3.35745833333333,9.19017,9.19017,0.427613899800821
"BACH2","Bach2",1.104998,1.200418,2.343147,211,251,48,1.549521,7.92471,7.92471,0.285669898517711
"BAD","Bad",25.549673,24.490744,31.734493,292,419,108,27.2583033333333,84.72384,84.72384,0.329643461297736
"BAG1","Bag1",61.764402,53.99756,59.489525,1370,1786,430,58.4171623333333,128.72463,128.72463,0.458025298151425
"BAG2","Bag2",4.769553,4.965986,6.389576,153,166,46,5.37503833333333,4.4395,4.4395,1.17198976621626
"BAG3","Bag3",8.309994,10.061576,12.008272,455,837,206,10.126614,25.20555,25.20555,0.424589981893149
"BAG4","Bag4",10.472743,8.349735,9.182493,754,875,151,9.33499033333333,6.84595,6.84595,1.31723887270927
"BAG5","Bag5",12.099603,9.085864,12.904978,502,584,168,11.3634816666667,9.41837,9.41837,1.1867001907848
"BAG6","Bag6",80.434488,74.229606,88.377195,2451,3214,813,81.013763,212.14151,212.14151,0.384785502364134
"BAHCC1","Bahcc1",3.487918,2.631904,3.324571,468,548,101,3.148131,16.47177,16.47177,0.237419047984263
"BAHD1","Bahd1",3.425722,2.797106,3.024259,345,431,95,3.08236233333333,10.47638,10.47638,0.355718644148532
"BAIAP2","Baiap2",12.384611,7.754027,9.842002,445,428,101,9.99354666666667,77.94012,77.94012,0.139264377437818
"BAIAP2L1","Baiap2l1",0.249455,0.187545,0.589869,17,18,7,0.342289666666667,1.47292,1.47292,0.542795426728995
"BAIAP2L2","Baiap2l2",0.052575,0.11481,0.572273,1,3,1,0.246552666666667,23.8571,23.8571,0.0501487569614584
"BAIAP3","Baiap3",38.265353,22.075676,24.615144,1314,1156,247,28.3187243333333,40.18366,40.18366,0.711901864315443
"BAK1","Bak1",4.995475,4.985696,5.221462,182,306,68,5.06754433333333,4.10757,4.10757,1.18795128276917
"BAMBI","Bambi",0.577162,0.615965,0.849376,63,102,29,0.680834333333333,14.45948,14.45948,0.108725153325554
"BANF1","Banf1",25.502872,19.477323,33.647581,308,375,133,26.2092586666667,150.9636,150.9636,0.179051158742401
"BANF2","Banf2",0,0,0,0,0,0,0,0,0,1
"BANK1","Bank1",0.207372,0.079447,0.522409,13,7,5,0.269742666666667,1.0995,1.0995,0.604783361117726
"BANP","Banp",24.234963,9.459398,15.582376,370,262,103,16.425579,18.17289,18.17289,0.908865538789405
"BAP1","Bap1",33.424742,30.945115,37.371972,1708,2170,585,33.913943,68.62548,68.62548,0.501453533964865
"BARD1","Bard1",0.314555,0.262452,0.361051,39,49,14,0.312686,2.8836,2.8836,0.338007518796992
"BARHL1","Barhl1",0.512341,0.149927,0.248879,15,9,3,0.303715666666667,0,0,1.30371566666667
"BARHL2","Barhl2",0.228569,0.109925,0.332441,11,8,5,0.223645,0.26969,0.26969,0.963735242460758
"BARX1","Barx1",0,0,0,0,0,0,0,0.20745,0.20745,0.828191643546317
"BARX2","Barx2",0.406804,0.947276,0.242784,16,56,3,0.532288,0.76758,0.76758,0.866884667172066
"BASP1","Basp1",62.789161,44.175326,51.886528,2004,2127,508,52.9503383333333,681.56633,681.56633,0.0790404330863102
"BATF","Batf",0.06052,0.118935,0.191482,1,3,1,0.123645666666667,0.53938,0.53938,0.729933912787399
"BATF2","Batf2",0.090143,0.13,0.357204,2,4,3,0.192449,1.80484,1.80484,0.425139758417592
"BATF3","Batf3",0.614786,1.249592,0.991495,7,21,4,0.951957666666667,6.88744,6.88744,0.247476705580856
"BAX","Bax",126.716058,112.599414,136.012834,339,423,115,125.109435333333,129.22252,129.22252,0.968414951064788
"BAZ1A","Baz1a",1.354548,1.157946,2.024416,33,37,14,1.51230333333333,13.19402,13.19402,0.176997308256106
"BAZ1B","Baz1b",19.558426,14.072177,11.329328,2340,2640,459,14.9866436666667,19.41761,19.41761,0.78298310461737
"BAZ2A","Baz2a",7.258742,5.841765,5.231278,1286,1541,310,6.110595,24.89437,24.89437,0.274600038541196
"BBC3","Bbc3",1.917788,1.417657,2.235157,38,39,15,1.85686733333333,5.64272,5.64272,0.430074929145491
"BBOX1","Bbox1",10.230191,8.851085,8.431447,435,558,137,9.17090766666667,20.47562,20.47562,0.473602516093443
"BBS1","Bbs1",6.064312,5.033309,4.331354,486,543,133,5.14299166666667,15.20631,15.20631,0.379049374389769
"BBS10","Bbs10",1.360534,1.266081,1.370548,79,110,25,1.33238766666667,4.72993,4.72993,0.407053431135575
"BBS12","Bbs12",1.419547,0.932404,0.783793,72,69,12,1.045248,1.07876,1.07876,0.983878850853393
"BBS2","Bbs2",20.092049,19.469385,29.225982,457,618,154,22.9291386666667,124.86601,124.86601,0.19011597067919
"BBS4","Bbs4",24.082482,18.150725,17.339247,723,875,190,19.8574846666667,36.30429,36.30429,0.559117588531149
"BBS5","Bbs5",23.728438,13.544562,19.330057,195,207,61,18.8676856666667,19.95699,19.95699,0.9480219089987
"BBS7","Bbs7",10.209332,6.335868,4.115678,298,337,68,6.88695933333333,6.16136,6.16136,1.10132144359917
"BBS9","Bbs9",7.645408,7.642151,7.716479,241,302,69,7.66801266666667,57.90015,57.90015,0.147164526179758
"BBX","Bbx",3.349681,2.908242,2.393367,591,776,145,2.88376333333333,38.15062,38.15062,0.0992005575731197
"BCAM","Bcam",33.342105,13.705265,19.234061,420,392,163,22.0938103333333,25.12257,25.12257,0.884055831158011
"BCAN","Bcan",142.939472,131.135433,129.764417,5053,7499,1719,134.613107333333,161.68893,161.68893,0.833573048475599
"BCAP29","Bcap29",17.572138,16.650183,14.991374,685,976,190,16.404565,67.25629,67.25629,0.254988441358298
"BCAP31","Bcap31",52.308928,49.317267,61.07091,1195,1664,439,54.2323683333333,179.05275,179.05275,0.306756594016661
"BCAR1","Bcar1",11.301431,11.714014,13.479236,731,1154,281,12.1648936666667,75.94857,75.94857,0.171086917751255
"BCAR3","Bcar3",5.503708,3.10064,6.118155,211,217,58,4.907501,5.87092,5.87092,0.85978311492493
"BCAS1","Bcas1",433.65098,475.321426,542.711399,9242,16094,3362,483.894601666667,1220.6124,1220.6124,0.396929993234079
"BCAS2","Bcas2",27.427284,25.572022,32.581871,652,924,218,28.527059,59.22785,59.22785,0.490255903207569
"BCAS3","Bcas3",44.711709,55.571876,74.35082,748,1108,246,58.2114683333333,120.6962,120.6962,0.486551497362558
"BCAT1","Bcat1",108.755236,112.122595,84.33884,3723,5584,1145,101.738890333333,3.79639,3.79639,21.420045145064
"BCAT2","Bcat2",6.114535,5.931715,6.377208,151,187,59,6.14115266666667,17.07339,17.07339,0.395119712830115
"BCCIP","Bccip",110.293252,90.097071,68.172939,411,609,124,89.5210873333333,20.68307,20.68307,4.17473574237104
"BCDIN3D","Bcdin3d",2.510846,2.821845,2.650674,115,164,35,2.66112166666667,2.38571,2.38571,1.08134532097157
"BCHE","Bche",1.855077,2.399014,1.687279,230,465,65,1.98045666666667,26.49176,26.49176,0.108412726819479
"BCKDHA","Bckdha",18.706992,16.941457,28.177258,560,877,214,21.2752356666667,26.53325,26.53325,0.809030378421242
"BCKDHB","Bckdhb",27.533919,22.271332,33.432661,558,661,213,27.7459706666667,49.20787,49.20787,0.572539139116371
"BCKDK","Bckdk",22.76888,20.093939,22.890663,553,720,181,21.9178273333333,34.72764,34.72764,0.641459310867814
"BCL10","Bcl10",4.940696,5.16659,5.646763,190,291,69,5.25134966666667,2.8836,2.8836,1.60967907783157
"BCL11A","Bcl11a",2.729138,1.92561,1.739201,202,186,37,2.13131633333333,99.84717,99.84717,0.0310501160650649
"BCL11B","Bcl11b",0.929235,0.659656,0.635146,134,152,28,0.741345666666667,3.56819,3.56819,0.38118941345843
"BCL2","Bcl2",3.182252,2.385092,2.867756,511,577,117,2.8117,5.80869,5.80869,0.559828689512961
"BCL2L1","Bcl2l1",40.809507,36.576126,36.129594,1446,2012,463,37.838409,211.3117,211.3117,0.182931081989358
"BCL2L10","Bcl2l10",0,0.028934,0,0,1,0,0.00964466666666667,0.6846,0.6846,0.599337923938423
"BCL2L11","Bcl2l11",0.860738,1.269162,0.689682,85,137,20,0.939860666666667,3.02881,3.02881,0.481497183204635
"BCL2L13","Bcl2l13",12.458146,7.977482,4.462094,858,1004,219,8.29924066666667,22.17673,22.17673,0.401231781475069
"BCL2L14","Bcl2l14",0,0.021367,0,0,1,0,0.00712233333333333,0.47714,0.47714,0.681805606329348
"BCL2L15","Bcl2l15",0.949468,1.28461,2.114037,16,31,8,1.44937166666667,1.43143,1.43143,1.00737905951093
"BCL2L2","Bcl2l2",92.628889,72.08213,95.835073,1769,1877,573,86.8486973333333,119.94937,119.94937,0.726326208506364
"BCL3","Bcl3",0.885755,0.159803,2.286072,10,6,9,1.11054333333333,11.32694,11.32694,0.171213888713122
"BCL6","Bcl6",7.215471,7.360707,8.382189,530,833,193,7.652789,45.93011,45.93011,0.184376064748197
"BCL6B","Bcl6b",0.329254,0.414997,0.303977,24,24,7,0.349409333333333,1.88782,1.88782,0.467276122934717
"BCL7A","Bcl7a",7.690566,6.843555,7.149511,734,999,211,7.22787733333333,10.74607,10.74607,0.700479167358387
"BCL7B","Bcl7b",32.870945,27.577543,34.391998,524,716,189,31.6134953333333,48.23284,48.23284,0.662433760338289
"BCL7C","Bcl7c",10.030339,10.161627,14.080529,216,248,64,11.424165,28.46256,28.46256,0.42169332875351
"BCL9","Bcl9",11.032651,10.089422,3.984962,614,796,150,8.36901166666667,5.14484,5.14484,1.52469578811925
"BCL9L","Bcl9l",5.284146,4.783005,5.062321,551,832,166,5.04315733333333,15.39302,15.39302,0.368642100926695
"BCLAF1","Bclaf1",40.252282,31.293176,25.994843,2160,2618,457,32.5134336666667,34.83137,34.83137,0.935309860233272
"BCO2","Bco2",0.637026,0.738333,0.505501,28,48,7,0.626953333333333,7.59278,7.59278,0.189339577335081
"BCOR","Bcor",4.581859,3.072598,4.341508,400,427,102,3.998655,12.32271,12.32271,0.375198064057538
"BCORL1","Bcorl1",2.940543,3.503286,2.689315,268,382,71,3.04438133333333,3.17403,3.17403,0.96893921062698
"BCR","Bcr",22.39712,17.10772,10.410959,1407,1689,342,16.6385996666667,101.79722,101.79722,0.1715863489953
"BCS1L","Bcs1l",8.498445,7.035519,5.918101,225,284,64,7.15068833333333,69.53827,69.53827,0.115549875738848
"BDH1","Bdh1",32.91357,32.895056,36.410042,773,1135,255,34.0728893333333,32.13448,32.13448,1.05850127520738
"BDH2","Bdh2",3.379359,2.390879,4.04644,63,75,22,3.272226,27.54977,27.54977,0.149641345622049
"BDKRB1","Bdkrb1",0.080676,0,0,2,0,0,0.026892,0.58087,0.58087,0.649573968764035
"BDKRB2","Bdkrb2",0.914692,1.013813,0.759742,76,127,20,0.896082333333333,0.41491,0.41491,1.34007274903233
"BDNF","Bdnf",1.127821,0.817022,0.87515,90,99,22,0.939997666666667,8.6093,8.6093,0.201887511750769
"BDP1","Bdp1",5.500566,3.964717,4.610278,668,743,124,4.69185366666667,5.64272,5.64272,0.856855876307697
"BEAN1","Bean1",5.399564,4.172123,6.09935,319,378,109,5.223679,7.0949,7.0949,0.768839516238619
"BECN1","Becn1",177.739836,167.195425,186.174716,1384,1890,442,177.036659,54.10376,54.10376,3.23093485816576
"BEGAIN","Begain",35.643184,32.153435,36.258263,1460,1816,522,34.6849606666667,37.83944,37.83944,0.918781544395765
"BEND3","Bend3",0.974726,0.699807,0.8555,128,146,35,0.843344333333333,0.39416,0.39416,1.32218994472179
"BEND4","Bend4",1.090363,0.705296,0.530217,181,176,28,0.775292,0.16596,0.16596,1.52260111839171
"BEND5","Bend5",3.512895,1.966661,4.812067,73,68,31,3.430541,23.31773,23.31773,0.182193856087719
"BEND6","Bend6",162.952587,108.14311,136.094985,6066,6550,1804,135.730227333333,17.30159,17.30159,7.47094800688538
"BEND7","Bend7",4.109301,3.445759,4.553893,226,275,80,4.03631766666667,3.92086,3.92086,1.02346290418071
"BEST1","Best1",0.81055,1.882451,0.439202,30,28,6,1.04406766666667,56.53096,56.53096,0.03552987237944
"BEST2","Best2",0.024897,0,0,1,0,0,0.008299,0.66385,0.66385,0.606003545992728
"BEST3","Best3",0.102802,0.011376,0.054384,6,1,1,0.0561873333333333,4.25279,4.25279,0.201071684444521
"BET1","Bet1",42.049546,59.821816,59.805088,316,544,113,53.89215,6.09912,6.09912,7.73224709541464
"BET1L","Bet1l",25.310734,32.560449,54.417749,313,429,119,37.429644,23.75338,23.75338,1.55250087058818
"BEX1","Bex2",112.986666,84.998802,105.271221,1731,1959,509,101.085563,292.48809,292.48809,0.347835453902065
"BEX2","Bex1",27.693254,14.801767,25.434589,347,290,107,22.6432033333333,177.55909,177.55909,0.132411087743185
"BEX4","Bex4",6.804942,3.8001,5.084482,92,78,22,5.22984133333333,207.45308,207.45308,0.0298860603706759
"BFAR","Bfar",13.976735,10.840285,13.294773,702,806,225,12.703931,17.11488,17.11488,0.756501340334576
"BFSP1","Bfsp1",0.444548,0.432849,0.148217,20,30,2,0.341871333333333,1.65962,1.65962,0.504534983694412
"BFSP2","Bfsp2",6.298931,9.238931,9.271254,132,320,54,8.26970533333333,0.93354,0.93354,4.79416269295351
"BGLAP","Bglap",0,2.122481,1.338802,0,13,1,1.153761,6.05763,6.05763,0.305167740445447
"BGN","Bgn",10.92433,14.786814,19.850027,349,503,154,15.187057,60.86673,60.86673,0.261643972454985
"BHLHA15","Bhlha15",0.043856,0.045529,0,3,5,0,0.029795,3.71341,3.71341,0.218481948313429
"BHLHA9","Bhlha9",0.344104,0.279626,0.416351,8,10,3,0.346693666666667,0,0,1.34669366666667
"BHLHB9","Bhlhb9",17.338869,11.160372,9.560926,925,963,181,12.6867223333333,9.25241,9.25241,1.33497610155401
"BHLHE22","Bhlhe22",2.126099,1.656115,1.748275,131,159,33,1.84349633333333,5.539,5.539,0.434851863179895
"BHLHE23","Bhlhe23",0,0,0.064597,0,0,1,0.0215323333333333,0,0,1.02153233333333
"BHLHE40","Bhlhe40",25.56286,18.698372,17.940919,992,1271,302,20.7340503333333,56.92512,56.92512,0.375209414038906
"BHLHE41","Bhlhe41",21.161925,20.307578,20.956379,1116,1698,367,20.8086273333333,41.07571,41.07571,0.518318700583623
"BHMT","Bhmt",0.118694,0.029731,0.25571,7,3,5,0.134711666666667,3.07031,3.07031,0.278777701616503
"BHMT2","Bhmt2",0.442029,0.20199,0.295369,23,16,5,0.313129333333333,5.82943,5.82943,0.192275099581273
"BICC1","Bicc1",1.628812,1.394761,1.609302,175,234,59,1.54429166666667,0.4564,0.4564,1.74697313009247
"BICD1","Bicd1",8.419065,6.44385,5.778117,723,1170,163,6.880344,13.54669,13.54669,0.541727637008832
"BICD2","Bicd2",16.946131,15.260296,11.968746,1815,2582,451,14.7250576666667,8.69228,8.69228,1.62243122017386
"BID","Bid",3.64791,3.323967,4.178027,142,164,60,3.71663466666667,31.61585,31.61585,0.144611735296387
"BIK","Bik",0.061678,0.141648,0,1,2,0,0.0677753333333333,0,0,1.06777533333333
"BIN1","Bin1",127.204525,124.973114,116.70989,4538,6781,1507,122.962509666667,458.07714,458.07714,0.270025446413356
"BIN2","Bin2",5.477209,11.87041,5.286866,51,123,15,7.54482833333333,3.44372,3.44372,1.92289980766865
"BIN3","Bin3",9.278926,6.95781,4.327728,148,196,49,6.85482133333333,13.87861,13.87861,0.527927093547941
"BIRC2","Birc2",12.167119,9.381884,8.930331,692,835,171,10.159778,17.46755,17.46755,0.604291202677128
"BIRC3","Birc3",1.999225,1.541593,1.458811,48,48,11,1.666543,2.80062,2.80062,0.701607369323952
"BIRC5","Birc5",0.720227,0.950284,1.659319,28,45,15,1.10994333333333,4.33577,4.33577,0.395433711223185
"BIRC6","Birc6",30.819139,28.162141,42.564028,2812,3261,526,33.848436,32.63237,32.63237,1.03615760649636
"BIRC7","Birc7",0.185298,0.336854,0.291247,4,12,2,0.271133,1.22397,1.22397,0.571560317810042
"BIVM","Bivm",10.940153,10.696037,12.324559,492,664,151,11.3202496666667,12.84135,12.84135,0.890104626114264
"BLCAP","Blcap",32.150039,25.084461,31.952738,1296,1454,394,29.7290793333333,94.49488,94.49488,0.321787716088374
"BLK","Blk",0.02048,0,0,1,0,0,0.00682666666666667,0,0,1.00682666666667
"BLM","Blm",5.631112,4.525977,7.526659,112,182,39,5.89458266666667,5.85018,5.85018,1.00648197079006
"BLMH","Blmh",25.638909,23.344128,24.8275,897,1156,281,24.6035123333333,31.1802,31.1802,0.795629372512705
"BLNK","Blnk",0.577542,0.816555,1.023079,21,48,11,0.805725333333333,6.1821,6.1821,0.251420243846971
"BLOC1S1","Bloc1s1",52.347168,50.834711,71.452548,338,511,133,58.2114756666667,226.10311,226.10311,0.260725076229325
"BLOC1S2","Bloc1s2",23.987329,23.828097,24.19342,299,438,97,24.0029486666667,72.98199,72.98199,0.337959936826066
"BLOC1S3","Bloc1s3",2.027948,2.146849,2.980919,135,212,62,2.38523866666667,8.33961,8.33961,0.362460388246047
"BLOC1S4","Bloc1s4",4.369123,4.18766,5.920805,96,139,40,4.82586266666667,5.45602,5.45602,0.902392289160608
"BLOC1S5","Bloc1s5",6.660702,6.641472,5.902558,384,521,125,6.40157733333333,3.48521,3.48521,1.65021868169681
"BLOC1S6","Bloc1s6",12.671065,11.930879,13.653694,386,465,107,12.7518793333333,38.10913,38.10913,0.351628362311648
"BLVRA","Blvra",17.893835,16.244072,16.208247,357,462,108,16.7820513333333,38.0054,38.0054,0.455886911384919
"BLVRB","Blvrb",10.363123,10.934519,13.093351,104,176,49,11.4636643333333,42.61086,42.61086,0.285792674882663
"BLZF1","Blzf1",6.575181,6.731271,5.302553,272,389,70,6.20300166666667,6.84595,6.84595,0.918053475572323
"BMF","Bmf",1.128244,1.019063,1.586597,77,105,16,1.24463466666667,5.16558,5.16558,0.36405896390391
"BMP1","Bmp1",10.28488,9.048783,11.435163,521,837,208,10.2562753333333,18.1314,18.1314,0.588366524840489
"BMP10","Bmp10",0,0,0,0,0,0,0,0.35267,0.35267,0.739278611930478
"BMP15","Bmp15",0.031424,0.020727,0.050328,2,2,1,0.0341596666666667,0,0,1.03415966666667
"BMP2","Bmp2",1.027019,0.831664,1.49667,73,91,33,1.118451,2.30273,2.30273,0.641424215724567
"BMP2K","Bmp2k",6.062664,7.526181,6.045366,693,1286,229,6.544737,5.24856,5.24856,1.2074361132805
"BMP3","Bmp3",0.555216,0.401248,0.112319,79,84,5,0.356261,0.20745,0.20745,1.12324402666777
"BMP4","Bmp4",8.216706,6.536189,1.279032,29,43,13,5.34397566666667,2.17826,2.17826,1.99605308145547
"BMP5","Bmp5",0.592924,0.505194,0.804263,36,38,20,0.634127,0.26969,0.26969,1.28702832974978
"BMP6","Bmp6",1.479571,2.862419,1.641523,110,204,38,1.99450433333333,2.11602,2.11602,0.961002924671001
"BMP7","Bmp7",2.171061,0.859083,2.165397,171,102,54,1.731847,19.52133,19.52133,0.133122317120771
"BMP8A","Bmp8a",0.104487,0.017303,0,4,1,0,0.0405966666666667,3.40223,3.40223,0.236379441025723
"BMP8B","Bmp8b",0.256436,0.07483,0.125115,10,4,1,0.152127,13.277,13.277,0.0806981158506689
"BMPER","Bmper",4.5534,4.356319,3.438237,270,310,71,4.11598533333333,29.10567,29.10567,0.169934279268102
"BMPR1A","Bmpr1a",12.502396,10.654977,12.563034,1361,1708,351,11.9068023333333,7.38533,7.38533,1.53921221148522
"BMPR1B","Bmpr1b",4.610816,4.198382,3.544364,466,687,124,4.117854,4.50173,4.50173,0.930226310633201
"BMPR2","Bmpr2",9.572495,10.09322,8.574617,2510,4153,695,9.413444,8.23589,8.23589,1.12749762069492
"BMX","Bmx",0.596618,0.328588,0.609803,34,31,12,0.511669666666667,0.10373,0.10373,1.36960095917178
"BNC1","Bnc1",0,0,0,0,0,0,0,0,0,1
"BNC2","Bnc2",1.216303,0.275249,0.546231,28,16,1,0.679261,0.97503,0.97503,0.85024581905085
"BNIP1","Bnip1",12.486694,11.645738,12.230431,241,303,65,12.1209543333333,8.96197,8.96197,1.3171043812954
"BNIP2","Bnip2",16.539511,14.558624,14.359304,458,574,135,15.1524796666667,13.00731,13.00731,1.15314644044193
"BNIP3","Bnip3",77.818401,69.583267,65.376843,1986,2668,576,70.9261703333333,67.02809,67.02809,1.05730104039865
"BNIP3L","Bnip3l",164.100018,152.913543,187.075189,2691,4280,836,168.029583333333,57.21556,57.21556,2.90351210798854
"BNIPL","Bnipl",0,0.249522,0.202472,0,4,1,0.150664666666667,3.15329,3.15329,0.277048957974682
"BOC","Boc",3.374621,2.30836,2.541699,333,346,79,2.74156,8.94123,8.94123,0.376367914231941
"BOD1","Bod1",35.40473,34.11712,43.208716,880,1223,330,37.5768553333333,25.57896,25.57896,1.45140574850684
"BOD1L1","Bod1l",6.868909,5.687569,5.462311,1579,1956,306,6.006263,49.20787,49.20787,0.139545115138324
"BOK","Bok",6.965315,4.270485,6.374065,182,149,48,5.869955,135.25941,135.25941,0.0504182059793155
"BOLA1","Bola1",6.598095,6.382883,10.810891,76,115,39,7.930623,26.94815,26.94815,0.319542545749898
"BOLA2","Bola2",70.456525,71.123604,81.529017,300,450,114,74.3697153333333,0,0,75.3697153333333
"BOLA3","Bola3",58.855073,54.553034,57.066218,266,351,106,56.824775,33.33771,33.33771,1.68400207818168
"BOLL","Boll",0.300369,0.275039,0,2,3,0,0.191802666666667,0.20745,0.20745,0.98704100928955
"BOP1","Bop1",13.30247,11.192835,17.113106,479,668,193,13.8694703333333,14.74991,14.74991,0.944098749347351
"BORA","Bora",1.160171,1.15201,1.022807,90,123,21,1.11166266666667,0.72609,0.72609,1.22337923669488
"BPGM","Bpgm",45.308142,49.198348,40.829982,1084,1913,418,45.1121573333333,13.29774,13.29774,3.2251360937696
"BPHL","Bphl",56.342438,54.212741,49.281479,339,428,118,53.278886,5.99539,5.99539,7.75923658294963
"BPI","Bpi",0.027746,0.018472,0,1,1,0,0.015406,1.26546,1.26546,0.448211842186576
"BPIFA1","Bpifa1",0,0.092435,0,0,1,0,0.0308116666666667,0,0,1.03081166666667
"BPIFA2","Bpifa2",0,0,0,0,0,0,0,0,0,1
"BPIFA3","Bpifa3",0,0,0,0,0,0,0,0,0,1
"BPIFB1","Bpifb1",0,0.040867,0,0,3,0,0.0136223333333333,0.14522,0.14522,0.885089618879633
"BPIFB2","Bpifb2",0,0,0,0,0,0,0,0,0,1
"BPIFB3","Bpifb3",0.028595,0,0,1,0,0,0.00953166666666667,0,0,1.00953166666667
"BPIFB4","Bpifb4",0,0,0.109056,0,0,1,0.036352,0,0,1.036352
"BPIFB6","Bpifb6",0,0,0,0,0,0,0,0,0,1
"BPIFB9P","Bpifb9a",0,0.01779,0,0,1,0,0.00593,0,0,1.00593
"BPIFC","Bpifc",0.052255,0.100667,0.166584,3,9,3,0.106502,0,0,1.106502
"BPNT1","Bpnt1",31.491987,26.319477,29.043227,841,1161,284,28.9515636666667,26.38803,26.38803,1.09360051331427
"BRAF","Braf",13.04985,9.964817,9.599718,2395,2795,588,10.8714616666667,10.93278,10.93278,0.994861353906354
"BRAP","Brap",15.64912,17.107363,16.064271,860,1217,258,16.2735846666667,5.60123,5.60123,2.61672213612716
"BRAT1","Brat1",4.241575,3.97597,3.904245,302,432,87,4.04059666666667,27.52902,27.52902,0.176683134109292
"BRCA1","Brca1",0.835665,0.655983,0.30062,43,78,14,0.597422666666667,6.49328,6.49328,0.213180698795009
"BRCA2","Brca2",9.048335,5.896211,8.629244,230,245,58,7.85793,0.04149,0.04149,8.50505525737165
"BRCC3","Brcc3",19.935409,17.568056,23.939717,562,757,163,20.4810606666667,6.57626,6.57626,2.83531197011014
"BRD1","Brd1",8.889512,7.018975,6.240317,786,946,187,7.38293466666667,13.96159,13.96159,0.560297045077874
"BRD2","Brd2",77.095271,68.615535,84.908072,2364,3155,756,76.8729593333333,163.97091,163.97091,0.47204055147258
"BRD3","Brd3",8.532382,6.479105,6.586321,719,852,160,7.19926933333333,24.41723,24.41723,0.322587053480388
"BRD4","Brd4",21.240973,20.059146,23.087597,1179,1473,319,21.462572,21.11872,21.11872,1.01554574586595
"BRD7","Brd7",32.335998,34.02383,35.674914,696,965,219,34.0115806666667,77.85714,77.85714,0.44398745207684
