"Hs_symbol","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"ACOX2","Acox2",0.478907,0.537406,1.920292,7,13,7,0.978868333333333,13.50116,16.5247,11.05529,13.6937166666667,0.134674458356917
"ACOX3","Acox3",31.578703,26.301488,22.859586,995,1397,328,26.913259,8.46514,6.68725,23.55258,12.9016566666667,2.00790881758217
"ACOXL","Acoxl",0.032761,0.021899,0,2,2,0,0.01822,0,0.05527,0,0.0184233333333333,0.999800344977694
"ACP1","Acp1",43.469525,42.708891,37.818103,1062,1304,300,41.332173,58.74247,61.70509,55.34201,58.5965233333333,0.710312793973384
"ACP2","Acp2",14.948313,13.40809,13.834404,1522,1780,427,14.0636023333333,38.03517,21.63685,46.29677,35.32293,0.414713304607677
"ACP5","Acp5",0.426923,0.534385,0.367158,5,8,3,0.442822,4.42308,6.63199,1.9882,4.34775666666667,0.269799486015008
"ACP6","Acp6",12.775913,9.182779,11.204909,262,304,72,11.0545336666667,9.44253,12.54551,9.70069,10.56291,1.04251729596327
"ACR","Acr",0.454999,0.859649,0.600143,13,15,5,0.638263666666667,2.81619,1.3264,1.81342,1.98533666666667,0.548770155459853
"ACRBP","Acrbp",5.73949,4.783652,6.789045,91,120,35,5.770729,3.9261,2.45936,2.16299,2.84948333333333,1.75886694751244
"ACRV1","Acrv1",0.129637,0.107061,0.275087,9,11,6,0.170595,5.84774,3.01203,4.1075,4.32242333333333,0.219936470041529
"ACSBG1","Acsbg1",108.813398,94.405486,84.872829,4262,5796,1577,96.030571,88.3125,109.42775,56.1067,84.61565,1.13332750495967
"ACSBG2","Acsbg2",0.019263,0,0,1,0,0,0.006421,0.59637,0.77373,0.10924,0.493113333333333,0.674041934749316
"ACSF2","Acsf2",24.630047,17.495217,16.328537,485,643,130,19.4846003333333,51.30441,52.55848,47.82616,50.5630166666667,0.397273116616852
"ACSF3","Acsf3",7.137229,5.689405,5.478674,331,399,80,6.10176933333333,61.67463,58.77597,55.18907,58.5465566666667,0.119264147767402
"ACSL1","Acsl1",23.107288,34.423455,39.671238,803,1349,245,32.4006603333333,34.42382,22.99088,27.48529,28.2999966666667,1.13995440727581
"ACSL3","Acsl3",141.226341,139.771625,112.269409,4160,6087,1311,131.089125,44.29706,41.69861,41.796,42.5972233333333,3.02976003747028
"ACSL4","Acsl4",21.479562,22.663303,21.725103,816,1113,182,21.9559893333333,16.20139,7.04648,11.47041,11.57276,1.82585123181651
"ACSL5","Acsl5",45.183423,27.652313,57.118124,754,770,207,43.3179533333333,9.19404,8.12418,3.23356,6.85059333333333,5.64517246679444
"ACSL6","Acsl6",131.3267,112.459272,98.930735,6556,8580,1883,114.238902333333,35.4509,34.34816,47.73876,39.1792733333333,2.86811813089037
"ACSM1","Acsm1",0,0,0,0,0,0,0,0.84486,0,0,0.28162,0.780262480298372
"ACSM2B","Acsm2",0.04072,0.018053,0.021651,6,4,1,0.026808,0.0994,0.46977,0,0.189723333333333,0.863064522003715
"ACSM3","Acsm3",3.148108,2.227132,1.721317,12,17,3,2.365519,0.59637,0.22107,1.02687,0.61477,2.08420951590629
"ACSM4","Acsm4",0,0.044942,0,0,3,0,0.0149806666666667,0.16566,0,0.10924,0.0916333333333333,0.929781672722831
"ACSM5","Acsm5",1.284788,0.826242,0.714794,53,61,13,0.941941333333333,7.48776,8.98081,5.4621,7.31022333333333,0.233681004160739
"ACSS1","Acss1",9.81163,7.128186,8.411244,436,528,120,8.45035333333333,57.94731,78.25742,61.83098,66.0119033333333,0.14102499501208
"ACSS2","Acss2",41.583731,44.676566,29.155586,1610,2683,462,38.471961,43.78352,30.83873,37.47001,37.3640866666667,1.02887790195448
"ACSS3","Acss3",2.178701,1.623659,1.218299,157,191,32,1.673553,12.72257,14.9496,21.32404,16.33207,0.154254685101087
"ACTA1","Acta1",6.487384,4.455121,0.373325,181,188,1,3.77194333333333,40.80167,32.41383,12.49729,28.57093,0.161372785141804
"ACTA2","Acta2",15.069679,2.496488,19.462987,408,100,178,12.3430513333333,30.26579,39.46031,26.13069,31.9522633333333,0.404920633170468
"ACTB","Actb",907.491548,1110.026367,1271.568006,8257,14043,3318,1096.36197366667,3995.79691,3014.15431,4181.63155,3730.52759,0.294078483194778
"ACTBL2","Actbl2",0.053245,0.023264,0,3,2,0,0.025503,0,0,0,0,1.025503
"ACTC1","Actc1",0.988564,0.518019,0,7,6,0,0.502194333333333,12.0765,11.13621,6.51082,9.90784333333333,0.137716896679545
"ACTG1","Actg1",576.738602,537.265372,794.751001,13658,19486,5374,636.251658333333,1819.21101,1453.84166,1057.48459,1443.51242,0.441153464317969
"ACTG2","Actg2",0.289823,0.066606,0,7,2,0,0.118809666666667,1.52406,3.59233,6.42343,3.84660666666667,0.230843916912314
"ACTL10","Actl10",1.004756,0.51982,0.429127,30,24,4,0.651234333333333,0.18222,0.80136,0.65545,0.546343333333333,1.06783163721726
"ACTL6A","Actl6a",9.661133,9.129784,11.273125,195,233,70,10.0213473333333,57.40064,40.37221,15.20649,37.65978,0.285085619559484
"ACTL6B","Actl6b",20.704586,15.42755,22.289875,464,520,151,19.4740036666667,82.51446,59.10757,87.50286,76.3749633333333,0.264607604122074
"ACTL7A","Actl7a",0,0,0,0,0,0,0,0,0.22107,0,0.07369,0.931367526939806
"ACTL7B","Actl7b",0,0,0,0,0,0,0,0,0.05527,0,0.0184233333333333,0.981909945765841
"ACTL9","Actl9",0.11365,0.15072,0.357541,3,6,3,0.207303666666667,0,0.22107,0,0.07369,1.12444343028869
"ACTN1","Actn1",12.095666,7.159796,10.301106,549,556,136,9.85218933333333,196.73593,153.64099,75.39884,141.925253333333,0.0759291243516191
"ACTN2","Actn2",3.391132,1.608143,1.393511,64,65,10,2.13092866666667,204.83663,117.0269,46.4934,122.785643333333,0.0252931485619509
