"Hs_symbol","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg_TPM","FoldChange"
"CCDC82","Ccdc82",11.553315,8.413175,7.72215,1031,1103,229,9.22954666666667,112.405968,115.918656,85.281887,1769,1389,1287,17.2770163333333,0.559694562837928
"CCDC83","Ccdc83",0,0.050751,0,0,2,0,0.016917,0.029509,0.039637,0,1,1,0,24.8362436666667,0.0393600948001587
"CCDC85A","Ccdc85a",18.658965,12.174663,7.201,776,927,206,12.6782093333333,19.798163,18.314199,17.172412,1384,976,809,11.2205193333333,1.11928216471324
"CCDC85B","Ccdc85b",7.567911,6.181256,9.467856,782,959,309,7.73900766666667,9.685207,9.37304,12.926891,115,82,96,27.8400253333333,0.30301664321238
"CCDC85C","Ccdc85c",17.534603,16.149689,21.01132,1505,2105,544,18.2318706666667,6.559283,2.897694,3.718173,342,219,266,22.6476123333333,0.813269026723586
"CCDC86","Ccdc86",1.946633,1.810678,1.927816,131,183,40,1.89504233333333,9.010161,12.74782,13.8568,281,247,274,10.647116,0.248563020522276
"CCDC87","Ccdc87",0.2044,0.214813,0.092386,14,22,2,0.170533,0.09418,0.248611,0.28448,5,10,10,26.7403303333333,0.0421960728633957
"CCDC88A","Ccdc88a",12.617336,13.240729,8.98755,1371,2166,315,11.615205,33.860229,22.797942,24.668187,1731,1075,1040,13.6831916666667,0.859159594615839
"CCDC88B","Ccdc88b",1.504859,1.541001,1.964269,68,99,16,1.670043,1.245898,0.647895,0.978538,38,14,16,0.0680456666666667,2.49993336739347
"CCDC88C","Ccdc88c",6.138974,7.221595,4.028406,676,1091,184,5.796325,4.836254,4.496123,4.86422,217,176,176,0.00904,6.73543665265995
"CCDC89","Ccdc89",0.514815,0.568521,0.314096,21,36,4,0.465810666666667,0.128886,0.133658,0.151498,5,4,4,70.880896,0.0203922147362585
"CCDC9","Ccdc9",81.620655,66.670089,71.369986,554,632,168,73.2202433333333,10.881662,3.652424,7.003518,179,86,89,13.8414356666667,5.00088030567214
"CCDC90B","Ccdc90b",7.525666,7.60409,8.403724,216,338,77,7.84449333333333,54.034578,56.371553,71.525436,694,582,691,59.8350966666667,0.145384717341618
"CCDC91","Ccdc91",51.550947,56.982018,27.311557,913,1236,310,45.2815073333333,28.241654,26.197755,29.249789,333,283,269,10.1707353333333,4.1431030234178
"CCDC92","Ccdc92",95.085766,81.917991,91.061866,2333,3068,893,89.3552076666667,28.791324,31.042786,36.124996,1011,893,849,59.4853943333333,1.49383514255891
