"Hs_symbol","Spinal_cord","dHs_Avg_TPM","DRG","dHs_Avg__TPM","FoldChange"
"RNF180",6.76548,6.76548,2.91665,2.91665,1.98268418163482
"RNF181",148.49916,148.49916,344.15384,344.15384,0.433137756775356
"RNF182",9.77581,9.77581,0.44952,0.44952,7.43405403167945
"RNF183",0,0,0.09409,0.09409,0.914001590362767
"RNF185",22.99642,22.99642,18.75435,18.75435,1.21474105703301
"RNF186",0,0,0,0,1
"RNF187",300.41209,300.41209,629.3057,629.3057,0.478199848105451
"RNF19A",36.24807,36.24807,28.2047,28.2047,1.27541354644972
"RNF19B",10.55166,10.55166,25.19397,25.19397,0.44100455181097
"RNF19BPX",0,0,0,0,1
"RNF19BPY",0,0,0,0,1
"RNF2",7.91375,7.91375,4.4011,4.4011,1.65035826035437
"RNF20",29.26535,29.26535,19.48613,19.48613,1.47735809545287
"RNF207",11.07925,11.07925,5.51968,5.51968,1.85273663738098
"RNF208",55.42727,55.42727,53.15824,53.15824,1.04189630239092
"RNF212",19.67575,19.67575,5.70785,5.70785,3.08232145918588
"RNF213",40.4377,40.4377,29.55326,29.55326,1.35624480006389
"RNF214",11.35856,11.35856,10.9139,10.9139,1.03732279102561
"RNF215",19.14817,19.14817,29.12465,29.12465,0.668826691762394
"RNF216",50.71006,50.71006,10.30758,10.30758,4.57304392274916
"RNF216P1",13.46889,13.46889,14.4996,14.4996,0.93350086453844
"RNF217",4.46894,4.46894,4.42201,4.42201,1.00865546171992
"RNF219",3.32067,3.32067,4.50564,4.50564,0.784771616015577
"RNF220",128.07858,128.07858,74.03473,74.03473,1.72025114237101
"RNF222",0.46551,0.46551,0.03136,0.03136,1.4209490381632
"RNF223",0.18621,0.18621,0,0,1.18621
"RNF224",0.12414,0.12414,0.18817,0.18817,0.946110405076715
"RNF24",2.76205,2.76205,6.91005,6.91005,0.475603820456255
"RNF25",27.65157,27.65157,52.24874,52.24874,0.538070384388438
"RNF26",8.09995,8.09995,19.40249,19.40249,0.446021539527773
"RNF2P1",0,0,0.03136,0.03136,0.969593546385355
"RNF31",61.97551,61.97551,57.76842,57.76842,1.07158759755665
"RNF32",8.25513,8.25513,1.77717,1.77717,3.33257596762172
"RNF34",19.36541,19.36541,24.95353,24.95353,0.784687477965425
"RNF38",8.84478,8.84478,11.40524,11.40524,0.793598511596712
"RNF39",3.56895,3.56895,0.5227,0.5227,3.00055821895318
"RNF4",21.22747,21.22747,22.55958,22.55958,0.943457820555375
"RNF40",28.24122,28.24122,26.81433,26.81433,1.05130053465246
"RNF41",17.53438,17.53438,30.21186,30.21186,0.5938249114279
"RNF43",0.86896,0.86896,0.89904,0.89904,0.984160417895358
"RNF44",17.0999,17.0999,11.4366,11.4366,1.45537365517907
"RNF5",72.46511,72.46511,72.25757,72.25757,1.0028330178028
"RNF5P1",10.27236,10.27236,2.78075,2.78075,2.98151424981816
"RNF6",12.41372,12.41372,13.91418,13.91418,0.899393731334877
"RNF6P1",0,0,0.01045,0.01045,0.989658073135732
"RNF7",57.3514,57.3514,142.33026,142.33026,0.407111519926078
"RNF7P1",1.27241,1.27241,0.15681,0.15681,1.96437617240515
"RNF8",14.77233,14.77233,26.41708,26.41708,0.575273880369463
"RNFT1",6.02066,6.02066,3.42889,3.42889,1.58519629071844
"RNFT2",15.17578,15.17578,13.72601,13.72601,1.09844961398233
"RNGTT",10.21029,10.21029,4.86108,4.86108,1.91266626628539
"RNGTTP1",0,0,0.02091,0.02091,0.979518272913381
"RNH1",205.04366,205.04366,195.70803,195.70803,1.04745932334333
"RNLS",19.30334,19.30334,7.25503,7.25503,2.45951135247237
"RNMT",13.43785,13.43785,15.23138,15.23138,0.889502309723511
"RNMTL1",4.87239,4.87239,17.43716,17.43716,0.318508381985078
"RNPC3",28.61363,28.61363,12.40882,12.40882,2.20851872125959
"RNPEP",15.33095,15.33095,27.2743,27.2743,0.577589896124749
"RNPEPL1",50.80316,50.80316,53.80638,53.80638,0.945203094968141
"RNPS1",80.40989,80.40989,117.94124,117.94124,0.684454693763072
"RNPS1P1",0,0,0.77359,0.77359,0.563828167727603
"RNU4ATAC",0,0,0,0,1
"RNU7-63P",0,0,0,0,1
"RNY4P13",0,0,0,0,1
"ROBO1",7.44823,7.44823,4.98652,4.98652,1.41120884921457
"ROBO2",3.53791,3.53791,8.54086,8.54086,0.475629031345183
"ROBO3",45.37216,45.37216,18.70208,18.70208,2.35366824213484
"ROBO4",7.88271,7.88271,4.28611,4.28611,1.68038690076446
"ROCK1",11.11028,11.11028,6.05283,6.05283,1.71708094481222
"ROCK1P1",11.82407,11.82407,0.1359,0.1359,11.289787833436
"ROCK2",7.54134,7.54134,6.126,6.126,1.19861633454954
"ROGDI",612.80342,612.80342,115.72501,115.72501,5.25854244947163
"ROM1",53.84452,53.84452,33.87073,33.87073,1.57279529278567
"ROMO1",198.52646,198.52646,340.29634,340.29634,0.584613535556813
"ROPN1",0.27931,0.27931,0.07318,0.07318,1.19207402299707
"ROPN1B",0.62069,0.62069,4.2652,4.2652,0.3078116690724
"ROPN1L",1.39654,1.39654,2.3835,2.3835,0.708302054086006
"ROR1",2.32757,2.32757,0.56451,0.56451,2.12690874459096
"ROR2",0.77586,0.77586,0.20908,0.20908,1.46876964303437
"RORA",9.6827,9.6827,1.30674,1.30674,4.63108109279763
"RORB",0.89999,0.89999,0.30316,0.30316,1.45798673992449
"RORC",0.46551,0.46551,0.05227,0.05227,1.39271289688008
"ROS1",0,0,0,0,1
"RP1",0,0,0,0,1
"RP1-101G11.2",0,0,0,0,1
"RP1-101K10.4",0,0,0,0,1
"RP1-102E24.1",0,0,0.22999,0.22999,0.813014739957235
"RP1-102E24.6",0,0,0.01045,0.01045,0.989658073135732
"RP1-102E24.9",0,0,0,0,1
"RP1-102G20.2",0,0,0,0,1
"RP1-102G20.4",0,0,0,0,1
"RP1-106C24.1",0,0,0,0,1
"RP1-107N3.1",0,0,0,0,1
"RP1-107N3.2",0,0,0,0,1
"RP1-111B22.2",0.58965,0.58965,0.05227,0.05227,1.51068642078554
"RP1-111D6.1",0,0,0,0,1
"RP1-118J21.24",0,0,0,0,1
"RP1-121G13.3",0,0,0.02091,0.02091,0.979518272913381
