"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg_TPM","FoldChange"
"ACBD6","Acbd6",31.172844,27.736285,33.386355,1047,224,446,30.7651613333333,30.045769,28.430908,40.527744,567,434,470,0.168356333333333,27.1879052880271
"ACBD7","Acbd7",2.097597,1.943282,1.424488,26,6,7,1.821789,1.327791,0.639002,1.059258,81,30,45,9.54563233333333,0.267578928489731
"ACCS","Accs",5.583149,6.109839,6.953522,303,83,147,6.21550333333333,14.477036,14.943544,19.448083,190,194,188,5.07421866666667,1.18788995413182
"ACCSL","Accsl",0.399985,0.65421,0.94449,14,3,7,0.666228333333333,0,0,0,0,0,0,0.0243106666666667,1.62668259499397
"ACD","Acd",9.397863,8.513551,9.52039,513,112,212,9.14393466666667,13.137008,9.048602,13.611827,198,130,153,16.123027,0.592414802982362
"ACE","Ace",1.529936,1.266676,2.28227,228,53,111,1.69296066666667,6.841322,8.479831,10.149919,209,183,161,7.08539466666667,0.33306483822847
"ACE2","Ace2",0.39351,0.513533,0.554108,55,13,29,0.487050333333333,0,0.095415,0.225191,0,0,1,0.0951363333333333,1.35786777232302
"ACER1","Acer1",0.010316,0,0,1,0,0,0.00343866666666667,0,0,0,0,0,0,0,1.00343866666667
"ACER2","Acer2",1.42388,1.059207,1.465725,188,45,74,1.31627066666667,2.060095,1.631226,2.154176,103,62,73,68.53546,0.0333106398759233
"ACER3","Acer3",11.530842,8.637076,12.811604,2090,500,908,10.993174,7.649808,4.8069,3.760922,518,375,350,2.440747,3.48563088189861
"ACHE","Ache",38.543926,55.551307,51.784107,3098,717,1169,48.6264466666667,52.081818,67.700639,62.028934,1662,1679,1380,28.58467,1.67743789829891
"ACIN1","Acin1",47.715773,48.866846,39.717388,3077,703,1044,45.4333356666667,122.816081,100.430979,109.79734,3076,1982,1940,2.00431066666667,15.4555706178633
"ACKR1","Ackr1",401.909922,315.577281,419.361754,3251,659,1169,378.949652333333,2.616941,4.886551,6.520383,86,122,141,174.24852,2.16806197469361
"ACKR2","Ackr2",0.230189,0,0.108776,12,0,5,0.112988333333333,0.123068,0.277159,0.172717,7,9,4,0.156066666666667,0.962737154720028
"ACKR3","Ackr3",1.643219,1.944276,2.196828,207,60,91,1.92810766666667,2.012493,0.697493,1.28327,52,13,22,4.96819266666667,0.490618823856111
"ACKR4","Ackr4",0.241529,0.299142,0.237301,17,5,6,0.259324,0.105038,0.101865,0.037545,4,3,1,82.8883526666667,0.0150119052284167
"ACLY","Acly",260.392702,266.512395,241.396209,29254,7300,11058,256.100435333333,200.668971,184.300449,184.729433,7551,5465,5135,0.0219273333333333,251.583871912615
"ACMSD","Acmsd",0.189202,0.252901,0.032532,16,5,1,0.158211666666667,0.185122,0.039662,0.088863,6,1,2,104.427182666667,0.0109858922278956
"ACO1","Aco1",7.573506,6.423898,6.797077,1067,248,407,6.93149366666667,9.64322,6.563351,6.68116,860,462,416,12.6569093333333,0.580767835026021
"ACO2","Aco2",152.882375,199.289559,138.928187,10153,2348,3906,163.700040333333,71.653142,76.994982,73.567485,2492,1993,1982,1.56342266666667,64.2500522738609
"ACOD1","Acod1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACOT1","Acot3",0.045948,0,0.019346,4,0,1,0.0217646666666667,4.205801,4.758707,5.368048,99,81,76,0.401354666666667,0.72912638818058
"ACOT11","Acot11",5.597158,7.963591,11.898845,600,147,282,8.48653133333333,1.265227,0.289037,0.841305,109,23,34,0.0814696666666667,8.77188850111068
"ACOT12","Acot12",0.253707,0.347489,0.164709,20,3,8,0.255301666666667,0.237945,0.109798,0.174106,8,3,2,23.5366613333333,0.0511602475012085
"ACOT13","Acot13",205.896612,167.600238,198.430747,1013,228,414,190.642532333333,11.326065,11.195552,12.209772,355,281,284,0.194048666666667,160.498091646739
"ACOT2","Acot2",1.608437,2.231103,1.605401,127,42,54,1.81498033333333,24.173517,18.076715,19.437196,254,164,153,1.51372533333333,1.11984404023988
"ACOT4","Acot4",0.992779,0.335627,0.515927,108,21,53,0.614777666666667,0.591094,0.748843,1.193545,24,23,33,8.85511633333333,0.163851710324813
"ACOT6","Acot6",2.60611,2.315262,2.593869,342,74,141,2.50508033333333,0.245134,0.088672,0.12044,3,1,1,36.710618,0.0929467751849978
"ACOT7","Acot7",344.989077,443.110743,384.06596,14119,3064,5131,390.721926666667,80.632403,114.029529,128.44021,1778,1946,1942,114.444618,3.39315884493348
"ACOT8","Acot8",5.935894,5.306174,7.500256,219,50,102,6.24744133333333,20.763417,18.37889,19.993785,370,284,270,5.99927766666667,1.03545561106234
"ACOT9","Acot9",26.639485,27.561747,26.413979,1699,442,663,26.871737,18.917753,21.089502,23.207269,535,461,410,7.34865366666667,3.33847086162915
"ACOX1","Acox1",47.232225,43.761836,45.586086,6737,1580,2594,45.5267156666667,21.711569,42.59937,35.250653,754,736,847,24.672672,1.81230514948606
"ACOX2","Acox2",0.274602,0.923317,0.505337,7,3,3,0.567752,5.471821,1.789143,2.323278,63,12,15,61.9235546666667,0.0249151849145374
"ACOX3","Acox3",31.629305,24.683028,32.841768,2119,531,940,29.7180336666667,11.236717,10.706481,12.961887,231,182,207,20.9269013333333,1.40092907792534
"ACOXL","Acoxl",0.278136,0.365673,0.129186,7,1,3,0.257665,0.106301,0.156535,0.132989,4,4,4,3.325087,0.290783746084183
"ACP1","Acp1",69.524444,80.252228,59.21009,2779,715,1126,69.662254,74.872622,58.654584,76.070071,1230,785,941,32.0318893333333,2.13921320960266
"ACP2","Acp2",20.104189,18.283754,25.826221,3506,850,1395,21.4047213333333,104.027156,109.16421,127.822959,638,547,541,0.25094,17.9103085146636
"ACP4","Acp4",0.036404,0,0,2,0,0,0.0121346666666667,0.279935,0.062067,0,6,1,0,4.81031933333333,0.174196048203432
"ACP5","Acp5",0.179136,0.609455,0.256272,9,1,5,0.348287666666667,0,2.031601,2.612106,0,11,8,0.187026666666667,1.13585288732632
"ACP6","Acp6",4.6856,4.305309,3.799063,212,42,65,4.263324,17.588665,10.559517,14.810767,472,247,242,0.602221,3.28501748510349
"ACP7","Acp7",1.156246,3.81974,1.76337,62,16,28,2.246452,0.15024,0.124344,0.170202,8,5,6,79.7568523333333,0.0402003285937878
