"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"ABCD3",11.69952,13.13055,9.707609,11.5125596666667,544,496,467,"Abcd3",23.379323,22.163501,20.687641,1616,2217,462,22.0768216666667,0.54221330161512
"ABCD4",70.916088,64.134004,67.343217,67.4644363333333,895,680,780,"Abcd4",9.282074,6.916407,9.782007,391,509,129,8.66016266666667,7.08729642509816
"ABCE1",31.583438,49.79339,37.572001,39.6496096666667,980,1003,995,"Abce1",20.233439,17.96782,16.699634,1557,2065,408,18.3002976666667,2.10616490837197
"ABCF1",79.412855,49.138765,60.340286,62.9639686666667,982,733,819,"Abcf1",39.898575,34.456644,30.824655,1253,1481,371,35.059958,1.77382260585735
"ABCF2",41.126604,23.175533,34.428163,32.9101,544,392,458,"Abcf2",28.959469,23.183203,30.132421,1585,1906,522,27.425031,1.1929661571873
"ABCF3",48.291703,49.874702,42.97229,47.0462316666667,634,530,501,"Abcf3",251.730555,202.838829,291.535145,1377,1754,455,248.701509666667,0.192414662333459
"ABCG1",4.150456,4.415328,3.848561,4.138115,183,146,140,"Abcg1",18.19387,16.716273,15.025299,1036,1496,310,16.6451473333333,0.291191391204403
"ABCG2",2.961168,3.343736,4.879457,3.72812033333333,130,124,137,"Abcg3",0.078591,0.126965,0.100245,5,12,2,0.101933666666667,4.29074859617987
"ABCG4",3.253555,1.724564,3.36298,2.78036633333333,122,50,91,"Abcg4",26.644854,17.078907,23.610972,1180,1262,410,22.444911,0.161244644235729
"ABCG5",0,0.053623,0,0.0178743333333333,0,2,0,"Abcg5",0.145426,0.040795,0.09925,3,3,1,0.095157,0.929432340142403
"ABCG8",0.166037,0.120609,0.140823,0.142489666666667,13,5,8,"Abcg8",0.024937,0.008273,0,2,1,0,0.01107,1.12998077943829
"ABHD1",0.539133,1.449996,2.556852,1.515327,16,11,17,"Abhd1",1.196823,0.71728,1.031029,31,27,8,0.981710666666667,1.26927055614577
"ABHD10",17.896254,16.509149,18.709231,17.704878,474,316,439,"Abhd10",10.83551,11.441995,11.652591,366,588,127,11.310032,1.51948248387981
"ABHD11",8.315591,5.793527,10.881287,8.330135,88,44,86,"Abhd11",14.205171,12.188733,16.893946,276,355,101,14.4292833333333,0.604703070028096
"ABHD12",34.456652,32.027544,41.779576,36.087924,424,313,435,"Abhd12",220.058829,194.911665,204.331185,3618,4930,1247,206.433893,0.178793944729177
"ABHD12B",3.893477,1.544872,5.021108,3.48648566666667,34,27,39,"Abhd12b",0.266634,0.335715,0.208905,7,20,3,0.270418,3.53150354187887
