"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"ABHD3",3.984849,5.25904,2.915345,4.053078,43,53,50,"Abhd3",0.888587,0.607436,0.76617,29,24,18,0.754064333333333,2.88078259387293
"ABHD4",36.086594,26.455903,21.679738,28.0740783333333,296,237,316,"Abhd4",7.115654,8.510248,7.961919,372,402,389,7.862607,3.28053340663005
"ABHD5",2.814933,3.503613,4.082079,3.466875,117,93,117,"Abhd5",15.998376,19.309326,20.137932,581,531,496,18.481878,0.229283593706931
"ABHD6",11.831495,8.409419,12.306665,10.849193,138,99,156,"Abhd6",1.14656,1.497619,1.057626,62,71,46,1.233935,5.30417984408678
"ABHD8",3.366122,1.881682,2.264601,2.504135,60,36,33,"Abhd8",1.768592,1.567081,2.48411,113,106,108,1.93992766666667,1.19191197787973
"ABI1",12.69711,14.372399,14.823763,13.964424,447,426,457,"Abi1",6.582961,5.608406,7.829215,235,207,167,6.67352733333333,1.95013627370498
"ABI2",23.445738,22.714472,18.676018,21.612076,1466,1126,1250,"Abi2",3.10948,2.06312,2.241759,181,174,166,2.471453,6.51372091167589
"ABI3",0,0.122185,0,0.0407283333333333,0,1,0,"Abi3",1.239273,1.75973,1.679233,55,64,50,1.559412,0.406627902554701
"ABI3BP",2.697237,9.393819,2.628398,4.90648466666667,50,93,34,"Abi3bp",0.63739,0.657506,0.804077,96,93,82,0.699657666666667,3.47510253535369
"ABITRAM",13.474933,12.693075,15.766697,13.978235,185,143,177,"Abitram",0.446832,0.177343,0.347871,40,22,34,0.324015333333333,11.3127353006486
"ABL1",20.002516,27.75208,18.375548,22.0433813333333,1348,1318,1125,"Abl1",4.576983,4.469049,5.447473,515,535,499,4.83116833333333,3.9517606105809
"ABL2",7.647104,11.288064,8.405532,9.11356666666667,1295,1485,1218,"Abl2",1.102341,1.060429,1.307922,344,316,270,1.15689733333333,4.68894207914702
"ABLIM1",13.234586,13.893529,13.950169,13.6927613333333,1252,905,1223,"Ablim1",34.740714,33.153558,32.594338,6250,5160,4006,33.4962033333333,0.425924012314012
"ABLIM2",2.618199,1.169305,2.227903,2.00513566666667,73,27,55,"Ablim2",3.791717,5.042325,4.622022,160,167,153,4.48535466666667,0.547847103657351
"ABLIM3",39.693627,31.45544,35.010631,35.386566,1694,1071,1302,"Ablim3",4.102483,4.042407,4.089614,594,546,424,4.078168,7.1652938618809
"ABO",0.081458,0.061784,0.056364,0.0665353333333333,8,5,5,"Abo",0,0,0,0,0,0,0,1.06653533333333
"ABR",198.031654,211.438013,200.361185,203.276950666667,1298,1199,1252,"Abr",2.378324,2.984923,3.713034,327,330,296,3.025427,50.746653874649
"ABRA",0,0,0,0,0,0,0,"Abra",4.116302,4.098666,3.441195,388,344,235,3.88538766666667,0.204692046615475
"ABRACL",16.160065,20.958007,19.636272,18.9181146666667,132,135,145,"Abracl",31.510388,28.625277,45.292012,127,91,115,35.142559,0.551098627705544
"ABRAXAS1",3.82892,6.035163,5.406464,5.09018233333333,107,132,131,"Abraxas1",2.62357,2.493772,2.986119,96,98,87,2.70115366666667,1.64548216092262
"ABRAXAS2",5.545332,5.945653,7.320012,6.27033233333333,243,210,286,"Abraxas2",4.709873,4.263116,4.741499,222,212,183,4.571496,1.30491565161912
"ABT1",4.559478,4.690372,4.720066,4.65663866666667,202,168,186,"Abt1",0.499136,0.4238,0.530647,73,58,56,0.484527666666667,3.81039625847323
"ABTB1",6.145615,3.499741,5.352266,4.99920733333333,109,78,105,"Abtb1",5.82147,7.44892,5.830129,156,143,134,6.36683966666667,0.81435291180266
"ABTB2",1.812701,1.607969,1.602889,1.67451966666667,139,98,106,"Abtb2",1.685686,1.76883,2.249357,255,274,221,1.901291,0.921837784168037
"ACAA1",38.003127,38.829187,39.570663,38.8009923333333,550,465,521,"Acaa1a",12.394399,14.285179,15.320303,538,517,430,13.9999603333333,2.65340650567498
"ACAA1",38.003127,38.829187,39.570663,38.8009923333333,550,465,521,"Acaa1b",0.028191,0.028929,0,1,1,0,0.01904,39.0573405689015
"ACAA2",13.362606,16.013843,12.490575,13.9556746666667,285,274,234,"Acaa2",248.985981,224.128048,293.242253,7301,6225,5954,255.452094,0.058317615712924
"ACACA",42.363631,48.905645,32.241697,41.1703243333333,1667,1457,1400,"Acaca",1.200972,0.900763,0.781195,175,153,147,0.960976666666667,21.5047557934567
"ACACB",3.811888,6.196471,2.56891,4.192423,69,75,51,"Acacb",15.474208,14.95871,16.499206,4311,3965,3460,15.6440413333333,0.311968883999407
"ACAD10",21.73928,19.257871,23.277153,21.424768,392,285,343,"Acad12",17.801517,18.65883,21.112006,1100,1042,881,19.1907843333333,1.1106437288312
"ACAD10",21.73928,19.257871,23.277153,21.424768,392,285,343,"Acad10",0.598761,1.056781,1.076999,53,41,50,0.910847,11.735512053032
"ACAD11",13.192374,11.007639,9.386726,11.1955796666667,340,270,275,"Acad11",20.220395,25.148927,24.795126,1888,1884,1652,23.3881493333333,0.500061710299516
"ACAD8",26.483493,20.192299,24.101738,23.59251,534,375,468,"Acad8",12.259437,10.062579,9.130213,439,390,308,10.4840763333333,2.14144431699905
"ACAD9",19.252462,17.316786,16.985834,17.851694,406,304,324,"Acad9",14.866479,14.620374,16.037408,450,448,379,15.1747536666667,1.16550115003297
"ACADL",0.207989,0.400506,0.246715,0.28507,5,7,5,"Acadl",202.319337,208.242625,216.801061,9518,8357,7420,209.121007666667,0.00611585683064408
"ACADM",27.650351,25.508799,28.982212,27.380454,462,377,403,"Acadm",734.222656,649.816797,808.160715,11829,9984,9558,730.733389333333,0.038785238467602
"ACADS",4.599063,3.579749,4.281652,4.153488,112,71,98,"Acads",43.777134,43.427381,54.486167,1956,1744,1558,47.2302273333333,0.10685182892427
"ACADSB",2.345294,3.480124,2.567987,2.79780166666667,193,175,184,"Acadsb",128.314701,142.932978,153.196559,1614,1467,1364,141.481412666667,0.0266547165387219
"ACADVL",487.069067,525.545782,529.790065,514.134971333333,2890,2306,2580,"Acadvl",139.431027,132.111617,154.831617,9440,8497,7659,142.124753666667,3.59920250086905
"ACAN",13.521626,21.358045,13.180758,16.020143,1180,1435,924,"Acan",0.015363,0.024935,0.010729,4,3,2,0.017009,16.7354890664684
"ACAP1",8.203837,7.799579,5.089685,7.03103366666667,31,27,34,"Acap1",0.252565,0.107747,0.114382,16,5,7,0.158231333333333,6.93387705507305
"ACAP2",4.317336,5.926497,4.813944,5.019259,442,447,434,"Acap2",2.510354,3.088726,3.307991,345,341,264,2.96902366666667,1.51655911012876
