"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"ABHD13",3.072772,3.602061,3.056116,3.24364966666667,238,226,207,"Abhd13",8.065108,8.209743,8.759599,280,1053,639,8.34481666666667,0.454118022647136
"ABHD14A",19.98651,11.809536,18.625674,16.80724,220,94,202,"Abhd14a",9.111682,11.625296,10.462999,55,273,135,10.3999923333333,1.56203964698573
"ABHD14B",6.270991,5.484107,6.977415,6.244171,142,105,131,"Abhd14b",9.900957,11.07616,10.725091,59,304,184,10.5674026666667,0.62625735515158
"ABHD15",2.267084,2.653537,2.449372,2.45666433333333,118,109,110,"Abhd15",0.570942,0.544336,0.246583,10,30,9,0.453953666666667,2.37742399402457
"ABHD16A",43.283793,44.460669,44.105033,43.9498316666667,632,478,592,"Abhd16a",84.799733,87.707752,104.500541,575,2204,1387,92.3360086666667,0.481591534808363
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0,0.023675,0,0,1,0,0.00789166666666667,0.992170124103946
"ABHD17A",22.251861,16.580488,18.393927,19.0754253333333,855,595,608,"Abhd17a",50.597266,51.472563,50.283643,341,1219,660,50.7844906666667,0.387672545870105
"ABHD17B",6.982168,5.876005,6.383279,6.41381733333333,292,190,217,"Abhd17b",18.422878,19.350962,20.248798,254,954,572,19.3408793333333,0.364478703788584
"ABHD17C",5.189827,4.249834,4.998582,4.81274766666667,101,79,94,"Abhd17c",8.088749,7.811635,8.308212,110,387,234,8.069532,0.640909328801824
"ABHD18",3.285167,2.22549,2.818459,2.776372,157,105,137,"Abhd18",4.632635,4.799454,5.02948,98,410,194,4.820523,0.648802865309526
"ABHD2",43.040132,37.278752,34.676228,38.331704,4800,3122,3837,"Abhd2",11.033863,14.096476,15.211377,518,2535,1550,13.4472386666667,2.72243747801771
"ABHD3",3.984849,5.25904,2.915345,4.053078,43,53,50,"Abhd3",55.682784,53.328998,62.270616,427,1662,1021,57.0941326666667,0.086980866535931
"ABHD4",36.086594,26.455903,21.679738,28.0740783333333,296,237,316,"Abhd4",31.723046,34.102686,39.716449,385,1661,1007,35.180727,0.803579163385339
"ABHD5",2.814933,3.503613,4.082079,3.466875,117,93,117,"Abhd5",21.566522,17.853184,20.208764,143,531,290,19.8761566666667,0.213970180015574
"ABHD6",11.831495,8.409419,12.306665,10.849193,138,99,156,"Abhd6",17.385249,17.188792,18.917148,233,860,531,17.8303963333333,0.629258821229626
"ABHD8",3.366122,1.881682,2.264601,2.504135,60,36,33,"Abhd8",65.067793,67.246917,70.625685,840,3106,1873,67.6467983333333,0.0510458620806278
"ABI1",12.69711,14.372399,14.823763,13.964424,447,426,457,"Abi1",61.894673,67.568242,60.34268,492,1777,1100,63.2685316666667,0.232842164149853
"ABI2",23.445738,22.714472,18.676018,21.612076,1466,1126,1250,"Abi2",21.449798,32.690883,39.515265,634,2558,1589,31.2186486666667,0.701831918338474
"ABI3",0,0.122185,0,0.0407283333333333,0,1,0,"Abi3",0.868416,1.488242,0.946114,10,26,22,1.100924,0.495366959172885
"ABI3BP",2.697237,9.393819,2.628398,4.90648466666667,50,93,34,"Abi3bp",2.876543,2.528344,3.212496,93,298,218,2.872461,1.52525349297686
"ABITRAM",13.474933,12.693075,15.766697,13.978235,185,143,177,"Abitram",7.381211,4.320135,5.156999,87,384,238,5.61944833333333,2.26276182632541
"ABL1",20.002516,27.75208,18.375548,22.0433813333333,1348,1318,1125,"Abl1",17.901029,13.698011,17.087719,305,1363,769,16.2289196666667,1.33748266166195
"ABL2",7.647104,11.288064,8.405532,9.11356666666667,1295,1485,1218,"Abl2",4.995949,5.682749,8.350547,342,1365,865,6.34308166666667,1.37729186815072
"ABLIM1",13.234586,13.893529,13.950169,13.6927613333333,1252,905,1223,"Ablim1",34.801176,35.93125,43.941288,1345,5168,3521,38.2245713333333,0.37458054566035
"ABLIM2",2.618199,1.169305,2.227903,2.00513566666667,73,27,55,"Ablim2",45.109793,56.693162,60.767226,382,1889,1015,54.1900603333333,0.0544506682637497
"ABLIM3",39.693627,31.45544,35.010631,35.386566,1694,1071,1302,"Ablim3",9.713718,10.446052,13.010561,280,1148,806,11.056777,3.01793472666866
"ABO",0.081458,0.061784,0.056364,0.0665353333333333,8,5,5,"Abo",0,0.04772,0,0,2,0,0.0159066666666667,1.04983594293439
"ABR",198.031654,211.438013,200.361185,203.276950666667,1298,1199,1252,"Abr",72.847619,78.817078,72.995401,1670,6447,3704,74.8866993333333,2.69186764559857
"ABRA",0,0,0,0,0,0,0,"Abra",0.104979,0.014323,0.024908,2,1,1,0.04807,0.954134742908394
"ABRACL",16.160065,20.958007,19.636272,18.9181146666667,132,135,145,"Abracl",23.553344,24.607412,18.383949,18,67,32,22.1815683333333,0.859222050046801
"ABRAXAS1",3.82892,6.035163,5.406464,5.09018233333333,107,132,131,"Abraxas1",2.527091,2.89354,2.878353,15,97,65,2.766328,1.61700795398949
