"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"ANKRA2",15.162049,12.575985,15.972006,14.5700133333333,138,105,133,"Ankra2",11.37707,14.130178,13.570539,237,299,529,13.025929,1.11008784753818
"ANKRD1",9.408093,47.36464,12.913641,23.2287913333333,237,962,290,"Ankrd1",0.130257,0,0.044778,3,0,2,0.058345,22.893093776919
"ANKRD10",155.755222,196.406184,148.532348,166.897918,1625,1574,1493,"Ankrd10",17.437852,15.495204,17.632584,601,526,1227,16.8552133333333,9.40329946585162
"ANKRD11",60.3623,110.093504,82.255117,84.2369736666667,2285,2034,1530,"Ankrd11",30.518907,31.718151,32.316268,2426,2445,4943,31.5177753333333,2.62124246794005
"ANKRD12",2.191552,3.050031,2.506526,2.582703,328,283,288,"Ankrd12",21.241009,28.457609,24.810165,1309,1286,2403,24.836261,0.138669562132075
"ANKRD13A",17.647218,16.834568,11.599512,15.3604326666667,522,377,400,"Ankrd13a",15.015794,17.481081,15.425145,452,504,949,15.9740066666667,0.963852140979482
"ANKRD13B",32.991038,19.161214,24.454565,25.5356056666667,560,303,414,"Ankrd13b",23.432694,27.487453,26.815649,681,673,1481,25.911932,0.986016376180895
"ANKRD13C",12.983776,17.796661,13.121451,14.6339626666667,409,419,317,"Ankrd13c",30.445255,36.653352,29.446295,976,887,1708,32.181634,0.471163133999569
"ANKRD13D",37.043112,31.87213,32.790596,33.901946,484,356,382,"Ankrd13d",37.003522,22.424365,31.948368,383,309,752,30.4587516666667,1.10945107961743
"ANKRD16",1.946343,2.005408,1.970722,1.97415766666667,51,44,44,"Ankrd16",12.678316,13.773972,16.257831,240,216,590,14.2367063333333,0.195196888461393
"ANKRD17",36.99641,44.796728,44.007983,41.933707,2153,2046,1854,"Ankrd17",21.738581,18.077007,17.999253,2099,1899,3611,19.2716136666667,2.11792251499926
"ANKRD2",0,0,0,0,0,0,0,"Ankrd2",0.15788,0.401744,0.206646,2,5,5,0.255423333333333,0.796544060834725
"ANKRD22",0,0.021375,0.019329,0.013568,0,1,1,"Ankrd22",0,0.092028,0,0,1,0,0.030676,0.983401185241531
"ANKRD23",4.766602,6.609939,4.256215,5.21091866666667,92,107,74,"Ankrd23",2.921093,1.263754,1.948717,39,19,64,2.04452133333333,2.04003125176547
"ANKRD24",2.321421,2.073362,0.908197,1.76766,57,31,39,"Ankrd24",17.49332,15.636965,15.412127,251,232,534,16.180804,0.161090249327098
"ANKRD27",5.733948,5.547708,6.575138,5.95226466666667,221,160,191,"Ankrd27",11.78981,10.324284,12.433152,341,330,659,11.5157486666667,0.555481326113772
"ANKRD28",13.614847,9.506617,12.994407,12.0386236666667,622,479,675,"Ankrd28",12.345892,14.284816,13.693685,903,1010,1722,13.4414643333333,0.902860220107412
"ANKRD29",0.08001,0.296163,0.628289,0.334820666666667,4,5,7,"Ankrd29",15.058061,12.962747,14.382997,276,226,434,14.1346016666667,0.0881966170015927
"ANKRD31",0.023851,0.030037,0.053292,0.0357266666666667,2,2,2,"Ankrd31",0.027118,0.036605,0.035808,2,3,5,0.033177,1.00246779270799
"ANKRD33",0.618991,0.268477,0.203077,0.363515,8,4,8,"Ankrd33",0,0,0,0,0,0,0,1.363515
"ANKRD33B",0.484829,0.271778,0.42685,0.394485666666667,72,32,55,"Ankrd33b",15.441879,11.247128,13.691939,1443,1132,2618,13.4603153333333,0.0964353566655739
"ANKRD34A",1.308238,2.079688,2.368739,1.91888833333333,53,48,55,"Ankrd34a",14.932238,15.011511,12.89344,493,513,868,14.279063,0.191038438242799
"ANKRD34B",0.528493,0.714971,1.058825,0.767429666666667,28,15,31,"Ankrd34b",5.956666,6.403796,5.153036,327,274,508,5.83783266666667,0.258478051866142
"ANKRD34C",0.013043,0.016143,0,0.00972866666666667,1,1,0,"Ankrd34c",2.58763,2.928485,2.360444,169,191,304,2.62551966666667,0.27850591349709
"ANKRD35",0,0.025952,0.02389,0.016614,0,1,1,"Ankrd35",2.884623,2.509075,2.766073,101,119,198,2.71992366666667,0.273288941144043
"ANKRD37",1.995213,2.771149,2.225446,2.33060266666667,15,21,18,"Ankrd37",14.000903,8.334126,9.86919,48,32,75,10.7347396666667,0.283824163234526
"ANKRD39",5.038709,9.009156,5.503228,6.517031,206,274,179,"Ankrd39",2.501349,4.482101,3.472629,75,81,134,3.48535966666667,1.67590373094569
"ANKRD40",8.342573,9.097599,10.135366,9.191846,505,407,461,"Ankrd40",44.669154,46.620885,42.468339,1301,1393,2368,44.586126,0.223573417929832
"ANKRD40CL",0.405639,0.867164,1.08141,0.784737666666667,4,7,10,"Gm21885",0.128302,0.87826,0.06703,1,2,1,0.357864,1.31437144417016
"ANKRD42",3.534366,3.754717,2.416572,3.23521833333333,115,133,98,"Ankrd42",4.380117,4.897481,4.118142,123,143,261,4.46524666666667,0.774936355419152
"ANKRD44",1.848912,13.016071,3.289107,6.05136333333333,185,156,142,"Ankrd44",7.162487,6.159092,6.141213,158,151,287,6.48759733333333,0.941739121298902
"ANKRD45",0.675198,0.635554,0.517187,0.609313,21,16,12,"Ankrd45",19.150093,24.348743,19.075825,854,872,1442,20.8582203333333,0.0736250699031444
"ANKRD46",21.219811,16.117265,19.804798,19.0472913333333,514,353,468,"Ankrd46",51.240159,58.270401,54.647163,1688,1914,3364,54.719241,0.359791177581427
"ANKRD49",5.35363,6.55469,3.460147,5.12282233333333,107,100,88,"Ankrd49",4.339712,4.404004,3.783832,124,119,207,4.17584933333333,1.18295992387208
"ANKRD50",10.276244,14.242458,10.210482,11.5763946666667,1410,1576,1243,"Ankrd50",14.272593,15.721228,13.02612,828,832,1375,14.3399803333333,0.819844249691672
"ANKRD53",1.289533,1.246658,2.902363,1.81285133333333,19,17,19,"Ankrd53",0.20305,0.411936,0.422532,4,6,16,0.345839333333333,2.09003501656216
"ANKRD54",13.035092,13.093954,14.488021,13.5390223333333,250,211,240,"Ankrd54",5.36666,6.79183,5.765132,92,103,192,5.97454066666667,2.08458492511478
"ANKRD55",0.194803,0.318384,0.273117,0.262101333333333,7,3,4,"Ankrd55",0.98018,0.946018,0.964023,36,33,61,0.963407,0.642811874121531
"ANKRD6",18.439312,10.501685,14.921992,14.6209963333333,377,176,300,"Ankrd6",7.577686,7.216179,7.19248,453,418,851,7.32878166666667,1.87554398212304
"ANKRD60",0,0,0,0,0,0,0,"Ankrd60",0,0,0,0,0,0,0,1
"ANKRD61",0.513444,0.954727,0.753236,0.740469,10,15,13,"Ankrd61",0.490289,0.273659,0.57207,11,6,23,0.445339333333333,1.20419403240485
"ANKRD62",0.035158,0.048153,0.025192,0.0361676666666667,2,2,1,"Ccdc144b",0.061314,0.035359,0.034415,5,3,6,0.043696,0.992786852365695
"ANKRD62",0.035158,0.048153,0.025192,0.0361676666666667,2,2,1,"Ankrd26",5.152231,3.878911,4.234766,263,260,488,4.42196933333333,0.191105408932597
"ANKRD63",0,0,0,0,0,0,0,"Ankrd63",9.287126,10.920337,9.617283,556,687,1219,9.941582,0.0913944619708558
"ANKRD65",0.965607,1.601222,1.013364,1.19339766666667,25,22,24,"Ankrd65",0,0,0,0,0,0,0,2.19339766666667
"ANKRD66",0,0,0,0,0,0,0,"Ankrd66",0.314604,0.064496,0.099243,5,1,3,0.159447666666667,0.862479634699626
"ANKRD9",1.836543,3.328971,0.778078,1.98119733333333,78,82,45,"Ankrd9",3.820183,6.141905,4.012157,51,57,126,4.65808166666667,0.526891888269552
"ANKS1A",13.203199,9.316951,12.120322,11.546824,1098,679,938,"Anks1",11.132756,10.793594,8.473682,392,325,712,10.133344,1.12695915979961
"ANKS3",15.763766,14.230092,14.37635,14.7900693333333,297,231,244,"Anks3",29.185883,20.053091,33.088794,306,241,664,27.4425893333333,0.55515583156939
"ANKS4B",0.137782,0.076603,0.084639,0.0996746666666667,9,4,5,"Anks4b",0.018382,0.056382,0.048297,1,3,5,0.0410203333333333,1.05634311977896
"ANKS6",4.255459,4.085556,4.258266,4.19976033333333,307,211,237,"Anks6",2.204283,3.035714,3.438736,87,106,218,2.892911,1.335699771542
"ANKUB1",0.061968,0,0.122104,0.0613573333333333,2,0,1,"Ankub1",1.04557,0.729217,1.130352,31,22,63,0.968379666666667,0.539203564894916
"ANKZF1",41.380569,35.710314,37.730593,38.2738253333333,585,344,505,"Ankzf1",9.178777,7.398692,9.477212,238,212,494,8.68489366666667,4.05516329709488
"ANLN",4.0637,7.503797,4.521928,5.36314166666667,101,220,92,"Anln",10.519756,10.364269,10.556337,434,310,684,10.4801206666667,0.554274806983736
"ANO1",0.204551,3.372641,0.411945,1.32971233333333,9,8,10,"Ano1",2.45309,1.751714,2.616015,74,62,127,2.27360633333333,0.711665391654199
"ANO10",25.383389,24.044273,23.532153,24.3199383333333,336,255,338,"Ano10",8.231972,7.001441,8.435663,223,229,431,7.889692,2.8482357244023
"ANO2",0.307529,0.576828,0.081417,0.321924666666667,3,4,2,"Ano2",2.948295,5.46507,3.955073,109,159,263,4.12281266666667,0.258046653797868
"ANO3",3.740826,1.770571,3.095278,2.86889166666667,329,104,252,"Ano3",25.720257,31.360079,27.825953,2377,2808,4557,28.3020963333333,0.132034637476279
"ANO4",4.427911,13.869726,9.189378,9.16233833333333,129,289,117,"Ano4",6.602021,7.343881,6.606489,218,250,419,6.850797,1.29443397063169
"ANO5",4.53422,3.617955,4.839951,4.33070866666667,470,253,445,"Ano5",0.273178,0.154968,0.112778,23,17,23,0.180308,4.51637086816887
"ANO6",8.683951,11.799789,9.897104,10.126948,800,861,808,"Ano6",4.027825,4.300814,5.089672,255,269,537,4.47277033333333,2.03314725857002
"ANO7",0.97266,1.121413,0.879944,0.991339,31,29,18,"Ano7",0.263499,0.269869,0.069257,8,9,5,0.200875,1.65824003330905
"ANO8",11.46156,8.843732,9.565162,9.956818,589,340,425,"Ano8",10.686369,9.950721,10.777189,410,402,901,10.4714263333333,0.955139987096635
"ANO9",0.420574,0.428129,0.645759,0.498154,20,11,25,"Ano9",0,0.164301,0,0,1,0,0.054767,1.42036487679269
"ANP32A",95.997994,111.539855,77.89304,95.1436296666667,1062,980,877,"Anp32a",235.799349,258.888857,218.602565,1505,1561,2685,237.763590333333,0.402672909770046
"ANP32B",51.633067,46.663433,56.991685,51.7627283333333,549,470,595,"Anp32b",22.694078,25.224729,23.768932,437,494,930,23.895913,2.11933293361578
"ANP32D",0,0,0.085192,0.0283973333333333,0,0,1,"Anp32a",235.799349,258.888857,218.602565,1505,1561,2685,237.763590333333,0.00430717820877801
"ANP32E",14.467118,22.699806,8.355882,15.1742686666667,389,474,303,"Anp32e",54.791142,63.364896,51.759495,1335,1230,2141,56.638511,0.280615657588147
"ANPEP",0.899435,1.398363,0.907684,1.068494,17,15,11,"Anpep",2.035939,3.824906,2.103975,52,76,103,2.65494,0.565944721390775
"ANTKMT",18.985916,17.604501,16.213798,17.601405,107,60,76,"Antkmt",18.68857,27.818133,33.026056,262,308,653,26.5109196666667,0.676146243941754
"ANTXR1",21.426957,49.591367,21.517897,30.845407,823,1707,718,"Antxr1",2.6672,3.358111,3.010917,177,223,377,3.012076,7.93738877329343
"ANTXR2",8.157656,9.855018,6.99262,8.335098,245,231,208,"Antxr2",0.229733,0.466647,0.359746,18,17,44,0.352042,6.9044437968643
"ANTXRL",0,0,0,0,0,0,0,"Antxrl",0,0,0,0,0,0,0,1
"ANTXRL",0,0,0,0,0,0,0,"Gm30083",0,0,0,0,0,0,0,1
"ANXA1",259.913506,348.524782,269.424409,292.620899,4559,4892,4256,"Anxa1",0.978348,14.471927,0.836404,13,22,24,5.428893,45.6720774478592
"ANXA10",0,0,0,0,0,0,0,"Anxa10",0.138571,0,0.118284,2,0,4,0.0856183333333333,0.921134038819659
"ANXA11",24.224942,26.689763,25.138168,25.3509576666667,325,311,287,"Anxa11",9.325034,6.820785,7.494849,292,215,457,7.88022266666667,2.96737578051722
"ANXA13",0.228479,0.281698,0.48713,0.332435666666667,6,5,11,"Anxa13",0,0,0.110886,0,0,4,0.036962,1.2849416532782
"ANXA2",1449.401485,2008.155238,1633.651466,1697.06939633333,13900,14346,14490,"Anxa2",6.8031,6.179903,6.704226,98,89,190,6.56240966666667,224.540784112507
"ANXA3",0.375097,3.31347,1.636167,1.77491133333333,11,27,8,"Anxa3",26.083697,20.415214,23.580134,127,115,243,23.3596816666667,0.113914104925701
"ANXA4",6.005093,8.045307,6.850901,6.96710033333333,106,130,115,"Anxa4",1.478079,2.312491,2.724259,34,53,102,2.17160966666667,2.51200531296989
"ANXA5",648.624818,481.916051,664.779657,598.440175333333,7351,4360,6797,"Anxa5",40.449721,54.430064,43.737202,392,461,764,46.2056623333333,12.6984803454405
"ANXA6",154.611166,228.13207,159.00662,180.583285333333,2316,2698,2115,"Anxa6",26.046429,31.339438,26.697829,875,1027,1696,28.0278986666667,6.255474687248
"ANXA7",25.465788,23.303169,27.326215,25.3650573333333,505,398,458,"Anxa7",25.486986,36.773633,35.275399,797,894,1605,32.512006,0.786734680500276
"ANXA8",0.07574,0.080241,0.016935,0.0576386666666667,2,1,0,"Anxa8",0.163371,0.041834,0.145897,4,1,6,0.117034,0.946827640579129
"ANXA8L1",0,0,0.020777,0.00692566666666667,0,0,0,"Anxa8",0.163371,0.041834,0.145897,4,1,6,0.117034,0.901427948179435
"ANXA9",2.296366,0.852254,1.352331,1.500317,46,15,26,"Anxa9",0.747837,0.212737,0.545931,4,5,25,0.502168333333333,1.66447191337855
"AOAH",0.580652,0.664773,0,0.415141666666667,3,4,0,"Aoah",0.150454,0.128381,0.117881,5,4,8,0.132238666666667,1.24986163105776
"AOC1",0.309879,0,0.130135,0.146671333333333,5,0,2,"Doxl1",0,0,0.015668,0,0,1,0.00522266666666667,1.14071376557366
"AOC1",0.309879,0,0.130135,0.146671333333333,5,0,2,"Aoc1",0,0,0,0,0,0,0,1.14667133333333
"AOC1",0.309879,0,0.130135,0.146671333333333,5,0,2,"Doxl2",0,0,0,0,0,0,0,1.14667133333333
"AOC1",0.309879,0,0.130135,0.146671333333333,5,0,2,"Svs1",0,0,0.013848,0,0,1,0.004616,1.14140261884475
"AOC2",2.418397,2.160471,2.096768,2.225212,97,71,75,"Aoc2",1.319297,1.027136,1.377021,45,34,90,1.24115133333333,1.43908711207067
"AOC3",0.661818,1.904987,1.388015,1.31827333333333,30,34,29,"Aoc3",0.198244,0.212263,0.345387,12,8,41,0.251964666666667,1.85170827504717
"AOPEP",11.526562,19.360915,13.188993,14.6921566666667,202,251,175,"Aopep",32.123728,24.620165,33.13245,264,208,548,29.958781,0.506872562801057
"AOX1",0.937977,0.436628,1.101307,0.825304,11,6,12,"Aox1",0.796658,0.854572,1.008813,54,53,129,0.886681,0.967468268350612
"AP1AR",10.675954,9.990718,8.710143,9.79227166666667,173,145,165,"Ap1ar",87.341001,176.498217,157.580998,826,856,1651,140.473405333333,0.0762848087330505
"AP1B1",22.890788,23.763575,18.52706,21.727141,1142,830,912,"Ap1b1",83.704731,84.120418,84.825129,1708,1855,3383,84.2167593333333,0.266698020175828
"AP1G1",28.596317,37.177468,28.997844,31.590543,1765,1502,1643,"Ap1g1",23.57316,25.110798,25.349086,1422,1410,2717,24.6776813333333,1.26921674028616
"AP1G2",198.887382,113.91163,228.193709,180.330907,1750,787,1443,"Ap1g2",4.777928,6.494673,7.621602,50,35,87,6.29806766666667,24.846427202671
"AP1M1",72.741931,63.37823,64.786096,66.9687523333333,682,568,623,"Ap1m1",23.075241,25.065738,28.406429,471,498,1040,25.5158026666667,2.5633299956172
"AP1M2",0,0.283964,0,0.0946546666666667,0,1,0,"Ap1m2",0.322581,0.606978,0.485509,7,14,19,0.471689333333333,0.743808249385966
"AP1S1",164.402525,128.972701,274.469434,189.281553333333,504,383,500,"Ap1s1",211.161453,212.946089,189.285036,1609,1721,3064,204.464192666667,0.926105667677264
"AP1S2",34.777066,42.379873,33.159673,36.772204,916,849,814,"Ap1s2",22.15699,24.629662,23.136756,535,574,1052,23.3078026666667,1.5539127299152
"AP1S3",5.736952,4.36506,5.284855,5.12895566666667,191,96,144,"Ap1s3",5.503969,3.361024,3.232256,182,109,231,4.03241633333333,1.21789519401846
"AP2A1",52.79751,42.231871,53.086325,49.371902,1761,1329,1560,"Ap2a1",81.329046,105.536885,106.676375,2250,2567,4609,97.8474353333333,0.509592401969114
"AP2A2",156.331474,214.991156,147.069415,172.797348333333,1136,959,947,"Ap2a2",32.753705,33.781934,32.429718,2126,2158,4043,32.9884523333333,5.11342342478142
"AP2B1",547.432464,619.619288,397.206027,521.419259666667,4993,3699,4610,"Ap2b1",62.061613,62.330657,60.245646,4518,4142,7731,61.545972,8.35256440921034
"AP2M1",363.847029,388.830035,402.056936,384.911333333333,2374,2296,2247,"Ap2m1",739.957307,724.177446,635.033276,5024,5542,9390,699.722676333333,0.550733330556232
"AP2S1",298.41548,214.680639,300.709289,271.268469333333,662,471,653,"Ap2s1",194.796101,237.991056,180.145734,604,782,1426,204.310963666667,1.32612727771994
"AP3B1",20.688383,29.3079,20.450372,23.4822183333333,726,720,644,"Ap3b1",16.380178,18.312724,12.935945,449,470,903,15.8762823333333,1.45068788550527
"AP3B2",28.763266,22.752379,30.615926,27.3771903333333,664,299,511,"Ap3b2",36.708696,34.519059,40.088608,1193,1228,2389,37.1054543333333,0.744701534984978
"AP3D1",67.858452,65.628944,66.287494,66.59163,2442,2054,2023,"Ap3d1",59.550591,59.248661,59.547163,1572,1623,3062,59.448805,1.11816321265573
"AP3M1",19.708109,22.516409,20.413642,20.8793866666667,1007,912,1012,"Ap3m1",32.692227,32.977884,28.089737,562,608,1060,31.2532826666667,0.678361545173159
"AP3M2",20.216982,16.384482,15.714092,17.4385186666667,348,278,370,"Ap3m2",35.068342,35.612603,31.523345,1573,1605,2693,34.0680966666667,0.525791828451102
"AP3S1",105.156226,107.510485,112.958374,108.541695,359,363,379,"Ap3s1",41.141308,41.047152,41.0336,498,480,927,41.07402,2.60354715332645
"AP3S2",44.961974,44.057058,38.86884,42.6292906666667,640,471,614,"Ap3s2",17.418608,23.593069,19.376078,748,856,1530,20.1292516666667,2.06487628407095
"AP4B1",27.428776,20.974737,29.706917,26.03681,303,201,292,"Ap4b1",6.584511,6.588785,8.625844,157,166,324,7.26638,3.27069527411031
"AP4E1",1.777773,1.7677,1.989103,1.84485866666667,132,149,115,"Ap4e1",4.324768,3.471702,3.738168,164,145,315,3.84487933333333,0.587188755578226
"AP4M1",19.703461,18.963063,17.296475,18.654333,188,188,174,"Ap4m1",7.821387,8.455238,6.754916,233,192,398,7.67718033333333,2.26505987486488
"AP4S1",2.501192,3.110139,2.515641,2.70899066666667,88,90,67,"Ap4s1",21.926526,26.65816,23.212944,231,289,490,23.9325433333333,0.148761023577886
"AP5B1",1.873686,1.981314,1.651113,1.835371,203,170,154,"Ap5b1",0.495865,0.890352,0.90936,18,33,57,0.765192333333333,1.60626745678516
"AP5M1",15.900259,22.698389,16.988718,18.529122,449,435,414,"Ap5m1",7.766752,7.909841,11.591024,388,334,728,9.08920566666667,1.93564514841059
"AP5S1",3.331535,2.559218,4.280031,3.39026133333333,148,112,142,"Ap5s1",11.333241,15.016099,13.380369,112,98,190,13.2432363333333,0.308234816202469
"AP5Z1",24.948675,22.821557,25.618725,24.4629856666667,639,470,545,"Ap5z1",6.548815,4.87688,6.331342,211,184,438,5.91901233333333,3.68014746035284
"APBA1",13.90143,8.834439,12.743417,11.8264286666667,534,234,470,"Apba1",23.496606,24.29901,23.04074,2020,1962,3893,23.6121186666667,0.521142809376996
"APBA2",33.82021,36.140175,29.43994,33.1334416666667,1493,1209,1271,"Apba2",69.882363,68.996715,74.852242,1686,1663,3066,71.2437733333333,0.472475897807479
"APBA3",12.791351,12.660617,9.455144,11.635704,165,129,111,"Apba3",13.160293,17.358875,13.90877,89,110,247,14.8093126666667,0.799257011763826
"APBB1",43.579007,34.959595,44.425565,40.9880556666667,996,627,834,"Apbb1",228.393564,239.888734,202.880362,3320,3432,6179,223.720886666667,0.186845363105693
"APBB1IP",0,0,0,0,0,0,0,"Apbb1ip",1.305604,1.701539,1.422181,49,64,103,1.47644133333333,0.403805245268614
"APBB2",14.297643,21.122733,12.039095,15.8198236666667,556,651,539,"Apbb2",28.370477,45.61826,26.519545,569,584,1066,33.5027606666667,0.487492111983851
"APBB3",41.392974,33.782153,40.081089,38.4187386666667,591,401,492,"Apbb3",208.149133,266.289154,210.77676,279,338,571,228.405015666667,0.171830326168384
"APC",21.894211,19.258158,20.547923,20.566764,3674,1926,3103,"Apc",49.12011,56.667842,48.729498,5734,5873,10868,51.5058166666667,0.410749996270254
"APC2",29.332137,20.532599,15.174463,21.679733,2446,1093,1641,"Apc2",18.246158,19.687986,20.277302,1454,1708,3152,19.4038153333333,1.1115437299096
"APCDD1",1.143694,4.019831,0.438427,1.86731733333333,10,66,8,"Apcdd1",6.559034,8.681062,6.919615,332,401,701,7.38657033333333,0.34189391126154
"APCS",0,0,0,0,0,0,0,"Apcs",0,0,0,0,0,0,0,1
"APEH",53.578218,44.24906,54.066298,50.631192,755,521,633,"Apeh",13.956241,14.866903,15.118822,135,144,278,14.647322,3.29968233541816
"APEX1",163.948075,165.247195,151.956585,160.383951666667,1244,1076,1196,"Apex1",20.960713,20.797361,19.074942,263,254,474,20.277672,7.5846620657874
"APEX2",3.00181,4.167412,4.363418,3.84421333333333,149,116,154,"Apex2",1.582821,3.430551,3.128452,50,54,101,2.71394133333333,1.30433221705889
"APH1A",48.040391,42.00282,47.524168,45.855793,1083,843,1028,"Aph1a",20.896566,34.731396,52.478928,324,396,659,36.03563,1.26515447421848
"APH1B",7.924038,9.721218,13.83505,10.4934353333333,364,241,350,"Aph1c",1.703768,1.918691,1.641086,92,100,173,1.754515,4.17258041191765
"APH1B",7.924038,9.721218,13.83505,10.4934353333333,364,241,350,"Aph1b",5.108252,6.278035,5.359002,356,390,712,5.581763,1.74625481551574
"API5",47.455093,57.218204,46.452265,50.3751873333333,1284,1218,1218,"Api5",22.922673,21.626688,20.595143,1166,1092,2022,21.7148346666667,2.26174603897623
"APIP",5.848322,7.365396,8.394613,7.202777,106,98,112,"Apip",21.821722,33.912413,35.076639,82,74,147,30.270258,0.262318814254746
"APLF",0.895817,1.401786,0.801204,1.03293566666667,33,44,27,"Aplf",2.493564,1.877228,2.301513,74,62,138,2.22410166666667,0.630543288285471
"APLN",0.666659,0.600698,0.334104,0.533820333333333,32,23,14,"Apln",9.415283,8.28673,7.140321,391,343,581,8.280778,0.165268508020915
"APLNR",0.303497,0.447855,0.222592,0.324648,17,18,11,"Aplnr",0.038777,1.070379,0.030574,2,2,3,0.37991,0.959952460667725
"APLP1",477.984691,284.232819,444.541003,402.252837666667,2479,1166,1997,"Aplp1",459.139471,506.524862,485.90929,7990,9205,16420,483.857874333333,0.831692871279297
"APLP2",755.167874,518.133765,665.429137,646.243592,12778,7563,10446,"Aplp2",221.876678,204.257567,204.081032,5505,5854,10316,210.071759,3.06646230204582
"APMAP",156.266028,82.621932,158.362338,132.416766,4982,2124,4470,"Apmap",17.47741,17.094624,15.708855,468,489,850,16.7602963333333,7.51207995046779
"APOA1",0.556144,0.820879,0.648126,0.675049666666667,6,7,6,"Apoa1",0,0.260937,0.13395,0,3,3,0.131629,1.48021097609434
"APOA2",0,0,0,0,0,0,0,"Apoa2",1.513207,1.970897,1.177124,5,6,8,1.55374266666667,0.391582132786023
"APOA4",0,0,0,0,0,0,0,"Apoa4",0,0,0,0,0,0,0,1
"APOA5",0,0,0,0,0,0,0,"Apoa5",0,0,0,0,0,0,0,1
"APOB",0.052208,0.044032,0.02495,0.0403966666666667,8,8,5,"Apob",0,0.005245,0.002694,0,1,1,0.00264633333333333,1.03765069703874
"APOBEC1",0,0,0,0,0,0,0,"Apobec1",2.721533,1.131535,0.718367,23,20,19,1.52381166666667,0.396226078675971
"APOBEC2",0,0,0,0,0,0,0,"Apobec2",0.114295,0,0.21025,2,0,7,0.108181666666667,0.902379122556621
"APOBEC3H",0,0.101768,0,0.0339226666666667,0,1,0,"Apobec3",1.975737,2.606958,2.223995,36,29,79,2.26889666666667,0.316291021741281
"APOBEC4",0,0,0.302175,0.100725,0,0,1,"Apobec4",0.051027,0,0,1,0,0,0.017009,1.08231588904326
"APOBR",0.071553,0,0.060761,0.0441046666666667,4,0,3,"Apobr",0.620624,0.330381,0.282785,13,6,14,0.411263333333333,0.739836883737739
"APOC1",6.571002,10.731683,29.41911,15.5739316666667,6,4,9,"Apoc1",1.81975,1.522317,1.916143,5,4,10,1.75273666666667,6.02089254208842
"APOC2",0.603569,0.664901,0.349843,0.539437666666667,4,4,1,"Apoc2",0,0,0,0,0,0,0,1.53943766666667
"APOC2",0.603569,0.664901,0.349843,0.539437666666667,4,4,1,"Gm44805",0,0,0,0,0,0,0,1.53943766666667
"APOC3",0,0,0,0,0,0,0,"Apoc3",0,0.681066,0.175258,0,2,1,0.285441333333333,0.77794293218101
"APOC4",0,0,0,0,0,0,0,"Apoc4",0.215994,0.340251,0.393262,6,9,21,0.316502333333333,0.759588475219819
"APOD",1000.686747,269.203493,975.291504,748.393914666667,9964,2160,8595,"Apod",170.2708,158.707029,139.051881,1238,1302,2270,156.009903333333,4.77290857937602
"APOE",112.932614,135.253136,106.504526,118.230092,1208,1006,905,"Apoe",1080.432584,1055.011136,974.595784,6872,7640,14749,1036.67983466667,0.114900654341327
"APOH",0.135265,0,0,0.0450883333333333,1,0,0,"Apoh",0.071498,0.291877,0.186997,1,4,5,0.183457333333333,0.8830807025292
"APOL1",0.048432,0.202244,0.140538,0.130404666666667,2,7,5,"Apol10a",0,0,0,0,0,0,0,1.13040466666667
"APOL1",0.048432,0.202244,0.140538,0.130404666666667,2,7,5,"Apol10b",0.226007,0.164886,0.067704,7,5,4,0.152865666666667,0.980517244420209
"APOL1",0.048432,0.202244,0.140538,0.130404666666667,2,7,5,"Apol9a",0.033493,0,0.045428,2,0,2,0.026307,1.10142936437798
"APOL1",0.048432,0.202244,0.140538,0.130404666666667,2,7,5,"Apol8",2.77635,4.655629,2.080252,39,40,67,3.17074366666667,0.271031920686247
"APOL1",0.048432,0.202244,0.140538,0.130404666666667,2,7,5,"Apol7b",0,3e-06,0.411327,0,0,23,0.13711,0.994103179698241
"APOL1",0.048432,0.202244,0.140538,0.130404666666667,2,7,5,"Apol11a",0,0,0,0,0,0,0,1.13040466666667
"APOL1",0.048432,0.202244,0.140538,0.130404666666667,2,7,5,"Apol9b",0.362647,0.372289,0.073097,3,2,3,0.269344333333333,0.890542177549407
"APOL1",0.048432,0.202244,0.140538,0.130404666666667,2,7,5,"Apol11b",0.039718,0,0.041673,1,0,2,0.0271303333333333,1.1005464739788
"APOL1",0.048432,0.202244,0.140538,0.130404666666667,2,7,5,"Apol7a",0.112958,0.135584,0.369109,2,4,2,0.205883666666667,0.937407726726542
"APOL1",0.048432,0.202244,0.140538,0.130404666666667,2,7,5,"Apol7e",0.309952,0.421802,0,9,12,0,0.243918,0.908745324584632
"APOL1",0.048432,0.202244,0.140538,0.130404666666667,2,7,5,"Apol7c",0,0,0,0,0,0,0,1.13040466666667
"APOL2",4.236197,5.358159,6.587316,5.39389066666667,94,103,120,"Apol7c",0,0,0,0,0,0,0,6.39389066666667
