"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg_TPM","FoldChange"
"MED23","Med23",11.875887,11.950151,19.081412,213,704,448,14.3024833333333,13.298073,12.852678,12.871408,598,542,516,15.5010393333333,0.927364817707038
"MED24","Med24",36.069349,44.755591,41.725694,343,1408,827,40.8502113333333,125.682958,114.356329,113.115883,1035,751,829,134.986025333333,0.307753765364851
"MED25","Med25",34.078988,34.969442,38.969638,196,910,513,36.0060226666667,9.884323,14.824168,11.61456,444,382,422,5.734091,5.4953256002431
"MED26","Med26",2.209297,2.539328,2.50964,44,187,105,2.41942166666667,3.155075,3.086789,2.848691,129,102,106,0.440491,2.37378898352483
"MED27","Med27",12.451629,9.789568,18.07049,63,212,152,13.437229,12.583511,11.647136,15.285935,194,140,206,8.37062866666667,1.54068947917617
"MED28","Med28",48.869351,42.515576,49.52196,266,856,589,46.9689623333333,23.755928,39.250715,24.233435,1110,1045,1006,95.3510793333333,0.497855993573059
"MED29","Med29",6.862862,7.934794,7.714418,51,226,124,7.50402466666667,9.890512,7.716113,7.135311,379,276,284,0.12623,7.5508774110676
"MED30","Med30",14.850181,11.769049,10.160692,76,219,108,12.259974,3.199721,4.434881,1.516495,18,23,9,5.737192,1.96817516852718
"MED31","Med31",7.7104,6.616997,6.984803,49,155,92,7.10406666666667,8.59029,7.156917,8.672149,50,34,47,81.2762206666667,0.0984982854219742
"MED4","Med4",11.908235,12.934633,13.042814,93,392,222,12.6285606666667,24.903572,24.071923,27.188719,374,308,365,18.1188733333333,0.712832834291839
"MED6","Med6",14.500485,17.508825,14.68336,51,226,138,15.5642233333333,15.750956,17.314964,14.094468,235,215,220,2.512152,4.71626038204877
"MED7","Med7",22.916948,25.116125,24.669662,102,347,219,24.234245,5.08057,6.319223,4.940639,135,122,128,0.00912366666666667,25.0060976999515
"MED8","Med8",23.6349,29.050411,23.105028,98,409,198,25.2634463333333,22.19866,21.152412,24.019129,480,383,483,0,26.2634463333333
"MED9","Med9",14.950975,13.210447,13.802909,182,608,359,13.9881103333333,2.821674,3.689704,3.081587,95,91,93,12.0580203333333,1.14780877581214
"MEDAG","Medag",6.70038,7.54823,7.586933,121,508,289,7.27851433333333,1.20536,5.614483,1.36552,17,117,13,0.191325666666667,6.94899351618659
"MEF2A","Mef2a",31.108867,32.269397,35.902534,911,3221,2147,33.0935993333333,8.173091,9.305432,5.75291,520,458,416,0.331288333333333,25.6094780369392
"MEF2C","Mef2c",15.775917,9.049724,10.029317,250,845,517,11.6183193333333,16.456995,39.9493,8.75774,523,495,425,0.457464666666667,8.65771886065163
"MEF2D","Mef2d",36.084209,44.510229,48.066516,803,3348,2012,42.8869846666667,9.507845,13.501306,9.289895,702,578,592,5.04634233333333,7.25843530637007
"MEFV","Mefv",0,0,0,0,0,0,0,0.2923,0.171838,0.081056,6,4,3,3.05054066666667,0.246880622191836
"MEGF10","Megf10",8.066759,8.778763,10.001994,425,1736,1116,8.949172,26.892232,36.327877,21.821305,1766,1937,1324,2.554038,2.79939944367505
"MEGF11","Megf11",26.792785,19.209988,22.429073,795,2927,2053,22.8106153333333,0.339252,1.034133,1.202747,4,11,5,0.101939333333333,21.6079185242503
"MEGF6","Megf6",1.168505,1.147204,1.603832,22,98,58,1.30651366666667,6.23525,6.506872,6.109522,336,412,206,5.12506166666667,0.376569868548262
"MEGF8","Megf8",14.430673,18.702422,18.518031,859,4104,2363,17.217042,204.873092,144.885292,146.1896,4336,3027,2933,0.00704633333333333,18.0895768119242
"MEGF9","Megf9",21.923122,19.246317,19.872257,1205,3882,2278,20.347232,16.801568,20.15281,16.29561,1608,1539,1371,500.920179333333,0.0425311292093378
"MEI1","Mei1",0,0.013936,0.03468,0,1,2,0.0162053333333333,3.631103,2.237881,0.942379,16,8,13,116.469872666667,0.00865077411139216
"MEI4","Mei4",1.18649,0.423626,0.522872,15,24,16,0.710996,0.236684,0.218194,0.102618,10,13,5,18.4250206666667,0.0880820684497942
"MEIG1","Meig1",4.804411,1.065038,3.284486,7,8,11,3.05131166666667,1.317794,2.647149,0.79061,6,11,3,0,4.05131166666667
"MEIKIN","Meikin",0,0.031138,0.054963,0,1,1,0.0287003333333333,0,0,0,0,0,0,0.136795666666667,0.90491225775843
"MEIOB","Meiob",0,0.07774,0,0,3,0,0.0259133333333333,0.079549,0.186288,0.209955,2,4,5,0,1.02591333333333
"MEIOC","Meioc",0.163493,0.180057,0.331097,5,20,21,0.224882333333333,1.50676,1.070717,1.219714,35,23,20,59.228745,0.0203371717828976
"MEIS1","Meis1",9.870761,9.836816,12.679743,181,686,489,10.7957733333333,1.813589,2.05644,0.319675,15,20,11,3.97814166666667,2.36951338936718
"MEIS2","Meis2",67.817824,90.244556,71.828747,351,1586,726,76.6303756666667,47.863323,33.829026,50.202705,1141,702,1151,40.0125683333333,1.89284355555884
"MEIS3","Meis3",18.041981,21.678965,19.669159,109,497,246,19.7967016666667,49.460232,54.617547,63.088613,898,658,757,0,20.7967016666667
"MELK","Melk",0.713608,0.18983,0.023983,2,3,1,0.309140333333333,1.400007,6.468097,2.038187,37,110,44,0.828920666666667,0.715799409560684
"MELTF","Meltf",0.247871,0.120785,0.098936,7,13,6,0.155864,13.699721,11.916698,25.6406,205,118,320,3.21267166666667,0.274377898744384
"MEMO1","Memo1",12.299514,12.146562,13.929231,99,366,213,12.791769,26.712939,19.373782,21.510434,278,227,284,910.407164333333,0.0151323903736134
"MEN1","Men1",47.436368,38.421452,44.46907,241,965,537,43.4422966666667,10.847549,11.861365,11.289174,452,353,409,0.890703666666667,23.5056912673253
"MEOX1","Meox1",0.419678,0.422178,0.715612,6,23,22,0.519156,0.132296,0.338721,0.075251,3,11,1,0.105445333333333,1.37424796522427
"MEOX2","Meox2",0,0.034547,0,0,2,0,0.0115156666666667,2.491856,1.944281,2.819574,86,54,86,4.585608,0.181093207161453
"MEP1A","Mep1a",0,0,0,0,0,0,0,0,0,0,0,0,0,8.851759,0.101504716061365
"MEP1B","Mep1b",0,0,0,0,0,0,0,0.259954,0.037144,0.293343,1,1,1,3.216555,0.237160430730774
"MEPCE","Mepce",24.73512,35.623641,31.395829,183,752,400,30.5848633333333,11.091112,10.831111,10.624229,350,266,288,9.698135,2.95237098179574
"MEPE","Mepe",0,0,0,0,0,0,0,0,0.300937,0,0,1,0,28.362296,0.0340572821689421
"MERTK","Mertk",5.31753,4.590772,4.248006,140,432,248,4.71876933333333,7.861008,4.919521,8.229694,230,75,218,5.26965466666667,0.91213466089892
"MESD","Mesd",35.027128,31.634286,37.45055,252,910,588,34.703988,18.450664,13.394977,19.480546,1115,631,987,12.2378936666667,2.69710490951468
"MESP1","Mesp1",0,0,0,0,0,0,0,0.031697,0,0.037594,1,0,1,0,1
"MESP2","Mesp2",0.083579,0.162822,0.08185,1,7,2,0.109417,0,0,0,0,0,0,12.4004096666667,0.0827897823720763
"MEST","Mest",11.229654,13.143872,12.040796,61,331,225,12.1381073333333,9.143846,21.735666,7.830483,107,139,105,17.22874,0.720735900195698
"MET","Met",0.25587,0.622167,0.529323,12,69,23,0.46912,0.875516,2.400277,0.967938,91,117,89,7.49096533333333,0.173021552005708
"METAP1","Metap1",15.320396,17.440347,14.186252,169,750,440,15.6489983333333,13.353318,20.238931,15.520909,323,343,338,16.6466743333333,0.943463794868393
"METAP1D","Metap1d",9.047939,12.02835,9.088511,103,464,226,10.0549333333333,15.549835,21.665009,14.471376,191,168,143,34.7323593333333,0.309381567284884
"METAP2","Metap2",181.026828,145.903496,147.008804,626,2322,1337,157.979709333333,132.928915,178.539776,144.498703,651,620,611,55.4138613333333,2.81809657371205
"METRN","Metrn",122.92269,126.097307,149.380788,753,2700,1793,132.800261666667,18.262374,11.031264,25.721634,282,149,249,0.106161333333333,120.959084027526
"METRNL","Metrnl",4.738567,4.941429,4.14723,30,120,55,4.60907533333333,8.134252,7.678682,7.770988,86,50,55,0.066322,5.26020782965496
"METTL1","Mettl1",2.566241,3.96447,3.473,24,135,67,3.33457033333333,10.799492,11.493443,13.515073,97,76,90,5.08002233333333,0.712920133462229
"METTL11B","Mettl11b",0,0.023895,0,0,1,0,0.007965,0.130966,0,0,1,0,0,9.51423533333333,0.0958666957742941
"METTL14","Mettl14",7.985171,8.562132,10.512598,145,507,319,9.019967,12.23172,16.245063,14.202519,266,238,223,3.370079,2.29285717718146
"METTL15","Mettl15",1.80315,1.961673,3.612902,21,77,65,2.45924166666667,2.749169,2.973406,3.236011,129,109,145,0.299978333333333,2.66099947819643
"METTL16","Mettl16",9.269616,9.539156,7.683749,241,829,533,8.83084033333333,6.2657,6.33785,4.024689,318,266,263,13.451363,0.680270804444767
"METTL17","Mettl17",20.439901,68.812632,31.802109,69,287,130,40.3515473333333,90.774723,127.621391,142.543499,456,375,441,0,41.3515473333333
"METTL18","Mettl18",2.154537,2.200596,2.982255,18,72,53,2.445796,2.995456,2.415614,3.524697,45,37,52,15.7432336666667,0.205802300117215
"METTL21C","Mettl21c",0,0.067203,0.020159,0,3,1,0.0291206666666667,0,0,0.083101,0,0,1,10.381427,0.0904210576289482
"METTL21EP","Mettl21e",0,0.141592,0,0,1,0,0.0471973333333333,0.16732,0.178152,0.293028,6,5,6,3.71271633333333,0.222206740076088
"METTL22","Mettl22",14.18655,15.623674,15.1139,58,260,136,14.974708,69.038708,69.067331,73.732028,288,217,231,0.748652,9.13544147148775
"METTL23","Mettl23",11.185549,7.473477,11.045025,50,155,89,9.90135033333333,18.127214,14.767983,10.890002,153,97,107,53.816678,0.198869226138317
"METTL24","Mettl24",0.446,0.274689,0.268338,4,9,5,0.329675666666667,0.399297,0,0.092748,5,0,1,0,1.32967566666667
"METTL25","Mettl25",3.785612,2.948799,3.123979,37,116,71,3.28613,4.948348,3.469034,3.141296,50,42,38,0.0319316666666667,4.15350176610531
"METTL26","Mettl26",49.570343,28.403893,26.670634,103,326,188,34.8816233333333,21.944769,19.357497,24.636946,182,128,169,28.0815586666667,1.23382737990797
"METTL2A","Mettl2",8.702884,6.36043,5.530891,62,197,107,6.864735,8.99126,9.422966,7.785548,288,228,260,1.891391,2.72005239000882
"METTL3","Mettl3",16.975329,19.690374,23.583524,83,296,195,20.0830756666667,35.088868,34.018107,33.82067,887,708,774,11.3442833333333,1.7079222096058
"METTL4","Mettl4",2.968239,3.543313,4.094128,126,490,317,3.53522666666667,3.603382,5.042975,3.282892,69,70,48,2.13261833333333,1.44774312861818
"METTL5","Mettl5",22.080037,11.73907,16.780969,60,173,107,16.866692,42.232143,95.908007,49.435641,144,124,129,6.66120533333333,2.33209935286075
"METTL6","Mettl6",20.349206,22.670113,17.165776,88,386,244,20.0616983333333,12.793533,10.351771,10.656228,231,172,211,0.783500333333333,11.8091922606874
"METTL7B","Mettl7b",0,0,0,0,0,0,0,0.106824,0,0.063464,2,0,1,62.7244356666667,0.0156925673729126
"METTL8","Mettl8",8.304359,4.354683,7.050638,60,208,117,6.56989333333333,5.090983,8.874278,5.201454,270,213,224,0.560538,4.85082281452508
"METTL9","Mettl9",29.048319,31.194094,39.241081,241,882,585,33.1611646666667,69.455531,77.230836,68.382328,1105,985,1085,2.76016066666667,9.08502792699815
