"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","FoldChange"
"CMTM4","Cmtm4",13.462135,13.671507,14.664943,720,2753,1672,13.9328616666667,8.454132,6.364226,4.848887,637,700,577,8.430462,1.58347084868871
"CMTM5","Cmtm5",61.813202,79.480315,84.951444,238,1169,674,75.414987,0,0,0,0,0,0,140.722156,0.539188713725185
"CMTM6","Cmtm6",6.108352,9.403315,10.255166,138,505,321,8.58894433333333,5.543601,4.194615,3.661569,260,289,251,52.7258183333333,0.17847926063853
"CMTM7","Cmtm7",2.877927,1.11879,3.234713,14,25,33,2.41047666666667,0.650998,0.188063,1.228429,7,5,17,18.3382556666667,0.17635906389144
"CMTM8","Cmtm8",1.057241,1.092404,1.336425,7,27,18,1.16202333333333,0.527142,1.922653,2.356212,7,35,46,39.7070633333333,0.0531117490748329
"CMTR1","Cmtr1",173.30732,261.427479,181.491262,617,2487,1502,205.408687,23.081545,21.947294,15.613529,912,1287,1063,0.0427593333333333,197.944703443876
"CMTR2","Cmtr2",2.298948,2.771762,2.890376,41,203,120,2.65369533333333,6.195089,4.663254,3.370314,269,361,292,35.852535,0.0991436636131906
"CMYA5","Cmya5",1.200541,1.100732,1.417218,100,347,253,1.239497,0.273831,0.129639,0.294961,22,16,18,18.2425366666667,0.116382628693618
"CNBD2","Cnbd2",1.963706,2.583555,3.286036,25,87,66,2.611099,1.827902,2.079536,2.36439,18,22,28,3.39352866666667,0.82191315317847
"CNBP","Cnbp",99.564039,111.974569,123.557616,934,3897,2499,111.698741333333,56.386613,57.869654,54.205092,1316,1808,1807,14.8952723333333,7.0900792996794
"CNDP1","Cndp1",0.152038,0.515913,0.456661,3,8,9,0.374870666666667,0.129486,0.133211,0.372502,8,12,9,0,1.37487066666667
"CNDP2","Cndp2",41.587091,46.626098,50.12438,238,920,610,46.112523,88.263335,75.692326,59.761808,1131,1462,1415,243.680279,0.192547283305983
"CNEP1R1","Cnep1r1",17.100657,17.549561,17.83284,173,617,393,17.4943526666667,11.796335,11.923313,12.257721,199,299,285,318.296396666667,0.0579222091440451
"CNFN","Cnfn",0,0,0.457646,0,0,2,0.152548666666667,1.228349,0.735765,0.830591,6,5,6,5.952031,0.16578589288032
"CNGA1","Cnga1",0.085693,0.065738,0.032739,1,4,1,0.06139,0,0.147562,0.512516,0,2,5,0.13014,0.939166828888456
"CNGA2","Cnga2",0,0.013046,0.046065,0,1,2,0.0197036666666667,0,0,0,0,0,0,22.2788613333333,0.0438038464195213
"CNGA3","Cnga3",0,0.098907,0.16874,0,7,9,0.0892156666666667,2.925136,0.449629,0.681968,146,35,41,5.94613233333333,0.156808942645636
"CNGA4","Cnga4",0.160727,0.146388,0.115108,2,9,4,0.140741,0.418516,0.249038,0.329626,10,10,11,29.7576793333333,0.0370880061410788
"CNGB3","Cngb3",0.030826,0,0.014653,1,0,1,0.0151596666666667,0.126581,0,0.31981,2,0,2,15.011119,0.0634034177540412
"CNIH1","Cnih1",63.995511,50.295514,51.329448,443,1302,762,55.2068243333333,62.550359,59.13058,59.793702,1250,1919,1730,5.38052733333333,8.80911896414831
"CNIH2","Cnih2",14.182015,16.928013,20.724212,104,453,314,17.27808,131.843801,138.516992,144.690558,1677,2385,2697,56.0717703333333,0.320264815568977
"CNIH3","Cnih3",5.761485,4.61243,5.053037,45,197,148,5.14231733333333,9.046472,9.367389,9.802235,118,181,196,0.620839,3.78959127546495
"CNIH4","Cnih4",25.124311,15.23705,18.576325,269,867,510,19.6458953333333,15.625629,12.176772,12.122179,513,616,653,0.765672333333333,11.6929369869872
"CNKSR2","Cnksr2",13.962174,15.428534,16.555659,514,2110,1299,15.3154556666667,12.74198,5.222886,7.304857,431,477,576,1.24666166666667,7.26208841711072
"CNKSR3","Cnksr3",9.633107,9.282181,8.895242,221,782,430,9.27017666666667,2.300438,1.478173,1.945363,152,99,138,31.64524,0.314599514865465
"CNMD","Cnmd",2.203638,1.869989,3.145008,11,30,21,2.40621166666667,0.386304,0.36203,0.204325,5,10,6,0.0579346666666667,3.219680547381
"CNN1","Cnn1",2.238659,0.551151,0.324437,6,11,6,1.03808233333333,18.520973,8.060167,16.671975,163,77,167,14.2038086666667,0.134050774908901
"CNN2","Cnn2",5.240127,4.570052,3.769362,50,180,111,4.52651366666667,39.340234,35.134861,43.777508,644,706,845,0.0976863333333333,5.03469297088209
"CNN3","Cnn3",323.729065,326.814168,289.593922,586,2251,1297,313.379051666667,60.516879,43.359379,35.370373,996,930,890,39.868988,7.69236203418266
"CNNM1","Cnnm1",29.038102,45.231296,38.676217,707,2938,1817,37.6485383333333,2.974985,3.093808,3.205727,219,359,435,3.720265,8.18778995105854
"CNNM2","Cnnm2",9.632587,10.477793,12.038296,208,823,554,10.7162253333333,5.644769,4.698442,3.932841,433,681,595,11.4483773333333,0.941184944800838
"CNNM3","Cnnm3",14.006614,16.789526,11.010793,211,823,451,13.9356443333333,13.26231,18.451412,13.135774,297,427,348,0,14.9356443333333
"CNNM4","Cnnm4",3.136077,3.414205,3.715174,97,402,247,3.42181866666667,3.965264,5.000269,5.497231,301,409,426,13.739905,0.299989631321685
"CNOT1","Cnot1",50.148675,43.970781,55.151154,813,3048,1968,49.75687,81.598232,70.909943,62.450078,1509,1820,1721,1.12019466666667,23.9397215727361
"CNOT10","Cnot10",14.695768,17.775797,16.922239,234,1015,531,16.4646013333333,38.855159,43.453165,28.533575,257,409,363,10.2852396666667,1.54756140314137
"CNOT11","Cnot11",10.276566,11.104311,13.511167,116,514,310,11.6306813333333,26.263168,23.133894,22.244348,421,625,604,5.82456133333333,1.85076823496934
"CNOT2","Cnot2",51.446087,43.330659,63.519982,371,1320,838,52.765576,44.859934,40.063781,39.760442,533,686,669,4.92878566666667,9.06856463074479
"CNOT3","Cnot3",21.8368,24.797031,26.398319,165,787,451,24.34405,34.582946,44.816094,42.774286,395,628,478,39.0672873333333,0.632537206453591
"CNOT4","Cnot4",9.037875,11.352957,8.245532,201,675,381,9.54545466666667,12.906171,11.733587,13.373403,434,647,621,9.270311,1.02679019814168
"CNOT6","Cnot6",13.90205,14.852931,14.761433,392,1551,986,14.5054713333333,9.636023,8.091559,7.050754,543,830,644,8.52171833333333,1.62843205296803
"CNOT6L","Cnot6l",14.264482,22.549905,34.262829,441,1430,873,23.6924053333333,2.877776,2.30151,1.878494,345,446,376,11.507834,1.97415518412967
"CNOT7","Cnot7",120.905161,116.321775,122.144102,449,1585,952,119.790346,50.425293,51.232502,46.24685,1494,2226,2058,0.717248666666667,70.3394612234377
"CNOT8","Cnot8",49.774764,62.875072,112.40875,255,871,568,75.0195286666667,19.916585,24.701503,16.898726,625,1039,871,11.9026763333333,5.89176436754246
"CNOT9","Cnot9",6.722416,7.406666,7.548327,146,586,339,7.225803,22.788863,18.658307,14.213921,591,771,645,0.993811333333333,4.1256676910587
"CNP","Cnp",295.905756,333.816237,335.882723,2792,11830,6661,321.868238666667,36.530247,57.450568,41.166209,1326,2019,1987,20.8391246666667,14.7839367920943
"CNPPD1","Cnppd1",15.899279,14.057578,15.273186,116,554,278,15.076681,19.331817,22.879628,18.467487,590,928,806,0.336510666666667,12.0288460099583
"CNPY1","Cnpy1",57.701522,50.127445,52.624186,621,2330,1467,53.4843843333333,0.079786,0.031145,0.082783,2,1,3,0.0150036666666667,53.6790024732259
"CNPY2","Cnpy2",27.432394,28.317172,28.603806,100,388,230,28.1177906666667,67.412591,60.014305,55.548601,474,594,552,5.66595233333333,4.3681366458416
"CNPY3","Cnpy3",17.004282,19.28335,19.418362,203,775,450,18.5686646666667,15.105685,14.498558,14.739672,311,402,434,1.78676633333333,7.02199694054004
"CNPY4","Cnpy4",5.466545,5.61552,5.863925,63,199,128,5.64866333333333,10.595713,8.994431,8.903889,156,173,192,6.53325666666667,0.8825749111606
"CNR1","Cnr1",44.929057,42.399016,51.727739,1755,6078,4088,46.3519373333333,70.369331,68.666801,51.395382,5084,6738,5640,0.786830333333333,26.500522433486
"CNR2","Cnr2",0.079419,0.031218,0.018625,2,3,1,0.0430873333333333,0.116182,0.044748,0.060199,10,5,8,5.57846866666667,0.158560811974175
"CNRIP1","Cnrip1",17.572427,17.900414,19.232584,174,687,420,18.2351416666667,44.668723,46.317617,53.269859,1023,1447,1823,46.3366553333333,0.406347713652716
"CNST","Cnst",24.581166,18.24892,20.19803,476,1578,1029,21.009372,35.140569,36.41063,36.878723,2865,4045,4322,95.3707,0.22838240253521
"CNTD1","Cntd1",0.252615,0.092368,0.260129,1,3,5,0.201704,0.391795,0.416072,0.4936,17,16,23,43.1932096666667,0.0271920507486109
"CNTF","Cntf",2.040261,1.517736,0.867099,12,34,11,1.475032,0.150764,0.332182,0.112225,4,13,5,98.621554,0.0248443424201152
"CNTFR","Cntfr",41.683195,41.896704,42.140168,494,1833,1066,41.906689,27.896667,28.891747,23.617096,755,1034,926,0.135551666666667,37.7848848797427
"CNTLN","Cntln",2.481045,3.127782,2.812326,85,335,197,2.807051,0.98979,1.134317,0.819131,83,95,87,15.5816743333333,0.229593883191088
"CNTN1","Cntn1",72.398073,74.115744,80.666625,2651,10079,6108,75.726814,83.373369,58.150615,82.983798,5329,5218,7094,1786.22257033333,0.0429307548335682
"CNTN2","Cntn2",38.99413,48.552922,46.887665,1815,8084,4654,44.8115723333333,37.296662,36.637462,27.193913,2576,3297,3198,103.156921,0.439832244401055
"CNTN3","Cntn3",2.559021,2.403567,2.541116,91,312,189,2.50123466666667,2.125957,0.424114,0.77407,103,45,30,31.348915,0.108233449766914
"CNTN4","Cntn4",18.435735,12.144378,13.153085,251,900,549,14.5777326666667,2.512248,4.226003,4.330123,107,216,213,50.6730006666667,0.301467545249711
"CNTN5","Cntn5",0.550027,0.903833,0.542537,15,76,33,0.665465666666667,3.716463,4.014915,1.223395,244,253,127,48.7831116666667,0.0334544308483195
"CNTN6","Cntn6",11.448816,11.299176,11.460241,273,1014,580,11.4027443333333,1.187734,0.980148,0.827659,66,68,60,1.16376866666667,5.73201032273012
"CNTNAP1","Cntnap1",36.219374,41.73229,45.193879,1341,5888,3638,41.0485143333333,70.906937,70.212683,61.590981,4852,6787,6590,27.5324596666667,1.47370800921369
"CNTNAP2","Cntnap2",39.547108,55.719923,47.402658,649,3072,1716,47.556563,47.413924,34.867997,29.383733,4211,3110,2871,5.41636433333333,7.56761313377207
"CNTNAP4","Cntnap4",9.688594,10.341893,13.328262,318,1280,742,11.119583,0.07392,0.124266,0.178555,6,10,5,4.82419433333333,2.08090292087896
"CNTNAP5","Cntnap5a",2.693707,3.315583,3.065579,208,957,501,3.02495633333333,2.4521,0.837756,1.327864,42,24,22,13.1997816666667,0.283451987348632
"CNTRL","Cntrl",3.445567,3.235574,3.265158,77,311,151,3.315433,2.502048,3.266087,2.515873,148,218,178,25.4842956666667,0.162943091042117
"CNTROB","Cntrob",10.061194,10.397275,5.318111,55,280,127,8.59219333333333,23.89425,27.842686,24.865528,378,635,552,18.513483,0.491567463037395
"COA3","Coa3",147.11689,129.575142,122.118044,202,775,438,132.936692,44.346909,44.918032,43.5083,409,563,582,0.185926666666667,112.938426771751
"COA5","Coa5",17.70731,17.63228,17.452934,460,1715,962,17.597508,24.260832,24.17115,22.670422,301,394,363,10.3731443333333,1.63521251950465
"COA6","Coa6",14.442155,14.203878,17.698062,37,150,106,15.4480316666667,17.877738,18.406032,20.123647,139,191,226,2.41609866666667,4.8148584896455
"COA7","Coa7",18.32374,15.881178,16.594561,76,233,156,16.9331596666667,13.501004,14.031489,12.636917,736,1052,958,10.0611206666667,1.62127872998523
"COASY","Coasy",7.975258,10.360505,10.079921,96,421,215,9.47189466666667,45.151024,34.54995,39.76579,682,702,767,1.95841133333333,3.53970205179942
"COBL","Cobl",4.598818,5.21666,3.891582,110,530,267,4.56902,2.912951,1.831386,1.641001,146,81,150,5.96974033333333,0.79902833300198
"COBLL1","Cobll1",6.224296,6.948255,6.888059,114,494,325,6.68687,0.888349,0.64984,1.558104,20,48,68,12.3233443333333,0.576947484631799
"COCH","Coch",3.19977,3.658437,3.756657,51,222,113,3.538288,13.480285,22.271908,17.005493,309,708,603,68.2827896666667,0.0655038288994224
"COG1","Cog1",14.120419,19.167145,17.313017,176,834,474,16.8668603333333,33.454308,18.572004,27.363079,656,760,787,15.6512203333333,1.0730060605568
"COG2","Cog2",10.559572,11.792097,11.711475,132,672,369,11.3543813333333,9.109068,5.814323,6.303963,215,277,251,0,12.3543813333333
"COG3","Cog3",7.401291,9.054875,8.362846,214,884,514,8.273004,14.763324,6.275182,8.423328,396,554,470,28.8427553333333,0.310728814964427
"COG4","Cog4",28.271836,25.476773,22.82275,277,1082,605,25.5237863333333,16.694382,17.202195,15.502883,611,799,812,0.308168333333333,20.2755147464457
"COG5","Cog5",17.855648,20.374185,20.167038,321,1163,690,19.4656236666667,29.053002,21.739552,44.3204,716,907,965,13.7530946666667,1.38720886221295
"COG6","Cog6",19.453593,14.780836,13.402143,280,975,569,15.8788573333333,32.564721,31.384027,20.338384,304,386,405,28.2400213333333,0.577251881621974
"COG7","Cog7",10.350019,11.627796,12.018974,199,852,498,11.332263,10.307992,9.066995,8.42619,209,260,267,0,12.332263
"COG8","Cog8",12.969092,11.936806,10.355784,204,638,398,11.753894,5.059223,6.442825,5.992971,191,341,307,0.0214073333333333,12.4865894181296
"COIL","Coil",6.136376,7.229132,6.675241,104,411,227,6.68024966666667,7.354715,7.345131,7.077436,301,408,414,0,7.68024966666667
"COL10A1","Col10a1",0.095732,0.0127,0.022523,2,1,1,0.0436516666666667,0.019187,0.773531,0.159905,1,5,1,16.0810376666667,0.0611000155279403
"COL11A1","Col11a1",1.715789,4.104369,2.45904,47,400,129,2.75973266666667,26.722373,1.506663,1.073771,1034,128,85,11.0965026666667,0.310811543656089
"COL11A2","Col11a2",10.079417,10.747858,6.584759,92,591,281,9.13734466666667,2.626247,3.040541,3.179521,231,390,349,4.324343,1.90396160928525
"COL12A1","Col12a1",1.378285,3.022388,1.812592,44,241,131,2.07108833333333,5.186367,0.390526,0.175912,300,37,18,8245.42334033333,0.000372414585886297
"COL13A1","Col13a1",0.88896,0.744534,0.971851,12,51,24,0.868448333333333,0.404921,0.285877,0.257272,9,6,6,4.89964266666667,0.316705339442027
"COL14A1","Col14a1",1.101811,0.280252,0.21089,8,34,16,0.530984333333333,0.498308,0.116165,0.18819,35,12,6,1.020741,0.757635111740363
"COL15A1","Col15a1",4.95208,4.774116,1.325245,43,135,69,3.68381366666667,2.872761,1.695348,1.362852,39,34,30,35.265619,0.129153004851969
"COL16A1","Col16a1",16.927853,13.773772,15.483472,61,438,207,15.3950323333333,22.602445,2.100257,2.72707,239,18,46,10.5112516666667,1.4242614798188
"COL17A1","Col17a1",1.608846,0.440819,1.1341,20,47,43,1.061255,0,0,0.14009,0,0,3,30.0278436666667,0.066432428310009
"COL18A1","Col18a1",8.583,11.409864,11.281567,241,1157,769,10.4248103333333,31.014195,21.233295,15.356427,1651,1326,1198,1.73927133333333,4.17074796290108
"COL19A1","Col19a1",1.616874,1.543511,1.726853,56,188,119,1.62907933333333,0.279091,0.123135,1.885475,34,16,93,7.26565433333333,0.318072741407889
"COL1A1","Col1a1",1.139879,2.86238,2.264417,49,227,137,2.088892,225.814631,1.916891,5.309663,13150,156,517,4.09242933333333,0.606565510841977
"COL1A2","Col1a2",11.591743,6.321838,5.644811,198,783,433,7.85279733333333,95.495002,0.546278,2.350218,5481,47,151,27.8065766666667,0.307318618097974
"COL20A1","Col20a1",0.454261,2.011199,0.990911,14,67,37,1.15212366666667,0.044888,0.221741,0.087931,6,13,5,38.2464513333333,0.0548361340593053
"COL23A1","Col23a1",4.946714,3.576784,2.341162,65,276,134,3.62155333333333,0.146242,0.285798,0.484866,6,15,26,0.214786333333333,3.80441663403633
"COL24A1","Col24a1",0.377554,0.648172,0.350475,11,111,36,0.458733666666667,2.903714,1.804568,1.037655,197,268,122,0.0111623333333333,1.44263054366147
"COL25A1","Col25a1",2.765751,3.907832,3.307592,111,543,268,3.32705833333333,0.435432,0.136571,0.088503,56,24,16,5.29618766666667,0.687250533563617
"COL26A1","Col26a1",4.486979,1.645374,2.39686,11,46,27,2.843071,15.317496,21.589623,19.436688,465,960,979,115.32892,0.0330362475642342
"COL27A1","Col27a1",0.894095,2.403036,2.058291,44,326,172,1.78514066666667,17.69815,0.689278,3.042632,851,103,234,14.268706,0.182408428498569
"COL28A1","Col28a1",0.2802,0.101075,0.130179,5,11,8,0.170484666666667,1.217351,1.134531,0.333184,38,35,22,505.908572333333,0.00230906465297844
"COL2A1","Col2a1",1.683513,0.643589,1.184569,9,71,40,1.170557,5.434089,0.276491,0.324481,297,21,23,15.8071273333333,0.129145032161157
"COL3A1","Col3a1",4.388524,2.909153,5.092597,39,154,74,4.13009133333333,118.327246,0.169079,0.879912,3462,21,113,26.0309853333333,0.189785583842819
"COL4A1","Col4a1",8.94568,16.088262,15.247195,157,623,324,13.4270456666667,60.979345,2.107558,2.65208,5147,197,303,45.0612173333333,0.313214597917849
"COL4A2","Col4a2",5.306275,5.426486,5.842516,154,677,347,5.52509233333333,92.534832,24.129726,25.677096,4121,1343,1314,35.6043596666667,0.178259977575167
"COL4A3","Col4a3",0.51115,0.248911,0.205512,8,41,26,0.321857666666667,0.270053,0,0.117045,10,0,2,0.0539266666666667,1.25422167260214
"COL4A4","Col4a4",0.069355,0.360594,0.20257,5,69,31,0.210839666666667,0.106955,0,0.008293,18,0,2,27.172501,0.0429794879292636
"COL5A1","Col5a1",1.344821,2.542311,2.143867,57,347,177,2.010333,20.155567,0.560728,0.731308,1709,38,66,137.047616,0.0218064830616126
"COL5A2","Col5a2",0.522584,2.823664,0.641571,24,133,61,1.329273,14.871174,1.53335,1.073955,1262,67,83,315.976394333333,0.00734841155884476
"COL6A1","Col6a1",1.674672,1.741572,1.54552,47,186,93,1.65392133333333,70.532879,74.222164,64.574403,3558,5217,4416,27.805134,0.0921336221985058
"COL6A2","Col6a2",1.189298,1.159467,1.087939,33,121,65,1.145568,26.998276,6.442048,16.46222,573,178,586,106.326013,0.019991127407295
"COL6A5","Col6a5",0.030809,0.139237,0.245763,2,16,13,0.138603,1.991852,1.946985,1.605111,295,348,318,0.0303953333333333,1.10501568006584
"COL6A6","Col6a6",0,0.146549,0.060381,0,17,8,0.0689766666666667,0.19711,0.051807,0.088461,21,5,11,6.79921133333333,0.137062149104478
"COL7A1","Col7a1",0.630547,1.467376,8.994039,9,90,54,3.69732066666667,19.131504,18.463138,16.598313,740,869,787,9.09139033333333,0.46547804727667
"COL8A1","Col8a1",1.068453,1.296098,1.732299,38,172,130,1.36561666666667,5.066359,0.849898,0.726443,393,54,51,0.220336,1.93849617373139
"COL8A2","Col8a2",1.465175,2.10284,2.78881,35,233,133,2.11894166666667,0.190378,0.106687,0.084277,13,6,9,34.7361653333333,0.0872768982786588
"COL9A1","Col9a1",0,0.154208,0.091442,0,12,4,0.0818833333333333,6.973681,4.81816,0.262441,67,16,10,0.0731073333333333,1.00817811949224
"COL9A2","Col9a2",6.561608,6.289252,5.215769,63,253,119,6.02220966666667,18.17365,26.480681,30.787269,397,536,926,28.265168,0.239951114125388
"COLEC10","Colec10",0,0.017217,0,0,2,0,0.005739,0.440188,0.629926,0.443304,13,16,21,0.027637,0.978690919069672
"COLEC11","Colec11",0.654177,0.397717,0.364266,5,9,6,0.472053333333333,0.354467,0.142282,0.585827,5,4,9,20.46001,0.0685951839413557
"COLEC12","Colec12",6.596151,5.106778,5.941314,136,526,323,5.88141433333333,2.067685,0.77624,0.580097,75,17,18,0.0656316666666667,6.45759181956242
"COLGALT1","Colgalt1",10.29452,12.292401,11.959955,206,920,511,11.5156253333333,20.890355,19.769162,15.152106,515,702,630,17.127756,0.690412279011993
"COLGALT2","Colgalt2",0.859975,1.3221,1.53987,23,134,87,1.24064833333333,4.179347,6.140961,5.321221,318,639,610,0.420199,1.57770026125447
"COLQ","Colq",1.378577,1.885615,2.136631,26,135,86,1.80027433333333,6.103376,1.832793,3.581371,96,80,94,115.212550666667,0.0240961438095045
"COMMD1","Commd1",47.008052,49.385555,51.511366,98,383,222,49.3016576666667,23.489437,27.874471,25.947596,164,241,240,30.4699353333333,1.59840359167775
"COMMD10","Commd10",14.177877,10.398289,12.364332,78,282,176,12.3134993333333,8.616084,7.16311,6.461092,114,157,139,0.953542333333333,6.81505545396423
"COMMD2","Commd2",11.077375,7.678915,7.42,81,217,130,8.72543,15.736121,22.266871,17.341066,599,1045,907,45.5993643333333,0.208703061493121
"COMMD3","Commd3",70.336509,64.83928,59.987538,174,687,350,65.0544423333333,131.346905,179.848093,90.438081,204,385,270,4.44180933333333,12.1383235404303
"COMMD4","Commd4",112.937406,120.988643,95.313262,114,464,270,109.746437,14.45724,15.83039,12.445144,191,240,242,22.901463,4.63345850419282
"COMMD5","Commd5",7.435689,11.940674,9.186837,44,252,114,9.52106666666667,9.223232,10.214486,8.235257,183,265,233,40.296248,0.254770522171086
"COMMD6","Commd6",25.477962,30.300645,32.628297,125,468,261,29.468968,94.3692,103.748142,106.745627,393,523,595,26.7459676666667,1.09814039885171
"COMMD7","Commd7",5.664308,8.604103,8.287775,91,400,211,7.51872866666667,26.750163,35.779381,26.179435,569,939,827,30.308109,0.272093362989974
"COMMD8","Commd8",38.44911,50.969709,55.988168,166,657,407,48.4689956666667,3.074686,4.318113,2.186272,58,77,56,0.0614073333333333,46.6069850029301
"COMMD9","Commd9",35.755905,24.910394,24.798872,88,409,190,28.4883903333333,60.393533,66.965508,64.047103,457,703,647,0.302366333333333,22.6421626378036
"COMP","Comp",1.07131,1.761773,2.101309,9,32,34,1.64479733333333,0.175095,0.584902,0.267232,1,5,3,1177.015561,0.00224512936916402
"COMT","Comt",28.619836,29.510235,32.108258,301,1125,677,30.079443,46.927193,46.519567,50.766046,365,466,457,125.284,0.246107527477749
"COMTD1","Comtd1",13.701474,14.316964,14.244569,41,153,88,14.087669,12.354751,16.855129,18.559613,89,192,224,0.229331,12.2730729152685
"COP1","Cop1",94.473922,70.882918,97.365862,334,1094,726,87.574234,28.68194,29.322178,26.904416,585,751,764,14.2624023333333,5.80342675193095
"COPA","Copa",53.720783,60.038963,69.781429,1367,5587,3268,61.1803916666667,102.133547,90.50785,74.837821,2816,3772,3252,68.5163146666667,0.89447192309926
"COPB1","Copb1",19.133751,25.38939,26.240162,425,1572,960,23.5877676666667,47.394846,45.833725,46.940198,1818,2327,2285,0.937228666666667,12.6922381904322
"COPB2","Copb2",40.453061,33.388567,41.577598,592,2287,1356,38.4730753333333,86.61975,86.382258,77.936798,1702,2073,2019,0.210361333333333,32.6126374382967
"COPE","Cope",92.230634,109.088528,102.270204,302,1306,739,101.196455333333,233.410159,293.320515,243.516674,1051,1618,1552,6.58130866666667,13.4800546748174
"COPG1","Copg1",136.60754,138.912331,132.927791,1631,6687,3772,136.149220666667,87.79923,84.819399,75.81549,1765,2328,2103,39.216114,3.41030514948975
"COPG2","Copg2",32.455218,44.551326,41.208002,559,2180,1301,39.4048486666667,15.786818,14.937739,14.696639,697,968,969,0.292784666666667,31.2541212070894
"COPRS","Coprs",27.62686,25.690974,30.116073,110,395,254,27.8113023333333,50.978201,62.618755,58.452166,410,623,697,12.926295,2.06884188029432
"COPS2","Cops2",51.348046,47.541268,62.354695,542,2398,1426,53.748003,40.881506,38.764714,33.602003,1119,1496,1291,0.409323333333333,38.8470138151406
"COPS3","Cops3",69.111871,48.894162,58.437493,370,1188,724,58.8145086666667,207.447716,207.451062,187.4653,787,1229,1064,5.380509,9.37456692979614
"COPS4","Cops4",50.369865,42.265293,46.501663,319,1264,761,46.3789403333333,48.666329,51.123474,45.681232,797,1006,978,134.009968,0.350929202007761
"COPS5","Cops5",52.169751,59.726334,56.619412,311,1278,693,56.1718323333333,47.273608,47.50959,45.731618,886,1277,1211,18.2160766666667,2.97520838020526
"COPS6","Cops6",63.815726,66.872476,70.130697,402,1617,954,66.939633,161.725226,170.51678,194.311141,833,1077,1152,1.129007,31.9114183278871
"COPS7A","Cops7a",82.105111,83.162542,96.675253,429,1598,1007,87.314302,36.004531,29.325227,42.30655,764,850,1190,3.79529633333333,18.4168601606755
"COPS7B","Cops7b",10.329483,19.583803,26.54153,63,272,129,18.818272,159.18597,141.599558,90.356841,548,698,685,6.32940666666667,2.70393947304511
"COPS8","Cops8",119.220443,106.616891,123.718025,378,1387,863,116.518453,86.704399,83.267663,81.376833,1704,1992,2139,9.14754466666667,11.5809742021666
"COPS9","Cops9",148.022573,119.380563,123.480443,213,660,390,130.294526333333,84.540479,87.730934,76.777684,254,355,333,0.0583676666666667,124.053795735131
"COPZ1","Copz1",27.547803,27.413444,30.092147,281,1082,666,28.3511313333333,80.145816,74.59307,71.805378,1061,1468,1584,21.12268,1.32674392674546
"COPZ2","Copz2",4.636229,4.354237,7.548155,20,69,47,5.51287366666667,1.781081,0.288143,0.542727,13,3,5,0.489969666666667,4.37114513964378
"COQ10B","Coq10b",15.099009,13.74008,13.585371,154,531,305,14.1414866666667,11.962205,13.903817,11.385169,334,490,449,3.09254033333333,3.69977701706218
"COQ2","Coq2",22.427833,21.99404,22.535715,225,796,444,22.319196,4.966648,5.592026,5.258211,94,147,143,4.86720866666667,3.97449576533441
"COQ3","Coq3",4.95039,5.986017,5.718615,75,388,210,5.551674,4.554442,4.43791,5.092441,58,78,71,342.649464666667,0.0190649911425149
"COQ4","Coq4",43.958438,20.901395,15.681737,42,152,94,26.84719,18.517756,21.660728,25.107688,360,632,623,17.138925,1.53521721932253
"COQ5","Coq5",17.833149,18.509094,20.47754,187,650,384,18.9399276666667,15.948528,18.054962,17.379778,312,434,427,88.443615,0.222932935645173
"COQ6","Coq6",28.073213,22.965961,26.36606,62,350,165,25.8017446666667,13.097901,15.145845,13.507059,203,302,282,0.0283313333333333,26.0633356175085
"COQ7","Coq7",21.649294,23.419962,19.501728,105,433,208,21.5236613333333,19.596781,17.163056,15.921152,281,390,310,0.032228,21.8204324367614
"COQ8A","Coq8a",28.478245,35.745891,45.263075,148,687,432,36.495737,5.515257,4.873876,2.195171,123,179,139,0.680328,22.3145344242315
"COQ8B","Coq8b",3.484096,5.909976,6.507521,50,248,145,5.300531,27.022817,31.219996,17.962232,457,647,538,6.318229,0.860936573589047
"COQ9","Coq9",183.255218,147.977503,143.98654,252,1014,576,158.406420333333,30.236009,26.45601,28.000388,372,451,487,2.863674,41.2577304227358
"CORIN","Corin",1.269368,1.664275,1.528331,34,144,104,1.48732466666667,0.460266,0.435455,0.450978,21,16,17,3.22778466666667,0.588328134655865
"CORO1A","Coro1a",48.232235,39.239011,40.379019,151,674,405,42.616755,33.340707,38.555502,41.041043,393,608,626,8.00464866666667,4.84380419654352
"CORO1B","Coro1b",95.658502,97.412665,86.201667,292,1210,685,93.0909446666667,87.122613,128.275291,85.258863,370,636,666,0.220937,77.064537045455
"CORO1C","Coro1c",230.340581,253.110502,331.033466,445,2059,1176,271.494849666667,122.926299,115.599355,107.111998,2684,3760,3605,5.237838,43.6841818698508
"CORO2A","Coro2a",9.805453,9.5941,9.733241,173,599,353,9.71093133333333,3.049074,3.181229,3.157059,276,391,412,8.646777,1.11031190348168
"CORO2B","Coro2b",84.818627,107.243532,134.560647,1018,4147,2680,108.874268666667,20.613167,26.74677,20.513056,1110,1969,1611,11.6917046666667,8.65717187347095
