"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","FoldChange"
"FOXL1","Foxl1",0.057134,0,0,1,0,0,0.0190446666666667,0.040594,0.270762,0.010386,4,7,1,11.976476,0.0785301546172217
"FOXL2","Foxl2",0.351174,0.222739,0.181175,7,15,7,0.251696,0,0,0,0,0,0,0.199694666666667,1.04334547345936
"FOXM1","Foxm1",0.157666,0.467966,0.661262,5,23,19,0.428964666666667,9.974503,8.020619,5.353466,454,360,317,0.098176,1.30121644132331
"FOXN1","Foxn1",0,0,0,0,0,0,0,0,0.013813,0,0,1,0,0,1
"FOXN3","Foxn3",17.313155,20.909265,21.616253,749,2801,1648,19.9462243333333,7.333928,7.607054,5.175556,880,597,554,0.100923,19.0260575293034
"FOXN4","Foxn4",0,0,0,0,0,0,0,0,0,0,0,0,0,0.031275,0.969673462461516
"FOXO1","Foxo1",3.312142,2.792401,2.737526,195,605,337,2.94735633333333,32.044104,4.68687,4.397846,480,520,386,71.435804,0.0544945471073025
"FOXO3","Foxo3",20.41004,20.461387,22.972955,968,3502,2237,21.2814606666667,1.891548,1.747189,1.269586,287,259,187,0.90699,11.6840993747564
"FOXO4","Foxo4",6.469483,5.908675,7.08495,129,463,311,6.48770266666667,8.821969,2.389744,2.224899,233,184,170,0.012956,7.39193278549776
"FOXO6","Foxo6",0.910964,0.454016,0.562699,13,21,15,0.642559666666667,5.642574,5.282915,4.782983,265,204,200,0,1.64255966666667
"FOXP1","Foxp1",5.016009,8.690046,16.020096,155,563,335,9.908717,8.688988,9.244746,5.6551,389,368,366,3.74656533333333,2.29823382465468
"FOXP2","Foxp2",3.24466,5.313942,3.424381,75,380,216,3.99432766666667,5.120956,2.653665,2.678113,4,4,3,1.838859,1.75927288627814
"FOXP3","Foxp3",0,0.058674,0.104378,0,4,2,0.0543506666666667,0.15398,0.021791,0.045436,3,1,2,104.588508666667,0.00998546792620356
"FOXP4","Foxp4",10.448172,13.304237,11.561943,180,833,494,11.7714506666667,5.75656,4.825315,4.120517,518,416,361,6.69897533333333,1.65885070593377
"FOXQ1","Foxq1",0.471016,0.685869,0.623912,15,77,40,0.593599,0,0,0.021912,0,0,1,6.94839333333333,0.200493223368412
"FOXR1","Foxr1",0.081112,0.063674,0.15032,1,3,4,0.0983686666666667,0,0,0,0,0,0,0.652037,0.664857183384311
"FOXR2","Foxr2",0.148585,0.21535,0.350757,3,17,15,0.238230666666667,0,0,0,0,0,0,49.631781,0.0244556016440873
"FOXRED1","Foxred1",13.786816,18.610756,17.85599,147,605,319,16.7511873333333,21.465707,21.750031,17.53075,629,519,434,14.5593563333333,1.14086900210032
"FOXRED2","Foxred2",5.6276,7.271056,7.123954,159,763,430,6.67420333333333,6.124627,3.933489,3.456704,409,312,288,7.74031633333333,0.878023522337044
"FOXS1","Foxs1",0.258836,0.203167,0.302402,2,6,5,0.254801666666667,0,0.041192,0.040848,0,1,1,18.608616,0.0639923626770327
"FPGS","Fpgs",2.019823,4.18202,5.656601,18,93,74,3.95281466666667,24.720544,19.646705,15.787616,425,359,338,1.099608,2.35892350699115
"FPGT","Fpgt",16.271911,12.001483,11.515947,157,523,313,13.2631136666667,3.032436,1.874315,1.202462,65,84,39,0.247461333333333,11.4337120402396
"FPR1","Fpr1",0,0.171635,0.242304,0,5,4,0.137979666666667,0.68798,0,0.510251,7,0,7,12.6845936666667,0.0831577242544359
"FPR2","Fpr2",0.22211,0.126961,0,1,3,0,0.116357,0,0,0,0,0,0,2.14493033333333,0.354970343275225
"FRA10AC1","Fra10ac1",7.183348,9.238259,9.211092,61,285,165,8.544233,12.523973,18.112965,14.925336,123,124,105,0.102380333333333,8.65784041261017
"FRAS1","Fras1",0.321536,4.070812,3.596515,36,241,116,2.66295433333333,2.176364,3.040683,1.119872,732,450,311,0,3.66295433333333
"FRAT1","Frat1",4.003439,4.284183,4.327539,62,236,136,4.20505366666667,0.692615,0.436841,0.345684,15,21,13,0.276773666666667,4.07672385682558
"FRAT2","Frat2",1.471239,1.437508,1.246239,18,58,29,1.38499533333333,1.501968,2.17389,1.71805,66,84,69,0.0313023333333333,2.31260538859119
"FREM1","Frem1",0.678799,1.453936,1.748402,42,222,155,1.29371233333333,3.692231,2.628156,2.152911,169,128,84,12.0386393333333,0.175916541189191
"FREM2","Frem2",0.26316,0.345237,0.427772,23,69,50,0.345389666666667,2.207676,1.614847,1.064353,720,532,347,2.170961,0.424284520265833
"FREM3","Frem3",0.090808,0.178694,0.073706,4,30,7,0.114402666666667,0.006673,0,0,1,0,0,10.4808516666667,0.0970662019702081
"FRG1","Frg1",19.212484,15.398563,16.635109,106,317,193,17.082052,19.582998,25.08473,21.812971,182,209,165,0,18.082052
"FRK","Frk",0.092614,0.169511,0.308346,3,19,21,0.190157,0.491361,0.339442,0.278938,121,89,72,0.012783,1.17513524614848
"FRMD3","Frmd3",1.182635,2.347053,2.677385,24,165,102,2.06902433333333,38.032375,28.950655,27.206272,1058,871,784,12.2893243333333,0.230939079847375
"FRMD4A","Frmd4a",12.839019,38.305812,36.130468,293,1228,747,29.0917663333333,3.5625,2.994048,2.060438,150,124,98,0,30.0917663333333
"FRMD4B","Frmd4b",12.691252,8.187125,6.714266,117,596,324,9.19754766666667,11.211142,6.317848,3.775925,468,332,215,3.61518533333333,2.2095640651773
"FRMD5","Frmd5",15.145813,15.939505,15.180607,237,1057,560,15.421975,7.092205,4.911357,5.96117,289,185,210,0,16.421975
"FRMD6","Frmd6",4.898375,4.591541,4.587983,147,521,259,4.692633,1.620949,0.639008,0.728355,77,52,28,0.00746233333333333,5.65046732929966
"FRMD7","Frmd7",0.154341,0.266225,0.361355,2,13,10,0.260640333333333,0.017523,0,0,1,0,0,11.107743,0.104118524264459
"FRMD8","Frmd8",5.197284,7.495357,6.719621,161,764,339,6.470754,4.68112,5.258633,5.071749,329,313,225,24.1664156666667,0.296854112995326
"FRMPD1","Frmpd1",2.330539,3.184232,3.150588,77,402,224,2.888453,0.283452,0.499495,0.831106,33,35,18,181.426291,0.0213152006691842
"FRMPD4","Frmpd4",10.28988,9.14947,10.933718,563,1852,1274,10.124356,0.125598,0.016319,0.025346,10,2,4,0.849296666666667,6.01545236116794
"FRRS1L","Frrs1l",54.151188,51.578386,60.608545,2539,8931,5974,55.4460396666667,0.278043,0.071483,0.373597,25,9,7,9.00313733333333,5.6428336216651
"FRS2","Frs2",8.981305,10.178325,10.09186,392,1607,920,9.75049666666667,2.470749,1.011806,1.598061,110,102,96,0.143339333333333,9.40271742014182
"FRS3","Frs3",15.881986,18.419032,17.198251,95,430,222,17.166423,2.483374,5.662006,2.904926,100,95,86,0.500897,12.1037106476993
"FRY","Fry",22.640485,36.486611,42.020731,927,4225,2593,33.7159423333333,19.180616,15.974217,12.274665,607,425,315,0.173711,29.5779304559072
"FRZB","Frzb",1.925841,2.981669,2.239586,38,151,68,2.38236533333333,0.122124,0.196269,0.040255,6,10,2,16.5799476666667,0.192399055871289
"FSCB","Fscb",0,0.011814,0,0,1,0,0.003938,0,0,0,0,0,0,8.62053466666667,0.104353659623353
"FSCN1","Fscn1",51.850149,79.815664,65.89616,326,1474,783,65.853991,38.486181,28.308368,24.398241,1663,1388,1194,0,66.853991
"FSCN2","Fscn2",0,0.290194,0.131129,0,4,3,0.140441,0.19507,0.249351,0.066709,7,8,2,1.83628133333333,0.402090225182175
"FSCN3","Fscn3",0,0.021867,0,0,1,0,0.007289,0,0.023731,0,0,1,0,0.098945,0.91659637197494
"FSD1","Fsd1",75.349971,121.091948,89.485367,135,665,349,95.3090953333333,3.013182,1.011997,0.851728,16,13,11,1.675288,35.999524287977
"FSD1L","Fsd1l",6.408484,7.287993,7.677658,200,959,456,7.12471166666667,1.528785,0.938434,0.611741,67,47,50,2.004214,2.70443838776687
"FSD2","Fsd2",0.186268,0.098235,0.121482,5,10,7,0.135328333333333,15.31222,9.287951,6.92596,947,739,620,819.941966666667,0.00138295808891729
"FSHB","Fshb",0,0,0,0,0,0,0,0,0,0,0,0,0,2.85780133333333,0.259215007097307
"FSHR","Fshr",0,0.017486,0,0,1,0,0.00582866666666667,0,0,0,0,0,0,0,1.00582866666667
"FSIP1","Fsip1",0.213504,0.261923,0.18288,2,9,4,0.219435666666667,0.071595,0.018802,0.183357,2,1,7,0.013497,1.20319612852003
"FSIP2","Fsip2",0,0,0.017753,0,0,1,0.00591766666666667,0.665736,0.640135,0.294665,43,48,18,2.913919,0.257010343511623
"FST","Fst",0,0.193472,0.148567,0,10,5,0.114013,6.688955,8.198445,5.172454,134,179,99,4.182474,0.214957759556536
"FSTL1","Fstl1",37.856266,57.952879,41.938765,408,1468,787,45.91597,109.41433,42.633452,41.624931,3468,2900,2308,4.97302666666667,7.85463930067838
"FSTL3","Fstl3",0.739907,0.366899,0.461073,7,14,7,0.522626333333333,8.749491,6.533123,8.45313,366,288,343,0.280175333333333,1.18938890141611
"FSTL4","Fstl4",1.5788,1.833725,2.305056,47,207,147,1.90586033333333,0,0,0.042558,0,0,2,1.201969,1.31966450632744
"FSTL5","Fstl5",13.201499,10.05678,11.625939,273,925,592,11.6280726666667,0,0,0,0,0,0,67.573516,0.184153787107353
"FTCD","Ftcd",0,0.01359,0,0,1,0,0.00453,4.450181,2.787364,2.730862,31,19,14,42.8767043333333,0.0228943813183538
"FTH1","Fth1",5046.139091,4883.236331,4745.988706,9067,30524,17068,4891.78804266667,653.149757,616.020738,609.87915,8344,7560,7381,0.718491,2847.14208143462
"FTL","Ftl1",204.987497,222.092257,233.464568,845,3766,2191,220.181440666667,357.837228,325.079504,302.599392,5240,4509,4103,24.0265013333333,8.83788899298003
"FTMT","Ftmt",0,0,0,0,0,0,0,0,0,0,0,0,0,7.95180833333333,0.111709272893652
"FTO","Fto",53.988608,58.734346,62.239211,1127,4819,2882,58.3207216666667,22.720292,19.578942,21.256526,538,442,375,19.2147833333333,2.93452176501191
"FTSJ3","Ftsj3",13.190454,11.096726,11.405282,127,486,283,11.8974873333333,14.614072,8.46393,6.430869,511,394,321,8.61730133333333,1.3410713552908
"FUBP1","Fubp1",38.41921,40.543039,40.187065,608,2327,1267,39.716438,50.412522,48.383548,51.778626,953,829,807,2.43562466666667,11.851247429628
"FUCA1","Fuca1",72.801632,52.660831,73.615332,200,764,439,66.359265,7.921052,7.421589,6.154207,325,294,241,100.335422333333,0.664715885610345
"FUCA2","Fuca2",59.677883,51.967138,46.009457,345,1156,618,52.5514926666667,18.277537,14.876427,11.524894,673,554,468,11.1934076666667,4.39183976543828
"FUNDC1","Fundc1",56.715649,44.321408,48.848737,407,1407,769,49.9619313333333,13.118715,15.014167,7.246341,203,242,116,0,50.9619313333333
"FUNDC2","Fundc2",124.974001,82.443136,127.076876,379,1100,759,111.498004333333,36.579005,39.663873,28.967085,508,537,388,22.1304083333333,4.86364108718357
"FUOM","Fuom",52.521972,53.57553,47.623459,68,253,145,51.2403203333333,4.439182,3.703829,3.939143,39,32,32,1.40904133333333,21.6851075199485
"FURIN","Furin",21.707816,18.48554,27.022783,193,834,509,22.4053796666667,97.101217,24.400809,42.025772,932,661,603,0,23.4053796666667
"FUS","Fus",300.813439,399.640487,436.953278,1057,4766,2766,379.135734666667,113.720794,137.978853,103.033244,2177,2216,1677,0.185611,320.624331814285
"FUT1","Fut1",0,0.015602,0,0,1,0,0.00520066666666667,0.155874,0.048191,0.100258,7,4,1,7.73568533333333,0.115068323584305
"FUT10","Fut10",3.51414,3.351529,3.51433,77,273,162,3.45999966666667,1.938273,2.661011,2.762915,60,53,37,10.363535,0.392483471619234
"FUT11","Fut11",4.829158,4.464144,4.629013,136,450,256,4.64077166666667,8.907787,6.541569,7.417339,328,222,244,2.05853933333333,1.84426978106543
"FUT2","Fut2",0.389002,0.633139,1.438949,7,35,25,0.820363333333333,1.450732,1.091181,0.187893,11,19,12,12.8858826666667,0.131094535149944
"FUT4","Fut4",0.550807,0.292135,0.212782,15,29,12,0.351908,0.217602,0.168464,0.085977,26,20,10,0.637445,0.825620402517336
"FUT7","Fut7",0.080273,0.414259,0.111794,1,4,3,0.202108666666667,0.02819,0.031114,0,1,1,0,2.27774,0.366749243889591
"FUT8","Fut8",26.534229,24.744483,25.911572,458,1587,960,25.7300946666667,3.180339,1.832537,0.846501,101,83,45,0.313283,20.3536440102146
"FUT9","Fut9",18.085704,16.656183,18.949344,1489,4932,3221,17.897077,0,0,0.00461,0,0,1,0.0749336666666667,17.5797610457203
"FUZ","Fuz",13.866259,19.172363,20.350828,43,290,169,17.7964833333333,11.554266,9.406654,8.987718,164,125,120,0.110899,16.9200650404162
"FXN","Fxn",3.063364,3.503718,2.28266,19,85,32,2.949914,2.999322,4.018073,2.777634,114,113,70,0.019471,3.87447411451625
"FXR1","Fxr1",25.980875,27.757667,30.219424,417,1552,970,27.9859886666667,90.029496,69.366093,61.426087,2012,1598,1266,0.229335333333333,23.5785858265957
"FXR2","Fxr2",163.389299,172.650651,167.535939,682,2718,1588,167.858629666667,27.952882,25.371722,25.365439,970,768,741,7.71459266666667,19.3765372778181
"FXYD1","Fxyd1",348.139959,493.188165,546.054328,113,576,346,462.460817333333,132.616807,142.563351,126.559991,729,720,664,52.1578753333333,8.71857301344612
"FXYD2","Fxyd2",0.362835,0.301534,5.718777,1,4,4,2.12771533333333,0.051187,0.092483,0.197001,3,2,2,27.7683253333333,0.108720799597928
"FXYD3","Fxyd3",2.961859,0.0686,0.170027,2,5,7,1.06682866666667,0.141969,0,0.091902,1,0,1,11.4551416666667,0.165941803150908
"FXYD4","Fxyd4",0.148379,0.254893,0.533271,1,4,7,0.312181,0,0,0,0,0,0,3.448609,0.294964336043019
"FXYD5","Fxyd5",19.452666,14.664794,15.78332,28,86,48,16.6335933333333,4.079482,4.095005,3.868999,41,57,46,4.07746033333333,3.4729160201547
"FXYD6","Fxyd6",31.186017,34.724553,37.594227,348,1463,895,34.501599,54.446613,49.797864,49.286925,1795,1577,1489,0.264099333333333,28.0845010070411
"FXYD7","Fxyd7",26.79263,27.792462,28.540137,84,319,182,27.7084096666667,0,0.213913,0.191131,0,1,2,0.147790333333333,25.0118935775436
"FYB2","Fyb2",0,0.052891,0.139763,0,4,6,0.064218,0.375825,0.048237,0.02442,6,2,1,34.06499,0.0303498731926061
"FYCO1","Fyco1",5.225666,6.744908,6.541738,255,1335,731,6.17077066666667,12.846256,9.714404,8.371595,1645,1074,874,0.348830666666667,5.31628679854056
"FYN","Fyn",75.742488,87.651409,96.821028,616,2248,1478,86.7383083333333,24.415497,19.383245,15.972971,366,286,230,0.043423,84.0869985934116
"FYTTD1","Fyttd1",61.648912,52.479581,46.778947,550,1827,1115,53.6358133333333,18.062725,12.406285,7.235044,502,466,331,3.092576,13.3499813646303
"FZD1","Fzd1",9.461481,9.782444,10.455748,265,988,601,9.899891,3.20707,2.887197,2.725981,397,359,345,3.72580866666667,2.30646049572045
"FZD10","Fzd10",0.520783,0.691607,0.429915,11,54,19,0.547435,0,0,0,0,0,0,2.19289466666667,0.484649561463767
"FZD2","Fzd2",1.120395,1.006768,0.847077,27,88,42,0.991413333333333,5.91059,4.63599,4.373097,488,359,341,38.4305583333333,0.0505043148640849
"FZD3","Fzd3",5.973425,7.244666,10.97242,537,2037,1264,8.06350366666667,2.128724,6.554305,1.241406,173,155,160,1.67606633333333,3.38687556200338
"FZD4","Fzd4",3.334371,3.781499,3.730198,155,658,368,3.615356,1.42048,1.092399,0.773743,226,170,119,16.4985833333333,0.26375598024602
"FZD5","Fzd5",0.062604,0.234982,0.325502,3,38,33,0.207696,0.287594,0.256729,0.17512,43,37,25,3.06078433333333,0.297404614691431
"FZD6","Fzd6",2.784033,3.499108,4.74393,67,260,157,3.67569033333333,5.287334,4.054521,3.052676,256,200,147,0,4.67569033333333
"FZD7","Fzd7",7.014925,5.950486,7.293524,214,665,462,6.75297833333333,0.099999,0.038503,0.064257,8,3,5,10.7203316666667,0.661498202767015
"FZD8","Fzd8",0.513721,0.578985,0.901907,21,86,76,0.664871,6.032647,5.118642,4.160235,486,355,306,2.54143766666667,0.470111620393714
"FZD9","Fzd9",1.878042,2.088988,1.94106,27,108,57,1.96936333333333,0.244977,0.399318,0.314842,12,17,14,3.307714,0.689313016911832
"FZR1","Fzr1",18.082888,19.772457,20.037262,230,1014,562,19.2975356666667,6.403851,4.36634,6.247222,334,254,235,0.04005,19.5159229524222
"G0S2","G0s2",4.9684,5.133707,3.693517,23,89,36,4.59854133333333,11.140794,11.209697,9.613122,170,159,137,1.52951966666667,2.21328238997681
"G2E3","G2e3",1.877547,3.533312,3.469585,83,367,211,2.960148,6.585549,3.820674,2.442219,92,92,71,12.6512323333333,0.290094542624565
"G3BP1","G3bp1",7.774326,9.139028,10.119186,359,1472,875,9.01084666666667,108.820331,56.390364,22.764002,848,676,539,10.099029,0.901956978999394
"G3BP2","G3bp2",82.551508,82.033654,84.36562,2018,7332,4288,82.983594,86.41168,29.490127,37.382457,1528,1368,1042,196.481825333333,0.425272522462472
"G6PC2","G6pc2",0,0,0,0,0,0,0,0.041984,0,0,1,0,0,0.0450796666666667,0.956864851451516
"G6PC3","G6pc3",31.779536,38.086934,33.619503,204,971,503,34.4953243333333,25.539892,28.358398,22.89522,479,479,378,70.9877063333333,0.493074805981108
"G6PD","G6pdx",28.404021,25.795276,23.307582,292,1255,735,25.8356263333333,4.534006,3.457289,2.046097,110,100,72,1.63910066666667,10.1684739321552
"GAA","Gaa",160.886299,302.356164,284.879579,1263,6825,3654,249.374014,21.482398,16.662191,16.462871,838,640,501,14.164715,16.5103013145977
"GAB1","Gab1",13.351033,16.577702,10.239059,309,1291,676,13.3892646666667,26.219073,13.457958,9.501547,1015,722,581,19.3431656666667,0.707326721044416
"GAB2","Gab2",4.904291,5.669401,5.869789,193,859,532,5.48116033333333,1.984129,1.435829,0.98976,250,163,127,2.94957533333333,1.64097650667253
"GAB3","Gab3",0.297962,1.025462,0.735634,4,37,16,0.686352666666667,2.611688,1.229722,0.915911,113,93,82,4.37459533333333,0.313763653275974
"GABARAP","Gabarap",114.602799,118.367569,136.853368,522,2095,1308,123.274578666667,213.686548,236.350958,210.212609,1838,1980,1694,29.488999,4.0760465329369
"GABARAPL1","Gabarapl1",265.883725,253.478696,263.715424,2000,7606,4307,261.025948333333,79.978987,44.894961,37.83924,1385,1242,1096,0.09804,238.630603924569
"GABARAPL2","Gabarapl2",192.164309,188.625179,212.126288,1084,3675,2334,197.638592,104.458737,93.247247,91.153968,1293,1319,1169,9.69810233333333,18.5676474023882
"GABBR1","Gabbr1",370.860785,329.143451,320.920546,3416,13342,8148,340.308260666667,12.408944,9.204795,6.51466,690,597,434,0.0146126666666667,336.392666758218
"GABBR2","Gabbr2",39.39329,51.098041,54.598607,1295,5018,3260,48.3633126666667,7.254689,0.026592,22.76396,3,3,3,0.00438133333333333,49.1479789880603
"GABPA","Gabpa",18.777577,18.422178,15.834002,227,625,356,17.677919,2.345219,1.105761,1.171757,169,93,99,63.3103153333333,0.290434262422577
"GABPB1","Gabpb1",7.915314,7.135878,8.021181,107,406,266,7.690791,7.844801,8.849236,2.023326,115,115,70,0.748025666666667,4.9717753953651
"GABPB2","Gabpb2",3.498088,4.134084,4.567659,185,831,504,4.06661033333333,1.467453,1.878753,1.146766,131,122,100,41.1489993333333,0.120207132161414
"GABRA1","Gabra1",218.177455,170.655006,201.186339,3313,10212,6851,196.672933333333,0,0,0.010809,0,0,1,0.030394,191.842085001789
"GABRA2","Gabra2",8.654979,7.190334,7.108039,205,698,447,7.65111733333333,0.069492,0.222891,0.331434,2,16,5,27.081601,0.308070659266661
"GABRA3","Gabra3",16.725755,17.52776,15.796811,410,1532,802,16.683442,0,0,0,0,0,0,8.84313233333333,1.79652588232669
"GABRA4","Gabra4",16.770078,7.672735,11.088309,201,639,428,11.8437073333333,0.522338,0,0.100501,3,0,4,0.732072,7.41522715760854
"GABRA5","Gabra5",11.36159,10.671481,9.261461,179,643,316,10.4315106666667,0.062316,0,0,3,0,0,0,11.4315106666667
"GABRA6","Gabra6",140.155261,135.11315,162.83242,1985,6694,4705,146.033610333333,0.056962,0,0,0,0,0,17.7775986666667,7.83026695497238
"GABRB1","Gabrb1",7.114188,7.38743,9.002631,546,2219,1254,7.83474966666667,0.430057,0,0.151707,3,0,1,0.0625403333333333,8.314742875643
"GABRB2","Gabrb2",34.59886,39.021462,40.00002,929,3697,2289,37.8734473333333,0.147608,0.084663,0,5,4,0,102.669972,0.374973066775144
"GABRB3","Gabrb3",23.259505,24.045906,30.906254,878,3324,2088,26.070555,0.445397,0.180449,0.115406,23,15,12,2.80016233333333,7.12352595112823
"GABRD","Gabrd",42.869821,37.759209,41.827609,478,1591,1038,40.8188796666667,0.194441,0.04678,0.024437,9,2,1,183.573222666667,0.226570675109196
"GABRG1","Gabrg1",7.460062,9.454985,11.24811,180,713,467,9.387719,0,0,0,0,0,0,8.91631466666667,1.04753825883702
"GABRG2","Gabrg2",54.715967,58.62411,58.750017,1112,4351,2541,57.3633646666667,0.347523,0.42689,0.201679,15,11,4,0.0119226666666667,57.6757163261488
"GABRG3","Gabrg3",1.193616,1.009329,0.978371,49,221,118,1.06043866666667,0.047515,1.63131,0,2,9,0,0.126741666666667,1.82866998498621
"GABRP","Gabrp",0,0,0,0,0,0,0,0.598001,0.230164,0.888766,7,2,9,25.9296393333333,0.037133805901448
"GABRQ","Gabrq",1.640011,2.676562,1.902527,49,288,110,2.07303333333333,0.006954,0.014481,0,1,2,0,3.61709566666667,0.665577140954483
"GABRR1","Gabrr1",0,0.076673,0,0,4,0,0.0255576666666667,0,0,0,0,0,0,16.3975543333333,0.0589483813079245
"GABRR2","Gabrr2",1.33848,0.753318,1.004143,7,24,13,1.03198033333333,0.297241,0.101956,0.156185,28,10,15,25.8181823333333,0.0757687567366453
"GAD1","Gad1",200.738507,200.417853,232.956531,2428,8849,6089,211.370963666667,0,0,0.046374,0,0,2,5.33493766666667,33.523765321974
"GAD2","Gad2",29.888611,33.921258,35.807519,1099,4521,2741,33.205796,0.009703,0.009482,0,1,1,0,10.430777,2.99242964848321
"GADD45A","Gadd45a",8.389377,6.837474,9.105627,44,121,73,8.110826,30.710784,33.39435,29.3677,565,562,553,31.3364213333333,0.28175121501798
"GADD45B","Gadd45b",4.695468,4.663412,5.220525,32,127,71,4.85980166666667,119.722261,94.694365,100.99681,1175,1027,1032,0,5.85980166666667
"GADD45G","Gadd45g",6.845493,9.688888,10.1382,42,219,128,8.89086033333333,17.103922,14.931427,17.359667,338,254,311,0.305825333333333,7.57441296385734
"GADD45GIP1","Gadd45gip1",9.523545,7.066452,8.554533,152,417,286,8.38151,11.030536,10.316432,10.025644,403,351,341,2.382824,2.77327759292236
"GADL1","Gadl1",0,0.14474,0.218709,0,8,6,0.121149666666667,0.122588,0.079766,0.060199,10,7,6,6.32277233333333,0.153104536865523
"GAK","Gak",64.565158,55.592396,61.374479,554,2224,1250,60.5106776666667,19.20149,20.509907,14.940315,860,583,485,0.031985,59.6042361726834
"GAL","Gal",4.590864,4.709611,3.946536,15,63,31,4.41567033333333,0.257837,0.192282,0.374681,3,2,4,12.3400536666667,0.405970655640291
"GAL3ST1","Gal3st1",6.40204,6.956936,6.799026,69,283,154,6.719334,0,0.203382,0,0,3,0,0.280816333333333,6.02688597818735
"GAL3ST2","Gal3st2",0,0.034359,0,0,2,0,0.011453,0,0.038787,0,0,1,0,43.4663986666667,0.0227464564329158
"GAL3ST3","Gal3st3",6.239868,8.351265,8.31528,98,482,271,7.635471,0.540191,0.73782,0.431732,31,42,28,91.3805706666667,0.093477134181808
"GALC","Galc",9.296618,9.157069,9.333746,184,714,394,9.26247766666667,13.776648,6.580862,5.11622,378,301,226,5.126766,1.67502360407867
"GALE","Gale",6.441313,10.912303,7.037222,40,182,106,8.13027933333333,22.129375,15.656571,13.161896,325,257,229,2.395231,2.68914820032373
"GALK1","Galk1",2.935665,4.299433,4.105671,25,138,74,3.78025633333333,17.10097,13.683724,13.928251,238,162,139,3.20200033333333,1.13761445838375
"GALK2","Galk2",9.018403,8.075442,11.71553,73,309,169,9.603125,6.6579,6.554583,5.047221,115,109,87,0.336887,7.93120510559232
"GALM","Galm",2.41831,2.511735,3.229141,19,90,55,2.71972866666667,4.320494,2.981458,4.140236,186,130,130,0.0299033333333333,3.61172601959407
"GALNS","Galns",1.502174,3.597391,4.413905,25,122,84,3.17115666666667,11.40709,8.719503,8.450543,379,282,274,0.312626333333333,3.17771825899171
"GALNT1","Galnt1",24.484184,28.879495,29.19079,439,1769,1011,27.5181563333333,15.979671,13.325505,8.480421,577,497,415,9.04695233333333,2.83848826859833
"GALNT10","Galnt10",3.595045,3.78665,4.106029,110,440,268,3.82924133333333,2.257016,1.411538,1.565056,245,176,159,4.416152,0.891636965383049
"GALNT11","Galnt11",14.602785,12.438755,14.526925,213,768,481,13.856155,7.646318,6.404748,6.144082,382,314,240,6.254065,2.04797654832153
"GALNT12","Galnt12",0.231462,0.499792,0.362477,3,25,11,0.364577,0.581335,0.306394,0.058911,6,7,3,14.1950026666667,0.0898043277737277
"GALNT13","Galnt13",18.225354,16.503943,21.317383,625,1866,1399,18.6822266666667,0.305182,0.081733,0.0094,8,2,1,5.53969633333333,3.00965452575295
"GALNT14","Galnt14",3.685204,4.061879,3.937703,38,183,98,3.89492866666667,0.262826,0.186994,0.380863,6,4,4,29.8987933333333,0.158418117298647
"GALNT15","Galnt15",6.135844,6.891429,8.13748,232,958,680,7.05491766666667,6.369349,1.342187,2.709946,29,8,11,55.523515,0.142505604378402
"GALNT16","Galnt16",20.088553,24.082749,22.856347,532,2391,1256,22.3425496666667,18.387466,6.80197,8.873277,498,374,302,22.6355443333333,0.987603642102143
"GALNT17","Galnt17",6.480873,7.154037,7.511179,308,1168,696,7.04869633333333,2.922999,2.575152,2.402113,222,142,162,7.95771666666667,0.898520977257969
"GALNT18","Galnt18",5.806156,4.416522,5.537618,96,279,197,5.253432,1.687466,1.229371,1.421463,91,63,72,133.941514666667,0.0463417949283233
"GALNT2","Galnt2",7.055508,4.082723,5.188967,36,112,204,5.44239933333333,4.956539,4.053856,3.363582,414,359,311,9.924538,0.589718241021573
"GALNT3","Galnt3",0.548964,0.146465,0.038479,3,7,2,0.244636,0.081734,0,0.030208,2,0,1,0.387186666666667,0.897237574371149
"GALNT4","Galnt4",1.172066,1.08759,0.96713,41,143,72,1.07559533333333,2.2e-05,0,0.087461,0,0,9,2.27874633333333,0.633045415020924
"GALNT5","Galnt5",0,0.056061,0.098616,0,6,6,0.051559,1.753081,0.658057,0.647745,185,130,103,0.122817333333333,0.936536129949306
"GALNT6","Galnt6",6.680593,6.283999,5.640222,171,616,312,6.20160466666667,0.517608,0.145129,0.196531,30,16,22,4.81999333333333,1.23739053538435
"GALNT7","Galnt7",6.26423,6.908413,9.191782,167,642,414,7.45480833333333,3.102266,1.482748,1.662551,111,94,86,13.1355263333333,0.59812476266949
"GALNTL5","Galntl5",0,0,0,0,0,0,0,0,0,0,0,0,0,75.0923956666667,0.0131419176809814
"GALP","Galp",0,0,0,0,0,0,0,0,0,0,0,0,0,0.625452333333333,0.61521336522326
"GALR1","Galr1",0.351261,0.455462,0.379375,7,34,16,0.395366,0.03634,0.014105,0.008001,8,3,2,0.116265666666667,1.25003038404538
