"Hs_symbol","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"ACSL5","Acsl5",6.898301,9.129866,3.381648,183,235,138,6.46993833333333,9.19404,8.12418,3.23356,6.85059333333333,0.951512582063861
"ACSL6","Acsl6",2.786717,1.936377,3.098567,152,129,148,2.60722033333333,35.4509,34.34816,47.73876,39.1792733333333,0.0897781376832599
"ACSM1","Acsm1",0,0,0,0,0,0,0,0.84486,0,0,0.28162,0.780262480298372
"ACSM2B","Acsm2",0,0,0.156331,0,0,1,0.0521103333333333,0.0994,0.46977,0,0.189723333333333,0.884331931513489
"ACSM3","Acsm3",0.028766,0.030908,0.038958,1,1,1,0.0328773333333333,0.59637,0.22107,1.02687,0.61477,0.639643623137248
"ACSM4","Acsm4",0,0,0,0,0,0,0,0.16566,0,0.10924,0.0916333333333333,0.916058505603225
"ACSM5","Acsm5",0.870292,1.135048,0.688642,49,59,32,0.897994,7.48776,8.98081,5.4621,7.31022333333333,0.228392658520609
"ACSS1","Acss1",65.371472,67.562517,72.050659,4063,3934,3335,68.328216,57.94731,78.25742,61.83098,66.0119033333333,1.03456568984684
"ACSS2","Acss2",4.763676,4.718603,4.527287,336,365,266,4.66985533333333,43.78352,30.83873,37.47001,37.3640866666667,0.147790702867421
"ACSS3","Acss3",0.160808,0.170282,0.21361,18,20,20,0.181566666666667,12.72257,14.9496,21.32404,16.33207,0.0681722764024532
"ACTA1","Acta1",51.289934,61.467194,82.964551,2091,2521,2549,65.2405596666667,40.80167,32.41383,12.49729,28.57093,2.24005669306534
"ACTA2","Acta2",17.260344,17.274081,24.335669,702,685,755,19.6233646666667,30.26579,39.46031,26.13069,31.9522633333333,0.625855785930334
"ACTB","Actb",136.830217,155.493589,196.557468,1850,2109,1892,162.960424666667,3995.79691,3014.15431,4181.63155,3730.52759,0.0439392234713898
"ACTBL2","Actbl2",0,0,0,0,0,0,0,0,0,0,0,1
"ACTC1","Actc1",1652.587288,1979.343797,2200.213129,72329,80862,69991,1944.04807133333,12.0765,11.13621,6.51082,9.90784333333333,178.3164656747
"ACTG1","Actg1",50.783003,73.060644,81.120304,2154,2389,1859,68.321317,1819.21101,1453.84166,1057.48459,1443.51242,0.0479894226177716
"ACTG2","Actg2",0.588708,0.126647,0.270987,11,4,6,0.328780666666667,1.52406,3.59233,6.42343,3.84660666666667,0.274167218026083
"ACTL10","Actl10",0.041749,0,0,2,0,0,0.0139163333333333,0.18222,0.80136,0.65545,0.546343333333333,0.655686425826089
"ACTL6A","Actl6a",5.758671,7.408636,7.139931,198,174,137,6.76907933333333,57.40064,40.37221,15.20649,37.65978,0.200960257232021
"ACTL6B","Actl6b",0.019678,0,0,2,0,0,0.00655933333333333,82.51446,59.10757,87.50286,76.3749633333333,0.013008850537312
"ACTL7A","Actl7a",0,0,0,0,0,0,0,0,0.22107,0,0.07369,0.931367526939806
"ACTL7B","Actl7b",0,0,0,0,0,0,0,0,0.05527,0,0.0184233333333333,0.981909945765841
"ACTL9","Actl9",0,0,0,0,0,0,0,0,0.22107,0,0.07369,0.931367526939806
"ACTN1","Actn1",3.268112,3.770261,3.860983,265,258,210,3.63311866666667,196.73593,153.64099,75.39884,141.925253333333,0.032416375403311
"ACTN2","Actn2",327.332679,319.092711,346.539041,15681,14365,11696,330.988143666667,204.83663,117.0269,46.4934,122.785643333333,2.68195999735349
"ACTN4","Actn4",14.849163,17.783651,17.714649,928,1020,798,16.7824876666667,605.08392,637.55483,640.02714,627.555296666667,0.0282910473604632
"ACTR10","Actr10",29.53719,31.341786,36.781408,412,385,366,32.5534613333333,94.92227,68.00548,97.15985,86.6958666666667,0.382611662427268
"ACTR1A","Actr1a",12.536819,14.606975,18.850522,933,877,754,15.3314386666667,84.3864,74.4993,79.79037,79.55869,0.202727212503911
"ACTR1B","Actr1b",15.67809,21.241687,19.613595,865,888,683,18.8444573333333,82.74638,66.76198,96.67919,82.0625166666667,0.23890989738452
"ACTR2","Actr2",8.312352,7.902644,9.416639,925,794,758,8.54387833333333,77.5944,65.71192,67.97038,70.4255666666667,0.133619917611201
"ACTR3","Actr3",19.559059,27.877054,23.424273,871,852,820,23.6201286666667,66.84317,54.07831,32.35749,51.09299,0.472618843085541
"ACTR3B","Actr3b",6.941237,8.886885,7.689871,391,466,315,7.839331,70.88524,60.59976,35.35072,55.6119066666667,0.156139079576428
"ACTR5","Actr5",0.89832,0.671854,0.734117,34,37,33,0.768097,7.00735,4.94636,5.72428,5.89266333333333,0.256518694515279
"ACTR6","Actr6",2.354851,1.648426,2.16182,84,77,63,2.05503233333333,22.91056,19.42619,15.0317,19.1228166666667,0.151819319528661
"ACTR8","Actr8",5.710714,4.109577,5.914341,299,257,184,5.24487733333333,18.55374,15.06013,11.47041,15.0280933333333,0.389620724278288
"ACTRT1","Actrt1",0,0,0,0,0,0,0,0,0,0,0,1
"ACTRT2","Actrt2",0,0,0,0,0,0,0,0,0.22107,0,0.07369,0.931367526939806
"ACTRT3","Actrt3",0,0.018259,0,0,1,0,0.00608633333333333,1.09335,0.69083,2.84029,1.54149,0.395864761747374
"ACVR1","Acvr1",1.693994,1.35383,1.836462,137,113,117,1.62809533333333,20.72387,14.34167,7.86543,14.3103233333333,0.171655116362663
