"Hs_symbol","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","Heart","dHs_Avg_TPM","FoldChange"
"CATSPER4","Catsper4",0.021952,0,0,1,0,0,0.00731733333333333,0,0,1.00731733333333
"CATSPERB","Catsperb",0,0,0,0,0,0,0,0.68314,0.68314,0.59412764238269
"CATSPERD","Catsperd",0,0,0,0,0,0,0,0,0,1
"CATSPERG","Catsperg2",0.035767,0,0,1,0,0,0.0119223333333333,1.89762,1.89762,0.349225341257078
"CAV1","Cav1",74.752012,87.634224,78.300245,2613,2720,2071,80.228827,395.07113,395.07113,0.205086462626044
"CAV2","Cav2",11.977762,11.629223,12.899041,697,608,579,12.1686753333333,340.17941,340.17941,0.038597508956749
"CAV3","Cav3",11.310876,12.466868,13.607807,384,394,328,12.4618503333333,15.26949,15.26949,0.827429153177717
"CBFA2T2","Cbfa2t2",1.243469,1.848244,2.910986,169,176,141,2.00089966666667,7.28685,7.28685,0.362127909479074
"CBFA2T3","Cbfa2t3",2.128853,1.314713,3.067263,289,224,166,2.17027633333333,6.4772,6.4772,0.423992448153498
"CBFB","Cbfb",5.284498,5.276868,4.803914,257,201,223,5.12176,24.45395,24.45395,0.240503340345997
"CBL","Cbl",9.596185,23.483774,14.227026,493,443,329,15.768995,2.42895,2.42895,4.89041689146823
"CBLB","Cblb",1.516872,2.281633,1.343373,190,157,112,1.71395933333333,40.10296,40.10296,0.0660283184795775
"CBLC","Cblc",0.218555,0.475171,0.098799,2,6,2,0.264175,0,0,1.264175
"CBLL1","Cbll1",1.032577,0.815317,1.242353,100,71,80,1.03008233333333,28.04677,28.04677,0.0698901231817973
"CBLN1","Cbln1",0.01969,0.020653,0.033453,1,1,2,0.0245986666666667,9.07061,9.07061,0.101741470145966
"CBLN2","Cbln2",0,0,0,0,0,0,0,0,0,1
"CBLN3","Cbln3",0.024759,0,0.063233,4,0,6,0.0293306666666667,1.36628,1.36628,0.434999521048509
"CBLN4","Cbln4",0,0,0,0,0,0,0,0,0,1
"CBR1","Cbr1",5.594279,6.983289,6.162475,169,166,121,6.246681,20.19064,20.19064,0.341975560908024
"CBR3","Cbr3",0.547436,0.499377,0.527846,18,13,12,0.524886333333333,3.37776,3.37776,0.348325703860726
"CBR4","Cbr4",14.769628,18.496616,17.357376,294,320,239,16.87454,39.50838,39.50838,0.441255364939304
"CBWD1","Cbwd1",2.224303,2.484353,2.555942,92,101,76,2.42153266666667,31.28537,31.28537,0.105977805633532
"CBX1","Cbx1",3.976955,3.748967,3.856498,259,226,178,3.86080666666667,56.42247,56.42247,0.0846499056321797
"CBX2","Cbx2",0.258667,0.300278,0.287514,34,38,27,0.282153,0.73375,0.73375,0.739525883201154
"CBX3","Cbx3",9.010274,10.123076,11.948299,457,407,400,10.3605496666667,140.23387,140.23387,0.0804378557825164
"CBX4","Cbx4",0.367809,0.443863,0.398147,67,52,34,0.403273,7.64107,7.64107,0.162395744971398
"CBX5","Cbx5",4.782525,5.280497,5.734171,970,923,871,5.265731,57.14356,57.14356,0.107763112544192
"CBX6","Cbx6",1.755688,1.966785,2.145145,364,303,294,1.95587266666667,7.93204,7.93204,0.330929179299093
"CBX7","Cbx7",2.277217,1.73334,2.123082,225,155,126,2.04454633333333,31.27272,31.27272,0.0943380766583459
"CBX8","Cbx8",0.460557,1.125131,0.647372,22,30,17,0.744353333333333,1.08797,1.08797,0.835430266399102
"CBY1","Cby1",3.363321,3.464785,3.886436,86,93,67,3.571514,65.46777,65.46777,0.0687779054419909
"CC2D1A","Cc2d1a",0.863095,1.209404,1.880033,102,142,94,1.31751066666667,11.3857,11.3857,0.187111803666056
"CC2D1B","Cc2d1b",11.359411,12.414078,10.830482,144,164,121,11.534657,23.5431,23.5431,0.510720202419417
"CC2D2A","Cc2d2a",0.930933,0.980233,1.199527,151,153,141,1.03689766666667,19.29244,19.29244,0.10037716837732
"CCAR1","Ccar1",5.9845,6.92225,6.873766,576,543,410,6.59350533333333,64.2786,64.2786,0.116324573954303
"CCBE1","Ccbe1",0.688522,0.700876,1.290898,135,127,119,0.893432,2.35304,2.35304,0.564691145945172
"CCDC102A","Ccdc102a",0.552269,0.579381,0.461063,27,30,21,0.530904333333333,0.80965,0.80965,0.845967083874414
"CCDC103","Ccdc103",0,0,0.08615,0,0,2,0.0287166666666667,0,0,1.02871666666667
"CCDC105","Ccdc105",0,0,0,0,0,0,0,0,0,1
"CCDC106","Ccdc106",0.180437,0.021678,0.582414,1,1,3,0.261509666666667,2.16328,2.16328,0.398797977626599
"CCDC107","Ccdc107",4.211056,6.024996,4.855337,86,117,69,5.030463,7.96999,7.96999,0.67229316866574
"CCDC110","Ccdc110",0.111708,0,0,1,0,0,0.037236,0.97411,0.97411,0.525419556154419
"CCDC112","Ccdc112",0.189358,0.236455,0.256657,10,6,3,0.22749,13.7767,13.7767,0.0830692915197574
"CCDC113","Ccdc113",0,0,0,0,0,0,0,3.33981,3.33981,0.230424834266938
"CCDC115","Ccdc115",2.031172,2.345603,1.923003,108,120,74,2.099926,20.07678,20.07678,0.147077779433101
"CCDC116","Ccdc116",0.016395,0.014036,0.045831,2,1,4,0.0254206666666667,0.03795,0.03795,0.987928769850828
"CCDC117","Ccdc117",2.779442,2.703471,3.212593,292,272,240,2.898502,13.15681,13.15681,0.275379976138692
"CCDC12","Ccdc12",14.016208,19.48038,18.361199,211,240,170,17.285929,21.93645,21.93645,0.797243208953434
"CCDC120","Ccdc120",0.023612,0,0.088208,3,0,8,0.0372733333333333,0.46808,0.46808,0.706550959984015
"CCDC122","Ccdc122",0.434633,0.567181,0.654422,13,16,14,0.552078666666667,10.10797,10.10797,0.139726580704365
"CCDC124","Ccdc124",4.992047,5.508429,5.264871,208,222,151,5.25511566666667,1.01206,1.01206,3.10881169878963
"CCDC125","Ccdc125",0.147976,0.146162,0.130083,11,10,7,0.141407,3.75728,3.75728,0.239928488548078
"CCDC126","Ccdc126",0.699943,0.52025,0.522574,50,33,27,0.580922333333333,11.56281,11.56281,0.125841458505966
"CCDC127","Ccdc127",7.214474,7.246341,9.444984,394,339,292,7.96859966666667,22.46778,22.46778,0.38216651369097
"CCDC13","Ccdc13",0,0,0,0,0,0,0,0.797,0.797,0.556483027267668
"CCDC130","Ccdc130",1.42288,2.622536,2.737372,42,44,20,2.26092933333333,13.78935,13.78935,0.220491727718482
"CCDC134","Ccdc134",1.127457,0.457994,1.152816,47,36,33,0.912755666666667,0.97411,0.97411,0.968920509326566
"CCDC136","Ccdc136",0.397608,0.151966,0.709117,13,11,15,0.419563666666667,17.79964,17.79964,0.0755101516128323
"CCDC137","Ccdc137",2.291399,0.858598,0.991546,71,59,35,1.38051433333333,3.93439,3.93439,0.482433357179577
"CCDC138","Ccdc138",0.104948,0.128929,0.146237,8,10,8,0.126704666666667,1.12592,1.12592,0.52998450866762
"CCDC14","Ccdc14",0.266969,0.248881,0.320407,33,29,30,0.278752333333333,18.7864,18.7864,0.0646278420194342
"CCDC142","Ccdc142",0.422677,0.037329,0.65634,7,1,3,0.372115333333333,2.10003,2.10003,0.442613566105274
"CCDC148","Ccdc148",0.021823,0.060305,0.01093,1,3,1,0.0310193333333333,0.39217,0.39217,0.740584363499668
"CCDC15","Ccdc15",0.188559,0.224426,0.176703,16,19,14,0.196562666666667,0.44278,0.44278,0.829345199314287
"CCDC150","Ccdc150",0.052945,0,0.043071,3,0,1,0.0320053333333333,0.72109,0.72109,0.599623107061998
"CCDC153","Ccdc153",0.034041,0,0.207912,1,0,2,0.080651,0.13916,0.13916,0.948638470451912
"CCDC154","Ccdc154",0.015485,0,0,1,0,0,0.00516166666666667,0.27832,0.27832,0.786314589982686
"CCDC157","Ccdc157",1.167327,0.721738,0.734714,121,101,73,0.874593,0.49338,0.49338,1.25526858535671
"CCDC158","Ccdc158",0,0.010258,0.013012,0,1,1,0.00775666666666667,0.45543,0.45543,0.69241163550749
"CCDC159","Ccdc159",1.172705,0.83784,0.771546,51,28,25,0.927363666666667,22.85995,22.85995,0.0807781938632171
"CCDC160","Ccdc160",0.090858,0.097629,0.126164,4,4,4,0.104883666666667,0,0,1.10488366666667
"CCDC162P","Ccdc162",0.024695,0.004324,0.027003,1,1,3,0.018674,1.27773,1.27773,0.447232112673583
"CCDC167","Ccdc167",1.387801,1.485722,0.956708,137,99,94,1.27674366666667,20.44366,20.44366,0.106173277633886
"CCDC169","Ccdc169",0,0.012221,0,0,1,0,0.00407366666666667,1.75846,1.75846,0.363997907044752
"CCDC17","Ccdc17",0.493628,0.376484,0.39673,15,13,8,0.422280666666667,0.65784,0.65784,0.857911901429973
"CCDC171","Ccdc171",0.149831,0.132368,0.325862,14,13,14,0.202687,1.49279,1.49279,0.482466232614861
"CCDC172","Ccdc172",0,0,0,0,0,0,0,0,0,1
"CCDC173","Ccdc173",0.352484,0.283153,0.18557,15,12,5,0.273735666666667,0.03795,0.03795,1.22716476387751
"CCDC18","Ccdc18",0.005567,0.006118,0.00784,1,1,1,0.00650833333333333,3.49161,3.49161,0.224086315003603
"CCDC22","Ccdc22",1.298798,1.597749,1.184906,102,117,66,1.36048433333333,1.49279,1.49279,0.946924664064495
"CCDC25","Ccdc25",3.877322,3.822859,4.101456,262,239,198,3.933879,53.05736,53.05736,0.0912711793546706
"CCDC27","Ccdc27",0,0,0,0,0,0,0,0,0,1
"CCDC28B","Ccdc28b",7.089353,7.403069,7.240236,60,53,37,7.24421933333333,2.64401,2.64401,2.2624030486561
"CCDC3","Ccdc3",0.310317,0.268349,0.454828,25,21,26,0.344498,8.34951,8.34951,0.143804113798477
"CCDC30","Ccdc30",0.149121,0.143426,0.007575,9,5,0,0.100040666666667,1.73316,1.73316,0.402479425524545
"CCDC33","Ccdc33",0,0,0,0,0,0,0,0,0,1
"CCDC34","Ccdc34",0.856932,0.602522,0.813325,39,27,22,0.757593,3.16269,3.16269,0.422225291818512
"CCDC38","Ccdc38",0.026317,0.009703,0.020789,3,1,1,0.0189363333333333,0.03795,0.03795,0.981681519662155
"CCDC39","Ccdc39",0.101821,0.042409,0.071306,12,4,6,0.0718453333333333,10.33569,10.33569,0.0945549263726631
"CCDC40","Ccdc40",0,0,0,0,0,0,0,7.95734,7.95734,0.111640286067069
"CCDC42","Ccdc42",0.052173,0,0,1,0,0,0.017391,0,0,1.017391
"CCDC43","Ccdc43",4.418429,6.954828,4.524572,137,184,132,5.29927633333333,57.52309,57.52309,0.107637452727348
"CCDC47","Ccdc47",23.913193,29.376403,27.260956,1487,1403,1157,26.850184,125.81198,125.81198,0.219617925688094
"CCDC50","Ccdc50",3.498327,4.840128,3.498671,472,400,372,3.94570866666667,29.2486,29.2486,0.163502068415288
"CCDC51","Ccdc51",1.309199,1.54286,1.663035,62,68,56,1.50503133333333,6.30009,6.30009,0.343150746543307
"CCDC54","Ccdc54",0,0,0,0,0,0,0,0.21506,0.21506,0.823004625285994
"CCDC57","Ccdc57",0.133943,0.238892,0.165814,8,8,4,0.179549666666667,4.89585,4.89585,0.20006439557768
"CCDC59","Ccdc59",3.03162,2.328969,2.689826,127,89,69,2.68347166666667,49.75551,49.75551,0.0725728431586377
"CCDC6","Ccdc6",2.177447,1.306803,1.828287,270,225,185,1.77084566666667,13.04295,13.04295,0.197312221909689
"CCDC60","Ccdc60",0.038935,0,0.02681,3,0,1,0.021915,0.11386,0.11386,0.917453719497962
"CCDC61","Ccdc61",2.15809,2.570057,3.023311,23,54,31,2.58381933333333,0.48073,0.48073,2.42030575009173
"CCDC62","Ccdc62",0.675104,0.74698,0.959861,28,16,12,0.793981666666667,0.16446,0.16446,1.54061252998529
"CCDC63","Ccdc63",0.159923,0.245506,0.017607,6,5,2,0.141012,0.32892,0.32892,0.858600969208079
"CCDC65","Ccdc65",0.016998,0.018298,0.070473,1,1,3,0.0352563333333333,0.48073,0.48073,0.699152670191955
"CCDC66","Ccdc66",1.687706,1.543287,1.669089,152,127,105,1.63336066666667,22.44248,22.44248,0.11233285329311
"CCDC68","Ccdc68",0.600616,0.459645,1.024849,24,16,34,0.695036666666667,16.82553,16.82553,0.0950903937592131
"CCDC69","Ccdc69",1.389821,1.465967,2.159783,56,54,63,1.671857,199.73048,199.73048,0.0133106691121348
"CCDC70","Ccdc70",0,0,0,0,0,0,0,0.08856,0.08856,0.918644815168663
"CCDC71","Ccdc71",2.970553,2.326121,1.962333,143,155,111,2.419669,2.25184,2.25184,1.05161047283999
"CCDC73","Ccdc73",5.033115,2.454427,2.412481,35,20,12,3.30000766666667,7.09709,7.09709,0.531055930793244
"CCDC77","Ccdc77",0.921219,0.751837,0.71983,66,51,41,0.797628666666667,6.71756,6.71756,0.232927073669225
"CCDC78","Ccdc78",0,0.020778,0,0,1,0,0.006926,0.0506,0.0506,0.958429468874929
"CCDC8","Ccdc8",0.413426,0.555466,0.62271,69,87,74,0.530534,12.66343,12.66343,0.11201682154481
"CCDC80","Ccdc80",6.764638,6.651633,6.380957,672,670,530,6.599076,38.91379,38.91379,0.190387232081945
"CCDC81","Ccdc81",0,0,0,0,0,0,0,0.8476,0.8476,0.541242693223641
"CCDC82","Ccdc82",1.572579,1.780222,1.631467,220,220,167,1.66142266666667,46.87113,46.87113,0.0555955680734227
"CCDC83","Ccdc83",0.050891,0.027244,0.035526,2,1,1,0.037887,0,0,1.037887
"CCDC85A","Ccdc85a",1.576127,1.301222,1.048943,202,199,113,1.308764,10.37364,10.37364,0.20299253361281
"CCDC85B","Ccdc85b",0.75991,1.33862,1.010196,114,205,106,1.036242,0,0,2.036242
"CCDC85C","Ccdc85c",3.069345,2.783178,3.854543,383,377,341,3.23568866666667,5.89526,5.89526,0.614289913167403
"CCDC86","Ccdc86",0.795547,0.736659,0.837612,79,70,58,0.789939333333333,4.31392,4.31392,0.336839721586575
"CCDC87","Ccdc87",0.009672,0.020771,0,1,2,0,0.0101476666666667,0.26567,0.26567,0.798112988904427
"CCDC88A","Ccdc88a",0.734141,1.027386,1.044217,134,119,130,0.935248,21.29126,21.29126,0.0868164473430394
"CCDC88B","Ccdc88b",0.051114,0.146993,0.772821,8,18,11,0.323642666666667,0.58194,0.58194,0.83672115672318
"CCDC88C","Ccdc88c",0.415998,0.873406,0.809372,112,134,128,0.699592,3.80788,3.80788,0.35350133530787
"CCDC89","Ccdc89",0.014822,0.01622,0,1,1,0,0.0103473333333333,0.61989,0.61989,0.623713544335315
"CCDC9","Ccdc9",23.349393,15.083244,21.805285,143,118,125,20.0793073333333,2.84642,2.84642,5.48024067401202
"CCDC90B","Ccdc90b",5.908741,6.24534,7.616219,271,262,247,6.5901,62.29243,62.29243,0.119921134328386
"CCDC91","Ccdc91",3.326176,3.457087,7.816537,233,248,224,4.8666,102.90142,102.90142,0.0564631359224927
"CCDC92","Ccdc92",0.273534,0.294266,0.192814,10,8,7,0.253538,28.5022,28.5022,0.0424896448400458
"CCDC93","Ccdc93",1.391893,1.102823,1.095773,252,221,167,1.19682966666667,46.08678,46.08678,0.0466549138986923
"CCDC96","Ccdc96",0.06826,0.117511,0.023699,8,13,2,0.0698233333333333,0.29097,0.29097,0.82869728447085
"CCDC97","Ccdc97",5.778574,4.804684,5.797746,400,354,284,5.46033466666667,4.25066,4.25066,1.23038525950388
"CCER1","Ccer1",0,0,0,0,0,0,0,0,0,1
"CCHCR1","Cchcr1",0.746037,1.128103,0.363197,21,33,18,0.745779,6.78082,6.78082,0.224369539457281
"CCIN","Ccin",0,0,0,0,0,0,0,0.08856,0.08856,0.918644815168663
"CCK","Cck",0,0,0,0,0,0,0,0,0,1
"CCKAR","Cckar",0,0,0,0,0,0,0,0,0,1
"CCKBR","Cckbr",0.024797,0,0,1,0,0,0.00826566666666667,0,0,1.00826566666667
"CCL1","Ccl1",0,0,0,0,0,0,0,0,0,1
"CCL11","Ccl11",0.312574,0.311516,1.005494,9,8,21,0.543194666666667,4.52898,4.52898,0.279110191512117
"CCL13","Ccl2",0.903567,0.43953,0.564229,20,8,8,0.635775333333333,4.65549,4.65549,0.28923671217407
"CCL19","Ccl19",0.117038,0.158895,1.142624,2,2,12,0.472852333333333,0.16446,0.16446,1.2648372063732
"CCL2","Ccl12",0.846273,0.641767,0.338378,7,6,2,0.608806,41.98793,41.98793,0.0374245980208863
"CCL20","Ccl20",0,0,0,0,0,0,0,0,0,1
"CCL21","Ccl21a",4.23041,4.431198,5.796282,98,96,96,4.81929666666667,0.48073,0.48073,3.93001875201196
"CCL22","Ccl22",0,0,0.0198,0,0,1,0.0066,0.0253,0.0253,0.981761435677363
"CCL24","Ccl24",1.424975,0.766376,1.229293,20,9,14,1.14021466666667,0.20241,0.20241,1.77993751438084
"CCL25","Ccl25",0.484232,0.847238,0.442354,24,23,15,0.591274666666667,0.13916,0.13916,1.39688425389468
"CCL28","Ccl28",0,0.009045,0.011409,0,1,1,0.006818,0.51868,0.51868,0.662955988094925
"CCL3L3","Ccl3",0.053969,0.057938,0,1,1,0,0.0373023333333333,0,0,1.03730233333333
"CCL4","Ccl4",0,0,0.095142,0,0,1,0.031714,0.86025,0.86025,0.554610401827711
"CCL5","Ccl5",0.097655,0.209514,0.407128,1,2,3,0.238099,1.75846,1.75846,0.448837032257129
"CCL7","Ccl7",0.31062,0.672579,1.00608,6,12,14,0.663093,0,0,1.663093
"CCM2","Ccm2",4.737473,3.046112,4.181048,144,123,135,3.988211,18.72315,18.72315,0.252911477122062
"CCNA1","Ccna1",0,0,0,0,0,0,0,0.20241,0.20241,0.831663076654386
"CCNA2","Ccna2",0.134367,0.30496,0.572654,12,19,18,0.337327,1.80906,1.80906,0.47607633870405
"CCNB1","Ccnb1",0.222473,0.077787,0.272266,8,2,3,0.190842,3.51692,3.51692,0.263640268147322
"CCNB1IP1","Ccnb1ip1",0,0,0,0,0,0,0,194.16413,194.16413,0.00512389238739721
"CCNB2","Ccnb2",0.26768,0.192044,0.092402,12,8,3,0.184042,0.69579,0.69579,0.698224426373549
"CCNB3","Ccnb3",0.006784,0,0.009495,1,0,1,0.00542633333333333,0.34157,0.34157,0.74944008388182
"CCNC","Ccnc",3.114669,2.311794,1.784338,101,68,83,2.40360033333333,37.28184,37.28184,0.0889090057670512
"CCND1","Ccnd1",6.666393,8.342326,10.600989,747,820,659,8.53656933333333,57.33332,57.33332,0.163484083082076
"CCND2","Ccnd2",29.74876,82.524471,14.189118,1292,1339,1185,42.1541163333333,94.33685,94.33685,0.452648858582314
"CCND3","Ccnd3",18.786594,21.652471,19.759597,427,426,362,20.0662206666667,21.46837,21.46837,0.937594523619945
"CCNDBP1","Ccndbp1",8.11856,9.495407,12.393987,194,179,175,10.0026513333333,113.97085,113.97085,0.0956994867249684
"CCNE1","Ccne1",0.235178,0.497226,0.215632,10,13,7,0.316012,2.47955,2.47955,0.378213274705062
"CCNE2","Ccne2",0.665038,0.488894,0.44856,34,31,15,0.534164,3.02354,3.02354,0.381297066762105
"CCNF","Ccnf",0.109116,0.065902,0.140365,2,4,6,0.105127666666667,0.22771,0.22771,0.900153673641712
"CCNG1","Ccng1",131.545386,118.992398,160.233312,11125,9695,9776,136.923698666667,101.83876,101.83876,1.34116454405583
"CCNG2","Ccng2",2.832133,2.256448,1.878135,174,148,113,2.32223866666667,15.15563,15.15563,0.205639685154133
"CCNH","Ccnh",23.923443,21.685073,26.382725,238,221,185,23.9970803333333,57.92791,57.92791,0.424197639680982
"CCNI","Ccni",25.646644,28.715914,27.07591,1206,1046,876,27.146156,434.61746,434.61746,0.064612093372015
"CCNJ","Ccnj",0.601434,0.516204,0.626175,77,62,57,0.581271,4.94645,4.94645,0.265918489182622
"CCNJL","Ccnjl",0.141665,0.086398,0.099736,12,7,6,0.109266333333333,6.42659,6.42659,0.149364154118288
"CCNK","Ccnk",3.493203,3.095256,4.642277,277,221,204,3.74357866666667,23.35334,23.35334,0.194781441340969
"CCNL1","Ccnl1",7.489712,6.170609,6.43456,269,207,169,6.69829366666667,85.56986,85.56986,0.0889257954981869
"CCNL2","Ccnl2",7.775192,6.780639,5.751321,590,512,361,6.76905066666667,57.04236,57.04236,0.133851391753655
"CCNO","Ccno",0.017109,0.017222,0.024662,1,1,1,0.0196643333333333,0.0506,0.0506,0.970554286439495
"CCNT1","Ccnt1",5.189107,4.060661,3.321401,356,281,240,4.19038966666667,9.60194,9.60194,0.48956980200479
"CCNT2","Ccnt2",2.768417,3.252216,2.671476,482,422,329,2.89736966666667,22.12621,22.12621,0.168526086490898
"CCNY","Ccny",15.292425,17.858363,16.237043,1299,1271,953,16.4626103333333,85.22829,85.22829,0.202516022680414
"CCP110","Ccp110",0.303703,0.34857,0.559146,52,45,36,0.403806333333333,8.47602,8.47602,0.148143031919871
"CCPG1","Ccpg1",12.870594,12.912599,13.152269,977,941,760,12.9784873333333,114.37568,114.37568,0.12115627256397
"CCR1","Ccr1",0.111873,0.15758,0.25507,9,11,15,0.174841,2.31509,2.31509,0.354391886796437
"CCR10","Ccr10",0.036331,0.092083,0.076829,2,5,3,0.0684143333333333,0.15181,0.15181,0.927595986606587
"CCR2","Ccr2",0.226102,0.129811,0.22282,24,14,16,0.192911,0.99941,0.99941,0.596631506294357
"CCR3","Ccr3",0,0,0,0,0,0,0,0.0759,0.0759,0.929454410261177
"CCR4","Ccr4",0,0,0,0,0,0,0,0.0253,0.0253,0.975324295328197
"CCR5","Ccr5",2.102382,1.761776,2.442515,50,44,37,2.10222433333333,0.7464,0.7464,1.77635383264621
"CCR6","Ccr6",0.367656,1.133991,0.469072,2,5,1,0.656906333333333,0.06325,0.06325,1.55834124931421
"CCR7","Ccr7",0.063137,0.016912,0.066046,4,1,3,0.0486983333333333,0.20241,0.20241,0.872163682382327
"CCR8","Ccr8",0,0,0,0,0,0,0,0,0,1
"CCR9","Ccr9",0.042858,0.008145,0.051883,7,1,6,0.0342953333333333,0.0759,0.0759,0.96133035907922
"CCRL2","Ccrl2",3.125547,2.574295,3.330294,100,92,85,3.01004533333333,1.55605,1.55605,1.56884463658118
"CCS","Ccs",5.898689,5.203446,4.539808,120,132,69,5.213981,13.8779,13.8779,0.417665194684734
"CCSAP","Ccsap",0.056327,0.084658,0.040174,4,6,2,0.0603863333333333,4.41512,4.41512,0.195819544780787
"CCT2","Cct2",19.849333,24.300229,19.940247,958,1021,733,21.3632696666667,101.57309,101.57309,0.218022774459331
"CCT3","Cct3",29.766333,32.376883,36.107289,892,931,718,32.7501683333333,167.85052,167.85052,0.199881933045473
"CCT4","Cct4",20.24282,24.033183,20.335903,988,966,759,21.537302,136.24887,136.24887,0.164207559595937
"CCT5","Cct5",21.039378,20.330325,23.136361,1091,1060,895,21.5020213333333,153.95996,153.95996,0.145211842680737
"CCT6A","Cct6a",34.015487,35.326443,29.106765,841,874,665,32.8162316666667,176.41509,176.41509,0.190605160286347
"CCT6B","Cct6b",0.038099,0,0.026415,2,0,1,0.0215046666666667,4.33922,4.33922,0.191320954496475
"CCT7","Cct7",193.057079,222.763836,270.773026,1137,1044,913,228.864647,368.4792,368.4792,0.62213149481757
"CCT8","Cct8",45.523991,43.991221,52.525835,1178,1136,927,47.3470156666667,227.89111,227.89111,0.211222776046945
"CCZ1B","Ccz1",5.752293,5.642841,4.392324,233,257,161,5.262486,18.53339,18.53339,0.320604155243918
"CD101","Cd101",0.018578,0.019416,0.012951,2,2,1,0.0169816666666667,0.26567,0.26567,0.803512500625492
"CD109","Cd109",0.286552,0.305509,0.324207,50,50,44,0.305422666666667,7.98264,7.98264,0.145327283144673
"CD14","Cd14",0.571615,0.614064,0.819744,29,29,26,0.668474333333333,1.45484,1.45484,0.679667242400048
"CD151","Cd151",46.970226,49.013607,55.543976,1537,1558,1244,50.5092696666667,42.12709,42.12709,1.19435996415865
"CD160","Cd160",0.012756,0,0,1,0,0,0.004252,6.31274,6.31274,0.137329099626132
"CD163","Cd163",1.769233,2.306666,1.52933,234,281,144,1.86840966666667,63.59546,63.59546,0.0444057471944107
"CD164","Cd164",22.400612,19.313796,27.142032,1620,1460,1369,22.9521466666667,142.24534,142.24534,0.167210651785717
"CD164L2","Cd164l2",0.037046,0,0,1,0,0,0.0123486666666667,0,0,1.01234866666667
"CD177","Cd177",0.010995,0.011798,0.312661,1,1,2,0.111818,0,0,1.111818
"CD180","Cd180",0.154293,0.329531,0.215926,5,8,9,0.23325,0.96146,0.96146,0.628740835907946
"CD19","Cd19",0.423136,0.260886,0.241799,2,7,6,0.308607,0,0,1.308607
"CD1D","Cd1d1",1.097665,0.972924,0.613431,28,32,21,0.894673333333333,2.17593,2.17593,0.596572762413949
"CD2","Cd2",0.070838,0.076341,0.29303,1,2,3,0.146736333333333,0.91086,0.91086,0.600115305848327
"CD200","Cd200",23.667635,35.038934,26.649861,520,578,421,28.4521433333333,1.75846,1.75846,10.6770238949752
"CD200R1L","Cd200r1",0.08764,0.184938,0.134672,5,8,6,0.13575,0,0,1.13575
"CD207","Cd207",0,0,0,0,0,0,0,0.13916,0.13916,0.877839811791144
"CD209","Cd209d",0,0,0,0,0,0,0,3.40306,3.40306,0.227114779267146
"CD22","Cd22",0.641233,0.539174,0.712911,10,3,7,0.631106,0.08856,0.08856,1.4984070698905
"CD226","Cd226",0.141762,0.244837,0.193479,6,8,8,0.193359333333333,0.49338,0.49338,0.7990995817095
"CD247","Cd247",0.112654,0.183544,0.502014,4,4,14,0.266070666666667,1.01206,1.01206,0.629241010042775
"CD248","Cd248",1.439366,1.149645,1.563306,123,98,92,1.38410566666667,0.797,0.797,1.32671433871267
"CD27","Cd27",0.079496,0.099081,0.076089,1,2,1,0.0848886666666667,0.37952,0.37952,0.786424746771824
"CD274","Cd274",0.641203,0.900811,0.910591,75,98,77,0.817535,28.99558,28.99558,0.0605934274316416
"CD276","Cd276",0.347338,1.676823,1.602451,37,49,64,1.20887066666667,31.18417,31.18417,0.0686322085257028
"CD28","Cd28",0.704208,0.829489,0.59794,70,74,62,0.710545666666667,0.69579,0.69579,1.00870135256527
"CD2AP","Cd2ap",1.993408,2.04192,1.903918,342,294,237,1.97974866666667,13.802,13.802,0.201307165698329
"CD2BP2","Cd2bp2",6.288883,6.132784,6.239437,321,310,257,6.220368,27.83171,27.83171,0.250431486720697
"CD300A","Cd300a",0.514614,0.114496,0.178333,31,16,12,0.269147666666667,1.07532,1.07532,0.61154311945467
"CD300C","Cd300c2",0.326418,0.480271,0.398371,11,15,11,0.401686666666667,0.17711,0.17711,1.19078647421793
"CD300E","Cd300e",0,0.033776,0.021632,0,2,1,0.0184693333333333,0.22771,0.22771,0.829568329111381
"CD300LB","Cd300lb",0.083184,0.10222,0.098625,7,8,6,0.0946763333333333,0.03795,0.03795,1.05465227933266
"CD300LD","Cd300ld",0.52111,0.492963,0.595383,42,37,35,0.536485333333333,0,0,1.53648533333333
"CD300LF","Cd300lf",0.029364,0.103488,0,2,1,0,0.044284,0.35422,0.35422,0.771133198446338
"CD300LG","Cd300lg",12.777278,11.312426,12.495645,892,752,638,12.1951163333333,17.21771,17.21771,0.724301590778058
"CD302","Cd302",1.646981,2.126779,1.815204,61,73,48,1.862988,28.19858,28.19858,0.0980523025434799
"CD320","Cd320",4.009005,3.495428,3.62231,109,88,85,3.70891433333333,0.7717,0.7717,2.65785084005945
"CD33","Cd33",0.880735,0.749284,0.749979,71,56,45,0.793332666666667,2.4163,2.4163,0.524934188059206
"CD34","Cd34",26.519659,25.471339,29.700526,1480,1296,1151,27.230508,146.62251,146.62251,0.191234439788349
"CD36","Cd36",315.031364,312.210403,335.349609,18666,16010,14431,320.863792,2533.28024,2533.28024,0.127004025411176
"CD37","Cd37",1.707445,0.971474,1.255613,18,16,8,1.31151066666667,0.64519,0.64519,1.40501137659885
"CD38","Cd38",1.714807,1.164512,2.272108,179,112,174,1.71714233333333,5.86996,5.86996,0.395510648291014
