"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","DRG","dHs_Avg__TPM","FoldChange"
"DCTD",48.60418,49.71225,43.95899,47.42514,68.44188,68.44188,0.697347767658364
"DCTN1",645.81933,439.03741,700.06655,594.97443,405.30933,405.30933,1.46679976558747
"DCTN2",434.60485,440.25328,639.37169,504.743273333333,538.04289,538.04289,0.938224550802132
"DCTN3",151.90877,128.38418,120.4284,133.573783333333,315.17555,315.17555,0.425629949353558
"DCTN4",28.11223,25.11864,23.90215,25.7110066666667,38.38683,38.38683,0.678171019771499
"DCTN5",24.88189,19.50909,19.59802,21.3296666666667,27.55656,27.55656,0.781945257645412
"DCTN6",60.26653,53.05588,45.61947,52.9806266666667,102.68896,102.68896,0.520601486085565
"DCTPP1",22.8443,23.04615,19.75096,21.88047,78.96899,78.96899,0.286116781017242
"DCUN1D1",16.38362,17.10499,11.31747,14.93536,6.6487,6.6487,2.08340763789925
"DCUN1D2",15.3234,11.19147,23.2904,16.6017566666667,12.53426,12.53426,1.3005333624939
"DCUN1D3",3.09781,2.04486,1.90081,2.34782666666667,1.9967,1.9967,1.11717111044371
"DCUN1D4",23.63946,17.63003,23.09376,21.4544166666667,18.09575,18.09575,1.17588555917765
"DCUN1D5",9.82354,9.92034,13.32753,11.0238033333333,38.67954,38.67954,0.303022750095725
"DCX",2.23639,1.8238,1.96636,2.00885,1.04539,1.04539,1.47103975280998
"DCXR",226.96859,249.77714,200.67759,225.807773333333,411.64442,411.64442,0.549644590694655
"DDA1",26.95262,28.407,35.11038,30.1566666666667,21.71281,21.71281,1.37176627051724
"DDAH1",125.81757,164.47323,182.7619,157.684233333333,51.37061,51.37061,3.03002453729932
"DDAH2",78.83684,103.95637,85.36171,89.3849733333333,130.98775,130.98775,0.684798197812549
"DDB1",110.99114,110.17385,103.10262,108.089203333333,128.36381,128.36381,0.843274508792941
"DDB2",5.20167,4.58712,6.8604,5.54973,14.03963,14.03963,0.435498080737359
"DDC",7.93504,2.98439,0.28403,3.73448666666667,0.74223,0.74223,2.71748659285322
"DDHD1",5.56612,7.04648,10.2032,7.60526666666667,5.45695,5.45695,1.33271384580439
"DDHD2",105.0937,152.17642,79.3971,112.222406666667,39.65176,39.65176,2.78517846869771
"DDI1",0,0.11053,0,0.0368433333333333,0,0,1.03684333333333
"DDI2",4.09176,2.12776,2.73105,2.98352333333333,3.52297,3.52297,0.880731761062606
"DDIT3",45.45667,50.26492,55.51679,50.4127933333333,84.94864,84.94864,0.598180417204197
"DDIT4",91.09556,81.68395,123.29054,98.6900166666667,245.17603,245.17603,0.404954197476768
"DDIT4L",18.55374,12.6284,4.54447,11.90887,0.6586,0.6586,7.78299167972989
"DDN",301.96216,261.18968,234.87034,266.007393333333,0.05227,0.05227,253.744184794143
"DDO",18.43778,14.39693,2.05375,11.6294866666667,1.474,1.474,5.10488547561304
"DDOST",96.59542,88.26067,41.90524,75.58711,112.30657,112.30657,0.675928236111992
"DDR1",240.80107,166.15886,212.06061,206.34018,21.671,21.671,9.14561245644215
"DDR2",7.63685,6.32802,7.88727,7.28404666666667,1.39037,1.39037,3.46559179820139
"DDRGK1",126.28141,115.09257,103.38665,114.92021,109.25403,109.25403,1.0513920443543
"DDT",99.72637,112.10818,90.47424,100.769596666667,107.88456,107.88456,0.934655902238726
"DDTL",4.62187,3.61996,3.3865,3.87611,2.3835,2.3835,1.44114378602039
"DDX1",56.09194,42.72104,34.8919,44.5682933333333,121.44331,121.44331,0.372158293771488
"DDX10",64.34173,55.18364,111.31762,76.9476633333333,31.77995,31.77995,2.37790671838527
"DDX11",50.74117,41.64334,36.72717,43.0372266666667,5.61376,5.61376,6.65842526288627
"DDX11L1",0,0,0,0,0,0,1
"DDX11L10",0,0,0,0,0.01045,0.01045,0.989658073135732
"DDX11L16",0,0,0,0,0,0,1
"DDX11L2",0.89456,3.03966,1.24536,1.72652666666667,0.57497,0.57497,1.7311610168236
"DDX11L5",0,0,0,0,0.05227,0.05227,0.950326437131155
"DDX11L8",0,0,0,0,0,0,1
"DDX11L9",0,0,0,0,0.01045,0.01045,0.989658073135732
"DDX12P",2.15356,2.21066,2.09745,2.15389,0.49133,0.49133,2.11481697545144
"DDX17",282.09971,248.14677,224.66714,251.637873333333,81.32112,81.32112,3.06893143987027
