"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Brain_2_Hippocampus","dHs_Avg__TPM","FoldChange"
"STRN3",30.94499,20.97365,14.26701,22.0618833333333,11.88706,11.88706,1.78953798099282
"STRN4",59.75299,50.87285,55.14537,55.25707,50.95048,50.95048,1.08289798284828
"STS",8.6805,7.10175,8.01836,7.93353666666667,2.84211,2.84211,2.32516421098476
"STSP1",0,0,0,0,0,0,1
"STT3A",38.88003,45.512,44.39596,42.92933,43.04651,43.04651,0.997339630313503
"STT3B",40.37096,29.51233,20.12238,30.00189,23.40071,23.40071,1.27053229188823
"STUB1",152.28978,153.55809,170.94191,158.929926666667,127.83259,127.83259,1.24137787392667
"STX10",66.2468,63.52889,53.76892,61.1815366666667,66.34349,66.34349,0.923348888907698
"STX11",0.41415,0.22107,0.85209,0.49577,0.91279,0.91279,0.781983385525855
"STX12",43.20371,45.40146,41.90524,43.50347,46.78067,46.78067,0.931411593851656
"STX16",82.72981,56.78637,65.65445,68.39021,80.47105,80.47105,0.851716161753163
"STX16-NPEPL1",29.3878,15.47463,15.14094,20.0011233333333,15.39302,15.39302,1.2811015501313
"STX17",10.48618,11.32964,10.2032,10.6730066666667,14.35575,14.35575,0.76017170549577
"STX18",48.27286,55.95737,48.87488,51.0350366666667,47.67272,47.67272,1.06908010620049
"STX19",0.19879,0,0,0.0662633333333333,0,0,1.06626333333333
"STX1A",24.153,21.52632,223.98984,89.88972,70.47181,70.47181,1.27168627742882
"STX1B",193.47246,124.43262,180.90478,166.269953333333,77.25553,77.25553,2.13748412838471
"STX2",10.58557,10.58354,10.07211,10.41374,10.76681,10.76681,0.969994416498609
"STX3",10.96659,6.43855,11.47041,9.62518333333333,7.84173,7.84173,1.20170863997581
"STX4",45.20818,46.4239,65.30488,52.31232,85.78185,85.78185,0.614325691374406
"STX5",28.32759,26.97007,27.00463,27.4340966666667,24.3135,24.3135,1.12327796103528
"STX6",17.24504,14.14823,17.41318,16.2688166666667,13.5052,13.5052,1.19052592633446
"STX7",32.96602,27.71617,28.27183,29.65134,39.02192,39.02192,0.765863806633965
"STX8",452.59535,496.51462,969.30443,639.471466666667,596.13716,596.13716,1.07257010544557
"STXBP1",169.28633,108.43296,260.93549,179.551593333333,102.77225,102.77225,1.73988318970952
"STXBP2",10.25426,5.41612,4.39153,6.68730333333333,6.61775,6.61775,1.00913043002636
"STXBP3",31.97207,31.17033,27.02648,30.0562933333333,42.85981,42.85981,0.708080890759293
"STXBP4",1.52406,1.4093,1.90081,1.61139,2.07453,2.07453,0.849362341561149
"STXBP5",4.50591,3.03966,6.33604,4.62720333333333,2.8836,2.8836,1.44896573625845
"STXBP5L",8.13383,4.42132,10.85866,7.80460333333333,8.33961,8.33961,0.942716380377053
"STXBP6",68.36723,91.10689,78.12989,79.2013366666667,62.92052,62.92052,1.25470407103488
"STYK1",13.20298,7.07412,5.52765,8.60158333333333,3.13254,3.13254,2.32340965443367
"STYX",4.58874,5.08452,3.60499,4.42608333333333,6.34806,6.34806,0.738437537708366
"STYXL1",68.36723,45.62253,52.43617,55.47531,37.77721,37.77721,1.45640467687077
"SUB1",202.1364,198.26872,128.55601,176.320376666667,136.00624,136.00624,1.29425036893697
"SUB1P1",0,0.69083,3.84532,1.51205,1.26546,1.26546,1.10884765124964
"SUB1P2",0,0,0,0,0,0,1
"SUB1P3",0,0,0,0,0,0,1
"SUB1P4",0,0,0,0,0,0,1
"SUCLA2",42.02754,40.17878,44.61444,42.2735866666667,33.64889,33.64889,1.24891696867249
"SUCLA2P1",0,0.11053,0,0.0368433333333333,0,0,1.03684333333333
"SUCLA2P2",0,0,0,0,0,0,1
"SUCLA2P3",0,0,0,0,0,0,1
"SUCLG1",72.12767,63.91576,64.29985,66.7810933333333,58.89593,58.89593,1.13164773187983
"SUCLG2",38.48245,75.71516,53.06977,55.7557933333333,32.59088,32.59088,1.68961912677886
"SUCLG2P2",0,0.11053,0,0.0368433333333333,0,0,1.03684333333333
"SUCLG2P4",0,0,0,0,0,0,1
"SUCNR1",0.44728,0,0,0.149093333333333,0.37342,0.37342,0.836665647313519
"SUCO",8.34918,7.29518,4.0638,6.56938666666667,6.05763,6.05763,1.07251112153324
"SUDS3",11.41386,10.63881,14.46364,12.1721033333333,11.36843,11.36843,1.06497779696642
"SUDS3P1",0,0.3316,1.13612,0.48924,0.31118,0.31118,1.13580133925167
"SUFU",8.82959,9.03608,5.83352,7.89973,5.74645,5.74645,1.31917230543471
"SUGP1",72.49212,57.09034,84.8592,71.4805533333333,72.11069,72.11069,0.991381059778445
"SUGP2",84.93307,65.93298,75.94505,75.6037,43.02577,43.02577,1.73997411061749
"SUGT1",20.88953,19.45382,18.54929,19.63088,20.39264,20.39264,0.964391491653204
"SUGT1P",1.70628,0.9119,0,0.872726666666667,3.46447,3.46447,0.419473457469009
"SUGT1P2",0,0.35923,0,0.119743333333333,0,0,1.11974333333333
"SUGT1P3",128.63376,112.08055,56.69661,99.1369733333333,117.64664,117.64664,0.843993334605458
"SULF1",7.66998,5.83062,8.43348,7.31136,8.58856,8.58856,0.866799602860075
"SULF2",56.67174,49.60172,74.83078,60.36808,127.08575,127.08575,0.479117153937889
"SULT1A1",50.49268,34.15472,45.83795,43.4951166666667,24.0853,24.0853,1.77375262271795
"SULT1A2",3.09781,3.81339,6.40158,4.43759333333333,2.92509,2.92509,1.38534233185311
"SULT1A3",0.48041,0.22107,0.24033,0.313936666666667,0.76758,0.76758,0.743353436148105
"SULT1A4",0.61294,0.77373,0.37142,0.58603,0.43565,0.43565,1.10474697872044
"SULT1B1",1.29214,0.7461,0,0.679413333333333,0,0,1.67941333333333
"SULT1C2",0.38101,0.1658,0.61176,0.38619,0.33192,0.33192,1.04074569043186
"SULT1C2P1",0,0,0.10924,0.0364133333333333,0,0,1.03641333333333
"SULT1C3",0,0,0,0,0,0,1
"SULT1C4",15.48906,20.83549,10.72757,15.68404,5.539,5.539,2.55146658510476
"SULT1D1P",0,0,0,0,0,0,1
"SULT1E1",0.14909,0,0,0.0496966666666667,0.29043,0.29043,0.813447197187501
"SULT2A1",0,0.1658,0.37142,0.179073333333333,0,0,1.17907333333333
"SULT2B1",0.23192,0.69083,1.61678,0.84651,1.88782,1.88782,0.639413121316426
"SULT4A1",86.87127,56.53767,201.50783,114.972256666667,109.4315,109.4315,1.05017369742027
"SULT6B1",0.6295,0,0,0.209833333333333,0,0,1.20983333333333
"SUMF1",13.15328,16.276,13.54601,14.3250966666667,18.06916,18.06916,0.803658717356541
"SUMF2",82.23284,77.37316,98.16488,85.9236266666667,86.48719,86.48719,0.993558333130447
"SUMO1",78.12451,80.05359,72.03419,76.73743,49.45681,49.45681,1.54067270602323
"SUMO1P1",0,0,0,0,0,0,1
"SUMO1P2",0,0,0,0,0,0,1
"SUMO2",237.22285,204.15461,254.68684,232.021433333333,200.08849,200.08849,1.15880045314047
"SUMO2P1",0,0,0,0,0,0,1
"SUMO2P2",0,0,0,0,0,0,1
"SUMO2P3",0,1.46456,0,0.488186666666667,0,0,1.48818666666667
"SUMO2P4",0,0,0,0,0,0,1
"SUMO2P5",0,0,0,0,0,0,1
"SUMO2P6",0,0,0,0,0,0,1
"SUMO2P7",0,0,0,0,0,0,1
"SUMO2P8",0,1.4922,0,0.4974,0,0,1.4974
"SUMO3",116.4413,100.19824,76.6879,97.7758133333333,55.28624,55.28624,1.75488384609335
"SUMO4",0,0,0,0,0.47714,0.47714,0.676983901322827
"SUN1",61.98938,73.53213,48.78749,61.4363333333333,57.87941,57.87941,1.06041030868572
"SUN2",107.21413,71.87414,62.59568,80.5613166666667,211.64363,211.64363,0.383558711195189
"SUN3",0.82829,0,0.15294,0.327076666666667,0,0,1.32707666666667
"SUN5",0,0,0,0,0,0,1
"SUOX",41.21581,26.94244,37.29523,35.15116,22.1145,22.1145,1.56400354755673
"SUPT16H",29.93448,27.4122,27.4416,28.26276,22.3427,22.3427,1.25361504881612
"SUPT3H",24.07017,17.29843,27.24496,22.8711866666667,42.63161,42.63161,0.547107628315037
"SUPT4H1",75.17579,83.59065,72.05604,76.9408266666667,54.74687,54.74687,1.3981202292912
"SUPT5H",103.1058,88.23303,66.96536,86.1013966666667,69.91169,69.91169,1.22830800770179
"SUPT6H",53.20948,52.08872,44.17747,49.8252233333333,43.33695,43.33695,1.14634009180454
"SUPT7L",38.31679,32.71779,24.44836,31.8276466666667,23.25549,23.25549,1.35341098723079
"SUPV3L1",24.51745,20.91839,36.11541,27.18375,17.675,17.675,1.50917001338688
"SURF1",58.54368,71.65307,63.51331,64.57002,66.59244,66.59244,0.97007919820619
"SURF2",44.84373,36.53118,68.45105,49.9419866666667,49.27011,49.27011,1.01336533114144
"SURF4",39.4764,35.14952,27.85671,34.1608766666667,29.1679,29.1679,1.16550627211926
"SURF6",22.18166,23.87515,22.50386,22.8535566666667,30.05995,30.05995,0.767984387182422
"SURF6P1",0,0,0,0,0,0,1
"SUSD1",6.26189,7.59915,7.38476,7.08193333333333,4.04533,4.04533,1.60186416613647
"SUSD2",2.30265,1.87906,1.76972,1.98381,1.07876,1.07876,1.43537974561758
"SUSD3",8.54797,2.26593,2.97138,4.59509333333333,6.8667,6.8667,0.711237664247185
"SUSD4",126.46363,68.39235,60.12681,84.9942633333333,61.80027,61.80027,1.36932951615229
"SUSD5",2.63397,3.20546,11.07714,5.63885666666667,6.24434,6.24434,0.91641980727943
"SUV39H1",4.24086,3.09493,4.65371,3.9965,4.58471,4.58471,0.894674924928958
"SUV39H2",2.65053,1.4093,2.53441,2.19808,0.95428,0.95428,1.63644922938371
