"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Spinal_cord","dHs_Avg__TPM","FoldChange"
"AC005754.1",0.41415,0.6632,0.78654,0.621296666666667,0.31034,0.31034,1.23730990938739
"AC005758.1",0.23192,0,0,0.0773066666666667,0,0,1.07730666666667
"AC005777.3",0,13.07054,0,4.35684666666667,0,0,5.35684666666667
"AC005779.1",0,0,0,0,0,0,1
"AC005779.2",0,0,0,0,0.49655,0.49655,0.668203534796699
"AC005786.3",0,34.45869,0,11.48623,0,0,12.48623
"AC005822.1",0,0.13817,0,0.0460566666666667,0,0,1.04605666666667
"AC005831.1",0,0,0.21848,0.0728266666666667,0,0,1.07282666666667
"AC005838.1",0.54667,0.96716,0,0.50461,0.40345,0.40345,1.07207951832983
"AC005838.2",2.23639,0,0,0.745463333333333,0,0,1.74546333333333
"AC005841.1",1.15961,0,0,0.386536666666667,0.24827,0.24827,1.11076663435528
"AC005884.1",4.20772,3.56469,2.53441,3.43560666666667,8.78271,8.78271,0.453412875028153
"AC005943.2",16.43331,28.3241,23.90215,22.88652,2.88619,2.88619,6.14651368049426
"AC006001.1",0,0,0,0,0,0,1
"AC006011.4",8.33262,15.3641,7.14443,10.2803833333333,6.14479,6.14479,1.57882643623302
"AC006014.10",0,0,0,0,0,0,1
"AC006014.7",0,0,0,0,2.29654,2.29654,0.303348359188725
"AC006014.8",3.90954,3.92392,2.0756,3.30302,0.31034,0.31034,3.28389578277394
"AC006022.4",0,0,0,0,0,0,1
