"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Heart","dHs_Avg__TPM","FoldChange"
"AL354808.1",234.78767,116.80584,0,117.197836666667,0,0,118.197836666667
"AL354993.1",1.06021,0.829,0.54621,0.811806666666667,1.60665,1.60665,0.695070940351281
"AL355149.1",1.07678,1.38166,2.57811,1.67885,0.21506,0.21506,2.20470594044739
"AL355390.1",0,0,0,0,0,0,1
"AL355490.1",5.05258,8.20708,7.40661,6.88875666666667,0,0,7.88875666666667
"AL356356.1",0.6295,0,0.52436,0.38462,1.45484,1.45484,0.56403676003324
"AL356475.1",1.50749,2.1554,0.56806,1.41031666666667,0,0,2.41031666666667
"AL356740.1",89.32302,42.16837,25.16936,52.22025,34.57457,34.57457,1.49601948807814
"AL356806.3",0,0,0,0,0,0,1
"AL357153.1",0.24849,0.22107,4.32598,1.59851333333333,0.27832,0.27832,2.03275653461835
"AL357673.1",2.6671,4.00682,4.7848,3.81957333333333,3.85849,3.85849,0.991989966704333
"AL358175.1",0,0,0,0,0,0,1
"AL358175.2",1.01052,0.85663,1.85711,1.24142,0.50603,0.50603,1.48829704587558
"AL358781.1",115.69584,93.17939,108.89244,105.922556666667,24.52986,24.52986,4.18813721135434
"AL358813.1",0,0.44213,0,0.147376666666667,0,0,1.14737666666667
"AL358813.2",2.36892,7.04648,6.92594,5.44711333333333,0.53133,0.53133,4.2101397695685
"AL359195.1",0,0,0.0437,0.0145666666666667,0,0,1.01456666666667
"AL359392.1",0,0.13817,0,0.0460566666666667,0,0,1.04605666666667
"AL359697.1",0,0,0,0,0,0,1
"AL359736.1",0,0,0,0,0,0,1
"AL359757.1",0,2.1554,0,0.718466666666667,0,0,1.71846666666667
"AL359853.2",2.78306,1.21586,0,1.33297333333333,14.28273,14.28273,0.152654226917137
"AL359878.1",0.66263,0.46977,0.24033,0.457576666666667,0.34157,0.34157,1.08647082646948
"AL360004.1",0.03313,0.02763,0,0.0202533333333333,0,0,1.02025333333333
"AL360078.1",0,0,0,0,0,0,1
"AL365202.1",0,0,0,0,0,0,1
"AL365331.2",0,0,0,0,0,0,1
"AL390877.1",0,0,0,0,0,0,1
"AL391005.1",0,0,0,0,0,0,1
"AL391137.1",0,0,0,0,0,0,1
"AL391152.1",3.08125,2.81859,3.45205,3.11729666666667,8.40012,8.40012,0.438004692138682
"AL391319.1",6.52694,2.29356,0,2.94016666666667,0,0,3.94016666666667
"AL391357.1",334.82879,305.23711,357.13401,332.39997,170.16561,170.16561,1.94782100212771
"AL391421.1",0,0,0,0,0,0,1
"AL391994.1",22.72833,24.92521,33.18773,26.94709,1.99882,1.99882,9.31936228249778
"AL392086.1",7.57059,10.88751,4.32598,7.59469333333333,0,0,8.59469333333333
"AL445199.1",0.49698,1.0777,1.76972,1.1148,0,0,2.1148
"AL445665.1",0.29819,0,0.26218,0.18679,18.01471,18.01471,0.0624143097633359
"AL445989.1",0,0,0,0,0,0,1
"AL450307.1",0,0.22107,4.34783,1.52296666666667,0,0,2.52296666666667
"AL450992.6",0.53011,0,0,0.176703333333333,0,0,1.17670333333333
"AL451105.1",0,0,0,0,0,0,1
"AL512625.1",0,0,0,0,0,0,1
"AL512652.1",2.53457,3.86866,3.05878,3.15400333333333,0.10121,0.10121,3.77221722771618
"AL513013.1",0,0.1658,0.34957,0.17179,0,0,1.17179
"AL513327.1",13.48459,14.7009,32.27009,20.15186,14.54839,14.54839,1.36038908208503
"AL513477.1",0.43071,0.93953,1.11427,0.82817,0.0253,0.0253,1.78305861699015
"AL583828.1",3.37943,2.12776,2.05375,2.52031333333333,2.71992,2.71992,0.94634113995283
"AL583842.7",0,0.1658,0,0.0552666666666667,0.93616,0.93616,0.54503071371512
"AL589642.1",0,0,0,0,0,0,1
"AL589645.1",0,0.02763,0,0.00921,0,0,1.00921
"AL589685.1",0,0,0,0,0,0,1
"AL589765.1",3.32973,1.68563,0.43697,1.81744333333333,0,0,2.81744333333333
"AL589988.1",8.44858,2.45936,0,3.63598,0,0,4.63598
"AL590325.1",0.6295,0,0,0.209833333333333,0,0,1.20983333333333
"AL590325.2",0,0,0,0,0,0,1
"AL590369.1",1.75598,1.18823,3.69238,2.21219666666667,0.94881,0.94881,1.64828621911149
"AL590489.1",1.83881,2.34883,0,1.39588,0,0,2.39588
"AL590639.1",3.9758,10.19668,0,4.72416,0,0,5.72416
"AL590708.2",0.19879,1.658,0.41512,0.757303333333333,0,0,1.75730333333333
"AL590710.1",0,1.46456,1.9882,1.15092,0.43013,0.43013,1.50400313258235
"AL590762.1",28.42698,30.17553,66.06957,41.55736,73.09619,73.09619,0.574352878332881
"AL590762.10",0,0,0,0,0.97411,0.97411,0.5065573853534
"AL590762.11",0,0,0,0,0.63254,0.63254,0.612542418562485
"AL590762.6",0,0,0,0,0.70844,0.70844,0.585329306267706
"AL590762.7",0.6295,0,0,0.209833333333333,0.41748,0.41748,0.853509984855753
"AL590763.5",0.06626,0,0.54621,0.204156666666667,0,0,1.20415666666667
"AL590812.1",0,0,0,0,0,0,1
