"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","FoldChange"
"RAB3IP","Rab3ip",18.467388,16.889873,11.989878,396,700,560,15.7823796666667,17.34028,15.551,14.527464,892,992,712,0,16.7823796666667
"RAB40B","Rab40b",11.784742,14.207982,11.83323,291,485,339,12.6086513333333,9.898372,12.692511,16.594848,179,171,156,0.210575333333333,11.2414741640752
"RAB40C","Rab40c",29.15434,21.410447,24.721186,447,735,732,25.0953243333333,17.168527,16.058012,18.959298,408,437,306,0,26.0953243333333
"RAB42","Rab42",0.620415,0.793885,1.232382,5,12,19,0.882227333333333,0,0.189196,0.252368,0,5,4,0,1.88222733333333
"RAB43","Rab43",14.243938,9.916957,7.922224,270,357,362,10.694373,0.988593,1.419005,0,55,73,0,0,11.694373
"RAB44","Rab44",0,0.03663,0.036075,0,1,3,0.024235,0,0.01598,0,0,1,0,1.599934,0.393946538642904
"RAB4A","Rab4a",25.163556,29.426131,25.539062,338,743,685,26.709583,76.194047,74.004048,68.741228,1217,1266,849,3.94351,5.60524465410204
"RAB4B","Rab4b",98.433205,155.578308,164.593567,418,1036,1128,139.535026666667,34.910116,27.018568,32.716939,283,249,194,0.921407,73.1417272169128
"RAB5A","Rab5a",52.311991,37.957973,32.055646,1678,2131,1726,40.7752033333333,51.013,50.299715,55.725904,1064,1160,792,0.0224316666666667,40.8586751518846
"RAB5B","Rab5b",46.800781,44.596876,40.907814,2206,3703,3449,44.1018236666667,62.857535,66.461553,74.928339,2117,2540,1830,15.8087623333333,2.6832328741555
"RAB5C","Rab5c",79.556921,87.553914,85.783218,1341,2957,2808,84.2980176666667,51.404575,62.828857,70.744266,709,870,636,0,85.2980176666667
"RAB5IF","Rab5if",37.001758,43.860689,42.318514,361,791,786,41.0603203333333,49.673005,61.059929,58.744573,284,352,226,4.83216533333333,7.21178463390613
"RAB6A","Rab6a",187.453531,170.004799,145.308433,7547,11961,9671,167.588921,249.166587,276.609539,296.235955,5151,6076,4638,0,168.588921
"RAB6B","Rab6b",171.366037,81.102481,78.596805,12800,10818,10608,110.355107666667,133.740913,159.676041,177.338891,7206,9238,6729,40.9864226666667,2.65216945369991
"RAB7B","Rab7b",0.435567,0.432796,0.891609,14,31,46,0.586657333333333,0.043801,0.367518,0.061676,1,15,1,0,1.58665733333333
"RAB8A","Rab8a",21.612964,34.552401,31.361399,429,867,827,29.175588,51.309518,47.897873,51.587885,231,315,219,0.061138,28.4370063083218
"RAB8B","Rab8b",9.538812,5.556341,5.193377,692,698,643,6.76284333333333,11.654173,12.834368,14.421018,643,687,504,0,7.76284333333333
"RAB9B","Rab9b",8.050628,5.854395,5.939899,479,608,606,6.614974,13.208117,11.793653,13.727946,664,637,492,2.001059,2.53742895424582
"RABAC1","Rabac1",121.435012,219.239975,235.030106,598,2090,2322,191.901697666667,67.442457,76.297381,65.60918,428,537,293,0.202677333333333,160.393558870875
"RABEP1","Rabep1",31.683593,18.349713,16.359184,2100,2242,1902,22.13083,53.061842,52.272259,62.571983,2521,2954,2045,0.142006333333333,20.2545549221998
"RABEP2","Rabep2",3.419878,2.689097,2.899381,81,159,155,3.00278533333333,7.899179,8.201524,8.581728,117,128,109,0.685878666666667,2.37430214432197
"RABEPK","Rabepk",16.319373,19.8793,18.016844,205,454,383,18.071839,13.529425,12.0975,14.607756,177,210,157,0,19.071839
"RABGAP1L","Rabgap1l",40.027398,20.571965,20.461669,2158,1970,1529,27.020344,20.457671,26.475384,28.781253,943,1226,956,1.00021866666667,14.0086403886508
"RABGEF1","Rabgef1",21.854271,19.003936,17.488854,481,670,612,19.4490203333333,14.361532,13.451513,16.240746,516,556,411,0.0226296666666667,19.9965060665493
"RABGGTA","Rabggta",15.303439,12.94181,13.345794,333,755,763,13.863681,28.88464,29.81122,28.934988,263,307,212,1.58797233333333,5.74336935853384
"RABGGTB","Rabggtb",29.116924,27.111189,27.597131,436,757,749,27.941748,48.926818,51.692877,49.410106,614,729,485,52.8677826666667,0.537273794599849
"RABIF","Rabif",10.709882,10.377992,8.95068,451,766,668,10.0128513333333,9.583498,10.007267,11.035426,390,441,319,0.031268,10.6789421695751
"RABL2B","Rabl2",80.87161,96.41715,88.16717,196,344,357,88.48531,30.88408,27.268671,30.319466,490,502,353,106.253362666667,0.834335705427828
"RABL3","Rabl3",3.210821,4.88257,3.735696,88,143,121,3.943029,4.834589,6.157581,6.100598,149,183,132,287.801633666667,0.0171156545662246
"RABL6","Rabl6",103.028674,133.788081,100.713169,1475,2970,2789,112.509974666667,31.184867,29.269986,32.209415,907,1017,709,0.570088,72.2952947011038
"RAC1","Rac1",189.999776,177.211053,162.569857,4038,6493,5807,176.593562,107.875153,105.144181,124.98989,2016,2185,1681,65.0502876666667,2.68876288467136
"RAC2","Rac2",14.169338,12.89792,8.020512,29,31,32,11.6959233333333,0.304897,0.156861,0,1,3,0,0,12.6959233333333
"RAC3","Rac3",17.143417,28.382633,32.478126,123,380,455,26.001392,91.272675,97.815934,121.340891,760,980,677,2.796878,7.11147210945414
"RACGAP1","Racgap1",3.185666,3.801681,3.983457,114,233,223,3.65693466666667,19.203628,20.908454,18.950278,213,279,203,2.25106733333333,1.43243254881833
"RACK1","Rack1",269.317874,359.338016,389.940343,1585,4133,4609,339.532077666667,691.708999,658.724371,806.472474,3112,3243,2520,2.47229766666667,98.0711074789767
"RAD1","Rad1",6.937287,11.120694,10.085685,84,230,225,9.381222,34.184328,50.649581,26.770214,541,518,365,0,10.381222
"RAD17","Rad17",4.88145,4.354335,3.872856,193,304,274,4.369547,29.079414,22.362157,21.688926,450,470,338,0,5.369547
"RAD18","Rad18",1.804028,1.452817,2.481447,77,91,113,1.912764,3.771378,4.117599,2.411404,101,110,66,0,2.912764
"RAD21","Rad21",31.947033,25.108083,23.740813,1887,2558,2359,26.9319763333333,48.231753,42.69836,48.723082,2026,2076,1672,0.0746873333333333,25.990793291196
"RAD23A","Rad23a",50.06243,51.777514,52.122928,601,1235,1222,51.3209573333333,27.40671,35.205698,31.872065,400,539,333,0.191767333333333,43.9019898179231
"RAD23B","Rad23b",60.043127,43.018618,37.654631,2592,3187,2776,46.9054586666667,44.265208,42.132543,40.953986,1958,2149,1461,0.615847333333333,29.6472678318207
"RAD50","Rad50",3.217811,1.138994,1.206535,169,157,167,1.85444666666667,13.375484,13.67289,21.12734,453,581,465,1.25435733333333,1.26619086710891
"RAD51","Rad51",0.412221,0.631686,0.656538,19,25,28,0.566815,1.427401,0.413679,0.634062,9,7,7,1.04398533333333,0.766549042426267
"RAD51AP1","Rad51ap1",1.148914,1.848388,1.351557,8,24,28,1.44961966666667,0.438277,0.494634,1.282795,7,3,9,0.020704,2.39993148519714
"RAD51B","Rad51b",0.494802,0.154635,0.274522,3,7,11,0.307986333333333,1.695698,1.979299,1.56617,9,14,7,0.024331,1.27691764999139
"RAD51C","Rad51c",1.336707,0.965139,0.935494,46,35,41,1.07911333333333,17.551689,20.339761,16.849859,133,141,98,0.178541333333333,1.76414120958563
"RAD51D","Rad51d",5.685156,6.11428,7.23668,192,322,379,6.345372,33.77731,36.477676,34.397475,269,291,217,0.0903253333333333,6.7368626367176
"RAD52","Rad52",9.819551,8.559582,9.745009,122,195,199,9.374714,13.992406,22.409104,20.552957,170,217,141,0,10.374714
"RAD54B","Rad54b",0.606547,0.982584,0.711969,20,32,21,0.767033333333333,1.436416,2.783789,2.342751,17,12,23,18.8029373333333,0.0892308703294723
"RAD54L","Rad54l",0.317577,0.121233,0.136022,16,12,10,0.191610666666667,1.022901,0.277155,2.519892,4,1,9,0.033519,1.15296445122602
"RAD54L2","Rad54l2",2.727221,0.984299,0.656732,396,171,173,1.456084,7.642635,6.548547,8.242005,878,807,684,0,2.456084
"RAD9A","Rad9a",3.633884,5.203431,4.300839,87,177,139,4.37938466666667,9.207153,14.663147,12.721165,126,153,100,0,5.37938466666667
"RAD9B","Rad9b",2.206655,1.216057,1.456608,31,41,46,1.62644,0.425029,0.176385,0.477687,8,7,8,0,2.62644
"RADIL","Radil",8.86986,1.709135,3.972572,119,128,118,4.85052233333333,4.048594,3.705657,3.738688,84,104,67,48.18115,0.118958632185976
"RADX","Radx",0.144156,0.30065,0.021519,8,4,2,0.155441666666667,8.108261,8.691916,8.564454,332,322,194,5.883313,0.167861270679783
"RAE1","Rae1",22.668301,28.938827,26.12555,328,631,700,25.9108926666667,24.278312,29.343956,31.485098,408,430,344,0,26.9108926666667
"RAF1","Raf1",34.071335,44.343792,36.28964,666,1439,1338,38.2349223333333,64.085331,60.6606,67.141105,1157,1297,1009,0,39.2349223333333
"RAG1","Rag1",0.039046,0.028012,0.016944,4,5,3,0.0280006666666667,0.755667,0.694702,0.095116,15,15,6,0,1.02800066666667
"RAG2","Rag2",0,0.023315,0,0,2,0,0.00777166666666667,0.21998,0,0.047919,2,0,1,0.073838,0.938476443063727
"RAI1","Rai1",12.834472,4.602372,5.777806,935,559,654,7.73821666666667,24.069442,21.630352,23.698624,1277,1308,1061,0.567465333333333,5.57474317348007
"RAI14","Rai14",2.576151,1.476788,1.255324,168,188,160,1.769421,48.876753,95.902128,91.783588,734,846,800,0,2.769421
"RAI2","Rai2",3.049215,3.00451,2.888976,94,168,161,2.98090033333333,6.690626,4.661692,6.58078,149,142,126,0.260193,3.15896083642215
"RALA","Rala",22.897758,21.381694,16.668249,881,1390,1102,20.3159003333333,79.549021,71.272196,110.701541,1255,1438,1229,0,21.3159003333333
"RALB","Ralb",5.642228,7.337315,7.483453,184,431,445,6.82099866666667,52.073134,50.05702,45.775837,676,738,543,0,7.82099866666667
"RALBP1","Ralbp1",21.230551,15.117014,15.567921,1008,1154,1079,17.305162,9.216291,11.989964,10.237995,536,585,402,0,18.305162
"RALGAPA1","Ralgapa1",40.873692,12.700455,13.732216,2735,1467,1380,22.4354543333333,36.371886,35.818925,31.122633,1134,1257,942,0.280470666666667,18.3022188195382
"RALGAPA2","Ralgapa2",3.426141,0.807231,1.26626,362,202,203,1.83321066666667,8.908198,7.356559,7.673176,668,599,453,0,2.83321066666667
"RALGAPB","Ralgapb",23.528373,9.21911,8.350355,2196,1836,1666,13.6992793333333,15.731759,15.751031,15.626214,1426,1638,1104,0.299694,11.309800101665
"RALGDS","Ralgds",47.376778,33.65906,32.536496,1264,1628,1580,37.8574446666667,294.310234,421.322812,609.802505,2566,3018,2741,0.958824333333333,19.837125772551
"RALGPS1","Ralgps1",12.158979,4.36976,4.001238,909,592,587,6.84332566666667,56.28698,53.391391,61.774817,1320,1498,1253,29.4409686666667,0.257656901544504
"RALGPS2","Ralgps2",17.223072,8.375892,10.136775,681,486,435,11.911913,10.470491,7.723094,7.80105,705,612,488,0.112227,11.609062718312
"RALY","Raly",63.535216,61.534258,67.598778,694,1411,1515,64.2227506666667,99.406579,135.081572,138.405066,837,996,1001,7.85114966666667,7.36884507922116
"RALYL","Ralyl",183.813587,149.567867,125.854005,903,1462,1307,153.078486333333,16.53466,16.435859,14.912576,317,310,182,23.819517,6.20795667914623
"RAMAC","Ramac",40.94777,33.823085,27.08993,729,1035,803,33.953595,23.4255,23.668222,24.371572,432,467,323,1.735842,12.7761745744089
"RAMP1","Ramp1",15.442357,21.534149,23.182497,471,1232,1317,20.053001,7.020695,8.406239,7.05474,45,64,27,0,21.053001
"RAMP2","Ramp2",21.433546,35.304227,31.75356,138,357,337,29.497111,9.228584,28.01517,12.642085,60,90,54,0.911687666666667,15.9529778487176
"RAMP3","Ramp3",16.257867,18.138546,17.641893,257,534,520,17.346102,0.065331,0.059232,0,1,1,0,0,18.346102
"RAN","Ran",287.81222,418.533868,402.464978,2111,3793,3829,369.603688666667,269.504654,271.055955,315.702444,2478,2719,1905,1.990863,123.911957407165
"RANBP1","Ranbp1",31.034769,34.557644,39.253754,351,669,750,34.9487223333333,114.433472,121.96085,105.003483,426,493,350,0.288819666666667,27.8927481191447
"RANBP10","Ranbp10",5.366384,2.528622,2.809235,435,370,415,3.56808033333333,4.702395,4.332437,5.702356,282,278,226,0.041785,4.3848590000176
"RANBP17","Ranbp17",1.583653,1.158889,1.204397,68,128,120,1.31564633333333,15.098466,12.783684,14.573242,208,211,167,96.093678,0.0238496097895615
"RANBP3","Ranbp3",22.752788,28.449464,25.30202,724,1627,1564,25.501424,60.260003,57.483113,66.297188,465,490,427,0,26.501424
"RANBP3L","Ranbp3l",4.259182,3.346974,3.728096,110,149,162,3.778084,0.033897,0.016145,0.024147,2,1,1,0,4.778084
"RANBP6","Ranbp6",12.275916,7.747335,8.288268,853,921,945,9.437173,22.614676,22.514912,22.218023,1369,1509,985,0.548635,6.7395951918948
"RANBP9","Ranbp9",48.042663,27.66934,27.813942,1166,1460,1282,34.5086483333333,29.406789,32.922784,33.924602,852,965,717,0,35.5086483333333
"RANGAP1","Rangap1",68.857717,47.095748,46.164665,2907,3605,3585,54.0393766666667,65.41986,74.278249,67.616615,1564,1896,1129,0.0738216666666667,51.2556026528303
"RANGRF","Rangrf",14.480674,23.642466,24.564961,63,179,193,20.8960336666667,15.195372,16.268431,24.252678,150,160,146,0,21.8960336666667
"RAP1A","Rap1a",39.314157,39.662692,43.263945,551,842,820,40.7469313333333,14.266001,13.585041,15.362443,541,598,509,0.137107,36.7132832119874
"RAP1B","Rap1b",25.29233,23.336615,22.336,839,1335,1162,23.6549816666667,79.412757,82.517045,87.764428,1280,1450,984,0,24.6549816666667
"RAP1GAP","Rap1gap",93.216976,81.761039,72.535037,2314,3953,3753,82.5043506666667,29.285299,30.95977,36.878705,1161,1341,965,0,83.5043506666667
"RAP1GAP2","Rap1gap2",40.738949,23.255151,22.903429,3447,3617,3551,28.965843,20.758335,21.011388,28.128204,876,1025,779,0,29.965843
"RAP2A","Rap2a",28.799623,17.775915,15.407228,1770,1947,1704,20.660922,17.105583,17.82648,18.582357,1117,1279,928,0,21.660922
"RAP2B","Rap2b",7.585106,4.348291,3.229958,766,797,598,5.05445166666667,0.594647,0.971717,1.061146,68,119,86,0.022541,5.92098670534156
"RAP2C","Rap2c",9.545331,6.916737,6.100134,494,608,497,7.520734,11.744277,10.024153,29.299361,383,371,352,0,8.520734
"RAPGEF2","Rapgef2",23.390688,6.079341,6.26387,2067,1110,1158,11.9112996666667,14.092615,16.852007,23.484396,959,919,692,1.15087266666667,6.00281916580216
"RAPGEF3","Rapgef3",35.408443,26.713776,28.042043,391,577,558,30.054754,0.544957,1.254462,0.901108,29,48,30,15.2551776666667,1.91045306528281
"RAPGEF4","Rapgef4",292.102344,267.941791,249.616571,7750,13384,11872,269.886902,73.76774,62.549416,68.25594,1824,1561,1170,0.0620663333333333,255.056481406215
"RAPGEF5","Rapgef5",35.385887,16.716195,15.917405,2505,2276,2070,22.6731623333333,10.560932,8.819933,13.871408,844,763,529,5.48185233333333,3.65222179030408
"RAPGEFL1","Rapgefl1",33.728792,14.249612,14.235852,1537,1210,1218,20.7380853333333,15.902392,21.369802,21.793557,362,465,327,11.2617136666667,1.77284235501503
"RAPSN","Rapsn",0.43269,0.084381,0.382639,6,3,8,0.299903333333333,0.062859,0.054952,0,1,1,0,0.341722666666667,0.968831611500439
"RARA","Rara",8.204654,6.376729,5.564603,120,141,126,6.71532866666667,7.399909,8.542616,9.504077,154,184,128,2.596329,2.14533449711266
"RARB","Rarb",2.94738,3.65137,2.168541,128,250,161,2.92243033333333,1.121726,1.503064,0.931435,31,47,24,0,3.92243033333333
"RARG","Rarg",3.625919,2.659219,3.163122,79,95,150,3.14942,0.044751,0,0.613841,1,0,11,0,4.14942
"RARRES2","Rarres2",4.200881,14.239702,15.951211,33,184,218,11.4639313333333,0.49061,0.489151,0,4,5,0,40.287737,0.301879740547014
"RARS2","Rars2",13.642193,14.774925,13.16067,182,293,311,13.8592626666667,31.980365,29.443554,44.986436,613,688,559,0,14.8592626666667
"RASA2","Rasa2",10.664297,3.845355,2.50315,404,352,339,5.670934,7.772442,6.474621,5.549705,368,323,287,0.025903,6.50249974900161
"RASA3","Rasa3",18.678188,21.023787,14.162737,960,1543,1403,17.954904,6.285847,5.66612,6.876837,354,350,275,0,18.954904
"RASA4B","Rasa4",2.838029,2.268734,1.714832,54,99,120,2.273865,5.440266,8.38946,9.611194,332,408,283,0,3.273865
"RASAL1","Rasal1",52.9824,45.663932,40.442196,799,1283,1147,46.3628426666667,0.47029,0.295893,0.153232,9,9,1,0.526644666666667,31.0241431426741
"RASAL3","Rasal3",1.829644,1.495054,0.591913,25,30,31,1.305537,0.908753,0.055186,0.15263,4,1,2,0.0985296666666667,2.09874805383802
"RASD1","Rasd1",9.958348,10.256918,8.623667,218,407,347,9.61297766666667,2.262596,2.558184,2.515398,46,59,36,0.18315,8.97010325543394
"RASD2","Rasd2",25.169102,16.931474,11.939647,1038,1269,908,18.0134076666667,0.117711,0.314903,0.267928,5,15,8,0.207881,15.7411265403352
"RASEF","Rasef",0.034274,0.096028,0.03184,2,7,4,0.0540473333333333,1.343694,1.54891,2.391837,89,120,110,5.00641133333333,0.175487037906273
"RASGEF1C","Rasgef1c",10.558606,8.392937,9.308522,222,421,340,9.42002166666667,6.590692,4.278628,8.232908,70,96,69,0.0661866666666667,9.77316823820719
"RASGRF1","Rasgrf1",85.802334,45.492818,50.033234,5226,4881,5421,60.4427953333333,9.210564,16.879009,15.568118,315,535,211,0.852416,33.1690048743551
"RASGRF2","Rasgrf2",44.668029,22.679757,21.994132,2197,1951,1846,29.7806393333333,1.152574,1.590904,1.055861,114,160,80,2.62218233333333,8.49781609558216
"RASGRP1","Rasgrp1",101.156987,36.770653,29.964045,7907,5049,4143,55.963895,0.483022,1.027061,0.680246,19,23,16,0.345870333333333,42.3249503233472
"RASGRP2","Rasgrp2",39.586813,50.400659,43.414923,343,719,598,44.467465,11.346134,20.40609,26.366213,192,290,296,0,45.467465
"RASGRP4","Rasgrp4",0.585418,0.215103,0.148427,12,10,9,0.316316,0.103609,0.083615,0.051905,5,5,2,8.93838666666667,0.132447654146414
"RASIP1","Rasip1",3.346825,2.235802,2.293024,128,173,186,2.625217,0.938124,1.318787,0.554625,22,32,10,0.406126666666667,2.57815820291202
"RASL10A","Rasl10a",13.071061,13.169059,12.467663,166,323,315,12.9025943333333,0.309355,1.630245,1.670073,2,12,6,0.774809666666667,7.83328747552085
"RASL10B","Rasl10b",62.066998,66.384498,55.274913,2678,5426,4665,61.2421363333333,11.031912,14.987642,12.796059,432,635,328,0,62.2421363333333
"RASL11A","Rasl11a",4.182171,6.173125,5.835327,40,100,89,5.39687433333333,3.528328,3.461149,3.80905,22,23,23,0,6.39687433333333
"RASL11B","Rasl11b",21.321314,16.653488,15.259955,489,734,699,17.744919,3.46304,4.020243,4.084442,79,100,60,0.0317316666666667,18.1684052216419
"RASL12","Rasl12",1.093731,1.232612,1.931747,37,76,121,1.41936333333333,0,0.101032,0.272484,0,3,3,0.0671363333333333,2.26715486837202
"RASSF1","Rassf1",5.136589,5.993713,6.129869,116,230,253,5.75339033333333,5.65874,6.144848,7.900316,121,145,119,0.559934666666667,4.32927767915066
"RASSF10","Rassf10",0.225247,0.161786,0.167568,11,15,16,0.184867,0,0.02589,0.084385,0,1,2,0,1.184867
"RASSF2","Rassf2",12.64474,9.537542,11.365823,908,1136,1296,11.1827016666667,4.145777,4.195854,6.124811,300,333,313,0,12.1827016666667
"RASSF3","Rassf3",12.457259,8.193353,7.82913,599,753,711,9.49324733333333,0.361478,0.322007,0.683141,7,16,8,7.66184633333333,1.2114330974624
"RASSF4","Rassf4",9.034376,3.443237,4.574445,254,329,396,5.68401933333333,19.749668,30.16023,16.966656,338,458,283,0.0349746666666667,6.45814776786807
"RASSF5","Rassf5",8.153148,5.66244,5.101678,386,423,434,6.30575533333333,17.153691,19.187065,14.800529,619,807,426,0.0388846666666667,7.03230644145933
"RASSF6","Rassf6",0.616299,0.606633,0.683079,15,26,24,0.635337,0.454536,0.669912,1.281242,4,5,8,0,1.635337
"RASSF7","Rassf7",1.326491,3.840955,1.745642,6,25,42,2.30436266666667,12.293353,12.925605,17.633445,125,162,108,4.75504766666667,0.574167732059908
"RASSF8","Rassf8",6.454261,5.718994,5.332977,408,481,458,5.83541066666667,4.61221,6.663915,5.47017,325,373,231,0,6.83541066666667
"RASSF9","Rassf9",0.487302,0.387409,0.407048,27,28,36,0.427253,0.057233,0.013399,0.059433,4,1,3,0,1.427253
"RAVER1","Raver1",7.190294,4.042847,4.234978,359,382,409,5.15603966666667,2.921786,6.757696,7.249743,99,130,95,0,6.15603966666667
"RAVER2","Raver2",4.944716,3.148381,2.946063,288,326,315,3.67972,3.395419,2.5848,4.378126,188,155,174,0.410631666666667,3.31746416203616
"RAX","Rax",0,0.100652,0.079349,0,4,2,0.0600003333333333,0,0,0,0,0,0,0,1.06000033333333
"RB1","Rb1",16.990081,5.567816,6.432036,532,442,360,9.663311,13.791867,15.721361,23.896516,410,515,360,1.12933033333333,5.0078237430203
"RB1CC1","Rb1cc1",53.427121,35.244094,46.53003,1794,2144,1834,45.0670816666667,44.226661,47.643074,42.865093,1443,1617,1118,0,46.0670816666667
"RBAK","Rbak",3.249365,1.94938,2.139767,140,171,180,2.44617066666667,3.922149,3.406424,4.145822,281,277,241,0,3.44617066666667
"RBBP4","Rbbp4",50.127799,60.768364,59.444328,1535,3096,3141,56.7801636666667,67.89589,68.676067,88.414302,1904,2022,1767,0,57.7801636666667
"RBBP5","Rbbp5",24.550304,16.720353,15.410581,631,873,804,18.893746,7.179636,9.326074,6.180765,365,391,255,0,19.893746
"RBBP6","Rbbp6",36.287268,23.075312,25.185483,1238,1114,1047,28.1826876666667,10.490857,11.700962,12.044956,549,605,485,2.614572,8.07362190230729
"RBBP7","Rbbp7",80.571171,68.130007,64.575797,1724,2630,2306,71.092325,148.550346,167.668484,229.104886,832,977,780,0,72.092325
"RBBP8","Rbbp8",1.236387,1.462348,0.811272,51,70,71,1.17000233333333,5.625793,8.96461,9.51342,139,153,104,0,2.17000233333333
"RBBP9","Rbbp9",12.713002,11.25483,11.825623,395,610,642,11.9311516666667,8.976538,9.326023,10.221121,362,377,302,0.501990666666667,8.60934222405288
"RBCK1","Rbck1",40.865719,44.813259,45.469728,699,1523,1552,43.7162353333333,35.331016,34.112184,39.529465,347,423,314,0.353426,33.0392909056966
"RBFA","Rbfa",16.094213,26.73666,23.628923,173,504,484,22.1532653333333,10.635687,10.742856,16.177218,211,220,199,0,23.1532653333333
"RBFOX1","Rbfox1",86.494636,34.214092,31.080404,2633,1985,1616,50.5963773333333,108.49387,122.278196,183.941301,2932,2989,3032,0.0332716666666667,49.9349580539484
"RBFOX2","Rbfox2",55.932472,23.69224,24.318197,3604,2881,2691,34.6476363333333,109.113485,107.462631,134.691242,7599,7633,6658,0.390175666666667,25.6425408587452
"RBFOX3","Rbfox3",71.981296,47.959188,37.396738,2248,2490,2211,52.4457406666667,22.492895,47.999879,16.527841,394,577,280,2.232047,16.5361891911432
"RBIS","Rbis",95.996039,70.827056,87.540716,148,189,228,84.787937,40.12464,52.648741,49.605476,131,168,121,0.0649586666666667,80.5551799193459
"RBKS","Rbks",1.147456,1.592945,2.520967,12,36,40,1.75378933333333,3.102839,2.323286,1.839397,44,34,17,21.461896,0.122598258550094
"RBL1","Rbl1",0.414077,0.250316,0.331043,23,32,38,0.331812,0.455261,0.415592,1.152325,35,34,37,0,1.331812
"RBL2","Rbl2",16.738963,9.026183,9.895376,737,999,1012,11.8868406666667,12.562177,9.141263,12.288592,416,423,327,0.168918,11.0245891214496
"RBM10","Rbm10",11.583127,9.5973,8.524537,527,813,731,9.90165466666667,14.390045,18.199211,18.263869,412,583,384,0.821157666666667,5.98611249657498
"RBM11","Rbm11",2.043308,2.464803,3.426724,59,138,188,2.644945,10.109583,10.89992,12.707433,131,125,99,0.590930333333333,2.29107769437212
"RBM12","Rbm12",5.7441,3.991137,3.514772,283,276,232,4.41666966666667,17.789819,14.661919,16.415427,979,949,831,1.24864433333333,2.40886012357372
"RBM12B","Rbm12b1",3.876619,1.977288,1.717575,149,151,119,2.52382733333333,6.624277,6.339966,5.412104,253,273,217,0,3.52382733333333
"RBM14","Rbm14",5.981369,3.593217,5.147653,283,311,347,4.907413,15.524471,18.521192,21.209354,292,422,353,0.111511,5.31475891826532
"RBM15","Rbm15",2.386775,1.337553,0.919527,183,182,120,1.54795166666667,1.231005,1.246775,1.53141,54,63,47,0,2.54795166666667
"RBM15B","Rbm15b",19.938078,16.069531,14.131957,787,992,883,16.7131886666667,8.057196,7.504539,9.899238,680,705,586,0.0152126666666667,17.4477616840872
"RBM17","Rbm17",79.143632,69.661568,67.950326,408,643,632,72.251842,51.402368,47.441837,64.248427,576,589,475,0.133959666666667,64.5982781868491
"RBM18","Rbm18",19.982435,18.708475,16.362966,666,1101,899,18.351292,17.394569,19.027082,21.351585,620,777,580,0.118551666666667,17.3003112656098
"RBM19","Rbm19",12.31791,7.995531,4.761453,188,218,171,8.358298,13.642376,14.209161,15.718946,469,520,352,0.0667373333333333,8.77282317546462
"RBM20","Rbm20",0.914517,0.375255,0.244944,66,48,32,0.511572,1.139969,1.829665,2.421493,92,95,47,0,1.511572
"RBM22","Rbm22",10.265776,10.808639,10.255553,305,576,507,10.4433226666667,22.882558,23.17987,31.401584,504,520,434,0,11.4433226666667
"RBM24","Rbm24",6.594192,8.659429,6.217336,149,225,169,7.15698566666667,0.658797,0.883983,1.68626,16,27,28,0,8.15698566666667
"RBM25","Rbm25",51.312861,15.504256,13.621564,1384,859,806,26.8128936666667,31.740243,29.052157,36.03566,1636,1601,1265,0.920325666666667,14.48342546759
"RBM26","Rbm26",15.276839,7.393975,6.357403,791,663,556,9.67607233333333,13.295496,14.254614,16.333671,683,789,600,1.45746666666667,4.34434064890673
"RBM27","Rbm27",6.487234,2.96637,2.689322,609,472,387,4.047642,5.904267,4.783296,12.134751,351,375,286,0,5.047642
"RBM28","Rbm28",21.282456,9.384425,8.950549,575,460,428,13.20581,18.947062,16.211548,18.391903,507,522,407,0.423687,9.97818340688649
"RBM3","Rbm3",43.141686,64.582032,55.634128,657,1690,1402,54.4526153333333,128.631554,104.31604,107.167019,1733,1762,1373,0.421346,39.0141565342523
"RBM33","Rbm33",11.230991,4.46251,4.242796,727,495,540,6.64543233333333,18.976609,16.724767,18.165724,1212,1255,961,3.819456,1.58636832317451
"RBM34","Rbm34",6.392588,5.745424,5.354479,255,391,342,5.83083033333333,76.359868,70.520659,78.762847,445,463,321,0,6.83083033333333
"RBM38","Rbm38",3.916968,2.29513,2.484894,28,51,45,2.89899733333333,1.212099,1.687976,2.029803,34,52,34,0,3.89899733333333
"RBM39","Rbm39",86.218305,49.063257,45.319977,1992,2216,1975,60.200513,160.898046,182.03905,209.20211,1741,1902,1470,0,61.200513
"RBM4","Rbm4",8.940945,12.249804,12.793395,147,268,269,11.328048,77.226255,76.834287,97.915905,1315,1447,1196,0.186801666666667,10.3876227563999
"RBM41","Rbm41",1.979991,1.428086,0.968108,81,98,72,1.45872833333333,6.939841,7.216975,10.550269,141,162,109,4.72183566666667,0.429709707962602
"RBM42","Rbm42",20.036726,24.748869,25.034613,406,990,1027,23.2734026666667,13.45924,17.899916,18.77708,174,275,174,0,24.2734026666667
"RBM43","Rbm43",7.624694,7.854145,8.276178,171,311,317,7.918339,0.288834,0.337074,0.406953,16,20,16,0,8.918339
