"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg_TPM","FoldChange"
"BAD","Bad",22.112699,33.768687,38.446509,167,462,518,31.4426316666667,33.282188,38.094292,40.378438,168,134,145,1.369537,13.6915488834598
"BAG1","Bag1",62.644791,69.448042,73.818727,932,1877,2030,68.6371866666667,28.884773,21.959576,28.955612,455,277,386,0.33746,52.066743429087
"BAG2","Bag2",4.832953,6.490632,8.129818,89,218,204,6.48446766666667,0.435503,0.586848,0.354724,43,47,31,0.100230666666667,6.8026350232012
"BAG3","Bag3",2.821256,1.398932,2.016952,102,95,140,2.07904666666667,17.552354,16.796651,19.67304,648,473,610,13.7179153333333,0.209203993699651
"BAG4","Bag4",18.832143,17.835773,13.130592,1075,1431,1169,16.5995026666667,3.392546,3.838712,2.931721,204,189,161,7.035562,2.19020183861025
"BAG5","Bag5",15.484597,13.699619,13.262788,452,707,669,14.1490013333333,6.812556,8.303962,6.768938,472,432,427,1.154797,7.03036125135376
"BAG6","Bag6",94.577221,70.958676,75.549988,2048,2714,2742,80.3619616666667,269.372386,231.822554,263.319729,2796,1983,2487,0.580763666666667,51.4700352635467
"BAHCC1","Bahcc1",3.378938,1.061572,0.945523,323,130,176,1.79534433333333,17.492373,12.144017,12.637311,958,566,664,20.2798673333333,0.131360984988597
"BAHD1","Bahd1",9.114748,3.62532,3.303879,598,455,425,5.34798233333333,9.876047,9.560002,8.530711,442,408,427,0.324040666666667,4.79440133006992
"BAIAP2","Baiap2",92.742785,58.238249,42.118674,2230,2876,2083,64.3665693333333,24.544403,23.080401,22.442363,259,219,256,0.712437,38.1716637361452
"BAIAP2L1","Baiap2l1",0.804593,0.412386,0.381815,25,35,25,0.532931333333333,0.59069,0.289755,0.121854,12,13,6,205.054193333333,0.00743945710851666
"BAIAP2L2","Baiap2l2",0.528348,6.198439,4.835273,11,27,32,3.85402,1.538722,1.750575,2.588837,27,20,29,0.00188033333333333,4.8449099543159
"BAIAP3","Baiap3",27.739922,22.580917,19.542045,678,1104,1207,23.287628,3.816591,4.027583,2.319169,39,32,35,9.080999,2.4092481310632
"BAK1","Bak1",3.522375,4.754773,4.586916,97,234,232,4.28802133333333,8.124912,9.278329,9.198906,264,243,261,24.8161323333333,0.204833987719591
"BAMBI","Bambi",0.717276,0.639853,0.778754,55,86,104,0.711961,10.151966,9.811181,11.485251,229,174,224,14.420508,0.111018456720103
"BANF1","Banf1",34.705622,45.338177,47.136613,298,698,745,42.3934706666667,101.974542,72.733974,97.227773,339,264,323,5.951993,6.2418749079101
"BANF2","Banf2",0,0,0,0,0,0,0,0,0,0,0,0,0,15.516988,0.060543726253237
"BANK1","Bank1",0.323014,0.469804,0.25876,16,19,22,0.350526,0.032706,0.040626,0.050623,1,1,2,78.5485683333333,0.0169773765674936
"BANP","Banp",13.233929,18.975853,16.314049,253,432,374,16.1746103333333,9.614854,10.236271,8.091998,111,82,85,4.30186766666667,3.23935100102775
"BAP1","Bap1",45.818843,48.163554,36.513173,1471,2900,2851,43.4985233333333,44.346877,34.413783,41.537032,964,738,845,9.45729066666667,4.25526312232818
"BARD1","Bard1",0.092956,0.085817,0.094553,8,13,14,0.0911086666666667,8.652765,21.495449,0.5954,28,71,27,2.524006,0.309621682445111
"BARHL1","Barhl1",0.412257,0.905349,1.562427,11,32,58,0.960011,0,0,0,0,0,0,1.794233,0.701448662298384
"BARHL2","Barhl2",0.188533,0.384521,0.377845,6,23,23,0.316966333333333,0,0,0,0,0,0,2.73545533333333,0.352558447582383
"BARX1","Barx1",0,0,0,0,0,0,0,0,0.372452,0,0,5,0,22.585153,0.0423995553473832
"BARX2","Barx2",1.36832,1.418725,1.39847,35,68,69,1.39517166666667,0.134349,0.086165,0.08331,4,2,2,0.254302333333333,1.90956486567433
"BASP1","Basp1",182.271044,165.945975,142.398584,3600,6304,5603,163.538534333333,58.477022,55.917544,65.604344,1362,1020,1310,244.673167333333,0.669745646703389
"BATF","Batf",0.266703,0.047964,0.094515,3,1,2,0.136394,0,0,0,0,0,0,31.1088966666667,0.0353918732181081
"BATF2","Batf2",0,0.11104,0.117381,0,2,4,0.0761403333333333,0,0,0.040096,0,0,1,144.713306666667,0.00738532641905594
"BATF3","Batf3",0.238187,0.368844,1.430591,2,5,19,0.679207333333333,0.83655,0.873317,1.96198,9,8,15,16.5536116666667,0.0956616430407911
"BAX","Bax",96.949417,142.838199,190.59497,227,454,517,143.460862,202.202876,193.091267,215.551662,512,441,450,166.997394666667,0.85989941859892
"BAZ1A","Baz1a",0.812136,1.207192,0.241602,35,42,13,0.753643333333333,16.469349,16.831088,16.367725,298,360,263,0.17491,1.49257673637413
"BAZ1B","Baz1b",17.163679,8.20387,7.475641,1640,1351,1245,10.94773,13.990695,18.60858,12.699342,1260,1315,997,43.7973753333333,0.26670602710757
"BAZ2A","Baz2a",6.56969,1.98049,2.085268,846,449,479,3.54514933333333,51.60917,72.992875,35.057524,1989,1778,1499,0.142101333333333,3.97963753362223
"BBC3","Bbc3",2.850789,1.781515,1.934283,39,56,54,2.18886233333333,6.185518,8.103473,6.528927,118,108,99,15.7220856666667,0.190697643637236
"BBOF1","Bbof1",3.50467,2.314905,1.39326,42,56,45,2.40427833333333,4.829873,3.605348,4.549654,118,77,67,6.72848466666667,0.440484581410396
"BBOX1","Bbox1",0.83796,2.070582,3.057884,43,114,160,1.98880866666667,16.706508,27.985622,19.156852,264,313,252,6.18980933333333,0.415700685247657
"BBS1","Bbs1",8.331548,7.629975,4.985234,625,631,553,6.98225233333333,28.931523,23.232166,15.696069,343,237,284,0.054184,7.57197257151819
"BBS10","Bbs10",1.277161,1.443105,1.497888,51,100,106,1.40605133333333,3.461186,4.123304,3.504332,179,173,160,33.5558923333333,0.0696278165854917
"BBS12","Bbs12",1.11214,1.217617,0.985264,39,72,58,1.105007,1.655483,1.867353,2.581903,81,63,82,271.013641,0.00773860822663669
"BBS2","Bbs2",12.86281,11.122184,8.276756,247,350,317,10.7539166666667,62.715612,58.929449,55.689542,446,346,354,4.49295033333333,2.1398184861311
"BBS4","Bbs4",28.56331,30.136389,31.995737,625,1203,1268,30.231812,36.084708,47.352283,34.990967,271,225,263,23.1577243333333,1.29282922385639
"BBS5","Bbs5",19.024282,18.332621,15.727004,143,298,245,17.6946356666667,86.487858,49.462058,94.089242,2350,1029,2323,14.4550203333333,1.20961572767045
"BBS7","Bbs7",8.667823,10.202991,4.588687,192,317,231,7.81983366666667,45.487535,53.226811,27.396707,214,207,181,15.9036796666667,0.521770043007796
"BBS9","Bbs9",9.442692,8.514543,7.867996,186,273,253,8.60841033333333,7.299123,8.136551,10.317598,139,150,156,3.80063466666667,2.00148751165124
"BBX","Bbx",3.685529,1.073482,1.11197,478,225,233,1.95699366666667,3.940281,10.477279,5.769035,531,737,417,2.45315466666667,0.85631660093611
"BCAM","Bcam",17.198645,15.916403,22.751436,203,461,518,18.6221613333333,28.605827,11.703105,19.186064,405,141,329,11.6176063333333,1.55514134891776
"BCAN","Bcan",73.833727,54.97123,57.92165,2566,3908,4211,62.2422023333333,23.583996,3.943623,17.544037,909,113,649,143.390141,0.437995294521759
"BCAP29","Bcap29",19.154394,21.130523,19.532331,566,1050,957,19.9390826666667,193.8607,122.207815,243.302942,400,360,297,32.9261443333333,0.617196061566403
"BCAP31","Bcap31",38.76055,54.416838,55.514957,605,1483,1538,49.564115,107.117247,81.321366,109.746649,1468,992,1370,0.0495306666666667,48.1778347273956
"BCAR1","Bcar1",11.997582,10.244787,9.478299,534,869,826,10.573556,51.206107,60.632332,44.572758,1033,1016,824,4.90644933333333,1.95947774150606
"BCAR3","Bcar3",8.105552,4.69069,7.447217,199,310,282,6.74781966666667,43.853057,48.841909,38.088376,785,812,695,3.17629933333333,1.85518782258424
"BCAS1","Bcas1",156.665265,157.213602,180.540408,2443,4388,5074,164.806425,0.1312,0,0.10721,6,0,4,5.88516,24.0817097932365
"BCAS2","Bcas2",36.070354,36.818235,36.184524,521,892,875,36.3577043333333,16.824623,18.68977,19.24187,268,213,258,1.95868566666667,12.6264526016451
"BCAS3","Bcas3",85.925225,41.383928,48.053753,670,736,816,58.454302,31.358,15.406045,18.622233,276,225,258,6.66738466666667,7.7541827604493
"BCAT1","Bcat1",58.1582,54.185401,65.88923,1495,2244,2254,59.4109436666667,13.721258,21.816041,16.056246,1907,2431,1971,2.751652,16.1024912936132
"BCAT2","Bcat2",4.086891,5.878849,7.735343,81,158,183,5.900361,25.199266,20.892144,23.96041,401,256,338,256.165665333333,0.0268323572318874
"BCCIP","Bccip",106.532836,160.167054,160.901706,322,654,651,142.533865333333,20.703446,21.373369,20.933358,487,394,430,174.757607666667,0.816658051044668
"BCDIN3D","Bcdin3d",2.266097,2.616727,2.353567,68,105,93,2.41213033333333,1.583174,1.655717,1.38958,66,51,60,54.3378196666667,0.0616600067347552
"BCHE","Bche",1.204997,0.971658,1.315479,112,154,199,1.16404466666667,114.620083,80.767378,119.365003,3471,1991,2969,26.130932,0.0797630050698836
"BCKDHA","Bckdha",18.882754,21.934458,23.935634,382,930,969,21.584282,16.449919,13.038307,14.268226,214,146,202,15.8712496666667,1.33862532095775
"BCKDHB","Bckdhb",21.251713,23.063745,21.030585,271,528,517,21.7820143333333,36.739554,15.902393,28.125639,191,132,183,22.697312,0.961375464581525
"BCKDK","Bckdk",25.584349,31.919355,33.365477,361,920,935,30.289727,21.784334,18.437737,23.549071,326,263,271,103.059041666667,0.300692054230431
"BCL10","Bcl10",4.459473,5.277525,5.433382,115,254,262,5.05679333333333,5.176382,5.471054,5.884617,104,128,111,5.36083133333333,0.95220153089004
"BCL11A","Bcl11a",20.516729,13.349782,11.816378,872,906,742,15.2276296666667,2.426351,4.787399,3.811421,54,89,59,7.006206,2.0268813551221
"BCL11B","Bcl11b",9.21803,2.553049,2.301769,1066,539,408,4.69094933333333,0.086945,0.068439,0.090878,10,7,9,0.427004,3.9880402110529
"BCL2","Bcl2",3.720923,1.476044,1.362593,412,289,269,2.18652,1.838547,2.270785,2.478595,191,178,203,10.830253,0.269353495652206
"BCL2L1","Bcl2l1",53.671277,48.357972,43.724666,1222,2186,1959,48.5846383333333,18.301567,17.752473,27.547396,611,429,606,646.243592,0.0766089289198144
"BCL2L10","Bcl2l10",0,0,0,0,0,0,0,0.124161,0.298275,0.144516,2,2,2,3.82417766666667,0.207289214679973
"BCL2L11","Bcl2l11",2.2625,0.478762,0.674409,84,50,57,1.138557,4.744946,7.141076,4.180226,277,247,229,0.778624666666667,1.20236553561797
"BCL2L13","Bcl2l13",9.975213,11.648942,8.842607,766,1004,896,10.1555873333333,13.77686,19.243214,14.273535,467,467,438,55.3379756666667,0.198011859697219
"BCL2L14","Bcl2l14",0,0,0,0,0,0,0,0.283573,0.620817,0.069466,6,7,1,16.528835,0.057048856926316
"BCL2L15","Bcl2l15",0.323294,0,0.146227,3,0,2,0.156507,1.658339,0.456197,2.653937,39,31,40,43.724821,0.0258582812438757
"BCL2L2","Bcl2l2",62.662897,53.962984,52.424154,674,992,958,56.3500116666667,16.148746,19.314427,14.696145,511,514,434,14.0886423333333,3.80087289497021
"BCL3","Bcl3",0.126723,0.328455,0.583177,1,4,8,0.346118333333333,3.845417,2.557032,1.789131,30,20,27,4.68951433333333,0.236596351545647
"BCL6","Bcl6",8.69783,5.426705,4.358946,451,504,401,6.16116033333333,20.859269,29.885584,14.692656,487,581,385,21.4365803333333,0.319173431376002
"BCL6B","Bcl6b",0.420053,0.325342,0.431219,21,29,39,0.392204666666667,0,0.264957,0.020924,0,1,1,5.71566333333333,0.207307096494315
"BCL7A","Bcl7a",14.531573,11.009168,10.126427,940,1291,1210,11.889056,6.230663,5.123815,6.092372,331,233,301,49.999486,0.252729135348541
"BCL7B","Bcl7b",36.256827,37.686379,37.931991,438,804,821,37.2917323333333,8.500827,7.178211,11.621267,166,115,169,57.9266996666667,0.64981973451661
"BCL7C","Bcl7c",10.222872,12.54175,13.657784,165,236,221,12.140802,6.597961,7.047784,7.1544,150,120,128,0.268110666666667,10.3625041137314
"BCL9","Bcl9",9.705139,4.270303,3.825631,638,338,354,5.933691,11.441501,15.046019,12.021639,892,784,719,50.830764,0.133775589339181
"BCL9L","Bcl9l",6.044194,1.727123,2.576682,484,295,382,3.449333,16.763745,22.889849,18.021579,715,822,592,28.999633,0.148312914361319
"BCLAF1","Bclaf1",36.056769,21.870119,19.275013,1889,1905,1605,25.733967,58.235699,85.883021,63.21793,2199,2250,2078,43.821901,0.596448753925006
"BCLAF3","Bclaf3",3.69725,2.295811,1.996219,143,154,126,2.66309333333333,3.71407,12.134776,11.758612,349,244,320,287.448349,0.0126993042117684
"BCO1","Bco1",0.098843,0.020025,0.022819,3,1,1,0.047229,0.037564,0.092754,0.042445,1,2,1,17.70446,0.055988197467342
"BCO2","Bco2",1.495419,1.043651,1.045987,45,55,56,1.195019,2.615291,1.772695,1.395243,34,22,22,5.27517733333333,0.34979393942227
"BCOR","Bcor",7.311804,4.282643,3.428552,520,320,336,5.00766633333333,10.0039,19.157749,7.72753,383,428,322,25.099646,0.23018190872525
"BCORL1","Bcorl1",6.637911,1.88995,2.089894,346,186,223,3.53925166666667,5.712269,6.010686,4.102577,451,409,327,31.755853,0.138578337943654
"BCR","Bcr",41.411862,17.065054,16.093957,1958,1323,1349,24.8569576666667,22.630128,26.487652,14.941504,629,494,535,5.390537,4.04613222123065
"BCS1L","Bcs1l",7.546089,9.645187,8.922915,172,374,326,8.70473033333333,26.949947,29.832818,34.382585,169,163,197,0.511722,6.41965277566466
"BDH1","Bdh1",26.56725,38.770876,36.010602,504,975,992,33.7829093333333,9.81307,4.459906,6.67138,173,76,137,16.6074136666667,1.97546953753817
"BDH2","Bdh2",1.072432,2.07522,2.833252,15,53,63,1.99363466666667,29.404393,30.228018,24.875979,673,507,577,6.15954033333333,0.418132244151056
"BDKRB1","Bdkrb1",0.199342,0.096433,0.053225,3,3,1,0.116333333333333,0.105341,0.733243,0.67016,1,3,3,6.87224166666667,0.141806283470718
"BDKRB2","Bdkrb2",0.28107,0.290998,0.344095,16,30,36,0.305387666666667,0.031754,0.064155,0.049882,2,3,1,11.027898,0.10852999141385
"BDNF","Bdnf",9.143549,4.992936,3.885648,540,489,382,6.00737766666667,2.149868,4.621683,2.398934,133,237,135,25.1794403333333,0.267667206687548
"BDP1","Bdp1",5.381963,1.413794,1.765124,563,266,235,2.853627,4.179019,5.339178,4.243025,331,370,289,13.8906286666667,0.258795453587968
"BEAN1","Bean1",3.761974,2.73485,2.610827,153,212,210,3.03588366666667,2.474443,0.544852,0.55563,44,19,16,53.2061063333333,0.0744544100225264
"BECN1","Becn1",234.660778,216.892832,216.555177,1234,1893,1682,222.702929,49.559406,57.693049,56.069469,593,506,557,1.34903666666667,95.2317740180017
"BECN2","Becn2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.325385,0.754497749710461
"BEGAIN","Begain",32.562935,22.198289,24.743259,921,1419,1625,26.5014943333333,4.758355,2.557152,3.774595,109,55,92,3.299544,6.39637466980995
"BEND3","Bend3",1.503819,0.288846,0.464091,94,48,79,0.752252,1.091242,1.406133,1.275523,111,115,114,11.9114936666667,0.135712570926147
"BEND4","Bend4",1.54705,0.305351,0.290332,175,60,58,0.714244333333333,0.127984,0.410736,0.145339,17,29,17,17.0331236666667,0.0950608649405554
"BEND5","Bend5",5.849989,7.460205,8.424594,73,166,177,7.24492933333333,11.042989,8.232108,12.078444,71,51,79,145.293093666667,0.0563589785866424
"BEND6","Bend6",72.783513,94.408723,95.949904,1932,4284,4482,87.7140466666667,1.584723,2.513891,1.332536,41,29,36,0.151655,77.031790481235
"BEND7","Bend7",1.01455,0.826297,0.929047,36,54,62,0.923298,4.857809,5.006443,6.909789,131,95,102,11.5403346666667,0.153368953151808
"BEST1","Best1",1.176322,1.367147,1.27165,13,39,37,1.27170633333333,2.407038,1.597602,3.22506,91,50,81,85.4680086666667,0.0262722175329692
"BEST2","Best2",0.037651,0,0,1,0,0,0.0125503333333333,0.908376,0.195603,0,6,1,0,3.49345433333333,0.225338961569507
"BEST3","Best3",0.353209,0.013946,0.041173,14,1,3,0.136109333333333,0.227818,0.610183,0.026088,4,3,1,13.98406,0.0758211948786466
"BET1","Bet1",34.695347,35.222313,42.037976,207,298,278,37.3185453333333,15.268579,19.168167,15.177134,270,286,246,5.85273266666667,5.59171752310198
"BET1L","Bet1l",66.115011,64.06611,41.611609,277,564,572,57.2642433333333,37.459622,31.719104,27.503556,1114,886,945,22.9658956666667,2.4311314771503
"BEX1","Bex2",187.568878,192.864621,183.34359,1935,3649,3532,187.925696333333,75.626832,61.485051,80.917199,677,444,642,13.3556193333333,13.1604002548781
"BEX2","Bex1",44.191457,62.229675,59.007379,378,1000,951,55.142837,22.241328,18.902292,27.48157,204,126,226,22.015357,2.43936416019964
"BEX3","Bex3",123.365563,163.49238,166.64702,1050,2496,2584,151.168321,125.55071,126.033248,128.6488,1138,915,1026,50.3924443333333,2.96090841706284
"BEX4","Bex4",14.508063,18.37415,15.868044,136,305,265,16.2500856666667,33.450709,29.734019,35.543586,523,390,506,18.006207,0.907602746127445
"BFAR","Bfar",9.531558,10.380658,11.153826,391,710,774,10.3553473333333,50.698119,46.88507,50.975149,953,693,859,131.455045333333,0.0857298210480146
"BFSP1","Bfsp1",0.298508,0.285032,0.278986,9,16,16,0.287508666666667,1.730686,0.655636,1.233757,30,16,21,8.65340533333333,0.133373521799699
"BFSP2","Bfsp2",3.335525,5.677776,5.276315,48,154,136,4.76320533333333,0,0,0,0,0,0,24.6010016666667,0.22511640006794
"BGLAP","Bglap",0,0.179731,0,0,1,0,0.0599103333333333,1.959223,1.81903,0.541503,15,7,5,0.213427666666667,0.873484561502499
"BGN","Bgn",18.241194,6.235899,11.42308,261,229,306,11.9667243333333,103.876313,132.833613,77.676301,2275,2295,1405,7.869973,1.46186739613901
"BHLHA15","Bhlha15",0,0.031776,0.040323,0,3,4,0.024033,0,0,0,0,0,0,0.217571666666667,0.84104535941074
"BHLHA9","Bhlha9",1.158192,0.897849,0.701663,17,26,21,0.919234666666667,0,0,0,0,0,0,53.3518596666667,0.0353112971375239
"BHLHB9","Bhlhb9",23.680652,17.473176,14.074099,963,1178,956,18.409309,2.555716,3.158551,1.878549,148,120,102,0.102359333333333,17.6070618836326
"BHLHE22","Bhlhe22",12.331917,6.52825,4.976686,504,504,382,7.94561766666667,0,0,0,0,0,0,6.36716366666667,1.21425531879275
"BHLHE23","Bhlhe23",0.09083,0.151458,0.087181,3,9,5,0.109823,0,0,0,0,0,0,3.394688,0.252537381493294
"BHLHE40","Bhlhe40",56.061536,37.7417,31.910756,1594,2050,1759,41.904664,6.098523,4.606168,4.561275,132,170,118,27.4942336666667,1.50573145787707
"BHLHE41","Bhlhe41",13.972028,11.091206,10.578545,537,771,804,11.880593,3.205914,0.32389,3.602598,49,13,46,2.06338866666667,4.20468781521465
"BHMT","Bhmt",0.085298,0.279004,0.054928,3,8,4,0.139743333333333,0.363847,0,0.208392,2,0,2,0.112882,1.02413673087833
"BHMT2","Bhmt2",0.172459,0.192111,0.075522,6,12,5,0.146697333333333,0.090988,0.20091,0.029179,4,6,1,0.178787,0.972777383304476
"BICC1","Bicc1",1.518573,0.747365,0.726945,125,109,107,0.997627666666667,0.933326,2.604872,0.581082,61,173,44,19.8847053333333,0.0956502682122273
"BICD1","Bicd1",17.356497,5.810909,6.819022,803,581,462,9.995476,15.566422,22.374883,16.568537,1146,1253,1000,118.256517666667,0.0922002102286217
"BICD2","Bicd2",12.054497,4.289903,4.086257,1032,637,626,6.810219,11.99749,12.636491,11.99052,976,821,865,2.599766,2.16964630478759
"BICDL1","Bicdl1",44.940607,35.947195,30.183427,528,762,671,37.023743,34.991555,20.318028,28.248606,511,222,375,37.1607496666667,0.996409749078218
"BICDL2","Bicdl2",0,0.025087,0.024575,0,1,1,0.016554,0.055785,0.046686,0.053057,3,2,2,0.221925,0.831928309838984
"BICRA","Bicra",3.36057,0.96856,1.501734,249,66,106,1.94362133333333,4.710102,5.620864,3.995451,259,166,158,3.595525,0.640540815974961
"BICRAL","Bicral",9.736142,3.133107,4.130171,765,409,434,5.66647333333333,2.624617,2.70955,3.039773,268,223,275,6.07867,0.941769192988702
"BID","Bid",4.731158,5.768158,4.243026,104,218,221,4.914114,28.968412,23.52104,25.032082,275,259,279,1.44681233333333,2.41706890202859
"BIK","Bik",0.09019,0,0.08415,1,0,1,0.0581133333333333,2.14337,3.181901,2.237669,25,30,23,82.256,0.0127091540950002
"BIN1","Bin1",92.810588,94.039011,98.575685,2237,3939,4161,95.1417613333333,43.417197,30.921177,41.937378,1534,761,1276,5.599064,14.5689996843997
"BIN2","Bin2",7.741666,5.167592,6.903724,53,52,63,6.60432733333333,0.278828,0.345809,0,1,1,0,24.2001703333333,0.30175698151035
"BIN3","Bin3",6.234509,11.553753,18.827332,69,168,156,12.205198,12.537933,11.960231,9.342048,155,136,127,0.019233,12.9560149641937
"BIRC2","Birc2",10.148659,8.558013,8.612816,401,667,677,9.106496,81.045398,100.665907,86.342945,1604,1770,1483,8.53674733333333,1.05974245167168
"BIRC3","Birc3",1.857957,1.031951,0.655705,26,45,30,1.181871,0.729952,1.117647,0.634188,36,35,36,9.15943466666667,0.214763032746179
"BIRC5","Birc5",0.178711,0.360378,0.697653,8,10,15,0.412247333333333,1.382896,9.130826,1.488293,25,93,32,12.065499,0.108089812209494
"BIRC6","Birc6",46.890779,10.635721,10.956651,2250,753,847,22.827717,37.982522,40.65397,34.186837,1119,1106,1018,23.4451403333333,0.974742491762609
"BIRC7","Birc7",0.134531,0.331396,0.550951,2,10,16,0.338959333333333,5.000808,2.526524,3.702847,74,28,54,29.9458366666667,0.0432678343053363
"BIVM","Bivm",10.197328,10.096514,9.658836,327,510,553,9.984226,11.781876,12.92783,10.597158,508,413,466,172.916771,0.0631579458199578
"BLCAP","Blcap",38.720658,39.606186,36.514458,1093,1931,1855,38.280434,48.110925,41.976565,49.230507,1250,846,1194,22.7076133333333,1.65687002937453
"BLK","Blk",0,0,0.271798,0,0,3,0.0905993333333333,0.167777,0,0,2,0,0,2.54175166666667,0.307926539174824
"BLM","Blm",2.828351,1.632355,0.947641,70,65,60,1.80278233333333,1.768171,5.608346,1.613812,50,109,47,0,2.80278233333333
"BLMH","Blmh",35.360051,32.146785,31.305814,673,1238,1233,32.93755,56.4748,60.429372,42.788501,499,427,458,64.8652946666667,0.515256937234583
"BLNK","Blnk",1.799496,2.054609,1.191544,49,82,60,1.681883,0.060044,0.40689,0.109523,4,10,6,13.949923,0.179391091178195
"BLOC1S1","Bloc1s1",39.819592,63.383203,74.361895,181,527,617,59.18823,40.13911,37.524163,36.611476,188,140,153,66.1733596666667,0.896013394278195
"BLOC1S2","Bloc1s2",20.035168,23.303295,24.92629,175,381,415,22.7549176666667,36.330436,29.945911,46.268592,441,303,418,30.4420336666667,0.755514669264237
"BLOC1S3","Bloc1s3",2.922634,3.003822,2.588997,127,239,212,2.83848433333333,6.95278,5.951663,8.195894,127,97,105,0.050865,3.65269024406878
"BLOC1S4","Bloc1s4",6.008762,5.260754,4.835314,81,140,132,5.36827666666667,3.701674,5.413339,4.146317,70,80,67,873.113863,0.00728540861348479
"BLOC1S5","Bloc1s5",3.411827,4.312019,4.286639,180,318,368,4.003495,3.383217,12.353307,7.855518,119,111,104,0,5.003495
"BLOC1S6","Bloc1s6",13.525926,12.885652,12.972202,334,482,496,13.1279266666667,38.832131,47.787524,36.795468,1226,1263,1176,77.4520793333333,0.180083520879527
"BLVRA","Blvra",9.632522,13.959216,16.185623,138,318,379,13.2591203333333,5.810697,13.163747,12.073247,44,46,57,23.7268383333333,0.576665732234401
"BLVRB","Blvrb",8.412101,10.387872,13.410768,55,134,174,10.7369136666667,3.310045,5.463297,4.856581,33,41,37,31.742668,0.358459294357646
"BLZF1","Blzf1",8.234156,6.002561,5.55072,246,318,297,6.59581233333333,7.273855,9.982141,8.132335,253,215,218,9.711697,0.709113815797192
"BMERB1","Bmerb1",134.321036,137.247198,115.029578,2532,4563,4265,128.865937333333,27.30767,26.675171,29.920106,413,345,387,142.584463,0.904456754024517
"BMF","Bmf",1.871349,0.902059,1.112597,55,91,85,1.295335,3.303738,7.030757,2.141048,188,267,136,2.67784266666667,0.624098203222034
"BMP1","Bmp1",13.501972,8.426435,7.35465,392,438,448,9.761019,54.142951,56.558857,42.796693,1900,1728,1581,184.496621666667,0.0580119406127909
"BMP10","Bmp10",0,0,0,0,0,0,0,0,0,0,0,0,0,229.902866,0.00433082541296824
"BMP15","Bmp15",0.088433,0.025479,0.012894,4,2,1,0.0422686666666667,0,0,0,0,0,0,6.31476466666667,0.14248833888208
"BMP2","Bmp2",0.94872,0.867835,0.753935,45,77,67,0.85683,0.516886,1.647657,0.722062,26,65,31,119.382679,0.0154243950660045
"BMP2K","Bmp2k",3.532297,2.373055,2.619244,285,271,334,2.841532,4.689028,8.563563,4.296411,309,432,279,6.97470133333333,0.481714842904879
"BMP3","Bmp3",2.84549,0.75161,0.514146,283,132,90,1.37041533333333,0.021819,0.013584,0.016836,2,1,1,1057.23661833333,0.00223996721741364
"BMP4","Bmp4",3.490453,10.188457,4.125578,31,62,52,5.93482933333333,1.455765,2.120891,0.800542,18,33,11,49.2821873333333,0.137918211221811
"BMP5","Bmp5",0.645586,0.373447,0.614641,30,30,33,0.544558,3.286497,3.581676,4.183016,188,166,211,6.426155,0.207988925628404
"BMP6","Bmp6",4.898506,2.296911,2.650983,170,188,224,3.28213333333333,0.056077,0.144796,0.022058,3,6,1,40.340757,0.103581396280028
"BMP7","Bmp7",2.795746,2.157781,1.963124,148,210,195,2.30555033333333,0.242278,0.840351,0.105862,4,32,5,114.200724666667,0.0286938328113642
"BMP8A","Bmp8a",0.189813,0,0,5,0,0,0.063271,1.450301,1.136607,1.377822,123,77,102,0.482718666666667,0.717109067217966
"BMP8B","Bmp8b",0.052252,0.038721,0.02545,2,3,2,0.0388076666666667,17.303475,7.562036,16.444,1221,424,1009,3.45547533333333,0.233153050785603
"BMPER","Bmper",3.974983,2.533707,3.026151,142,163,178,3.17828033333333,19.722337,10.94802,16.513649,474,199,422,3.64546966666667,0.899431194936945
"BMPR1A","Bmpr1a",12.385037,9.148464,8.217559,966,1275,1151,9.91702,8.959939,10.156504,8.506426,529,617,466,14.0525156666667,0.72526215828331
"BMPR1B","Bmpr1b",4.471829,2.705681,2.596111,336,359,348,3.25787366666667,0.317809,0.289922,0.357615,26,19,26,12.3552036666667,0.318817576499707
"BMPR2","Bmpr2",19.401327,4.07939,3.755214,3779,1372,1208,9.07864366666667,5.408118,8.03251,6.297039,835,979,822,0.0738426666666667,9.38558690161936
"BMT2","Bmt2",7.241766,6.518815,4.483692,438,676,436,6.08142433333333,2.627411,2.503686,2.693993,141,118,116,46.3472556666667,0.149563564637998
"BMX","Bmx",0.483981,0.548644,0.681567,19,42,52,0.571397333333333,0,0,0,0,0,0,8.891694,0.158860285541924
"BNC1","Bnc1",0,0,0,0,0,0,0,0.731085,0.488084,1.035682,52,28,61,11.445428,0.080350792274882
"BNC2","Bnc2",0.290647,0.493025,0.434951,6,7,14,0.406207666666667,3.762982,3.537703,2.933006,560,361,433,1.53818166666667,0.554021678248668
