"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","FoldChange"
"FASN","Fasn",54.851801,25.38636,29.794293,4132,2373,3014,36.6774846666667,21.101059,26.946646,12.432145,1247,627,525,8.42339066666667,3.99829382007297
"FASTK","Fastk",76.666215,85.360154,92.535637,551,1161,1132,84.854002,40.803873,43.286398,36.653645,881,704,661,0.663276333333333,51.6174013177606
"FASTKD1","Fastkd1",5.03935,4.042948,4.719835,204,282,332,4.600711,56.232025,70.854958,55.087072,780,846,643,5.528257,0.857918277420757
"FASTKD2","Fastkd2",16.166978,20.36682,15.206999,254,448,420,17.2469323333333,7.338838,6.764894,4.78178,501,463,321,22.9700123333333,0.761240006036988
"FASTKD3","Fastkd3",12.682675,14.796705,18.074323,116,229,248,15.1845676666667,3.194021,3.175803,2.41604,64,44,35,364.443704333333,0.0442874442075603
"FASTKD5","Fastkd5",3.032758,2.869366,2.671852,124,207,206,2.857992,6.298874,5.650679,4.462035,365,321,249,1.182161,1.76796854127629
"FAT2","Fat2",0.03934,0.004889,0.055385,9,2,23,0.0332046666666667,0.027349,0.009632,0,4,2,0,0,1.03320466666667
"FAT3","Fat3",7.012703,1.220875,1.198414,1311,311,385,3.14399733333333,0.466057,0.211304,0.025131,25,13,10,78.3972906666667,0.0521931831494233
"FAT4","Fat4",1.306818,0.156778,0.265789,333,71,122,0.576461666666667,0.242184,0.080805,0.067395,66,28,23,6.44596566666667,0.211720243852857
"FATE1","Fate1",0.154215,0.050984,0,2,1,0,0.0683996666666667,0,0,0,0,0,0,2.42289366666667,0.312133466800653
"FAU","Fau",122.511629,151.351606,206.98628,394,871,1214,160.283171666667,268.086075,234.682309,227.838018,1357,1183,996,2.272156,49.2895728891491
"FAXC","Faxc",14.336238,2.855118,3.174714,760,288,320,6.78869,0.64797,0.351336,0.269954,13,7,5,3.779107,1.62973752209356
"FBF1","Fbf1",16.16223,5.972351,6.168523,624,530,511,9.434368,4.002559,3.035105,1.744583,175,100,97,0.039641,10.036510680129
"FBH1","Fbh1",82.895086,59.407817,71.928018,869,1359,1223,71.410307,132.466257,115.902555,110.767104,2319,1654,1423,11.6125923333333,5.74111214303102
"FBL","Fbl",68.063215,80.357163,71.023066,264,524,512,73.1478146666667,44.095287,50.352039,43.610588,412,447,357,32.106876,2.23964999496379
"FBLIM1","Fblim1",0.880632,0.802877,1.518182,19,23,25,1.06723033333333,55.145912,27.94843,25.372819,1080,970,793,73.5078643333333,0.0277451293474868
"FBLL1","Fbll1",11.480745,16.438569,17.11101,188,539,585,15.010108,0.230231,0.107747,0,5,2,0,19.2567833333333,0.790357863662131
"FBLN1","Fbln1",5.319088,3.201516,4.209836,143,206,262,4.24348,4.651897,3.562833,5.143259,132,132,90,29.1400963333333,0.173970246876782
"FBLN2","Fbln2",1.752061,2.507399,1.53921,78,78,70,1.93289,0.942931,1.364919,1.34047,52,46,41,1.557613,1.14672939181964
"FBLN5","Fbln5",2.210326,2.446679,3.229173,82,152,200,2.628726,0.145731,0.456954,0.044566,6,8,2,5.35904233333333,0.57064032755037
"FBLN7","Fbln7",0.497039,0.561412,0.475043,21,43,38,0.511164666666667,0.177101,0.183686,0.075951,6,1,2,26.167236,0.0556245275252391
"FBN1","Fbn1",0.834259,0.138843,0.191399,128,38,55,0.388167,6.473739,5.323701,4.943461,431,248,195,3.35814933333333,0.318522128047012
"FBN2","Fbn2",0.177276,0.058016,0.067164,26,18,21,0.100818666666667,60.360757,37.88143,32.229214,13900,8242,7000,18.7423986666667,0.0557591144446548
"FBP1","Fbp1",0,0.531596,0.187579,0,6,2,0.239725,0.103456,0.036757,0.055109,2,1,1,0.0206793333333333,1.21460772204656
"FBP2","Fbp2",0.05598,0,0.061768,1,0,2,0.0392493333333333,0.039191,0.041274,0,1,1,0,0.243111666666667,0.836006419375036
"FBRS","Fbrs",21.289637,9.022617,9.156974,455,305,357,13.1564093333333,13.074308,10.806546,9.043558,665,563,473,21.6691966666667,0.624477767849147
"FBXL12","Fbxl12",6.384121,2.334157,2.374145,106,129,126,3.69747433333333,6.072459,6.734628,6.466627,194,184,157,0,4.69747433333333
"FBXL13","Fbxl13",0.065703,0.182313,0.108969,2,11,7,0.118995,0.412093,0.158597,0,4,3,0,22.1770506666667,0.0482803017559669
"FBXL14","Fbxl14",6.942632,3.966079,3.996195,280,302,308,4.968302,2.475346,3.804642,0.875537,57,31,30,62.0553103333333,0.0946518535623627
"FBXL15","Fbxl15",5.495462,9.061587,10.3283,81,288,334,8.29511633333333,3.299408,4.148096,3.807519,128,123,103,11.2728306666667,0.757373468744999
"FBXL16","Fbxl16",359.54344,250.020276,216.435978,8170,11206,10020,275.333231333333,0.078657,0.029632,0.063572,6,2,3,127.198867,2.15550447363418
"FBXL17","Fbxl17",35.116726,28.34048,26.166315,775,853,879,29.874507,9.487704,4.208803,2.285724,288,203,159,0,30.874507
"FBXL19","Fbxl19",11.942834,7.884503,6.53991,552,635,601,8.78908233333333,14.339414,6.100899,3.164855,264,171,137,0.177036666666667,8.31671825573262
"FBXL2","Fbxl2",19.474631,18.602217,17.207729,586,1019,969,18.4281923333333,1.993134,1.529504,1.551696,73,57,63,0.903217666666667,10.2080769181595
"FBXL20","Fbxl20",16.052142,6.992266,8.287014,813,511,591,10.4438073333333,1.935082,1.614287,0.953884,266,260,150,0.08179,10.5785848763007
"FBXL22","Fbxl22",0.153211,0.046993,0.083222,9,5,9,0.0944753333333333,15.898117,18.249026,15.623304,613,483,411,13.5671966666667,0.0751328727398706
"FBXL3","Fbxl3",33.265479,29.434467,27.364901,1034,1589,1361,30.0216156666667,2.642987,1.26268,1.382008,93,74,52,0,31.0216156666667
"FBXL4","Fbxl4",5.688158,9.119752,7.545739,210,495,483,7.45121633333333,1.502633,1.256311,0.530217,115,109,61,4.50846,1.53422487107709
"FBXL5","Fbxl5",33.740727,55.150568,56.940631,1150,1952,1851,48.610642,11.488677,10.85694,8.630256,407,434,329,39.474736,1.22571872982692
"FBXL6","Fbxl6",19.737845,19.185502,21.870139,177,356,342,20.2644953333333,3.839961,7.808144,2.877559,102,99,91,7.01133133333333,2.65430231862419
"FBXL7","Fbxl7",0.356197,0.213069,0.185309,23,26,23,0.251525,11.304761,11.173703,9.262671,1000,935,755,25.5044566666667,0.0472194173130884
"FBXL8","Fbxl8",0.116176,0.381383,0.627053,3,19,32,0.374870666666667,2.125116,0.711536,2.004264,29,13,31,0.329198333333333,1.03436081146656
"FBXO10","Fbxo10",9.379357,6.651301,6.749115,601,852,753,7.59325766666667,4.204209,2.232582,1.355755,247,173,133,60.9502863333333,0.138712154136452
"FBXO11","Fbxo11",47.431472,29.856495,27.547433,2086,2148,1886,34.9451333333333,19.958307,26.836314,7.401098,597,588,349,395.714131333333,0.090607141249352
"FBXO15","Fbxo15",0.321389,0.404979,0.235577,3,6,5,0.320648333333333,0.463497,0.850185,1.768321,16,18,17,21.862987,0.0577635955150275
"FBXO16","Fbxo16",3.39791,3.620929,2.560429,76,130,103,3.19308933333333,7.386895,8.919861,7.934885,34,46,44,0,4.19308933333333
"FBXO17","Fbxo17",0.696017,0.929271,0.826333,15,39,36,0.817207,4.813116,3.365341,2.941003,140,85,81,0.517856,1.19721963084772
"FBXO2","Fbxo2",36.948532,46.753713,49.798434,558,1392,1530,44.5002263333333,16.449884,14.430689,37.346634,206,169,187,0.479827,30.7469902450309
"FBXO21","Fbxo21",38.852737,32.267129,28.574164,1530,2151,1923,33.2313433333333,9.063411,6.116923,6.071748,591,396,392,0.370374333333333,24.9795566807415
"FBXO22","Fbxo22",16.818133,17.129119,14.256508,411,744,689,16.06792,50.02278,49.026528,32.311135,415,388,266,0.845203666666667,9.24988406880469
"FBXO24","Fbxo24",0.065688,0.072935,0.143777,2,4,6,0.0941333333333333,0.696334,0.466263,0.305916,20,14,6,6.16917666666667,0.15261631623901
"FBXO25","Fbxo25",28.310935,26.410752,25.472633,656,1265,1177,26.73144,14.336162,13.869262,12.07502,262,233,184,35.293569,0.764086882720186
"FBXO27","Fbxo27",4.244814,4.29276,4.380778,95,174,145,4.30611733333333,1.797049,7.233346,2.142337,76,80,49,0.0489776666666667,5.05837016549129
"FBXO28","Fbxo28",10.349871,10.254228,8.371381,737,924,940,9.65849333333333,2.354895,2.425398,1.479236,108,116,70,2.886338,2.74255438753226
"FBXO3","Fbxo3",19.132476,17.366601,16.851299,1091,1639,1557,17.7834586666667,24.158252,16.972945,15.60762,429,378,246,0.606962333333333,11.68879834769
"FBXO30","Fbxo30",2.06296,1.412031,1.431098,127,144,122,1.635363,1.84256,1.330076,1.073386,248,204,164,0.0834743333333333,2.4323261926217
"FBXO31","Fbxo31",23.358705,23.173634,24.48533,1275,2215,2204,23.6725563333333,6.192427,5.416538,3.926876,345,228,213,1.80898466666667,8.78344286678199
"FBXO32","Fbxo32",3.273002,1.069331,1.285735,353,202,245,1.87602266666667,21.777614,22.926821,11.759747,821,765,556,0.419599,2.02594018921306
"FBXO33","Fbxo33",37.371403,40.747484,36.920011,728,1332,1113,38.3462993333333,1.307139,0.818067,1.240812,77,60,59,2428.286049,0.0161966514192637
"FBXO34","Fbxo34",26.773414,17.073226,14.612439,703,1165,1080,19.4863596666667,2.768163,2.627544,2.482004,182,169,162,0.163200666666667,17.6120597707131
"FBXO36","Fbxo36",2.207538,2.91675,3.896375,24,56,76,3.00688766666667,0.570058,0.30413,0.442411,21,13,15,24.7801216666667,0.155425475429292
"FBXO38","Fbxo38",10.165129,6.144279,5.784592,570,671,634,7.36466666666667,18.289985,11.451631,8.762101,552,351,321,145.230286666667,0.057202012369257
"FBXO39","Fbxo39",0,0,0,0,0,0,0,0,0,0,0,0,0,18.101818,0.0523510380006762
"FBXO4","Fbxo4",3.088136,2.804061,2.781088,43,81,82,2.891095,3.664028,3.410972,2.182666,70,53,32,0.889677333333333,2.0591319646811
"FBXO40","Fbxo40",0.461581,0.769672,0.252798,10,21,24,0.494683666666667,3.461111,2.820881,2.200753,429,340,262,2.59341633333333,0.415950596317395
"FBXO41","Fbxo41",16.298945,6.716991,6.627291,1501,1182,1203,9.88107566666667,0.445914,0.405449,0.300777,72,49,46,0.925997,5.64958079720096
"FBXO42","Fbxo42",8.647008,3.101099,2.279786,599,416,373,4.67596433333333,6.86395,5.716629,5.368105,371,316,290,0,5.67596433333333
"FBXO43","Fbxo43",0.097638,0.009889,0.055379,3,1,4,0.054302,0.131017,0.3031,0,7,16,0,12.7488723333333,0.0766827980098344
"FBXO44","Fbxo44",54.210164,72.558876,70.818882,982,2299,2349,65.8626406666667,13.634015,11.474453,11.00745,501,439,404,0.0542866666666667,63.4197915810374
"FBXO45","Fbxo45",16.578784,6.486342,5.326775,965,669,552,9.463967,1.435592,1.351428,0.908345,105,101,80,4.438505,1.9240521062314
"FBXO46","Fbxo46",2.820038,2.543654,1.866558,157,237,191,2.41008333333333,3.024591,2.7159,2.077067,157,158,131,7.53502666666667,0.39953985693464
"FBXO47","Fbxo47",0.81325,0.585114,0.665422,12,12,19,0.687928666666667,0,0,0,0,0,0,5.20810866666667,0.271890966685184
"FBXO48","Fbxo48",0.310295,0.085079,0.102678,9,4,5,0.166017333333333,0.10788,0.181355,0.088211,11,19,9,3.6688,0.249746687228695
"FBXO5","Fbxo5",1.696465,1.186242,0.941219,17,24,20,1.274642,2.119751,2.105641,1.605619,73,75,59,0,2.274642
"FBXO6","Fbxo6",11.083571,15.361107,18.672458,140,281,365,15.0390453333333,2.82905,2.511255,1.185319,58,54,32,101.207795333333,0.156925851702649
"FBXO7","Fbxo7",21.836028,31.325604,30.363994,615,722,797,27.8418753333333,30.797124,31.966911,25.292638,1182,1209,909,12.9352183333333,2.06971104746475
"FBXO8","Fbxo8",21.773964,20.414952,16.603224,243,368,309,19.59738,5.181905,5.884886,3.914158,151,164,104,29.6729376666667,0.671516377851994
"FBXO9","Fbxo9",56.675954,71.054851,84.202975,969,2238,2481,70.6445933333333,83.298274,67.092679,54.183391,1292,1030,892,44.696731,1.56782753964027
"FBXW10","Fbxw10",0.58739,0.330573,0.163932,7,14,14,0.360631666666667,0,0.445886,0.701622,0,3,5,0,1.36063166666667
"FBXW11","Fbxw11",41.532046,34.132641,29.068437,2096,2855,2689,34.9110413333333,17.469218,12.297222,7.66985,743,655,555,4.84416666666667,6.14476680450592
"FBXW12","Fbxw15",0.736909,0.668403,0.402125,13,23,14,0.602479,0.186732,0.164095,0.023768,8,7,1,15.1044553333333,0.0995053211568823
"FBXW2","Fbxw2",80.063492,72.620876,87.434916,804,1267,1292,80.0397613333333,17.157087,10.708879,9.457925,1048,903,711,22.135952,3.50276320305874
"FBXW4","Fbxw4",22.45234,15.681207,13.998409,201,301,269,17.3773186666667,31.559609,26.061972,15.489071,582,574,417,0.0860696666666667,16.9209390803352
"FBXW5","Fbxw5",46.137649,39.532086,43.655507,752,1248,1326,43.108414,16.44825,12.763289,9.623515,755,551,428,57.7840016666667,0.750347250092223
"FBXW7","Fbxw7",52.793527,27.121723,23.901003,2584,2353,2042,34.6054176666667,6.260048,3.707512,2.371891,154,133,101,102.402455333333,0.344338222452139
"FBXW8","Fbxw8",9.731257,7.256632,6.727303,622,914,869,7.905064,2.217532,1.751779,1.400411,225,158,135,24.608776,0.347734854645142
"FCAMR","Fcamr",0,0,0,0,0,0,0,0,0,0,0,0,0,45.0915823333333,0.0216959355564758
"FCER1A","Fcer1a",0,0,0,0,0,0,0,0,0,0,0,0,0,9.157833,0.098446194183346
"FCER1G","Fcer1g",11.741505,11.671211,10.278373,77,142,127,11.230363,0.142808,0,0.288609,1,0,2,2.397355,3.59996615013739
"FCF1","Fcf1",10.942028,14.084006,16.0292,83,185,217,13.685078,11.788906,6.349982,5.816975,265,231,188,1.00906633333333,7.30940425229033
"FCGR1A","Fcgr1",1.942552,1.386277,1.657586,30,56,69,1.66213833333333,0.159399,0.084119,0,2,1,0,1.09762033333333,1.26912305865329
"FCGR2A","Fcgr3",5.360748,8.000869,8.07742,94,249,257,7.14634566666667,0,1.879679,0,0,1,0,0.989678,4.09430353387164
"FCGR3B","Fcgr4",0.121155,0.105589,0.089406,2,3,3,0.105383333333333,0,0,0,0,0,0,0.037237,1.065699867372
"FCGRT","Fcgrt",12.469017,12.091405,13.498274,196,435,470,12.686232,24.311934,20.844659,16.607581,287,287,234,13.6237806666667,0.93588876310189
"FCHO1","Fcho1",24.864557,15.926714,16.808808,582,928,901,19.2000263333333,0.196395,0.613214,1.900044,4,7,13,0.0804146666666667,18.6965495346848
"FCHO2","Fcho2",10.436676,5.97994,4.804535,634,635,493,7.073717,2.02215,0.899812,1.08482,107,61,64,5.822692,1.18336237367889
"FCHSD1","Fchsd1",2.780031,2.995859,2.826857,63,103,100,2.86758233333333,1.259364,1.097779,1.079212,35,27,23,7.082146,0.478534084058038
"FCHSD2","Fchsd2",15.581207,11.477595,8.767196,679,825,815,11.9419993333333,20.453089,8.134832,4.60359,522,338,250,7.48939933333333,1.52448940439367
"FCMR","Fcmr",0.338832,0.277905,0.693635,1,2,8,0.436790666666667,0.524978,0.207021,0.478569,8,5,12,116.402853666667,0.0122381238768356
"FCRL1","Fcrl1",0.096013,0.326259,0.173084,2,8,7,0.198452,0.031215,0.030033,0,1,1,0,1.58180833333333,0.464190925610925
"FCRL5","Fcrl5",0.028183,0,0.027366,1,0,1,0.0185163333333333,0.023934,0.09116,0.03444,2,1,3,45.453508,0.0219254987875907
"FCRL6","Fcrl6",0.057916,0,0.032748,1,0,1,0.0302213333333333,0,0,0,0,0,0,0,1.03022133333333
"FCRLA","Fcrla",0,0.039918,0.131937,0,1,1,0.057285,0.164592,0,0.067281,5,0,2,7.60936766666667,0.122806347798752
"FCRLB","Fcrlb",0.201662,0.165763,0.19129,3,5,6,0.186238333333333,0.095917,0.099999,0.098341,4,3,3,2.878062,0.305884313694142
"FCSK","Fcsk",3.078071,2.307349,2.213746,149,220,218,2.53305533333333,6.342003,3.5498,3.453121,294,202,167,2.60000633333333,0.981402532717767
"FDFT1","Fdft1",31.013731,42.187554,37.950837,987,2325,2157,37.0507073333333,67.507686,60.135178,43.352459,1033,890,703,3.37798166666667,8.69138115014186
"FDPS","Fdps",56.361277,76.970756,77.477774,501,1312,1361,70.2699356666667,85.239838,71.693516,57.379089,974,806,667,6.237064,9.84790733737696
"FDX1","Fdx1",8.209456,9.837243,10.62879,70,166,186,9.55849633333333,4.956102,5.204979,4.133345,256,281,223,19.8300826666667,0.506886914579056
"FDX2","Fdx2",25.531406,26.885841,30.353393,210,436,499,27.5902133333333,28.027642,27.529899,26.957202,302,282,284,16.786845,1.60737968612946
"FDXACB1","Fdxacb1",2.766672,2.608314,2.311877,60,104,94,2.56228766666667,0.359745,0.465607,0.211503,14,22,10,66.114214,0.0530779912980381
"FDXR","Fdxr",5.143209,3.696223,4.011672,91,161,164,4.28370133333333,6.232344,4.39646,4.929609,158,146,119,0.0227173333333333,5.16633595727982
"FECH","Fech",27.642601,26.442474,26.480326,726,1098,1213,26.8551336666667,18.124496,11.071165,9.695676,622,487,430,0.587882,17.5423196853838
"FEM1B","Fem1b",27.788499,17.77504,15.461107,2798,3164,2785,20.3415486666667,24.732408,9.811359,9.491209,1145,896,844,6.398916,2.88441559096855
"FEM1C","Fem1c",6.995888,4.569578,4.091725,600,680,596,5.21906366666667,2.767119,1.831499,1.439749,260,190,147,0.0268216666666667,6.05661515388099
"FEN1","Fen1",3.712559,4.787236,4.024648,115,269,238,4.17481433333333,10.096631,10.531309,8.852557,343,320,262,9.89377966666667,0.475024692225738
"FER","Fer",6.961478,3.779635,3.890464,203,256,245,4.87719233333333,1.471513,1.08474,0.671606,255,182,129,54.053426,0.10675434319625
"FER1L4","Fer1l4",0,0,0,0,0,0,0,10.913961,9.949967,7.057272,183,98,116,8.17924533333333,0.108941417696792
"FER1L5","Fer1l5",4.260371,1.335313,1.291579,116,64,60,2.29575433333333,0.17945,0.152913,0.121606,18,16,10,1.69618566666667,1.22237662416176
"FERD3L","Ferd3l",0.09832,0.106401,0.209764,1,2,4,0.138161666666667,0,0,0,0,0,0,0.442781666666667,0.788866183264042
"FERMT1","Fermt1",1.259599,0.173387,0.501418,23,14,10,0.644801333333333,0.62633,0.545116,0.461629,53,31,17,1.525402,0.651302776086078
"FERMT2","Fermt2",46.222351,32.590116,35.587515,1272,1767,1778,38.1333273333333,26.555301,20.094336,15.824079,1047,881,627,10.408195,3.43028212029452
"FERMT3","Fermt3",2.42386,1.576289,0.971855,43,90,69,1.65733466666667,1.864076,0.928909,1.094263,19,10,16,0.532648333333333,1.73381891257942
"FES","Fes",3.119301,1.51274,2.85406,29,51,56,2.495367,0.662115,0.415787,0.211737,19,16,11,0.887664,1.85168917773502
"FETUB","Fetub",0,0.041083,0.080916,0,1,2,0.0406663333333333,0,0,0,0,0,0,1.45788066666667,0.423399861289713
"FEV","Fev",0,0.458442,0.652957,0,9,15,0.370466333333333,0,0,0,0,0,0,0.00607366666666667,1.36219282815937
"FEZ1","Fez1",280.830418,366.187247,414.713283,2714,5890,6338,353.910316,3.647406,4.357563,3.517928,42,48,44,8.805763,36.1940540476045
"FEZ2","Fez2",15.921446,21.564872,21.704994,428,1064,1084,19.7304373333333,14.397281,14.774885,13.093388,270,306,224,0.068079,19.4090861568604
"FEZF1","Fezf1",0.553529,0.268035,0.202106,19,17,13,0.341223333333333,0.317867,0,0,5,0,0,0,1.34122333333333
"FEZF2","Fezf2",7.377898,6.823424,5.827312,226,393,341,6.67621133333333,0.024585,0,0,1,0,0,0.135426666666667,6.76064034665383
"FFAR1","Ffar1",0.016855,0.017574,0,1,2,0,0.0114763333333333,0.020281,0.065023,0,1,3,0,0,1.01147633333333
"FFAR2","Ffar2",0.048071,0.086038,0.104553,1,2,2,0.079554,0.636069,0,0.075282,2,0,3,0.450424,0.744302355724947
"FFAR3","Ffar3",0,0,0,0,0,0,0,0,0,0.005181,0,0,0,54.0622603333333,0.0181612595259665
"FFAR4","Ffar4",0,0,0,0,0,0,0,0,0.062441,0.028375,0,5,2,0,1
"FGA","Fga",0,0,0,0,0,0,0,0.067272,0.092524,0,3,4,0,120.016713666667,0.0082633214016573
"FGB","Fgb",0,0,0,0,0,0,0,0.232414,0.048846,0.098911,3,1,2,2.14329133333333,0.318137866953471
"FGD1","Fgd1",5.154099,2.411709,2.67305,139,182,166,3.41295266666667,3.524596,3.094214,2.699479,336,267,237,39.5514156666667,0.108823640164408
"FGD2","Fgd2",2.291809,2.384499,2.374219,37,71,106,2.35017566666667,0.007752,0.024555,0,1,2,0,0.897551333333333,1.76552571085473
"FGD3","Fgd3",2.039039,1.034304,1.11825,136,122,130,1.39719766666667,0,0,0,0,0,0,1.77619333333333,0.863483691097402
"FGD4","Fgd4",5.59523,2.525781,2.366133,579,482,395,3.49571466666667,1.483855,0.815344,0.561552,75,74,47,0,4.49571466666667
"FGD5","Fgd5",1.610139,1.69456,2.228908,118,113,117,1.84453566666667,0.274199,0.236471,0.197232,19,13,12,0,2.84453566666667
"FGD6","Fgd6",3.828778,3.898948,2.325002,303,245,218,3.35090933333333,8.469307,3.659229,2.948985,762,641,446,24.456117,0.17091802859538
"FGF1","Fgf1",26.1817,29.911507,34.955791,960,1850,2098,30.349666,32.997073,17.197365,23.254904,871,721,529,0,31.349666
"FGF10","Fgf10",3.462351,1.326538,1.069715,153,144,113,1.952868,0.047639,0.017332,0.008851,1,2,1,2.07109066666667,0.961504664141035
"FGF11","Fgf11",6.70243,3.112168,2.870899,284,242,224,4.228499,11.629346,7.942176,10.259858,516,358,452,884.575856666667,0.00590406678393449
"FGF12","Fgf12",409.13158,325.589913,228.860137,2352,3154,2664,321.193876666667,56.76452,51.607226,42.885673,850,872,659,15.8038176666667,19.1738498392419
"FGF13","Fgf13",88.400219,56.95558,55.552763,1666,2137,2035,66.9695206666667,13.726728,12.79612,9.343358,364,423,303,23.7135113333333,2.75029799488631
"FGF14","Fgf14",10.121758,6.972112,5.701661,543,639,509,7.59851033333333,0.013234,0.016802,0.090667,3,4,5,478.881978,0.0179179688496936
"FGF16","Fgf16",0.050053,0.135664,0.132503,1,5,5,0.106073333333333,0.031321,0.099179,0,1,3,0,1.14794566666667,0.514944744877935
"FGF17","Fgf17",0.043817,0.214992,0.211085,1,8,7,0.156631333333333,0,0,0,0,0,0,0.0667583333333333,1.08424869737757
"FGF18","Fgf18",0.503071,1.907496,1.695849,6,42,38,1.36880533333333,3.129784,3.421133,2.939149,121,119,105,0.037913,2.28227735208378
"FGF19","Fgf15",0,0,0.094968,0,0,3,0.031656,0,0,0,0,0,0,39.4216016666667,0.0255223929152403
"FGF2","Fgf2",10.842624,3.153958,1.478958,137,134,106,5.15851333333333,0.085603,0.108912,0.103862,8,9,11,14.5102366666667,0.39706120968281
"FGF20","Fgf20",0,0.089324,0,0,3,0,0.0297746666666667,0,0,0,0,0,0,0.737155666666667,0.592793545464262
"FGF21","Fgf21",0,0,0.095187,0,0,2,0.031729,0,0,0,0,0,0,1.50144166666667,0.41245375166987
"FGF22","Fgf22",2.484814,2.249944,1.881635,38,65,54,2.20546433333333,0.084905,0.132506,0.11586,3,3,3,0,3.20546433333333
"FGF23","Fgf23",0.084695,0.045329,0.02207,2,2,1,0.050698,0.051203,0.034249,0.189985,3,2,11,11.4642823333333,0.0842967105446665
"FGF3","Fgf3",0.341916,0.312316,0.16522,11,11,10,0.273150666666667,0,0,0,0,0,0,1.331349,0.546100419399526
"FGF4","Fgf4",0,0,0,0,0,0,0,0,0,0,0,0,0,5.62486,0.150946586041064
"FGF5","Fgf5",0.748752,0.4803,0.820409,26,21,26,0.683153666666667,6.904265,7.703334,4.878065,182,186,165,0,1.68315366666667
"FGF6","Fgf6",0.014087,0,0,1,0,0,0.00469566666666667,0,0.089756,0,0,1,0,41.6592023333333,0.0235516749426327
"FGF7","Fgf7",0.192432,0.16023,0.099708,6,6,6,0.15079,9.469167,7.899007,6.524022,138,133,117,6.11072633333333,0.161838600735537
"FGF8","Fgf8",0,0,0.072877,0,0,1,0.0242923333333333,0,0,0,0,0,0,2.652166,0.280461603698554
"FGF9","Fgf9",8.327446,8.262876,11.562137,252,297,314,9.384153,5.509582,2.362937,4.006436,59,43,60,13.253515,0.728532786474073
"FGFBP1","Fgfbp1",0.947226,1.336018,1.586875,14,37,42,1.29003966666667,0,0,0,0,0,0,10.416251,0.200594719463217
"FGFBP3","Fgfbp3",2.140098,1.833795,2.390331,42,68,91,2.121408,0.261666,0.34746,0.359347,13,16,17,2.343536,0.933564944418125
"FGFR1","Fgfr1",35.071129,30.013991,31.157475,1069,1145,1264,32.080865,77.889859,36.395959,25.358651,1395,954,788,3.47382733333333,7.39430973420074
"FGFR1OP2","Fgfr1op2",35.674633,36.37327,34.368535,1152,1886,1704,35.472146,7.224798,5.364504,3.172928,176,147,103,0.145132666666667,31.8497123186309
"FGFR2","Fgfr2",48.026028,28.142634,40.315374,794,864,1064,38.828012,0.96288,0.908341,0.532869,23,21,21,0,39.828012
"FGFR3","Fgfr3",61.642256,43.269635,49.729242,1556,2432,2454,51.5470443333333,0.935259,0.115779,0.112377,11,10,10,0,52.5470443333333
"FGFR4","Fgfr4",0.186479,0.174829,0.511533,2,2,3,0.290947,0.114852,0.24431,0.119605,2,6,3,8.75840333333333,0.132290801671448
"FGFRL1","Fgfrl1",4.912001,6.123363,6.699632,150,305,348,5.91166533333333,4.669218,4.224134,3.583552,328,273,232,1.731256,2.53058129056131
"FGG","Fgg",0,0,0,0,0,0,0,0.045626,0.15919,0.087125,1,2,2,25.4508763333333,0.0378059307902704
"FGGY","Fggy",36.747935,53.817452,29.568766,102,219,192,40.0447176666667,12.336765,12.828162,6.272212,86,81,57,1.62719933333333,15.6229933320629
"FGL1","Fgl1",0.284866,0.081802,0.168364,4,2,5,0.178344,0.07321,0,0,1,0,0,8.82256233333333,0.119962995398994
"FGL2","Fgl2",0.992462,0.704376,1.010985,54,66,89,0.902607666666667,0.375281,0.381461,0.37984,23,26,26,1.66217833333333,0.714680772074498
"FGR","Fgr",0,0.079844,0.094429,0,7,7,0.058091,0.023546,0,0.025161,1,0,1,20.0833353333333,0.0501861296266122
"FHAD1","Fhad1",3.166291,2.878154,3.418199,57,94,92,3.15421466666667,0.057026,0.18045,0.065845,3,2,3,619.908691333333,0.00669054037196024
"FHDC1","Fhdc1",2.968813,1.228673,1.692946,123,156,173,1.96347733333333,0.041133,0.028566,0.007187,6,4,1,0.175176,2.5217306457359
"FHIT","Fhit",3.050686,4.380911,5.911229,19,54,63,4.44760866666667,93.654124,45.299488,62.608211,101,81,82,15.8287713333333,0.323708044916886
"FHL1","Fhl1",28.139166,38.335925,30.972668,887,1571,1498,32.4825863333333,81.55907,54.519339,40.075323,1809,1742,1293,26.3474546666667,1.22434013481133
"FHL2","Fhl2",21.00045,25.727837,18.261993,273,492,383,21.6634266666667,472.825555,442.386872,371.698817,13036,11806,9788,0.851051,12.243545243576
"FHL3","Fhl3",0.269713,0.579876,0.380943,6,24,16,0.410177333333333,4.505978,3.286258,2.53499,122,99,80,0.292765666666667,1.09082207989744
"FHL5","Fhl5",0,0.083069,0.082237,0,2,2,0.055102,0,0,0,0,0,0,0.0325173333333333,1.02187340196387
"FHOD1","Fhod1",0.618824,1.170619,0.676975,37,69,67,0.822139333333333,14.01253,12.345369,10.5999,259,197,156,73.3355583333333,0.0245123514800622
