"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"Aadacl3","AADACL3",0,0,0,0,1,0.0163746,0.0054582,"AADACL3",0,0,0,0,0,0,0,1.0054582
"Aadat","AADAT",15,0.0585753,11,0.0396745,7,0.0287982,0.0423493333333,"AADAT",0.102189,0.086571,0.345332,4,4,3,0.178030666666667,0.884823598253781
"Aagab","AAGAB",1202,4.44946,1311,4.48229,1203,4.6915,4.54108333333,"AAGAB",17.426509,15.6387,13.707991,736,985,210,15.5910666666667,0.333979932975778
"Aak1","AAK1",7968,8.04586,8025,7.48451,7642,8.1297,7.88669,"AAK1",69.489029,46.415298,28.507961,7387,8738,1634,48.1374293333333,0.18085378336981
"Aamdc","AAMDC",367,1.95295,451,2.21665,366,2.05187,2.07382333333,"AAMDC",38.24271,41.233439,42.468014,297,480,107,40.6480543333333,0.0738047282768223
"Aamp","AAMP",1893,59.9736,2138,62.5622,1852,61.8151,61.4503,"AAMP",68.334942,59.931139,83.371171,1778,2358,678,70.5457506666667,0.872872244935376
"Aanat","AANAT",31,0.427725,41,0.522495,38,0.552371,0.500863666667,"AANAT",4.817009,2.713429,1.020571,21,20,6,2.85033633333333,0.389800665898624
"Aar2","AAR2",776,5.63104,853,5.71703,713,5.4508,5.59962333333,"AAR2",11.180055,9.270863,11.847764,628,826,234,10.7662273333333,0.560895446464262
"Aard","AARD",100,2.76369,91,2.32288,90,2.62045,2.56900666667,"AARD",8.095531,6.271673,6.228319,196,227,47,6.86517433333333,0.453773370482612
"Aars","AARS1",4405,27.8821,4407,25.7642,3978,26.527,26.7244333333,"AARS1",50.223145,48.62845,48.05169,3323,4540,1025,48.9677616666667,0.554846413138311
"Aars2","AARS2",522,5.78584,606,6.20388,580,6.77279,6.25417,"AARS2",9.453422,6.039625,6.693012,476,556,153,7.395353,0.8640696823588
"Aasdh","AASDH",314,1.52987,322,1.44903,259,1.32944,1.43611333333,"AASDH",10.338272,7.965028,6.807299,253,277,58,8.37019966666667,0.259985210560259
"Aasdhppt","AASDHPPT",768,8.12048,850,8.30107,722,8.0427,8.15475,"AASDHPPT",7.37912,6.932505,6.263653,392,582,102,6.858426,1.16495975148204
"Aass","AASS",39,0.0995355,29,0.0683607,44,0.118307,0.0954010666667,"AASS",0.727559,1.359941,0.620717,39,83,12,0.902739,0.575696964568814
"Aatf","AATF",605,1.03566,612,0.96763,604,1.08929,1.03086,"AATF",5.791477,4.306441,4.535828,176,197,48,4.87791533333333,0.3455068480628
"Aatk","AATK",7467,29.0791,7793,28.0307,6953,28.5266,28.5454666667,"AATK",118.038677,125.518116,98.177824,7807,12349,2727,113.911539,0.257114880923316
"AB124611","C19orf38",81,0.656224,98,0.73331,76,0.648671,0.679401666667,"C19orf38",0.045348,0.180758,0.143293,1,6,1,0.123133,1.49528298666943
"Abat","ABAT",1986,2.85043,2063,2.73479,1862,2.81549,2.80023666667,"ABAT",168.964922,122.107798,135.354847,10783,12924,3096,142.142522333333,0.0265486216445206
"Abca1","ABCA1",4095,4.92282,3713,4.12269,3641,4.61132,4.55227666667,"ABCA1",6.043864,5.208708,5.365657,945,1230,203,5.53940966666667,0.849048606783517
"Abca12","ABCA12",22,0.0197793,21,0.0174382,18,0.0170492,0.0180889,"ABCA12",0.045234,0.074347,0,5,9,0,0.0398603333333333,0.979063117771265
"Abca13","ABCA13",33,0.0104036,46,0.0133944,39,0.0129533,0.0122504333333,"ABCA13",0.047409,0.010958,0,7,6,0,0.0194556666666667,0.992932273988014
"Abca2","ABCA2",6105,47.7645,6781,49.0013,6154,50.7248,49.1635333333,"ABCA2",187.735036,204.759133,180.525361,10708,19126,3021,191.00651,0.261259544446175
"Abca3","ABCA3",5164,13.7592,5259,12.9421,4945,13.8809,13.5274,"ABCA3",14.947317,12.397739,14.833255,1948,2418,589,14.059437,0.964670857217305
"Abca4","ABCA4",23,0.0263103,36,0.038036,19,0.0228979,0.0290814,"ABCA4",0.320539,0.548091,0.211687,20,22,5,0.360105666666667,0.756618713693078
"Abca5","ABCA5",5255,11.9334,5299,11.1142,4575,10.9453,11.3309666667,"ABCA5",10.426741,9.657139,7.69426,1834,2418,419,9.25938,1.20192123371003
"Abca6","ABCA6",3334,6.90352,3785,7.23878,3311,7.22284,7.12171333333,"ABCA6",1.102142,1.064141,0.65707,128,183,24,0.941117666666667,4.18403967610928
"Abca7","ABCA7",5065,41.2041,5622,42.2423,4588,39.3214,40.9226,"ABCA7",6.531162,5.344626,6.635365,985,1230,314,6.17038433333333,5.84663220981228
"Abca8b","ABCA8",3612,8.80695,3441,7.74921,3247,8.34073,8.29896333333,"ABCA8",2.986576,2.668696,2.137732,492,660,110,2.597668,2.58471969434923
"Abca9","ABCA9",644,1.48195,645,1.37089,506,1.22671,1.35985,"ABCA9",1.374692,1.128702,1.013082,182,236,45,1.17215866666667,1.08640774553608
"Abcb10","ABCB10",678,3.43177,729,3.40809,632,3.37015,3.40333666667,"ABCB10",7.860339,9.169756,7.734576,712,1245,220,8.25489033333333,0.475784856230063
