"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"Acap1","ACAP1",19,0.211048,28,0.287263,11,0.128725,0.209012,"ACAP1",0,0.018565,0.036549,0,1,2,0.0183713333333333,1.18720152504947
"Acap2","ACAP2",2522,3.59664,2425,3.19418,2265,3.40302,3.39794666667,"ACAP2",36.691042,10.677867,10.414354,1409,875,776,19.2610876666667,0.217063700578398
"Acap3","ACAP3",1843,18.5386,1860,17.2806,1658,17.5703,17.7965,"ACAP3",30.626323,20.849619,19.366028,1311,1961,1795,23.61399,0.763651078106394
"Acat1","ACAT1",2255,11.7209,2540,12.1939,2009,11.0011,11.6386333333,"ACAT1",43.890942,47.535747,47.180457,948,1985,2072,46.202382,0.267754142858723
"Acat2","ACAT2",4907,42.6482,5210,41.8232,4290,39.2813,41.2509,"ACAT2",21.860344,25.469903,26.905039,427,936,993,24.7450953333333,1.64112423950887
"Acbd3","ACBD3",1927,10.6203,1892,9.63096,1682,9.76615,10.0058033333,"ACBD3",10.281829,7.11692,5.836016,516,626,510,7.74492166666667,1.25853652586177
"Acbd4","ACBD4",1209,17.8389,1276,17.3895,1043,16.2133,17.1472333333,"ACBD4",48.447059,53.277535,51.466468,249,586,589,51.0636873333333,0.348558357327131
"Acbd5","ACBD5",3686,12.0717,3999,12.0965,3332,11.4964,11.8882,"ACBD5",31.718534,21.222073,20.502479,1208,1400,1161,24.4810286666667,0.505795906774355
"Acbd6","ACBD6",803,0.935605,895,0.963152,731,0.897301,0.932019333333,"ACBD6",46.051315,40.289734,37.283973,465,683,684,41.2083406666667,0.0457734017214939
"Acbd7","ACBD7",20,0.64322,26,0.772321,13,0.440471,0.618670666667,"ACBD7",0,0.633204,0.507256,0,5,4,0.380153333333333,1.17281944518266
"Accs","ACCS",221,2.08176,241,2.09677,223,2.21303,2.13052,"ACCS",1.702548,1.880763,1.530269,43,62,61,1.70452666666667,1.15751123425171
"Accsl","ACCSL",11,0.123744,13,0.135074,24,0.284438,0.181085333333,"ACCSL",0,0.221119,0.229811,0,2,2,0.15031,1.02675394748633
"Acd","ACD",744,22.0247,762,20.8347,731,22.7981,21.8858333333,"ACD",15.910447,14.66128,14.732569,297,491,503,15.101432,1.42135391021743
"Ace","ACE",138,0.9727,237,1.54292,123,0.913374,1.142998,"ACE",8.036527,5.639198,4.870534,431,541,552,6.18208633333333,0.298380985766485
"Ace2","ACE2",48,0.151766,63,0.183979,43,0.143234,0.159659666667,"ACE2",0.383734,0.590837,0.631366,19,44,39,0.535312333333333,0.755324920857797
"Acer1","ACER1",7,0.0379391,3,0.0150178,5,0.0285498,0.0271689,"ACER1",0.030558,0,0,1,0,0,0.010186,1.01681165646722
"Acer2","ACER2",164,0.42124,123,0.2918,104,0.281425,0.331488333333,"ACER2",3.118334,2.54008,2.402802,132,184,153,2.687072,0.361123496729383
"Acer3","ACER3",1535,2.07495,1585,1.9789,1417,2.01796,2.02393666667,"ACER3",3.481609,5.184627,5.45389,351,403,381,4.70670866666667,0.529891544023099
"Ache","ACHE",1971,44.0295,2243,46.2787,1766,41.5616,43.9566,"ACHE",33.834013,47.679276,42.808478,660,1514,1703,41.440589,1.05928313106116
"Acin1","ACIN1",2198,7.61988,2253,7.214,1930,7.0489,7.29426,"ACIN1",45.807958,21.09828,21.753088,1080,1089,980,29.5531086666667,0.271470248428403
"Ackr1","ACKR1",3242,269.806,3228,248.123,2902,254.437,257.455333333,"ACKR1",101.103231,14.233693,28.400341,431,187,207,47.9124216666667,5.28404287758123
"Ackr2","ACKR2",9,0.109818,13,0.14651,5,0.0642753,0.106867766667,"ACKR2",0.649428,0.359553,0.708918,12,16,18,0.572633,0.703830942544764
