"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"Abcg8","ABCG8",12,0.0775012,28,0.167024,7,0.0476287,0.0973846333333,"ABCG8",0,0.017747,0,0,1,0,0.00591566666666667,1.09093104889174
"Abhd1","ABHD1",387,11.951,427,12.1792,372,12.1027,12.0776333333,"ABHD1",0.959765,1.019278,1.583523,7,31,26,1.187522,5.97828654216963
"Abhd10","ABHD10",1071,12.5636,1157,12.5358,989,12.2226,12.4406666667,"ABHD10",15.744209,13.053989,13.082247,155,575,337,13.9601483333333,0.898431376963842
"Abhd11","ABHD11",473,24.2771,487,23.0865,430,23.2513,23.5383,"ABHD11",10.616167,13.349118,17.343117,58,295,193,13.7694673333333,1.66142078425667
"Abhd12","ABHD12",4726,10.1526,5063,10.0459,4747,10.7436,10.3140333333,"ABHD12",194.435324,224.464164,226.37899,1076,4396,2480,215.092826,0.0523572834079184
"Abhd12b","ABHD12B",2,0.0104356,3,0.0144579,3,0.0164913,0.0137949333333,"ABHD12B",0.508261,0.346372,0.237091,5,12,5,0.363908,0.743301552108573
"Abhd13","ABHD13",535,5.74689,566,5.61553,432,4.88885,5.41709,"ABHD13",8.065108,8.209743,8.759599,280,1053,639,8.34481666666667,0.686700470314203
"Abhd14a","ABHD14A",570,11.5979,581,10.9189,552,11.8329,11.4499,"ABHD14A",9.111682,11.625296,10.462999,55,273,135,10.3999923333333,1.09209722567942
"Abhd14b","ABHD14B",506,14.3707,541,14.1912,507,15.1698,14.5772333333,"ABHD14B",9.900957,11.07616,10.725091,59,304,184,10.5674026666667,1.34664918151318
"Abhd15","ABHD15",4270,28.2174,4193,25.5923,3798,26.4416,26.7504333333,"ABHD15",0.570942,0.544336,0.246583,10,30,9,0.453953666666667,19.0861882118435
"Abhd16a","ABHD16A",1791,20.2535,1984,20.7225,1609,19.1692,20.0484,"ABHD16A",84.799733,87.707752,104.500541,575,2204,1387,92.3360086666667,0.225512107285096
"Abhd16b","ABHD16B",3,0.262325,1,0.0807632,0,0,0.114362733333,"ABHD16B",0,0.023675,0,0,1,0,0.00789166666666667,1.10563741142782
"Abhd17a","ABHD17A",1543,35.8085,1615,34.6169,1432,35.0113,35.1455666667,"ABHD17A",50.597266,51.472563,50.283643,341,1219,660,50.7844906666667,0.697999849015927
"Abhd17b","ABHD17B",1336,6.38953,1370,6.0517,1170,5.89511,6.11211333333,"ABHD17B",18.422878,19.350962,20.248798,254,954,572,19.3408793333333,0.349646306670485
"Abhd17c","ABHD17C",525,1.91558,552,1.86026,478,1.83743,1.87109,"ABHD17C",8.088749,7.811635,8.308212,110,387,234,8.069532,0.316564294607484
"Abhd18","ABHD18",959,1.63263,905,1.42303,804,1.44202,1.49922666667,"ABHD18",4.632635,4.799454,5.02948,98,410,194,4.820523,0.429381804121382
"Abhd2","ABHD2",7430,12.4927,7511,11.6644,6700,11.8683,12.0084666667,"ABHD2",11.033863,14.096476,15.211377,518,2535,1550,13.4472386666667,0.900411972615482
"Abhd3","ABHD3",538,1.29101,575,1.27441,531,1.34241,1.30261,"ABHD3",55.682784,53.328998,62.270616,427,1662,1021,57.0941326666667,0.0396358443495826
"Abhd4","ABHD4",2599,24.5221,2698,23.5119,2384,23.6974,23.9104666667,"ABHD4",31.723046,34.102686,39.716449,385,1661,1007,35.180727,0.688500998520566
"Abhd5","ABHD5",1118,5.80017,1136,5.44342,953,5.20878,5.48412333333,"ABHD5",21.566522,17.853184,20.208764,143,531,290,19.8761566666667,0.310599476563774
"Abhd6","ABHD6",696,2.0056,708,1.88435,682,2.07044,1.98679666667,"ABHD6",17.385249,17.188792,18.917148,233,860,531,17.8303963333333,0.158615709080048
"Abhd8","ABHD8",1833,40.9291,1869,38.5455,1711,40.2498,39.9081333333,"ABHD8",65.067793,67.246917,70.625685,840,3106,1873,67.6467983333333,0.595921941394256
"Abi1","ABI1",2942,4.55855,2887,4.13167,2706,4.41729,4.36917,"ABI1",61.894673,67.568242,60.34268,492,1777,1100,63.2685316666667,0.0835427519621513
"Abi2","ABI2",2196,4.76431,2094,4.19604,1939,4.4319,4.46408333333,"ABI2",21.449798,32.690883,39.515265,634,2558,1589,31.2186486666667,0.16959380853807
"Abi3","ABI3",692,8.65957,690,7.97506,685,9.03077,8.55513333333,"ABI3",0.868416,1.488242,0.946114,10,26,22,1.100924,4.54806234463027
"Abi3bp","ABI3BP",361,0.263973,384,0.259346,283,0.218013,0.247110666667,"ABI3BP",2.876543,2.528344,3.212496,93,298,218,2.872461,0.322046023618314
