"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"Yars","YARS1",2291,11.9132,2368,11.3731,2082,11.4058,11.5640333333,"YARS1",5.805432,4.927422,5.244563,245,215,193,5.32580566666667,1.98615543937829
"Yars2","YARS2",362,8.41607,355,7.62296,362,8.86652,8.30185,"YARS2",9.604953,11.69317,13.609148,199,201,175,11.635757,0.736152966537739
"Ybey","YBEY",84,1.36548,79,1.18611,78,1.33581,1.2958,"YBEY",0.431775,0.35763,0.399442,62,50,41,0.396282333333333,1.64422333878511
"Ybx1","YBX1",1837,17.151,1906,16.4361,1652,16.2493,16.6121333333,"YBX1",115.147777,110.217547,126.618086,4108,3890,3279,117.327803333333,0.148841885314866
"Ybx2","YBX2",36,0.961708,31,0.764887,33,0.92875,0.885115,"YBX2",6.668209,4.419243,6.356502,127,106,89,5.81465133333333,0.276626771905278
"Ybx3","YBX3",621,4.0803,670,4.06602,592,4.09794,4.08142,"YBX3",27.490217,27.100425,29.332711,1036,960,721,27.974451,0.17537588546544
"Ydjc","YDJC",4050,39.0894,4096,36.5139,3681,37.4295,37.6776,"YDJC",0.340604,0.367512,0.314427,11,15,5,0.340847666666667,28.8456332225659
"Yeats2","YEATS2",2490,4.22321,2773,4.34399,2234,3.99182,4.18634,"YEATS2",1.939298,2.358337,3.553853,124,116,95,2.61716266666667,1.43381442250132
"Yeats4","YEATS4",488,8.1557,563,8.6905,529,9.31411,8.72010333333,"YEATS4",3.974247,5.658017,6.311097,112,132,103,5.31445366666667,1.53934193620604
"Yes1","YES1",630,1.28852,604,1.14099,516,1.11184,1.18045,"YES1",1.860792,2.078087,2.26643,210,178,169,2.06843633333333,0.710606238204497
"Yif1a","YIF1A",528,18.8652,580,19.1404,539,20.289,19.4315333333,"YIF1A",13.514807,14.98798,15.538283,385,395,324,14.6803566666667,1.3030018237234
"Yif1b","YIF1B",602,10.0805,671,10.3777,548,9.66738,10.04186,"YIF1B",9.123183,10.424246,12.185681,249,261,236,10.5777033333333,0.953717648664344
"Yipf1","YIPF1",950,3.24341,1008,3.17858,916,3.29471,3.2389,"YIPF1",8.298178,6.180081,8.240157,97,93,69,7.57280533333333,0.494458912244051
"Yipf2","YIPF2",808,30.2409,903,31.2152,761,30.0062,30.4874333333,"YIPF2",0.609185,0.618259,0.690018,41,39,32,0.639154,19.2095637952871
"Yipf3","YIPF3",950,33.0751,942,30.2916,954,34.992,32.7862333333,"YIPF3",11.339834,10.949939,13.434988,287,295,243,11.9082536666667,2.61741318429054
"Yipf4","YIPF4",1370,19.7159,1468,19.5127,1313,19.907,19.7118666667,"YIPF4",43.23514,119.374093,48.474736,371,354,302,70.361323,0.290239387331706
"Yipf5","YIPF5",829,8.28301,878,8.10258,795,8.36845,8.25134666667,"YIPF5",2.597914,2.207801,1.719004,184,154,137,2.17490633333333,2.9138959375085
"Yipf6","YIPF6",2142,26.1737,2342,26.4318,1863,23.9829,25.5294666667,"YIPF6",2.602904,1.923878,3.647365,280,242,233,2.72471566666667,7.12254814618959
"Yipf7","YIPF7",2,0.0119493,3,0.0165549,2,0.0125888,0.0136976666667,"YIPF7",56.312925,44.033636,61.799718,963,792,707,54.0487596666667,0.0184145414502503
"Yjefn3","YJEFN3",1466,15.2453,1886,18.115,1602,17.5513,16.9705333333,"",1.122137,3.495878,1.057975,20,41,11,1.89199666666667,6.21388452498216
"Yju2","YJU2",152,2.56795,128,1.99732,119,2.11804,2.22777,"YJU2",0.772587,0.746623,0.798259,36,37,31,0.772489666666667,1.82103741460458
"Ykt6","YKT6",2249,28.877,2425,28.7587,2081,28.15,28.5952333333,"YKT6",7.00426,7.930583,8.916782,563,599,526,7.95054166666667,3.30652986550721
"Ylpm1","YLPM1",1998,4.17963,2064,3.98792,1901,4.18956,4.11903666667,"YLPM1",2.699501,2.684745,2.59612,348,348,252,2.660122,1.398597278088
"Yme1l1","YME1L1",3757,13.5951,3898,13.028,3525,13.4383,13.3538,"YME1L1",6.092013,5.776777,7.433483,870,791,682,6.434091,1.93080768045481
"Yod1","YOD1",435,9.60124,458,9.33681,444,10.3244,9.75415,"YOD1",0.422319,0.346297,0.381606,86,64,55,0.383407333333333,7.77366849291435
"Ypel1","YPEL1",418,3.73933,446,3.68508,348,3.27975,3.56805333333,"YPEL1",0.343964,0.031701,0.19051,8,2,9,0.188725,3.84281758466424
"Ypel2","YPEL2",568,1.539,580,1.45149,561,1.60139,1.53062666667,"YPEL2",0.969652,0.85615,1.495988,157,116,115,1.10726333333333,1.20090670522273
"Ypel3","YPEL3",3003,130.925,3161,127.288,2681,123.142,127.118333333,"YPEL3",11.699963,54.558209,39.467333,230,223,153,35.241835,3.53509510026189
"Ypel4","YPEL4",698,23.5615,689,21.4814,657,23.3645,22.8024666667,"YPEL4",0.062336,0.04438,0.024696,3,2,1,0.043804,22.8035787051017
"Ypel5","YPEL5",4016,42.279,4018,39.0693,3437,38.1202,39.8228333333,"YPEL5",9.618546,8.951392,8.675176,293,272,279,9.08170466666667,4.04919948391995
"Yrdc","YRDC",394,13.3989,361,11.339,330,11.823,12.1869666667,"YRDC",3.987138,4.399116,3.428391,93,90,63,3.938215,2.67039135936771
"Ythdc1","YTHDC1",1343,6.42578,1354,5.98361,1207,6.08416,6.16451666667,"YTHDC1",4.843962,4.114778,4.703392,472,370,323,4.554044,1.28996397339848
"Ythdc2","YTHDC2",913,2.28635,918,2.12329,867,2.28737,2.23233666667,"YTHDC2",0.975451,0.731584,1.784133,168,115,165,1.16372266666667,1.49387752712763
"Ythdf1","YTHDF1",1505,14.0946,1588,13.736,1300,12.8264,13.5523333333,"YTHDF1",4.166881,4.927014,4.613728,333,304,240,4.56920766666667,2.61299886883371
"Ythdf2","YTHDF2",1431,8.10836,1399,7.3216,1237,7.38426,7.60474,"YTHDF2",3.14781,3.789665,4.77847,195,213,180,3.905315,1.75416665392539
"Ythdf3","YTHDF3",2374,10.893,2496,10.5781,2149,10.3884,10.6198333333,"YTHDF3",5.960073,5.544083,6.304176,975,747,724,5.93611066666667,1.67526642692456
"Ywhab","YWHAB",19597,128.725,20276,123.012,17310,119.788,123.841666667,"YWHAB",10.198425,10.651724,11.041095,949,960,720,10.6304146666667,10.7340684098566
"Ywhae","YWHAE",13376,62.9553,13837,60.151,11840,58.7086,60.6049666667,"YWHAE",74.777422,74.451509,75.143058,2658,2422,2056,74.790663,0.812830554955035
"Ywhag","YWHAG",50910,301.499,53354,291.84,47394,295.699,296.346,"YWHAG",18.72531,18.615793,19.756322,1999,1859,1409,19.032475,14.8431983566684
"Ywhah","YWHAH",40001,678.452,41365,648.002,34783,621.526,649.326666667,"YWHAH",23.498115,24.998911,20.20998,679,688,445,22.9023353333333,27.2076622471311
"Ywhaq","YWHAQ",9880,55.6268,10244,53.2711,8660,51.3676,53.4218333333,"YWHAQ",8.027494,8.369909,8.524198,472,490,353,8.30720033333333,5.84728289756379
"Ywhaz","YWHAZ",20515,121.717,21258,116.492,18084,113.036,117.081666667,"YWHAZ",59.21825,69.11579,27.14929,829,825,663,51.8277766666667,2.23521931297759
"Yy1","YY1",2097,11.9765,2153,11.3572,1961,11.7992,11.7109666667,"YY1",4.486562,5.258655,4.6627,483,426,373,4.802639,2.19054927709616
"Zadh2","ZADH2",1627,26.6771,1682,25.4725,1485,25.652,25.9338666667,"ZADH2",8.778831,10.28854,13.506162,856,912,846,10.8578443333333,2.27139654641837
"Zan","ZAN",25,0.039422,26,0.0378675,28,0.0465158,0.0412684333333,"ZAN",0.010489,0,0.016781,1,0,2,0.00909,1.03188856626594
"Zap70","ZAP70",5,0.0369176,10,0.0681959,15,0.116681,0.0739315,"ZAP70",0,0,0,0,0,0,0,1.0739315
"Zar1","ZAR1",0,0,1,0.0322218,2,0.073507,0.0352429333333,"ZAR1",0,0,0,0,0,0,0,1.0352429333333
"Zar1l","ZAR1L",5,0.0698511,8,0.103226,4,0.0588717,0.0773162666667,"ZAR1L",0,0,0,0,0,0,0,1.0773162666667
"Zbbx","ZBBX",8,0.0097671,1,0.00112764,0,0,0.00363158,"ZBBX",0,0,0,0,0,0,0,1.00363158
"Zbed3","ZBED3",155,1.69061,171,1.72267,156,1.79259,1.73529,"ZBED3",2.019664,1.752462,1.76082,108,103,70,1.84431533333333,0.961669041383832
"Zbed4","ZBED4",342,1.61553,326,1.42233,298,1.48303,1.50696333333,"ZBED4",0.78766,0.870543,0.931959,144,148,123,0.863387333333333,1.34537961511491
"Zbed5","ZBED9",2075,40.7618,2347,42.5836,2055,42.5295,41.9583,"ZBED9",0.100254,0.046422,0.021093,4,3,1,0.055923,40.6831748148303
"Zbp1","ZBP1",98,1.23542,75,0.873262,62,0.823425,0.977369,"ZBP1",0.053116,0.402889,0.221785,4,18,7,0.22593,1.61295424697984
"Zbtb1","ZBTB1",1032,6.00246,1082,5.81262,910,5.57616,5.79708,"ZBTB1",0.370347,0.37293,0.364766,145,135,103,0.369347666666667,4.96373577394394
"Zbtb10","ZBTB10",780,3.48563,689,2.84381,611,2.87655,3.06866333333,"ZBTB10",0.837166,0.555421,0.832202,190,122,133,0.741596333333333,2.33616898213306
"Zbtb11","ZBTB11",1185,5.25028,1172,4.79609,970,4.52773,4.85803333333,"ZBTB11",0.913614,0.787052,0.930886,134,109,101,0.877184,3.12064951189122
"Zbtb12","ZBTB12",65,0.580304,71,0.585458,61,0.573741,0.579834333333,"ZBTB12",1.159593,0.711257,0.911208,41,41,36,0.927352666666667,0.819691362487025
"Zbtb14","ZBTB14",588,11.1979,646,11.3628,546,10.9546,11.1717666667,"ZBTB14",1.334118,1.425345,1.435765,169,171,129,1.39840933333333,5.07493299727264
"Zbtb16","ZBTB16",203,0.173188,219,0.172568,180,0.161785,0.169180333333,"ZBTB16",6.438071,7.783969,4.553612,1049,1166,515,6.25855066666667,0.16107627913961
"Zbtb17","ZBTB17",385,2.56715,380,2.34028,382,2.68347,2.5303,"ZBTB17",4.499712,2.927671,3.20574,184,158,156,3.54437433333333,0.776850615959381
"Zbtb18","ZBTB18",1815,33.4804,1754,29.884,1627,31.6188,31.6610666667,"ZBTB18",4.638836,21.19323,15.102634,470,459,384,13.6449,2.23020072972161
"Zbtb2","ZBTB2",195,1.4389,154,1.04957,141,1.09612,1.19486333333,"ZBTB2",0.567447,0.593123,0.725979,59,66,55,0.628849666666667,1.34749288301212
"Zbtb20","ZBTB20",1147,0.232189,1323,0.247362,1151,0.24547,0.241673666667,"ZBTB20",5.204234,5.376468,5.70866,4146,3243,3061,5.42978733333333,0.193112711555779
"Zbtb21","ZBTB21",475,3.82665,458,3.40789,345,2.92812,3.38755333333,"ZBTB21",1.232785,1.381619,1.373058,71,67,56,1.329154,1.88375407265041
"Zbtb22","ZBTB22",522,23.676,602,25.219,549,26.2333,25.0427666667,"ZBTB22",1.483514,1.531259,2.09477,127,132,131,1.703181,9.63411871668971
"Zbtb24","ZBTB24",326,3.33058,295,2.78368,308,3.3151,3.14312,"ZBTB24",1.014324,1.089365,0.877437,83,71,57,0.993708666666667,2.07809700046446
"Zbtb25","ZBTB25",365,2.59618,382,2.50958,334,2.50284,2.5362,"ZBTB25",0.752107,0.785165,1.045223,46,42,31,0.860831666666667,1.90033309479005
"Zbtb26","ZBTB26",277,3.91985,266,3.47669,243,3.62276,3.6731,"ZBTB26",0.585818,0.541864,0.561276,74,68,56,0.562986,2.9898540358007
"Zbtb3","ZBTB3",65,4.40165,73,4.56583,64,4.5659,4.51112666667,"ZBTB3",0.154936,0.283094,0.280891,10,17,13,0.239640333333333,4.44574649475211
"Zbtb32","ZBTB32",90,1.51358,113,1.75524,83,1.47057,1.57979666667,"ZBTB32",0.034967,0.09244,0.073596,2,5,3,0.067001,2.41780154533126
"Zbtb33","ZBTB33",595,12.7308,631,12.4699,533,12.0146,12.4051,"ZBTB33",1.077316,1.331822,1.242082,167,156,127,1.21707333333333,6.04630428703306
"Zbtb34","ZBTB34",238,1.46487,251,1.4269,201,1.30336,1.39837666667,"ZBTB34",0.389639,0.425931,0.366219,86,54,58,0.393929666666667,1.72058657192173
"Zbtb37","ZBTB37",832,4.04454,840,3.77155,712,3.64644,3.82084333333,"ZBTB37",1.224869,0.523203,1.371322,273,246,221,1.039798,2.3633925189308
"Zbtb38","ZBTB38",1428,3.16346,1473,3.01392,1479,3.45181,3.20973,"ZBTB38",9.86345,7.438398,7.038007,484,415,339,8.113285,0.46193332042178
"Zbtb39","ZBTB39",267,5.30476,278,5.10146,241,5.04447,5.15023,"ZBTB39",0.562076,0.576884,0.625369,115,110,92,0.588109666666667,3.87267336071879
"Zbtb4","ZBTB4",5130,43.961,5663,44.8221,4725,42.6576,43.8135666667,"ZBTB4",2.680421,3.258251,4.232987,585,568,473,3.390553,10.2068160130854
"Zbtb40","ZBTB40",394,0.885368,406,0.842652,353,0.835692,0.854570666667,"ZBTB40",0.588012,0.596451,0.695407,91,72,81,0.626623333333333,1.1401352904895
"Zbtb41","ZBTB41",1126,5.68935,1083,5.05414,964,5.13151,5.29166666667,"ZBTB41",1.181496,1.648429,1.504744,273,272,248,1.44488966666667,2.57339492757069
"Zbtb42","ZBTB42",121,4.79089,141,5.15638,117,4.88046,4.94257666667,"ZBTB42",0.591252,1.318595,0.734765,67,74,47,0.881537333333333,3.15836234625338
"Zbtb43","ZBTB43",429,3.64388,447,3.50679,374,3.34675,3.49914,"ZBTB43",1.705605,2.16266,2.344342,226,266,198,2.070869,1.46510320042959
"Zbtb44","ZBTB44",506,1.7359,498,1.57797,406,1.46739,1.59375333333,"ZBTB44",2.098576,1.732553,2.16513,329,255,229,1.998753,0.864943972821369
"Zbtb45","ZBTB45",271,6.85378,277,6.47047,265,7.06075,6.795,"ZBTB45",1.220059,0.961999,0.581849,60,52,34,0.921302333333333,4.05714387827562
"Zbtb46","ZBTB46",462,1.00058,450,0.900155,387,0.883008,0.927914333333,"ZBTB46",1.322622,0.899381,1.103793,211,131,117,1.10859866666667,0.914310704929309
"Zbtb48","ZBTB48",181,3.55696,173,3.14008,205,4.24422,3.64708666667,"ZBTB48",1.219198,0.940737,1.714672,28,30,17,1.29153566666667,2.02793556053604
"Zbtb49","ZBTB49",218,1.10131,242,1.12918,233,1.24009,1.15686,"ZBTB49",0.512881,0.749064,1.04606,14,30,25,0.769335,1.21902296625568
"Zbtb5","ZBTB5",256,1.87679,302,2.04493,244,1.88456,1.93542666667,"ZBTB5",0.470919,0.473981,0.657036,68,64,61,0.533978666666667,1.91360331825779
"Zbtb6","ZBTB6",737,6.4729,691,5.60537,593,5.48694,5.85507,"ZBTB6",0.536342,0.499047,0.489286,82,70,54,0.508225,4.54512423544232
"Zbtb7a","ZBTB7A",2660,23.2255,2827,22.7984,2549,23.4475,23.1571333333,"ZBTB7A",1.938293,2.619416,2.310791,379,452,269,2.2895,7.34370978364493
"Zbtb7b","ZBTB7B",443,4.01317,509,4.25889,426,4.06572,4.11259333333,"ZBTB7B",4.363049,3.04726,2.589305,184,171,169,3.33320466666667,1.17986426366121
"Zbtb7c","ZBTB7C",134,0.0633338,118,0.0515119,96,0.047802,0.0542159,"ZBTB7C",0.220101,0.141287,0.138551,27,18,15,0.166646333333333,0.90362937754058
"Zbtb8a","ZBTB8A",140,0.887307,166,0.971737,118,0.787902,0.882315333333,"ZBTB8A",0.372911,0.325921,0.240977,28,23,13,0.313269666666667,1.43330450790863
"Zbtb8b","AL033529.1",14,0.144007,16,0.15201,16,0.173389,0.156468666667,"",0,0.010051,0,0,1,0,0.00335033333333333,1.152607048851
"Zbtb8b","AL033529.1",14,0.144007,16,0.15201,16,0.173389,0.156468666667,"ZBTB8B",0,0.010051,0,0,1,0,0.00335033333333333,1.152607048851
"Zbtb8b","ZBTB8B",14,0.144007,16,0.15201,16,0.173389,0.156468666667,"",0,0.010051,0,0,1,0,0.00335033333333333,1.152607048851
"Zbtb8b","ZBTB8B",14,0.144007,16,0.15201,16,0.173389,0.156468666667,"ZBTB8B",0,0.010051,0,0,1,0,0.00335033333333333,1.152607048851
"Zbtb8os","ZBTB8OS",458,3.77053,487,3.70306,378,3.27848,3.58402333333,"ZBTB8OS",4.944308,5.858477,3.269684,77,81,50,4.690823,0.805511493386809
"Zbtb9","ZBTB9",403,1.77646,425,1.73035,363,1.68578,1.73086333333,"ZBTB9",0,0.291302,0.189627,0,24,12,0.160309666666667,2.35356423529179
"Zc2hc1a","ZC2HC1A",3262,10.0547,3276,9.32657,2977,9.66731,9.68286,"ZC2HC1A",0.952879,1.475031,1.048356,104,86,72,1.15875533333333,4.9486200844746
"Zc2hc1b","ZC2HC1B",7,0.0381429,3,0.0150984,4,0.0229625,0.0254012666667,"ZC2HC1B",0,0,0,0,0,0,0,1.0254012666667
"Zc2hc1c","ZC2HC1C",201,1.24425,216,1.23498,196,1.27824,1.25249,"ZC2HC1C",0.875971,0.428278,0.349649,34,23,17,0.551299333333333,1.45200217108325
"Zc3h11a","ZC3H11B",3791,14.1718,3791,13.0894,3395,13.3707,13.5439666667,"ZC3H11B",14.42159,16.035811,12.805385,655,577,398,14.4209286666667,0.943131699852664
"Zc3h11a","ZC3H11B",3791,14.1718,3791,13.0894,3395,13.3707,13.5439666667,"ZC3H11A",14.42159,16.035811,12.805385,655,577,398,14.4209286666667,0.943131699852664
"Zc3h11a","ZC3H11B",3791,14.1718,3791,13.0894,3395,13.3707,13.5439666667,"ZC3H11B",14.42159,16.035811,12.805385,655,577,398,14.4209286666667,0.943131699852664
"Zc3h11a","ZC3H11B",3791,14.1718,3791,13.0894,3395,13.3707,13.5439666667,"ZC3H11A",14.42159,16.035811,12.805385,655,577,398,14.4209286666667,0.943131699852664
"Zc3h11a","ZC3H11A",3791,14.1718,3791,13.0894,3395,13.3707,13.5439666667,"ZC3H11B",14.42159,16.035811,12.805385,655,577,398,14.4209286666667,0.943131699852664
"Zc3h11a","ZC3H11A",3791,14.1718,3791,13.0894,3395,13.3707,13.5439666667,"ZC3H11A",14.42159,16.035811,12.805385,655,577,398,14.4209286666667,0.943131699852664
"Zc3h11a","ZC3H11A",3791,14.1718,3791,13.0894,3395,13.3707,13.5439666667,"ZC3H11B",14.42159,16.035811,12.805385,655,577,398,14.4209286666667,0.943131699852664
"Zc3h11a","ZC3H11A",3791,14.1718,3791,13.0894,3395,13.3707,13.5439666667,"ZC3H11A",14.42159,16.035811,12.805385,655,577,398,14.4209286666667,0.943131699852664
"Zc3h12a","ZC3H12A",45,0.741602,44,0.669739,36,0.625036,0.678792333333,"ZC3H12A",0.593725,0.709372,0.541447,48,40,36,0.614848,1.03959774129392
"Zc3h12b","ZC3H12B",249,0.174905,228,0.147922,227,0.167986,0.163604333333,"ZC3H12B",0.16284,0.036287,0.150568,16,7,7,0.116565,1.04212861170913
"Zc3h12c","ZC3H12C",395,1.07127,371,0.929329,362,1.03432,1.01163966667,"ZC3H12C",0.576007,0.544393,0.575546,123,109,92,0.565315333333333,1.28513381542505
"Zc3h12d","ZC3H12D",23,0.0941231,34,0.128512,21,0.0905382,0.1043911,"ZC3H12D",0.06,0.023064,0.042779,8,3,4,0.0419476666666667,1.05992952941015
"Zc3h13","ZC3H13",955,2.46819,943,2.25103,893,2.43148,2.38356666667,"ZC3H13",2.344131,2.381141,2.207397,273,297,238,2.31088966666667,1.02195089758956
"Zc3h14","ZC3H14",2111,8.03251,2329,8.18517,2015,8.0776,8.09842666667,"ZC3H14",13.589328,15.149037,16.054416,672,628,541,14.930927,0.571117215380499
"Zc3h15","ZC3H15",2993,23.0107,3024,21.4734,2666,21.5937,22.0259333333,"ZC3H15",12.624959,19.16987,13.195824,438,426,274,14.9968843333333,1.43940112671315
"Zc3h18","ZC3H18",685,2.60891,698,2.45538,673,2.70039,2.58822666667,"ZC3H18",2.357431,3.032605,2.420204,259,259,176,2.60341333333333,0.995785477474136
"Zc3h3","ZC3H3",253,0.448848,222,0.363769,220,0.411192,0.407936333333,"ZC3H3",0.495471,1.069603,0.978895,56,69,31,0.847989666666667,0.761874570366284
"Zc3h4","ZC3H4",898,3.78878,992,3.86571,913,4.05824,3.90424333333,"ZC3H4",3.964724,2.346025,3.493956,361,328,253,3.268235,1.14900968042528
"Zc3h6","ZC3H6",236,0.715948,263,0.73692,226,0.722307,0.725058333333,"ZC3H6",0.516611,0.470491,0.498941,76,65,57,0.495347666666667,1.15361689578076
"Zc3h7a","ZC3H7A",35461,138.281,36304,130.756,38451,157.966,142.334333333,"ZC3H7A",12.284149,11.086726,12.275429,286,269,198,11.8821013333333,11.1266267532078
"Zc3h7b","ZC3H7B",2309,6.99902,2555,7.15318,2209,7.05428,7.06882666667,"ZC3H7B",5.20345,5.303158,5.916573,1054,1006,855,5.47439366666667,1.24626753980257
"Zc3h8","ZC3H8",162,1.41178,178,1.43274,121,1.11092,1.31848,"ZC3H8",1.394302,1.242585,1.162515,65,54,39,1.26646733333333,1.02294878284884
"Zc3hav1","ZC3HAV1",744,2.34145,726,2.11029,687,2.27778,2.24317333333,"ZC3HAV1",1.438069,1.651985,1.393536,216,239,158,1.49453,1.3001139827262
"Zc3hav1l","ZC3HAV1L",150,1.96235,131,1.58289,101,1.39204,1.64576,"ZC3HAV1L",0.129869,0.127717,0.123667,28,26,19,0.127084333333333,2.34743747362294
"Zc3hc1","ZC3HC1",362,2.27943,392,2.27981,354,2.34836,2.30253333333,"ZC3HC1",3.997886,5.329648,4.367982,129,123,91,4.565172,0.593428798486372
"Zc4h2","ZC4H2",437,3.51123,436,3.23563,382,3.23359,3.32681666667,"ZC4H2",0.125894,0.202272,0.288542,8,12,14,0.205569333333333,3.58902349872038
"Zcchc10","ZCCHC10",195,3.50989,170,2.8262,179,3.39434,3.24347666667,"ZCCHC10",1.29105,1.997669,1.02501,36,26,27,1.43790966666667,1.74062096093662
"Zcchc14","ZCCHC14",888,2.54296,896,2.36989,791,2.38642,2.43309,"ZCCHC14",2.878609,4.365601,3.533929,525,446,352,3.592713,0.747508063316824
"Zcchc17","ZCCHC17",937,3.26364,1017,3.27173,909,3.33557,3.29031333333,"ZCCHC17",15.970185,15.456505,12.748845,192,180,142,14.7251783333333,0.272830822162165
"Zcchc2","ZCCHC2",633,2.24982,624,2.04844,532,1.99205,2.09677,"ZCCHC2",1.407072,1.180012,0.820346,152,151,92,1.13581,1.44992766210477
"Zcchc24","ZCCHC24",1129,3.05291,1140,2.84721,878,2.50126,2.80046,"ZCCHC24",3.976297,4.021406,5.211113,536,519,508,4.40293866666667,0.703406097027692
"Zcchc3","ZCCHC3",123,6.2124,99,4.61832,105,5.58712,5.47261333333,"ZCCHC3",0.72479,0.520339,0.751002,67,51,47,0.665377,3.88657543206733
"Zcchc4","ZCCHC4",398,1.2541,385,1.12048,339,1.12536,1.16664666667,"ZCCHC4",0.984551,1.675446,1.707042,61,79,56,1.45567966666667,0.8823002022943
"Zcchc7","ZCCHC7",1728,1.52094,1689,1.37307,1491,1.38258,1.42553,"ZCCHC7",2.808914,1.337401,2.580881,212,139,102,2.24239866666667,0.748066554842732
"Zcchc8","ZCCHC8",489,3.3278,478,3.0045,444,3.18329,3.17186333333,"ZCCHC8",7.884131,5.837621,8.221493,152,143,116,7.314415,0.501762701684965
"Zcchc9","ZCCHC9",294,4.08408,315,4.04159,241,3.52702,3.88423,"ZCCHC9",3.466759,2.671748,2.212785,90,79,52,2.783764,1.29083896352944
"Zcrb1","ZCRB1",1095,13.8874,1182,13.8458,940,12.5597,13.4309666667,"ZCRB1",33.837228,36.696368,34.2143,398,436,260,34.9159653333333,0.401798101005146
"Zcwpw1","ZCWPW1",239,1.06521,265,1.09089,242,1.13631,1.09747,"ZCWPW1",0.238476,0.274781,0.253324,8,8,5,0.255527,1.67058932225273
"Zdbf2","ZDBF2",128,0.480896,95,0.329655,104,0.41164,0.407397,"ZDBF2",0.007799,0.008599,0.01801,3,3,5,0.0114693333333333,1.39143813224853
"Zdhhc1","ZDHHC1",710,4.50157,830,4.86047,748,4.99633,4.78612333333,"ZDHHC1",2.566101,2.324321,2.672501,165,142,122,2.52097433333333,1.64333016533302
"Zdhhc11","ZDHHC11",3,0.015979,12,0.0590342,7,0.0392798,0.0380976666667,"ZDHHC11B",0,0,0,0,0,0,0,1.0380976666667
"Zdhhc11","ZDHHC11",3,0.015979,12,0.0590342,7,0.0392798,0.0380976666667,"ZDHHC11",0,0,0,0,0,0,0,1.0380976666667
"Zdhhc11","AC026740.3",3,0.015979,12,0.0590342,7,0.0392798,0.0380976666667,"ZDHHC11B",0,0,0,0,0,0,0,1.0380976666667
"Zdhhc11","AC026740.3",3,0.015979,12,0.0590342,7,0.0392798,0.0380976666667,"ZDHHC11",0,0,0,0,0,0,0,1.0380976666667
"Zdhhc11","ZDHHC11B",3,0.015979,12,0.0590342,7,0.0392798,0.0380976666667,"ZDHHC11B",0,0,0,0,0,0,0,1.0380976666667
"Zdhhc11","ZDHHC11B",3,0.015979,12,0.0590342,7,0.0392798,0.0380976666667,"ZDHHC11",0,0,0,0,0,0,0,1.0380976666667
"Zdhhc12","ZDHHC12",179,10.2708,209,11.0762,200,12.0899,11.1456333333,"ZDHHC12",0.473641,0.546888,0.446903,16,20,11,0.489144,8.15611742940911
"Zdhhc13","ZDHHC13",885,3.57355,993,3.7034,813,3.45852,3.57849,"ZDHHC13",1.795962,2.640809,1.935994,121,97,92,2.124255,1.46546616713425
"Zdhhc14","ZDHHC14",912,0.54181,960,0.526767,913,0.571435,0.546670666667,"ZDHHC14",0.640436,0.65254,0.752028,59,64,46,0.681668,0.919724146898793
"Zdhhc15","ZDHHC15",956,1.10652,1005,1.07439,868,1.05844,1.07978333333,"ZDHHC15",0.049436,0.040718,0.085135,9,7,11,0.0584296666666667,1.96497074754141
"Zdhhc16","ZDHHC16",543,7.93209,569,7.67706,467,7.18702,7.59872333333,"ZDHHC16",7.093516,11.645325,8.244076,82,104,87,8.99430566666667,0.860362252278189
"Zdhhc17","ZDHHC17",4433,10.0648,4577,9.59808,4291,10.2639,9.97559333333,"ZDHHC17",3.826237,3.792772,5.909937,363,262,285,4.50964866666667,1.99206773377988
"Zdhhc18","ZDHHC18",2857,9.88568,2779,8.88137,2528,9.21547,9.32750666667,"ZDHHC18",24.594321,27.337336,30.69905,234,212,190,27.543569,0.361815534233648
"Zdhhc19","ZDHHC19",21,0.0496087,29,0.0632749,17,0.0423089,0.0517308333333,"ZDHHC19",0.066136,0,0,2,0,0,0.0220453333333333,1.029045189124
"Zdhhc2","ZDHHC2",12922,23.1986,13396,22.2127,11640,22.0155,22.4756,"ZDHHC2",0.297614,0.727379,0.468992,28,32,28,0.497995,15.6713473676481
"Zdhhc20","ZDHHC20",1289,3.47491,1274,3.17216,1191,3.38257,3.34321333333,"ZDHHC20",3.122663,5.3363,9.804605,154,109,122,6.087856,0.612768280468734
"Zdhhc21","ZDHHC21",4561,11.5632,4637,10.858,4309,11.509,11.3100666667,"ZDHHC21",0.65334,0.820248,0.780309,183,159,164,0.751299,7.02910620442312
"Zdhhc22","ZDHHC22",809,12.9876,876,12.9891,696,11.7715,12.5827333333,"ZDHHC22",0.04876,0,0,2,0,0,0.0162533333333333,13.3654994161233
"Zdhhc23","ZDHHC23",559,5.87857,609,5.91524,525,5.81652,5.87011,"ZDHHC23",0.053599,0.028835,0.066959,9,3,9,0.0497976666666667,6.54422296613982
"Zdhhc24","ZDHHC24",653,15.0597,710,15.1236,570,13.8491,14.6774666667,"ZDHHC24",0.366486,0.482231,0.799467,26,30,37,0.549394666666667,10.1184462577428
