"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"Abi3bp","ABI3BP",361,0.263973,384,0.259346,283,0.218013,0.247110666667,"ABI3BP",0.63739,0.657506,0.804077,96,93,82,0.699657666666667,0.733742265354416
"Abitram","ABITRAM",313,6.69429,322,6.36078,287,6.46675,6.50727333333,"ABITRAM",0.446832,0.177343,0.347871,40,22,34,0.324015333333333,5.67008035656939
"Abl1","ABL1",1060,1.4201,1099,1.3599,1067,1.50599,1.42866333333,"ABL1",4.576983,4.469049,5.447473,515,535,499,4.83116833333333,0.416496865550386
"Abl2","ABL2",1484,2.53715,1456,2.29916,1276,2.2983,2.37820333333,"ABL2",1.102341,1.060429,1.307922,344,316,270,1.15689733333333,1.56623279241077
"Ablim1","ABLIM1",6714,3.69285,6858,3.48395,5990,3.47097,3.54925666667,"ABLIM1",34.740714,33.153558,32.594338,6250,5160,4006,33.4962033333333,0.131877024921003
"Ablim2","ABLIM2",1160,1.41661,1357,1.53062,1086,1.39722,1.44815,"ABLIM2",3.791717,5.042325,4.622022,160,167,153,4.48535466666667,0.446306601627218
"Ablim3","ABLIM3",1499,2.06931,1607,2.04896,1438,2.09135,2.06987333333,"ABLIM3",4.102483,4.042407,4.089614,594,546,424,4.078168,0.604523783642054
"Abo","ABO",2,0.0138105,1,0.00637784,0,0,0.00672944666667,"ABO",0,0,0,0,0,0,0,1.00672944666667
"Abr","ABR",7455,5.5945,7535,5.22266,6702,5.29861,5.37192333333,"ABR",2.378324,2.984923,3.713034,327,330,296,3.025427,1.5829186154239
"Abra","ABRA",2,0.0549899,3,0.0761849,1,0.0289666,0.0533804666667,"ABRA",4.116302,4.098666,3.441195,388,344,235,3.88538766666667,0.215618603586771
"Abracl","ABRACL",146,1.88382,163,1.94254,168,2.28371,2.03669,"ABRACL",31.510388,28.625277,45.292012,127,91,115,35.142559,0.0840197839892853
