"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"Abi3","ABI3",692,8.65957,690,7.97506,685,9.03077,8.55513333333,"ABI3",4.448462,2.988214,2.315282,32,27,58,3.25065266666667,2.2479214564532
"Abi3bp","ABI3BP",361,0.263973,384,0.259346,283,0.218013,0.247110666667,"ABI3BP",3.447802,4.118467,6.149729,217,253,738,4.57199933333333,0.223817447214399
"Abitram","ABITRAM",313,6.69429,322,6.36078,287,6.46675,6.50727333333,"ABITRAM",4.436395,6.445182,6.370124,259,305,540,5.750567,1.11209522597583
"Abl1","ABL1",1060,1.4201,1099,1.3599,1067,1.50599,1.42866333333,"ABL1",15.867305,14.205666,13.831194,620,593,1131,14.6347216666667,0.155337804222503
"Abl2","ABL2",1484,2.53715,1456,2.29916,1276,2.2983,2.37820333333,"ABL2",9.492708,8.919461,10.486961,1187,1052,2148,9.63304333333333,0.317708037805106
"Ablim1","ABLIM1",6714,3.69285,6858,3.48395,5990,3.47097,3.54925666667,"ABLIM1",18.968634,18.284863,19.809479,1355,1418,2732,19.020992,0.227224338667634
"Ablim2","ABLIM2",1160,1.41661,1357,1.53062,1086,1.39722,1.44815,"ABLIM2",109.201573,115.610371,124.014649,1362,1436,2893,116.275531,0.0208751985953489
"Ablim3","ABLIM3",1499,2.06931,1607,2.04896,1438,2.09135,2.06987333333,"ABLIM3",4.605573,5.509846,4.850015,275,323,550,4.988478,0.512629975985551
"Abo","ABO",2,0.0138105,1,0.00637784,0,0,0.00672944666667,"ABO",0,0,0.022897,0,0,1,0.00763233333333333,0.999103952268308
"Abr","ABR",7455,5.5945,7535,5.22266,6702,5.29861,5.37192333333,"ABR",96.445357,104.64287,101.505422,5290,5229,9515,100.864549666667,0.0625529033818042
"Abra","ABRA",2,0.0549899,3,0.0761849,1,0.0289666,0.0533804666667,"ABRA",0.100114,0.078888,0.108371,4,3,8,0.095791,0.961296877476362
"Abracl","ABRACL",146,1.88382,163,1.94254,168,2.28371,2.03669,"ABRACL",42.881988,44.811658,33.402148,62,65,139,40.3652646666667,0.0734115936274198
"Abraxas1","ABRAXAS1",143,1.40706,124,1.12692,147,1.52383,1.35260333333,"ABRAXAS1",2.345558,2.82686,3.406936,32,54,91,2.85978466666667,0.609516731243384
"Abraxas2","ABRAXAS2",1114,6.67914,1131,6.26315,981,6.19653,6.37960666667,"ABRAXAS2",10.187231,12.253166,12.786353,307,322,580,11.74225,0.579144708875591
"Abt1","ABT1",202,5.69419,214,5.57172,198,5.88017,5.71536,"ABT1",1.892098,1.920518,1.687743,119,118,202,1.833453,2.37002696003781
"Abtb1","ABTB1",829,21.1939,906,21.3934,773,20.82,21.1357666667,"ABTB1",24.692361,19.56887,20.702411,227,242,499,21.6545473333333,0.977100373757192
"Abtb2","ABTB2",1898,1.93662,2093,1.97248,1792,1.92633,1.94514333333,"ABTB2",2.212097,2.390987,1.905456,108,133,227,2.16951333333333,0.929209952315497
"Acaa1b","ACAA1",234,4.00385,250,3.95091,238,4.29025,4.08167,"ACAA1",0.234331,0.74511,0.407108,5,7,11,0.462183,3.4753994541039
"Acaa2","ACAA2",1153,6.62506,1196,6.34726,1042,6.30771,6.42667666667,"ACAA2",13.854658,15.004313,13.890623,169,170,337,14.2498646666667,0.486999513045077
"Acaca","ACACA",5525,3.15292,5803,3.05863,5229,3.14371,3.11842,"ACACA",11.431742,15.537958,14.799623,1122,1249,2211,13.9231076666667,0.275976029389589
"Acacb","ACACB",288,0.428874,328,0.451134,279,0.437708,0.439238666667,"ACACB",0.795556,0.745748,1.683203,62,49,116,1.07483566666667,0.693663931938867
"Acad11","ACAD11",684,1.6498,782,1.74211,723,1.8372,1.74303666667,"ACAD11",7.734487,8.54042,7.545363,260,304,488,7.94009,0.306824278801444
"Acad12","ACAD10",291,2.0378,312,2.01799,302,2.22802,2.09460333333,"ACAD10",2.971927,1.955368,1.43504,47,42,86,2.12077833333333,0.991612669274278
"Acad8","ACAD8",735,4.48563,751,4.23322,639,4.10848,4.27577666667,"ACAD8",11.891332,9.201428,11.699023,187,185,352,10.9305943333333,0.442205687266544
"Acad9","ACAD9",1057,6.10441,1133,6.04357,966,5.87746,6.00848,"ACAD9",23.593852,25.33424,24.45329,422,420,775,24.4604606666667,0.275269174888718
"Acadl","ACADL",3283,15.708,3290,14.5392,2889,14.5627,14.9366333333,"ACADL",15.043563,14.532741,17.541756,319,331,586,15.70602,0.953945543780026
"Acadm","ACADM",1534,10.6882,1588,10.2194,1361,9.99038,10.2993266667,"ACADM",37.483174,40.525589,45.059684,337,313,591,41.0228156666667,0.268885520578357
"Acads","ACADS",332,5.69511,370,5.8622,310,5.60235,5.71988666667,"ACADS",3.093127,3.878782,3.943631,55,47,120,3.63851333333333,1.4487156085937
"Acadsb","ACADSB",1236,5.00309,1298,4.85276,1148,4.89559,4.91714666667,"ACADSB",104.177341,128.461972,119.388577,629,684,1245,117.34263,0.0500001281589737
"Acadvl","ACADVL",2096,62.2142,2226,61.0265,1855,58.0078,60.4161666667,"ACADVL",18.306587,19.747246,15.996872,385,370,673,18.0169016666667,3.22955693536302
"Acan","ACAN",25,0.0629733,37,0.0860821,32,0.0849201,0.0779918333333,"ACAN",0.614366,0.464376,0.611317,65,34,81,0.563353,0.689538340562432
"Acap1","ACAP1",19,0.211048,28,0.287263,11,0.128725,0.209012,"ACAP1",0,0.108492,0.177938,0,2,7,0.0954766666666667,1.10364012013035
"Acap2","ACAP2",2522,3.59664,2425,3.19418,2265,3.40302,3.39794666667,"ACAP2",40.253599,39.743015,50.029419,1571,1340,3149,43.342011,0.0991823908633733
"Acap3","ACAP3",1843,18.5386,1860,17.2806,1658,17.5703,17.7965,"ACAP3",35.732662,34.21104,38.286445,1186,1304,2426,36.0767156666667,0.506962379542661
"Acat1","ACAT1",2255,11.7209,2540,12.1939,2009,11.0011,11.6386333333,"ACAT1",36.845443,39.308077,35.252442,744,836,1402,37.1353206666667,0.331415420464713
"Acat2","ACAT2",4907,42.6482,5210,41.8232,4290,39.2813,41.2509,"ACAT2",17.578099,21.025242,19.912122,358,390,757,19.5051543333333,2.06050143847572
"Acbd3","ACBD3",1927,10.6203,1892,9.63096,1682,9.76615,10.0058033333,"ACBD3",8.711635,8.351731,8.308599,404,380,741,8.45732166666667,1.16373363635194
"Acbd4","ACBD4",1209,17.8389,1276,17.3895,1043,16.2133,17.1472333333,"ACBD4",41.732106,45.944524,42.770953,202,247,451,43.4825276666667,0.407963177571377
"Acbd5","ACBD5",3686,12.0717,3999,12.0965,3332,11.4964,11.8882,"ACBD5",26.608624,30.755417,29.504275,1046,980,1737,28.9561053333333,0.430236169107697
"Acbd6","ACBD6",803,0.935605,895,0.963152,731,0.897301,0.932019333333,"ACBD6",32.968509,32.791544,33.694855,319,349,678,33.151636,0.05657179449128
"Acbd7","ACBD7",20,0.64322,26,0.772321,13,0.440471,0.618670666667,"ACBD7",0.4743,0.485264,0.373866,2,2,3,0.444476666666667,1.12059315599906
"Accs","ACCS",221,2.08176,241,2.09677,223,2.21303,2.13052,"ACCS",1.881498,1.749502,1.683049,33,31,62,1.77134966666667,1.12960123280486
"Accsl","ACCSL",11,0.123744,13,0.135074,24,0.284438,0.181085333333,"ACCSL",0,0.034594,0.15719,0,1,5,0.063928,1.11011772726444
"Acd","ACD",744,22.0247,762,20.8347,731,22.7981,21.8858333333,"ACD",14.365661,13.762332,12.201474,225,224,391,13.4431556666667,1.58454522415196
"Ace","ACE",138,0.9727,237,1.54292,123,0.913374,1.142998,"ACE",5.506368,4.122808,3.689021,187,217,398,4.439399,0.393976981648156
"Ace2","ACE2",48,0.151766,63,0.183979,43,0.143234,0.159659666667,"ACE2",0.371849,0.51982,0.412893,16,22,36,0.434854,0.808207432022352
"Acer1","ACER1",7,0.0379391,3,0.0150178,5,0.0285498,0.0271689,"ACER1",0,0.031591,0.01834,0,1,1,0.0166436666666667,1.01035292273825
"Acer2","ACER2",164,0.42124,123,0.2918,104,0.281425,0.331488333333,"ACER2",3.947421,3.484479,3.815831,144,102,257,3.74924366666667,0.280357974192452
"Acer3","ACER3",1535,2.07495,1585,1.9789,1417,2.01796,2.02393666667,"ACER3",3.787413,5.229111,4.580194,317,278,569,4.53223933333333,0.5466026475843
"Ache","ACHE",1971,44.0295,2243,46.2787,1766,41.5616,43.9566,"ACHE",40.975505,39.58567,41.793823,506,581,1009,40.7849993333333,1.07590285311161
"Acin1","ACIN1",2198,7.61988,2253,7.214,1930,7.0489,7.29426,"ACIN1",60.779462,47.530941,71.424221,1076,979,2196,59.9115413333333,0.136168939718835
"Ackr1","ACKR1",3242,269.806,3228,248.123,2902,254.437,257.455333333,"ACKR1",166.944778,148.487797,91.03635,319,329,576,135.489641666667,1.89358936089961
"Ackr2","ACKR2",9,0.109818,13,0.14651,5,0.0642753,0.106867766667,"ACKR2",1.395192,2.140758,1.461059,26,41,69,1.66566966666667,0.415230656861959
