"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"Tepsin","TEPSIN",322,6.09405,280,4.89444,272,5.42329,5.47059333333,"TEPSIN",4.864099,5.508507,4.045626,471,110,160,4.80607733333333,1.11445179969988
"Terb1","TERB1",71,0.174387,81,0.183753,68,0.175958,0.178032666667,"TERB1",0.147819,0.225935,0.27463,17,6,12,0.216128,0.968674898256598
"Terb2","TERB2",0,0,3,0.0213686,1,0.00812463,0.00983107666667,"TERB2",0.01266,0,0,1,0,0,0.00422,1.00558749742753
"Terf1","TERF1",422,1.70537,432,1.61245,411,1.74982,1.68921333333,"TERF1",7.06511,6.724493,6.560423,430,113,170,6.783342,0.345508822987606
"Terf2","TERF2",565,3.23019,589,3.11021,524,3.15613,3.16551,"TERF2",8.939273,8.607512,7.966234,770,189,267,8.50433966666667,0.438274529961208
"Terf2ip","TERF2IP",1058,17.9839,1142,17.9291,963,17.2452,17.7194,"TERF2IP",11.572657,11.507428,10.745548,1677,407,625,11.275211,1.52497582322617
"Tert","TERT",29,0.19627,19,0.118769,12,0.0855621,0.1335337,"TERT",0.451207,0.300431,0.0649,16,4,4,0.272179333333333,0.89101722555887
"Tesk1","TESK1",1046,26.5016,1063,24.8753,967,25.8113,25.7294,"TESK1",25.362196,19.09831,22.426528,1718,340,662,22.295678,1.14739738418431
"Tesk2","TESK2",389,0.710234,479,0.80776,450,0.865583,0.794525666667,"TESK2",4.232393,4.057546,2.948139,286,58,115,3.746026,0.37811121697753
"Tesmin","TESMIN",8,0.0654649,8,0.0604649,0,0,0.0419766,"TESMIN",0.073663,0.049723,0.086737,6,1,3,0.070041,0.973772593760426
"Tet1","TET1",262,0.389409,274,0.37614,231,0.36171,0.375753,"TET1",2.696211,2.375018,3.100127,353,73,181,2.72378533333333,0.36945013658145
"Tet2","TET2",401,0.764032,449,0.790148,377,0.75675,0.77031,"TET2",4.416904,3.102626,5.22655,672,154,346,4.24869333333333,0.337285851462713
"Tet3","TET3",1013,1.62572,955,1.41558,846,1.43038,1.49056,"TET3",2.796524,2.860251,2.588052,1295,263,482,2.74827566666667,0.664454864445669
"Tex10","TEX10",752,2.73971,745,2.50691,703,2.69828,2.6483,"TEX10",10.865133,8.824925,9.658446,847,178,332,9.78283466666667,0.338343312568643
"Tex11","TEX11",10,0.0070224,26,0.0168637,19,0.0140567,0.0126476,"TEX11",0,0.039097,0.038615,0,1,2,0.025904,0.987078323117953
"Tex12","TEX12",2,0.0688747,2,0.0636142,2,0.072561,0.0683499666667,"TEX12",0,0,0,0,0,0,0,1.0683499666667
"Tex14","TEX14",19,0.0195608,20,0.0190177,27,0.0292847,0.0226210666667,"TEX14",0.953808,2.119608,0.800002,52,27,20,1.29113933333333,0.446337353555407
"Tex15","TEX15",14,0.0315626,21,0.0437279,26,0.0617535,0.0456813333333,"TEX15",0.121284,0.090024,0.122063,24,8,17,0.111123666666667,0.941102565540979
"Tex19.1","TEX19",2,0.14259,3,0.197549,1,0.0751108,0.1384166,"TEX19",0.141285,0,0.037715,4,0,1,0.0596666666666667,1.07431575967285
"Tex2","TEX2",5888,8.21258,6050,7.79403,5550,8.15546,8.05402333333,"TEX2",54.754164,57.482273,50.564102,9493,2294,3477,54.2668463333333,0.163823773817708
"Tex22","TEX22",4,0.0430658,3,0.0298324,6,0.0680562,0.0469848,"TEX22",0.089412,0,0,2,0,0,0.029804,1.01668356308579
"Tex26","TEX26",10,0.0495559,8,0.0366168,8,0.0417666,0.0426464333333,"TEX26",0.083483,0.123265,0.714549,3,1,3,0.307099,0.797679772789437
"Tex261","AC007040.2",1819,40.7455,1843,38.13,1662,39.2212,39.3655666667,"TEX261",50.108882,45.072741,44.57638,3064,645,1087,46.586001,0.848265578498601
"Tex261","TEX261",1819,40.7455,1843,38.13,1662,39.2212,39.3655666667,"TEX261",50.108882,45.072741,44.57638,3064,645,1087,46.586001,0.848265578498601
"Tex264","TEX264",1675,9.56424,1684,8.88122,1446,8.69857,9.04801,"TEX264",66.611385,50.911937,62.971168,2381,445,869,60.16483,0.164277575855275
"Tex29","TEX29",5,0.0507617,0,0,5,0.0534786,0.0347467666667,"TEX29",0,0,0,0,0,0,0,1.0347467666667
"Tex30","TEX30",134,1.31392,134,1.21357,109,1.12599,1.21782666667,"TEX30",7.449908,10.202958,8.414663,146,39,60,8.68917633333333,0.228897337644696
"Tex33","TEX33",1,0.0088625,1,0.00818561,2,0.0186737,0.01190727,"TEX33",0,0,0,0,0,0,0,1.01190727
"Tex35","TEX35",5,0.0813294,9,0.135212,15,0.257047,0.1578628,"TEX35",0.119895,0.427712,0,3,2,0,0.182535666666667,0.979135625789441
"Tex38","TEX38",3,0.392934,3,0.362923,4,0.551954,0.435937,"TEX38",0.119906,0.329042,0.307544,3,2,3,0.252164,1.14676432160643
"Tex43","TEX43",1,0.024127,1,0.0222843,2,0.0508367,0.032416,"TEX43",0,0,0,0,0,0,0,1.032416
"Tex45","TEX45",10,0.0951036,15,0.13176,6,0.0601163,0.0956599666667,"TEX45",0.051714,0.071094,0.044256,3,1,1,0.055688,1.03786342808358
"Tex46","TEX46",0,0,0,0,1,0.058608,0.019536,"TEX46",0,0,0,0,0,0,0,1.019536
"Tex47","TEX47",1,0.021051,0,0,0,0,0.007017,"TEX47",0,0,0,0,0,0,0,1.007017
"Tex48","TEX48",6,0.0607076,2,0.0186903,4,0.0426379,0.0406786,"TEX48",0.157424,0,0,3,0,0,0.0524746666666667,0.988792065937296
"Tex52","TEX52",11,0.17621,11,0.162752,12,0.202518,0.180493333333,"TEX52",0.05499,0,0.077451,2,0,1,0.044147,1.13058154966015
"Tex55","AC083800.1",1,0.00938159,0,0,3,0.0296512,0.01301093,"",0,0,0,0,0,0,0,1.01301093
"Tex9","TEX9",468,1.73696,444,1.52202,429,1.67743,1.64547,"TEX9",9.612763,5.219994,7.41817,529,124,222,7.41697566666667,0.314301728407832
"Tfam","TFAM",535,6.47865,582,6.50951,526,6.71058,6.56624666667,"TFAM",17.606542,18.501816,15.665045,756,210,303,17.257801,0.414411717307577
"Tfap2a","TFAP2A",62,0.41703,71,0.441091,61,0.432264,0.430128333333,"TFAP2A",0.693114,0.986595,0.957784,78,23,34,0.879164333333333,0.761044847416928
"Tfap2b","TFAP2B",1,0.00523241,1,0.00483278,0,0,0.00335506333333,"TFAP2B",0.004105,0,0,1,0,0,0.00136833333333333,1.00198401520586
"Tfap2d","TFAP2D",117,0.286766,145,0.32825,129,0.333101,0.316039,"TFAP2D",0,0,0.115599,0,0,1,0.038533,1.26720961202003
"Tfap2e","TFAP2E",7,0.0536923,3,0.0212535,4,0.0323235,0.0357564333333,"TFAP2E",0.014423,0,0.032989,1,0,1,0.015804,1.01964201099159
"Tfap4","TFAP4",78,0.796782,100,0.943495,81,0.871714,0.870663666667,"TFAP4",2.02657,2.60736,1.474729,120,34,35,2.03621966666667,0.616116049574476
"Tfb1m","TFB1M",403,1.62356,463,1.72282,372,1.57888,1.64175333333,"TFB1M",9.582987,10.60923,7.686342,496,102,160,9.292853,0.256658997590853
"Tfb2m","TFB2M",666,5.67557,651,5.12403,596,5.35089,5.38349666667,"TFB2M",23.69063,35.432156,24.599859,909,198,387,27.9075483333333,0.220824560874614
"Tfcp2","TFCP2",600,1.72464,637,1.69115,520,1.57469,1.66349333333,"TFCP2",8.622923,9.735343,11.400422,819,220,351,9.91956266666667,0.243919414598961
"Tfcp2l1","TFCP2L1",17,0.0461092,30,0.0751545,16,0.0457196,0.0556611,"TFCP2L1",0.047663,0.051529,0.070057,19,5,11,0.0564163333333333,0.999285098772611
"Tfdp1","TFDP1",943,3.68689,965,3.48474,839,3.45585,3.54249333333,"TFDP1",17.759103,19.604548,19.492961,1090,255,409,18.952204,0.227668749443921
"Tfdp2","TFDP2",1272,1.54999,1321,1.48676,1169,1.50073,1.51249333333,"TFDP2",10.350253,8.969451,12.957732,1799,372,667,10.7591453333333,0.213662920400167
"Tfe3","TFE3",1002,12.3008,1109,12.5746,899,11.6271,12.1675,"TFE3",22.968111,27.718007,24.467784,1621,401,706,25.0513006666667,0.505445012841457
"Tfeb","TFEB",205,0.574433,206,0.533148,195,0.575658,0.561079666667,"TFEB",11.015302,4.935185,7.537397,258,63,91,7.82929466666667,0.176806837420498
"Tfec","TFEC",33,0.0787149,28,0.0616873,23,0.0577982,0.0660668,"TFEC",0,0.029548,0,0,1,0,0.00984933333333333,1.05566916252854
"Tfg","TFG",2771,15.8591,2889,15.2716,2367,14.272,15.1342333333,"TFG",136.89041,117.759511,123.46592,3832,918,1383,126.038613666667,0.127002592893797
"Tfip11","TFIP11",1145,15.1685,1291,15.7964,1113,15.5338,15.4995666667,"TFIP11",19.900119,20.595755,19.672981,1937,433,738,20.056285,0.783593433822728
"Tfpi","TFPI",99,0.349848,124,0.404726,84,0.312729,0.355767666667,"TFPI",2.414873,1.988885,2.360118,127,26,46,2.25462533333333,0.416566433248538
"Tfpi2","TFPI2",20,0.117918,16,0.0871291,13,0.0807488,0.0952653,"TFPI2",0.058994,0,0.150319,2,0,1,0.069771,1.02383154899507
"Tfpt","TFPT",235,3.79701,277,4.1338,237,4.03429,3.98836666667,"TFPT",41.570534,38.95788,33.036319,380,88,119,37.854911,0.128384457415692
"Tfr2","TFR2",71,0.624637,75,0.609432,65,0.602458,0.612175666667,"TFR2",3.568094,4.733108,0.994847,142,32,32,3.098683,0.393339925694912
"Tfrc","TFRC",5081,33.0311,5043,30.2801,4818,32.9978,32.103,"TFRC",45.131373,37.632549,48.370319,6439,1621,2698,43.7114136666667,0.74037023849861
"Tg","TG",24,0.0206981,33,0.0262862,22,0.0199888,0.0223243666667,"TG",0.087496,0.365673,0,6,1,0,0.151056333333333,0.888161888398772
"Tgds","TGDS",198,1.47428,187,1.28603,140,1.09821,1.28617333333,"TGDS",1.750513,1.749703,2.716828,110,27,45,2.072348,0.744112754587046
"Tgfa","TGFA",409,0.788607,423,0.753308,375,0.76175,0.767888333333,"TGFA",2.670282,2.682546,2.712244,498,122,201,2.68835733333333,0.479315905038756
"Tgfb1","TGFB1",75,0.643985,87,0.689968,62,0.560855,0.631602666667,"TGFB1",1.236199,0.889006,1.289114,93,17,46,1.13810633333333,0.763106418623863
"Tgfb1i1","TGFB1I1",1049,18.3184,1173,18.9193,978,17.9927,18.4101333333,"TGFB1I1",26.172757,21.403971,24.007885,1794,361,670,23.8615376666667,0.780729397897392
"Tgfb2","TGFB2",226,0.421612,251,0.432487,205,0.402904,0.419001,"TGFB2",2.621465,4.878953,2.577022,326,83,145,3.35914666666667,0.325522655810311
"Tgfb3","TGFB3",520,3.61971,583,3.7483,511,3.74745,3.70515333333,"TGFB3",6.029604,4.869471,4.707915,858,168,261,5.20233,0.758610608163384
"Tgfbi","TGFBI",724,3.74072,861,4.1088,700,3.8103,3.88660666667,"TGFBI",8.709828,11.960019,8.668865,915,313,365,9.77957066666667,0.453321084649568
"Tgfbr1","TGFBR1",736,1.85114,762,1.77015,647,1.71439,1.77856,"TGFBR1",4.215596,4.562917,4.730269,906,240,394,4.50292733333333,0.504923985306729
"Tgfbr2","TGFBR2",785,1.33789,907,1.42775,781,1.40232,1.38932,"TGFBR2",5.165913,5.091553,5.618542,1164,284,505,5.29200266666667,0.379739190616999
"Tgfbr3","TGFBR3",1297,1.09967,1374,1.07598,1259,1.12459,1.10008,"TGFBR3",6.673928,7.32493,8.362364,1617,429,705,7.45374066666667,0.248420206250314
"Tgfbr3l","TGFBR3L",64,3.09451,69,3.08146,54,2.75074,2.97557,"TGFBR3L",3.516147,2.680943,3.287322,104,21,40,3.16147066666667,0.955328132394221
"Tgfbrap1","TGFBRAP1",1589,4.79465,1668,4.64862,1513,4.80968,4.75098333333,"TGFBRAP1",10.503893,9.333809,10.708999,2314,506,915,10.1822336666667,0.514296472848105
"Tgif1","TGIF1",102,1.69464,96,1.47314,80,1.40027,1.52268333333,"TGIF1",2.20777,3.264429,2.148076,125,34,48,2.54009166666667,0.712603957994496
"Tgif2","TGIF2",209,2.08421,217,1.99871,182,1.9121,1.99834,"TGIF2",2.183252,2.778331,3.296835,154,36,69,2.752806,0.798959498572535
"Tgm1","TGM1",13,0.144972,3,0.0308998,11,0.129234,0.101701933333,"TGM1",0.059075,0.258576,0.022578,7,3,1,0.113409666666667,0.989484792808817
"Tgm2","TGM2",286,1.47794,317,1.51302,333,1.81292,1.60129333333,"TGM2",5.775255,3.545159,3.853024,437,124,171,4.391146,0.4825121288368
"Tgm3","AL121899.2",5,0.0203949,2,0.00753487,6,0.0257838,0.0179045233333,"",0.041098,0.023566,0.065471,7,1,4,0.0433783333333333,0.975585260699586
"Tgm3","AL121899.2",5,0.0203949,2,0.00753487,6,0.0257838,0.0179045233333,"TGM3",0.041098,0.023566,0.065471,7,1,4,0.0433783333333333,0.975585260699586
"Tgm3","TGM3",5,0.0203949,2,0.00753487,6,0.0257838,0.0179045233333,"",0.041098,0.023566,0.065471,7,1,4,0.0433783333333333,0.975585260699586
"Tgm3","TGM3",5,0.0203949,2,0.00753487,6,0.0257838,0.0179045233333,"TGM3",0.041098,0.023566,0.065471,7,1,4,0.0433783333333333,0.975585260699586
"Tgm4","TGM4",172,0.813009,189,0.825132,164,0.816685,0.818275333333,"TGM4",1.765646,2.094845,2.578022,100,24,49,2.146171,0.577932773944264
"Tgm5","TGM5",33,0.128914,29,0.104636,31,0.127583,0.120377666667,"TGM5",0.437435,0.347051,0.575734,43,9,24,0.453406666666667,0.770863167455083
"Tgm6","TGM6",1,0.00371163,7,0.023997,2,0.00782056,0.0118430633333,"TGM6",0,0,0,0,0,0,0,1.0118430633333
"Tgm7","TGM7",14,0.0951702,16,0.100459,13,0.0931023,0.0962438333333,"TGM7",0.129191,0.096721,0.150807,11,2,5,0.125573,0.973942901378498
"Tgoln1","TGOLN2",8447,152.999,8450,141.364,7752,147.926,147.429666667,"TGOLN2",57.681058,52.416789,54.813027,12150,2713,4537,54.9702913333333,2.65193664587202
"Tgs1","TGS1",815,3.03019,858,2.94642,707,2.76934,2.91531666667,"TGS1",10.014142,9.377989,9.742681,1038,267,404,9.711604,0.365521043036132
"Th","TH",1904,7.70039,2247,8.39352,1779,7.57994,7.89128333333,"TH",88.509655,89.455447,85.491662,3831,878,1241,87.8189213333333,0.100105734227073
"Thada","THADA",496,0.278795,536,0.278268,465,0.27536,0.277474333333,"THADA",2.52889,2.154448,2.113248,548,109,170,2.26552866666667,0.391199852683272
"Thap1","THAP1",209,5.39655,247,5.89063,190,5.16854,5.48524,"THAP1",5.211634,4.355384,5.362468,299,69,121,4.97649533333333,1.0851242472874
"Thap11","THAP11",339,28.9257,307,24.1945,276,24.8106,25.9769333333,"THAP11",7.085777,4.527976,6.402157,496,77,185,6.00530333333333,3.8509300810624
"Thap2","AC073612.1",720,6.96699,641,5.72882,512,5.21947,5.97176,"",4.055473,3.269765,4.731336,753,166,265,4.018858,1.38911282208024
"Thap3","THAP3",200,4.88155,225,5.07231,185,4.75712,4.90366,"THAP3",7.255197,8.463137,10.240316,226,65,109,8.65288333333333,0.611595499099578
"Thap4","THAP4",368,1.0791,367,0.993976,349,1.07816,1.050412,"THAP4",11.538034,8.392494,12.637894,527,95,199,10.8561406666667,0.172940930581627
"Thap7","THAP7",303,14.906,319,14.4945,347,17.9842,15.7949,"THAP7",28.582321,23.481022,24.893176,545,104,203,25.652173,0.630151245078591
"Thbd","THBD",565,23.5544,608,23.4111,524,23.0144,23.3266333333,"THBD",4.481491,5.140195,5.160381,702,197,317,4.92735566666667,4.10412917687803
"Thbs1","THBS1",220,2.23791,280,2.63071,194,2.07905,2.31589,"THBS1",0.852787,1.775285,2.212063,214,91,115,1.61337833333333,1.26881361099012
"Thbs2","THBS2",168,0.907402,174,0.86803,145,0.825093,0.866841666667,"THBS2",0.767994,1.397351,0.949655,193,86,93,1.03833333333333,0.915866721177596
"Thbs3","THBS3",199,2.64939,219,2.69297,181,2.53872,2.62702666667,"THBS3",8.003649,10.718501,9.70476,239,73,108,9.47563666666667,0.346234485032413
"Thbs4","THBS4",141,0.506245,211,0.699712,180,0.680861,0.628939333333,"THBS4",2.088255,1.861943,2.53344,247,60,95,2.16121266666667,0.515289385782017
"Theg","THEG",2,0.0283409,1,0.0130882,0,0,0.0138097,"THEG",0.098386,0.406293,0,1,1,0,0.168226333333333,0.867819592036817
"Thegl","THEGL",13,0.0443386,17,0.0535528,16,0.0574914,0.0517942666667,"THEGL",0.111911,0.461307,0,4,4,0,0.191072666666667,0.883064733246082
"Them4","THEM4",990,6.8438,902,5.75922,811,5.90645,6.16982333333,"THEM4",16.444103,13.203886,17.05185,1111,219,453,15.566613,0.432787518687737
"Them5","THEM5",59,1.74293,84,2.29193,78,2.42754,2.15413333333,"THEM5",1.820838,2.195587,1.534904,82,24,27,1.850443,1.10654145104112
"Them6","THEM6",2857,129.055,3139,130.963,2775,132.06,130.692666667,"THEM6",71.394266,64.880828,70.063175,4756,1032,1947,68.779423,1.88727078851025
"Themis","THEMIS",11,0.00792401,10,0.00665345,7,0.00531244,0.00662996666667,"THEMIS",1.423835,1.513431,1.33666,66,17,25,1.424642,0.415166431442939
"Themis2","THEMIS2",24,0.256103,22,0.216831,13,0.146147,0.206360333333,"THEMIS2",0.116657,0.288914,0.179524,15,9,9,0.195031666666667,1.00947980457952
"Thg1l","THG1L",174,3.1214,177,2.93271,131,2.4758,2.84330333333,"THG1L",3.676528,5.483716,3.095343,280,84,103,4.08519566666667,0.755782783054497
"Thnsl1","THNSL1",561,9.37673,569,8.78406,507,8.92771,9.0295,"THNSL1",9.52001,10.835966,8.480847,824,173,301,9.61227433333333,0.945084878601109
"Thnsl2","THNSL2",177,1.68809,212,1.86747,187,1.87892,1.81149333333,"THNSL2",6.035375,6.77738,5.127757,322,63,122,5.98017066666667,0.402782892796031
"Thoc1","THOC1",1768,7.30123,1795,6.84657,1505,6.54779,6.89853,"THOC1",25.768226,28.679491,32.315033,852,238,391,28.9209166666667,0.263980214509916
"Thoc2","THOC2",1462,1.80545,1360,1.55121,1337,1.73945,1.69870333333,"THOC2",40.162054,47.690548,42.24117,1586,368,663,43.3645906666667,0.0608301190831829
"Thoc3","THOC3",669,10.37,704,10.0791,639,10.4351,10.2947333333,"THOC3",11.967507,10.871604,12.734902,1029,246,442,11.8580043333333,0.878420401836335
"Thoc5","THOC5",683,3.15988,702,2.99973,677,3.29976,3.15312333333,"THOC5",13.169762,12.616494,12.526774,1012,237,383,12.77101,0.301584512198452
"Thoc6","THOC6",299,8.80765,303,8.24378,266,8.25495,8.43546,"THOC6",7.598158,7.427519,7.602359,379,84,142,7.54267866666667,1.1045083595169
"Thoc7","THOC7",870,10.5157,899,10.0363,836,10.6456,10.3992,"THOC7",81.443023,85.713114,78.277608,1156,276,432,81.8112483333333,0.137652797529579
"Thop1","THOP1",992,12.2928,1157,13.2424,966,12.6113,12.7155,"THOP1",25.197463,25.896868,25.11037,1604,373,666,25.401567,0.519495679934452
"Thpo","THPO",5,0.077157,3,0.0427584,4,0.0650293,0.0616482333333,"THPO",0.016721,0.142212,0.088629,1,2,1,0.0825206666666667,0.980718674501026
"Thra","THRA",5749,31.4532,6501,32.851,5374,30.9752,31.7598,"THRA",134.705348,126.779625,141.477889,9115,2029,3360,134.320954,0.242089632327008
"Thrap3","THRAP3",2593,10.4051,2749,10.1885,2416,10.2137,10.2691,"THRAP3",64.710657,56.117546,77.37358,3840,923,1393,66.067261,0.168026840994744
"Thrb","THRB",253,0.10393,256,0.0971304,263,0.11382,0.104960133333,"THRB",3.516304,3.944949,3.778685,299,73,121,3.746646,0.232787558485086
"Thrsp","THRSP",228,7.3832,240,7.1782,207,7.06194,7.20778,"THRSP",6.087574,6.333179,8.543988,285,72,156,6.988247,1.0274819994925
"Thsd1","THSD1",166,0.757295,164,0.691028,176,0.84589,0.764737666667,"THSD1",1.296836,1.233865,1.26475,197,45,71,1.26515033333333,0.779081918183355
"Thsd4","THSD4",357,0.0998163,394,0.101748,376,0.110755,0.104106433333,"THSD4",0.996224,0.908552,1.343282,316,77,139,1.082686,0.530135811799282
"Thsd7a","THSD7A",4092,1.45069,4191,1.37231,3437,1.2837,1.3689,"THSD7A",18.278681,15.609395,17.916949,5049,1109,2048,17.2683416666667,0.129672415987403
"Thsd7b","THSD7B",1616,0.265142,1890,0.286413,1603,0.277086,0.276213666667,"THSD7B",3.886931,5.685251,3.390843,771,224,314,4.32100833333333,0.239844327751225
"Thtpa","THTPA",496,18.3164,530,18.0771,462,17.974,18.1225,"THTPA",6.651713,6.535622,6.299268,780,186,288,6.49553433333333,2.55118569932506
"Thumpd1","THUMPD1",896,24.3721,934,23.4653,811,23.2407,23.6927,"THUMPD1",11.891825,13.157903,11.996279,1286,343,505,12.348669,1.84982487767132
"Thumpd2","THUMPD2",78,0.312413,92,0.340343,77,0.324914,0.32589,"THUMPD2",0.764622,0.869624,0.86746,55,15,25,0.833902,0.722988469394766
"Thumpd3","THUMPD3",1024,7.20822,1040,6.76171,963,7.14165,7.03719333333,"THUMPD3",26.075173,24.188067,26.269607,1326,328,511,25.510949,0.303165055816372
"Thy1","THY1",12788,381.989,14027,386.997,11994,377.447,382.144333333,"THY1",997.032275,870.922721,909.838494,22447,4997,8360,925.931163333333,0.413347127045741
"Thyn1","THYN1",759,15.4456,760,14.2847,635,13.6138,14.4480333333,"THYN1",38.422761,37.767582,42.816,998,236,415,39.668781,0.379849923047853
"Tia1","TIA1",1083,5.75912,1105,5.42731,982,5.50152,5.56265,"TIA1",16.811893,16.211795,20.994129,1371,358,568,18.005939,0.345294699725175
"Tial1","TIAL1",1557,11.0141,1556,10.1663,1407,10.4857,10.5553666667,"TIAL1",30.948032,31.736906,32.562732,1951,518,792,31.7492233333333,0.352843991110425
"Tiam1","TIAM1",491,0.213671,529,0.212625,427,0.195765,0.207353666667,"TIAM1",3.928867,11.232293,12.385285,390,96,148,9.18214833333333,0.118575533093982
"Tiam2","TIAM2",1098,0.83224,1141,0.79878,894,0.713884,0.781634666667,"TIAM2",3.582441,4.139928,4.132572,705,153,256,3.951647,0.359806477858175
"Ticam1","TICAM1",162,3.36688,149,2.86018,151,3.30623,3.17776333333,"TICAM1",2.110946,2.23758,1.844277,265,68,90,2.06426766666667,1.36338067942824
"Ticrr","TICRR",3,0.0122685,9,0.0339945,3,0.0129252,0.0197294,"TICRR",0.247475,0.582127,0.350143,47,12,27,0.393248333333333,0.731907855622771
"Tie1","TIE1",263,2.16311,263,1.9979,218,1.88896,2.01665666667,"TIE1",1.950013,2.176586,2.301089,327,92,148,2.14256266666667,0.959935246055024
"Tifa","TIFA",4793,17.5618,5091,17.229,4539,17.5213,17.4373666667,"TIFA",7.560796,7.561948,11.392089,515,114,307,8.83827766666667,1.87404414587404
"Tifab","TIFAB",71,2.12656,89,2.46209,72,2.27194,2.28686333333,"TIFAB",0.97999,1.074517,1.023759,119,31,46,1.02608866666667,1.62227023298915
"Tigar","TIGAR",1598,10.1475,1573,9.2258,1434,9.59342,9.65557333333,"TIGAR",16.095383,13.770188,14.151423,2267,512,828,14.6723313333333,0.679897145274536
"Tigd2","TIGD2",305,14.9617,329,14.9063,279,14.4188,14.7622666667,"TIGD2",3.616274,4.671968,3.620473,430,137,172,3.96957166666667,3.17175558055138
"Tigd3","TIGD3",17,0.876014,15,0.713918,23,1.24863,0.946187333333,"TIGD3",0.467711,0.493776,0.45486,40,10,15,0.472115666666667,1.32203425138446
"Tigd4","TIGD4",5,0.224355,4,0.165776,6,0.283636,0.224589,"TIGD4",0.094271,0,0.091903,13,0,5,0.062058,1.15303401509145
"Tigd5","TIGD5",87,2.81258,86,2.5679,72,2.45223,2.61090333333,"TIGD5",0.704696,0.426742,0.79974,143,21,65,0.643726,2.19677934967872
"Tigit","TIGIT",3,0.030473,5,0.0469093,4,0.0428053,0.0400625333333,"TIGIT",0.318449,0,0.45018,10,0,5,0.256209666666667,0.827937056154878
"Timd4","TIMD4",7,0.0323998,5,0.0213752,6,0.0292577,0.0276775666667,"TIMD4",0.035186,0.095371,0.059757,3,2,2,0.063438,0.966372808444592
"Timm10","TIMM10",358,17.2723,416,18.5376,344,17.4851,17.765,"TIMM10",31.657685,33.023222,34.749936,596,140,237,33.1436143333333,0.549590322125925
"Timm13","TIMM13",1049,107.115,1137,107.233,970,104.349,106.232333333,"TIMM13",127.602487,111.56441,107.481443,1747,339,577,115.549446666667,0.920058708126571
"Timm17a","TIMM17A",2674,22.3542,2727,21.0561,2435,21.4458,21.6187,"TIMM17A",132.396473,170.418401,117.184978,4074,1036,1576,139.999950666667,0.160416368183505
"Timm17b","TIMM17B",302,5.21102,315,5.0202,306,5.56264,5.26462,"TIMM17B",23.692301,15.163729,21.060621,477,102,200,19.972217,0.29871043199677
"Timm21","TIMM21",205,5.9651,229,6.15452,198,6.06978,6.06313333333,"TIMM21",10.350502,12.715745,9.964865,287,79,119,11.0103706666667,0.588086207275257
"Timm22","TIMM22",679,11.2822,750,11.5101,601,10.5206,11.1043,"TIMM22",46.274918,43.93041,41.890315,1069,250,409,44.031881,0.268794012846143
"Timm23","TIMM23B",1263,9.01822,1343,8.85703,1120,8.42518,8.76681,"TIMM23B",29.840991,23.502317,31.66451,1200,213,474,28.3359393333333,0.332929854027287
"Timm23","TIMM23B",1263,9.01822,1343,8.85703,1120,8.42518,8.76681,"TIMM23",29.840991,23.502317,31.66451,1200,213,474,28.3359393333333,0.332929854027287
"Timm23","TIMM23",1263,9.01822,1343,8.85703,1120,8.42518,8.76681,"TIMM23B",29.840991,23.502317,31.66451,1200,213,474,28.3359393333333,0.332929854027287
"Timm23","TIMM23",1263,9.01822,1343,8.85703,1120,8.42518,8.76681,"TIMM23",29.840991,23.502317,31.66451,1200,213,474,28.3359393333333,0.332929854027287
"Timm29","TIMM29",1297,61.9594,1287,56.7859,1192,59.9912,59.5788333333,"TIMM29",15.138963,14.979945,15.673813,1867,446,793,15.2642403333333,3.72466417685335
"Timm44","TIMM44",756,7.2507,799,7.07782,714,7.2144,7.18097333333,"TIMM44",30.355915,21.036076,33.409301,1123,254,423,28.2670973333333,0.279528005123091
"Timm50","TIMM50",409,9.68133,465,10.1662,420,10.4738,10.10711,"TIMM50",20.047982,21.381391,28.332728,634,158,293,23.2540336666667,0.45794898088498
"Timm8b","TIMM8B",600,65.9996,716,72.7441,578,66.9826,68.5754333333,"TIMM8B",85.970181,68.395929,77.716086,1034,200,365,77.360732,0.887886465038382
"Timm9","TIMM9",592,6.80016,585,6.20652,485,5.86926,6.29198,"TIMM9",27.583282,26.316571,23.500957,668,151,241,25.80027,0.272086064804571
"Timmdc1","TIMMDC1",607,3.87432,634,3.73759,587,3.9472,3.85303666667,"TIMMDC1",12.694239,11.548932,13.509239,727,164,306,12.5841366666667,0.357257644394773
"Timp1","TIMP1",52,1.76605,88,2.76044,82,2.93399,2.48682666667,"TIMP1",1.700037,1.244837,1.260597,45,8,13,1.40182366666667,1.45174132267134
"Timp2","TIMP2",19926,56.5682,20399,53.4879,17998,53.8295,54.6285333333,"TIMP2",251.449039,225.249885,251.074696,31605,6882,12442,242.591206666667,0.228368396768208
"Timp3","TIMP3",6988,22.0739,7464,21.7767,6606,21.9841,21.9449,"TIMP3",49.583172,51.106376,52.939474,9576,2411,4039,51.209674,0.439476025075353
"Timp4","TIMP4",201,3.02473,231,3.21068,217,3.44028,3.22523,"TIMP4",0.089918,0.331255,0.190791,21,8,11,0.203988,3.50936221955701
