"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"Abcf2","ABCF2",2279,29.1777,2356,27.8597,2138,28.8376,28.625,"ABCF2-H2BE1",34.216991,31.769168,33.397482,3604,812,1372,33.1278803333333,0.868058599322523
"Abcf2","ABCF2",2279,29.1777,2356,27.8597,2138,28.8376,28.625,"ABCF2",34.216991,31.769168,33.397482,3604,812,1372,33.1278803333333,0.868058599322523
"Abcf3","ABCF3",1658,20.0997,1764,19.7514,1555,19.86,19.9037,"ABCF3",239.440985,240.481862,262.081136,2543,620,992,247.334661,0.0841755231260287
"Abcg1","ABCG1",1593,4.09935,1599,3.80051,1512,4.09916,3.99967333333,"ABCG1",18.773829,17.063098,18.789429,2286,536,842,18.2087853333333,0.260280556348036
"Abcg3","ABCG2",15,0.0488468,7,0.0210541,8,0.027446,0.0324489666667,"ABCG2",0.086155,0.200865,0.045136,10,6,2,0.110718666666667,0.929532380836942
"Abcg4","ABCG4",1301,13.0883,1303,12.1073,1252,13.2695,12.8217,"ABCG4",18.519571,16.468391,21.177021,2011,443,752,18.721661,0.700838534847547
"Abcg5","ABCG5",4,0.0250559,2,0.0115711,1,0.00659925,0.01440875,"ABCG5",0.010563,0.043488,0,1,1,0,0.018017,0.996455609287468
"Abcg8","ABCG8",12,0.0775012,28,0.167024,7,0.0476287,0.0973846333333,"ABCG8",0.091383,0.209021,0.104162,14,7,6,0.134855333333333,0.966981958933943
"Abhd1","ABHD1",387,11.951,427,12.1792,372,12.1027,12.0776333333,"ABHD1",0.248361,0.11232,0.155026,13,1,3,0.171902333333333,11.1593201594729
"Abhd10","ABHD10",1071,12.5636,1157,12.5358,989,12.2226,12.4406666667,"ABHD10",17.746552,16.650794,17.367814,1666,373,628,17.2550533333333,0.736271016100382
"Abhd11","ABHD11",473,24.2771,487,23.0865,430,23.2513,23.5383,"ABHD11",21.328858,20.942596,21.510674,760,193,291,21.2607093333333,1.10231437967955
"Abhd12","ABHD12",4726,10.1526,5063,10.0459,4747,10.7436,10.3140333333,"ABHD12",214.181303,199.363481,208.134202,7251,1684,2832,207.226328666667,0.0543352678104975
"Abhd12b","ABHD12B",2,0.0104356,3,0.0144579,3,0.0164913,0.0137949333333,"ABHD12B",0.170078,0.151447,0.182774,12,2,5,0.168099666666667,0.867901055246684
"Abhd13","ABHD13",535,5.74689,566,5.61553,432,4.88885,5.41709,"ABHD13",3.425154,2.566317,3.608387,713,132,298,3.19995266666667,1.52789579057161
"Abhd14a","ABHD14A",570,11.5979,581,10.9189,552,11.8329,11.4499,"ABHD14A",19.7553,20.709479,18.454951,796,192,283,19.63991,0.603195459670125
"Abhd14b","ABHD14B",506,14.3707,541,14.1912,507,15.1698,14.5772333333,"ABHD14B",18.377497,14.011024,14.704548,754,156,268,15.6976896666667,0.932897523206254
"Abhd15","ABHD15",4270,28.2174,4193,25.5923,3798,26.4416,26.7504333333,"ABHD15",1.258226,1.963905,0.849918,121,26,37,1.35734966666667,11.771878277413
"Abhd16a","ABHD16A",1791,20.2535,1984,20.7225,1609,19.1692,20.0484,"ABHD16A",70.646955,78.385633,75.72245,2758,659,1094,74.918346,0.2772505080656
"Abhd16b","ABHD16B",3,0.262325,1,0.0807632,0,0,0.114362733333,"ABHD16B",0.100346,0.059159,0.073675,7,1,2,0.0777266666666667,1.03399383888277
"Abhd17a","ABHD17A",1543,35.8085,1615,34.6169,1432,35.0113,35.1455666667,"ABHD17A",54.32776,41.861233,48.254641,1996,396,869,48.147878,0.735445112537717
"Abhd17b","ABHD17B",1336,6.38953,1370,6.0517,1170,5.89511,6.11211333333,"ABHD17B",22.041201,20.581638,22.935141,1825,435,732,21.85266,0.311215995570319
"Abhd17c","ABHD17C",525,1.91558,552,1.86026,478,1.83743,1.87109,"ABHD17C",11.283472,13.469857,8.899621,714,148,294,11.21765,0.234995273231759
"Abhd18","ABHD18",959,1.63263,905,1.42303,804,1.44202,1.49922666667,"ABHD18",3.17983,3.46159,2.752458,273,75,108,3.13129266666667,0.604950282712965
"Abhd2","ABHD2",7430,12.4927,7511,11.6644,6700,11.8683,12.0084666667,"ABHD2",36.723837,35.505954,38.19751,10887,2566,4419,36.8091003333333,0.344056498356599
"Abhd3","ABHD3",538,1.29101,575,1.27441,531,1.34241,1.30261,"ABHD3",14.353249,12.050526,13.142816,749,205,280,13.182197,0.16235918877731
"Abhd4","ABHD4",2599,24.5221,2698,23.5119,2384,23.6974,23.9104666667,"ABHD4",50.359455,48.462447,50.512159,4010,834,1505,49.7780203333333,0.490575774777645
"Abhd5","ABHD5",1118,5.80017,1136,5.44342,953,5.20878,5.48412333333,"ABHD5",30.875776,28.899154,33.675929,1450,328,540,31.1502863333333,0.201681666723051
"Abhd6","ABHD6",696,2.0056,708,1.88435,682,2.07044,1.98679666667,"ABHD6",12.397356,10.977638,11.245281,974,215,348,11.5400916666667,0.238179811285537
"Abhd8","ABHD8",1833,40.9291,1869,38.5455,1711,40.2498,39.9081333333,"ABHD8",37.222072,31.595592,35.732559,2814,569,1151,34.8500743333333,1.14108921931199
"Abi1","ABI1",2942,4.55855,2887,4.13167,2706,4.41729,4.36917,"ABI1",73.499723,76.395454,73.837698,3519,880,1307,74.577625,0.0710417931232954
"Abi2","ABI2",2196,4.76431,2094,4.19604,1939,4.4319,4.46408333333,"ABI2",33.5103,22.271769,32.250394,3171,695,1283,29.3441543333333,0.180070377750737
"Abi3","ABI3",692,8.65957,690,7.97506,685,9.03077,8.55513333333,"ABI3",0.648225,0.232863,1.080233,18,6,10,0.653773666666667,5.77777571739261
"Abi3bp","ABI3BP",361,0.263973,384,0.259346,283,0.218013,0.247110666667,"ABI3BP",1.766439,2.649653,2.136867,308,112,149,2.18431966666667,0.391641165842018
"Abitram","ABITRAM",313,6.69429,322,6.36078,287,6.46675,6.50727333333,"ABITRAM",3.739558,3.621243,4.375773,439,119,176,3.91219133333333,1.52829416117953
"Abl1","ABL1",1060,1.4201,1099,1.3599,1067,1.50599,1.42866333333,"ABL1",8.536541,8.902709,11.083969,1262,319,543,9.50773966666667,0.231130900685936
"Abl2","ABL2",1484,2.53715,1456,2.29916,1276,2.2983,2.37820333333,"ABL2",5.264426,4.654585,6.798877,2047,472,841,5.57262933333333,0.513980503388091
"Ablim1","ABLIM1",6714,3.69285,6858,3.48395,5990,3.47097,3.54925666667,"ABLIM1",44.867705,42.117908,43.063424,9236,2061,3536,43.349679,0.102576991970336
