"Hs_symbol","Heart","dHs_Avg_TPM","Spinal_cord","dHs_Avg__TPM","FoldChange"
"ST8SIA5",5.28802,5.28802,5.77238,5.77238,0.928480091193938
"ST8SIA6",7.69167,7.69167,6.95168,6.95168,1.09306083745825
"STAB1",14.58635,14.58635,50.64799,50.64799,0.301780379062186
"STAB2",0,0,0.58965,0.58965,0.629069291982512
"STAC",0.59459,0.59459,7.04479,7.04479,0.198213999371022
"STAC2",0.20241,0.20241,6.17583,6.17583,0.167563891563763
"STAC3",2.35304,2.35304,7.78961,7.78961,0.38147767648394
"STAG1",17.95145,17.95145,9.21719,9.21719,1.85485931063238
"STAG2",26.46543,26.46543,94.56153,94.56153,0.28741094873638
"STAG3",2.3657,2.3657,26.09985,26.09985,0.12419625938889
"STAG3L1",2.66931,2.66931,9.18615,9.18615,0.36022540410263
"STAG3L3",11.34775,11.34775,11.42062,11.42062,0.994133143112019
"STAG3L4",17.28096,17.28096,6.45514,6.45514,2.45212833025268
"STAM",38.88849,38.88849,16.72749,16.72749,2.25009237066274
"STAM2",16.47131,16.47131,7.47927,7.47927,2.06047336622138
"STAMBP",43.1771,43.1771,55.30313,55.30313,0.784629557894916
"STAMBPL1",5.83201,5.83201,4.2517,4.2517,1.3009139897557
"STAP1",0.34157,0.34157,0,0,1.34157
"STAP2",0.26567,0.26567,2.57585,2.57585,0.353949410629641
"STAR",0.11386,0.11386,4.99652,4.99652,0.185751068953326
"STARD10",70.7052,70.7052,63.89964,63.89964,1.10486283128843
"STARD13",19.98823,19.98823,8.34823,8.34823,2.24515550002514
"STARD3",10.23448,10.23448,73.61338,73.61338,0.150569241066415
"STARD3NL",37.38305,37.38305,42.85838,42.85838,0.875158863596877
"STARD4",12.22065,12.22065,10.33442,10.33442,1.16641610245606
"STARD5",3.09944,3.09944,3.81722,3.81722,0.850997048089977
"STARD6",0.18976,0.18976,2.54481,2.54481,0.33563434993695
"STARD7",203.82933,203.82933,48.25835,48.25835,4.15826616198066
"STARD8",4.65549,4.65549,7.10686,7.10686,0.697617819969754
"STARD9",6.62901,6.62901,3.53791,3.53791,1.68117261029857
"STARP1",0,0,0,0,1
"STAT1",62.6087,62.6087,44.87561,44.87561,1.38654723065263
"STAT2",68.75698,68.75698,112.09592,112.09592,0.616794841051737
"STAT3",65.65754,65.65754,44.84457,44.84457,1.45398986183097
"STAT4",1.13857,1.13857,8.56547,8.56547,0.223571868397476
"STAT5A",5.46514,5.46514,10.05512,10.05512,0.584809572397224
"STAT5B",25.54192,25.54192,20.76195,20.76195,1.21964805543621
"STAT6",37.00352,37.00352,39.72391,39.72391,0.933199194281689
"STATH",0,0,1.05517,1.05517,0.486577752691991
"STAU1",74.28537,74.28537,46.05491,46.05491,1.59994716810637
"STAU2",174.77049,174.77049,57.81691,57.81691,2.98843461854762
"STBD1",6.32539,6.32539,3.04136,3.04136,1.81260516261852
"STC1",4.42777,4.42777,2.20344,2.20344,1.69435669155658
"STC2",2.87173,2.87173,3.22757,3.22757,0.915828714840913
"STEAP1",0.797,0.797,0.46551,0.46551,1.22619429413651
"STEAP1B",0.34157,0.34157,10.11718,10.11718,0.120675387103564
"STEAP2",5.41453,5.41453,2.63792,2.63792,1.76324108281655
"STEAP3",5.98382,5.98382,5.30687,5.30687,1.1073353343259
"STEAP4",61.64724,61.64724,1.70689,1.70689,23.1436223858376
"STH",0,0,0.71379,0.71379,0.583502062679792
"STIL",0.59459,0.59459,0.68275,0.68275,0.947609567671965
"STIM1",33.80288,33.80288,51.85833,51.85833,0.658418077150754
"STIM2",16.37011,16.37011,27.15502,27.15502,0.616945397303927
"STIP1",114.98292,114.98292,74.73061,74.73061,1.53151968536897
"STK10",5.59164,5.59164,32.49292,32.49292,0.196806966964959
"STK11",19.95028,19.95028,67.09617,67.09617,0.307657244159253
"STK11IP",2.66931,2.66931,16.10681,16.10681,0.21449411082487
"STK16",13.59959,13.59959,21.87919,21.87919,0.63811655919637
"STK17A",39.812,39.812,6.85858,6.85858,5.19330464282351
"STK17B",3.45366,3.45366,4.09653,4.09653,0.873861234997145
"STK19",10.99353,10.99353,27.06192,27.06192,0.427395203179255
"STK19P",0,0,0,0,1
"STK24",78.1059,78.1059,20.29644,20.29644,3.71451284815678
"STK25",38.50897,38.50897,189.1541,189.1541,0.20777343217948
"STK3",24.60576,24.60576,25.94468,25.94468,0.950308558127244
"STK31",0.10121,0.10121,0.40345,0.40345,0.784644982008622
"STK32A",1.41689,1.41689,6.67238,6.67238,0.315011769490041
"STK32B",0.26567,0.26567,8.53443,8.53443,0.132747316829637
"STK32C",1.98617,1.98617,34.75842,34.75842,0.0835095622233868
"STK33",55.43571,55.43571,12.44476,12.44476,4.19759891586016
"STK33P1",0,0,0,0,1
"STK35",6.95793,6.95793,5.55514,5.55514,1.21399848058165
"STK36",17.92615,17.92615,14.02751,14.02751,1.25943353223521
"STK38",41.92468,41.92468,5.98962,5.98962,6.14120367058581
"STK38L",58.80081,58.80081,13.59303,13.59303,4.09790221770256
"STK39",46.27654,46.27654,154.2405,154.2405,0.304537411306972
"STK4",5.55369,5.55369,9.6827,9.6827,0.613486290918962
"STK40",10.5634,10.5634,14.36888,14.36888,0.752390545049477
"STMN1",182.2471,182.2471,976.30826,976.30826,0.187501843072522
"STMN1P1",0,0,0.71379,0.71379,0.583502062679792
"STMN1P2",0,0,0,0,1
"STMN2",0,0,35.53428,35.53428,0.0273715535108397
"STMN3",0.70844,0.70844,103.2201,103.2201,0.0163926152440844
"STMN4",0.03795,0.03795,217.36428,217.36428,0.00475329573133481
"STOM",171.13972,171.13972,62.34792,62.34792,2.71736972579368
