"Hs_symbol","Heart","dHs_Avg_TPM","DRG","dHs_Avg__TPM","FoldChange"
"PTCD2",18.82436,18.82436,11.37388,11.37388,1.60211348421029
"PTCD3",226.95495,226.95495,20.7406,20.7406,10.4852188992024
"PTCH1",5.03501,5.03501,10.5062,10.5062,0.524500703968295
"PTCH2",0.03795,0.03795,1.79808,1.79808,0.370950794830741
"PTCHD1",0.15181,0.15181,0.29271,0.29271,0.891004169535317
"PTCHD2",0,0,0.9304,0.9304,0.518027351844177
"PTCHD3",0,0,0.04182,0.04182,0.959858708798065
"PTCHD4",0.30362,0.30362,0.68996,0.68996,0.771391038841156
"PTCRA",0,0,0.82586,0.82586,0.547687117303627
"PTDSS1",264.61631,264.61631,78.97944,78.97944,3.32105738674839
"PTDSS2",12.67608,12.67608,40.69715,40.69715,0.327985965467664
"PTEN",70.14856,70.14856,26.31254,26.31254,2.60497778676022
"PTENP1",0.55663,0.55663,0.88858,0.88858,0.824233021635303
"PTER",11.04413,11.04413,2.2685,2.2685,3.68491050940799
"PTF1A",0,0,0.06272,0.06272,0.940981632038542
"PTGDR",2.42895,2.42895,6.06328,6.06328,0.48546142868469
"PTGDR2",3.20065,3.20065,0.12545,0.12545,3.73241814385357
"PTGDS",118.0191,118.0191,6399.593,6399.593,0.0185950114309721
"PTGER1",0,0,2.50894,2.50894,0.284986349153876
"PTGER2",0.26567,0.26567,3.57524,3.57524,0.276634668345267
"PTGER3",1.80906,1.80906,6.43962,6.43962,0.377581113013837
"PTGER4",3.84584,3.84584,6.80551,6.80551,0.620822982739116
"PTGER4P2",0,0,0.97222,0.97222,0.507042824836986
"PTGER4P3",0,0,0.11499,0.11499,0.896869030215518
"PTGES",0.16446,0.16446,28.44514,28.44514,0.0395467639141808
"PTGES2",32.65166,32.65166,109.87081,109.87081,0.3035213686993
"PTGES3",196.60573,196.60573,304.69025,304.69025,0.646424706054576
"PTGES3L",82.2174,82.2174,1.30674,1.30674,36.0757605972064
"PTGES3P1",6.89467,6.89467,3.063,3.063,1.9430642382476
"PTGES3P2",3.45366,3.45366,0.55406,0.55406,2.86582242641854
"PTGES3P3",0,0,0.16726,0.16726,0.856707160358446
"PTGES3P4",0,0,0,0,1
"PTGES3P5",0,0,0,0,1
"PTGFR",0.17711,0.17711,4.34884,4.34884,0.220068276486117
"PTGFRN",105.69725,105.69725,13.91418,13.91418,7.15408088141621
"PTGIR",0.64519,0.64519,21.65009,21.65009,0.0726350314722811
"PTGIS",4.31392,4.31392,0.4077,0.4077,3.77489521915181
"PTGR1",73.84259,73.84259,35.52246,35.52246,2.04922094513896
"PTGR2",74.65224,74.65224,3.95159,3.95159,15.2783732094135
"PTGS1",3.40306,3.40306,5.76012,5.76012,0.651328674638912
"PTGS2",0.78435,0.78435,0.09409,0.09409,1.6308987377638
"PTH",0,0,0.04182,0.04182,0.959858708798065
"PTH1R",4.8073,4.8073,33.57802,33.57802,0.167947730957412
"PTH2",0,0,0.15681,0.15681,0.864446192546745
"PTH2R",0.0759,0.0759,0.17772,0.17772,0.913544815406039
"PTHLH",0.80965,0.80965,2.2476,2.2476,0.55722687523094
"PTK2",60.58457,60.58457,25.08943,25.08943,2.36051803354845
"PTK2B",5.06031,5.06031,10.74664,10.74664,0.515918594593858
"PTK6",0.06325,0.06325,0.20908,0.20908,0.879387633572634
"PTK7",1.07532,1.07532,20.23881,20.23881,0.0977135724647473
"PTMA",337.29503,337.29503,716.29285,716.29285,0.471627494962483
"PTMAP1",0.8476,0.8476,0,0,1.8476
"PTMAP2",0,0,0.97222,0.97222,0.507042824836986
"PTMAP3",0,0,0.14636,0.14636,0.872326319829722
"PTMAP5",0,0,0.47043,0.47043,0.680073175873724
"PTMAP6",0,0,0,0,1
"PTMAP8",0,0,0,0,1
"PTMS",146.59721,146.59721,499.99058,499.99058,0.294610748968573
"PTN",27.12327,27.12327,38.26139,38.26139,0.71630856676241
"PTOV1",5.88261,5.88261,111.73161,111.73161,0.0610530622245171
"PTP4A1",24.25154,24.25154,25.70621,25.70621,0.945530646242952
"PTP4A1P1",0,0,0,0,1
"PTP4A1P2",0,0,0,0,1
"PTP4A1P3",0,0,0,0,1
"PTP4A1P4",0,0,0,0,1
"PTP4A1P5",0,0,0,0,1
"PTP4A1P6",0,0,0,0,1
"PTP4A1P7",0,0,0,0,1
"PTP4A2",212.81138,212.81138,66.13156,66.13156,3.18496069508887
"PTP4A2P1",0.80965,0.80965,0.17772,0.17772,1.536570661957
"PTP4A2P2",1.25243,1.25243,0.18817,0.18817,1.89571357634009
"PTP4A3",85.10178,85.10178,43.35245,43.35245,1.94130831554965
"PTPDC1",11.81583,11.81583,7.45365,7.45365,1.51601142701673
"PTPLA",250.38419,250.38419,20.86604,20.86604,11.4965576757383
"PTPLAD1",12.42306,12.42306,59.71285,59.71285,0.221090922267691
"PTPLAD2",7.69167,7.69167,9.53398,9.53398,0.825107888946058
"PTPLB",14.51044,14.51044,10.32848,10.32848,1.36915455559793
"PTPMT1",41.26684,41.26684,72.17394,72.17394,0.577621486556553
"PTPN1",26.22506,26.22506,12.58653,12.58653,2.00382732014723
"PTPN11",107.86053,107.86053,18.05394,18.05394,5.71328187241064
"PTPN12",75.72755,75.72755,24.19039,24.19039,3.04590560130272
"PTPN13",3.70668,3.70668,6.63825,6.63825,0.616198736621608
"PTPN14",4.99706,4.99706,0.73178,0.73178,3.46294563974639
"PTPN18",25.46602,25.46602,45.8823,45.8823,0.564520512005597
"PTPN2",28.88173,28.88173,17.09218,17.09218,1.6516378899613
"PTPN20A",2.34039,2.34039,0.15681,0.15681,2.88758741712122
"PTPN20B",2.40365,2.40365,0.43907,0.43907,2.36517334111614
"PTPN20C",0,0,0.01045,0.01045,0.989658073135732
"PTPN21",28.91968,28.91968,3.70069,3.70069,6.36495493214826
"PTPN22",0.55663,0.55663,0.37634,0.37634,1.13099234200852
"PTPN23",1.92292,1.92292,18.91116,18.91116,0.146798077058293
"PTPN2P1",0.08856,0.08856,0.01045,0.01045,1.07730219209263
"PTPN2P2",0,0,0,0,1
"PTPN3",71.16062,71.16062,8.34224,8.34224,7.72412397883163
"PTPN4",11.98029,11.98029,7.64182,7.64182,1.50203197937472
"PTPN5",0.27832,0.27832,17.77168,17.77168,0.0680983268412843
"PTPN6",3.82053,3.82053,40.56125,40.56125,0.115986164997444
"PTPN7",0.51868,0.51868,1.81898,1.81898,0.538733868278597
"PTPN9",12.03089,12.03089,24.79672,24.79672,0.505137474841763
"PTPRA",35.49808,35.49808,87.04988,87.04988,0.414515953911578
"PTPRB",31.85466,31.85466,1.51582,1.51582,13.0592252227902
"PTPRC",3.98499,3.98499,6.18873,6.18873,0.693445156515824
"PTPRCAP",0.21506,0.21506,14.86549,14.86549,0.076585091289333
"PTPRD",4.20006,4.20006,2.69711,2.69711,1.40652022796184
"PTPRE",10.42424,10.42424,6.55461,6.55461,1.51222101471817
"PTPRF",0.50603,0.50603,61.06141,61.06141,0.0242667706067265
"PTPRG",19.01412,19.01412,8.53041,8.53041,2.10002717616556
"PTPRH",0.75905,0.75905,4.69381,4.69381,0.308940761985384
"PTPRJ",2.4163,2.4163,3.83659,3.83659,0.706344759427613
"PTPRK",14.49779,14.49779,2.34168,2.34168,4.63772413875655
"PTPRM",242.56601,242.56601,53.03279,53.03279,4.50774446405599
"PTPRN",0,0,259.69654,259.69654,0.00383587753025031
"PTPRN2",0.75905,0.75905,36.35877,36.35877,0.0470853296294284
"PTPRO",0.80965,0.80965,4.61018,4.61018,0.322565407883526
"PTPRQ",0.03795,0.03795,0.03136,0.03136,1.00638962147068
"PTPRR",1.16387,1.16387,20.71969,20.71969,0.0996271125416615
"PTPRS",9.93086,9.93086,33.61984,33.61984,0.315739760784567
"PTPRT",0.12651,0.12651,0.80495,0.80495,0.624122551871243
"PTPRU",1.5687,1.5687,29.99233,29.99233,0.0828817968832934
"PTPRVP",0,0,0.48088,0.48088,0.675274161309492
"PTPRZ1",1.13857,1.13857,22.40277,22.40277,0.0913810630109171
"PTRF",84.43129,84.43129,134.89752,134.89752,0.628644952461237
"PTRH1",0.45543,0.45543,45.60004,45.60004,0.0312323766245694
"PTRH2",16.43336,16.43336,58.35384,58.35384,0.293719159535423
"PTRHD1",35.8523,35.8523,74.64106,74.64106,0.487199677000825
"PTS",64.51897,64.51897,77.9236,77.9236,0.830156885899782
"PTTG1",1.49279,1.49279,7.92408,7.92408,0.279332995670142
