"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg__TPM","FoldChange"
"SNORA15",0,0,24.407896,0,0,3,0.328007,36.341612,0,0,3,0,0,1.531222,0.524650544282564
"SNORA15B.1",0,0,21.120023,0,0,2,0,0,30.09363,27.446943,0,2,2,0,1
"SNORA16A",4.579045,0,0,1,0,0,0.634193,3.000841,5.795785,6.891359,0,0,1,0,1.634193
"SNORA16B",0,0,0,0,0,0,0,12.113871,0,27.446943,1,0,2,0,1
"SNORA17A",10.983108,0,0,1,0,0,0.00685966666666667,20.3198,19.133302,4.187119,2,1,0,0.730298,0.581899572597707
"SNORA17B",8.480845,3.367944,6.989733,1,0,1,0,13.942896,5.764302,5.16448,1,0,0,0,1
"SNORA18",0,8.665693,17.829356,0,1,2,0,53.568102,36.496807,47.931298,4,2,3,0,1
"SNORA19",0,0,0,0,0,0,0.038172,0,0,0,0,0,0,0.216378666666667,0.85349408736753
"SNORA1B",0,0,0,0,0,0,3.681533,0,0,0,0,0,0,0.051722,4.45130272068094
"SNORA20",17.411253,18.044921,27.316752,2,2,3,2.23088633333333,36.341612,15.046815,13.723472,3,1,1,6.740765,0.417385921589576
"SNORA20B",0,0,0,0,0,0,0.186800666666667,0,0,0,0,0,0,0.884261666666667,0.629849180536673
"SNORA21",0,0,54.36619,0,0,6,2.22183366666667,20.709943,0,25.643688,2,0,2,3.314289,0.746782069227784
"SNORA21B",0,0,17.943854,0,0,2,3.65355566666667,0,14.222682,0,0,1,0,7.00899433333333,0.581041198555807
"SNORA22",17.411253,0,0,2,0,0,195.376297,24.227741,0,54.893887,2,0,4,191.724323,1.01894921171937
"SNORA22B",0,0,0,0,0,0,0.121547666666667,0,15.046815,0,0,1,0,0.433616666666667,0.782320471534697
"SNORA22C",0,0,0,0,0,0,2.387553,0,0,0,0,0,0,7.37112566666667,0.404671143988321
"SNORA23",5.441016,0,11.38198,1,0,2,17.03491,0,0,0,0,0,0,28.5596,0.610120231667546
"SNORA24",0,0,8.589473,0,0,1,0.0499333333333333,43.869251,53.882416,22.046663,4,4,2,0.283161666666667,0.818239322922417
"SNORA24B",0,0,0,0,0,0,0.0270086666666667,0,0,0,0,0,0,0.303443333333333,0.787919689642562
"SNORA25",0,0,8.73294,0,0,1,0,33.392439,10.954734,36.32203,3,1,3,0.066773,0.937406552284319
"SNORA25B",0,0,0,0,0,0,23.3414923333333,0,0,0,0,0,0,141.753866333333,0.17051371678085
"SNORA26",0,0,0,0,0,0,23.051437,0,0,26.911215,0,0,2,7.531225,2.81922432007127
"SNORA27",24.076075,7.186115,0,3,1,0,0,11.021689,28.074285,12.329786,1,2,1,0,1
"SNORA28",8.705626,0,0,1,0,0,0.859748666666667,12.113871,30.09363,0,1,2,0,0.254831666666667,1.48207023784067
"SNORA29",8.705626,9.02246,0,1,1,0,1.28565966666667,10.96387,58.324266,0,1,4,0,3.652216,0.491305577098455
"SNORA2A",17.411253,9.02246,9.105584,2,1,1,0.822669666666667,24.227741,15.046815,27.446943,2,1,2,1.21740633333333,0.821982709829607
"SNORA2B",8.705626,0,27.316752,1,0,3,0,12.113871,0,0,1,0,0,0,1
"SNORA2C",34.822505,54.134763,27.316752,4,6,3,0.135679,0,0,0,0,0,0,1.08423933333333,0.544888958689645
