"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg__TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"DDX11",13.652666,10.395903,9.088392,11.0456536666667,356,291,242,9.897942,6.334689,13.996455,10.076362,113,107,92,1.08750993030624
"DDX11.AS1",0.887733,0.325874,0.372638,0.528748333333333,10,6,6,2.209023,2.566655,4.196052,2.99057666666667,30,23,19,0.383089578532092
"DDX11L16",0.266784,0.161468,0.103296,0.177182666666667,9,5,3,0.540084,0.338222,0.243091,0.373799,2,7,3,0.856881295347184
"DDX11L16.1",0,0.117394,0.492689,0.203361,0,4,15,0.361114,0.206591,0.20091,0.256205,7,5,3,0.957933617522618
"DDX11L2",0.449955,0.266607,0,0.238854,15,8,0,0.35061,0.514055,0.353715,0.406126666666667,7,11,5,0.881040114925635
"DDX17",79.165081,52.531327,34.648225,55.448211,5970,4242,2816,106.889401,105.76743,140.468685,117.708505333333,5684,5963,5029,0.475519515989975
"DDX18",11.725542,5.671091,5.930125,7.775586,399,371,356,17.82462,20.466615,21.970129,20.0871213333333,612,629,437,0.416158557694077
"DDX18P1",0.026179,0.025628,0.078988,0.0435983333333333,1,1,3,0,0.037037,0,0.0123456666666667,0,1,0,1.03087153696185
"DDX18P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DDX18P3",0,0,0.053014,0.0176713333333333,0,0,2,0,0.036871,0.056322,0.0310643333333333,0,1,1,0.987010509851794
"DDX19A",11.28671,10.087505,8.121164,9.831793,576,498,467,25.555047,29.293402,28.791641,27.88003,611,784,535,0.375061694880511
"DDX19B",8.789411,7.071051,6.0543,7.30492066666667,281,231,197,20.392571,22.437615,30.037398,24.2891946666667,393,424,372,0.328397988790575
"DDX20",3.055152,3.702275,2.656505,3.13797733333333,169,137,102,11.30063,15.5421,16.38246,14.4083966666667,273,287,213,0.268553401294835
"DDX20P1",0.18954,0,0,0.06318,2,0,0,0,0,0,0,0,0,0,1.06318
"DDX21",5.445997,4.608766,3.578469,4.54441066666667,478,422,321,13.575777,13.870778,16.261023,14.5691926666667,847,931,723,0.356114204851298
"DDX23",31.296583,19.547098,16.141116,22.3282656666667,551,439,318,50.583423,50.484727,56.041145,52.369765,567,627,484,0.437106396602396
"DDX24",67.714897,60.069689,51.617273,59.8006196666667,1862,1416,1230,145.904974,151.315786,119.19256,138.80444,2742,2982,1845,0.434897630337539
"DDX25",0.202672,0.37102,0.013711,0.195801,6,5,2,21.404134,20.065,19.486876,20.31867,399,390,267,0.0560917261724113
"DDX27",6.435668,5.378091,4.971964,5.595241,347,289,259,13.442414,12.995216,15.06788,13.83517,467,520,355,0.444567942261531
"DDX28",2.813567,2.518056,2.238049,2.523224,139,117,104,1.498073,1.786185,2.860917,2.04839166666667,43,57,58,1.15576487054649
"DDX31",1.580077,1.247672,1.363196,1.39698166666667,89,58,64,3.813149,4.063066,3.90415,3.92678833333333,118,147,93,0.486520123149868
"DDX39A",21.036444,17.222983,14.968101,17.7425093333333,501,446,357,21.167564,17.362378,29.021881,22.5172743333333,334,310,271,0.796967755177637
"DDX39B",219.174662,179.187915,165.916512,188.093029666667,4174,3292,2732,152.692283,163.555008,217.015023,177.754104666667,2196,2406,2082,1.05783881169766
"DDX39B.AS1",0.415539,0.657335,0.446094,0.506322666666667,2,3,2,1.710318,1.569466,1.962606,1.74746333333333,5,6,4,0.548259424754228
"DDX3P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DDX3X",89.897524,28.599126,24.961114,47.8192546666667,2455,1820,1380,100.90298,94.995375,85.232363,93.7102393333333,3281,3129,2427,0.515459099357219
