"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg__TPM","FoldChange"
"NEXMIF",0.005208,0,0,1,0,0,0.198947333333333,2.938594,2.046462,1.774844,510,476,451,0.016899,1.17902302326321
"NEXN",119.063093,76.705301,67.412633,3385,2684,2256,0,3.803555,0.190052,0.419523,80,10,14,0,1
"NEXN.AS1",0.359208,0.381906,0.264577,17,17,12,0.084179,0.118327,0.095017,0.133684,4,4,7,0.252422666666667,0.865665424984324
"NF1",14.096304,12.244546,6.825561,789,557,433,0.0142373333333333,21.15354,17.389297,16.877302,1820,2314,2367,0.00926966666666667,1.00492204098739
"NF2",5.182182,4.862675,3.859989,623,550,424,0,12.45954,10.948546,10.045308,838,1061,1115,0,1
"NFAM1",0.024294,0.032562,0.327366,3,4,4,2.99611533333333,2.346829,3.90603,3.61314,220,383,450,10.840565,0.337493635931506
"NFASC",0.377994,0.187329,0.550096,24,18,20,0,43.892009,36.810771,25.692574,4481,5816,4736,0.0345273333333333,0.966625015868761
"NFAT5",1.521659,0.896945,0.600353,323,187,149,3.02665966666667,3.692771,4.576727,4.899995,758,731,644,6.84673466666667,0.51316373468981
"NFATC1",1.650417,1.138282,0.655138,46,47,29,0.036126,0.154268,0,0,5,0,0,0.229820333333333,0.842501926433157
"NFATC2",1.542038,1.278855,1.020691,255,203,161,0.008785,0.17141,0,0.016748,20,0,3,0.0471643333333333,0.963349273737042
"NFATC2IP",11.652251,11.089276,6.909805,638,550,474,0.923988333333333,17.701109,19.268618,17.175835,589,1058,930,11.1049503333333,0.15894227405752
"NFATC3",3.94492,3.412712,2.624735,460,435,327,12.0443566666667,2.005145,2.015597,1.507475,176,219,175,7.81018866666667,1.48059901554889
"NFATC4",4.814475,3.626137,3.555584,108,63,86,0,8.466438,2.17133,4.711571,144,72,111,0.26836,0.788419691570217
"NFE2",0.179737,0.196677,0.284468,6,7,6,0.0722673333333333,0.71556,0.413066,0.742063,14,13,26,0.096057,0.978295228563235
"NFE2L1",149.931222,78.557315,70.072119,6281,4714,3844,6.76401666666667,209.653867,128.247751,115.624982,4320,3915,4282,4.64724733333333,1.37483205682155
