"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","FoldChange"
"ACAT2",21.38841,21.38841,7.765272,8.394048,3.664681,6.60800033333333,2.94274566496908
"ACBD3",9.95775,9.95775,26.857783,13.437707,11.62415,17.3065466666667,0.59857001975978
"ACBD4",21.11872,21.11872,4.538466,2.387986,1.850638,2.92569666666667,5.63434260925237
"ACBD5",28.48331,28.48331,7.618894,5.044549,4.657079,5.77350733333333,4.35273906841566
"ACBD6",200.71085,200.71085,23.154423,24.794667,23.033485,23.6608583333333,8.17939291785937
"ACBD7",18.40109,18.40109,0.572654,0.568327,0.510339,0.55044,12.5132801011326
"ACCS",17.9032,17.9032,8.564602,4.575821,7.352098,6.83084033333333,2.41394271819529
"ACCSL",0,0,0,0,0,0,1
"ACD",14.29352,14.29352,6.047245,4.588355,4.00999,4.88186333333333,2.6001148162232
"ACE",3.2985,3.2985,1.157448,0.481306,0.687591,0.775448333333333,2.42107861957872
"ACE2",0.97503,0.97503,0.292,0.608641,1.089188,0.663276333333333,1.18743347717928
"ACER1",0.53938,0.53938,0,0,0,0,1.53938
"ACER2",0.56012,0.56012,0.086941,0.071304,0.036141,0.0647953333333333,1.46518298039122
"ACER3",38.85596,38.85596,5.889447,3.785697,2.608854,4.094666,7.82307613492229
"ACHE",73.60435,73.60435,0.074404,0.220625,0.154447,0.149825333333333,64.8832025501844
"ACIN1",97.73114,97.73114,48.187336,30.018075,26.134553,34.779988,2.75939555932774
"ACLY",35.35,35.35,20.336467,13.559479,13.590368,15.8287713333333,2.15999131962773
"ACMSD",0.12447,0.12447,0.044606,0.168465,0.027939,0.0803366666666667,1.04085146296988
"ACO1",8.81676,8.81676,8.895559,7.661565,6.460032,7.67238533333333,1.13195616000458
"ACO2",127.9778,127.9778,146.738618,107.939366,96.620982,117.099655333333,1.0921098764934
"ACOT1",1.84633,1.84633,6.652744,7.561148,4.666439,6.29344366666667,0.390258721405997
"ACOT11",2.94583,2.94583,20.174206,15.320592,11.474642,15.65648,0.236894589973392
"ACOT12",0,0,0.102651,0,0,0.034217,0.966915067147417
"ACOT13",33.44144,33.44144,28.624228,30.396445,27.420034,28.813569,1.15522700418725
"ACOT2",8.81676,8.81676,88.207517,93.696934,77.668179,86.52421,0.112160509646417
"ACOT4",0.53938,0.53938,0.124947,0.174781,0.261237,0.186988333333333,1.29687879549504
"ACOT6",0,0,0.188194,0,0.040322,0.076172,0.929219492794832
"ACOT7",128.33047,128.33047,18.509861,18.078012,11.411107,15.99966,7.6078268624196
"ACOT8",41.69807,41.69807,14.918157,12.104523,11.463739,12.8288063333333,3.08761790213805
"ACOT9",7.92471,7.92471,29.935853,23.797934,22.855973,25.52992,0.336401692881094
"ACOX1",45.41148,45.41148,26.743277,25.166,14.165662,22.0249796666667,2.01570123717373
"ACOX2",6.45179,6.45179,17.904677,19.718667,13.035042,16.8861286666667,0.416623973743825
"ACOX3",11.70035,11.70035,11.241262,6.789727,5.371668,7.80088566666667,1.44307635401998
"ACOXL",0.20745,0.20745,0.725081,0.07677,0.356086,0.385979,0.871189246013107
"ACP1",49.4983,49.4983,30.223411,32.418039,30.824921,31.155457,1.57044261569661
"ACP2",24.0853,24.0853,43.214406,45.839884,42.704658,43.9196493333333,0.558448259777154
"ACP5",12.15675,12.15675,0.224677,1.062225,0,0.428967333333333,9.20717338534914
"ACP6",6.14061,6.14061,5.616296,6.558338,5.860511,6.011715,1.01838280648885
"ACPP",1.84633,1.84633,0.862381,0.252187,0.58269,0.565752666666667,1.81786693428379
"ACR",1.05801,1.05801,0,0.037509,0.037908,0.025139,2.00754239181223
"ACRBP",2.86285,2.86285,0.3985,0.030659,0.225437,0.218198666666667,3.17095241170296
"ACRV1",0.82981,0.82981,0.027065,0.168649,0.254211,0.149975,1.59117372116785
"ACSBG1",36.98888,36.98888,0.540764,0.319036,0.523883,0.461227666666667,25.9979200138331
"ACSBG2",0.47714,0.47714,0.522338,0.103219,0.103778,0.243111666666667,1.1882601053539
"ACSF2",20.97351,20.97351,61.978687,54.648487,53.059789,56.562321,0.381734259812074
"ACSF3",41.9885,41.9885,19.299129,13.763293,10.433563,14.4986616666667,2.77369110472657
"ACSL1",43.06726,43.06726,43.878419,27.152981,30.101182,33.7108606666667,1.26955250182887
"ACSL3",28.00617,28.00617,71.523045,48.918818,50.907122,57.1163283333333,0.499105343228697
