"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","FoldChange"
"ACOT13",33.44144,33.44144,11.326065,11.195552,12.209772,11.5771296666667,2.73841813774733
"ACOT2",8.81676,8.81676,24.173517,18.076715,19.437196,20.562476,0.455270535721408
"ACOT4",0.53938,0.53938,0.591094,0.748843,1.193545,0.844494,0.83458119137281
"ACOT6",0,0,0.245134,0.088672,0.12044,0.151415333333333,0.868496337550944
"ACOT7",128.33047,128.33047,80.632403,114.029529,128.44021,107.700714,1.18978491714415
"ACOT8",41.69807,41.69807,20.763417,18.37889,19.993785,19.7120306666667,2.06151056297522
"ACOT9",7.92471,7.92471,18.917753,21.089502,23.207269,21.071508,0.404354337728079
"ACOX1",45.41148,45.41148,21.711569,42.59937,35.250653,33.1871973333333,1.35756902057449
"ACOX2",6.45179,6.45179,5.471821,1.789143,2.323278,3.19474733333333,1.77645741396264
"ACOX3",11.70035,11.70035,11.236717,10.706481,12.961887,11.6350283333333,1.00516988683708
"ACOXL",0.20745,0.20745,0.106301,0.156535,0.132989,0.131941666666667,1.0667069121642
"ACP1",49.4983,49.4983,74.872622,58.654584,76.070071,69.865759,0.712590970767702
"ACP2",24.0853,24.0853,104.027156,109.16421,127.822959,113.671441666667,0.218758041543764
"ACP5",12.15675,12.15675,0,2.031601,2.612106,1.54790233333333,5.16375758516123
"ACP6",6.14061,6.14061,17.588665,10.559517,14.810767,14.3196496666667,0.466107917306812
"ACPP",1.84633,1.84633,0.265858,0.022854,0.050647,0.113119666666667,2.55707457628844
"ACR",1.05801,1.05801,0.041913,0,0.163679,0.0685306666666667,1.9260186573962
"ACRBP",2.86285,2.86285,0.967429,0.571787,0.527381,0.688865666666667,2.28724526541187
"ACRV1",0.82981,0.82981,0.120346,0.767177,1.18959,0.692371,1.0812109165189
"ACSBG1",36.98888,36.98888,6.630397,3.875408,5.355253,5.28701933333333,6.04243091771416
"ACSBG2",0.47714,0.47714,0.74582,0.53011,0.820644,0.698858,0.869489975030285
"ACSF2",20.97351,20.97351,42.632059,13.17411,6.555456,20.7872083333333,1.0085509654939
"ACSF3",41.9885,41.9885,22.250491,16.962759,21.849371,20.354207,2.01311619766541
"ACSL1",43.06726,43.06726,85.585307,101.814344,82.647096,90.0155823333333,0.484172697358669
"ACSL3",28.00617,28.00617,127.281776,105.351012,89.76463,107.465806,0.267422251027204
"ACSL4",10.72532,10.72532,69.219653,62.683685,53.413498,61.7722786666667,0.186791371112459
"ACSL5",6.67999,6.67999,0.206791,0.83348,0.182037,0.407436,5.45672414234111
"ACSL6",16.26432,16.26432,13.388689,15.367533,10.761177,13.1724663333333,1.21815918231499
"ACSM1",1.51441,1.51441,0.060423,0,0,0.020141,2.46476712532875
"ACSM2A",0,0,0.816039,2.615985,1.21988,1.55063466666667,0.392059283545638
"ACSM2B",0,0,0.4576,0.459343,0.100414,0.339119,0.746759623304576
"ACSM3",0.62236,0.62236,1.696961,2.786466,2.358993,2.28080666666667,0.494500336299406
"ACSM4",0,0,0.215017,0.529825,0.278182,0.341008,0.745707706441721
"ACSM5",5.539,5.539,0.201606,0,0.029441,0.0770156666666667,6.07140657502042
