"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","FoldChange"
"ACTR1A",75.76186,75.76186,121.577592,133.893846,110.388319,121.953252333333,0.624317442143736
"ACTR1B",70.53405,70.53405,35.74644,38.012808,33.295135,35.6847943333333,1.9499645915965
"ACTR2",55.16177,55.16177,90.042114,90.869445,84.111564,88.341041,0.628622292413181
"ACTR3",37.94317,37.94317,90.295305,79.77323,77.820988,82.629841,0.465661174699591
"ACTR3B",43.35769,43.35769,17.121055,10.72034,9.94134,12.594245,3.2629756194625
"ACTR3C",1.34844,1.34844,2.335739,0.036714,0.337758,0.903403666666667,1.23381079963595
"ACTR5",9.43911,9.43911,2.258189,2.089738,1.574489,1.97413866666667,3.5099607550242
"ACTR6",18.31811,18.31811,29.796825,19.749229,23.008826,24.18496,0.767049461265771
"ACTR8",13.44296,13.44296,16.878315,19.754835,16.982766,17.871972,0.765312708179092
"ACTRT1",0,0,0,0,0,0,1
"ACTRT2",0,0,0,0,0,0,1
"ACTRT3",0.26969,0.26969,1.932933,1.298673,1.10969,1.44709866666667,0.518855253895225
"ACVR1",9.12794,9.12794,10.293467,6.920874,8.64507,8.61980366666667,1.05282190270619
"ACVR1B",11.99079,11.99079,48.344712,56.21844,50.405514,51.656222,0.246709496173121
"ACVR1C",0.58087,0.58087,0.085592,0.01581,0.078937,0.060113,1.49122782193974
"ACVR2A",8.40185,8.40185,21.953394,22.142775,18.03743,20.7111996666667,0.433041478331329
"ACVR2B",0.85056,0.85056,5.621371,6.286207,4.135278,5.34761866666667,0.291536101517545
"ACVRL1",11.2647,11.2647,0.977561,0.665953,0.737498,0.793670666666667,6.83776583289537
"ACY1",14.97811,14.97811,11.585949,14.971368,6.534318,11.030545,1.32812852618065
"ACY3",14.35575,14.35575,0,0.060569,0.057567,0.0393786666666667,14.7739707312317
"ACYP1",32.25895,32.25895,51.832918,41.241443,48.301687,47.1253493333333,0.691090048399164
"ACYP2",455.27652,455.27652,18.41451,13.003516,14.903801,15.440609,27.7530181515782
"ADA",13.42221,13.42221,2.258658,0.858817,1.431334,1.51626966666667,5.73158361802504
"ADAD1",0,0,0,0,0,0,1
"ADAD2",2.09528,2.09528,0.178842,0.074922,0.070358,0.108040666666667,2.7934714790853
"ADAL",6.32732,6.32732,8.23178,6.902908,8.197069,7.77725233333333,0.834807946921278
"ADAM10",25.70344,25.70344,48.401335,37.964021,33.127324,39.8308933333333,0.654000875807436
"ADAM11",19.9155,19.9155,12.135299,18.856095,12.260095,14.417163,1.35663740468983
"ADAM12",1.95006,1.95006,5.204425,0.663844,0.321587,2.06328533333333,0.963037940964472
"ADAM15",157.24943,157.24943,18.325861,18.913974,21.753602,19.664479,7.65804112457904
"ADAM17",11.9493,11.9493,9.314443,10.543808,8.210981,9.35641066666667,1.2503656350437
"ADAM18",0,0,0.035333,0,0,0.0117776666666667,0.988359432062314
"ADAM19",4.56397,4.56397,12.802374,10.819058,9.049793,10.8904083333333,0.467937672451675
"ADAM2",1.34844,1.34844,0,0,0,0,2.34844
"ADAM20",0,0,0.114799,0.050835,0.079841,0.081825,0.924363922076121
"ADAM21",0.41491,0.41491,0.189499,0.210079,0.228701,0.209426333333333,1.1699017633429
"ADAM21P1",0.26969,0.26969,0.042586,0.029771,0.053179,0.0418453333333333,1.21869336971323
"ADAM22",21.4299,21.4299,7.358498,6.092743,6.007486,6.48624233333333,2.99614933651404
"ADAM23",13.42221,13.42221,27.791034,31.634925,27.866773,29.0975773333333,0.479181757397705
"ADAM28",18.21438,18.21438,0.355878,0.070795,0.656699,0.361124,14.1165536718183
"ADAM29",0.08298,0.08298,1.590352,2.275208,1.575598,1.81371933333333,0.384892688894107
"ADAM30",0,0,0,0,0,0,1
"ADAM32",8.92048,8.92048,10.297747,6.150251,3.037132,6.49504333333333,1.32360542278386
"ADAM33",7.98694,7.98694,0.444232,0.218073,0.256207,0.306170666666667,6.88037193710266
"ADAM3A",0.74683,0.74683,0.231017,0.145255,0.379927,0.252066333333333,1.39515771129272
"ADAM3B",0,0,0,0.072133,0,0.0240443333333333,0.976520222269023
"ADAM5",0,0,0,0,0.191015,0.0636716666666667,0.940139736102776
"ADAM6",0,0,0,0,0,0,1
"ADAM7",0,0,0.036155,0,0,0.0120516666666667,0.988091846430765
"ADAM8",7.5098,7.5098,5.609723,5.136056,1.568834,4.104871,1.66699609059661
"ADAM9",17.84096,17.84096,16.019604,9.068817,10.587437,11.8919526666667,1.46145122365482
"ADAMDEC1",0.12447,0.12447,0,0,0,0,1.12447
"ADAMTS1",17.15637,17.15637,55.689489,22.602635,30.236182,36.176102,0.488388212405916
"ADAMTS10",7.03266,7.03266,48.620767,43.508264,28.643638,40.2575563333333,0.194695486448628
"ADAMTS12",2.6554,2.6554,2.080716,0.450845,0.431766,0.987775666666667,1.83893990720281
"ADAMTS13",7.07415,7.07415,10.04404,9.219637,9.619661,9.62777933333333,0.75972126883327
"ADAMTS14",15.04035,15.04035,3.928993,0.380792,1.570922,1.96023566666667,5.41860574839368
"ADAMTS15",0.43565,0.43565,1.427798,0.893566,0.827734,1.04969933333333,0.700419801408272
"ADAMTS16",0.41491,0.41491,1.432414,0.115256,0.125197,0.557622333333333,0.908378089939217
"ADAMTS17",5.41453,5.41453,1.976097,1.195484,3.145809,2.10579666666667,2.06534125973046
"ADAMTS18",6.4103,6.4103,1.366388,1.547924,0.38092,1.09841066666667,3.53138692902819
"ADAMTS19",1.74261,1.74261,0.03761,0.181964,0.167547,0.129040333333333,2.42915148292606
"ADAMTS2",4.02459,4.02459,3.004416,1.513027,3.126211,2.54788466666667,1.41622134654133
"ADAMTS20",0.06224,0.06224,0.066632,0.128782,0.303561,0.166325,0.910758150601248
"ADAMTS3",0.66385,0.66385,0.622413,0.414049,0.789348,0.608603333333333,1.03434449346327
"ADAMTS4",36.36652,36.36652,0.689029,0.211108,0.171046,0.357061,27.5348860515482
"ADAMTS5",0.12447,0.12447,1.658729,0.507028,0.635813,0.933856666666667,0.581465017228095
"ADAMTS6",0.91279,0.91279,0.575044,0.43741,0.797161,0.603205,1.19310381392274
"ADAMTS7",5.06186,5.06186,5.225607,7.926553,5.892613,6.34825766666667,0.824938410570161
"ADAMTS8",6.43105,6.43105,0.259596,0.126229,0.215574,0.200466333333333,6.19013611099464
"ADAMTS9",7.2816,7.2816,6.259008,1.208773,3.446049,3.63794333333333,1.7856190567227
"ADAMTSL1",7.07415,7.07415,0.534643,0.391798,0.357426,0.427955666666667,5.65434220997057
"ADAMTSL2",11.47216,11.47216,1.503801,0.858924,1.307203,1.22330933333333,5.60972772119879
"ADAMTSL3",10.72532,10.72532,1.141787,0.488298,0.557855,0.729313333333333,6.78033284887643
"ADAMTSL4",1.95006,1.95006,0.717708,0.666369,0.399532,0.594536333333333,1.85010522390103
"ADAMTSL5",0.95428,0.95428,2.484078,1.829524,1.172891,1.828831,0.690843673588136
"ADAP1",176.12766,176.12766,53.265804,60.189014,55.280346,56.2450546666667,3.09420020701177
"ADAP2",7.26086,7.26086,4.717453,6.427834,6.170847,5.77204466666667,1.21984724062167
"ADAR",64.9743,64.9743,93.089729,94.857624,66.868309,84.938554,0.767691529927301
"ADARB1",10.43489,10.43489,34.100105,17.143214,24.363699,25.2023393333333,0.436407217482795
"ADARB2",33.98081,33.98081,0.753625,0.498108,0.982045,0.744592666666667,20.0509899349953
"ADAT1",20.76605,20.76605,56.120434,59.301982,46.931663,54.1180263333333,0.394898936844491
