"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"SARNP",49.27011,49.27011,47.191251,51.436697,60.985471,53.204473,418,479,376,0.927416266919522
"SART1",134.42959,134.42959,37.667735,25.126996,39.364752,34.053161,322,345,240,3.86354856841584
"SART3",15.43451,15.43451,32.73096,24.853012,28.70333,28.762434,540,555,407,0.552189716741581
"SASH1",21.015,21.015,3.017102,2.323335,3.728914,3.023117,133,152,85,5.47212522032046
"SASH3",2.86285,2.86285,0,0,0.959035,0.319678333333333,0,0,1,2.92711481459497
"SASS6",1.84633,1.84633,1.727947,1.718354,2.285115,1.910472,86,91,82,0.977961650206564
"SAT1",185.2556,185.2556,19.316426,30.237103,32.896743,27.483424,189,284,203,6.5390874355555
"SAT2",117.75037,117.75037,72.58654,68.165584,64.843537,68.531887,431,457,252,1.70785484363455
"SATB1",19.52133,19.52133,9.388266,20.977994,20.191823,16.8526943333333,447,646,629,1.14948083560048
"SATB2",6.34806,6.34806,2.352487,4.852229,4.726842,3.977186,135,387,188,1.47634828194084
"SATL1",1.43143,1.43143,0.82282,0.407068,0.770095,0.666661,39,21,25,1.45886296013406
"SAV1",31.49138,31.49138,10.909396,6.009294,8.323313,8.414001,120,133,74,3.45138905338973
"SAYSD1",3.87937,3.87937,5.171435,5.802653,7.826914,6.26700066666667,112,136,113,0.671442074084485
"SBDS",140.11381,140.11381,66.681337,73.56751,78.873444,73.0407636666667,899,1227,804,1.9058934971997
"SBDSP1",53.21171,53.21171,24.708711,31.129379,27.017846,27.6186453333333,165,233,132,1.89427938913857
"SBF1",220.04548,220.04548,49.636646,62.894359,75.489279,62.673428,2451,3254,2083,3.47154985907151
"SBF1P1",0,0,0,0.011837,0,0.00394566666666667,0,1,0,0.996069840432932
"SBF2",21.82406,21.82406,33.147835,30.794438,31.84187,31.9280476666667,599,628,543,0.69314950679888
"SBK1",21.03574,21.03574,47.013825,43.570158,58.987812,49.857265,2727,2912,2349,0.433285981855296
"SBK2",0.29043,0.29043,0.123242,0.034604,0,0.0526153333333333,3,1,0,1.22592742014652
"SBNO1",6.90819,6.90819,5.46888,6.358904,6.367538,6.06510733333333,837,1052,692,1.11933048245268
"SBNO2",18.27662,18.27662,61.812123,33.747579,38.204205,44.587969,1183,791,585,0.422844457054009
"SBSN",17.01115,17.01115,0.196517,0.185012,0.285138,0.222222333333333,3,2,1,14.7363941148733
"SBSPON",1.16174,1.16174,2.458443,1.7235,2.385153,2.189032,87,71,65,0.677867139621051
"SCAF1",52.81755,52.81755,21.644042,23.524393,23.070787,22.7464073333333,600,816,575,2.26634493565918
"SCAF11",17.01115,17.01115,8.359675,13.031019,12.184445,11.191713,334,415,295,1.47732726319919
"SCAF4",13.79563,13.79563,6.711534,7.353228,9.840426,7.968396,317,399,307,1.64975208498822
"SCAF8",11.55514,11.55514,19.081016,10.9217,18.811501,16.2714056666667,665,667,522,0.726932146827578
"SCAI",5.35229,5.35229,2.572609,2.802247,3.053018,2.80929133333333,385,393,281,1.66757788894067
"SCAMP1",24.72841,24.72841,59.828584,52.089281,57.308141,56.4086686666667,1959,1859,1433,0.448162456952059
"SCAMP2",39.7895,39.7895,8.908768,8.586435,9.558903,9.01803533333333,110,100,83,4.07160672155745
"SCAMP3",64.99505,64.99505,47.029068,47.716764,55.287035,50.0109556666667,470,545,357,1.29374267032454
"SCAMP4",66.90362,66.90362,19.1081,18.425907,21.81333,19.7824456666667,335,428,288,3.26735462654965
"SCAMP5",123.47607,123.47607,139.897305,148.337345,141.991669,143.408773,3580,4270,2843,0.861970276556536
"SCAND1",163.68048,163.68048,15.533902,16.208216,18.11362,16.6185793333333,123,170,98,9.34697837347385
"SCAND3P1",0,0,0.177481,0.167913,0.245978,0.197124,2,2,2,0.835335353731109
"SCAP",34.76914,34.76914,41.470532,32.979821,44.442892,39.6310816666667,1006,1153,867,0.880339349403652
"SCAPER",122.62551,122.62551,43.123369,42.783087,37.603141,41.1698656666667,791,831,674,2.93160786845286
