"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","DRG","dHs_Avg__TPM","FoldChange"
"Z95114.4",0,0,0,0,1
"Z95114.5",0,0,0,0,1
"Z95114.6",0,0,0,0,1
"Z95114.7",0,0,0,0,1
"Z95704.2",4.60546,4.60546,0.85722,0.85722,3.0181992440314
"Z95704.3",0.2282,0.2282,0.16726,0.16726,1.05220773435224
"Z95704.4",0,0,0,0,1
"Z95704.5",1.07876,1.07876,0.09409,0.09409,1.89998994598251
"Z97634.3",3.58894,3.58894,0,0,4.58894
"Z98256.1",31.05573,31.05573,102.52169,102.52169,0.30965230571487
"Z98881.1",1.65962,1.65962,0.07318,0.07318,2.47826086956522
"Z98941.1",0,0,0,0,1
"Z99715.1",1.14099,1.14099,3.88886,3.88886,0.437932360509403
"ZACN",0.41491,0.41491,0.19862,0.19862,1.18044918322738
"ZADH2",16.26432,16.26432,9.54444,9.54444,1.63729131181931
"ZAN",0,0,0,0,1
"ZAP70",2.96658,2.96658,1.49491,1.49491,1.5898689732295
"ZAR1",2.07453,2.07453,0.2718,0.2718,2.41746343764743
"ZAR1L",0,0,0.02091,0.02091,0.979518272913381
"ZBBX",3.90012,3.90012,0.39725,0.39725,3.50697441402755
"ZBED1",0,0,0,0,1
"ZBED1P1",0,0,0,0,1
"ZBED2",0,0,0,0,1
"ZBED3",9.79179,9.79179,3.23026,3.23026,2.55109378619754
"ZBED4",2.28198,2.28198,1.67263,1.67263,1.22799639306601
"ZBED5",25.82791,25.82791,18.85889,18.85889,1.35092696520299
"ZBED6",1.0995,1.0995,0.2718,0.2718,1.65080987576663
"ZBP1",0.37342,0.37342,0.63769,0.63769,0.838632464019442
"ZBTB1",15.68345,15.68345,10.3703,10.3703,1.46728318514023
"ZBTB10",1.9708,1.9708,1.74581,1.74581,1.08193939129073
"ZBTB11",4.4395,4.4395,4.06658,4.06658,1.07360389059287
"ZBTB12",6.38955,6.38955,2.00715,2.00715,2.45732670468716
"ZBTB12B",0,0,0,0,1
"ZBTB16",93.58208,93.58208,12.86879,12.86879,6.81977879829459
"ZBTB17",79.55825,79.55825,45.93457,45.93457,1.71639475976876
"ZBTB2",3.09105,3.09105,3.69024,3.69024,0.872247475608924
"ZBTB20",35.93087,35.93087,1.18129,1.18129,16.9307474017668
"ZBTB22",14.72917,14.72917,14.4996,14.4996,1.01481134997032
"ZBTB24",2.17826,2.17826,2.10124,2.10124,1.02483522719944
"ZBTB25",12.77911,12.77911,10.79891,10.79891,1.16782906217608
"ZBTB26",2.51018,2.51018,1.0663,1.0663,1.69877558921744
