"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg__TPM","FoldChange"
"CASP10",3.07031,3.07031,4.87036,4.78056,4.45707,4.70266333333333,0.713755970163649
"CASP12",0.29043,0.29043,0.16566,1.43693,0,0.534196666666667,0.8411112004328
"CASP14",0.41491,0.41491,0.16566,0,0,0.05522,1.34086730729137
"CASP16",0.12447,0.12447,0.33132,1.1606,0,0.497306666666667,0.750995120126805
"CASP1P1",0,0,0,0,0,0,1
"CASP1P2",0,0,0,0,0,0,1
"CASP2",6.34806,6.34806,7.10675,5.02926,5.85537,5.99712666666667,1.05015392032349
"CASP3",8.65079,8.65079,7.25584,7.32282,6.53267,7.03711,1.20077863809255
"CASP3P1",0,0,0,0,0,0,1
"CASP4",8.63005,8.63005,22.91056,7.21228,6.20495,12.1092633333333,0.734598867620072
"CASP5",0,0,0,0,0,0,1
"CASP6",7.75875,7.75875,5.46673,8.56631,10.02842,8.02048666666667,0.970984196713703
"CASP7",4.79217,4.79217,6.72573,8.28998,5.19992,6.73854333333333,0.748483241678128
"CASP8",2.48944,2.48944,6.52694,3.61996,6.33604,5.49431333333333,0.537306997814498
"CASP8AP2",15.28929,15.28929,8.61424,12.84947,16.93251,12.79874,1.18049111730491
"CASP9",36.6777,36.6777,27.00232,32.19276,26.56766,28.58758,1.2734295944447
"CASQ1",4.06608,4.06608,4.30712,2.51463,16.08043,7.63406,0.586755246083534
"CASQ2",2.17826,2.17826,3.47883,5.02926,1.59493,3.36767333333333,0.72767804674037
"CASR",0,0,0.06626,0,0,0.0220866666666667,0.978390612668202
"CASS4",0.66385,0.66385,1.80568,1.21586,0.54621,1.18925,0.760009135548704
"CAST",66.19828,66.19828,45.92051,39.34978,28.86174,38.04401,1.72109063592597
"CASZ1",2.34422,2.34422,2.73336,1.10533,3.84532,2.56133666666667,0.939035062677777
"CAT",31.96852,31.96852,33.62866,42.41707,27.96596,34.6705633333333,0.924250051559787
"CATSPER1",0.10373,0.10373,0.38101,0.46977,0.39327,0.414683333333333,0.780195803536716
"CATSPER2",23.04804,23.04804,12.29185,19.42619,18.54929,16.7557766666667,1.35437837789129
"CATSPER2P1",6.26508,6.26508,11.14881,11.93757,16.56109,13.2158233333333,0.511055872716482
"CATSPER3",1.38994,1.38994,0.94425,1.29876,0.41512,0.886043333333333,1.26717130924882
"CATSPER4",0,0,0.06626,0.35923,0,0.14183,0.875787113668409
"CATSPERB",0,0,0,0.05527,0.89578,0.317016666666667,0.759291833816327
"CATSPERD",0.35267,0.35267,2.00447,1.3264,0.48066,1.27051,0.595756019572695
"CATSPERG",12.50942,12.50942,6.39441,7.98602,7.07888,7.15310333333333,1.65696661107775
"CAV1",9.41837,9.41837,10.53588,15.58516,8.71751,11.61285,0.826012360410217
"CAV2",13.09029,13.09029,7.98474,15.22593,10.61832,11.27633,1.14776077215259
"CAV3",0.20745,0.20745,1.62345,0.2487,0.45882,0.77699,0.679491724770539
"CBFA2T2",14.10681,14.10681,15.77068,17.29843,15.86194,16.31035,0.872703902578515
"CBFA2T3",7.69651,7.69651,18.27212,13.23634,9.32927,13.6125766666667,0.595138708140225
"CBFB",31.03498,31.03498,15.50563,16.55233,29.69198,20.5833133333333,1.48424755297071
"CBL",2.94583,2.94583,4.90349,4.14499,2.99323,4.01390333333333,0.786977677405029
"CBLB",7.67576,7.67576,4.96975,5.55429,8.63012,6.38472,1.1748258566337
"CBLC",0.37342,0.37342,0.18222,0,0.15294,0.11172,1.23540100025186
"CBLL1",7.77949,7.77949,10.83406,6.85305,3.36465,7.01725333333333,1.0950745392437
"CBLN1",1.30695,1.30695,3.82671,4.31079,5.37471,4.50407,0.419135294427578
"CBLN2",8.63005,8.63005,2.98185,0.4974,78.82904,27.4360966666667,0.338655832862199
"CBLN3",2.38571,2.38571,2.73336,3.03966,3.27726,3.01676,0.84289576673737
"CBLN4",3.00807,3.00807,6.14593,2.76333,17.76275,8.89067,0.405237461162894
"CBR1",217.86722,217.86722,100.05768,99.03764,117.89399,105.663103333333,2.05194873541244
"CBR3",5.7672,5.7672,18.86849,9.06371,12.08217,13.3381233333333,0.47197250593232
"CBR4",31.11796,31.11796,33.59553,29.01493,37.42632,33.3455933333333,0.935140636188359
"CBS",73.79106,73.79106,66.64438,58.08514,157.37405,94.0345233333333,0.786988321472088
"CBWD1",11.0365,11.0365,10.50274,8.06892,9.91918,9.49694666666667,1.14666677675159
"CBWD2",7.55129,7.55129,10.23769,8.04128,5.87722,8.05206333333333,0.94467854290311
"CBWD3",5.99539,5.99539,3.37943,3.31599,5.09068,3.9287,1.41931746708057
"CBWD5",4.99962,4.99962,6.99079,11.08094,10.42169,9.49780666666667,0.571511763409627
"CBWD6",7.26086,7.26086,16.25109,10.50064,17.98124,14.91099,0.519192080442512
"CBWD7",0.4564,0.4564,0.76203,1.21586,0.87394,0.95061,0.746638231117445
