"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Spinal_cord","dHs_Avg__TPM","FoldChange"
"TAC1",17.15637,17.15637,18.993,18.993,0.908136347721703
"TAC3",5.97465,5.97465,21.3516,21.3516,0.312042538341774
"TAC4",0,0,0,0,1
"TACC1",83.72806,83.72806,57.87898,57.87898,1.43902051292329
"TACC2",49.51905,49.51905,17.87576,17.87576,2.67639819535743
"TACC3",11.51365,11.51365,18.74472,18.74472,0.633771965365931
"TACO1",11.90781,11.90781,8.87581,8.87581,1.30701279186214
"TACR1",0.56012,0.56012,0.15517,0.15517,1.35055446384515
"TACR2",1.14099,1.14099,1.02413,1.02413,1.05773344597432
"TACR3",0.80907,0.80907,0.27931,0.27931,1.41409822482432
"TACSTD2",3.65117,3.65117,3.0724,3.0724,1.14212012572439
"TADA1",7.13639,7.13639,5.95859,5.95859,1.16925842735382
"TADA2A",31.11796,31.11796,27.24812,27.24812,1.13699460353468
"TADA2B",11.57588,11.57588,7.29306,7.29306,1.51643422331443
"TADA3",49.29085,49.29085,44.84457,44.84457,1.09698596802195
"TAF1",10.26893,10.26893,6.17583,6.17583,1.57040091529482
"TAF10",333.58455,333.58455,373.80822,373.80822,0.89268199614192
"TAF11",16.38879,16.38879,13.62406,13.62406,1.18905351865351
"TAF12",14.87439,14.87439,19.55161,19.55161,0.772415883719086
"TAF13",76.2805,76.2805,100.73736,100.73736,0.759607876595186
"TAF13P2",0,0,0,0,1
"TAF15",198.57408,198.57408,150.8888,150.8888,1.31394862557345
"TAF1A",3.87937,3.87937,2.97929,2.97929,1.22619110444325
"TAF1B",3.25701,3.25701,5.61721,5.61721,0.643323999087229
"TAF1C",48.35731,48.35731,26.34813,26.34813,1.80477824260745
"TAF1D",165.42308,165.42308,134.84406,134.84406,1.2251038433333
"TAF2",6.76297,6.76297,5.64824,5.64824,1.16767294802835
"TAF3",7.65502,7.65502,7.78961,7.78961,0.984687602749155
"TAF4",5.78794,5.78794,4.3448,4.3448,1.27000823230055
"TAF4B",2.01229,2.01229,2.14137,2.14137,0.958909647701481
"TAF5",1.99155,1.99155,1.42758,1.42758,1.23231778149433
"TAF5L",6.45179,6.45179,5.89652,5.89652,1.08051452036679
"TAF6",51.11644,51.11644,29.63776,29.63776,1.70105255736712
"TAF6L",23.31773,23.31773,17.68955,17.68955,1.30114047689752
"TAF7",36.73994,36.73994,41.58597,41.58597,0.886205949987754
