"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"ABT1",4.43791,4.43791,4.88843,4.285503,5.231131,4.801688,188,179,143,0.937297903644594
"ABTB1",48.9411,48.9411,2.982307,4.057105,10.245762,5.76172466666667,62,115,92,7.38585234713786
"ABTB2",42.02045,42.02045,1.344934,1.96267,3.69669,2.33476466666667,85,140,90,12.900595484299
"ACAA1",75.50647,75.50647,46.486176,54.061449,53.958237,51.501954,591,740,475,1.45721185920052
"ACAA2",75.22716,75.22716,7.463552,10.616386,8.612113,8.89735033333333,146,199,117,7.70177445808644
"ACACA",32.49292,32.49292,87.127535,78.297049,72.405289,79.2766243333333,3380,3012,2176,0.417218838960231
"ACACB",5.52411,5.52411,3.694984,3.933355,3.564281,3.73087333333333,62,63,54,1.37904981603115
"ACAD10",18.43438,18.43438,11.611479,11.630295,14.269463,12.5037456666667,185,171,157,1.43918439222184
"ACAD11",18.15507,18.15507,6.956361,6.78533,9.702243,7.81464466666667,123,171,123,2.1730961058971
"ACAD8",12.44476,12.44476,28.56967,26.216904,35.090426,29.959,521,559,449,0.434276300914112
"ACAD9",16.85163,16.85163,16.730664,15.138342,15.036653,15.6352196666667,348,375,288,1.07312258916369
"ACADL",1.24137,1.24137,0.288112,0.704497,0.707281,0.56663,9,17,9,1.43069518648309
"ACADM",40.59287,40.59287,34.991444,30.116255,36.311604,33.8064343333333,538,526,442,1.19497646905381
"ACADS",15.76543,15.76543,1.771714,2.673468,3.757556,2.734246,38,59,46,4.4896426212949
"ACADSB",5.80342,5.80342,5.696079,5.142362,5.947202,5.59521433333333,415,396,308,1.03156920399302
"ACADVL",558.18304,558.18304,236.028354,256.563668,245.533457,246.041826333333,1257,1410,953,2.2635156495544
"ACAN",2.23447,2.23447,0.108891,0.370897,0.103268,0.194352,8,10,6,2.70813796937586
"ACAP1",87.42364,87.42364,9.140538,8.118628,5.692809,7.65065833333333,23,41,22,10.2216081820362
"ACAP2",12.22752,12.22752,19.442193,11.477702,6.945933,12.6219426666667,361,356,272,0.971045050157799
"ACAP3",106.66491,106.66491,237.983872,241.790025,300.03488,259.936259,2282,2631,2345,0.412610000666868
"ACAT1",92.14086,92.14086,122.137156,118.34408,129.991315,123.490850333333,655,741,527,0.748174341733618
"ACAT2",32.58602,32.58602,150.038137,113.788996,97.188096,120.338409666667,2596,2136,1199,0.276796276564572
"ACBD3",12.25855,12.25855,55.57853,50.960754,31.733687,46.0909903333333,687,749,476,0.281551734337066
"ACBD4",16.63439,16.63439,2.513592,3.070246,3.546908,3.043582,36,57,47,4.36108133827878
"ACBD5",44.13078,44.13078,22.086031,24.008406,24.78825,23.6275623333333,786,939,654,1.83253134797331
"ACBD6",167.8025,167.8025,44.648742,40.179244,47.697377,44.175121,561,617,466,3.7366252986904
"ACBD7",9.15512,9.15512,1.043718,2.012931,2.647439,1.90136266666667,46,68,57,3.50012086274863
"ACCS",16.07577,16.07577,2.852259,6.929111,6.720408,5.50059266666667,40,71,38,2.6268020279997
"ACCSL",0,0,0,0.041683,0,0.0138943333333333,0,1,0,0.986296073588208
"ACD",14.86543,14.86543,10.823814,17.900748,15.750557,14.8250396666667,143,186,143,1.00255230534546
"ACE",5.30687,5.30687,7.650195,4.932748,4.196313,5.59308533333333,104,116,46,0.956588559246111
"ACE2",0.0931,0.0931,0.257103,0.077158,0.190801,0.175020666666667,1,1,1,0.930281509942236
"ACE3P",0,0,0,0.036847,0,0.0122823333333333,0,1,0,0.987866691999959
"ACER1",0,0,0.061841,0,0.249022,0.103621,1,0,3,0.906108165756179
"ACER2",2.94826,2.94826,1.702671,1.924675,1.809561,1.81230233333333,61,75,46,1.40392444766785
"ACER3",43.29286,43.29286,5.618697,5.605735,6.031901,5.752111,410,489,347,6.559853651695
"ACHE",34.35498,34.35498,123.812487,148.175891,116.216143,129.401507,2791,3847,1730,0.271124013927232
"ACIN1",77.08922,77.08922,89.895784,89.267185,92.097629,90.4201993333333,1572,1683,1229,0.854179060748639
"ACLY",28.27225,28.27225,254.093676,248.408509,244.338036,248.946740333333,6921,7108,4396,0.117113949799713
"ACMSD",0.34138,0.34138,0.255707,0.275251,0.059046,0.196668,1,2,1,1.1209291131709
"ACO1",7.69651,7.69651,9.414829,8.829655,9.906688,9.383724,628,626,488,0.837513593389039
"ACO2",73.39614,73.39614,76.722101,90.811985,92.660824,86.7316366666667,1805,2351,1468,0.847996718477572
"ACOT1",1.36551,1.36551,2.580575,3.185492,1.979403,2.58182333333333,39,58,23,0.660420623760524
"ACOT11",1.61378,1.61378,0.582734,0.576701,0.609753,0.589729333333333,40,51,26,1.64416667994636
"ACOT12",0,0,0.331608,0.188218,0.467097,0.328974333333333,5,2,2,0.752459979788925
