"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"FAHD2CP",147.66123,147.66123,5.505573,3.107146,5.046261,4.55299333333333,65,27,53,26.7713683550854
"FAIM",32.49292,32.49292,5.916077,6.638301,4.036315,5.530231,86,41,55,5.12890279072823
"FAIM2",172.58178,172.58178,32.570992,25.155307,28.619647,28.781982,811,421,685,5.82841598655187
"FAM102A",149.05778,149.05778,21.357339,14.163907,13.665462,16.3955693333333,424,282,360,8.62620688777687
"FAM102B",4.12756,4.12756,3.30289,3.101764,3.696498,3.36705066666667,276,208,270,1.17414712843573
"FAM104A",11.42062,11.42062,5.416639,9.158742,7.482805,7.35272866666667,226,206,264,1.48701346538014
"FAM104B",29.82397,29.82397,5.903377,5.706719,6.31847,5.97618866666667,64,52,66,4.41845418362634
"FAM106A",0.27931,0.27931,3.969522,6.116247,0.653983,3.57991733333333,13,9,7,0.279330369281775
"FAM107A",1490.20534,1490.20534,0,0.126485,0.074978,0.0671543333333333,0,1,3,1397.36614791425
"FAM107B",108.4649,108.4649,25.318704,30.629371,20.42818,25.4587516666667,845,825,654,4.13719064977303
"FAM110A",3.72412,3.72412,0.873692,0.968592,1.364035,1.068773,20,16,25,2.28353714979846
"FAM110B",18.993,18.993,6.148314,6.933137,4.977898,6.019783,136,123,111,2.84809373737051
"FAM110C",3.38274,3.38274,0,1.021277,0.089651,0.370309333333333,0,11,4,3.19835813227573
"FAM110D",4.59308,4.59308,0.125919,0.197494,0.114578,0.145997,5,6,4,4.88053633648256
"FAM111A",9.80684,9.80684,4.451223,8.896087,4.65098,5.99943,192,233,184,1.54396000817209
"FAM111B",0.15517,0.15517,0.219307,0.543616,0.27447,0.345797666666667,11,22,6,0.858353397848562
"FAM114A1",10.98614,10.98614,16.902605,29.679085,18.908531,21.8300736666667,566,597,529,0.525015388693227
"FAM114A2",7.75858,7.75858,14.171504,19.010797,12.998151,15.393484,297,242,238,0.534272031497392
"FAM117A",3.69308,3.69308,4.248347,3.788612,3.698762,3.911907,99,74,91,0.95544968583485
"FAM117B",6.26893,6.26893,3.276029,3.194646,3.444371,3.30501533333333,290,225,267,1.6884794680561
"FAM118A",33.82739,33.82739,11.586819,13.594659,12.086799,12.422759,196,152,150,2.59465211287784
"FAM118B",12.91027,12.91027,15.35634,14.953103,18.431694,16.2470456666667,270,225,268,0.806530594795395
"FAM120A",29.11018,29.11018,12.57823,13.024354,12.554373,12.7189856666667,642,671,591,2.19478179594279
"FAM120AOS",32.12051,32.12051,11.10238,9.704557,11.612904,10.8066136666667,376,278,312,2.80525059386913
"FAM120B",22.31367,22.31367,12.944138,12.156377,11.464044,12.1881863333333,721,557,623,1.76776923003236
"FAM120C",5.92755,5.92755,2.897655,3.935104,4.083684,3.63881433333333,99,87,113,1.49338807337478
"FAM122A",5.46204,5.46204,1.868156,2.247514,2.379082,2.16491733333333,157,152,177,2.04177212843474
"FAM122B",17.03783,17.03783,6.15434,6.708571,6.606308,6.48973966666667,190,172,195,2.40833871439857
"FAM122C",19.33437,19.33437,1.644168,2.421437,1.821989,1.96253133333333,50,51,51,6.86384976631471
"FAM124A",19.92402,19.92402,0.557575,0.494131,0.58037,0.544025333333333,34,20,28,13.5516040755808
"FAM124B",1.95516,1.95516,0.05983,0.084121,0.114673,0.086208,2,2,3,2.72062072825831
"FAM126A",5.2448,5.2448,6.115575,9.665942,6.562341,7.44795266666667,464,539,450,0.739208687169886
"FAM126B",2.66895,2.66895,2.283123,2.447821,2.163235,2.29805966666667,240,223,232,1.11245713262313
"FAM131A",19.24127,19.24127,4.600815,3.211216,4.613382,4.14180433333333,156,92,148,3.93660837476442
"FAM131B",52.23074,52.23074,17.135343,15.661113,17.020615,16.6056903333333,859,638,752,3.02349632375487
"FAM131C",38.82392,38.82392,0.523885,0.320212,0.792798,0.545631666666667,12,6,16,25.7654658990553
"FAM133A",1.24137,1.24137,0.286184,0.207372,0.224824,0.23946,13,8,9,1.80834395623901
"FAM133B",18.86886,18.86886,31.716214,106.795499,83.875749,74.129154,242,229,229,0.264462714434399
"FAM135A",14.18268,14.18268,6.596915,5.681286,5.577778,5.951993,197,210,170,2.18393200338378
"FAM135B",0.9931,0.9931,0.273037,0,0.612916,0.295317666666667,4,0,3,1.53869591320327
"FAM136A",9.09305,9.09305,9.208746,12.400767,11.534105,11.0478726666667,256,260,257,0.837745407778491
"FAM138A",0,0,1.171987,0,0,0.390662333333333,7,0,0,0.719081818807202
"FAM138C",0,0,0.69933,1.833851,1.001503,1.178228,7,12,7,0.459088763894321
"FAM138D",0,0,0.148224,0,0,0.049408,2,0,0,0.952918216746966
"FAM13A",11.6689,11.6689,7.826133,12.499085,18.115398,12.8135386666667,248,209,196,0.917136463415505
"FAM13B",7.85168,7.85168,12.261731,18.322802,13.348991,14.644508,890,846,800,0.565801110523898
"FAM13C",70.47891,70.47891,8.229961,7.158638,7.632447,7.673682,63,50,65,8.24089585022831
"FAM149A",17.06887,17.06887,2.721883,2.180832,3.083715,2.66214333333333,28,18,23,4.93396034926723
"FAM149B1",31.00327,31.00327,9.58941,11.156151,10.378488,10.374683,239,192,226,2.81355269417178
"FAM149B1P1",0,0,0,0,0,0,0,0,0,1
"FAM151A",0.37241,0.37241,0,0.042613,0,0.0142043333333333,0,1,0,1.35318885444846
"FAM151B",3.63101,3.63101,1.797439,2.834821,1.488239,2.04016633333333,26,33,30,1.52327520676226
"FAM153A",3.84825,3.84825,0.196125,0,0.837265,0.344463333333333,4,0,3,3.6060856996224
"FAM153B",2.57585,2.57585,0,0.328383,0.107727,0.14537,0,2,2,3.12200424317033
"FAM155A",7.10686,7.10686,1.73785,1.889738,1.850312,1.82596666666667,246,214,230,2.86870333455219
"FAM155B",0.65172,0.65172,1.19599,0.783588,1.201124,1.060234,84,43,72,0.801714756673271
"FAM156A",1.95516,1.95516,38.02491,72.680744,43.981068,51.5622406666667,518,685,396,0.0562221085425316
"FAM156B",0.40345,0.40345,11.963316,3.981286,12.556896,9.50049933333333,426,70,388,0.133655548698033
"FAM157A",0.24827,0.24827,6.384581,1.610962,5.72605,4.57386433333333,268,124,179,0.223950553036424
"FAM160A1",0.06207,0.06207,0.206353,1.367893,0.0305,0.534915333333333,14,7,5,0.691940445792233
"FAM160A2",18.46541,18.46541,20.205768,16.108015,17.51476,17.9428476666667,436,326,371,1.02758626065778
"FAM160B1",7.29306,7.29306,9.460421,16.489661,11.93986,12.6299806666667,442,459,363,0.608442535819689
"FAM160B2",61.13758,61.13758,68.496548,53.77338,58.114198,60.128042,1081,715,920,1.0165151371935
"FAM161A",5.431,5.431,2.365663,3.974293,3.859436,3.39979733333333,83,91,80,1.46165823395502
"FAM161B",16.47922,16.47922,2.229985,1.812551,2.469103,2.17054633333333,137,90,135,5.51299938948482
"FAM162A",44.47216,44.47216,13.469032,12.065238,12.589841,12.708037,233,166,187,3.31718976247292
"FAM162B",2.01723,2.01723,7.843477,5.380723,7.356158,6.86011933333333,95,51,77,0.383865673286216
"FAM163A",0.31034,0.31034,0,0,0.025954,0.00865133333333333,0,0,1,1.29910104383609
"FAM163B",9.5896,9.5896,0.122945,0.092413,0.081263,0.0988736666666667,5,3,1,9.63677656606568
"FAM166A",2.29654,2.29654,0.283111,0.087375,0.241566,0.204017333333333,4,1,3,2.73795061643631
"FAM166B",2.54481,2.54481,0.414726,0.194537,0.156359,0.255207333333333,3,1,1,2.82408324574267
"FAM167A",11.23442,11.23442,0.3489,0.480613,0.735137,0.52155,22,21,22,8.04076106601821
"FAM167B",5.39997,5.39997,0.865928,0.548206,0.609281,0.674471666666667,10,5,6,3.82208318444723
"FAM168A",40.71701,40.71701,18.452412,19.543481,14.693287,17.56306,1879,1546,1361,2.24731321236908
"FAM168B",57.01002,57.01002,27.786102,31.212443,27.281905,28.76015,2317,2093,2009,1.94925159987433
"FAM169A",8.81374,8.81374,0.836933,1.050894,0.964011,0.950612666666667,58,59,76,5.03110646603682
"FAM169B",0,0,0.460951,0.710366,0.642652,0.604656333333333,5,6,6,0.623186397752042
"FAM170A",0.55862,0.55862,0,0.192264,0.069512,0.0872586666666667,0,1,1,1.43353191635477
"FAM170B",0.27931,0.27931,0,0,0,0,0,0,0,1.27931
"FAM171A1",71.2858,71.2858,26.72378,23.257746,26.434513,25.472013,1395,1037,1217,2.73064991317434
"FAM171A2",6.08272,6.08272,15.499273,14.135278,15.542079,15.0588766666667,463,309,363,0.441047038782082
"FAM171B",11.85511,11.85511,7.259741,8.172528,8.063519,7.83192933333333,627,570,614,1.45552681807388
"FAM172A",59.05829,59.05829,23.830565,12.590942,14.623372,17.0149596666667,249,224,224,3.33380096937584
"FAM174A",42.88941,42.88941,6.380563,6.377524,9.88216,7.546749,78,79,96,5.13521691113194
"FAM174B",25.47917,25.47917,8.378772,20.812024,17.497427,15.562741,41,40,44,1.59871907675185
"FAM177A1",106.97526,106.97526,41.610545,50.897074,45.49767,46.001763,632,668,591,2.29725978576591
"FAM177B",1.36551,1.36551,0,0,0,0,0,0,0,2.36551
"FAM178B",42.33079,42.33079,1.390889,2.8808,1.106597,1.792762,9,17,6,15.5153894245195
"FAM180A",1.27241,1.27241,0.147998,0,0,0.0493326666666667,2,0,0,2.16557634407646
"FAM180B",4.00343,4.00343,0.104547,0.064598,0.058663,0.075936,2,1,1,4.65030447907682
"FAM181A",4.93445,4.93445,0,0.134105,0,0.0447016666666667,0,2,0,5.68052123333456
"FAM181B",63.93067,63.93067,1.364275,0.879429,1.219502,1.154402,76,38,58,30.138604587259
"FAM182A",3.53791,3.53791,0.795956,2.377579,1.813501,1.66234533333333,41,78,66,1.70447835717781
"FAM183A",3.1655,3.1655,0.788924,2.584837,1.61758,1.66378033333333,3,7,5,1.56375506939323
"FAM184A",10.30339,10.30339,10.127534,3.486155,8.268899,7.294196,154,81,137,1.36280719674336
"FAM184B",4.56204,4.56204,0.106257,0.337489,0.086813,0.176853,11,29,8,4.72619774942155
"FAM185A",8.75167,8.75167,2.254052,2.483192,1.715108,2.150784,37,30,34,3.09499794336902
"FAM186A",0.93103,0.93103,0.328053,0.164175,0.595078,0.362435333333333,13,5,16,1.41733699409831
"FAM186B",0.12414,0.12414,0.447441,0.552428,0.217403,0.405757333333333,12,7,2,0.799668600934443
"FAM187A",4.65515,4.65515,0.712409,0.817436,0.847054,0.792299666666667,29,20,29,3.1552480342294
"FAM187B",0.24827,0.24827,0,0,0,0,0,0,0,1.24827
"FAM189A1",2.45171,2.45171,5.386588,4.81715,5.069513,5.09108366666667,341,241,318,0.566682414639847
"FAM189A2",10.61373,10.61373,2.640299,1.610559,2.319753,2.19020366666667,106,50,80,3.64043528673352
"FAM189B",27.7757,27.7757,14.331792,14.539099,15.09573,14.6555403333333,453,331,441,1.83805217752412
"FAM193A",21.47574,21.47574,10.226699,9.274486,8.039833,9.18033933333333,523,448,459,2.20775941391345
"FAM193B",84.07194,84.07194,103.964105,90.905554,94.314868,96.3948423333333,1003,667,808,0.873474795604081
"FAM199X",10.61373,10.61373,4.903266,6.69715,4.837558,5.47932466666667,569,604,496,1.79242908751704
"FAM200A",3.19653,3.19653,3.747854,4.44784,3.780258,3.991984,123,116,115,0.840653736069667
"FAM200B",60.64104,60.64104,33.57055,39.410242,35.321973,36.1009216666667,511,473,492,1.66144228312747
"FAM204A",38.32737,38.32737,16.693461,21.988924,18.907469,19.196618,290,262,278,1.94722552062925
"FAM204CP",0,0,0,0.198018,0,0.066006,0,1,0,0.938081023934199
"FAM205A",0.03103,0.03103,0.045052,0.069077,0.067935,0.060688,3,4,4,0.972038903051604
"FAM207A",28.33432,28.33432,12.920802,8.038212,10.493738,10.4842506666667,105,61,68,2.55430857889088
"FAM209A",0.49655,0.49655,0.852629,0,0,0.284209666666667,6,0,0,1.16534709155748
"FAM209B",0,0,0.273287,0.169263,0.462037,0.301529,2,1,3,0.76832709835893
"FAM20A",4.28273,4.28273,0.540471,0.343731,1.676693,0.853631666666667,23,8,24,2.8499351273491
"FAM20B",15.36198,15.36198,9.874262,9.061273,9.269469,9.401668,922,682,770,1.57301502028329
"FAM20C",47.48249,47.48249,29.8998,27.271836,32.14352,29.7717186666667,495,333,440,1.57555353099333
"FAM210A",3.35171,3.35171,5.393903,4.994958,5.203756,5.197539,147,145,138,0.702167424843958
"FAM210B",20.35851,20.35851,23.574099,39.14689,28.084549,30.2685126666667,1031,1369,1104,0.683067667071
"FAM214A",25.63434,25.63434,20.87012,18.524903,24.420674,21.271899,529,419,468,1.19587198199848
"FAM214B",22.3447,22.3447,18.944539,26.003188,13.949239,19.632322,627,685,537,1.13146256635584
"FAM215A",2.54481,2.54481,0.447237,0.145499,0.402714,0.331816666666667,4,1,3,2.66163510993755
"FAM216A",13.90337,13.90337,11.665352,7.744726,11.062033,10.1573703333333,131,72,134,1.33574216457396
"FAM216B",0.06207,0.06207,0,0,0,0,0,0,0,1.06207
"FAM217A",0,0,0,0,2.213463,0.737821,0,0,1,0.575433258085844
"FAM217B",7.29306,7.29306,9.639574,10.1558,6.054472,8.61661533333333,514,498,398,0.862367861513022
"FAM218A",3.0724,3.0724,0.22818,0.323235,0.514259,0.355224666666667,7,8,14,3.00496301474245
"FAM219A",105.70285,105.70285,16.48538,17.295066,16.683045,16.8211636666667,844,598,767,5.9874232679643
"FAM219B",27.96191,27.96191,130.280022,74.545641,140.486415,115.104026,1151,814,979,0.24944793904046
"FAM220A",10.5827,10.5827,8.724384,2.636888,1.54556,4.30227733333333,227,13,14,2.18447645640565
"FAM221A",18.89989,18.89989,4.552036,2.627341,3.020766,3.40004766666667,101,48,52,4.52265327731677
"FAM221B",0.49655,0.49655,0.192379,0.37187,0.262052,0.275433666666667,3,3,3,1.17336560819444
"FAM222A",66.63066,66.63066,2.09633,2.20307,2.528035,2.27581166666667,97,77,95,20.6454664925283
"FAM222B",9.06202,9.06202,10.610594,12.700852,12.376557,11.896001,550,467,582,0.78024342584961
"FAM225A",1.67585,1.67585,0,4e-06,0,1.33333333333333e-06,0,0,0,2.67584643220476
"FAM225B",0.21724,0.21724,0.008447,0.013737,0,0.00739466666666667,1,1,0,1.2083049873866
"FAM227A",2.0793,2.0793,2.596157,2.240386,2.064544,2.30036233333333,196,133,159,0.933018768545312
"FAM227B",10.64477,10.64477,1.827909,3.788428,2.379997,2.66544466666667,19,30,21,3.17690513947648
"FAM228A",2.91722,2.91722,0.226874,0.142771,0.769,0.379548333333333,2,3,3,2.8394945688746
"FAM228B",103.62355,103.62355,10.513025,15.293481,10.64868,12.1517286666667,120,127,102,7.95511773788115
"FAM24A",0,0,0.140296,0,0,0.0467653333333333,1,0,0,0.955323956722551
"FAM24B",5.46204,5.46204,0.317324,0.500761,0.15173,0.323271666666667,2,3,1,4.88338121549745
"FAM25A",4.96549,4.96549,0,0,0,0,0,0,0,5.96549
"FAM25C",0,0,0,0,0,0,0,0,0,1
"FAM25E",0,0,0,0,0,0,0,0,0,1
"FAM25G",0,0,0,1.805618,0.548939,0.784852333333333,0,3,1,0.560270438805675
"FAM27C",0,0,7.059724,7.46025,6.396909,6.97229433333333,140,112,109,0.125434405478339
"FAM27E3",14.98957,14.98957,3.284402,3.294326,2.982565,3.18709766666667,74,60,59,3.81877168218272
"FAM32A",31.62396,31.62396,44.450059,47.366292,44.738597,45.518316,774,637,728,0.701314295212234
"FAM3A",97.72703,97.72703,12.918802,9.114512,12.290618,11.4413106666667,189,125,131,7.93542036246342
"FAM3B",1.61378,1.61378,0.024279,0.150357,0.111713,0.0954496666666667,1,5,2,2.3860338631107
"FAM3C",23.86538,23.86538,69.351797,86.544641,63.529939,73.1421256666667,1730,1614,1514,0.335374522599898
"FAM3D",0.46551,0.46551,0,0,0,0,0,0,0,1.46551
"FAM41C",1.79999,1.79999,1.599329,6.624512,3.828044,4.017295,6,22,14,0.558067644019337
"FAM43A",6.29996,6.29996,0.366764,1.118213,0.616382,0.700453,17,40,24,4.29295017268928
"FAM43B",3.22757,3.22757,0.48174,0.474608,0.197613,0.384653666666667,15,11,5,3.0531605857638
"FAM47A",0,0,0,0,0,0,0,0,0,1
"FAM47B",0,0,0,0,0,0,0,0,0,1
"FAM47C",0,0,0,0,0,0,0,0,0,1
"FAM47E",24.39297,24.39297,3.341861,1.836863,2.816346,2.66502333333333,79,56,62,6.92846066464333
"FAM50A",115.26142,115.26142,80.782474,76.409785,74.281883,77.1580473333333,578,494,499,1.4875169476044
"FAM50B",16.9137,16.9137,0.217318,0.217877,0.100662,0.178619,5,4,2,15.1988895478522
"FAM53A",9.09305,9.09305,0.386067,1.198088,0.682099,0.755418,7,10,10,5.74965620723953
"FAM53B",36.99289,36.99289,3.270115,2.600144,2.178157,2.68280533333333,298,190,173,10.3162905886237
"FAM53C",9.99305,9.99305,29.172557,30.62193,25.552513,28.449,1557,1299,1294,0.373291113450372
"FAM66C",26.6895,26.6895,2.258024,1.819619,1.881676,1.98643966666667,26,30,27,9.27174264026094
"FAM66E",0.62069,0.62069,0.052311,0,0.132119,0.0614766666666667,2,0,3,1.52682583696297
"FAM71A",0.0931,0.0931,0,0,0,0,0,0,0,1.0931
"FAM71B",0,0,0,0,0,0,0,0,0,1
"FAM71C",0.21724,0.21724,0,0,0,0,0,0,0,1.21724
"FAM71D",0.12414,0.12414,0.96911,0.335738,0.067546,0.457464666666667,2,3,1,0.77129828647647
"FAM71E1",4.74825,4.74825,1.493454,0.381723,0.707395,0.860857333333333,7,3,4,3.08903315532697
"FAM71E2",0,0,0,0,0,0,0,0,0,1
"FAM71F1",0.68275,0.68275,0.097575,0.458123,0.212886,0.256194666666667,1,4,3,1.33956149046963
"FAM71F2",7.07582,7.07582,3.243484,3.081229,2.692372,3.005695,105,98,92,2.01608459955139
"FAM72A",3.53791,3.53791,19.202049,13.398389,15.530715,16.0437176666667,157,74,138,0.266251183500595
"FAM72B",1.58275,1.58275,10.927781,11.82877,15.500143,12.7522313333333,111,113,117,0.187805886724709
"FAM72C",0,0,0.558215,1.080416,0.653626,0.764085666666667,18,29,19,0.566865894834661
"FAM72D",0,0,2.955531,1.630653,2.527422,2.371202,104,46,78,0.296630104040043
"FAM74A1",0.40345,0.40345,0,0,0,0,0,0,0,1.40345
"FAM74A4",0,0,0,0,0,0,0,0,0,1
"FAM76A",8.5034,8.5034,0.969109,0.964615,1.956684,1.29680266666667,38,42,50,4.13766499748636
"FAM76B",17.37921,17.37921,23.199769,23.774588,16.734046,21.2361343333333,340,304,223,0.826546994386899
"FAM78A",4.96549,4.96549,0.83962,0.2773,1.415973,0.844297666666667,32,14,32,3.2345592079948
"FAM78B",3.63101,3.63101,4.841916,3.752593,5.222872,4.60579366666667,321,196,301,0.826111390352636
"FAM81A",10.73787,10.73787,1.288034,0.675236,2.205063,1.38944433333333,12,3,9,4.91238479015972
"FAM81B",2.42068,2.42068,0.602617,0,0,0.200872333333333,3,0,0,2.84849596834745
"FAM83A",0.31034,0.31034,0.048515,0.030788,0.027676,0.0356596666666667,4,2,2,1.26522258438181
"FAM83B",0.0931,0.0931,0.043679,0.039935,0.069897,0.0511703333333333,4,3,6,1.03988855596191
"FAM83C",0.12414,0.12414,0.041754,0,0,0.013918,2,0,0,1.10870898830083
"FAM83D",0.96206,0.96206,0.882764,1.414818,0.540821,0.946134333333333,30,38,16,1.00818323092805
"FAM83E",0,0,0.716408,0.462424,0.429728,0.536186666666667,5,3,5,0.650962556633742
"FAM83F",0.46551,0.46551,0.194646,0.178121,0.220171,0.197646,24,22,22,1.22365874390262
"FAM83G",0.83793,0.83793,0.449444,0.421302,0.387669,0.419471666666667,36,24,25,1.29479865161099
"FAM83H",1.11724,1.11724,1.506305,0.872359,1.343555,1.24073966666667,125,55,92,0.944884419861953
"FAM86B1",12.81717,12.81717,5.76169,4.559088,5.922529,5.41443566666667,102,56,83,2.1540741412066
"FAM86B2",1.21034,1.21034,0.24068,0.133433,0.201608,0.191907,4,2,3,1.85445676550268
"FAM86C2P",4.74825,4.74825,2.757842,2.145739,2.37666,2.426747,81,57,58,1.67746553801608
"FAM86DP",6.02066,6.02066,7.051265,9.644437,9.790609,8.82877033333333,159,160,187,0.714296881695374
"FAM86EP",2.57585,2.57585,3.117581,4.728536,3.041351,3.629156,48,47,45,0.772462626016492
"FAM86JP",0.18621,0.18621,0.785218,0.340064,0.792724,0.639335333333333,17,7,15,0.723592041164651
"FAM86KP",0,0,0.186724,0,0.094649,0.093791,2,0,1,0.91425144291734
"FAM87A",0.06207,0.06207,0.200456,0.111851,0.248479,0.186928666666667,1,2,3,0.894805248054783
"FAM87B",0,0,0.041821,0.088433,0,0.043418,1,2,0,0.95838868027962
"FAM89A",45.80664,45.80664,5.677946,9.209548,6.368885,7.08545966666667,109,142,108,5.78898936234464
"FAM89B",23.21366,23.21366,8.523553,13.718936,13.347966,11.863485,132,167,172,1.88235614221185
"FAM8A1",12.59993,12.59993,10.377053,11.362413,11.258664,10.9993766666667,718,622,680,1.13338637312549
"FAM90A1",1.55172,1.55172,0.778629,0.824846,0.406883,0.670119333333333,7,6,3,1.52786687099006
"FAM90A11P",24.3309,24.3309,0.10954,0.046831,0.192278,0.116216333333333,4,1,6,22.6935399917997
"FAM90A12P",0.12414,0.12414,0,0.042608,0,0.0142026666666667,0,1,0,1.10839779557537
"FAM90A24P",0.12414,0.12414,0.204253,0,0.214704,0.139652333333333,7,0,7,0.986388538960859
"FAM90A27P",0,0,0,0,0,0,0,0,0,1
"FAM91A1",9.34133,9.34133,9.695409,14.296227,7.457335,10.4829903333333,550,686,500,0.900578133378788
"FAM95B1",6.4241,6.4241,51.443452,37.68936,47.270722,45.4678446666667,1495,1017,1315,0.159768546470278
"FAM96AP1",0,0,0,0,0,0,0,0,0,1
"FAM98A",25.04469,25.04469,185.649575,171.857639,154.581679,170.696297666667,1333,1267,1327,0.1516904578255
"FAM98B",22.62401,22.62401,24.876699,34.399076,26.956819,28.744198,289,288,240,0.794239266427691
"FAM98C",78.98231,78.98231,6.598134,5.340126,7.713666,6.550642,96,60,65,10.5927827064242
"FAM99A",0,0,0,0,0,0,0,0,0,1
"FAM9A",0.12414,0.12414,0,0,0,0,0,0,0,1.12414
"FAM9B",0,0,0.052857,0,0.021265,0.0247073333333333,2,0,1,0.975888400004944
"FAM9C",0.18621,0.18621,0.04537,0.024545,0,0.023305,4,1,0,1.15919496142401
"FAN1",22.59298,22.59298,9.303358,8.739707,10.014858,9.352641,724,530,672,2.27893346248556
"FANCA",36.77565,36.77565,21.51129,24.330377,17.357657,21.0664413333333,199,232,158,1.71190494331936
"FANCB",0.12414,0.12414,0.405397,1.432569,0.678142,0.838702666666667,12,31,11,0.611376717062102
"FANCC",4.28273,4.28273,5.562223,5.752857,5.240593,5.51855766666667,235,177,218,0.810413939729919
"FANCD2",4.18963,4.18963,20.838529,9.604622,5.873607,12.105586,98,180,77,0.395986108518917
"FANCE",2.66895,2.66895,0.818421,0.959227,1.694652,1.15743333333333,30,28,54,1.70060874804938
"FANCF",4.03446,4.03446,2.522268,2.49344,2.365933,2.460547,123,98,102,1.45481624725802
"FANCG",16.88266,16.88266,18.026627,15.711212,19.062641,17.60016,187,136,166,0.961425063010211
"FANCI",5.27583,5.27583,16.46423,37.83909,13.057154,22.4534913333333,261,404,179,0.26758617345301
"FANCL",51.79626,51.79626,11.383843,10.923563,10.939376,11.0822606666667,202,165,194,4.36973356696879
"FANCM",4.81032,4.81032,6.666772,9.111668,6.002619,7.260353,92,105,78,0.703398510935307
"FANK1",17.65852,17.65852,1.836087,3.562476,2.028842,2.47580166666667,18,32,22,5.36811987258575
"FAP",7.07582,7.07582,3.052454,18.433454,1.690082,7.72533,55,276,27,0.925560408603457
"FAR1",47.73076,47.73076,11.132239,15.478471,12.181215,12.9306416666667,872,869,773,3.4980987355811
"FAR2",7.60341,7.60341,12.987161,15.799305,16.184499,14.9903216666667,264,261,254,0.538038582296604
"FARP1",18.96196,18.96196,90.174061,97.928621,81.657925,89.9202023333333,2133,1889,1928,0.219554724777394
"FARP2",38.54461,38.54461,32.41881,35.210137,23.520094,30.3830136666667,687,689,608,1.26006413596927
"FARS2",44.47216,44.47216,4.583627,6.93572,4.966811,5.495386,113,71,70,7.00068633334493
"FARSA",28.95501,28.95501,30.594354,27.390618,29.944194,29.309722,547,447,495,0.988297088307178
"FARSB",13.34475,13.34475,5.183816,4.837909,5.554219,5.19198133333333,548,403,524,2.31666557564988
"FAS",6.76548,6.76548,3.176199,3.871725,3.737457,3.595127,47,68,52,1.68993805829523
"FASLG",0.43448,0.43448,0,0,0,0,0,0,0,1.43448
"FASN",137.29577,137.29577,227.224294,176.92207,156.698784,186.948382666667,5233,3993,3853,0.735817824222902
"FASTK",92.82361,92.82361,41.749123,37.070981,35.609465,38.1431896666667,566,441,487,2.39693317787788
"FASTKD1",10.86201,10.86201,16.672894,18.637006,14.244598,16.518166,245,239,234,0.677126247119704
"FASTKD2",5.12066,5.12066,8.904081,8.168933,8.754567,8.60919366666667,510,366,443,0.636958751412406
"FASTKD3",8.06892,8.06892,5.767048,6.5633,9.409382,7.24657666666667,98,82,95,1.09971935829534
"FASTKD5",3.1655,3.1655,5.385567,6.409955,6.848814,6.21477866666667,227,218,257,0.577356588809192
"FAT1",23.74124,23.74124,131.003966,264.784374,128.484483,174.757607666667,3063,5319,2243,0.140769098581058
"FAT1P1",0,0,0,0,0,0,0,0,0,1
"FAT2",5.02756,5.02756,0.17381,0.144948,0.217603,0.178787,35,27,23,5.11335805366025
"FAT3",0.9931,0.9931,6.081274,4.534044,4.425563,5.013627,533,378,472,0.331430599204108
"FAT4",0.68275,0.68275,0.575983,0.703554,0.613619,0.631052,150,124,141,1.0316961077881
"FATE1",0.77586,0.77586,0,0,0,0,0,0,0,1.77586
"FAU",1499.42253,1499.42253,239.50477,261.117288,283.206904,261.276320666667,923,772,960,5.72077008776909
"FAXC",12.13441,12.13441,9.132894,7.483924,9.949522,8.85544666666667,279,184,260,1.33270570520396
"FBF1",21.38264,21.38264,2.804911,2.506192,3.219881,2.84366133333333,80,56,62,5.82326018317257
"FBL",61.94448,61.94448,53.766084,60.738571,53.573861,56.026172,357,319,323,1.10378231244419
"FBLIM1",9.89994,9.89994,27.380314,48.589095,26.051925,34.0071113333333,439,489,366,0.311363593991293
"FBLL1",12.10338,12.10338,5.952584,5.95486,8.188718,6.69872066666667,81,62,92,1.7020204482459
"FBLN1",28.45846,28.45846,41.193502,114.137962,39.231146,64.8542033333333,680,1797,627,0.447328469693734
"FBLN2",36.89979,36.89979,6.148679,14.221771,5.941554,8.770668,196,334,163,3.87893540134615
"FBLN5",19.70678,19.70678,12.351962,12.64109,17.035011,14.0093543333333,401,252,357,1.37959165598573
"FBLN7",1.89309,1.89309,0.104713,0.206246,0.102795,0.137918,5,5,4,2.54244154675469
"FBN1",10.61373,10.61373,67.116182,127.816214,52.691696,82.541364,4191,7606,3067,0.139017720610834
"FBN2",0.37241,0.37241,6.630835,28.388812,5.275895,13.4318473333333,1155,3944,804,0.0950959338954574
"FBN3",0.40345,0.40345,11.04489,5.880755,7.515995,8.14721333333333,353,143,225,0.153429241109496
"FBP1",6.05169,6.05169,0.194267,0.069893,0.767461,0.343873666666667,4,1,7,5.24728638927121
"FBP2",0.93103,0.93103,0.2215,0.41146,0.563632,0.398864,4,6,9,1.38042726097748
"FBRS",56.23416,56.23416,37.214257,32.041967,28.702609,32.6529443333333,865,644,682,1.70071775690989
