"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","FoldChange"
"ACSBG1",144.6509,144.6509,6.630397,3.875408,5.355253,5.28701933333333,23.1669241460368
"ACSBG2",1.45861,1.45861,0.74582,0.53011,0.820644,0.698858,1.44721336332995
"ACSF2",25.57227,25.57227,42.632059,13.17411,6.555456,20.7872083333333,1.219627113004
"ACSF3",30.53776,30.53776,22.250491,16.962759,21.849371,20.354207,1.47688743487407
"ACSL1",69.45478,69.45478,85.585307,101.814344,82.647096,90.0155823333333,0.774095799793579
"ACSL3",27.62053,27.62053,127.281776,105.351012,89.76463,107.465806,0.263866844819279
"ACSL4",11.26545,11.26545,69.219653,62.683685,53.413498,61.7722786666667,0.195395965552437
"ACSL5",6.39307,6.39307,0.206791,0.83348,0.182037,0.407436,5.25286407339303
"ACSL6",6.70341,6.70341,13.388689,15.367533,10.761177,13.1724663333333,0.543547595656075
"ACSM1",0,0,0.060423,0,0,0.020141,0.980256650796312
"ACSM2A",0.89999,0.89999,0.816039,2.615985,1.21988,1.55063466666667,0.744908718143876
"ACSM2B",0.31034,0.31034,0.4576,0.459343,0.100414,0.339119,0.978509004800918
"ACSM3",2.94826,2.94826,1.696961,2.786466,2.358993,2.28080666666667,1.20344183645892
"ACSM4",0,0,0.215017,0.529825,0.278182,0.341008,0.745707706441721
"ACSM5",13.62406,13.62406,0.201606,0,0.029441,0.0770156666666667,13.5783168737564
"ACSS1",11.762,11.762,7.426916,3.07265,5.466344,5.32197,2.01867455872141
"ACSS2",32.46188,32.46188,183.462238,133.340645,131.295035,149.365972666667,0.222536252095936
"ACSS3",10.33442,10.33442,6.876982,2.730375,3.127256,4.244871,2.16104838422146
"ACTA1",95.18222,95.18222,43.17532,0.074509,0.342321,14.5307166666667,6.19303165876655
"ACTA2",176.80245,176.80245,25.800466,5.539749,5.485474,12.2752296666667,13.3935498265956
"ACTB",3982.32224,3982.32224,2138.164791,2243.689595,2712.36844,2364.740942,1.68375250615247
"ACTBL2",0.06207,0.06207,0,0.02739,0.030881,0.0194236666666667,1.04183376816508
"ACTC1",18.06197,18.06197,869.621513,0.354562,0.525835,290.167303333333,0.0654674126585481
"ACTG1",1354.27508,1354.27508,1869.624603,1654.156602,1676.836666,1733.53929033333,0.781345852211599
"ACTG2",42.08252,42.08252,5.162967,3.078347,2.858471,3.69992833333333,9.16663339192761
