"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","FoldChange"
"ACTRT3",0.74482,0.74482,1.932933,1.298673,1.10969,1.44709866666667,0.713015794486423
"ACVR1",14.33785,14.33785,10.293467,6.920874,8.64507,8.61980366666667,1.59440364184841
"ACVR1B",8.5034,8.5034,48.344712,56.21844,50.405514,51.656222,0.180480095970425
"ACVR1C",0.49655,0.49655,0.085592,0.01581,0.078937,0.060113,1.41168913125299
"ACVR2A",2.94826,2.94826,21.953394,22.142775,18.03743,20.7111996666667,0.181853608304371
"ACVR2B",0.24827,0.24827,5.621371,6.286207,4.135278,5.34761866666667,0.196651699724033
"ACVRL1",17.75162,17.75162,0.977561,0.665953,0.737498,0.793670666666667,10.4543271786051
"ACY1",20.60678,20.60678,11.585949,14.971368,6.534318,11.030545,1.79599344834336
"ACY3",10.92408,10.92408,0,0.060569,0.057567,0.0393786666666667,11.4723155115749
"ACYP1",30.01017,30.01017,51.832918,41.241443,48.301687,47.1253493333333,0.644362491484737
"ACYP2",605.10691,605.10691,18.41451,13.003516,14.903801,15.440609,36.8664512366908
"ADA",4.03446,4.03446,2.258658,0.858817,1.431334,1.51626966666667,2.00076329921713
"ADAD1",0.40345,0.40345,0,0,0,0,1.40345
"ADAD2",1.14827,1.14827,0.178842,0.074922,0.070358,0.108040666666667,1.9388006818041
"ADAL",8.5965,8.5965,8.23178,6.902908,8.197069,7.77725233333333,1.09333759991785
"ADAM10",30.755,30.755,48.401335,37.964021,33.127324,39.8308933333333,0.777719942122256
"ADAM11",4.84135,4.84135,12.135299,18.856095,12.260095,14.417163,0.378886180291406
"ADAM12",0.55862,0.55862,5.204425,0.663844,0.321587,2.06328533333333,0.508806666829165
"ADAM15",204.26781,204.26781,18.325861,18.913974,21.753602,19.664479,9.93336488183418
"ADAM17",13.22061,13.22061,9.314443,10.543808,8.210981,9.35641066666667,1.37312148559063
"ADAM18",0,0,0.035333,0,0,0.0117776666666667,0.988359432062314
"ADAM19",3.28964,3.28964,12.802374,10.819058,9.049793,10.8904083333333,0.360764734039832
"ADAM2",0,0,0,0,0,0,1
"ADAM20",0.37241,0.37241,0.114799,0.050835,0.079841,0.081825,1.26860629029649
"ADAM21",0.15517,0.15517,0.189499,0.210079,0.228701,0.209426333333333,0.955138786184855
"ADAM21P1",0.18621,0.18621,0.042586,0.029771,0.053179,0.0418453333333333,1.13856631310598
"ADAM22",11.63787,11.63787,7.358498,6.092743,6.007486,6.48624233333333,1.68814599331476
"ADAM23",6.54824,6.54824,27.791034,31.634925,27.866773,29.0975773333333,0.250792278607762
"ADAM28",14.02751,14.02751,0.355878,0.070795,0.656699,0.361124,11.0405150449188
"ADAM29",0.52758,0.52758,1.590352,2.275208,1.575598,1.81371933333333,0.542904184473268
"ADAM30",0.06207,0.06207,0,0,0,0,1.06207
"ADAM32",1.70689,1.70689,10.297747,6.150251,3.037132,6.49504333333333,0.361157351547445
"ADAM33",5.2448,5.2448,0.444232,0.218073,0.256207,0.306170666666667,4.78099850147199
"ADAM3A",0.68275,0.68275,0.231017,0.145255,0.379927,0.252066333333333,1.34397831424799
"ADAM3B",0,0,0,0.072133,0,0.0240443333333333,0.976520222269023
"ADAM5",0,0,0,0,0.191015,0.0636716666666667,0.940139736102776
"ADAM6",0,0,0,0,0,0,1
"ADAM7",0,0,0.036155,0,0,0.0120516666666667,0.988091846430765
"ADAM8",11.35856,11.35856,5.609723,5.136056,1.568834,4.104871,2.42093482871555
"ADAM9",17.25507,17.25507,16.019604,9.068817,10.587437,11.8919526666667,1.41600504376658
"ADAMDEC1",0.40345,0.40345,0,0,0,0,1.40345
"ADAMTS1",29.29639,29.29639,55.689489,22.602635,30.236182,36.176102,0.814942620934276
"ADAMTS10",7.94478,7.94478,48.620767,43.508264,28.643638,40.2575563333333,0.216803436629455
"ADAMTS12",21.87919,21.87919,2.080716,0.450845,0.431766,0.987775666666667,11.5099457064823
"ADAMTS13",6.54824,6.54824,10.04404,9.219637,9.619661,9.62777933333333,0.71023680142901
"ADAMTS14",1.73792,1.73792,3.928993,0.380792,1.570922,1.96023566666667,0.924899335154284
"ADAMTS15",0.68275,0.68275,1.427798,0.893566,0.827734,1.04969933333333,0.820974068066568
"ADAMTS16",0.43448,0.43448,1.432414,0.115256,0.125197,0.557622333333333,0.920942111127922
"ADAMTS17",2.1724,2.1724,1.976097,1.195484,3.145809,2.10579666666667,1.02144484667917
"ADAMTS18",2.35861,2.35861,1.366388,1.547924,0.38092,1.09841066666667,1.60054943169688
"ADAMTS19",0.52758,0.52758,0.03761,0.181964,0.167547,0.129040333333333,1.3529897514733
"ADAMTS2",2.57585,2.57585,3.004416,1.513027,3.126211,2.54788466666667,1.00788225547354
"ADAMTS20",0,0,0.066632,0.128782,0.303561,0.166325,0.857393951085675
"ADAMTS3",0.03103,0.03103,0.622413,0.414049,0.789348,0.608603333333333,0.640947322832851
"ADAMTS4",39.75495,39.75495,0.689029,0.211108,0.171046,0.357061,30.0317745480859
"ADAMTS5",0.46551,0.46551,1.658729,0.507028,0.635813,0.933856666666667,0.757817280494763
"ADAMTS6",0.24827,0.24827,0.575044,0.43741,0.797161,0.603205,0.778609098649268
"ADAMTS7",2.35861,2.35861,5.225607,7.926553,5.892613,6.34825766666667,0.457062089049409
"ADAMTS8",1.45861,1.45861,0.259596,0.126229,0.215574,0.200466333333333,2.04804577332309
"ADAMTS9",3.69308,3.69308,6.259008,1.208773,3.446049,3.63794333333333,1.01188817169679
"ADAMTSL1",3.87929,3.87929,0.534643,0.391798,0.357426,0.427955666666667,3.41697583048213
"ADAMTSL2",6.5172,6.5172,1.503801,0.858924,1.307203,1.22330933333333,3.38108597274213
"ADAMTSL3",5.95859,5.95859,1.141787,0.488298,0.557855,0.729313333333333,4.02390351468984
"ADAMTSL4",4.2517,4.2517,0.717708,0.666369,0.399532,0.594536333333333,3.29355931891591
"ADAMTSL5",3.28964,3.28964,2.484078,1.829524,1.172891,1.828831,1.51640023741256
"ADAP1",155.45084,155.45084,53.265804,60.189014,55.280346,56.2450546666667,2.73300184463096
"ADAP2",12.04131,12.04131,4.717453,6.427834,6.170847,5.77204466666667,1.92575664247932
"ADAR",49.18938,49.18938,93.089729,94.857624,66.868309,84.938554,0.584014713582451
"ADARB1",7.44823,7.44823,34.100105,17.143214,24.363699,25.2023393333333,0.322422738387048
"ADARB2",53.87556,53.87556,0.753625,0.498108,0.982045,0.744592666666667,31.4546547446223
"ADAT1",18.15507,18.15507,56.120434,59.301982,46.931663,54.1180263333333,0.347528227592136
"ADAT2",2.51378,2.51378,1.034206,0.933793,1.210028,1.05934233333333,1.70626318078571
"ADAT3",10.39649,10.39649,0.640923,0.544088,0.678522,0.621177666666667,7.02976005303141
"ADCK1",10.45856,10.45856,5.533056,5.09672,4.52841,5.05272866666667,1.89312302451357
"ADCK2",21.75505,21.75505,18.274489,18.137657,20.53215,18.981432,1.13880977099139
"ADCK5",6.70341,6.70341,4.64823,6.892405,2.963806,4.83481366666667,1.32024952981932
"ADCY1",3.81722,3.81722,7.782219,24.050607,11.111329,14.3147183333333,0.314548390322991
"ADCY10",0.52758,0.52758,0.05134,0.113811,0.077332,0.0808276666666667,1.41334279933002
"ADCY10P1",4.37584,4.37584,0.720345,1.193713,1.246195,1.05341766666667,2.61799637125293
"ADCY2",158.52324,158.52324,72.342279,68.200436,73.510891,71.351202,2.20484574672305
