"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","FoldChange"
"ACOT4",0.65172,0.65172,0.124947,0.174781,0.261237,0.186988333333333,1.3915216802187
"ACOT6",0.37241,0.37241,0.188194,0,0.040322,0.076172,1.27527012410656
"ACOT7",54.80659,54.80659,18.509861,18.078012,11.411107,15.99966,3.28280624436018
"ACOT8",44.47216,44.47216,14.918157,12.104523,11.463739,12.8288063333333,3.28822017634253
"ACOT9",12.19648,12.19648,29.935853,23.797934,22.855973,25.52992,0.497418763418812
"ACOX1",43.5101,43.5101,26.743277,25.166,14.165662,22.0249796666667,1.93312222830917
"ACOX2",11.35856,11.35856,17.904677,19.718667,13.035042,16.8861286666667,0.690957793624281
"ACOX3",11.85511,11.85511,11.241262,6.789727,5.371668,7.80088566666667,1.46066094787354
"ACOXL",0,0,0.725081,0.07677,0.356086,0.385979,0.721511653495471
"ACP1",54.83762,54.83762,30.223411,32.418039,30.824921,31.155457,1.73648970375386
"ACP2",24.85848,24.85848,43.214406,45.839884,42.704658,43.9196493333333,0.575660771706232
"ACP5",37.21013,37.21013,0.224677,1.062225,0,0.428967333333333,26.7396805431988
"ACP6",6.70341,6.70341,5.616296,6.558338,5.860511,6.011715,1.0986484761574
"ACPP",1.36551,1.36551,0.862381,0.252187,0.58269,0.565752666666667,1.51078139629546
"ACR",1.05517,1.05517,0,0.037509,0.037908,0.025139,2.00477203579222
"ACRBP",2.88619,2.88619,0.3985,0.030659,0.225437,0.218198666666667,3.19011184820429
"ACRV1",1.86206,1.86206,0.027065,0.168649,0.254211,0.149975,2.48880193047675
"ACSBG1",144.6509,144.6509,0.540764,0.319036,0.523883,0.461227666666667,99.6770751899715
"ACSBG2",1.45861,1.45861,0.522338,0.103219,0.103778,0.243111666666667,1.97778692447849
"ACSF2",25.57227,25.57227,61.978687,54.648487,53.059789,56.562321,0.461626104340025
"ACSF3",30.53776,30.53776,19.299129,13.763293,10.433563,14.4986616666667,2.03486989252943
"ACSL1",69.45478,69.45478,43.878419,27.152981,30.101182,33.7108606666667,2.02976182805109
"ACSL3",27.62053,27.62053,71.523045,48.918818,50.907122,57.1163283333333,0.492469686588654
"ACSL4",11.26545,11.26545,36.054531,15.661033,10.428141,20.7145683333333,0.564848898293396
"ACSL5",6.39307,6.39307,0.1358,0,0.182111,0.105970333333333,6.68469106012789
"ACSL6",6.70341,6.70341,0.165731,0.038947,0.026724,0.077134,7.15176570417422
"ACSM1",0,0,0,0.159858,0,0.053286,0.949409751957208
"ACSM2A",0.89999,0.89999,1.918943,2.292445,1.490272,1.90055333333333,0.655043980114139
"ACSM2B",0.31034,0.31034,0,0.111241,0,0.0370803333333333,1.26348939217502
"ACSM3",2.94826,2.94826,1.027824,2.197071,1.355443,1.52677933333333,1.5625662074699
"ACSM4",0,0,0,0,0,0,1
"ACSM5",13.62406,13.62406,0.347033,0.226793,0.050724,0.208183333333333,12.1041729318122
"ACSS1",11.762,11.762,0.37447,0.329271,0.198105,0.300615333333333,9.81227859838651
"ACSS2",32.46188,32.46188,136.021315,95.971222,128.057604,120.016713666667,0.276506269143688
"ACSS3",10.33442,10.33442,2.79066,4.630495,1.143408,2.85485433333333,2.9402978737718
"ACTA1",95.18222,95.18222,636.770692,441.289829,564.554107,547.538209333333,0.175342789915939
"ACTA2",176.80245,176.80245,51.781238,68.388245,46.909126,55.6928696666667,3.13624007825699
"ACTB",3982.32224,3982.32224,429.465479,453.29093,375.743403,419.499937333333,9.47282481243842
"ACTBL2",0.06207,0.06207,0,0.022184,0.02198,0.0147213333333333,1.04666174358543
"ACTC1",18.06197,18.06197,5080.246607,4691.279529,4052.296585,4607.940907,0.00413586773721679
"ACTG1",1354.27508,1354.27508,124.614163,112.983909,79.093729,105.563933666667,12.71795281356
"ACTG2",42.08252,42.08252,0.271346,0.303675,0.231978,0.268999666666667,33.9499852771172
"ACTL10",0.62069,0.62069,0.248173,0.129837,0.099075,0.159028333333333,1.39831784382608
"ACTL6A",96.95117,96.95117,129.936939,63.089341,28.578082,73.8681206666667,1.30831613145608
"ACTL6B",9.34133,9.34133,0,0,0,0,10.34133
"ACTL7A",0.40345,0.40345,0,0,0,0,1.40345
"ACTL7B",0.31034,0.31034,0,0,0,0,1.31034
"ACTL8",0,0,0,0,0,0,1
"ACTL9",0,0,0,0,0,0,1
"ACTN1",34.13774,34.13774,97.368685,90.347999,62.458246,83.3916433333333,0.416365159062155
"ACTN2",55.02383,55.02383,978.395053,817.138475,753.753803,849.762443666667,0.0658513200918286
"ACTN4",726.69933,726.69933,80.761957,61.78139,43.622584,62.0553103333333,11.5406509959766
"ACTR10",66.44445,66.44445,123.432299,114.333934,91.069828,109.612020333333,0.609738885491411
"ACTR1A",66.07204,66.07204,64.377145,42.659304,39.165459,48.7339693333333,1.34861626568475
"ACTR1B",44.81354,44.81354,19.202777,14.33055,13.258617,15.5973146666667,2.76029833259774
"ACTR2",57.28933,57.28933,26.040333,13.291404,11.523641,16.9517926666667,3.24699215740348
"ACTR3",51.64109,51.64109,38.861514,29.33901,25.230379,31.1436343333333,1.63768320203327
"ACTR3B",18.93093,18.93093,7.030276,2.889677,2.312428,4.07746033333333,3.92537384667571
"ACTR3C",1.48965,1.48965,0.6982,1.16039,0.413306,0.757298666666667,1.4167483577066
"ACTR5",4.2517,4.2517,1.163629,0.795908,0.976133,0.978556666666667,2.65430861217015
"ACTR6",17.22404,17.22404,7.680683,7.620821,3.561405,6.28763633333333,2.50067911822713
"ACTR8",20.32747,20.32747,17.708309,15.074514,11.257858,14.680227,1.36015058965664
"ACTRT1",0,0,0,0,0,0,1
"ACTRT2",0.34138,0.34138,0,0,0,0,1.34138
"ACTRT3",0.74482,0.74482,0.448872,0.581869,0.461129,0.49729,1.16531867574084
"ACVR1",14.33785,14.33785,7.233818,5.194846,4.253429,5.56069766666667,2.33783825734387
"ACVR1B",8.5034,8.5034,7.139766,4.870088,4.743164,5.58433933333333,1.44333387434771
"ACVR1C",0.49655,0.49655,0.00775,0.013681,0,0.00714366666666667,1.48593497584423
"ACVR2A",2.94826,2.94826,2.344089,1.398215,1.171016,1.63777333333333,1.49681549589806
"ACVR2B",0.24827,0.24827,1.1158,1.888897,1.517997,1.50756466666667,0.497801718373763
"ACVRL1",17.75162,17.75162,1.239071,1.061599,0.85141,1.05069333333333,9.14403908921861
"ACY1",20.60678,20.60678,29.01427,20.193338,18.22011,22.475906,0.920381092001306
"ACY3",10.92408,10.92408,0,0,0.038868,0.012956,11.7715675705559
"ACYP1",30.01017,30.01017,12.321627,16.716988,15.356579,14.798398,1.96286800724985
"ACYP2",605.10691,605.10691,14.923638,15.092443,14.910934,14.9756716666667,37.9393694766928
"ADA",4.03446,4.03446,4.945909,4.204043,4.670719,4.60689033333333,0.897905915881715
"ADAD1",0.40345,0.40345,0,0,0,0,1.40345
"ADAD2",1.14827,1.14827,0,0,0,0,2.14827
"ADAL",8.5965,8.5965,13.118704,10.233636,7.871906,10.408082,0.841201877756489
"ADAM10",30.755,30.755,24.348027,13.702235,11.245455,16.4319056666667,1.82165969729414
"ADAM11",4.84135,4.84135,11.764671,7.939555,6.243467,8.649231,0.60536948488434
"ADAM12",0.55862,0.55862,0.692991,0.787749,1.408243,0.962994333333333,0.794001273224935
"ADAM15",204.26781,204.26781,11.532537,17.778786,12.695181,14.002168,13.6825430831064
"ADAM17",13.22061,13.22061,5.863159,4.842983,3.098865,4.601669,2.53863803805616
"ADAM18",0,0,0.106287,0,0.174783,0.09369,0.914335872139272
"ADAM19",3.28964,3.28964,21.431505,16.071382,16.202989,17.9019586666667,0.226941560694698
"ADAM2",0,0,0,0,0,0,1
"ADAM20",0.37241,0.37241,0.018165,0.036213,0.036804,0.030394,1.33192739864557
"ADAM21",0.15517,0.15517,0.092614,0.093693,0.038026,0.0747776666666667,1.07479903595565
"ADAM21P1",0.18621,0.18621,0.024479,0,0,0.00815966666666667,1.17660926063629
"ADAM22",11.63787,11.63787,0.473128,0.221024,0.122401,0.272184333333333,9.9339927940212
