"Hs_symbol","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","FoldChange"
"CCDC81","Ccdc81",0,0,0,0,0,0,0,0.959083,0.354125,0.327031,26,12,9,8.84847433333333,0.101538569950412
"CCDC82","Ccdc82",1.572579,1.780222,1.631467,220,220,167,1.66142266666667,71.03006,94.391914,49.839813,1276,1693,1627,12.7477423333333,0.193589798392837
"CCDC83","Ccdc83",0.050891,0.027244,0.035526,2,1,1,0.037887,0.027485,0,0,1,0,0,21.5488596666667,0.0460283586550622
"CCDC85A","Ccdc85a",1.576127,1.301222,1.048943,202,199,113,1.308764,4.046164,1.78777,2.467939,246,150,228,8.356383,0.246758175675365
"CCDC85B","Ccdc85b",0.75991,1.33862,1.010196,114,205,106,1.036242,15.487545,11.38428,35.974723,148,156,650,16.4664866666667,0.116579941854363
"CCDC85C","Ccdc85c",3.069345,2.783178,3.854543,383,377,341,3.23568866666667,4.410035,5.934817,6.369014,364,555,590,41.0249396666667,0.100789880967428
"CCDC86","Ccdc86",0.795547,0.736659,0.837612,79,70,58,0.789939333333333,10.706972,9.984082,9.492308,262,389,359,8.48649933333333,0.188682808108562
"CCDC87","Ccdc87",0.009672,0.020771,0,1,2,0,0.0101476666666667,0.043679,0.127778,0.075148,2,8,5,24.6578536666667,0.0393699207965706
"CCDC88A","Ccdc88a",0.734141,1.027386,1.044217,134,119,130,0.935248,40.303251,43.211454,31.241098,2252,3057,2651,12.13475,0.147338015569387
"CCDC88B","Ccdc88b",0.051114,0.146993,0.772821,8,18,11,0.323642666666667,3.607983,3.630261,3.630513,150,154,177,0.576655666666667,0.839525518888398
"CCDC88C","Ccdc88c",0.415998,0.873406,0.809372,112,134,128,0.699592,5.751091,6.255864,3.555408,209,470,341,0.088766,1.56102596884914
"CCDC89","Ccdc89",0.014822,0.01622,0,1,1,0,0.0103473333333333,0.057467,0.021243,0,2,1,0,61.7240863333333,0.0161078047110015
"CCDC9","Ccdc9",23.349393,15.083244,21.805285,143,118,125,20.0793073333333,10.373091,4.114073,4.161744,98,111,110,9.64563733333333,1.98008880758415
"CCDC90B","Ccdc90b",5.908741,6.24534,7.616219,271,262,247,6.5901,86.207002,87.139387,64.746585,1017,1395,1077,76.412636,0.098047300701658
"CCDC91","Ccdc91",3.326176,3.457087,7.816537,233,248,224,4.8666,26.331406,30.444668,26.823889,314,439,403,7.81280066666667,0.665690763004511
"CCDC92","Ccdc92",0.273534,0.294266,0.192814,10,8,7,0.253538,38.838928,37.304393,43.543401,1214,1578,1846,98.4406446666667,0.0126058917276931
"CCDC93","Ccdc93",1.391893,1.102823,1.095773,252,221,167,1.19682966666667,57.95998,39.64257,41.391208,1070,1239,1087,12.924702,0.157764932180715
"CCDC96","Ccdc96",0.06826,0.117511,0.023699,8,13,2,0.0698233333333333,1.041472,0.681935,0.692757,32,29,33,5.57082933333333,0.16281404965218
"CCDC97","Ccdc97",5.778574,4.804684,5.797746,400,354,284,5.46033466666667,8.908003,7.631114,8.466953,283,456,386,10.6716413333333,0.553506956062506
"CCDC9B","Ccdc9b",3.061611,3.183019,3.319283,489,482,386,3.187971,1.986846,1.696663,0.425329,105,46,47,25.69845,0.156861952660173
"CCER1","Ccer1",0,0,0,0,0,0,0,0,0,0,0,0,0,72.919329,0.0135282613293202
"CCHCR1","Cchcr1",0.746037,1.128103,0.363197,21,33,18,0.745779,17.454638,12.076808,8.422205,230,269,259,6.309654,0.238831961129761
"CCIN","Ccin",0,0,0,0,0,0,0,0,0,0,0,0,0,0.429820333333333,0.699388571198106
"CCK","Cck",0,0,0,0,0,0,0,0.235963,0,0.158431,2,0,2,0.460440666666667,0.684724838758712
"CCKAR","Cckar",0,0,0,0,0,0,0,3.709834,0.084309,0.821465,97,3,31,74.601667,0.0132272215637785
"CCKBR","Cckbr",0.024797,0,0,1,0,0,0.00826566666666667,6.470303,2.62626,8.812658,53,45,72,42.0220146666667,0.0234360402337891
"CCL1","Ccl1",0,0,0,0,0,0,0,0,0.12478,0,0,1,0,0.354862333333333,0.738082368516162
"CCL11","Ccl11",0.312574,0.311516,1.005494,9,8,21,0.543194666666667,0,0,0,0,0,0,291.739678333333,0.00527155961724287
"CCL13","Ccl2",0.903567,0.43953,0.564229,20,8,8,0.635775333333333,0,0,0,0,0,0,10.1204626666667,0.147095978140957
"CCL19","Ccl19",0.117038,0.158895,1.142624,2,2,12,0.472852333333333,0.131946,0,0,1,0,0,19.9215366666667,0.07039886012197
"CCL2","Ccl12",0.846273,0.641767,0.338378,7,6,2,0.608806,9.239175,0.350724,1.923637,78,4,23,5.480355,0.248258930259222
"CCL20","Ccl20",0,0,0,0,0,0,0,2.744248,0.862382,1.89077,7,3,7,26.623033,0.0362016727127684
"CCL21","Ccl21a",4.23041,4.431198,5.796282,98,96,96,4.81929666666667,0,0,0,0,0,0,20.197236,0.274530918402129
"CCL22","Ccl22",0,0,0.0198,0,0,1,0.0066,0.238295,0.188476,0.120594,11,12,8,18.9450026666667,0.0504687824224909
"CCL24","Ccl24",1.424975,0.766376,1.229293,20,9,14,1.14021466666667,0.152788,0.117178,0.154166,3,3,5,6.26257866666667,0.29469073794542
"CCL25","Ccl25",0.484232,0.847238,0.442354,24,23,15,0.591274666666667,0,0.209464,0,0,3,0,23.5594976666667,0.0647926390133957
"CCL28","Ccl28",0,0.009045,0.011409,0,1,1,0.006818,0.271192,0.146268,0.191609,11,6,9,12.4315583333333,0.0749591354192582
"CCL4","Ccl4",0,0,0.095142,0,0,1,0.031714,0.038043,0,0,1,0,0,0.283448666666667,0.803860743943531
"CCL5","Ccl5",0.097655,0.209514,0.407128,1,2,3,0.238099,0.548091,0.427439,0.218965,9,10,6,14.0256816666667,0.0823988573341487
"CCL7","Ccl7",0.31062,0.672579,1.00608,6,12,14,0.663093,0.403608,0.098746,0.073957,3,1,1,26.3838873333333,0.0607325388012235
"CCM2","Ccm2",4.737473,3.046112,4.181048,144,123,135,3.988211,29.643765,20.472319,27.347095,557,593,746,40.398988,0.120491133744622
"CCM2L","Ccm2l",2.514167,3.956379,1.684307,119,138,70,2.71828433333333,0.624539,0.622295,0.57077,22,31,33,4.964323,0.623421020849027
"CCN1","Ccn1",5.048949,4.561853,6.300947,317,277,279,5.30391633333333,8.699197,0.845655,0.646703,210,37,30,24.0717696666667,0.251434837554147
"CCN2","Ccn2",7.891493,7.624277,6.873332,590,568,334,7.463034,20.801158,1.085644,0.579915,698,50,30,40.6842246666667,0.203027261936038
"CCN3","Ccn3",0.382554,0.366212,0.389428,34,29,25,0.379398,4.174254,4.547955,3.487766,150,225,191,0.028026,1.34179291185242
"CCN4","Ccn4",0.132617,0.092911,0.381128,17,15,14,0.202218666666667,0.082254,0,0,7,0,0,24.165897,0.0477717391383532
"CCN5","Ccn5",0.734925,1.304096,1.325343,40,68,49,1.12145466666667,0.323109,0.197375,0.180067,12,10,10,314.970245666667,0.00671409632951547
"CCN6","Ccn6",0,0.025723,0.033646,0,1,1,0.0197896666666667,0.169593,0.374599,0.469829,2,7,8,46.7513146666667,0.0213562636711768
"CCNA1","Ccna1",0,0,0,0,0,0,0,12.581491,5.431869,10.5038,314,186,382,0.118645666666667,0.893938116239965
"CCNA2","Ccna2",0.134367,0.30496,0.572654,12,19,18,0.337327,1.093943,0.581353,0.507207,46,33,31,5.28503633333333,0.21277951774238
"CCNB1","Ccnb1",0.222473,0.077787,0.272266,8,2,3,0.190842,5.420427,5.917998,6.961685,79,109,117,3.44281966666667,0.268037437786319
"CCNB1IP1","Ccnb1ip1",0,0,0,0,0,0,0,41.959117,56.105802,48.500977,465,770,744,57.501601,0.0170935492859418
"CCNB2","Ccnb2",0.26768,0.192044,0.092402,12,8,3,0.184042,1.589469,0.15918,0.36468,21,5,8,39.9049883333333,0.0289461517590784
"CCNB3","Ccnb3",0.006784,0,0.009495,1,0,1,0.00542633333333333,0.055183,0.060924,0.086656,4,6,5,0.833401,0.548394122907827
"CCNC","Ccnc",3.114669,2.311794,1.784338,101,68,83,2.40360033333333,97.146454,118.129854,127.751967,537,821,728,32.5862483333333,0.101339104610721
"CCND1","Ccnd1",6.666393,8.342326,10.600989,747,820,659,8.53656933333333,5.584819,0.27853,0.68411,212,26,28,0.624974333333333,5.8687507474477
"CCND2","Ccnd2",29.74876,82.524471,14.189118,1292,1339,1185,42.1541163333333,7.296678,6.270172,9.57794,719,852,1394,0.417582333333333,30.4420528660652
"CCND3","Ccnd3",18.786594,21.652471,19.759597,427,426,362,20.0662206666667,26.111834,17.241266,18.170281,267,296,338,10.0191446666667,1.9117836550774
"CCNDBP1","Ccndbp1",8.11856,9.495407,12.393987,194,179,175,10.0026513333333,44.508435,51.73347,37.152327,824,1324,1139,16.9606233333333,0.612598523399429
"CCNE1","Ccne1",0.235178,0.497226,0.215632,10,13,7,0.316012,4.141052,4.596081,4.410309,95,129,134,1.84853866666667,0.461995484000217
"CCNE2","Ccne2",0.665038,0.488894,0.44856,34,31,15,0.534164,1.275912,1.05835,1.453346,19,18,31,0.485221666666667,1.03295288133197
"CCNF","Ccnf",0.109116,0.065902,0.140365,2,4,6,0.105127666666667,2.862751,3.19962,2.653687,181,267,265,9.41727333333333,0.106086077546844
"CCNG1","Ccng1",131.545386,118.992398,160.233312,11125,9695,9776,136.923698666667,90.425223,68.341963,79.988026,1427,1549,1518,209.523609,0.655145992042473
"CCNG2","Ccng2",2.832133,2.256448,1.878135,174,148,113,2.32223866666667,24.455979,26.815468,22.998832,856,1236,1203,20.742323,0.152800538685156
"CCNH","Ccnh",23.923443,21.685073,26.382725,238,221,185,23.9970803333333,41.303331,41.473136,34.592496,344,503,466,49.642449,0.493599358382793
"CCNI","Ccni",25.646644,28.715914,27.07591,1206,1046,876,27.146156,590.416923,543.522413,600.419788,8564,10877,12424,28.692072,0.947935058220255
"CCNJ","Ccnj",0.601434,0.516204,0.626175,77,62,57,0.581271,4.078659,6.426017,4.221102,256,548,370,94.385412,0.0165777026784767
"CCNJL","Ccnjl",0.141665,0.086398,0.099736,12,7,6,0.109266333333333,0.575015,0.243963,0.350875,34,26,18,0.209756,0.916933938193597
"CCNK","Ccnk",3.493203,3.095256,4.642277,277,221,204,3.74357866666667,64.083932,34.059465,40.030321,385,417,414,104.497365666667,0.044963953712879
"CCNL1","Ccnl1",7.489712,6.170609,6.43456,269,207,169,6.69829366666667,21.73415,30.515751,26.098835,458,673,522,48.5073193333333,0.155498091400061
"CCNL2","Ccnl2",7.775192,6.780639,5.751321,590,512,361,6.76905066666667,96.178739,100.031516,74.537579,2184,3138,2457,47.0066993333333,0.161832635331216
"CCNO","Ccno",0.017109,0.017222,0.024662,1,1,1,0.0196643333333333,0.082508,0.088696,0.140269,2,3,5,23.4552473333333,0.0416951143218861
"CCNQ","Ccnq",2.406908,2.200473,3.033836,85,73,77,2.54707233333333,12.046588,20.989049,19.062541,130,259,298,0.579311666666667,2.24596095134273
"CCNT1","Ccnt1",5.189107,4.060661,3.321401,356,281,240,4.19038966666667,3.536379,3.386095,3.24295,396,516,523,76.0955036666667,0.0673241553633018
"CCNT2","Ccnt2",2.768417,3.252216,2.671476,482,422,329,2.89736966666667,12.675732,11.283681,11.085696,851,1172,987,16.0977286666667,0.227946632131605
"CCNY","Ccny",15.292425,17.858363,16.237043,1299,1271,953,16.4626103333333,53.305211,43.395097,38.144241,966,1091,1227,0.0525046666666667,16.591480196129
"CCP110","Ccp110",0.303703,0.34857,0.559146,52,45,36,0.403806333333333,42.04146,53.244394,45.734244,2156,4433,3474,15.898273,0.0830739527840113
"CCPG1","Ccpg1",12.870594,12.912599,13.152269,977,941,760,12.9784873333333,22.24213,19.912815,13.374189,947,978,985,22.624331,0.591698758933463
"CCR1","Ccr1",0.111873,0.15758,0.25507,9,11,15,0.174841,0.024222,0,0,1,0,0,43.7680433333333,0.026242848972701
"CCR10","Ccr10",0.036331,0.092083,0.076829,2,5,3,0.0684143333333333,2.188051,1.915433,3.248278,48,70,108,133.341514666667,0.0079529722140198
"CCR2","Ccr2",0.226102,0.129811,0.22282,24,14,16,0.192911,0,0.043795,0.02053,0,3,1,15.2434653333333,0.073439440139169
"CCR3","Ccr3",0,0,0,0,0,0,0,0,0,0.085357,0,0,3,42.3397496666667,0.0230735066005496
"CCR4","Ccr4",0,0,0,0,0,0,0,0.089827,0.097627,0,4,6,0,0.0362116666666667,0.965053793706884
"CCR5","Ccr5",2.102382,1.761776,2.442515,50,44,37,2.10222433333333,0,0,0,0,0,0,71.9345253333333,0.0425343733870236
"CCR6","Ccr6",0.367656,1.133991,0.469072,2,5,1,0.656906333333333,3.638633,2.070747,2.365836,128,114,152,0.432072333333333,1.15699905288769
"CCR7","Ccr7",0.063137,0.016912,0.066046,4,1,3,0.0486983333333333,0,0,0,0,0,0,15.4670016666667,0.0636848379906441
"CCR8","Ccr8",0,0,0,0,0,0,0,0,0,0,0,0,0,310.956716666667,0.0032055729098743
"CCR9","Ccr9",0.042858,0.008145,0.051883,7,1,6,0.0342953333333333,0,0,0,0,0,0,2.13249733333333,0.3301823507804
"CCRL2","Ccrl2",3.125547,2.574295,3.330294,100,92,85,3.01004533333333,0,0,0,0,0,0,2.45753566666667,1.15979868898918
"CCS","Ccs",5.898689,5.203446,4.539808,120,132,69,5.213981,21.89667,15.640566,16.50884,229,242,248,127.356590666667,0.0484118576827682
"CCSAP","Ccsap",0.056327,0.084658,0.040174,4,6,2,0.0603863333333333,13.943445,15.115169,14.657254,1106,1638,1662,15.262016,0.0652063270220207
"CCSER1","Ccser1",0.207979,0.246835,0.255972,10,10,9,0.236928666666667,0.370506,0.53457,0.45951,27,32,38,11.589113,0.0982538377935496
"CCSER2","Ccser2",18.596409,17.271024,22.350818,2262,2080,1904,19.4060836666667,18.512476,13.668314,15.795157,1676,1808,2047,19.0893953333333,1.015763955464
"CCT2","Cct2",19.849333,24.300229,19.940247,958,1021,733,21.3632696666667,137.298212,164.705985,136.602586,2733,4605,3785,17.1238403333333,1.23391451565241
"CCT3","Cct3",29.766333,32.376883,36.107289,892,931,718,32.7501683333333,97.012927,98.850329,82.317017,2251,3221,3083,2.30154966666667,10.2225232817438
"CCT4","Cct4",20.24282,24.033183,20.335903,988,966,759,21.537302,80.3014,99.040955,95.03253,2070,3345,3267,28.9455993333333,0.752608146163001
"CCT5","Cct5",21.039378,20.330325,23.136361,1091,1060,895,21.5020213333333,136.108372,153.061452,149.203841,2339,3913,3164,4.49372933333333,4.09594648152791
"CCT6A","Cct6a",34.015487,35.326443,29.106765,841,874,665,32.8162316666667,532.262913,589.334109,500.28807,2723,4268,3718,1.121759,15.93782878577
"CCT6B","Cct6b",0.038099,0,0.026415,2,0,1,0.0215046666666667,2.013536,1.068747,0.886189,33,34,34,0.853987333333333,0.550977155183728
"CCT7","Cct7",193.057079,222.763836,270.773026,1137,1044,913,228.864647,540.023326,731.268274,652.812057,2564,4494,4039,5.022246,38.1692556232343
"CCT8","Cct8",45.523991,43.991221,52.525835,1178,1136,927,47.3470156666667,117.065139,109.990612,91.734323,2480,3231,3095,0.0101026666666667,47.8634670139141
"CCZ1B","Ccz1",5.752293,5.642841,4.392324,233,257,161,5.262486,99.278482,123.584852,102.874713,536,853,749,9.29935666666667,0.608046327812708
"CD101","Cd101",0.018578,0.019416,0.012951,2,2,1,0.0169816666666667,3.961752,4.435635,5.208657,30,40,38,2.95556866666667,0.257101254552021
"CD109","Cd109",0.286552,0.305509,0.324207,50,50,44,0.305422666666667,0.222289,0.050666,0.079275,33,10,17,95.351217,0.0135485851379196
"CD14","Cd14",0.571615,0.614064,0.819744,29,29,26,0.668474333333333,0.83238,0.354995,0.446453,6,6,5,149.124165,0.0111139624545677
"CD151","Cd151",46.970226,49.013607,55.543976,1537,1558,1244,50.5092696666667,72.656465,71.448471,63.445619,1220,1289,1364,14.6076676666667,3.30025412936458
"CD160","Cd160",0.012756,0,0,1,0,0,0.004252,0.711232,0.324423,3.331356,14,6,6,63.676046,0.0155274179871787
"CD163","Cd163",1.769233,2.306666,1.52933,234,281,144,1.86840966666667,2.055101,1.012333,1.288195,11,7,9,37.97886,0.073588854745025
"CD164","Cd164",22.400612,19.313796,27.142032,1620,1460,1369,22.9521466666667,19.831991,12.888132,14.192401,779,780,709,9.670735,2.24465762355327
"CD164L2","Cd164l2",0.037046,0,0,1,0,0,0.0123486666666667,0.094619,0.353439,0.289888,2,8,8,0.248440666666667,0.810890492192661
"CD177","Cd177",0.010995,0.011798,0.312661,1,1,2,0.111818,0.721305,0.021403,0.156356,22,1,8,3.201259,0.264639242665115
"CD180","Cd180",0.154293,0.329531,0.215926,5,8,9,0.23325,0.045774,0.017899,0.025359,4,2,3,49.2271426666667,0.0245534572449101
"CD19","Cd19",0.423136,0.260886,0.241799,2,7,6,0.308607,0,0,0.023535,0,0,1,48.790867,0.0262820689585502
"CD1D","Cd1d1",1.097665,0.972924,0.613431,28,32,21,0.894673333333333,0.371405,0.132993,0.091877,13,9,7,24.2687863333333,0.0749807809658818
"CD2","Cd2",0.070838,0.076341,0.29303,1,2,3,0.146736333333333,0,0.186597,0,0,1,0,9.60051766666667,0.108177389953252
"CD200","Cd200",23.667635,35.038934,26.649861,520,578,421,28.4521433333333,54.752971,58.554918,48.370128,1575,2302,1985,25.4145026666667,1.11499897253413
"CD200R1L","Cd200r1",0.08764,0.184938,0.134672,5,8,6,0.13575,0,0,0,0,0,0,0.713413,0.662858283437793
"CD207","Cd207",0,0,0,0,0,0,0,0,0.053237,0.024992,0,2,1,8.024362,0.110811157619785
"CD209","Cd209d",0,0,0,0,0,0,0,0.059028,0.085698,0.019894,4,1,2,9.87709866666667,0.091936281047495
"CD22","Cd22",0.641233,0.539174,0.712911,10,3,7,0.631106,0.36158,0.574749,0.308808,2,4,3,4.76441966666667,0.28296100810148
"CD226","Cd226",0.141762,0.244837,0.193479,6,8,8,0.193359333333333,0.064619,0.056558,0.07671,13,11,22,0.306847333333333,0.913158945880442
"CD247","Cd247",0.112654,0.183544,0.502014,4,4,14,0.266070666666667,0.430107,0.179728,0.534517,5,5,13,4.00184633333333,0.253120664309359
"CD248","Cd248",1.439366,1.149645,1.563306,123,98,92,1.38410566666667,0.317827,0,0.01706,12,0,1,21.831877,0.10442004687861
"CD27","Cd27",0.079496,0.099081,0.076089,1,2,1,0.0848886666666667,0.600931,0.339348,0.296823,9,7,7,6.05828533333333,0.153704280208564
"CD274","Cd274",0.641203,0.900811,0.910591,75,98,77,0.817535,1.140912,0.373077,0.519968,44,24,16,21.9352146666667,0.0792464786754993
"CD276","Cd276",0.347338,1.676823,1.602451,37,49,64,1.20887066666667,118.282864,135.471606,128.315302,1903,3158,3126,172.884020666667,0.0127031262458616
"CD28","Cd28",0.704208,0.829489,0.59794,70,74,62,0.710545666666667,1.795437,0.070341,0.2647,117,7,23,10.8777393333333,0.144012729919594
"CD2AP","Cd2ap",1.993408,2.04192,1.903918,342,294,237,1.97974866666667,3.055444,1.736442,2.071468,206,196,191,3.78754633333333,0.622395786735293
"CD2BP2","Cd2bp2",6.288883,6.132784,6.239437,321,310,257,6.220368,20.289133,21.301486,17.092072,896,1407,1150,8.486451,0.761124260273942
"CD300A","Cd300a",0.514614,0.114496,0.178333,31,16,12,0.269147666666667,0.148859,0,0.297815,1,0,3,5.29497766666667,0.201612735401285
"CD300C","Cd300c2",0.326418,0.480271,0.398371,11,15,11,0.401686666666667,0,0,0.0309,0,0,1,1.76140933333333,0.507598294011222
"CD300E","Cd300e",0,0.033776,0.021632,0,2,1,0.0184693333333333,0.089017,0.078254,0.07371,5,6,6,0.0412633333333333,0.978109283914732
"CD300LB","Cd300lb",0.083184,0.10222,0.098625,7,8,6,0.0946763333333333,0,0,0,0,0,0,45.23872,0.0236744514842395
"CD300LD","Cd300ld",0.52111,0.492963,0.595383,42,37,35,0.536485333333333,0.083388,0.120877,0.075847,2,3,2,141.580272666667,0.0107762827535435
"CD300LF","Cd300lf",0.029364,0.103488,0,2,1,0,0.044284,0.044161,0,0,1,0,0,266.375166333333,0.00390568807986492
"CD300LG","Cd300lg",12.777278,11.312426,12.495645,892,752,638,12.1951163333333,0.045639,0,0.065121,2,0,4,63.0275073333333,0.206085116895748
"CD302","Cd302",1.646981,2.126779,1.815204,61,73,48,1.862988,0.206549,0.086612,0.118026,13,7,10,0.631956333333333,1.75432880250677
"CD320","Cd320",4.009005,3.495428,3.62231,109,88,85,3.70891433333333,29.594135,33.614257,36.36424,430,690,728,0.027418,4.58325076388902
"CD33","Cd33",0.880735,0.749284,0.749979,71,56,45,0.793332666666667,0,0,0.046884,0,0,1,151.075608333333,0.0117923754264121
"CD34","Cd34",26.519659,25.471339,29.700526,1480,1296,1151,27.230508,0.040044,0.035616,0.059751,5,6,6,46.6746916666667,0.592148727408305
"CD36","Cd36",315.031364,312.210403,335.349609,18666,16010,14431,320.863792,7.242595,6.946194,1.911282,161,203,62,2.27949933333333,98.1441858299915
"CD37","Cd37",1.707445,0.971474,1.255613,18,16,8,1.31151066666667,0.84551,0.028981,0.080879,18,2,6,2243.82734966667,0.00102970532099491
"CD38","Cd38",1.714807,1.164512,2.272108,179,112,174,1.71714233333333,0.341393,0.063965,0.485618,12,8,10,14.417264,0.176240241675393
"CD3D","Cd3d",0.020665,0.745564,0,1,3,0,0.255409666666667,0.256731,0.188249,0.632859,1,1,3,0.411524333333333,0.889399946582571
"CD3E","Cd3e",0.107214,0,0,1,0,0,0.035738,0,0,0,0,0,0,6.138563,0.145090545534164
"CD3G","Cd3g",0,0.055483,0.053784,0,2,1,0.0364223333333333,0.1923,0.126502,0.087543,7,7,5,63.205214,0.0161423390526092
"CD4","Cd4",0.100198,0.962018,1.243683,8,8,6,0.768633,0.450349,0.311328,0.678467,8,9,13,6.30664166666667,0.242058264341689
"CD40","Cd40",0.570641,0.909885,0.600132,17,17,12,0.693552666666667,4.886644,2.264753,4.930088,76,38,101,0,1.69355266666667
"CD40LG","Cd40lg",0,0,0,0,0,0,0,0,0,0,0,0,0,59.4564516666667,0.0165408318290595
"CD44","Cd44",0.694265,0.866916,0.865489,90,104,75,0.80889,6.492143,0.240487,4.436582,170,9,124,0.432285666666667,1.26293939965887
"CD46","Cd46",0.38497,0.188929,0.080158,40,15,9,0.218019,92.207235,74.126394,55.931186,1722,1942,1737,29.2812383333333,0.0402235531649052
"CD47","Cd47",8.198998,9.784318,8.933314,525,532,413,8.97221,83.070105,34.620075,48.113692,3017,1831,2244,1.84356833333333,3.50693524157734
"CD48","Cd48",0.447125,0.583961,0.889893,14,17,20,0.640326333333333,0,0,0,0,0,0,144.572221333333,0.0112681273824715
"CD5","Cd5",0,0,0.020717,0,0,1,0.00690566666666667,0.019788,0,0.013699,1,0,1,0.0859023333333333,0.927252512273203
"CD52","Cd52",1.154365,1.806818,2.611993,11,16,18,1.85772533333333,0.175854,0,0,1,0,0,64.972513,0.0433169088667781
"CD53","Cd53",1.091968,0.966419,1.169824,56,46,43,1.07607033333333,0.464972,0,0.239379,2,0,1,1.59643166666667,0.799585970232223
"CD55","Cd55",1.662991,2.000186,2.223227,113,128,94,1.96213466666667,17.006984,9.377241,11.093339,419,347,396,159.662579333333,0.0184369918555895
"CD59","Cd59a",13.538205,20.099382,16.447678,556,628,403,16.6950883333333,94.256618,82.372534,76.357324,2229,2651,2624,5.34629,2.78825712870564
"CD5L","Cd5l",0.015619,0,0,1,0,0,0.00520633333333333,0,0.166711,0.020358,0,1,1,14.035534,0.0668553796182652
"CD6","Cd6",0.036325,0.11929,0,2,1,0,0.0518716666666667,4.641968,2.768845,3.596112,69,52,72,35.840484,0.0285520588346957
"CD63","Cd63",21.359477,20.065719,23.596859,506,468,388,21.6740183333333,920.873052,766.969673,875.715155,1769,2156,2409,34.2672886666667,0.642919237360143
"CD68","Cd68",1.135463,1.791594,2.525432,33,44,49,1.81749633333333,0.614506,0.424045,0.988234,6,7,21,31.087776,0.0878059088088041
"CD69","Cd69",0.02636,0.155326,0.028432,2,1,1,0.0700393333333333,0.082911,0,0,2,0,0,20.0476166666667,0.0508389786016944
"CD7","Cd7",0,0,0.110956,0,0,2,0.0369853333333333,0,0.134733,0.111839,0,1,3,0.224825,0.846639587968349
"CD70","Cd70",0,0,0,0,0,0,0,0.087848,0,0.186541,1,0,3,6.88800433333333,0.126774778225485
"CD72","Cd72",0.64831,1.112562,0.730898,10,16,6,0.83059,0.483279,0.183777,0.676157,4,4,17,452.881318,0.00403319089683264
"CD74","Cd74",19.947429,22.57945,24.264809,727,773,631,22.263896,16.221049,20.751015,20.984639,234,432,521,33.3990136666667,0.676295437579455
"CD79A","Cd79a",0.112349,0.144285,0.313804,5,6,10,0.190146,1.445489,0.392509,0.991722,16,4,18,534.970513,0.00222054380069972
"CD79B","Cd79b",0.173729,0.218073,0.3625,6,7,9,0.251434,0.062532,0,0,1,0,0,135.709359666667,0.0091539745563239
"CD80","Cd80",0.314322,0.271287,0.523645,24,18,27,0.369751333333333,0.047605,0,0.083778,1,0,1,5.787364,0.20180902826684
"CD81","Cd81",72.442077,86.243035,85.684866,2066,2180,1725,81.4566593333333,216.743949,195.175563,213.642026,2327,2699,3089,25.9645873333333,3.05796110706287
"CD82","Cd82",2.318377,3.483383,2.527836,72,80,58,2.776532,5.425197,0.525823,2.694641,65,11,40,0,3.776532
"CD83","Cd83",0.604823,0.542129,0.950532,40,34,45,0.699161333333333,2.199519,3.538636,2.943164,78,170,151,4.13115766666667,0.331145804458812
"CD84","Cd84",0.330082,0.473859,0.476919,28,30,23,0.426953333333333,0.03096,0.034228,0.066449,4,6,12,0.0369756666666667,1.37607214826963
"CD86","Cd86",0.632169,0.723307,0.692793,30,27,25,0.682756333333333,0,0,0,0,0,0,92.2038293333333,0.0180545836514414
"CD8A","Cd8a",0.048936,0.046432,0.044431,4,4,3,0.0465996666666667,2.358874,2.03126,2.304796,80,118,129,44.3867806666667,0.023059570458482
"CD9","Cd9",6.591351,7.364202,8.785535,220,209,199,7.58036266666667,1.208775,0,0.20821,16,0,1,1.84506266666667,3.01587826770775
"CD93","Cd93",4.7941,4.459305,5.715529,1064,922,913,4.98964466666667,0.018129,0.019836,0.006214,2,3,1,70.8481503333333,0.0833653286671713
"CD96","Cd96",0,0,0,0,0,0,0,0,0.181011,0.041375,0,3,4,1.77618833333333,0.360206109936105
"CD99L2","Cd99l2",8.754362,8.855827,10.289369,899,870,800,9.29985266666667,36.52183,35.631134,33.966779,1761,2253,2253,31.3644756666667,0.31824562130246
"CDA","Cda",0.232481,0.190976,0,5,4,0,0.141152333333333,0,0,0,0,0,0,129.145911,0.00876825345156893
"CDADC1","Cdadc1",9.967671,8.796697,5.730487,347,358,248,8.16495166666667,24.81717,32.076542,27.09731,148,240,266,91.098453,0.0995125473678333
"CDAN1","Cdan1",2.378979,1.886842,1.971784,171,159,132,2.07920166666667,3.562124,5.603749,7.464551,155,211,175,6.09994866666667,0.433693511211302
"CDC123","Cdc123",38.150807,33.583909,40.632398,366,313,261,37.4557046666667,63.374907,62.962345,53.891799,589,779,714,0.144329333333333,33.6054521600425
"CDC14A","Cdc14a",0.347034,0.250319,0.312661,32,32,18,0.303338,0.181656,0.300633,0.125959,10,26,7,0,1.303338
"CDC14B","Cdc14b",1.998973,1.366499,1.485258,199,168,148,1.61691,4.945785,5.348702,3.917124,323,436,371,162.966504,0.015960028031091
"CDC16","Cdc16",4.646639,5.094948,4.597452,284,321,228,4.77967966666667,33.824811,33.091079,27.444448,882,1168,1084,0.194172333333333,4.83990417910089
