"Hs_symbol","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","FoldChange"
"CHRDL2","Chrdl2",0.112337,0,0.030751,4,0,1,0.047696,0.81592,0.037167,1.251123,2,1,3,126.723458666667,0.00820284708022418
"CHRM1","Chrm1",0,0.004927,0,0,1,0,0.00164233333333333,0,0,0,0,0,0,0.558949666666667,0.642511015429406
"CHRM2","Chrm2",7.481923,7.777245,10.032992,1444,1387,1386,8.43072,17.47412,22.630904,27.137006,1329,1734,1325,46.6582573333333,0.197882183018973
"CHRM3","Chrm3",0.110373,0.082702,0.040419,13,11,4,0.0778313333333333,2.093396,2.633959,2.588265,238,320,173,62.1450293333333,0.0170691397994864
"CHRM4","Chrm4",0,0,0,0,0,0,0,1.014699,2.33178,1.828518,18,46,23,10.0077613333333,0.0908449928844145
"CHRM5","Chrm5",0,0,0,0,0,0,0,0.43013,0.544007,0.125266,21,42,7,13.2087806666667,0.0703790158676998
"CHRNA1","Chrna1",0.00805,0.07709,0.056113,1,1,0,0.0470843333333333,0.217761,0.092808,0,4,2,0,1.586961,0.4047545878478
"CHRNA2","Chrna2",0.17754,0.209115,0.179239,21,23,15,0.188631333333333,0.65857,0.244952,0.449463,6,6,3,1.517296,0.472185763348185
"CHRNA3","Chrna3",0,0,0,0,0,0,0,5.042841,9.801665,9.231567,161,233,175,21.629194,0.0441907033896126
"CHRNA4","Chrna4",0,0,0,0,0,0,0,22.825392,85.33301,81.998988,541,911,794,9.724097,0.0932479443257554
"CHRNA5","Chrna5",0.026533,0,0.029912,2,0,2,0.018815,4.32183,3.495597,6.135271,68,47,70,43.39135,0.0229507550457465
"CHRNA6","Chrna6",0,0,0,0,0,0,0,9.888576,8.57991,1.164997,188,222,25,149.566388,0.00664158855959273
"CHRNA7","Chrna7",0.015392,0,0.021364,1,0,1,0.012252,15.423602,11.100455,14.20295,545,604,508,28.0815876666667,0.0348073155978428
"CHRNB1","Chrnb1",1.028441,0.892192,0.794267,39,38,25,0.904966666666667,6.838196,8.872936,6.309267,110,159,77,6.891848,0.241384105049497
"CHRNB2","Chrnb2",0.036752,0.028897,0.045943,7,6,7,0.0371973333333333,53.724702,21.553101,24.659473,1253,1418,1050,0,1.03719733333333
"CHRNB3","Chrnb3",0.014814,0,0,1,0,0,0.004938,0.067268,0.618851,0.569375,2,20,12,0.222251666666667,0.822202192401729
"CHRNB4","Chrnb4",0.007993,0,0,1,0,0,0.00266433333333333,1.356864,1.661556,2.794648,45,44,63,29.7637483333333,0.03259239811967
"CHRND","Chrnd",0,0,0,0,0,0,0,0.026302,0.119696,0.074042,1,5,2,8.348219,0.106972247868819
"CHRNE","Chrne",0,0,0,0,0,0,0,0.141785,0.243849,0.064661,4,6,1,17.9354356666667,0.0528110373378083
"CHRNG","Chrng",0,0,0,0,0,0,0,0.019507,0,0,1,0,0,22.2921846666667,0.0429328555612516
"CHST1","Chst1",0.404467,0.311787,0.402244,36,27,25,0.372832666666667,12.067481,11.686293,4.983242,217,274,102,66.686692,0.0202821651657414
"CHST10","Chst10",0.053581,0.080038,0.058509,7,4,4,0.0640426666666667,14.828308,16.298813,17.735007,321,367,281,1.13857433333333,0.497547665321586
"CHST11","Chst11",0.21054,0.367617,0.326499,38,63,42,0.301552,17.28025,19.220148,13.060863,1066,1095,658,3.31923933333333,0.301338244897751
"CHST12","Chst12",0.571653,0.509715,0.515389,34,37,28,0.532252333333333,2.029616,2.670723,3.253338,236,299,193,30.7634986666667,0.0482394067924675
"CHST14","Chst14",0.893066,0.915092,1.275894,58,58,56,1.02801733333333,0.914706,1.282403,1.735388,22,34,29,4.277024,0.384310803462962
"CHST15","Chst15",1.128364,0.778929,0.88786,106,118,104,0.931717666666667,12.799059,12.869604,8.86994,731,391,254,3.98307233333333,0.387655955492518
"CHST2","Chst2",0.064228,0.097161,0.085099,15,22,14,0.0821626666666667,2.54716,3.811522,2.849368,126,215,98,20.98597,0.0492206014411312
"CHST3","Chst3",0.167899,0.105773,0.155863,22,21,23,0.143178333333333,0.271761,0.799813,0.67869,25,82,44,82.7414736666667,0.0136512803426861
"CHST4","Chst4",0.08178,0.052656,0.07192,5,3,2,0.0687853333333333,0,0.058709,0,0,1,0,38.9813083333333,0.0267321250325934
"CHST6","Chst5",0,0,0,0,0,0,0,0.106557,0.13616,0.173454,12,17,14,18.549244,0.0511528732261974
"CHST7","Chst7",0.202086,0.357625,0.478147,14,27,22,0.345952666666667,0.273913,0.429935,0.746582,7,13,13,18.6227313333333,0.0685915046077344
"CHST8","Chst8",0.047121,0,0.069841,1,0,1,0.0389873333333333,35.509898,39.359946,43.643923,874,1135,748,1.132963,0.487109871729295
"CHST9","Chst9",0,0,0,0,0,0,0,0.236263,0.183185,0.410394,15,18,30,1.159087,0.463158733297917
"CHSY1","Chsy1",0.977671,0.889986,1.158622,122,108,103,1.00875966666667,5.602713,6.596102,7.122825,287,298,221,0.494881,1.34375891235936
"CHSY3","Chsy3",0.036139,0.027136,0,4,3,0,0.0210916666666667,0.933852,2.101583,1.051635,37,64,16,0.0100186666666667,1.01096316371711
"CHTF18","Chtf18",0.159838,0.085213,0.555401,7,9,9,0.266817333333333,17.027683,8.113189,13.199065,84,98,90,169.819971666667,0.00741609614480774
"CHTF8","Chtf8",3.603727,3.638552,3.863632,126,200,172,3.70197033333333,11.758466,18.874298,19.640724,85,124,85,33.654832,0.135680078706869
