"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","FoldChange"
"UPP2",3.82671,1.79616,3.80162,3.14149666666667,0.137127,0.06823,0.13106,0.112139,3.72390201824292
"UPRT",6.84169,11.08094,11.88553,9.93605333333333,12.910183,10.75698,8.749788,10.8056503333333,0.926340610178442
"UQCR10",203.29601,203.76774,138.34409,181.802613333333,73.655253,69.821663,80.781699,74.7528716666667,2.41314433778451
"UQCR11",456.52146,412.01207,266.09171,378.208413333333,154.310229,161.966713,164.748818,160.34192,2.35034027940992
"UQCRB",489.30526,432.04619,356.82813,426.05986,198.908168,183.406042,192.097968,191.470726,2.21883020278107
"UQCRC1",244.67748,225.04536,255.16751,241.630116666667,149.288313,156.209068,138.687241,148.061540666667,1.62771775725329
"UQCRC2",283.77286,181.79929,180.16194,215.244696666667,325.789552,305.699767,306.114848,312.534722333333,0.689699357880901
"UQCRFS1",55.5784,74.44403,67.05275,65.6917266666667,21.930123,20.077212,21.308172,21.105169,3.01701953360622
"UQCRH",376.37592,347.35022,357.41804,360.381393333333,199.447424,203.66956,195.898133,199.671705666667,1.80085873159228
"UQCRQ",485.04784,513.26038,460.82653,486.37825,858.928725,726.403825,772.322705,785.885085,0.619376652691288
"URB1",6.46068,6.99122,4.98144,6.14444666666667,2.775829,3.704013,3.31681,3.26555066666667,1.67491778318266
"URB2",2.07073,1.46456,1.94451,1.8266,1.610196,1.961166,1.421884,1.66441533333333,1.06087064003785
"URGCP",48.1072,32.02696,38.84646,39.6602066666667,21.606967,20.418807,13.599321,18.5416983333333,2.0806895067718
"URI1",42.42512,50.56889,41.90524,44.9664166666667,52.522071,67.730247,70.66896,63.640426,0.711109432766837
"URM1",55.51213,75.93623,47.38919,59.6125166666667,27.025159,23.196844,23.824705,24.682236,2.36009499588224
"UROC1",0.16566,0.05527,0.39327,0.204733333333333,0.018957,0.033379,0.047458,0.0332646666666667,1.16594844689679
"UROD",103.42055,98.26391,80.44582,94.0434266666667,39.290511,35.010781,31.262495,35.187929,2.62638479993333
"UROS",140.94218,185.25345,114.59488,146.93017,54.155148,53.569347,42.649504,50.1246663333333,2.89351854221393
"USB1",33.5127,37.82995,60.1705,43.8377166666667,38.905288,41.279305,36.826942,39.003845,1.12083517638534
"USE1",79.30068,83.20378,98.03379,86.8460833333333,9.752088,8.309512,8.16746,8.74302,9.01630945367384
"USF1",56.87053,61.3735,68.69138,62.3118033333333,53.857755,48.987209,44.446901,49.0972883333333,1.26377705140594
"USF2",287.50018,358.56933,358.02979,334.699766666667,79.19927,76.860436,70.586837,75.5488476666667,4.38543200713455
"USH1C",15.09148,39.21161,9.91918,21.4074233333333,0.163391,0.343061,0.170351,0.225601,18.282804381959
"USH1G",0.28162,0.0829,0,0.121506666666667,0.194409,0.140222,0.189466,0.174699,0.954718329262787
"USH2A",0.08283,0.02763,0.02185,0.0441033333333333,0.022023,0.013887,0.021771,0.019227,1.02440705881353
"USHBP1",5.03602,5.96879,4.61001,5.20494,1.16071,0.427847,0.312382,0.633646333333333,3.79821499512644
"USO1",24.8322,17.60239,20.25347,20.89602,22.50824,15.770694,26.53598,21.6049713333333,0.968637370829667
"USP1",8.38232,10.19668,6.03016,8.20305333333333,2.615702,1.489029,1.353525,1.81941866666667,3.26416698666959
"USP10",36.16323,43.66057,48.50346,42.7757533333333,39.676921,43.483166,42.905957,42.0220146666667,1.01751983658847
"USP11",358.6836,235.8776,334.14949,309.57023,248.477278,253.729485,204.810683,235.672482,1.31223633341539
"USP12",15.3234,20.22755,10.46539,15.33878,10.381441,9.696765,9.397113,9.82510633333333,1.50934129392232
"USP13",2.58427,2.26593,3.25541,2.70187,2.549611,2.727834,2.819173,2.69887266666667,1.00081033698736
"USP14",28.94052,24.48308,22.32907,25.25089,48.354562,42.772624,28.625401,39.917529,0.641556092011324
"USP15",15.53876,14.2864,11.12084,13.6486666666667,43.051929,31.195826,29.731272,34.6596756666667,0.410790799209643
"USP16",19.79618,18.68009,14.94431,17.80686,9.604242,10.814905,7.72431,9.38115233333333,1.81163510524859
"USP17L2",0.51354,0.1658,0,0.226446666666667,0.019888,0.053195,0.093672,0.055585,1.16186443220268
"USP17L3",0.06626,0,0,0.0220866666666667,0,0,0,0,1.02208666666667
"USP17L5",0,0,0,0,0,0,0.002336,0.000778666666666667,0.999221939183356
"USP17L6P",0,0,0,0,0.086985,0.154548,0,0.080511,0.92548803297699
"USP17L7",0.71233,0.52503,0.10924,0.448866666666667,0.065465,0.062024,0.031073,0.052854,1.37613255652414
"USP17L8",0,0,0,0,0,0,0,0,1
"USP18",2.63397,3.61996,2.29408,2.84933666666667,0.557865,0.525752,1.13769,0.740435666666667,2.21170867753993
"USP19",32.27026,25.72658,27.07017,28.35567,28.508235,22.665754,25.029353,25.401114,1.1119102777254
"USP2",35.73252,33.68496,35.15408,34.8571866666667,1.534258,0.301155,1.024932,0.953448333333333,18.3558408250709
"USP20",60.63098,35.59165,57.87642,51.36635,25.812471,27.255289,25.465414,26.1777246666667,1.92681141053088
"USP21",42.95523,41.89204,47.2144,44.0205566666667,14.509563,17.563624,15.02975,15.700979,2.69568368816383
"USP22",118.74395,106.63679,111.5361,112.305613333333,322.114805,349.484913,211.738106,294.445941333333,0.3835070904071
"USP24",18.28869,14.83907,15.709,16.27892,34.018886,35.743848,30.198646,33.32046,0.503458286981002
"USP25",22.28106,14.14823,10.81496,15.7480833333333,13.08152,10.473184,9.927401,11.1607016666667,1.37723001455097
"USP26",0,0,0,0,0.183092,0.185783,0,0.122958333333333,0.890504990538384
"USP28",10.40335,11.08094,10.05027,10.51152,4.691229,7.344254,5.518114,5.851199,1.6802197688317
"USP29",0,0,0,0,0,0,0,0,1
"USP3",12.14276,11.90994,9.98472,11.3458066666667,20.023693,20.537321,16.509174,19.023396,0.616569070834271
"USP30",12.27529,11.74414,13.28383,12.43442,12.185972,15.413584,14.558563,14.0527063333333,0.892492001272241
"USP31",6.39441,4.28316,5.85537,5.51098,4.046064,3.296925,2.98547,3.44281966666667,1.46550625244824
"USP32",42.27603,34.32052,47.1707,41.25575,37.397796,28.68733,30.596832,32.2273193333333,1.27171709448163
"USP32P1",60.76351,38.71421,72.44931,57.30901,1.818517,1.339405,1.493662,1.550528,22.8615447468132
"USP32P2",23.20874,19.39856,33.55915,25.3888166666667,0.552103,0.92539,0.806934,0.761475666666667,14.9810849880224
"USP33",36.1301,35.03899,45.2262,38.79843,63.373704,64.73302,47.231869,58.4461976666667,0.669486553591908
"USP34",71.61413,65.62902,65.65445,67.6325333333333,102.285573,113.116966,82.274991,99.2258433333333,0.684778806051786
"USP35",12.25872,8.64921,17.0636,12.6571766666667,15.537576,13.694576,11.554094,13.5954153333333,0.935716891555399
"USP36",38.33336,41.06304,44.33041,41.24227,11.314072,15.861228,10.651256,12.608852,3.10402890706725
"USP37",4.24086,3.78576,2.35963,3.46208333333333,3.05035,1.952833,2.701278,2.56815366666667,1.2505300360289
"USP38",3.76045,3.81339,2.42517,3.33300333333333,3.556098,4.397674,4.209729,4.05450033333333,0.857256513518877
"USP39",32.51875,38.07865,27.74747,32.7816233333333,33.709778,39.560374,38.640057,37.303403,0.88194835673826
"USP4",67.17449,46.0923,71.68461,61.6504666666667,32.721524,29.952726,27.543444,30.0725646666667,2.01626313562316
"USP40",32.89976,25.80948,28.44662,29.0519533333333,17.9245,13.913316,6.960803,12.932873,2.15691001657256
"USP41",0,0,0.34957,0.116523333333333,0.11479,0,0,0.0382633333333333,1.07537586803605
