"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","FoldChange"
"ACSBG2",0.59637,0.77373,0.10924,0.493113333333333,0.522338,0.103219,0.103778,0.243111666666667,1.20110958119879
"ACSF2",51.30441,52.55848,47.82616,50.5630166666667,61.978687,54.648487,53.059789,56.562321,0.895777233629385
"ACSF3",61.67463,58.77597,55.18907,58.5465566666667,19.299129,13.763293,10.433563,14.4986616666667,3.84204507120346
"ACSL1",34.42382,22.99088,27.48529,28.2999966666667,43.878419,27.152981,30.101182,33.7108606666667,0.844116109595746
"ACSL3",44.29706,41.69861,41.796,42.5972233333333,71.523045,48.918818,50.907122,57.1163283333333,0.750171674357611
"ACSL4",16.20139,7.04648,11.47041,11.57276,36.054531,15.661033,10.428141,20.7145683333333,0.579001148307423
"ACSL5",9.19404,8.12418,3.23356,6.85059333333333,0.1358,0,0.182111,0.105970333333333,7.09837605650061
"ACSL6",35.4509,34.34816,47.73876,39.1792733333333,0.165731,0.038947,0.026724,0.077134,37.3020193711584
"ACSM1",0.84486,0,0,0.28162,0,0.159858,0,0.053286,1.2167825263034
"ACSM2A",0,0.77373,0.08739,0.28704,1.918943,2.292445,1.490272,1.90055333333333,0.443722232309697
"ACSM2B",0.0994,0.46977,0,0.189723333333333,0,0.111241,0,0.0370803333333333,1.14718531929863
"ACSM3",0.59637,0.22107,1.02687,0.61477,1.027824,2.197071,1.355443,1.52677933333333,0.639062532567809
"ACSM4",0.16566,0,0.10924,0.0916333333333333,0,0,0,0,1.09163333333333
"ACSM5",7.48776,8.98081,5.4621,7.31022333333333,0.347033,0.226793,0.050724,0.208183333333333,6.87828006235257
"ACSS1",57.94731,78.25742,61.83098,66.0119033333333,0.37447,0.329271,0.198105,0.300615333333333,51.5232302863824
"ACSS2",43.78352,30.83873,37.47001,37.3640866666667,136.021315,95.971222,128.057604,120.016713666667,0.317014778407702
"ACSS3",12.72257,14.9496,21.32404,16.33207,2.79066,4.630495,1.143408,2.85485433333333,4.49616730005276
"ACTA1",40.80167,32.41383,12.49729,28.57093,636.770692,441.289829,564.554107,547.538209333333,0.0539086056301148
"ACTA2",30.26579,39.46031,26.13069,31.9522633333333,51.781238,68.388245,46.909126,55.6928696666667,0.581241759802963
"ACTB",3995.79691,3014.15431,4181.63155,3730.52759,429.465479,453.29093,375.743403,419.499937333333,8.87402650679111
"ACTBL2",0,0,0,0,0,0.022184,0.02198,0.0147213333333333,0.9854922402341
"ACTC1",12.0765,11.13621,6.51082,9.90784333333333,5080.246607,4691.279529,4052.296585,4607.940907,0.00236667025102592
"ACTG1",1819.21101,1453.84166,1057.48459,1443.51242,124.614163,112.983909,79.093729,105.563933666667,13.5553594006623
"ACTG2",1.52406,3.59233,6.42343,3.84660666666667,0.271346,0.303675,0.231978,0.268999666666667,3.81923399507066
"ACTL10",0.18222,0.80136,0.65545,0.546343333333333,0.248173,0.129837,0.099075,0.159028333333333,1.33417215857536
"ACTL6A",57.40064,40.37221,15.20649,37.65978,129.936939,63.089341,28.578082,73.8681206666667,0.516371716770131
"ACTL6B",82.51446,59.10757,87.50286,76.3749633333333,0,0,0,0,77.3749633333333
"ACTL7A",0,0.22107,0,0.07369,0,0,0,0,1.07369
"ACTL7B",0,0.05527,0,0.0184233333333333,0,0,0,0,1.01842333333333
"ACTL8",0,0,0.13109,0.0436966666666667,0,0,0,0,1.04369666666667
"ACTL9",0,0.22107,0,0.07369,0,0,0,0,1.07369
"ACTN1",196.73593,153.64099,75.39884,141.925253333333,97.368685,90.347999,62.458246,83.3916433333333,1.69359485949102
"ACTN2",204.83663,117.0269,46.4934,122.785643333333,978.395053,817.138475,753.753803,849.762443666667,0.145499656519668
"ACTN4",605.08392,637.55483,640.02714,627.555296666667,80.761957,61.78139,43.622584,62.0553103333333,9.96831659925063
"ACTR10",94.92227,68.00548,97.15985,86.6958666666667,123.432299,114.333934,91.069828,109.612020333333,0.792824020412899
"ACTR1A",84.3864,74.4993,79.79037,79.55869,64.377145,42.659304,39.165459,48.7339693333333,1.61979208737733
"ACTR1B",82.74638,66.76198,96.67919,82.0625166666667,19.202777,14.33055,13.258617,15.5973146666667,5.00457563978623
"ACTR2",77.5944,65.71192,67.97038,70.4255666666667,26.040333,13.291404,11.523641,16.9517926666667,3.97874284718603
"ACTR3",66.84317,54.07831,32.35749,51.09299,38.861514,29.33901,25.230379,31.1436343333333,1.62063161432803
"ACTR3B",70.88524,60.59976,35.35072,55.6119066666667,7.030276,2.889677,2.312428,4.07746033333333,11.1496502089857
"ACTR3C",3.4457,3.09493,1.24536,2.59533,0.6982,1.16039,0.413306,0.757298666666667,2.04594134633915
