"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"HDDC3",208,6.9439,170,6.09157,130,4.56269,5.86605333333,"Hddc3",1.859413,2.537151,2.292805,37,43,31,2.22978966666667,2.12585153893819
"HDGF",1629,11.4673,1821,13.7592,1891,13.9949,13.0738,"Hdgf",36.027392,35.590868,32.734658,1043,1041,809,34.784306,0.3932953177854
"HDGFL2",668,3.90141,689,4.31921,641,3.93587,4.05216333333,"Hdgfl2",17.224304,17.309066,29.196229,297,290,237,21.2431996666667,0.227132939911568
"HDGFL3",2280,4.18899,2526,4.98136,3001,5.79666,4.98900333333,"Hdgfl3",1.050653,0.696737,0.998941,178,116,133,0.915443666666667,3.12669249299945
"HDHD2",1640,6.64856,1665,7.245,1642,6.99834,6.96396666667,"Hdhd2",7.899079,8.35021,8.470333,548,539,432,8.239874,0.861912907759348
"HDHD3",259,12.6353,274,14.3475,181,9.28331,12.0887033333,"Hdhd3",0.362946,1.893495,0.551322,13,26,14,0.935921,6.76096975718534
"HDHD5",598,3.76103,576,3.88838,748,4.9459,4.19843666667,"Hdhd5",3.562286,3.769965,3.600202,214,207,159,3.644151,1.11935134466343
"HDLBP",8320,16.1863,8137,16.9914,8028,16.4199,16.5325333333,"Hdlbp",41.140805,52.143691,54.730979,6538,6401,5722,49.3384916666667,0.348292782576753
"HDX",287,0.271598,256,0.260031,268,0.266635,0.266088,"Hdx",0.025268,0.017523,0.030748,8,5,7,0.024513,1.23579495818989
"HEATR1",1982,6.23745,2442,8.24878,2807,9.28719,7.92447333333,"Heatr1",6.675096,1.117347,1.320757,172,139,109,3.03773333333333,2.21026813723789
"HEATR3",472,1.99642,424,1.92493,731,3.25061,2.39065333333,"Heatr3",3.578201,3.401367,3.664882,314,287,251,3.54815,0.745501650853644
"HEATR4",748,1.62402,810,1.88762,875,1.99726,1.8363,"Heatr4",0.009938,0,0,1,0,0,0.00331266666666667,2.82693530564417
"HEATR5A",1447,1.96322,1999,2.91107,1709,2.4377,2.43733,"Heatr5a",2.154344,1.696464,1.875163,359,364,320,1.908657,1.18175845415943
"HEATR5B",1504,2.26526,1695,2.74019,1917,3.0355,2.68031666667,"Heatr5b",5.450018,5.052211,4.107606,422,415,309,4.869945,0.626976345889101
"HEATR6",358,1.75002,353,1.85215,393,2.01972,1.87396333333,"Heatr6",1.297545,0.666542,1.358043,104,110,81,1.10737666666667,1.36376347844635
"HEATR9",61,0.764136,59,0.793293,59,0.777018,0.778149,"Heatr9",0,0,0.024744,0,0,1,0.008248,1.76360280407201
