"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"ABRA",10,0.16233,32,0.557555,60,1.02397,0.581285,"Abra",0.018005,0.01128,0,1,1,0,0.00976166666666667,1.56599824711112
"ABRACL",136,1.63203,150,1.93206,207,2.61154,2.05854333333,"Abracl",36.891442,26.41917,26.414674,73,83,21,29.9084286666667,0.0989549927081379
"ABRAXAS1",607,1.66127,747,2.19439,763,2.19541,2.01702333333,"Abraxas1",4.084361,3.180293,2.25232,103,114,24,3.17232466666667,0.723103683045918
"ABRAXAS2",669,3.35372,688,3.70194,758,3.99492,3.68352666667,"Abraxas2",11.466733,11.511173,8.682248,552,673,163,10.5533846666667,0.405381349431108
"ABT1",253,11.6712,303,15.003,253,12.2703,12.9815,"Abt1",1.876958,1.547864,2.244052,184,227,69,1.88962466666667,4.83851766676964
"ABTB1",1543,33.7288,1425,33.4342,937,21.5334,29.5654666667,"Abtb1",20.185235,16.277574,21.128845,464,615,144,19.197218,1.51335033699691
"ABTB2",364,0.307165,368,0.333318,470,0.416971,0.352484666667,"Abtb2",4.27992,4.990935,4.435689,419,704,139,4.568848,0.242866148737944
"ACAA1",1192,6.10428,1253,6.88731,1152,6.20224,6.39794333333,"Acaa1a",43.817628,41.570631,39.136331,1187,1805,406,41.5081966666667,0.174035689900983
"ACAA1",1192,6.10428,1253,6.88731,1152,6.20224,6.39794333333,"Acaa1b",0.773102,0.218939,0.620438,15,11,7,0.537493,4.81169236759452
"ACAA2",1316,7.23196,1158,6.83045,1297,7.49339,7.18526666667,"Acaa2",20.963765,13.131852,15.757114,326,408,95,16.617577,0.464607968886414
"ACACA",4300,2.33406,4641,2.70393,4008,2.28723,2.44174,"Acaca",22.195442,21.317759,10.804532,2827,4307,669,18.105911,0.180140062413145
"ACACB",3042,3.50477,3493,4.31955,2522,3.0548,3.62637333333,"Acacb",2.966425,2.245241,1.899891,253,405,100,2.370519,1.37259968964127
"ACAD10",802,1.97192,897,2.36727,684,1.76811,2.03576666667,"Acad10",1.395235,2.376533,2.320622,85,127,26,2.03079666666667,1.00163983287233
"ACAD10",802,1.97192,897,2.36727,684,1.76811,2.03576666667,"Acad12",3.266996,2.897114,5.625146,122,192,60,3.929752,0.615805149360454
"ACAD11",1114,1.90902,1115,2.05088,1118,2.01421,1.99137,"Acad11",11.338964,9.925988,11.505482,562,777,163,10.923478,0.250880657472593
"ACAD8",819,11.575,885,13.4252,746,11.0844,12.0282,"Acad8",14.2754,12.586996,10.959902,352,475,104,12.6074326666667,0.957432626649289
"ACAD9",1039,4.97676,1126,5.78908,1091,5.49407,5.41997,"Acad9",41.203767,34.89229,35.359212,975,1301,247,37.1517563333333,0.168274559732152
"ACADL",894,4.07549,1008,4.93223,2279,10.9226,6.64344,"Acadl",25.651733,24.871783,24.52402,840,1274,288,25.0158453333333,0.293799409631587
"ACADM",1245,3.43988,1406,4.16965,1536,4.46173,4.02375333333,"Acadm",58.745312,36.227401,29.691039,514,691,140,41.554584,0.118054340123029
