"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"MPST",849,14.5583,785,14.4481,606,10.9248,13.3104,"Mpst",10.666208,15.907856,19.767895,175,464,564,15.4473196666667,0.870074899134021
"MPV17",728,7.85601,862,9.98431,941,10.6757,9.50534,"Mpv17",24.68675,34.374187,33.897921,460,996,1049,30.986286,0.328432628908527
"MPV17L",197,1.96459,181,1.93743,258,2.70498,2.20233333333,"Mpv17l",22.18814,21.198827,18.099669,697,1255,1013,20.4955453333333,0.148976603462305
"MPV17L2",323,15.124,207,10.4034,156,7.67941,11.0689366667,"Mpv17l2",12.591903,19.516146,27.589273,93,311,350,19.8991073333333,0.577485749711926
"MPZ",24785,826.635,24776,886.945,18287,641.218,784.932666667,"Mpz",0.071602,0.117513,0.097646,2,6,5,0.095587,717.362169017157
"MPZL1",2117,5.22902,2008,5.32357,2909,7.55407,6.03555333333,"Mpzl1",14.968256,15.486871,17.040971,214,473,524,15.8320326666667,0.417985960023881
"MPZL2",347,5.451,203,3.42281,256,4.2279,4.36723666667,"Mpzl2",0.902418,0.637494,0.633406,38,52,51,0.724439333333333,3.1124531683554
"MPZL3",174,1.18389,189,1.38027,168,1.20174,1.2553,"Mpzl3",1.39233,1.076833,1.255835,53,96,90,1.241666,1.00608208359318
"MR1",387,2.37106,421,2.76857,805,5.18521,3.44161333333,"Mr1",2.080897,2.10586,2.198713,82,145,148,2.12849,1.4197307114071
"MRAP",311,2.36511,379,3.09365,378,3.02219,2.82698333333,"Mrap",0.316701,0.354674,0.490854,3,7,10,0.387409666666667,2.75836576987715
"MRAP2",1081,3.30677,916,3.00756,447,1.43755,2.58396,"Mrap2",3.478241,3.220581,4.69545,99,158,238,3.79809066666667,0.746955455614567
"MRAS",3036,9.16244,3435,11.127,3890,12.3423,10.8772466667,"Mras",100.584264,73.457849,56.502942,2478,3344,2760,76.8483516666667,0.152569019284523
"MRC1",1599,2.74359,993,1.82877,3795,6.84574,3.80603333333,"Mrc1",0.901844,0.519043,0.368023,74,55,40,0.596303333333333,3.01072686686323
"MRC2",470,1.24543,498,1.41641,671,1.86931,1.51038333333,"Mrc2",1.87713,0.555873,0.814367,123,91,118,1.08245666666667,1.20549127072512
"MRE11",669,1.49205,865,2.07068,1059,2.48308,2.01527,"Mre11a",9.107543,3.799265,9.736869,177,175,175,7.54789233333333,0.352750114579902
"MREG",314,0.599429,379,0.776582,316,0.63421,0.670073666667,"Mreg",2.531526,2.3887,2.697274,78,130,146,2.53916666666667,0.471883305863056
"MRFAP1",6936,456.389,7441,525.53,6793,469.922,483.947,"Mrfap1",150.094552,131.375529,124.542468,3130,5107,4971,135.337516333333,3.55695932449251
"MRFAP1L1",1178,95.0557,1339,115.972,1258,106.721,105.916233333,"Mrfap1",150.094552,131.375529,124.542468,3130,5107,4971,135.337516333333,0.78420258934158
"MRGBP",185,6.14787,184,6.56313,167,5.83455,6.18185,"Mrgbp",5.550157,4.557459,4.639216,140,204,199,4.91561066666667,1.21405048517955
"MRGPRD",0,0,11,2.13524,0,0,0.711746666667,"Mrgprd",0,0.012032,0,0,1,0,0.00401066666666667,1.70490884559029
"MRGPRE",5738,135.683,3936,99.8986,1853,46.0657,93.8824333333,"Mrgpre",2.605475,2.142138,1.906841,146,220,199,2.21815133333333,29.4835212845698
"MRGPRF",107,2.07975,188,3.92216,178,3.63735,3.21308666667,"Mrgprf",0.477292,0.572837,0.416258,14,31,21,0.488795666666667,2.82986225779584
"MRGPRX1",85,2.60745,250,8.23147,34,1.09651,3.97847666667,"Mrgprb3",0,0,0,0,0,0,0,4.97847666667
"MRGPRX1",85,2.60745,250,8.23147,34,1.09651,3.97847666667,"Mrgpra9",0,0,0,0,0,0,0,4.97847666667
"MRGPRX1",85,2.60745,250,8.23147,34,1.09651,3.97847666667,"Mrgpra4",0,0,0,0,0,0,0,4.97847666667
"MRGPRX1",85,2.60745,250,8.23147,34,1.09651,3.97847666667,"Mrgprb4",0,0,0,0,0,0,0,4.97847666667
"MRGPRX1",85,2.60745,250,8.23147,34,1.09651,3.97847666667,"Mrgpra2b",0,0,0,0,0,0,0,4.97847666667
"MRGPRX1",85,2.60745,250,8.23147,34,1.09651,3.97847666667,"Mrgprx1",0,0,0,0,0,0,0,4.97847666667
"MRGPRX1",85,2.60745,250,8.23147,34,1.09651,3.97847666667,"Mrgprx2",0,0,0.034349,0,0,2,0.0114496666666667,4.92212003299884
"MRGPRX1",85,2.60745,250,8.23147,34,1.09651,3.97847666667,"Mrgprb1",0,0,0,0,0,0,0,4.97847666667
"MRGPRX1",85,2.60745,250,8.23147,34,1.09651,3.97847666667,"Mrgpra2a",0,0,0,0,0,0,0,4.97847666667
"MRGPRX1",85,2.60745,250,8.23147,34,1.09651,3.97847666667,"Mrgpra6",0,0,0,0,0,0,0,4.97847666667
"MRGPRX1",85,2.60745,250,8.23147,34,1.09651,3.97847666667,"Mrgprb8",0,0,0,0,0,0,0,4.97847666667
"MRGPRX1",85,2.60745,250,8.23147,34,1.09651,3.97847666667,"Mrgprb5",0,0.046111,0,0,1,0,0.0153703333333333,4.90311416754347
"MRGPRX1",85,2.60745,250,8.23147,34,1.09651,3.97847666667,"Mrgpra3",0.059415,0,0,1,0,0,0.019805,4.88179276103765
"MRGPRX1",85,2.60745,250,8.23147,34,1.09651,3.97847666667,"Mrgpra1",0,0,0,0,0,0,0,4.97847666667
"MRGPRX1",85,2.60745,250,8.23147,34,1.09651,3.97847666667,"Mrgprb2",0,0,0,0,0,0,0,4.97847666667
"MRGPRX2",4,0.111575,0,0,1,0.0293256,0.0469668666667,"Mrgprb1",0,0,0,0,0,0,0,1.0469668666667
"MRGPRX2",4,0.111575,0,0,1,0.0293256,0.0469668666667,"Mrgpra2b",0,0,0,0,0,0,0,1.0469668666667
"MRGPRX2",4,0.111575,0,0,1,0.0293256,0.0469668666667,"Mrgpra1",0,0,0,0,0,0,0,1.0469668666667
"MRGPRX2",4,0.111575,0,0,1,0.0293256,0.0469668666667,"Mrgprb2",0,0,0,0,0,0,0,1.0469668666667
"MRGPRX2",4,0.111575,0,0,1,0.0293256,0.0469668666667,"Mrgprx2",0,0,0.034349,0,0,2,0.0114496666666667,1.03511514331413
"MRGPRX2",4,0.111575,0,0,1,0.0293256,0.0469668666667,"Mrgprb8",0,0,0,0,0,0,0,1.0469668666667
"MRGPRX2",4,0.111575,0,0,1,0.0293256,0.0469668666667,"Mrgpra3",0.059415,0,0,1,0,0,0.019805,1.02663437291119
"MRGPRX2",4,0.111575,0,0,1,0.0293256,0.0469668666667,"Mrgpra2a",0,0,0,0,0,0,0,1.0469668666667
"MRGPRX2",4,0.111575,0,0,1,0.0293256,0.0469668666667,"Mrgprx1",0,0,0,0,0,0,0,1.0469668666667
"MRGPRX2",4,0.111575,0,0,1,0.0293256,0.0469668666667,"Mrgprb4",0,0,0,0,0,0,0,1.0469668666667
"MRGPRX2",4,0.111575,0,0,1,0.0293256,0.0469668666667,"Mrgprb5",0,0.046111,0,0,1,0,0.0153703333333333,1.03111823567825
"MRGPRX2",4,0.111575,0,0,1,0.0293256,0.0469668666667,"Mrgpra6",0,0,0,0,0,0,0,1.0469668666667
"MRGPRX2",4,0.111575,0,0,1,0.0293256,0.0469668666667,"Mrgpra4",0,0,0,0,0,0,0,1.0469668666667
"MRGPRX2",4,0.111575,0,0,1,0.0293256,0.0469668666667,"Mrgprb3",0,0,0,0,0,0,0,1.0469668666667
"MRGPRX2",4,0.111575,0,0,1,0.0293256,0.0469668666667,"Mrgpra9",0,0,0,0,0,0,0,1.0469668666667
"MRGPRX3",31,0.309008,51,0.545655,8,0.083837,0.312833333333,"Mrgpra2b",0,0,0,0,0,0,0,1.312833333333
"MRGPRX3",31,0.309008,51,0.545655,8,0.083837,0.312833333333,"Mrgprb4",0,0,0,0,0,0,0,1.312833333333
"MRGPRX3",31,0.309008,51,0.545655,8,0.083837,0.312833333333,"Mrgprb2",0,0,0,0,0,0,0,1.312833333333
"MRGPRX3",31,0.309008,51,0.545655,8,0.083837,0.312833333333,"Mrgprx1",0,0,0,0,0,0,0,1.312833333333
"MRGPRX3",31,0.309008,51,0.545655,8,0.083837,0.312833333333,"Mrgpra2a",0,0,0,0,0,0,0,1.312833333333
"MRGPRX3",31,0.309008,51,0.545655,8,0.083837,0.312833333333,"Mrgpra1",0,0,0,0,0,0,0,1.312833333333
"MRGPRX3",31,0.309008,51,0.545655,8,0.083837,0.312833333333,"Mrgpra6",0,0,0,0,0,0,0,1.312833333333
"MRGPRX3",31,0.309008,51,0.545655,8,0.083837,0.312833333333,"Mrgprb3",0,0,0,0,0,0,0,1.312833333333
"MRGPRX3",31,0.309008,51,0.545655,8,0.083837,0.312833333333,"Mrgprb8",0,0,0,0,0,0,0,1.312833333333
"MRGPRX3",31,0.309008,51,0.545655,8,0.083837,0.312833333333,"Mrgprb1",0,0,0,0,0,0,0,1.312833333333
"MRGPRX3",31,0.309008,51,0.545655,8,0.083837,0.312833333333,"Mrgpra3",0.059415,0,0,1,0,0,0.019805,1.28733761192875
"MRGPRX3",31,0.309008,51,0.545655,8,0.083837,0.312833333333,"Mrgprx2",0,0,0.034349,0,0,2,0.0114496666666667,1.29797198674213
"MRGPRX3",31,0.309008,51,0.545655,8,0.083837,0.312833333333,"Mrgpra4",0,0,0,0,0,0,0,1.312833333333
"MRGPRX3",31,0.309008,51,0.545655,8,0.083837,0.312833333333,"Mrgprb5",0,0.046111,0,0,1,0,0.0153703333333333,1.29296010552439
"MRGPRX3",31,0.309008,51,0.545655,8,0.083837,0.312833333333,"Mrgpra9",0,0,0,0,0,0,0,1.312833333333
"MRGPRX4",6,0.725896,10,1.29857,0,0,0.674822,"Mrgpra2a",0,0,0,0,0,0,0,1.674822
"MRGPRX4",6,0.725896,10,1.29857,0,0,0.674822,"Mrgpra3",0.059415,0,0,1,0,0,0.019805,1.64229632135555
"MRGPRX4",6,0.725896,10,1.29857,0,0,0.674822,"Mrgprx1",0,0,0,0,0,0,0,1.674822
"MRGPRX4",6,0.725896,10,1.29857,0,0,0.674822,"Mrgpra1",0,0,0,0,0,0,0,1.674822
"MRGPRX4",6,0.725896,10,1.29857,0,0,0.674822,"Mrgprb8",0,0,0,0,0,0,0,1.674822
"MRGPRX4",6,0.725896,10,1.29857,0,0,0.674822,"Mrgpra4",0,0,0,0,0,0,0,1.674822
"MRGPRX4",6,0.725896,10,1.29857,0,0,0.674822,"Mrgprx2",0,0,0.034349,0,0,2,0.0114496666666667,1.6558629215031
"MRGPRX4",6,0.725896,10,1.29857,0,0,0.674822,"Mrgpra2b",0,0,0,0,0,0,0,1.674822
"MRGPRX4",6,0.725896,10,1.29857,0,0,0.674822,"Mrgprb4",0,0,0,0,0,0,0,1.674822
"MRGPRX4",6,0.725896,10,1.29857,0,0,0.674822,"Mrgprb3",0,0,0,0,0,0,0,1.674822
"MRGPRX4",6,0.725896,10,1.29857,0,0,0.674822,"Mrgpra6",0,0,0,0,0,0,0,1.674822
"MRGPRX4",6,0.725896,10,1.29857,0,0,0.674822,"Mrgprb1",0,0,0,0,0,0,0,1.674822
"MRGPRX4",6,0.725896,10,1.29857,0,0,0.674822,"Mrgprb5",0,0.046111,0,0,1,0,0.0153703333333333,1.64946910995693
"MRGPRX4",6,0.725896,10,1.29857,0,0,0.674822,"Mrgprb2",0,0,0,0,0,0,0,1.674822
"MRGPRX4",6,0.725896,10,1.29857,0,0,0.674822,"Mrgpra9",0,0,0,0,0,0,0,1.674822
"MRI1",431,7.71389,690,13.2552,700,13.1714,11.3801633333,"Mri1",3.481663,6.73821,5.851212,65,161,161,5.35702833333333,1.94747650696853
"MRM1",124,2.93453,111,2.81955,158,3.93108,3.22838666667,"Mrm1",17.812882,24.911074,44.472571,134,269,263,29.065509,0.140639117956393
"MRM2",377,8.24919,439,10.3104,395,9.08668,9.21542333333,"Mrm2",3.860144,5.398806,5.603631,74,189,199,4.95419366666667,1.71566863713536
"MRM3",228,3.92157,235,4.33844,201,3.63462,3.96487666667,"Mrm3",6.795764,7.068351,8.009063,103,259,254,7.29105933333333,0.598822957002519
"MRNIP",3099,20.0212,2984,20.6922,2883,19.5817,20.0983666667,"Mrnip",5.808972,7.466021,7.671251,84,195,203,6.98208133333333,2.64321619708293
"MRO",449,2.59023,375,2.32201,295,1.78917,2.23380333333,"Mro",8.732507,8.661,7.837042,139,278,232,8.410183,0.343649356588496
"MROH1",1445,2.21585,1025,1.68708,1139,1.83626,1.91306333333,"Mroh1",34.442466,17.93864,23.73694,819,801,879,25.372682,0.110457606599511
"MROH2A",2,0.00605071,3,0.00974177,1,0.00318064,0.00632437333333,"Mroh2a",0.739082,0.16684,0.246352,24,17,14,0.384091333333333,0.727065005825721
"MROH2B",6,0.014295,8,0.020458,30,0.0751436,0.0366322,"Mroh2b",0.24938,0,0,1,0,0,0.0831266666666667,0.957073841779047
"MROH5",114,0.271324,105,0.268233,265,0.663081,0.400879333333,"Mroh5",0.701596,0.458664,0.415077,24,30,21,0.525112333333333,0.918541738018205
"MROH6",80,2.12368,39,1.11123,51,1.42333,1.55274666667,"Mroh6",0,0.016999,0,0,1,0,0.00566633333333333,2.53836345322289
"MROH7",398,1.01485,372,1.01812,621,1.66474,1.23257,"Mroh7",2.417251,2.843822,3.589642,36,74,46,2.95023833333333,0.565173493751221
"MROH7-TTC4",1151,2.00032,898,1.6751,1217,2.22359,1.96633666667,"Mroh7",2.417251,2.843822,3.589642,36,74,46,2.95023833333333,0.750925998980652
"MROH8",185,0.412431,234,0.559933,201,0.471101,0.481155,"Mroh8",0.190691,0.534355,0.467755,6,15,9,0.397600333333333,1.05978437803273
"MROH9",8,0.0108093,13,0.0188535,17,0.0241488,0.0179372,"Mroh9",0,0,0,0,0,0,0,1.0179372
"MRPL1",394,0.765168,464,0.967206,418,0.853444,0.861939333333,"Mrpl1",3.39939,3.02989,3.760595,169,268,329,3.396625,0.423492868582833
"MRPL10",539,11.3861,595,13.4909,519,11.5263,12.1344333333,"Mrpl10",20.325951,29.024407,26.970961,477,1145,1117,25.4404396666667,0.496755481334091
"MRPL11",231,1.27449,295,1.74698,305,1.76914,1.59687,"Mrpl11",41.178125,63.099783,75.322067,263,699,793,59.8666583333333,0.0426649017887324
"MRPL12",387,16.2873,488,22.0444,330,14.6012,17.6443,"Mrpl12",24.234963,41.05879,44.9523,366,1053,1178,36.7486843333333,0.493905955380184
"MRPL13",452,1.22156,489,1.41849,518,1.47178,1.37061,"Mrpl13",24.45428,30.903583,39.841336,241,544,686,31.7330663333333,0.0724224848310626
"MRPL14",412,5.14041,351,4.70054,339,4.44671,4.76255333333,"Mrpl14",14.783133,23.703328,27.610223,75,210,260,22.032228,0.250195219208928
"MRPL15",916,12.0555,1052,14.8609,819,11.3321,12.7495,"Mrpl15",36.650985,37.44121,38.999773,310,618,621,37.6973226666667,0.355308818608364
"MRPL16",398,14.9882,493,19.9275,447,17.6975,17.5377333333,"Mrpl16",11.732745,15.409178,19.130963,176,391,494,15.4242953333333,1.12867754488544
"MRPL17",394,23.2853,434,27.5306,356,22.1194,24.3117666667,"Mrpl17",37.919766,63.989757,68.103832,292,571,637,56.6711183333333,0.438898488501654
"MRPL18",616,12.4771,578,12.5661,557,11.8611,12.3014333333,"Mrpl18",180.864548,227.668999,256.739538,296,604,644,221.757695,0.0597125649612239
"MRPL19",1731,6.86206,1930,8.21212,1910,7.96029,7.67815666667,"Mrpl19",25.374356,29.840116,28.448783,397,607,657,27.8877516666667,0.30040955650708
"MRPL2",421,13.5949,394,13.6562,335,11.373,12.8747,"Mrpl2",176.414351,263.995803,201.249616,177,569,602,213.88659,0.0645675470023513
"MRPL20",896,29.0678,887,30.8865,838,28.5816,29.5119666667,"Mrpl20",75.869672,103.620026,111.976824,343,822,937,97.1555073333333,0.310853333609516
"MRPL21",423,5.88358,475,7.09145,434,6.34642,6.44048333333,"Mrpl21",25.726876,33.251229,33.080924,174,418,402,30.686343,0.234816726352107
"MRPL22",412,2.53982,420,2.77905,439,2.84517,2.72134666667,"Mrpl22",18.650168,18.899955,19.052392,116,231,247,18.867505,0.187308203353667
"MRPL23",400,1.87621,532,2.6784,433,2.13525,2.22995333333,"Mrpl23",1.406855,1.004358,1.085657,18,23,18,1.16562333333333,1.4914658904965
"MRPL24",600,24.4448,616,26.9375,592,25.3569,25.5797333333,"Mrpl24",23.807421,27.534458,30.191209,310,672,716,27.177696,0.943289803868279
"MRPL27",576,18.8052,621,21.7614,576,19.7704,20.1123333333,"Mrpl27",39.120494,51.595112,54.086638,295,645,763,48.2674146666667,0.428525293566585
"MRPL28",766,30.9696,699,30.3336,565,24.0156,28.4396,"Mrpl28",25.425301,35.82352,38.689665,320,810,933,33.3128286666667,0.85797648121617
"MRPL3",1066,4.56758,1162,5.34411,1503,6.77058,5.56075666667,"Mrpl3",31.791237,43.647376,45.079796,705,1225,1248,40.172803,0.159346854929211
"MRPL30",902,8.5594,993,10.1141,1006,10.0363,9.56993333333,"Mrpl30",66.419422,94.584288,101.006513,355,858,930,87.336741,0.119655006667384
"MRPL32",488,5.141,573,6.47922,704,7.79719,6.47247,"Mrpl32",17.793887,16.775482,18.693015,164,276,284,17.754128,0.398444011899673
"MRPL33",911,0.735546,928,0.804229,1011,0.858185,0.79932,"Mrpl33",45.03047,47.076599,53.616752,123,220,285,48.574607,0.036295194432908
"MRPL34",745,9.14301,687,9.04962,539,6.95441,8.38234666667,"Mrpl34",18.376428,25.859324,25.088313,102,281,281,23.1080216666667,0.389179452233638
"MRPL35",950,11.4965,872,11.3266,834,10.6108,11.1446333333,"Mrpl35",12.882212,12.130172,12.996955,351,510,525,12.6697796666667,0.888429340446087
"MRPL36",246,14.4118,257,16.1606,202,12.4415,14.3379666667,"Mrpl36",16.268678,24.840733,23.473184,153,445,420,21.5275316666667,0.680854293921386
"MRPL37",1118,4.71499,1195,5.40937,1051,4.65993,4.92809666667,"Mrpl37",21.12495,24.464473,22.668294,360,718,720,22.7525723333333,0.249577038793005
"MRPL38",784,20.228,764,21.1579,641,17.3874,19.5911,"Mrpl38",60.698387,70.022102,60.932466,330,762,781,63.8843183333333,0.317350949026178
"MRPL39",460,3.67586,490,4.20279,510,4.28459,4.05441333333,"Mrpl39",8.743656,12.086958,8.33676,243,549,488,9.722458,0.471385696575356
"MRPL4",471,10.0899,530,12.1866,367,8.26553,10.1806766667,"Mrpl4",26.702931,39.077716,51.322616,300,729,839,39.034421,0.279276592178016
"MRPL40",405,16.9509,450,20.2158,420,18.481,18.5492333333,"Mrpl40",19.502762,29.464341,27.136705,208,549,520,25.367936,0.741401728724615
"MRPL41",409,105.542,497,137.657,329,89.2557,110.818233333,"Mrpl41",49.212246,62.019566,67.342563,301,706,811,59.5247916666667,1.84747820279706
"MRPL42",820,2.93991,891,3.42878,1030,3.88236,3.41701666667,"Mrpl42",53.922605,65.309307,67.818505,352,732,767,62.350139,0.0697238670095104
"MRPL43",835,8.07807,710,7.37258,566,5.75673,7.06912666667,"Mrpl43",13.931172,23.398521,21.940053,250,711,707,19.756582,0.388750260841115
"MRPL44",466,7.94087,512,9.36467,450,8.06181,8.45578333333,"Mrpl44",10.283985,15.181737,14.084979,194,517,488,13.183567,0.66667174296353
"MRPL45",467,3.11451,554,3.96572,536,3.75816,3.61279666667,"Mrpl45",14.64182,15.365444,20.072678,334,698,778,16.693314,0.260708461211393
"MRPL46",388,8.56498,382,9.05104,376,8.72611,8.78071,"Mrpl46",14.654829,16.476437,18.214531,209,422,474,16.448599,0.560544144547078
"MRPL47",532,5.67919,560,6.41657,905,10.1569,7.41755333333,"Mrpl47",12.775105,14.257497,12.261029,184,310,291,13.097877,0.597079498801841
"MRPL48",360,0.814005,365,0.885845,324,0.770208,0.823352666667,"Mrpl48",42.019806,51.455646,47.93337,659,1212,1147,47.136274,0.0378789739036927
"MRPL49",754,25.3851,809,29.2345,691,24.4581,26.3592333333,"Mrpl49",30.747909,34.948709,33.607322,368,805,751,33.1013133333333,0.802292658522243
"MRPL50",319,5.07273,377,6.43477,397,6.63712,6.04820666667,"Mrpl50",14.287295,13.930087,13.833295,430,727,723,14.0168923333333,0.469351881216125
"MRPL51",830,74.131,956,91.6474,819,76.9031,80.8938333333,"Mrpl51",24.66018,37.550848,40.002804,353,728,755,34.0712773333333,2.3350684537362
"MRPL52",636,21.5368,611,22.2079,512,18.2278,20.6575,"Mrpl52",92.184569,113.84885,134.735064,88,234,291,113.589494333333,0.189000746761302
"MRPL53",245,60.625,296,78.6173,210,54.6315,64.6246,"Mrpl53",17.972316,19.131166,23.961841,128,251,319,20.3551076666667,3.07301658340191
"MRPL54",281,8.32888,302,9.60789,216,6.73089,8.22255333333,"Mrpl54",23.637404,27.969415,32.463572,129,293,346,28.0234636666667,0.317761981796889
"MRPL55",369,24.4738,386,27.4791,300,20.9187,24.2905333333,"Mrpl55",16.692481,22.951842,23.81812,150,365,393,21.1541476666667,1.1415710373436
"MRPL57",446,32.1037,453,34.9993,485,36.7029,34.6019666667,"Mrpl57",17.988182,23.28325,30.905903,160,333,410,24.0591116666667,1.42071942294975
"MRPL58",276,5.61184,328,7.15831,338,7.22522,6.66512333333,"Mrpl58",47.049895,64.236229,86.665246,304,688,780,65.98379,0.114432511706638
"MRPL9",626,28.4056,582,28.3461,568,27.0967,27.9494666667,"Mrpl9",15.276917,19.938839,19.663714,334,779,781,18.2931566666667,1.50050441028745
"MRPS10",924,14.6017,1124,19.0651,1034,17.1787,16.9485,"Mrps10",23.257729,20.387722,23.876871,185,371,387,22.5074406666667,0.763524207271564
"MRPS11",646,8.4701,680,9.56985,612,8.43617,8.82537333333,"Mrps11",14.645474,24.207429,27.916694,130,383,438,22.2565323333333,0.422478002846856
"MRPS14",753,10.4098,896,13.2952,918,13.3422,12.3490666667,"Mrps14",35.140904,46.212644,48.053013,394,775,719,43.1355203333333,0.302456311059238
"MRPS15",699,14.0896,676,14.6254,610,12.9268,13.8806,"Mrps15",22.615791,28.523513,27.949428,169,412,462,26.3629106666667,0.543823724795749
"MRPS16",865,39.2404,819,39.8787,969,46.2146,41.7779,"Mrps16",17.070823,25.809102,27.536451,167,445,478,23.4721253333333,1.74802553588317
"MRPS17",229,8.65184,244,9.89471,193,7.66599,8.73751333333,"Mrps17",55.640549,74.377625,74.475941,603,963,889,68.164705,0.14078731823305
"MRPS18A",430,4.5558,505,5.74286,304,3.38616,4.56160666667,"Mrps18a",31.872725,42.395338,46.375953,311,785,842,40.214672,0.134942397859432
"MRPS18B",724,14.7829,729,15.9767,779,16.7223,15.8273,"Mrps18b",34.679073,48.14785,53.889747,174,395,408,45.5722233333333,0.361316226617769
"MRPS18C",659,8.3401,764,10.3781,804,10.6974,9.8052,"Mrps18c",94.448763,124.346841,151.309512,105,219,247,123.368372,0.0868806098064868
"MRPS2",391,14.5645,341,13.6337,349,13.6673,13.9551666667,"Mrps2",10.703648,10.113593,9.534454,315,532,506,10.1172316666667,1.34522398337176
"MRPS21",980,11.2192,1033,12.6934,1034,12.445,12.1192,"Mrps21",207.816956,354.56762,371.670574,243,571,644,311.351716666667,0.0420013699300409
"MRPS22",262,0.130247,354,0.188891,313,0.163587,0.160908333333,"Mrps22",9.22321,13.356841,14.58346,140,356,393,12.387837,0.0867136590722609
"MRPS23",637,7.28485,719,8.82572,662,7.95934,8.02330333333,"Mrps23",48.088063,84.710225,88.032893,281,722,730,73.6103936666667,0.1209389589022
"MRPS24",334,17.4909,449,25.2378,327,18.0032,20.2439666667,"Mrps24",15.23128,25.019668,27.267139,101,310,360,22.506029,0.90376671732601
"MRPS25",2699,20.6279,2859,23.4535,3403,27.3434,23.8082666667,"Mrps25",27.739967,37.923198,34.810304,302,624,611,33.4911563333333,0.719264568196704
"MRPS26",305,24.2307,411,35.0467,274,22.8852,27.3875333333,"Mrps26",22.868664,29.718113,31.474466,338,860,917,28.0204143333333,0.978191868911176
"MRPS27",1740,3.00259,1834,3.39693,1556,2.8229,3.07414,"Mrps27",12.446772,15.871069,15.560631,299,637,671,14.6261573333333,0.260725648225053
"MRPS28",668,1.04594,848,1.42517,854,1.40581,1.29230666667,"Mrps28",8.763093,11.825786,12.934746,74,187,209,11.1745416666667,0.188286896495351
"MRPS30",601,9.14424,773,12.6239,666,10.6533,10.8071466667,"Mrps30",4.559484,5.577221,5.913628,217,471,494,5.350111,1.85936067364807
"MRPS31",700,2.90729,665,2.96451,678,2.96045,2.94408333333,"Mrps31",9.701643,12.298528,13.314587,198,432,457,11.771586,0.308817035983628
"MRPS33",708,9.80164,722,10.7286,517,7.52479,9.35167666667,"Mrps33",51.805432,59.942704,65.98355,268,547,616,59.2438953333333,0.171829471009361
"MRPS34",506,69.8244,529,78.3525,411,59.6262,69.2677,"Mrps34",21.594008,32.504102,38.391081,214,626,762,30.8297303333333,2.20761216837621
"MRPS35",937,3.59971,1024,4.22248,978,3.95007,3.92408666667,"Mrps35",26.954119,33.336774,36.810728,174,328,340,32.367207,0.147572635212471
"MRPS36",545,7.67892,547,8.2724,498,7.37686,7.77606,"Mrps36",22.720939,28.487176,31.282439,135,300,331,27.4968513333333,0.307965953759055
"MRPS5",1702,4.64112,1938,5.67227,1832,5.25202,5.18847,"Mrps5",47.429228,57.905423,53.081531,529,770,733,52.805394,0.115015791911123
"MRPS6",3293,8.24059,4152,11.1523,3180,8.36627,9.25305333333,"Mrps6",22.051301,27.270869,28.074697,197,469,489,25.7989556666667,0.382591525612435
"MRPS7",760,28.2312,848,33.8105,751,29.3288,30.4568333333,"Mrps7",25.961343,34.080873,36.699619,320,821,904,32.2472783333333,0.946147622007355
"MRPS9",683,1.92787,732,2.21772,662,1.9645,2.03669666667,"Mrps9",13.917863,16.415118,16.362326,236,526,552,15.5651023333333,0.183318919833014
"MRRF",514,1.34555,544,1.52854,803,2.20999,1.69469333333,"Mrrf",14.842376,12.945119,15.593096,209,410,410,14.460197,0.1742987707938
"MRS2",905,6.78931,1114,8.97021,951,7.50059,7.75337,"Mrs2",153.964699,69.974988,57.943478,1361,1284,1106,93.961055,0.0921785251859302
"MRTFA",1039,0.801595,999,0.827266,1238,1.00415,0.877670333333,"Mrtfa",12.554429,4.408257,4.107351,643,494,474,7.02334566666667,0.234025855464992
"MRTFB",1249,1.11638,1438,1.37958,1666,1.56553,1.35383,"Mrtfb",26.998212,6.155655,5.94673,3302,1291,1268,13.0335323333333,0.167728975434719
"MRTO4",451,9.46531,510,11.4887,541,11.937,10.96367,"Mrto4",22.314627,24.164285,29.209511,225,484,517,25.2294743333333,0.456115507614125
"MS4A1",4,0.0465585,1,0.0124934,10,0.122371,0.0604743,"Ms4a1",0.052189,0,0.064106,2,0,5,0.038765,1.02089914465736
"MS4A12",0,0,2,0.0255938,2,0.0250687,0.0168875,"Ms4a12",0.182906,0.16099,0.04542,5,7,2,0.129772,0.900082051953845
"MS4A13",2,0.0127844,1,0.00686106,0,0,0.00654848666667,"Ms4a13",0,0,0,0,0,0,0,1.00654848666667
"MS4A14",2139,9.52612,1140,5.44943,4672,21.8749,12.2834833333,"Ms4a14",0.016216,0,0,1,0,0,0.00540533333333333,13.2120677033409
"MS4A15",2,0.0175869,2,0.0188768,0,0,0.0121545666667,"Ms4a15",0,0,0.023227,0,0,1,0.00774233333333333,1.00437833480585
"MS4A18",0,0,3,0.0377315,1,0.0123191,0.0166835333333,"Ms4a18",0,0,0,0,0,0,0,1.0166835333333
