"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"RXRA",1916,2.71057,1783,2.70743,1725,2.56562,2.66120666667,"Rxra",7.86104,4.640569,4.6595,502,626,559,5.72036966666667,0.544792451645889
"RXRB",1114,27.4067,1105,29.1792,1069,27.6495,28.0784666667,"Rxrb",24.664494,29.285876,28.789206,597,1290,1187,27.5798586666667,1.01744613246163
"RXRG",637,2.50446,896,3.78115,697,2.88102,3.05554333333,"Rxrg",3.879228,4.99764,3.489,101,254,165,4.121956,0.791795816545476
"RXYLT1",270,1.58705,325,2.05046,459,2.83647,2.15799333333,"Rxylt1",20.247238,21.092928,18.953001,286,524,553,20.0977223333333,0.14968408833121
"RYBP",737,1.72137,989,2.47938,824,2.02335,2.0747,"Rybp",14.523956,5.666264,4.746038,982,619,554,8.312086,0.330183806292167
"RYK",865,0.814889,1346,1.36103,1046,1.03598,1.070633,"Ryk",9.187789,10.144556,9.240956,354,679,613,9.52443366666667,0.196745313389943
"RYR1",1003,1.1388,1364,1.66227,1238,1.47777,1.42628,"Ryr1",0.667434,0.218974,0.215477,103,37,49,0.367295,1.77451098702182
"RYR2",3298,0.727651,3238,0.766813,2440,0.565979,0.686814333333,"Ryr2",31.507739,3.92246,4.889451,3088,658,810,13.4398833333333,0.116816340852223
"RYR3",806,0.253626,890,0.3006,699,0.231246,0.261824,"Ryr3",14.884958,0.647962,0.723668,602,165,158,5.41886266666667,0.196580619578089
"S100A1",1176,49.9383,1650,75.2057,965,43.0816,56.0752,"S100a1",48.735456,68.861759,84.646341,325,801,1003,67.4145186666667,0.83425566842157
"S100A10",13900,221.865,14490,248.247,10078,169.117,213.076333333,"S100a10",19.964104,27.654584,28.189906,137,328,327,25.2695313333333,8.14922545121158
"S100A11",1498,16.9912,1182,14.3904,2420,28.858,20.0798666667,"S100a11",9.646464,8.308968,11.338551,41,61,85,9.764661,1.95824714468017
"S100A13",2367,32.8863,2792,41.6364,1825,26.6574,33.7267,"S100a13",16.405537,18.787409,27.069343,123,253,370,20.7540963333333,1.59632923693498
"S100A14",7,0.447618,4,0.274543,7,0.470594,0.397585,"S100a14",0,0,0.051175,0,0,1,0.0170583333333333,1.37414438699845
"S100A16",459,12.8094,370,11.083,464,13.6136,12.502,"S100a16",38.369584,57.134728,67.597049,412,1039,1270,54.3671203333333,0.243863143300795
"S100A2",32,0.824174,18,0.497602,22,0.595703,0.639159666667,"S100a2",0.182862,0.078036,0.040937,5,5,3,0.100611666666667,1.48931700100126
"S100A3",23,2.08191,21,2.0403,21,1.99844,2.04021666667,"S100a3",0.374249,0.413399,0.318829,2,5,4,0.368825666666667,2.2210400788827
"S100A4",714,19.1194,978,28.1097,1280,36.035,27.7547,"S100a4",2.131045,3.367699,3.975837,9,15,21,3.15819366666667,6.91519017752981
"S100A5",11,0.41604,24,0.974304,14,0.556684,0.649009333333,"S100a5",0,0,0,0,0,0,0,1.649009333333
"S100A6",9215,978.039,11180,1273.63,9824,1096.19,1115.953,"S100a6",29.08871,34.600726,43.086183,92,197,261,35.591873,30.5246194967937
"S100A8",220,36.8846,24,4.31891,1149,202.526,81.24317,"S100a8",0.528348,0,0.586267,2,0,4,0.371538333333333,59.9641789085978
"S100B",10206,269.944,11846,336.302,8289,230.493,278.913,"S100b",82.184304,111.136836,123.826939,1636,3887,4400,105.716026333333,2.62297060354999
"S100G",1,0.0387102,0,0,2,0.0813942,0.0400348,"S100g",0,0,0,0,0,0,0,1.0400348
"S100PBP",825,3.42271,938,4.17695,1197,5.22093,4.27353,"S100pbp",15.236079,7.213131,16.288073,605,727,659,12.9124276666667,0.379051746133068
"S100Z",83,0.202373,77,0.201514,96,0.246084,0.216657,"S100z",0,0,0,0,0,0,0,1.216657
"S1PR1",481,12.269,488,13.3605,461,12.3624,12.6639666667,"S1pr1",39.39583,39.59547,36.828936,1780,3201,2996,38.6067453333333,0.344990898689176
"S1PR2",102,1.80011,80,1.51541,129,2.39347,1.90299666667,"S1pr2",1.833679,0.606038,0.822063,38,54,56,1.08726,1.39081698814235
"S1PR3",936,11.4404,918,12.0434,1423,18.2856,13.9231333333,"S1pr3",1.516467,0.875743,1.244233,103,106,153,1.21214766666667,6.7459932979007
"S1PR4",9,0.196856,25,0.586931,21,0.482908,0.422231666667,"S1pr4",0.179713,0.097666,0.276207,6,6,18,0.184528666666667,1.2006730665871
"S1PR5",1,0.0336607,0,0,0,0,0.0112202333333,"S1pr5",5.996476,5.239502,6.302474,201,342,425,5.84615066666667,0.14770639481495
"SAAL1",308,1.48832,343,1.77902,375,1.90509,1.72414333333,"Saal1",2.909161,2.171918,2.264656,143,168,167,2.44857833333333,0.789932276439518
"SAC3D1",152,6.76025,162,7.73347,91,4.25499,6.24957,"Sac3d1",6.158888,5.951561,6.414007,91,183,209,6.17481866666667,1.01041856760515
"SACM1L",2368,7.34087,2547,8.47491,2805,9.14191,8.31923,"Sacm1l",91.196198,86.56936,103.583359,1433,2089,1871,93.7829723333333,0.0983217741603004
"SACS",3891,6.47909,5484,9.80146,3806,6.66285,7.6478,"Sacs",8.429425,2.280573,2.233129,1929,927,896,4.31437566666667,1.62724664992006
"SAE1",1357,2.43487,1319,2.54028,1240,2.33914,2.43809666667,"Sae1",57.214728,60.64696,52.138056,928,1642,1489,56.6665813333333,0.0596202616346646
"SAFB",2020,7.76543,1936,7.9884,2104,8.5035,8.08577666667,"Safb",79.228063,30.86972,25.600019,1137,766,735,45.2326006666667,0.196523157591279
"SAFB2",1841,8.6812,1847,9.34831,1702,8.43769,8.8224,"Safb2",34.789938,9.525495,10.516358,521,241,295,18.2772636666667,0.509532896880195
"SAG",6,0.0267124,1,0.00477861,10,0.0468058,0.0260989366667,"Sag",0.924178,0.759269,1.172104,18,35,44,0.951850333333333,0.52570574656426
"SALL1",107,1.21437,98,1.19381,162,1.93295,1.44704333333,"Sall1",3.661856,1.662148,1.852056,296,242,271,2.39202,0.721411823435593
"SALL2",655,7.09103,653,7.5879,409,4.6551,6.44467666667,"Sall2",13.40158,8.100756,9.139589,970,1068,1226,10.213975,0.663874912033423
"SALL4",10,0.0865232,19,0.176452,30,0.272893,0.178622733333,"Sall4",0.460322,0,0.078934,2,0,2,0.179752,0.999042793174328
"SAMD10",87,2.57913,119,3.78653,60,1.87001,2.74522333333,"Samd10",7.042538,6.01648,5.830017,195,309,314,6.296345,0.513301294460446
"SAMD11",193,1.63246,181,1.64326,172,1.52951,1.60174333333,"Samd11",0.719076,0.553146,0.453359,12,22,19,0.575193666666667,1.65169743148832
"SAMD12",621,0.250748,860,0.372722,537,0.22796,0.28381,"Samd12",14.575643,4.56315,3.98072,835,385,326,7.70650433333333,0.147454127494644
"SAMD14",1658,14.5971,1643,15.5261,847,7.8398,12.6543333333,"Samd14",12.1821,11.551157,12.248756,481,1008,1054,11.9940043333333,1.0508179759701
"SAMD15",36,0.424685,48,0.60778,52,0.644921,0.559128666667,"Samd15",1.369391,1.583798,1.175263,27,30,29,1.37615066666667,0.656157325601828
"SAMD3",52,0.041085,98,0.0831087,124,0.103001,0.0757315666667,"Samd3",1.857578,1.511301,1.78654,18,27,34,1.718473,0.395711697952012
"SAMD4A",583,0.450225,554,0.45921,1022,0.829756,0.579730333333,"Samd4",9.450331,3.589111,4.233435,616,468,489,5.75762566666667,0.233770026819528
"SAMD4B",2422,9.76847,2870,12.4244,3532,14.9765,12.38979,"Samd4b",74.47904,30.946647,51.99529,999,744,772,52.473659,0.250399734194363
"SAMD5",267,0.203815,359,0.294144,365,0.292924,0.263627666667,"Samd5",6.180763,1.367408,1.42995,421,246,251,2.992707,0.316483946021333
"SAMD7",1,0.00632876,2,0.0135859,6,0.0399216,0.01994542,"Samd7",0.063282,0.025134,0.012411,2,2,1,0.033609,0.986780707211334
"SAMD8",1608,3.40348,2036,4.62546,2294,5.10468,4.37787333333,"Samd8",14.016314,6.536203,5.027525,1387,1098,806,8.52668066666667,0.564506518219602
"SAMD9L",1205,11.4846,1234,12.6236,2084,20.8816,14.9966,"Samd9l",1.032083,0.581258,0.631785,65,79,90,0.748375333333333,9.14940842221903
"SAMHD1",13053,36.7034,13138,39.6521,16291,48.1595,41.505,"Samhd1",7.850713,3.394833,3.676038,229,183,189,4.97386133333333,7.11516348108515
"SAMM50",1402,4.44596,1537,5.23157,1189,3.96404,4.54719,"Samm50",32.878183,33.937864,32.716028,1022,1754,1767,33.1773583333333,0.162305990588799
