"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"ABHD2",17724,26.9491,16264,26.543,12739,20.3636,24.6185666667,"Abhd2",11.033863,14.096476,15.211377,518,2535,1550,13.4472386666667,1.77325004852369
"ABHD3",1424,4.61714,1403,4.88271,1271,4.33258,4.61081,"Abhd3",55.682784,53.328998,62.270616,427,1662,1021,57.0941326666667,0.0965813541307826
"ABHD4",738,8.60724,755,9.45138,690,8.46048,8.8397,"Abhd4",31.723046,34.102686,39.716449,385,1661,1007,35.180727,0.271959709377869
"ABHD5",469,1.85103,419,1.77498,452,1.8755,1.83383666667,"Abhd5",21.566522,17.853184,20.208764,143,531,290,19.8761566666667,0.135745133164039
"ABHD6",462,1.38769,518,1.67002,434,1.3705,1.47607,"Abhd6",17.385249,17.188792,18.917148,233,860,531,17.8303963333333,0.131493249327785
"ABHD8",802,7.73824,756,7.82943,603,6.11679,7.22815333333,"Abhd8",65.067793,67.246917,70.625685,840,3106,1873,67.6467983333333,0.119862157203253
"ABI1",1701,2.59542,1851,3.03145,2269,3.63979,3.08888666667,"Abi1",61.894673,67.568242,60.34268,492,1777,1100,63.2685316666667,0.063621908897457
"ABI2",4245,6.20636,4621,7.25163,4889,7.5148,6.99093,"Abi2",21.449798,32.690883,39.515265,634,2558,1589,31.2186486666667,0.248021885792727
"ABI3",335,4.56685,245,3.58491,572,8.19797,5.44991,"Abi3",0.868416,1.488242,0.946114,10,26,22,1.100924,3.07003489893019
"ABI3BP",385,0.275246,801,0.614658,1404,1.05528,0.648394666667,"Abi3bp",2.876543,2.528344,3.212496,93,298,218,2.872461,0.425671082721556
"ABITRAM",1122,11.9922,1332,15.2809,1849,20.7769,16.0166666667,"Abitram",7.381211,4.320135,5.156999,87,384,238,5.61944833333333,2.57070767982428
"ABL1",1330,1.3303,1558,1.67265,1785,1.87704,1.62666333333,"Abl1",17.901029,13.698011,17.087719,305,1363,769,16.2289196666667,0.152456647552422
"ABL2",1534,2.05583,1795,2.58207,2285,3.21949,2.61913,"Abl2",4.995949,5.682749,8.350547,342,1365,865,6.34308166666667,0.492862556115745
"ABLIM1",9790,5.07585,10498,5.84216,8705,4.74497,5.22099333333,"Ablim1",34.801176,35.93125,43.941288,1345,5168,3521,38.2245713333333,0.158599396293296
"ABLIM2",835,0.75378,569,0.551329,725,0.688072,0.664393666667,"Ablim2",45.109793,56.693162,60.767226,382,1889,1015,54.1900603333333,0.0301574895300803
"ABLIM3",3540,5.19431,3148,4.95792,2904,4.47981,4.87734666667,"Ablim3",9.713718,10.446052,13.010561,280,1148,806,11.056777,0.487472453597674
"ABO",280,1.90898,318,2.32708,308,2.20766,2.14790666667,"Abo",0,0.04772,0,0,2,0,0.0159066666666667,3.09861798328258
"ABR",3546,2.7384,3554,2.94588,3798,3.08355,2.92261,"Abr",72.847619,78.817078,72.995401,1670,6447,3704,74.8866993333333,0.051690349355819
"ABRA",10,0.16233,32,0.557555,60,1.02397,0.581285,"Abra",0.104979,0.014323,0.024908,2,1,1,0.04807,1.5087589569399
"ABRACL",136,1.63203,150,1.93206,207,2.61154,2.05854333333,"Abracl",23.553344,24.607412,18.383949,18,67,32,22.1815683333333,0.131938585403303
"ABRAXAS1",607,1.66127,747,2.19439,763,2.19541,2.01702333333,"Abraxas1",2.527091,2.89354,2.878353,15,97,65,2.766328,0.801051669777566
"ABRAXAS2",669,3.35372,688,3.70194,758,3.99492,3.68352666667,"Abraxas2",17.910056,12.732544,10.244335,210,637,376,13.6289783333333,0.3201540504027
"ABT1",253,11.6712,303,15.003,253,12.2703,12.9815,"Abt1",2.169662,2.135689,2.150485,66,245,139,2.15194533333333,4.43583200893078
"ABTB1",1543,33.7288,1425,33.4342,937,21.5334,29.5654666667,"Abtb1",20.252164,25.862883,30.335142,130,636,382,25.4833963333333,1.15413696498696
