"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"ABTB2",364,0.307165,368,0.333318,470,0.416971,0.352484666667,"Abtb2",2.212097,2.390987,1.905456,108,133,227,2.16951333333333,0.426716825085765
"ACAA1",1192,6.10428,1253,6.88731,1152,6.20224,6.39794333333,"Acaa1a",33.047095,25.191209,29.881533,519,407,971,29.373279,0.243567490139277
"ACAA1",1192,6.10428,1253,6.88731,1152,6.20224,6.39794333333,"Acaa1b",0.234331,0.74511,0.407108,5,7,11,0.462183,5.05951945367304
"ACAA2",1316,7.23196,1158,6.83045,1297,7.49339,7.18526666667,"Acaa2",13.854658,15.004313,13.890623,169,170,337,14.2498646666667,0.536743561046902
"ACACA",4300,2.33406,4641,2.70393,4008,2.28723,2.44174,"Acaca",11.431742,15.537958,14.799623,1122,1249,2211,13.9231076666667,0.2306315867229
"ACACB",3042,3.50477,3493,4.31955,2522,3.0548,3.62637333333,"Acacb",0.795556,0.745748,1.683203,62,49,116,1.07483566666667,2.22975409939936
"ACAD10",802,1.97192,897,2.36727,684,1.76811,2.03576666667,"Acad10",0.694572,0.890984,2.146887,24,33,75,1.24414766666667,1.35274817774321
"ACAD10",802,1.97192,897,2.36727,684,1.76811,2.03576666667,"Acad12",2.971927,1.955368,1.43504,47,42,86,2.12077833333333,0.972759466523041
"ACAD11",1114,1.90902,1115,2.05088,1118,2.01421,1.99137,"Acad11",7.734487,8.54042,7.545363,260,304,488,7.94009,0.334601776939606
"ACAD8",819,11.575,885,13.4252,746,11.0844,12.0282,"Acad8",11.891332,9.201428,11.699023,187,185,352,10.9305943333333,1.09199924463109
"ACAD9",1039,4.97676,1126,5.78908,1091,5.49407,5.41997,"Acad9",23.593852,25.33424,24.45329,422,420,775,24.4604606666667,0.25215451063716
"ACADL",894,4.07549,1008,4.93223,2279,10.9226,6.64344,"Acadl",15.043563,14.532741,17.541756,319,331,586,15.70602,0.457526089397714
"ACADM",1245,3.43988,1406,4.16965,1536,4.46173,4.02375333333,"Acadm",37.483174,40.525589,45.059684,337,313,591,41.0228156666667,0.119548232397834
"ACADS",317,3.89038,354,4.66312,259,3.34173,3.96507666667,"Acads",3.093127,3.878782,3.943631,55,47,120,3.63851333333333,1.07040258588671
"ACADSB",866,3.0667,1330,5.05528,1095,4.07667,4.06621666667,"Acadsb",104.177341,128.461972,119.388577,629,684,1245,117.34263,0.0428097353140622
"ACADVL",7556,162.126,6596,151.908,4694,105.887,139.973666667,"Acadvl",18.306587,19.747246,15.996872,385,370,673,18.0169016666667,7.41307228369921
"ACAN",7,0.0170047,96,0.250313,28,0.0715101,0.1129426,"Acan",0.614366,0.464376,0.611317,65,34,81,0.563353,0.711894626485509
"ACAP1",124,1.44911,135,1.69337,286,3.51385,2.21877666667,"Acap1",0,0.108492,0.177938,0,2,7,0.0954766666666667,2.93824301750227
"ACAP2",1382,1.43455,1840,2.05005,1856,2.02545,1.83668333333,"Acap2",40.253599,39.743015,50.029419,1571,1340,3149,43.342011,0.0639728165087055
"ACAP3",1458,14.7916,1582,17.2268,1149,12.2551,14.7578333333,"Acap3",35.732662,34.21104,38.286445,1186,1304,2426,36.0767156666667,0.425006181102143
"ACAT1",1814,10.2528,2004,12.1575,1738,10.3275,10.9126,"Acat1",36.845443,39.308077,35.252442,744,836,1402,37.1353206666667,0.312377076991844
"ACAT2",4118,42.1497,3190,35.046,2391,25.7292,34.3083,"Acat3",1.550678,3.144767,2.78883,43,56,68,2.49475833333333,10.103216483734
"ACAT2",4118,42.1497,3190,35.046,2391,25.7292,34.3083,"Acat2",17.578099,21.025242,19.912122,358,390,757,19.5051543333333,1.72192315288272
"ACBD3",1022,4.24464,1115,4.97056,1412,6.16543,5.12687666667,"Acbd3",8.711635,8.351731,8.308599,404,380,741,8.45732166666667,0.647844800316439
"ACBD4",398,6.0033,374,6.05507,392,6.21629,6.09155333333,"Acbd4",41.732106,45.944524,42.770953,202,247,451,43.4825276666667,0.159423344520148
