"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"ABHD17C",22.112876,26.685209,23.848278,24.2154543333333,525,820,771,"Abhd17c",4.881013,3.750363,3.185882,225,242,149,3.939086,5.10528756400138
"ABHD18",4.011071,3.517854,4.147912,3.892279,213,284,273,"Abhd18",9.310011,9.508344,9.476552,916,811,624,9.43163566666667,0.468984841527089
"ABHD2",13.588883,13.921576,10.695473,12.7353106666667,1685,2486,2111,"Abhd2",1.304402,1.438202,1.694681,300,309,284,1.479095,5.54045353916113
"ABHD3",1.597983,1.039653,1.180823,1.27281966666667,33,27,32,"Abhd3",0.888587,0.607436,0.76617,29,24,18,0.754064333333333,1.29574475888665
"ABHD4",25.455379,4.883742,6.507743,12.282288,182,133,112,"Abhd4",7.115654,8.510248,7.961919,372,402,389,7.862607,1.49868859129148
"ABHD5",10.403327,7.362645,6.909279,8.22508366666667,314,407,402,"Abhd5",15.998376,19.309326,20.137932,581,531,496,18.481878,0.473521272778049
"ABHD6",11.668832,13.764524,17.829011,14.420789,180,342,395,"Abhd6",1.14656,1.497619,1.057626,62,71,46,1.233935,6.90297121447133
"ABHD8",9.661101,10.705984,15.55678,11.9746216666667,265,375,569,"Abhd8",1.768592,1.567081,2.48411,113,106,108,1.93992766666667,4.41324520115744
"ABI1",25.555257,19.141618,16.288946,20.328607,935,970,821,"Abi1",6.582961,5.608406,7.829215,235,207,167,6.67352733333333,2.77950492302931
"ABI2",43.432644,40.900572,32.384224,38.9058133333333,3163,4154,3817,"Abi2",3.10948,2.06312,2.241759,181,174,166,2.471453,11.4954208895622
"ABI3",0.107534,0.068506,0,0.05868,1,1,0,"Abi3",1.239273,1.75973,1.679233,55,64,50,1.559412,0.413641883370087
"ABI3BP",1.876574,1.343379,0.53984,1.25326433333333,21,26,23,"Abi3bp",0.63739,0.657506,0.804077,96,93,82,0.699657666666667,1.32571657076827
"ABITRAM",8.026917,12.043578,11.681156,10.5838836666667,142,241,232,"Abitram",0.446832,0.177343,0.347871,40,22,34,0.324015333333333,8.7490555245332
"ABL1",18.289946,25.341736,17.462119,20.3646003333333,1256,2037,1573,"Abl1",4.576983,4.469049,5.447473,515,535,499,4.83116833333333,3.66386273076779
"ABL2",4.651018,3.942953,3.604234,4.06606833333333,834,1003,998,"Abl2",1.102341,1.060429,1.307922,344,316,270,1.15689733333333,2.34877583417662
"ABLIM1",78.965193,95.017141,84.824801,86.269045,7302,12899,12481,"Ablim1",34.740714,33.153558,32.594338,6250,5160,4006,33.4962033333333,2.52981593819842
"ABLIM2",29.024891,22.325349,27.889239,26.4131596666667,811,842,921,"Ablim2",3.791717,5.042325,4.622022,160,167,153,4.48535466666667,4.99751817931676
"ABLIM3",59.162438,43.070208,35.850085,46.027577,2210,2652,2304,"Ablim3",4.102483,4.042407,4.089614,594,546,424,4.078168,9.26073674600762
"ABO",0.94183,1.656334,1.424069,1.34074433333333,43,107,83,"Abo",0,0,0,0,0,0,0,2.34074433333333
