"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"ERI1",2.214494,2.236674,2.735207,2.39545833333333,108,139,184,"Eri1",2.737823,4.560386,3.067525,95,366,226,3.45524466666667,0.762126120421071
"ERI2",3.98431,1.965971,7.560586,4.50362233333333,86,94,124,"Eri2",3.263165,2.579111,2.958656,52,179,125,2.933644,1.39911551053764
"ERI3",72.738065,67.466763,65.864386,68.689738,681,1021,1095,"Eri3",432.107954,456.295225,446.052156,341,1282,722,444.818445,0.156318651194434
"ERICH1",31.670673,38.058216,30.468152,33.3990136666667,352,527,476,"Erich1",2.476844,4.64642,3.187568,23,129,64,3.436944,7.75286180458141
"ERICH2",2.633613,2.190788,2.854668,2.55968966666667,16,18,25,"Erich2",0.950063,0.261082,4.023826,5,10,13,1.74499033333333,1.29679497353421
"ERICH3",0.823283,0.563361,0.495297,0.627313666666667,88,63,72,"Erich3",4.334028,4.831302,4.200454,170,815,428,4.45526133333333,0.298301688449511
"ERICH4",0,0,0,0,0,0,0,"Erich4",0.209591,0.164186,0.097078,1,3,1,0.156951666666667,0.864340342653323
"ERICH5",1.83651,2.643788,4.755143,3.07848033333333,37,69,92,"Erich5",0.065033,0.058674,0.276888,1,3,9,0.133531666666667,3.59802946249112
"ERICH6",0.032578,0,0,0.0108593333333333,1,0,0,"Erich6",0.997645,0.662211,0.602327,14,35,18,0.754061,0.576296567413182
"ERICH6B",1.150451,0.844868,0.791858,0.929059,7,7,7,"Erich6b",0,0,0,0,0,0,0,1.929059
"ERLEC1",23.01529,18.088187,20.340676,20.4813843333333,851,857,973,"Erlec1",35.944742,30.392683,31.007152,277,1085,642,32.4481923333333,0.642228558101351
"ERLIN1",2.756274,2.434819,2.981346,2.72414633333333,129,167,204,"Erlin1",55.03355,26.178149,27.804748,70,257,169,36.3388156666667,0.099739273108707
"ERLIN2",11.721605,9.045254,9.848785,10.2052146666667,442,531,559,"Erlin2",60.437167,52.063215,59.95483,436,1596,907,57.4850706666667,0.191591025520519
"ERMAP",1.704611,2.156923,1.824714,1.895416,67,136,119,"Ermap",0.053318,0.095727,0.180452,1,11,5,0.109832333333333,2.60887695648922
"ERMARD",4.437669,8.461907,5.580103,6.159893,79,118,99,"Gm3435",1.745919,1.687913,1.486137,15,42,33,1.63998966666667,2.71209129732705
"ERMARD",4.437669,8.461907,5.580103,6.159893,79,118,99,"Ermard",71.077447,65.329651,56.97164,107,508,285,64.4595793333333,0.109378842224763
"ERMN",0.243041,0,0.005827,0.082956,4,0,0,"Ermn",38.999806,37.161528,35.036483,959,3374,1805,37.065939,0.0284494755271898
"ERMP1",1.447967,1.127656,1.190595,1.255406,117,113,134,"Ermp1",23.910301,24.133379,24.559692,679,2476,1496,24.201124,0.089496246278539
"ERN1",2.275381,2.929902,1.674586,2.29328966666667,161,232,212,"Ern1",1.658951,1.571465,1.562171,80,288,162,1.597529,1.26785482151178
"ERN2",0.792497,1.444144,0.85089,1.029177,10,44,25,"Ern2",0.102584,0.106938,0.097062,2,8,4,0.102194666666667,1.84103322341123
"ERO1A",27.588245,25.981633,32.307259,28.6257123333333,1204,1386,1854,"Ero1a",30.166787,26.393327,20.274732,376,1306,756,25.6116153333333,1.11326245935265
"ERO1B",3.195598,1.848917,1.777066,2.27386033333333,145,155,188,"Ero1b",6.088359,5.974739,6.358361,149,567,336,6.14048633333333,0.458492626482631
"ERP27",0.090564,0,0,0.030188,2,0,0,"Erp27",0,0,0.082769,0,0,1,0.0275896666666667,1.00252857090492
"ERP29",116.489956,86.560259,76.175504,93.0752396666667,1494,1440,1586,"Erp29",67.73615,69.039904,70.32008,412,1505,875,69.0320446666667,1.34331705027947
"ERP44",6.930393,6.917248,6.351615,6.73308533333333,537,727,700,"Erp44",17.840214,21.975717,26.257405,240,764,459,22.0244453333333,0.335864131421132
"ERRFI1",23.304878,12.243607,11.990347,15.8462773333333,1011,712,777,"Errfi1",13.601982,12.639187,11.816043,274,949,488,12.6857373333333,1.23093677183926
"ESAM",0.455867,0.764875,0.20851,0.476417333333333,15,21,11,"Esam",22.954409,95.461466,70.633158,77,306,163,63.0163443333333,0.0230631309661424
"ESCO1",11.941709,10.441508,10.263955,10.8823906666667,253,354,336,"Esco1",5.739887,7.056451,9.901779,170,550,350,7.566039,1.3871511286216
"ESCO2",0.30844,0.314595,0.195997,0.273010666666667,7,4,5,"Esco2",0.250919,0.638542,0.840743,1,5,2,0.576734666666667,0.807371521397386
"ESD",56.172406,71.522275,56.976991,61.557224,894,1399,1179,"Esd",85.52089,78.059147,71.72945,259,1053,638,78.4364956666667,0.78751238300471
"ESF1",5.769352,5.722469,4.445685,5.312502,207,296,263,"Esf1",8.43475,8.743146,8.696607,188,621,387,8.62483433333333,0.655855652303349
"ESM1",0.161568,0.11947,0.191239,0.157425666666667,2,2,3,"Esm1",0,0.041611,0.109694,0,2,3,0.050435,1.10185367649275
"ESPL1",0.195081,0.017492,0.03229,0.081621,9,2,3,"Espl1",0.269239,0.932403,5.024384,6,38,29,2.075342,0.351707549924529
"ESPN",1.033706,0.729347,1.862013,1.20835533333333,4,11,24,"Espn",1.668333,2.002912,1.986884,19,91,46,1.886043,0.765184487318219
"ESPNL",0.057252,0.054617,0.046204,0.052691,3,5,5,"Espnl",0.104899,0.064443,0.113777,4,9,9,0.094373,0.961912437532724
"ESR1",0.366593,0.128459,0.257793,0.250948333333333,18,16,22,"Esr1",0.724682,0.912613,0.823767,24,101,53,0.820354,0.687200584794679
"ESR2",0.348026,0.131037,1.470633,0.649898666666667,24,8,21,"Esr2",0.050637,0.147603,0.120843,1,11,5,0.106361,1.49128418903655
"ESRP1",0.226253,0.640761,1.028855,0.631956333333333,6,24,45,"Esrp1",0,0.09592,0.056465,0,9,3,0.050795,1.55306823246526
"ESRP2",1.395522,0.068357,0.266088,0.576655666666667,11,5,5,"Esrp2",0,0.134453,0.06942,0,4,3,0.0679576666666667,1.47632786942554
"ESRRA",7.97356,9.215296,7.629902,8.27291933333333,125,229,232,"Esrra",25.501879,31.05618,32.23865,269,1212,634,29.598903,0.303047443672518
"ESRRB",0.838651,0.271693,0.69729,0.602544666666667,31,18,42,"Esrrb",2.187894,2.82912,3.036137,64,248,184,2.68438366666667,0.434955968664501
"ESRRG",2.541525,2.971371,2.065538,2.52614466666667,212,269,230,"Esrrg",19.733992,23.361,21.789694,647,2595,1502,21.6282286666667,0.155829460564935
"ESS2",5.65566,7.090381,5.619859,6.12196666666667,233,439,330,"Ess2",7.041931,8.017257,8.490044,107,475,273,7.849744,0.804765275319452
"ESX1",0,0,0,0,0,0,0,"Esx1",0,0,0,0,0,0,0,1
"ESYT2",10.8316,6.886005,6.924511,8.21403866666667,864,832,914,"Esyt2",16.786724,19.758566,20.80364,332,1303,755,19.11631,0.458038212110803
"ESYT3",2.892105,1.000914,1.92099,1.938003,76,67,114,"Esyt3",0.889678,0.32866,0.258949,8,38,14,0.492429,1.96860487165554
"ETAA1",2.370844,2.272665,1.627419,2.09030933333333,178,244,179,"Etaa1",4.269788,3.123386,3.574883,121,324,211,3.656019,0.663723522892268
"ETF1",40.411113,49.742751,37.056926,42.4035966666667,1367,2011,1894,"Etf1",20.731606,19.556543,22.197118,521,1836,1181,20.8284223333333,1.98839824536411
"ETFA",100.397089,127.586176,113.056484,113.679916333333,719,1182,1125,"Etfa",50.91312,47.53386,59.108922,252,851,532,52.518634,2.14280350154926
"ETFB",53.044803,63.514552,74.298746,63.619367,858,1236,1459,"Etfb",89.022829,99.207146,113.13331,131,548,351,100.454428333333,0.636929979908713
"ETFBKMT",0.804213,1.122587,1.139503,1.022101,61,74,71,"Etfbkmt",3.24309,2.893896,3.574146,14,64,37,3.237044,0.477243332851866
"ETFDH",16.944992,15.660224,16.475748,16.3603213333333,271,331,372,"Etfdh",13.524555,12.628516,14.409832,202,714,426,13.5209676666667,1.1955347420258
"ETFRF1",57.403342,53.157009,45.590131,52.0501606666667,312,392,369,"Etfrf1",18.827147,17.171377,18.915361,144,480,306,18.3046283333333,2.74805397703849
"ETHE1",7.812869,9.694424,11.068328,9.525207,79,137,155,"Ethe1",5.009489,6.112437,5.75631,45,205,109,5.62607866666667,1.58845186263006
"ETNK1",14.708297,11.727336,9.012759,11.8161306666667,1571,1694,1276,"Etnk1",63.757105,66.948853,64.743408,2811,10899,5982,65.1497886666667,0.193744090873034
"ETNK2",65.844521,75.84813,63.347602,68.346751,1031,1655,1664,"Etnk2",1.916809,2.100504,1.501289,16,74,29,1.839534,24.421877322124
"ETNPPL",0.137956,0.13293,0,0.0902953333333333,1,1,0,"Etnppl",26.01147,24.166602,27.448726,519,1664,985,25.8755993333333,0.0405682239793276
"ETS1",2.344426,2.1449,0.752481,1.747269,66,19,19,"Ets1",2.280982,3.458928,3.45623,63,302,199,3.06538,0.675771760573427
"ETS2",13.292397,11.519659,10.698914,11.83699,558,691,692,"Ets2",23.999653,22.029229,21.207841,354,1371,817,22.412241,0.548302488429023
"ETV1",1.81779,2.298416,4.843258,2.986488,105,188,378,"Etv1",70.761379,55.265974,64.492919,2134,7162,4913,63.5067573333333,0.0617995410837372
"ETV2",1.75354,1.126338,2.200223,1.693367,15,15,25,"Etv2",0,0,0,0,0,0,0,2.693367
"ETV3",3.125251,2.683116,2.085791,2.631386,255,305,259,"Etv3",6.411934,6.180941,6.343521,223,816,469,6.312132,0.496624787408105
"ETV3L",0,0.058751,0,0.0195836666666667,0,2,0,"Etv3l",0,0,0,0,0,0,0,1.01958366666667
"ETV4",6.934875,10.875512,11.895875,9.90208733333333,200,350,506,"Etv4",7.205326,7.192919,7.82855,42,213,126,7.40893166666667,1.2964889911699
"ETV5",24.889197,62.9094,43.994583,43.93106,316,485,406,"Etv5",25.378583,27.06847,31.432682,406,1359,883,27.9599116666667,1.55149161078818
"ETV6",5.591632,3.772896,2.585397,3.98330833333333,555,510,374,"Etv6",6.631086,4.371754,3.894819,105,429,271,4.96588633333333,0.835300583165653
"EVA1A",4.014527,0.26949,0.955412,1.74647633333333,64,3,14,"Eva1a",7.810581,7.022222,6.624643,87,258,139,7.152482,0.336888365203791
"EVA1B",0.532223,0,0,0.177407666666667,6,0,0,"Eva1b",0.914773,1.159801,1.632972,7,27,22,1.23584866666667,0.52660436469612
"EVA1C",4.47961,3.210094,6.664323,4.78467566666667,29,27,64,"Eva1c",2.348651,1.029078,1.710475,19,39,31,1.696068,2.14559709423748
"EVC",1.437505,1.023239,1.182256,1.21433333333333,107,81,95,"Evc",4.658527,4.77445,4.195642,43,200,95,4.542873,0.399491984271213
"EVC2",0.254916,0.20698,0.193515,0.218470333333333,18,20,20,"Evc2",1.719328,1.746772,1.03008,36,140,62,1.49872666666667,0.487636502858789
"EVI2A",0.036556,0.080851,0.025992,0.0477996666666667,1,3,1,"Evi2a",31.461582,31.50451,37.855622,199,869,459,33.607238,0.0302768937141608
"EVI2B",0,0,0,0,0,0,0,"Evi2b",0.519542,0.30664,0.24451,6,13,6,0.356897333333333,0.736975433169594
"EVI2B",0,0,0,0,0,0,0,"Evi2",0,0.085925,0,0,8,0,0.0286416666666667,0.972155836580604
"EVI5",5.473353,6.772967,7.193105,6.47980833333333,354,448,425,"Evi5",29.001027,24.565631,33.422272,457,1653,970,28.99631,0.249357615431142
"EVI5L",111.912406,86.543248,74.440511,90.9653883333333,1139,1630,1647,"Evi5l",31.55695,38.29871,35.099793,444,2041,1121,34.985151,2.55564825428503
"EVL",607.051088,776.680542,594.345874,659.359168,4361,6923,6497,"Evl",53.443984,58.053517,67.317586,348,1263,853,59.605029,10.896111740166
"EVPL",0.359693,0.124259,0,0.161317333333333,2,1,0,"Evpl",0.507235,0.827978,0.815758,23,141,78,0.716990333333333,0.676368009060816
"EVX1",0.148294,0.106372,0.064328,0.106331333333333,6,6,4,"Evx1",0.338942,0.536818,0.663352,6,35,19,0.513037333333333,0.731198965788903
"EVX2",0.033221,0.01205,0.042814,0.0293616666666667,2,1,4,"Evx2",0.873367,0.475894,0.33986,23,44,18,0.563040333333333,0.658563726549176
"EWSR1",94.251187,119.717211,80.876483,98.281627,2474,4108,3127,"Ewsr1",212.735415,252.157531,225.808585,749,3203,1895,230.233843666667,0.429355951644858
"EXD1",0.403627,0.718244,0.271737,0.464536,9,10,13,"Exd1",0.96453,0.503831,0.669608,21,55,33,0.712656333333333,0.855125439643563
"EXD2",14.989424,14.474458,10.863176,13.4423526666667,495,668,523,"Exd2",27.240367,26.220243,33.279131,249,1011,609,28.913247,0.482807923414889
"EXO1",0.643984,0.016232,0.227181,0.295799,7,1,5,"Exo1",0.578682,0.252724,0.319061,2,13,11,0.383489,0.936616771076604
"EXO5",4.938437,5.748833,3.75781,4.81502666666667,86,125,103,"Exo5",3.149954,2.538684,4.57055,32,89,78,3.41972933333333,1.31569746201653
"EXOC1",35.892049,40.883272,32.639468,36.4715963333333,1211,1680,1550,"Exoc1",34.908107,41.510267,38.214305,282,1112,602,38.210893,0.955642513250931
"EXOC1L",0.090124,0.198777,0.188468,0.159123,1,3,3,"Gm7271",0.237698,0.551517,0.486106,1,7,2,0.425107,0.813358575882372
"EXOC2",13.423974,14.406776,11.767943,13.1995643333333,903,1395,1221,"Exoc2",9.202812,10.829624,10.863229,246,1154,667,10.298555,1.25675932305798
"EXOC3",20.167149,19.360787,18.542992,19.356976,621,846,719,"Exoc3",48.030167,34.562474,33.867807,661,2415,1418,38.8201493333333,0.511222994911253
"EXOC3L1",1.387779,1.300186,1.591273,1.42641266666667,21,37,44,"Exoc3l",6.213437,5.441456,5.253984,36,169,82,5.63629233333333,0.365627754895467
"EXOC3L2",0.033015,0.076354,0.128461,0.0792766666666667,1,4,9,"Exoc3l2",0,0.111627,0.197938,0,8,9,0.103188333333333,0.97832494602765
"EXOC3L4",0.38141,0.136326,0.095931,0.204555666666667,2,1,1,"Exoc3l4",4.357643,3.582907,3.745845,17,109,44,3.895465,0.246055413871137
"EXOC4",67.687172,60.467262,47.876427,58.6769536666667,1275,1581,1351,"Exoc4",25.975599,23.009135,25.236997,476,1743,993,24.740577,2.31839999805236
"EXOC5",30.934267,29.812695,24.395805,28.3809223333333,1313,1665,1513,"Exoc5",27.320014,22.096552,19.59124,372,1369,810,23.002602,1.22407238737422
"EXOC6",33.900524,38.325227,26.967474,33.0644083333333,200,328,218,"Exoc6",6.401618,5.972562,5.816056,145,513,288,6.063412,4.82265629320976
"EXOC6B",17.311252,14.598836,15.307672,15.7392533333333,994,1372,1359,"Exoc6b",20.971384,18.646646,23.657647,619,2528,1489,21.0918923333333,0.757710253189869
"EXOC7",95.347154,115.8583,88.442445,99.882633,2634,4119,2898,"Exoc7",82.5854,62.536046,72.046107,340,1248,786,72.3891843333333,1.37462534726904
"EXOC8",4.701207,5.004949,3.945388,4.55051466666667,386,561,463,"Exoc8",5.333407,5.771417,6.234225,166,667,408,5.779683,0.818698258704229
"EXOG",33.433254,36.216071,32.431404,34.0269096666667,363,560,460,"Exog",5.235063,6.86305,5.008596,103,487,221,5.70223633333333,5.22615257424773
"EXOSC1",25.338536,20.022582,16.326311,20.5624763333333,161,218,173,"Exosc1",8.97216,7.70541,7.195962,57,176,97,7.957844,2.40710558626979
"EXOSC10",40.934912,54.434802,43.841937,46.4038836666667,753,1304,934,"Exosc10",11.391111,25.277096,24.644997,198,826,470,20.4377346666667,2.21123567409268
"EXOSC2",14.062223,18.318767,13.887711,15.4229003333333,238,489,394,"Exosc2",10.875964,8.487424,9.359737,64,289,164,9.574375,1.55308472919991
"EXOSC3",53.29488,56.919368,64.111318,58.108522,128,180,169,"Exosc3",20.220948,19.44174,21.691117,40,146,97,20.4512683333333,2.75547912046537
"EXOSC4",7.479222,7.838561,8.719774,8.012519,83,117,138,"Exosc4",9.102035,5.668873,6.222633,68,238,150,6.997847,1.12686814338909
"EXOSC5",14.619675,9.24619,13.175538,12.3471343333333,69,101,120,"Exosc5",7.082165,9.630334,7.220304,48,256,117,7.977601,1.48671502925262
"EXOSC6",7.094475,6.398055,5.651929,6.38148633333333,537,662,645,"Exosc6",0,0,0,0,0,0,0,7.38148633333333
"EXOSC7",23.556923,35.087286,30.351351,29.6651866666667,240,356,318,"Exosc7",13.774811,16.330636,18.326297,66,253,146,16.1439146666667,1.78869221312036
"EXOSC8",64.832827,34.511803,30.666636,43.3370886666667,143,130,144,"Exosc8",18.495568,22.267049,19.251777,63,244,128,20.004798,2.1108076672133
"EXOSC9",8.578536,13.774357,10.266352,10.8730816666667,151,263,221,"Exosc9",14.563595,18.222552,19.447195,104,474,266,17.411114,0.644886651979162
"EXPH5",0.029654,0.040951,0.020581,0.0303953333333333,5,9,5,"Exph5",12.233549,12.266969,15.774821,491,1809,1322,13.425113,0.0714306593877867
"EXT1",8.570187,6.225103,6.571599,7.12229633333333,345,396,330,"Ext1",8.231252,6.63248,6.107535,162,610,325,6.99042233333333,1.01650400873679
"EXT2",32.652663,23.632885,25.709206,27.3315846666667,1112,1338,1159,"Ext2",10.710301,16.228284,12.87872,158,767,443,13.272435,1.98505613559751
"EXTL1",1.635938,1.118063,1.286605,1.34686866666667,49,47,64,"Extl1",3.941092,8.512109,4.464227,111,510,262,5.63914266666667,0.353489717648283
"EXTL2",30.103129,29.720105,39.369947,33.0643936666667,1157,1757,2300,"Extl2",276.362388,121.496376,180.95388,819,2972,1763,192.937548,0.175646201666253
"EXTL3",40.403536,34.55427,28.696696,34.5515006666667,1428,1796,1662,"Extl3",21.014834,24.015551,28.10947,673,2861,1695,24.3799516666667,1.40077101539003
"EYA1",0.290633,0.334905,0.295004,0.306847333333333,9,14,14,"Eya1",0.959991,1.665835,2.167331,23,126,74,1.597719,0.503074941259364
"EYA2",0.263649,0.137422,0.230353,0.210474666666667,7,7,8,"Eya2",14.249969,7.936785,6.056714,38,109,59,9.41448933333333,0.116229862830848
"EYA3",6.200115,3.669355,3.834657,4.56804233333333,430,465,431,"Eya3",11.214785,9.629007,9.036683,173,737,438,9.96015833333333,0.50802572043135
"EYA4",0.12431,0,0,0.0414366666666667,4,0,0,"Eya4",0.541211,0.712187,0.886029,14,73,52,0.713142333333333,0.60791018142684
"EZH1",21.402758,22.378693,18.974853,20.918768,702,956,1006,"Ezh1",18.718296,22.108832,21.898619,420,1676,993,20.9085823333333,1.00046491673955
"EZH2",1.718912,3.5713,1.986266,2.42549266666667,77,124,102,"Ezh2",6.040312,6.348062,7.165466,36,125,73,6.51794666666667,0.455642054745445
"EZR",31.31323,22.845059,30.794065,28.3174513333333,1450,1481,2088,"Ezr",13.028,10.2817,13.45893,141,584,378,12.25621,2.21160130484756
"F10",1.437392,1.724112,2.22029,1.79393133333333,29,44,64,"F10",0.061747,0.035804,0.057132,1,2,2,0.051561,2.65693700444704
"F11",0.041878,0.093631,0.044373,0.0599606666666667,2,1,1,"F11",0,0,0,0,0,0,0,1.05996066666667
"F11R",9.745366,4.394539,4.098913,6.079606,337,266,296,"F11r",4.544523,6.780288,5.695928,36,213,119,5.67357966666667,1.06084086106911
"F12",8.429388,10.928928,15.712527,11.690281,104,188,286,"F12",0,0.062962,0.281694,0,3,2,0.114885333333333,11.382588523304
"F13A1",0.113789,0.059918,0.078699,0.0841353333333333,7,5,7,"F13a1",0.442477,0.635977,0.450242,11,61,24,0.509565333333333,0.718177152981786
"F13B",0,0,0,0,0,0,0,"F13b",0,0,0,0,0,0,0,1
"F2",0.032807,0.140507,0,0.0577713333333333,1,2,0,"F2",0,0.042211,0,0,2,0,0.0140703333333333,1.04309464399412
"F2R",18.321516,13.22321,10.981276,14.175334,1064,1043,913,"F2r",3.448354,2.909022,2.967248,75,237,137,3.108208,3.69390595607623
"F2RL1",7.169578,2.936406,3.663598,4.58986066666667,173,119,170,"F2rl1",0,0.058999,0.052078,0,4,2,0.0370256666666667,5.39028188630497
"F2RL2",0.879565,0.38005,0.464772,0.574795666666667,40,16,36,"F2rl2",0.987705,0.832402,0.806722,16,51,28,0.875609666666667,0.839618015759853
"F2RL3",0.209675,0.129056,0.119935,0.152888666666667,11,9,9,"F2rl3",0.261993,0.317634,0.050073,2,12,1,0.2099,0.952879301319668
"F3",1.343859,0.574921,0.421392,0.780057333333333,23,12,11,"F3",29.360664,28.295455,24.634475,286,976,509,27.430198,0.0626114996924514
"F5",0.666547,0.4923,0.991117,0.716654666666667,31,41,53,"F5",1.420867,2.255966,2.412976,73,437,265,2.02993633333333,0.566564599982244
"F7",0.796421,0.710544,1.063295,0.856753333333333,18,26,39,"F7",0,0,0.079784,0,0,2,0.0265946666666667,1.80865281461297
"F8",1.331531,1.170123,1.176746,1.22613333333333,44,61,74,"F8",1.242913,0.66101,0.563762,25,100,60,0.822561666666667,1.22143100782141
"F8A1",9.025358,7.428736,6.618178,7.69075733333333,158,183,216,"F8a",5.017917,3.634724,4.266607,81,206,138,4.306416,1.63778289024708
"F8A2",0,0,0,0,0,0,0,"F8a",5.017917,3.634724,4.266607,81,206,138,4.306416,0.188451112766131
"F8A3",0.917079,1.044098,1.858446,1.27320766666667,16,26,60,"F8a",5.017917,3.634724,4.266607,81,206,138,4.306416,0.428388514331833
"F9",0,0,0,0,0,0,0,"F9",0.055251,0.029881,0,1,2,0,0.0283773333333333,0.972405718782859
"FA2H",0.232085,0.034213,0,0.088766,1,1,0,"Fa2h",26.007116,32.839308,29.494185,333,1608,824,29.4468696666667,0.0357595382356165
"FAAH",25.019926,30.331235,22.418852,25.9233376666667,348,619,489,"Faah",15.009797,12.074445,10.05548,185,801,431,12.3799073333333,2.01222153456867
"FAAP100",15.314142,15.241001,11.120692,13.891945,530,797,779,"Faap100",5.662129,6.587376,9.18529,80,302,224,7.14493166666667,1.82836954433217
"FAAP20",29.586537,27.893331,28.026317,28.5020616666667,413,574,653,"Faap20",25.973036,29.700417,34.547523,125,532,329,30.0736586666667,0.949423496703145
"FAAP24",0.841888,1.663057,1.038687,1.18121066666667,19,34,39,"Faap24",2.397262,1.885303,2.34156,15,83,41,2.20804166666667,0.679919681009962
"FABP1",0,0,0,0,0,0,0,"Fabp1",0,0,0,0,0,0,0,1
"FABP12",0,0,0,0,0,0,0,"Fabp12",0,0,0,0,0,0,0,1
"FABP2",0.180246,0.060848,0.042567,0.0945536666666667,6,3,2,"Fabp2",0,0,0,0,0,0,0,1.09455366666667
"FABP3",95.988373,30.715168,47.56603,58.089857,605,269,428,"Fabp3",28.627797,34.184165,41.046818,118,539,366,34.6195933333333,1.6589144195732
"FABP4",0,0,0,0,0,0,0,"Fabp4",0.035065,0.146549,0.258949,1,2,2,0.146854333333333,0.871950317433513
"FABP5",27.455574,36.37934,26.286977,30.0406303333333,205,363,280,"Fabp5",59.44898,72.254643,78.617259,325,1478,911,70.1069606666667,0.436534342662244
"FABP6",19.760153,26.665117,26.104885,24.1767183333333,107,177,183,"Fabp6",0,0,0,0,0,0,0,25.1767183333333
"FABP7",8.522882,1.564874,3.876429,4.65472833333333,79,22,52,"Fabp7",17.111222,23.822435,25.544374,68,355,216,22.1593436666667,0.244166173908987
"FABP9",0,0,0,0,0,0,0,"Fabp9",0,0,0,0,0,0,0,1
"FADD",5.611175,7.409238,6.926768,6.64906033333333,141,256,258,"Fadd",0.574169,0.686808,0.803162,15,69,46,0.688046333333333,4.53130946840124
"FADS1",69.902085,49.66809,40.594355,53.3881766666667,2385,2407,2404,"Fads1",62.892425,74.617007,87.096505,1269,4770,2839,74.8686456666667,0.716872908284462
"FADS2",151.358784,130.965949,97.892785,126.739172666667,3963,4641,4049,"Fads2",50.355348,79.216961,71.552372,764,3206,1874,67.0415603333333,1.87736983162756
"FADS3",62.226187,67.478156,68.415101,66.0398146666667,630,982,1006,"Fads3",15.717348,22.443938,17.598919,103,532,279,18.586735,3.42271515220207
"FADS6",3.518737,4.523269,3.925366,3.989124,84,149,162,"Fads6",18.245436,16.19927,17.516196,613,2080,1268,17.3203006666667,0.272327626646302
"FAF1",34.86329,37.931506,32.824609,35.2064683333333,690,1078,946,"Faf1",9.352067,13.16389,11.947717,272,960,541,11.4878913333333,2.89932602445772
"FAF2",15.30391,16.756995,11.649971,14.570292,1003,1440,1171,"Faf2",28.919781,21.704774,26.925891,371,1224,739,25.8501486666667,0.579895932543936
"FAH",19.378961,10.511208,15.895879,15.262016,112,146,152,"Fah",9.33208,13.539346,10.679803,90,462,223,11.183743,1.33473071452673
"FAHD1",13.686303,14.281009,12.195853,13.3877216666667,387,538,468,"Fahd1",9.333835,8.712754,8.487607,84,293,161,8.844732,1.46146402631038
"FAHD2A",10.633727,10.720282,8.695564,10.0165243333333,219,310,273,"Fahd2a",24.4373,34.951987,30.916348,53,285,152,30.1018783333333,0.354207685312897
"FAIM",12.875171,14.726059,12.345618,13.315616,174,260,191,"Faiml",0,0,0,0,0,0,0,14.315616
"FAIM",12.875171,14.726059,12.345618,13.315616,174,260,191,"Faim",31.043788,24.252166,28.817998,123,336,220,28.037984,0.492996208001217
"FAIM2",124.743909,86.833168,101.353819,104.310298666667,2407,3122,3346,"Faim2",184.176702,211.327817,215.723972,2518,11659,6536,203.742830333333,0.514354023997887
"FAM102A",12.856573,10.807339,12.78533,12.1497473333333,261,337,352,"Fam102a",15.540056,16.037638,17.104641,371,1448,984,16.227445,0.763302238569523
"FAM102B",10.974972,9.206575,11.367362,10.516303,957,1098,1411,"Fam102b",6.954345,6.312545,7.250689,259,878,572,6.839193,1.46906741548524
"FAM104A",3.035579,3.823456,1.899847,2.91962733333333,119,172,105,"Fam104a",11.380881,10.210791,11.248351,193,648,404,10.9466743333333,0.328093595252436
"FAM107A",0.382746,0.046266,0.058335,0.162449,12,3,4,"Fam107a",163.969991,124.494707,148.088542,2634,7355,4960,145.517746666667,0.00793384437343699
"FAM107B",19.278364,24.943851,23.087106,22.4364403333333,583,1256,943,"Fam107b",364.287379,166.913331,239.39326,676,1895,1294,256.864656666667,0.09088659390662
"FAM110A",4.806613,5.051347,6.355884,5.40461466666667,104,156,225,"Fam110a",2.267419,2.444772,2.165227,24,94,50,2.29247266666667,1.94522941116798
"FAM110B",28.706127,34.181391,15.602549,26.1633556666667,501,656,505,"Fam110b",12.22547,9.167007,13.114139,117,504,305,11.5022053333333,2.17268513373747
"FAM110C",0.827651,0.23317,0.904441,0.655087333333333,29,18,39,"Fam110c",0.098452,0.053027,0.20994,2,4,9,0.120473,1.47713272281736
"FAM110D",0.469283,0.313634,0.149035,0.310650666666667,19,17,9,"Grrp1",1.822086,1.809725,1.027726,9,39,14,1.553179,0.513340688869314
"FAM111A",0.3135,0.140966,0.229749,0.228071666666667,21,9,3,"Fam111a",0.502026,0.429682,1.335058,11,35,20,0.755588666666667,0.699521300167883
"FAM114A1",7.377073,1.182197,1.496806,3.35202533333333,201,29,73,"Fam114a1",0.93787,1.451662,1.764488,18,105,66,1.38467333333333,1.82499853229373
"FAM114A2",10.491085,11.771188,11.146665,11.1363126666667,180,302,253,"Fam114a2",13.835087,11.920666,14.940223,188,691,458,13.5653253333333,0.833233202068767
"FAM117A",1.027214,1.56871,0.981154,1.19235933333333,23,46,37,"Fam117a",7.617925,4.276476,8.157986,67,210,148,6.684129,0.285310063552204
"FAM117B",7.538481,6.742574,6.221968,6.834341,679,849,836,"Fam117b",14.962749,15.029978,15.573934,537,1787,1064,15.188887,0.483933268544033
"FAM118A",17.486103,15.954961,14.476579,15.9725476666667,265,374,363,"Fam118a",11.318273,8.594091,11.684468,82,352,214,10.5322773333333,1.47174293299456
