"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"CHTF8",17.785725,20.402684,14.492831,17.5604133333333,122,365,200,"Chtf8",10.386879,21.503785,14.754605,263,524,697,15.548423,1.12158199807518
"CHTOP",47.272395,43.624248,42.077036,44.3245596666667,1307,1750,1815,"Chtop",45.606531,46.075884,42.881198,1508,1473,2567,44.8545376666667,0.988442190741239
"CHUK",13.437456,13.991517,11.022084,12.817019,348,438,423,"Chuk",28.318918,24.110052,30.073949,496,396,1018,27.500973,0.484791133271134
"CHURC1",69.836772,66.391276,52.64885,62.958966,1196,1567,1467,"Churc1",32.55452,37.877359,41.26424,179,194,372,37.2320396666667,1.67291534947229
"CIAO1",23.974551,25.50541,22.381634,23.953865,1395,2059,1826,"Ciao1",43.945221,39.545074,38.915178,488,515,935,40.8018243333333,0.596956362502616
"CIAO2A",21.701802,20.581322,16.707694,19.663606,149,195,176,"Ciao2a",9.719145,12.229143,10.744448,143,176,301,10.8975786666667,1.73679086971646
"CIAO2B",71.125512,72.896651,73.594842,72.5390016666667,386,530,567,"Ciao2b",11.82476,13.738628,13.508124,84,94,184,13.0238373333333,5.24385729231695
"CIAO3",22.041297,20.388497,17.334816,19.9215366666667,384,569,483,"Ciao3",21.045364,12.476098,13.210597,208,203,406,15.577353,1.2620553273292
"CIAPIN1",114.036635,124.387793,110.434578,116.286335333333,909,1351,1325,"Ciapin1",28.500251,32.354163,36.122899,503,489,909,32.325771,3.51938850366983
"CIART",1.611103,2.798908,2.787908,2.39930633333333,28,46,76,"Ciart",17.745215,24.192154,30.143879,157,180,420,24.0270826666667,0.13582511308283
"CIB1",10.02564,5.194028,7.823813,7.68116033333333,133,91,150,"Cib1",13.342911,12.653602,11.895106,58,73,130,12.6305396666667,0.636890434687851
"CIB2",56.496731,69.548699,65.798699,63.948043,577,916,921,"Cib2",6.726884,10.124224,8.13977,118,175,275,8.33029266666667,6.96098668287576
"CIB3",0,0,0,0,0,0,0,"Cib3",0.198436,0.203363,0,1,2,0,0.133933,0.881886319562091
"CIB4",0.774703,0.25225,0.355333,0.460762,7,3,3,"Cib4",0,0,0,0,0,0,0,1.460762
"CIBAR1",56.955334,54.009478,51.699886,54.221566,616,784,732,"Cibar1",53.067862,59.342463,52.089053,422,415,863,54.833126,0.989046645892619
"CIBAR2",0.322985,0.078954,0,0.133979666666667,6,3,0,"Cibar2",0.965231,0.732665,0.224795,6,5,6,0.640897,0.691073033021979
"CIC",42.496179,39.427796,40.962159,40.9620446666667,2446,3526,3303,"Cic",66.905585,86.593007,114.842389,1595,1729,3376,89.4469936666667,0.463940734407531
"CIDEA",0,0,0.061815,0.020605,0,0,1,"Cidea",0.853464,0.867464,0.728301,11,11,18,0.816409666666667,0.561880405466535
"CIDEB",0.042394,0.170177,0.029288,0.0806196666666667,1,3,1,"Cideb",1.563902,1.669271,1.694994,22,24,47,1.64272233333333,0.408903974903657
"CIDEC",0,0,0.050205,0.016735,0,0,1,"Cidec",0,0,0,0,0,0,0,1.016735
"CIITA",0.778598,0.273476,0.727457,0.593177,52,65,61,"Ciita",0.297003,0.288654,0.469808,11,13,38,0.351821666666667,1.17854080851394
"CILK1",2.016954,2.652746,1.928874,2.19952466666667,201,361,273,"Cilk1",5.578177,5.026215,4.022857,319,298,504,4.87574966666667,0.544530459630995
"CILP",0.095147,0.093098,0.044013,0.0774193333333333,9,12,6,"Cilp",0.069089,0.12309,0.07226,4,7,8,0.0881463333333333,0.990141950883444
"CILP2",2.508406,2.100631,3.008559,2.53919866666667,120,185,306,"Cilp2",0.157202,0.094895,0.180884,7,5,20,0.144327,3.09282107882333
"CINP",21.533758,16.886442,18.57543,18.9985433333333,381,528,491,"Cinp",40.585161,33.619015,31.130885,421,374,756,35.111687,0.55379698360072
"CIP2A",0.323752,0.289403,0.319247,0.310800666666667,15,19,20,"Cip2a",2.563006,1.351133,1.339811,44,40,94,1.75131666666667,0.476426680559005
"CIPC",8.517042,7.486012,6.325862,7.442972,485,603,577,"Cipc",28.809613,29.029559,28.477316,1146,1155,2187,28.7721626666667,0.283586116820894
"CIR1",11.615306,11.050697,10.726704,11.1309023333333,273,379,396,"Cir1",9.062455,9.499177,8.119677,303,312,524,8.89376966666667,1.22611529700392
"CIRBP",337.35498,391.018739,317.623291,348.66567,3113,4690,4256,"Cirbp",38.673912,60.459133,51.304051,351,542,867,50.1456986666667,6.83665839191847
"CISD1",62.422883,62.417799,61.489088,62.1099233333333,619,827,831,"Cisd1",35.215887,43.05267,40.305021,421,515,950,39.524526,1.55732662569164
"CISD2",40.503531,32.962005,32.540559,35.335365,804,960,826,"Cisd2",13.708716,11.991536,12.618392,542,471,906,12.7728813333333,2.63818180964506
"CISD3",3.799843,4.505179,3.46977,3.92493066666667,40,71,63,"Cisd3",38.86921,23.822177,31.863215,100,121,257,31.5182006666667,0.15145151225157
"CISH",1.363293,0.732659,1.001364,1.03243866666667,51,32,51,"Cish",3.694407,6.633557,6.730614,54,77,114,5.68619266666667,0.303975486198473
"CIT",9.356663,12.981144,7.634419,9.990742,402,551,590,"Cit",28.909271,26.981202,31.336435,1415,1528,2921,29.075636,0.365436727589069
"CITED1",104.950587,231.382662,322.027463,219.453570666667,585,1851,2638,"Cited1",1.160438,4.724431,4.232033,11,11,22,3.37230066666667,50.4204965471268
"CITED2",10.152506,14.565759,17.039161,13.919142,205,401,485,"Cited2",6.337205,10.162985,9.380956,149,249,425,8.62704866666667,1.54971087366132
"CITED4",7.111172,4.50543,7.06347,6.22669066666667,69,64,157,"Cited4",1.969384,4.327425,4.547808,18,48,109,3.61487233333333,1.56595679028174
"CIZ1",104.303038,118.256964,101.034656,107.864886,1275,2092,1783,"Ciz1",30.190022,25.509015,30.954939,413,368,800,28.8846586666667,3.64283518223442
"CKAP2",6.511409,6.469042,4.902707,5.96105266666667,300,335,339,"Ckap2",0.981276,0.276744,0.518433,15,8,18,0.592151,4.37210582832072
"CKAP2L",0.576508,0.048015,0.132572,0.252365,14,5,7,"Ckap2l",0.256995,0.238148,0.171259,11,10,14,0.222134,1.02473624005224
"CKAP4",28.409013,26.596222,18.019983,24.3417393333333,1264,1653,1259,"Ckap4",6.272977,5.246803,4.184958,229,192,311,5.23491266666667,4.06448986347737
"CKAP5",129.520897,122.965511,120.307521,124.264643,3439,4371,4255,"Ckap5",33.194707,33.319656,31.506881,2252,2359,4054,32.673748,3.71994952863578
"CKB",1016.062383,1141.711591,1097.825976,1085.19998333333,2075,3489,3732,"Ckb",507.612521,561.751409,486.549513,8965,10050,17030,518.637814333333,2.09030203994463
"CKLF",18.002238,16.485952,20.084567,18.190919,51,66,92,"Cklf",3.315835,5.027076,2.513174,30,32,60,3.618695,4.15505223878173
"CKM",0.086783,0.126765,0.090265,0.101271,2,4,3,"Ckm",0.087185,0.162076,0.142329,1,1,6,0.13053,0.974119218419679
"CKMT1A",146.541516,110.898761,121.887948,126.442741666667,1577,1570,2102,"Ckmt1",118.187118,141.372734,124.426388,1510,1491,2597,127.995413333333,0.987963357560207
"CKMT1B",98.117199,93.76071,94.904422,95.5941103333333,2000,2110,2811,"Ckmt1",118.187118,141.372734,124.426388,1510,1491,2597,127.995413333333,0.748818177617892
"CKMT2",0.739928,1.041364,0.459075,0.746789,9,15,8,"Ckmt2",0.053965,0.055217,0.056705,1,1,2,0.0552956666666667,1.65526027934667
"CKS1B",5.01961,4.292721,4.229646,4.51399233333333,40,40,50,"Cks1b",1.113982,1.868198,1.593882,10,14,18,1.525354,2.18345322411564
"CKS1B",5.01961,4.292721,4.229646,4.51399233333333,40,40,50,"Cks1brt",0,0,0.017832,0,0,1,0.005944,5.48141082737541
"CKS2",8.757775,9.588123,12.218364,10.1880873333333,55,82,110,"Cks2",1.246027,0.961098,0.987522,8,6,12,1.06488233333333,5.41826870845102
"CLASP1",33.189206,29.460648,20.643293,27.7643823333333,3176,4203,3721,"Clasp1",25.231372,27.854519,22.418449,1213,1373,2457,25.1681133333333,1.09921498607593
"CLASP2",171.303227,156.117036,165.950769,164.457010666667,6154,8023,7867,"Clasp2",44.951656,49.02431,45.792963,3280,3412,6244,46.589643,3.4767441030534
"CLASRP",53.508458,53.294433,57.39503,54.7326403333333,349,481,473,"Clasrp",22.457162,19.103014,24.480384,399,329,888,22.01352,2.42173471652026
"CLBA1",10.939231,13.007597,8.594585,10.8471376666667,178,273,230,"Clba1",4.207617,4.707525,3.763975,86,111,169,4.22637233333333,2.26679939948149
"CLCA1",0,0,0,0,0,0,0,"Clca1",0.0196,0,0,1,0,0,0.00653333333333333,0.993509074049543
"CLCA2",0,0.011709,0.01112,0.00760966666666667,0,1,1,"Clca2",0.026391,0,0,1,0,0,0.008797,0.998823020554846
"CLCA4",0,0,0,0,0,0,0,"Clca4a",0,0,0.038741,0,0,3,0.0129136666666667,0.987250970056349
"CLCA4",0,0,0,0,0,0,0,"Clca4b",0,0,0,0,0,0,0,1
"CLCC1",15.769212,16.331964,11.453661,14.518279,578,658,598,"Clcc1",22.016283,17.182808,18.979043,222,222,393,19.3927113333333,0.760971836767692
"CLCF1",1.476365,0.58304,0.617921,0.892442,33,17,20,"Clcf1",0.6334,0.461685,0.460212,19,14,28,0.518432333333333,1.24631302854677
"CLCN1",0.155961,0.128498,0.363467,0.215975333333333,8,9,27,"Clcn1",2.399698,3.391886,1.869468,33,35,73,2.553684,0.342173173904414
"CLCN2",19.53906,20.018567,17.026622,18.8614163333333,317,499,453,"Clcn2",19.942336,20.450313,18.550571,501,476,992,19.64774,0.961917204175049
"CLCN3",55.912782,43.875054,48.059164,49.2823333333333,3672,4081,4151,"Clcn3",41.328038,39.355649,34.402612,2543,2660,4489,38.3620996666667,1.27743016147877
"CLCN4",32.500219,26.805312,24.969748,28.0917596666667,2801,3327,3117,"Clcn4",38.321418,44.443666,38.215539,2388,2646,4295,40.3268743333333,0.703942897592957
"CLCN5",4.714178,4.460922,4.043081,4.40606033333333,743,985,946,"Clcn5",1.666904,2.795444,1.614983,167,192,299,2.025777,1.78666846014539
"CLCN6",26.532813,18.599293,15.941643,20.3579163333333,1996,2131,1899,"Clcn6",16.498923,16.733769,14.901327,1084,1116,1955,16.044673,1.25305521163905
"CLCN7",26.037189,28.372867,25.459043,26.623033,883,984,1007,"Clcn7",15.981392,12.615886,13.104368,522,541,960,13.9005486666667,1.85382656826552
"CLCNKA",0.503218,0.451355,0.320262,0.424945,21,16,12,"Clcnkb",0,0,0,0,0,0,0,1.424945
"CLCNKA",0.503218,0.451355,0.320262,0.424945,21,16,12,"Clcnka",0.1673,0,0.174067,2,0,2,0.113789,1.27936709735866
"CLCNKB",0.682971,0.57915,0.551276,0.604465666666667,12,13,14,"Clcnka",0.1673,0,0.174067,2,0,2,0.113789,1.44054723710386
"CLCNKB",0.682971,0.57915,0.551276,0.604465666666667,12,13,14,"Clcnkb",0,0,0,0,0,0,0,1.60446566666667
"CLDN1",8.501469,3.542381,4.805892,5.61658066666667,460,261,332,"Cldn1",0.156551,0.507631,0.431705,7,22,37,0.365295666666667,4.84626211611795
"CLDN10",0.213502,0.136656,0.07893,0.143029333333333,8,7,4,"Cldn10",13.188224,12.078556,12.846519,247,225,432,12.704433,0.0834058098816152
"CLDN11",1.250916,1.183183,0.810537,1.08154533333333,33,44,32,"Cldn11",60.754072,53.022747,50.434665,1457,1254,2326,54.7371613333333,0.0373457363729874
"CLDN12",19.645737,14.797055,13.399404,15.9473986666667,719,803,792,"Cldn12",11.490709,13.865911,18.929399,539,563,1061,14.7620063333333,1.07520567548729
"CLDN14",0,0.170177,0.072857,0.0810113333333333,0,3,2,"Cldn14",0.174494,0.283583,1.11781,3,5,6,0.525295666666667,0.708722483750145
"CLDN15",3.226304,4.445033,2.936873,3.53607,68,125,95,"Cldn15",0.041839,0,0.189356,1,0,3,0.077065,4.21150998314865
"CLDN16",0.179779,0.085451,0.139757,0.134995666666667,7,5,2,"Cldn16",0.095993,0,0,1,0,0,0.0319976666666667,1.09980448922204
"CLDN17",0,0,0,0,0,0,0,"Cldn17",0,0,0,0,0,0,0,1
"CLDN18",0.169002,0.124115,0.1218,0.138305666666667,9,9,9,"Cldn18",0,0,0,0,0,0,0,1.13830566666667
"CLDN19",0,0.016244,0.015207,0.0104836666666667,0,1,1,"Cldn19",0.102158,0.069609,0.07153,6,4,8,0.081099,0.934681899314185
"CLDN2",0.470596,0.046594,0.048718,0.188636,22,3,2,"Cldn2",0.023949,0.024477,0.050257,1,1,4,0.0328943333333333,1.15078179988079
"CLDN23",0.104591,0.223654,0.185955,0.1714,3,9,9,"Cldn23",0.223335,0.042737,0.129637,5,1,6,0.131903,1.03489433281827
"CLDN3",0.954878,0.494,0.856816,0.768564666666667,15,11,23,"Cldn3",0,0.203333,0.102014,0,3,3,0.101782333333333,1.6051851742041
"CLDN34",0,0,0,0,0,0,0,"Cldn34c1",2.634407,2.289999,2.299823,66,64,108,2.40807633333333,0.293420657929317
"CLDN34",0,0,0,0,0,0,0,"Gm2411",0,0,0,0,0,0,0,1
"CLDN34",0,0,0,0,0,0,0,"Cldn34b2",0,0,0,0,0,0,0,1
"CLDN34",0,0,0,0,0,0,0,"Cldn34b3",0,0,0,0,0,0,0,1
"CLDN34",0,0,0,0,0,0,0,"Cldn34b1",0,0,0,0,0,0,0,1
"CLDN34",0,0,0,0,0,0,0,"Cldn34b4",0,0,0,0,0,0,0,1
"CLDN34",0,0,0,0,0,0,0,"Cldn34d",0,0,0.047008,0,0,1,0.0156693333333333,0.984572406767557
"CLDN34",0,0,0,0,0,0,0,"Cldn34a",0,0,0,0,0,0,0,1
"CLDN34",0,0,0,0,0,0,0,"Cldn34c4",0,0,0.062596,0,0,1,0.0208653333333333,0.97956113049191
"CLDN34",0,0,0,0,0,0,0,"Cldn34c2",0,0,0,0,0,0,0,1
"CLDN4",0.760918,0.798528,0.648077,0.735841,29,26,35,"Cldn13",0,0,0,0,0,0,0,1.735841
"CLDN5",0.283565,0.120565,0.377847,0.260659,5,3,11,"Cldn5",11.260242,12.611393,10.444352,182,214,351,11.4386623333333,0.101350046027189
"CLDN6",55.360028,30.095456,45.506455,43.6539796666667,785,630,906,"Cldn6",0.082003,0,0.029708,1,0,1,0.037237,43.0508935437771
"CLDN7",1.465745,0.35583,0.524126,0.781900333333333,8,4,10,"Cldn7",0,0,0.282786,0,0,1,0.094262,1.62840373999402
"CLDN8",0,0,0,0,0,0,0,"Cldn8",0,0,0.069564,0,0,4,0.023188,0.977337498094192
"CLDN9",0.220592,0.095133,0.234013,0.183246,5,3,8,"Cldn9",0,0.057231,0.117456,0,1,4,0.058229,1.11813794556755
"CLDND1",99.970797,91.890489,101.864995,97.9087603333333,1361,1775,1896,"Cldnd1",40.878022,38.537312,39.529066,599,626,1089,39.6481333333333,2.43329157386481
"CLDND2",1.269295,2.50523,1.92921,1.901245,7,13,10,"Cldnd2",0,0,0.10492,0,0,1,0.0349733333333333,2.80320749004805
"CLEC10A",0,0,0,0,0,0,0,"Clec10a",1.531823,2.452852,0.415167,7,5,11,1.466614,0.405414061543476
"CLEC10A",0,0,0,0,0,0,0,"Mgl2",0.478405,0.200518,0.573558,9,3,16,0.417493666666667,0.705470524148138
"CLEC11A",2.790143,2.964964,4.757866,3.50432433333333,44,64,129,"Clec11a",0.791093,0.65786,0.989943,31,26,77,0.812965333333333,2.48450659839791
"CLEC12A",0,0,0,0,0,0,0,"Clec12a",0.756638,0.434819,0.734788,12,14,38,0.642081666666667,0.608983109853448
"CLEC12B",0,0,0,0,0,0,0,"Clec12b",0,0,0,0,0,0,0,1
"CLEC14A",0.098561,0.071251,0,0.056604,3,3,0,"Clec14a",0.642909,0.501644,0.672859,41,31,81,0.605804,0.657990638957183
"CLEC16A",16.213758,13.33266,10.966883,13.5044336666667,812,1181,945,"Clec16a",22.531821,20.715779,23.991092,937,964,1890,22.4128973333333,0.619506140575625
"CLEC18A",0.960152,0.602784,0.334154,0.632363333333333,49,45,26,"Clec18a",1.78459,0.837369,1.358589,45,20,67,1.32684933333333,0.70153374778026
"CLEC18B",5.855228,2.875785,6.066752,4.93258833333333,100,59,119,"Clec18a",1.78459,0.837369,1.358589,45,20,67,1.32684933333333,2.54962289493604
"CLEC18C",0.849089,0.39215,0.549268,0.596835666666667,38,29,47,"Clec18a",1.78459,0.837369,1.358589,45,20,67,1.32684933333333,0.686265175742649
"CLEC1A",0,0.133909,0,0.0446363333333333,0,1,0,"Clec1a",0.530693,0.343327,0.28544,13,8,19,0.386486666666667,0.753441312093397
"CLEC1B",0,0,0,0,0,0,0,"Clec1b",0,0,0.017463,0,0,2,0.005821,0.994212687943481
"CLEC2D",6.249875,5.064785,2.855449,4.72336966666667,140,200,186,"Clec2e",0.036618,0,0,1,0,0,0.012206,5.65435263836281
"CLEC2D",6.249875,5.064785,2.855449,4.72336966666667,140,200,186,"Clec2i",0.099431,0.101215,0.05203,1,1,2,0.0842253333333333,5.27876400846564
"CLEC2D",6.249875,5.064785,2.855449,4.72336966666667,140,200,186,"Clec2g",0,0.144134,0.016523,0,1,1,0.0535523333333333,5.43244932936412
"CLEC2D",6.249875,5.064785,2.855449,4.72336966666667,140,200,186,"Clec2h",0.105604,0,0.088655,3,0,5,0.064753,5.37530269148494
"CLEC2D",6.249875,5.064785,2.855449,4.72336966666667,140,200,186,"Clec2d",3.245491,3.230411,2.581363,46,45,70,3.01908833333333,1.4240467469198
"CLEC2L",10.030705,10.085625,17.05155,12.3892933333333,64,124,147,"Clec2l",26.908,35.097858,28.355367,260,314,527,30.1204083333333,0.430241569773747
"CLEC3A",0.24988,0.26612,0.348177,0.288059,4,6,8,"Clec3a",0,0,0,0,0,0,0,1.288059
"CLEC3B",0.392591,1.136809,0.764902,0.764767333333333,3,14,10,"Clec3b",1.722189,1.470078,2.050841,18,16,44,1.74770266666667,0.642270124326892
"CLEC4A",2.321899,2.61121,2.019067,2.317392,15,16,14,"Clec4a1",0.051965,0.211554,0.217353,1,4,8,0.160290666666667,2.85910427042419
"CLEC4C",0.054769,0,0,0.0182563333333333,1,0,0,"Clec4b2",0,0,0,0,0,0,0,1.01825633333333
"CLEC4C",0.054769,0,0,0.0182563333333333,1,0,0,"Clec4b1",0,0,0.083109,0,0,1,0.027703,0.990807979867076
"CLEC4C",0.054769,0,0,0.0182563333333333,1,0,0,"Clec4a4",0,0,0,0,0,0,0,1.01825633333333
"CLEC4C",0.054769,0,0,0.0182563333333333,1,0,0,"Clec4a3",1.201882,1.22329,1.461059,9,11,18,1.29541033333333,0.443605362643222
"CLEC4C",0.054769,0,0,0.0182563333333333,1,0,0,"Clec4a2",1.218936,2.036449,0.373244,9,6,12,1.209543,0.460844768955994
"CLEC4D",0.529687,0.150099,0.486757,0.388847666666667,14,6,12,"Clec4d",0,0,0,0,0,0,0,1.38884766666667
"CLEC4E",0.031566,0,0.065544,0.03237,1,0,3,"Clec4e",0,0,0,0,0,0,0,1.03237
"CLEC4F",0.13173,0.057384,0.159426,0.11618,4,3,8,"Clec4f",0,0.030648,0,0,1,0,0.010216,1.10489241904702
"CLEC4G",0.210373,0.189433,0.140311,0.180039,4,5,4,"Clec4g",0,0.241985,0.06474,0,2,2,0.102241666666667,1.07058101293576
"CLEC4M",0.021595,0,0.059459,0.027018,1,0,4,"Cd209f",0.102458,0,0.1623,1,0,4,0.0882526666666667,0.943731204579329
"CLEC4M",0.021595,0,0.059459,0.027018,1,0,4,"Cd209g",0.166764,0.232341,0.128291,1,4,5,0.175798666666667,0.873464164499818
"CLEC5A",0,0,0,0,0,0,0,"Clec5a",1.155682,1.670098,0.95445,18,21,31,1.26007666666667,0.442462866303945
"CLEC6A",0,0.031063,0.059626,0.0302296666666667,0,1,2,"Clec4n",0.590398,0.606232,0.310313,3,4,7,0.502314333333333,0.685761723633958
"CLEC7A",0.509842,0.125357,0.148987,0.261395333333333,13,2,4,"Clec7a",0,0.067498,0.138725,0,2,8,0.068741,1.18026288252564
"CLEC9A",0,0,0,0,0,0,0,"Clec9a",0.044141,0.022557,0.076353,2,1,6,0.0476836666666667,0.954486580077765
"CLGN",8.791585,8.63648,7.893422,8.44049566666667,355,495,471,"Clgn",2.585009,3.06449,2.471981,126,147,251,2.70716,2.54655738265051
"CLHC1",6.59969,9.147361,17.702061,11.149704,165,168,174,"Clhc1",0.164001,0,0.086314,2,0,4,0.0834383333333333,11.2140244868574
"CLIC1",75.479062,87.581734,87.513195,83.5246636666667,1171,1843,1959,"Clic1",4.623009,6.05518,6.337175,72,83,157,5.671788,12.668967249359
"CLIC3",0.126385,0.093384,0,0.0732563333333333,1,1,0,"Clic3",2.978115,1.212465,0.739098,11,8,11,1.643226,0.406040320931064
"CLIC4",12.40742,10.391975,9.910046,10.903147,772,961,872,"Clic4",20.42357,18.694963,19.524603,1171,1052,2149,19.547712,0.579293061923391
"CLIC5",0.289053,0.285913,0.265652,0.280206,28,38,33,"Clic5",2.026142,2.192464,1.73883,163,132,263,1.985812,0.428763096939794
"CLIC6",0.460375,0.110818,0.547151,0.372781333333333,24,8,47,"Clic6",2.114833,1.757443,3.589373,100,86,207,2.48721633333333,0.393661075801721
"CLINT1",23.138545,18.264479,19.22854,20.2105213333333,657,747,723,"Clint1",11.879117,12.250575,11.064893,569,561,1002,11.7315283333333,1.66598390845194
"CLIP1",51.035994,44.232986,45.555067,46.941349,2194,2747,2673,"Clip1",42.817993,37.720284,40.393102,1511,1391,2909,40.3104596666667,1.16051356936809
"CLIP2",50.908681,47.985017,46.889325,48.594341,2871,3905,3885,"Clip2",25.856123,25.944568,28.92223,1348,1385,2571,26.9076403333333,1.7770882958085
"CLIP3",131.563224,163.182057,127.481322,140.742201,4300,6144,6174,"Clip3",190.462562,228.077178,202.939285,3447,3993,6991,207.159675,0.680930160944957
"CLIP4",7.144448,5.154933,3.675149,5.32484333333333,284,341,341,"Clip4",31.30797,49.991299,37.277691,730,785,1284,39.5256533333333,0.156070113942642
"CLK1",53.219939,55.009128,53.115872,53.7816463333333,1060,1531,1234,"Clk1",67.258307,48.655246,73.898138,1108,698,2125,63.2705636666667,0.852359823969388
"CLK2",16.839129,13.259033,14.240884,14.779682,373,432,482,"Clk2",15.530613,20.125378,19.341611,242,221,509,18.332534,0.816224194924473
"CLK3",29.710734,25.701931,23.45655,26.2897383333333,448,605,541,"Clk3",43.373109,36.993714,39.223015,637,460,1177,39.8632793333333,0.667830354747675
"CLK4",7.536915,9.311926,7.634494,8.16111166666667,250,384,290,"Clk4",47.814619,30.938944,52.631407,624,419,1244,43.79499,0.204511970349065
"CLMN",2.193732,0.436166,0.369904,0.999934,132,68,99,"Clmn",7.212304,10.357107,8.291991,1176,987,2063,8.62046733333333,0.207883248360561
"CLMP",3.203147,2.990028,5.238657,3.81061066666667,170,246,292,"Clmp",7.412495,6.247569,5.401532,375,349,591,6.35386533333333,0.654160832244412
"CLN3",17.151136,19.502219,19.515474,18.722943,273,346,341,"Cln3",13.031583,10.239824,10.730978,114,101,228,11.3341283333333,1.59905446635399
"CLN5",4.960746,6.604546,4.900976,5.488756,222,388,302,"Cln5",4.065336,4.459784,7.169712,130,141,278,5.23161066666667,1.04126466608526
"CLN6",4.555804,4.67749,4.491676,4.57499,80,151,142,"Cln6",4.111206,3.715347,4.228826,74,96,151,4.01845966666667,1.11089664365142
"CLN8",8.316473,6.07109,5.939972,6.775845,630,635,666,"Cln8",14.483438,9.90206,9.01,353,332,584,11.1318326666667,0.640945619153226
"CLNK",0.147095,0.022936,0.123028,0.0976863333333333,3,2,5,"Clnk",0.138224,0.282797,0.193421,3,6,8,0.204814,0.911083647213041
"CLNS1A",288.53769,215.513236,271.360349,258.470425,838,1014,1206,"Clns1a",32.475514,42.160252,39.042154,510,532,909,37.89264,6.67145313354917
"CLOCK",2.710647,2.102707,1.846662,2.22000533333333,326,428,374,"Clock",10.932167,11.488813,10.751953,1368,1371,2465,11.0576443333333,0.267050946629072
"CLP1",6.198125,5.835062,3.551788,5.19499166666667,121,158,140,"Clp1",2.927584,3.069291,2.675588,68,70,119,2.890821,1.59220680331135
"CLPB",15.470197,10.641827,10.119033,12.077019,728,1018,965,"Clpb",17.98548,17.518877,14.934247,525,543,1044,16.812868,0.73413326815199
"CLPP",48.850156,68.934238,70.936289,62.9068943333333,308,541,584,"Clpp",21.875548,23.492038,19.821182,225,239,407,21.7295893333333,2.81161676069584
"CLPS",0,0,0,0,0,0,0,"Clps",0,0,0,0,0,0,0,1
"CLPSL2",0,0.6551,0,0.218366666666667,0,1,0,"Clpsl2",0,0,0,0,0,0,0,1.21836666666667
"CLPTM1",72.819102,86.499768,67.620847,75.6465723333333,1479,2159,2173,"Clptm1",81.818024,116.676913,133.824947,1327,1722,2781,110.773294666667,0.685732424385546
"CLPTM1L",74.375744,78.400312,84.333428,79.0364946666667,823,1064,1116,"Clptm1l",92.581464,78.973252,76.023273,980,977,1759,82.5259963333333,0.958222567585535
"CLPX",27.159082,21.788057,17.711368,22.2195023333333,578,813,749,"Clpx",15.151296,9.715415,10.289807,320,328,523,11.7188393333333,1.82559915451405
"CLRN1",0,0,0,0,0,0,0,"Clrn1",0.139268,0.145069,0.13985,5,5,7,0.141395666666667,0.876120375435103
"CLRN2",0,0,0,0,0,0,0,"Clrn2",0.191764,0.098194,0.302541,2,1,6,0.197499666666667,0.835073301342603
"CLRN3",0,0,0,0,0,0,0,"Clrn3",0,0,0,0,0,0,0,1
"CLSPN",0.325815,0.285272,0.256971,0.289352666666667,44,47,45,"Clspn",1.207263,2.143054,1.714415,47,70,103,1.688244,0.479626353361773
"CLSTN1",61.89641,63.745942,56.056393,60.5662483333333,4293,6005,5595,"Clstn1",261.92027,306.934568,256.089351,12246,13186,22371,274.981396333333,0.22308115384333
"CLSTN2",34.501831,31.934914,32.916943,33.117896,8216,10377,11328,"Clstn2",14.623714,14.744232,13.682737,876,867,1573,14.3502276666667,2.22263126911712
"CLSTN3",450.535901,446.804655,330.612175,409.317577,6203,7711,7255,"Clstn3",160.867667,168.028927,145.074611,3937,3736,6327,157.990401666667,2.58076948481617
"CLTA",120.663662,134.840087,120.129885,125.211211333333,1448,2147,2229,"Clta",83.563217,87.626068,83.991843,989,1070,2041,85.060376,1.46654264365907
"CLTB",90.886392,87.565533,98.258205,92.23671,992,1342,1658,"Cltb",87.107144,88.218284,87.437322,1070,1130,2077,87.5875833333333,1.05248056772441
"CLTC",226.838415,244.763865,219.10034,230.234206666667,9276,12533,12348,"Cltc",210.229611,201.542824,174.150847,8578,8457,15041,195.307760666667,1.17791678679125
"CLTRN",0.473873,0.533134,0.354295,0.453767333333333,9,16,11,"Cltrn",0.134458,0.139833,0.035984,2,2,1,0.103425,1.31750443694255
"CLU",385.341468,322.827471,335.744799,347.971246,1644,1820,2192,"Clu",344.629764,326.811286,316.065803,5868,5950,10847,329.168951,1.05694749595034
"CLUAP1",23.539071,25.162839,23.513399,24.0717696666667,387,515,527,"Cluap1",10.594699,12.786075,11.187005,214,247,410,11.522593,2.00212285639777
"CLUH",90.456232,78.618636,54.990908,74.688592,524,819,708,"Cluh",12.302873,14.790756,13.761949,888,1012,1863,13.618526,5.1775802840861
"CLVS1",9.760583,11.659447,12.973398,11.464476,321,522,514,"Clvs1",18.327448,17.618606,14.559602,637,729,1218,16.8352186666667,0.698868695302044
