"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"ABHD8",9.661101,10.705984,15.55678,11.9746216666667,265,375,569,"Abhd8",37.222072,31.595592,35.732559,2814,569,1151,34.8500743333333,0.361913382550588
"ABI1",25.555257,19.141618,16.288946,20.328607,935,970,821,"Abi1",73.499723,76.395454,73.837698,3519,880,1307,74.577625,0.282207955066066
"ABI2",43.432644,40.900572,32.384224,38.9058133333333,3163,4154,3817,"Abi2",33.5103,22.271769,32.250394,3171,695,1283,29.3441543333333,1.31510711733681
"ABI3",0.107534,0.068506,0,0.05868,1,1,0,"Abi3",0.648225,0.232863,1.080233,18,6,10,0.653773666666667,0.640160150895296
"ABI3BP",1.876574,1.343379,0.53984,1.25326433333333,21,26,23,"Abi3bp",1.766439,2.649653,2.136867,308,112,149,2.18431966666667,0.707612479023515
"ABITRAM",8.026917,12.043578,11.681156,10.5838836666667,142,241,232,"Abitram",3.739558,3.621243,4.375773,439,119,176,3.91219133333333,2.35819064865416
"ABL1",18.289946,25.341736,17.462119,20.3646003333333,1256,2037,1573,"Abl1",8.536541,8.902709,11.083969,1262,319,543,9.50773966666667,2.03322512843628
"ABL2",4.651018,3.942953,3.604234,4.06606833333333,834,1003,998,"Abl2",5.264426,4.654585,6.798877,2047,472,841,5.57262933333333,0.770782601057476
"ABLIM1",78.965193,95.017141,84.824801,86.269045,7302,12899,12481,"Ablim1",44.867705,42.117908,43.063424,9236,2061,3536,43.349679,1.96774919160069
"ABLIM2",29.024891,22.325349,27.889239,26.4131596666667,811,842,921,"Ablim2",27.7936,29.426839,21.693994,1532,345,560,26.304811,1.00396811633916
"ABLIM3",59.162438,43.070208,35.850085,46.027577,2210,2652,2304,"Ablim3",13.169178,12.081958,12.860354,2375,528,912,12.70383,3.43171047801965
"ABO",0.94183,1.656334,1.424069,1.34074433333333,43,107,83,"Abo",0.10168,0,0.037192,7,0,1,0.0462906666666667,2.23718361245696
"ABR",475.702567,515.55903,441.250144,477.503913666667,3442,4631,4703,"Abr",59.447352,52.550682,58.358209,10128,2156,3916,56.7854143333333,8.28070403556219
"ABRA",0.023562,0,0.016861,0.0134743333333333,1,0,1,"Abra",0.017227,0,0.044071,2,0,2,0.0204326666666667,0.993180997080323
