"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"ACAA2",13.144815,9.897038,9.823666,10.955173,271,275,335,"Acaa2",20.963765,13.131852,15.757114,326,408,95,16.617577,0.678593486493631
"ACACA",100.200507,77.444775,45.429501,74.358261,3946,4127,3502,"Acaca",22.195442,21.317759,10.804532,2827,4307,669,18.105911,3.94423804235244
"ACACB",5.011705,4.261474,2.549066,3.94074833333333,60,56,49,"Acacb",2.966425,2.245241,1.899891,253,405,100,2.370519,1.46587167535128
"ACAD10",12.856185,11.636386,10.582543,11.6917046666667,221,279,250,"Acad12",3.266996,2.897114,5.625146,122,192,60,3.929752,2.57451179423765
"ACAD10",12.856185,11.636386,10.582543,11.6917046666667,221,279,250,"Acad10",1.395235,2.376533,2.320622,85,127,26,2.03079666666667,4.18758038315558
"ACAD11",18.399625,10.629317,9.67092,12.899954,358,253,310,"Acad11",11.338964,9.925988,11.505482,562,777,163,10.923478,1.16576337877254
"ACAD8",23.137744,24.865645,22.47821,23.4938663333333,569,801,726,"Acad8",14.2754,12.586996,10.959902,352,475,104,12.6074326666667,1.80003582845826
"ACAD9",17.669058,19.626573,12.870046,16.7218923333333,447,569,481,"Acad9",41.203767,34.89229,35.359212,975,1301,247,37.1517563333333,0.464510524194391
"ACADL",0.160831,0.314712,0.317482,0.264341666666667,8,12,13,"Acadl",25.651733,24.871783,24.52402,840,1274,288,25.0158453333333,0.0485989077220836
"ACADM",31.655912,30.807253,30.544017,31.002394,568,773,686,"Acadm",58.745312,36.227401,29.691039,514,691,140,41.554584,0.752031649516301
"ACADS",3.004861,4.19166,2.473391,3.223304,78,146,97,"Acads",6.529714,5.634912,4.78439,176,254,53,5.649672,0.635114634225568
"ACADSB",3.572105,3.466148,3.181139,3.406464,336,406,350,"Acadsb",140.109473,139.144093,71.864677,1218,1759,269,117.039414333333,0.0373304461470515
"ACADVL",223.022625,188.605112,238.198574,216.608770333333,1342,1537,1988,"Acadvl",29.417193,26.697487,39.322243,974,1271,339,31.8123076666667,6.63192520757683
"ACAN",0.292759,0.315011,0.284229,0.297333,25,26,39,"Acan",4.519357,3.856825,3.878308,545,722,134,4.08483,0.255137929881628
"ACAP1",11.286318,12.913279,6.490646,10.230081,45,54,54,"Acap1",0.160375,0.198819,0.333643,9,13,3,0.230945666666667,9.12313297337521
"ACAP2",11.321554,4.989484,5.03907,7.11670266666667,561,490,425,"Acap2",24.012689,28.211964,19.001302,1829,3174,501,23.741985,0.32805381891011
"ACAP3",201.068487,222.065102,155.227804,192.787131,2075,3473,3111,"Acap3",20.471759,17.416901,14.26148,821,1057,290,17.38338,10.5414309555697
"ACAT1",109.114332,109.952951,112.925312,110.664198333333,760,1074,1157,"Acat1",41.162205,35.798947,46.975877,1423,1790,443,41.312343,2.63904549869369
"ACAT2",119.603573,70.690947,60.766009,83.686843,2428,1983,1817,"Acat2",40.665782,41.068989,46.124782,1183,1881,412,42.619851,1.94147483447387
"ACAT2",119.603573,70.690947,60.766009,83.686843,2428,1983,1817,"Acat3",1.375675,1.83732,0.479567,35,62,7,1.230854,37.9616250099738
"ACBD3",65.899098,64.268898,51.033552,60.400516,1039,1267,1242,"Acbd3",10.456161,8.817061,9.958128,748,956,223,9.74378333333333,5.71498084939042
"ACBD4",3.64765,3.399864,4.113433,3.72031566666667,75,106,119,"Acbd4",37.992496,31.489029,41.145971,339,368,124,36.875832,0.124626058819425
"ACBD5",28.434973,21.567845,22.642447,24.2150883333333,1235,1449,1480,"Acbd5",39.799716,34.501608,29.768931,1629,2629,472,34.690085,0.706501212685073
"ACBD6",45.008644,45.056697,44.61445,44.8932636666667,636,975,991,"Acbd6",35.28567,29.491404,43.187113,614,762,206,35.9880623333333,1.24075879544812
"ACBD7",1.034596,0.949647,0.691054,0.891765666666667,40,52,53,"Acbd7",0.916559,0.914463,0.98258,6,9,2,0.937867333333333,0.976210101757912
"ACCS",5.273883,5.411674,5.203006,5.29618766666667,72,100,76,"Accs",3.86236,2.573998,5.720381,126,178,54,4.05224633333333,1.24621549529882
"ACCSL",0,0,0,0,0,0,0,"Accsl",0.100077,0.118829,0.067827,4,3,1,0.0955776666666667,0.912760482825955
"ACD",12.408905,8.62736,10.509139,10.5151346666667,165,217,228,"Acd",11.708988,8.977386,15.558951,321,353,126,12.081775,0.880242525702106
"ACE",5.405634,2.557996,4.848241,4.27062366666667,108,104,195,"Ace",6.85104,5.450423,6.464917,583,638,164,6.25546,0.726435493637435
"ACE2",0.05341,0,0.099057,0.0508223333333333,1,0,1,"Ace2",0.703129,0.439627,0.086061,42,48,2,0.409605666666667,0.745472551779848
"ACER1",0.145606,0.072291,0.066789,0.0948953333333333,3,2,2,"Acer1",0.021691,0.013217,0,1,1,0,0.011636,1.08230167108855
"ACER2",0.989215,1.238033,0.764366,0.997204666666667,43,73,48,"Acer2",3.578901,3.612412,3.507171,293,419,95,3.56616133333333,0.437392488103063
"ACER3",5.100368,4.487993,5.453281,5.01388066666667,507,602,712,"Acer3",5.33321,5.297838,3.312498,588,759,160,4.64784866666667,1.0648091019436
"ACHE",150.826048,123.139185,143.64468,139.203304333333,4252,4881,6215,"Ache",133.05904,101.056948,116.214608,3230,4242,1133,116.776865333333,1.19041463649528
"ACIN1",80.771096,83.773455,54.064282,72.869611,1809,2688,1954,"Acin1",66.142631,56.196921,48.187616,1860,2205,484,56.8423893333333,1.27708436410372
"ACKR1",5.527193,8.511619,6.913666,6.98415933333333,150,313,243,"Ackr1",114.430787,96.035182,148.031874,588,717,265,119.499281,0.0662589790335208
"ACKR2",0.648149,0.227417,0.267559,0.381041666666667,15,14,12,"Ackr2",0.032776,0.296782,0.051631,2,4,1,0.127063,1.22534558109588
"ACKR3",1.953183,0.627658,0.254604,0.945148333333333,33,11,7,"Ackr3",1.888017,2.183048,2.652716,122,214,54,2.24126033333333,0.600120981745681
"ACKR4",0.058436,0.043248,0,0.0338946666666667,2,2,0,"Ackr4",0.090908,0.281831,0.055977,4,16,1,0.142905333333333,0.904619688536467
"ACLY",258.665498,200.768091,176.389823,211.941137333333,8902,9754,9291,"Acly",104.42968,115.808562,122.784102,7508,12430,2500,114.340781333333,1.84619121590599
"ACMSD",0.069346,0.050982,0.281347,0.133891666666667,2,2,7,"Acmsd",0.250152,0.082175,0.159311,10,6,2,0.163879333333333,0.974234728800638
"ACO1",12.481148,12.32891,11.425298,12.078452,956,1358,1328,"Aco1",9.548868,11.643803,10.725997,688,969,232,10.639556,1.12362121029359
"ACO2",69.325062,71.569862,65.685688,68.860204,2171,3126,3037,"Aco2",275.677282,225.355992,267.756615,9127,11839,3130,256.263296333333,0.271551383332517
"ACOD1",0,0,0,0,0,0,0,"Acod1",0.108795,0.012087,0,6,1,0,0.040294,0.961266718831407
"ACOT1",2.514575,1.663513,2.042674,2.07358733333333,51,52,55,"Acot3",0.234426,0.160951,0.355095,14,12,8,0.250157333333333,2.45856041586232
"ACOT1",2.514575,1.663513,2.042674,2.07358733333333,51,52,55,"Acot2",1.850343,1.867143,1.207003,80,121,16,1.64149633333333,1.16357811841243
"ACOT1",2.514575,1.663513,2.042674,2.07358733333333,51,52,55,"Acot1",9.050274,14.271405,12.906082,118,280,48,12.0759203333333,0.235057055639755
"ACOT1",2.514575,1.663513,2.042674,2.07358733333333,51,52,55,"Acot5",0.45798,0.176757,0.788994,13,7,7,0.474577,2.08438578204687
"ACOT11",1.059936,0.383645,0.558014,0.667198333333333,60,46,67,"Acot11",31.291213,30.108627,23.60258,1932,2643,500,28.33414,0.0568347438627256
"ACOT12",0.137311,0.78691,0.64326,0.522493666666667,4,17,11,"Acot12",0.079966,0.252288,0,4,14,0,0.110751333333333,1.37068812881611
"ACOT13",14.096614,5.754241,11.441671,10.430842,306,262,371,"Acot13",157.51678,116.485561,68.278891,489,681,163,114.093744,0.0993176657803399
"ACOT2",9.413227,10.383521,11.05022,10.2823226666667,97,146,165,"Acot1",9.050274,14.271405,12.906082,118,280,48,12.0759203333333,0.862832013277536
