"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"ACAN","Acan",1.886721,2.604057,2.264707,54,340,200,2.25182833333333,0.71233,1.18823,1.63863,1.17973,1.49184914339544
"ACAP1","Acap1",0,0.039392,0.070892,0,2,3,0.0367613333333333,120.28457,95.39005,24.71054,80.1283866666667,0.0127792672322339
"ACAP2","Acap2",22.737422,25.4554,28.768513,509,2068,1130,25.6537783333333,6.75886,7.87548,5.09068,6.57500666666667,3.51864750834103
"ACAT1","Acat1",27.981588,41.326883,51.020392,423,1692,1035,40.109621,91.26122,90.63713,80.1181,87.3388166666667,0.465363048218328
"ACAT2","Acat2",21.793864,27.314291,29.301711,186,906,543,26.136622,14.59451,10.77698,17.1073,14.1595966666667,1.79006226858718
"ACBD3","Acbd3",11.640037,11.430117,12.696939,265,965,610,11.9223643333333,8.61424,9.22951,9.74439,9.19604666666667,1.26738968109862
"ACBD5","Acbd5",36.358403,38.338337,37.022115,721,2219,1388,37.2396183333333,27.4496,28.9044,23.68367,26.6792233333333,1.38152786560606
"ACBD6","Acbd6",35.945392,35.894611,35.871149,188,692,414,35.9037173333333,159.59532,134.10426,263.79763,185.832403333333,0.197523109883098
"ACBD7","Acbd7",0.489517,0.389686,0.926633,1,3,4,0.601945333333333,60.8629,83.23141,60.76041,68.2849066666667,0.023121129989254
"ACCS","Accs",4.011864,4.156498,4.12503,21,102,76,4.09779733333333,16.40018,12.6284,11.6015,13.54336,0.350524042128733
"ACCSL","Accsl",0,0.036953,0.308815,0,2,4,0.115256,0,0.0829,0,0.0276333333333333,1.08526646988225
"ACD","Acd",12.505277,15.687622,17.331572,102,490,312,15.1748236666667,21.63499,14.56273,22.17613,19.45795,0.790637559807638
"ACE","Ace",7.222874,11.540329,13.795783,209,1077,644,10.8529953333333,35.79878,27.88197,7.51585,23.7322,0.479253577657197
"ACE2","Ace2",0.85973,0.864133,0.577398,15,60,28,0.767087,0.66263,0.829,0,0.49721,1.18025327108422
"ACE3P","Ace3",0,0,0,0,0,0,0,0,0,0,0,1
"ACER1","Acer1",0,0.018434,0.02977,0,1,1,0.016068,0.6295,0.3316,0.37142,0.444173333333333,0.703563745810752
"ACER2","Acer2",4.509376,2.843414,1.85398,75,244,99,3.06892333333333,1.95477,1.13296,1.42015,1.50262666666667,1.6258610952759
"ACER3","Acer3",5.509058,6.757561,6.453785,157,709,365,6.24013466666667,22.21479,21.27762,19.8602,21.1175366666667,0.327348148023115
"ACHE","Ache",62.86421,90.196685,78.823217,529,2718,1405,77.294704,124.93958,128.46708,62.90155,105.43607,0.735603108983637
"ACIN1","Acin1",53.375948,57.667286,55.722878,628,2276,1280,55.588704,84.9662,86.90664,82.0626,84.6451466666667,0.660734509805265
"ACLY","Acly",62.900693,84.057985,88.066181,1466,6929,3937,78.3416196666667,34.88766,21.19472,31.22137,29.10125,2.63582474703431
"ACMSD","Acmsd",0,0.12895,0.079902,0,6,3,0.0696173333333333,0.0497,0.2487,0,0.0994666666666667,0.972851079311181
"ACO1","Aco1",6.130113,9.373893,10.179954,158,755,490,8.56132,16.64867,16.08256,13.32753,15.35292,0.584685793118293
