"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"CLK3","Clk3",44.013252,40.545872,46.508148,234,1032,579,43.6890906666667,81.15564,81.15564,0.543956454683655
"CLK4","Clk4",29.056911,41.55718,32.050309,195,999,437,34.2214666666667,17.84096,17.84096,1.86940934361448
"CLMN","Clmn",13.653123,14.923535,16.03298,984,3562,2257,14.8698793333333,34.08454,34.08454,0.45233254685207
"CLMP","Clmp",9.402025,8.032368,7.94487,262,837,469,8.45975433333333,4.08683,4.08683,1.85965607919536
"CLN3","Cln3",6.35489,14.303921,13.381768,53,250,133,11.3468596666667,48.77222,48.77222,0.248067288673615
"CLN5","Cln5",21.30197,7.837208,9.346319,128,460,311,12.828499,19.97773,19.97773,0.659199017243524
"CLN8","Cln8",5.63601,15.680821,12.291888,202,788,403,11.2029063333333,22.77835,22.77835,0.513193990892275
"CLNK","Clnk",0.288429,0.100746,0.044492,3,4,1,0.144555666666667,0.29043,0.29043,0.886956802512858
"CLNS1A","Clns1a",50.754878,45.092051,37.245771,313,989,574,44.3642333333333,72.17292,72.17292,0.619959314638986
"CLOCK","Clock",11.896272,12.421684,13.037833,722,2886,1665,12.4519296666667,3.46447,3.46447,3.0131078642407
"CLP1","Clp1",2.427511,2.992788,3.931646,30,123,99,3.117315,1.80484,1.80484,1.46793221716747
"CLPB","Clpb",13.359771,20.178565,22.811049,283,1086,614,18.7831283333333,10.55936,10.55936,1.71143803232474
"CLPP","Clpp",33.988145,29.576387,28.386524,177,593,321,30.650352,30.12219,30.12219,1.01697059236513
"CLPS","Clps",0,0,0,0,0,0,0,0.74683,0.74683,0.572465551885415
"CLPSL2","Clpsl2",0,0,0,0,0,0,0,8.04918,8.04918,0.110507250380697
"CLPTM1","Clptm1",113.111733,121.247009,118.718773,739,3040,1711,117.692505,206.80997,206.80997,0.571158857296404
"CLPTM1L","Clptm1l",62.99228,60.932626,68.455505,393,1468,841,64.1268036666667,77.91938,77.91938,0.825232074386123
"CLPX","Clpx",18.133893,15.476567,16.782414,251,800,442,16.7976246666667,12.32271,12.32271,1.33588621734367
"CLRN1","Clrn1",0.579865,0.260825,0.45622,5,20,14,0.432303333333333,0,0,1.43230333333333
"CLRN3","Clrn3",0,0,0,0,0,0,0,0.49789,0.49789,0.66760576544339
"CLSPN","Clspn",1.137734,0.110137,0.220346,4,7,9,0.489405666666667,0.80907,0.80907,0.823299080006117
"CLSTN1","Clstn1",211.895456,215.427955,232.574356,4181,17500,10165,219.965922333333,201.56141,201.56141,1.09085892684758
"CLSTN2","Clstn2",12.610593,13.494741,14.59687,368,1490,912,13.5674013333333,5.26931,5.26931,2.32360520269907
"CLSTN3","Clstn3",170.413573,208.465889,227.516607,2336,10141,6171,202.132023,104.5771,104.5771,1.92401593716819
"CLTA","Clta",104.545266,100.015491,105.472008,646,2264,1356,103.344255,192.45422,192.45422,0.539374405996416
"CLTB","Cltb",137.55185,145.656475,150.315712,908,3131,1828,144.508012333333,263.40317,263.40317,0.550326277606026
"CLTC","Cltc",195.400961,219.789426,240.010063,4397,17069,10267,218.40015,111.21559,111.21559,1.955166389982
"CLU","Clu",352.263628,267.843216,297.362223,2641,9747,5762,305.823022333333,5398.28169,5398.28169,0.0568266373102184
"CLUAP1","Cluap1",13.66256,10.36241,12.764194,122,348,233,12.2630546666667,19.50059,19.50059,0.646959656608257
"CLVS1","Clvs1",24.597373,28.594248,27.758786,520,1984,1243,26.983469,25.62045,25.62045,1.05120195188286
"CLVS2","Clvs2",9.52938,7.798956,7.997637,97,325,206,8.441991,2.40646,2.40646,2.77178977589638
"CLYBL","Clybl",10.980122,13.794372,14.875634,77,367,226,13.2167093333333,18.96121,18.96121,0.712216811171935
"CMA1","Cma1",0,0,0,0,0,0,0,0,0,1
"CMAHP","Cmah",0.29481,0.559092,0.412341,19,89,57,0.422081,5.0826,5.0826,0.233794923223621
"CMAS","Cmas",40.112677,38.781358,37.480123,422,1463,787,38.791386,49.06265,49.06265,0.794831795759913
"CMBL","Cmbl",7.851386,8.075524,9.297565,37,162,107,8.40815833333333,17.73724,17.73724,0.502110147136576
"CMC1","Cmc1",20.442383,18.045426,20.379765,96,298,183,19.6225246666667,232.63788,232.63788,0.088267042427652
"CMC2","Cmc2",9.23775,12.182354,16.393708,41,188,118,12.604604,139.61592,139.61592,0.0967500977129759
"CMIP","Cmip",24.994627,26.508586,24.06497,384,1578,798,25.1893943333333,37.48677,37.48677,0.680477845590402
"CMKLR1","Cmklr1",0.969904,2.815501,1.411399,13,68,32,1.732268,1.86708,1.86708,0.952979337862913
"CMPK1","Cmpk1",45.999321,39.297263,39.802668,460,1534,895,41.6997506666667,49.43607,49.43607,0.84661137687109
"CMPK2","Cmpk2",11.902286,17.418975,16.783738,118,481,289,15.368333,4.14906,4.14906,3.17889731329602
"CMTM2","Cmtm2b",0,0,0,0,0,0,0,0.66385,0.66385,0.601015716560988
"CMTM3","Cmtm3",8.249164,4.664594,4.882831,43,139,97,5.93219633333333,22.94431,22.94431,0.289513305387933
"CMTM4","Cmtm4",13.462135,13.671507,14.664943,720,2753,1672,13.9328616666667,28.77374,28.77374,0.501544705726142
"CMTM5","Cmtm5",61.813202,79.480315,84.951444,238,1169,674,75.414987,305.82732,305.82732,0.249048836329177
"CMTM6","Cmtm6",6.108352,9.403315,10.255166,138,505,321,8.58894433333333,7.30235,7.30235,1.15496748912457
"CMTM7","Cmtm7",2.877927,1.11879,3.234713,14,25,33,2.41047666666667,5.87092,5.87092,0.496363902747618
"CMTM8","Cmtm8",1.057241,1.092404,1.336425,7,27,18,1.16202333333333,11.22321,11.22321,0.176878523181172
"CMYA5","Cmya5",1.200541,1.100732,1.417218,100,347,253,1.239497,7.94545,7.94545,0.250350401600814
"CNBP","Cnbp",99.564039,111.974569,123.557616,934,3897,2499,111.698741333333,131.546,131.546,0.850261353291184
"CNDP1","Cndp1",0.152038,0.515913,0.456661,3,8,9,0.374870666666667,333.89572,333.89572,0.00410536947640497
"CNDP2","Cndp2",41.587091,46.626098,50.12438,238,920,610,46.112523,210.14997,210.14997,0.223123512638908
"CNEP1R1","Cnep1r1",17.100657,17.549561,17.83284,173,617,393,17.4943526666667,13.42221,13.42221,1.28235219613822
"CNFN","Cnfn",0,0,0.457646,0,0,2,0.152548666666667,5.18633,5.18633,0.186305720300512
"CNGA1","Cnga1",0.085693,0.065738,0.032739,1,4,1,0.06139,1.3277,1.3277,0.455982300124587
"CNGA2","Cnga2",0,0.013046,0.046065,0,1,2,0.0197036666666667,0,0,1.01970366666667
"CNGA3","Cnga3",0,0.098907,0.16874,0,7,9,0.0892156666666667,0.56012,0.56012,0.698161466212001
"CNGA4","Cnga4",0.160727,0.146388,0.115108,2,9,4,0.140741,1.12025,1.12025,0.538021931376017
"CNGB3","Cngb3",0.030826,0,0.014653,1,0,1,0.0151596666666667,0,0,1.01515966666667
"CNIH2","Cnih2",14.182015,16.928013,20.724212,104,453,314,17.27808,124.40961,124.40961,0.145747044425064
"CNIH3","Cnih3",5.761485,4.61243,5.053037,45,197,148,5.14231733333333,40.95124,40.95124,0.14641563237066
"CNIH4","Cnih4",25.124311,15.23705,18.576325,269,867,510,19.6458953333333,15.04035,15.04035,1.28712249628801
"CNKSR2","Cnksr2",13.962174,15.428534,16.555659,514,2110,1299,15.3154556666667,14.06532,14.06532,1.08298102308259
"CNKSR3","Cnksr3",9.633107,9.282181,8.895242,221,782,430,9.27017666666667,14.16905,14.16905,0.677048112219728
"CNN1","Cnn1",2.238659,0.551151,0.324437,6,11,6,1.03808233333333,23.4422,23.4422,0.0833837515990105
"CNN2","Cnn2",5.240127,4.570052,3.769362,50,180,111,4.52651366666667,11.99079,11.99079,0.425417828066397
"CNN3","Cnn3",323.729065,326.814168,289.593922,586,2251,1297,313.379051666667,119.30626,119.30626,2.61315622035517
"CNNM1","Cnnm1",29.038102,45.231296,38.676217,707,2938,1817,37.6485383333333,3.83788,3.83788,7.98873439054572
"CNNM2","Cnnm2",9.632587,10.477793,12.038296,208,823,554,10.7162253333333,5.58049,5.58049,1.78044877103883
"CNNM3","Cnnm3",14.006614,16.789526,11.010793,211,823,451,13.9356443333333,22.92356,22.92356,0.624306931465607
"CNNM4","Cnnm4",3.136077,3.414205,3.715174,97,402,247,3.42181866666667,9.89551,9.89551,0.405838613031117
"CNOT1","Cnot1",50.148675,43.970781,55.151154,813,3048,1968,49.75687,27.4253,27.4253,1.78562301893032
"CNOT10","Cnot10",14.695768,17.775797,16.922239,234,1015,531,16.4646013333333,30.78604,30.78604,0.549442501592943
"CNOT2","Cnot2",51.446087,43.330659,63.519982,371,1320,838,52.765576,35.32926,35.32926,1.47995241301364
"CNOT3","Cnot3",21.8368,24.797031,26.398319,165,787,451,24.34405,43.91782,43.91782,0.564231523257362
"CNOT4","Cnot4",9.037875,11.352957,8.245532,201,675,381,9.54545466666667,15.66271,15.66271,0.632877525124464
"CNOT6","Cnot6",13.90205,14.852931,14.761433,392,1551,986,14.5054713333333,8.85825,8.85825,1.5728421711088
"CNOT6L","Cnot6l",14.264482,22.549905,34.262829,441,1430,873,23.6924053333333,3.19478,3.19478,5.8864601560352
"CNOT7","Cnot7",120.905161,116.321775,122.144102,449,1585,952,119.790346,19.64581,19.64581,5.85059854759876
"CNOT8","Cnot8",49.774764,62.875072,112.40875,255,871,568,75.0195286666667,25.47524,25.47524,2.87134426984105
"CNP","Cnp",295.905756,333.816237,335.882723,2792,11830,6661,321.868238666667,2053.43278,2053.43278,0.157156876491557
"CNPPD1","Cnppd1",15.899279,14.057578,15.273186,116,554,278,15.076681,56.63469,56.63469,0.278941050953861
"CNPY1","Cnpy1",57.701522,50.127445,52.624186,621,2330,1467,53.4843843333333,0.66385,0.66385,32.7459712914826
"CNPY2","Cnpy2",27.432394,28.317172,28.603806,100,388,230,28.1177906666667,124.11917,124.11917,0.232720458956582
"CNPY3","Cnpy3",17.004282,19.28335,19.418362,203,775,450,18.5686646666667,41.20018,41.20018,0.463710454947507
"CNPY4","Cnpy4",5.466545,5.61552,5.863925,63,199,128,5.64866333333333,18.69152,18.69152,0.337640940533455
"CNR1","Cnr1",44.929057,42.399016,51.727739,1755,6078,4088,46.3519373333333,7.21937,7.21937,5.76101785578862
"CNR2","Cnr2",0.079419,0.031218,0.018625,2,3,1,0.0430873333333333,0.31118,0.31118,0.795533285539234
"CNRIP1","Cnrip1",17.572427,17.900414,19.232584,174,687,420,18.2351416666667,43.62738,43.62738,0.431016601616915
"CNST","Cnst",24.581166,18.24892,20.19803,476,1578,1029,21.009372,5.68421,5.68421,3.29274095218433
"CNTD1","Cntd1",0.252615,0.092368,0.260129,1,3,5,0.201704,1.49366,1.49366,0.481903707802988
"CNTF","Cntf",2.040261,1.517736,0.867099,12,34,11,1.475032,1.86708,1.86708,0.863258785942492
"CNTFR","Cntfr",41.683195,41.896704,42.140168,494,1833,1066,41.906689,34.64466,34.64466,1.2037339954989
"CNTLN","Cntln",2.481045,3.127782,2.812326,85,335,197,2.807051,2.90434,2.90434,0.975081832012581
"CNTN1","Cntn1",72.398073,74.115744,80.666625,2651,10079,6108,75.726814,94.26668,94.26668,0.805389817300236
"CNTN2","Cntn2",38.99413,48.552922,46.887665,1815,8084,4654,44.8115723333333,200.047,200.047,0.22786498845212
"CNTN3","Cntn3",2.559021,2.403567,2.541116,91,312,189,2.50123466666667,5.35229,5.35229,0.551176767223579
"CNTN4","Cntn4",18.435735,12.144378,13.153085,251,900,549,14.5777326666667,18.5878,18.5878,0.79527729845448
"CNTN5","Cntn5",0.550027,0.903833,0.542537,15,76,33,0.665465666666667,4.60546,4.60546,0.297114896309432
"CNTN6","Cntn6",11.448816,11.299176,11.460241,273,1014,580,11.4027443333333,7.0534,7.0534,1.54006312033841
"CNTNAP1","Cntnap1",36.219374,41.73229,45.193879,1341,5888,3638,41.0485143333333,31.32541,31.32541,1.30078827564239
"CNTNAP2","Cntnap2",39.547108,55.719923,47.402658,649,3072,1716,47.556563,51.01271,51.01271,0.933551876070291
"CNTNAP4","Cntnap4",9.688594,10.341893,13.328262,318,1280,742,11.119583,271.22415,271.22415,0.0445206018643092
"CNTNAP5","Cntnap5a",2.693707,3.315583,3.065579,208,957,501,3.02495633333333,10.95352,10.95352,0.33671724591027
"CNTRL","Cntrl",3.445567,3.235574,3.265158,77,311,151,3.315433,5.10335,5.10335,0.70705972949282
"CNTROB","Cntrob",10.061194,10.397275,5.318111,55,280,127,8.59219333333333,43.29546,43.29546,0.216550258950541
"COA3","Coa3",147.11689,129.575142,122.118044,202,775,438,132.936692,93.2709,93.2709,1.42076390487414
"COA5","Coa5",17.70731,17.63228,17.452934,460,1715,962,17.597508,43.41993,43.41993,0.418674860586228
"COASY","Coasy",7.975258,10.360505,10.079921,96,421,215,9.47189466666667,37.25857,37.25857,0.27371369778501
"COBL","Cobl",4.598818,5.21666,3.891582,110,530,267,4.56902,279.89569,279.89569,0.0198259360974887
"COBLL1","Cobll1",6.224296,6.948255,6.888059,114,494,325,6.68687,8.89974,8.89974,0.776471907343021
"COCH","Coch",3.19977,3.658437,3.756657,51,222,113,3.538288,2.36497,2.36497,1.34868602097493
"COG1","Cog1",14.120419,19.167145,17.313017,176,834,474,16.8668603333333,63.35617,63.35617,0.277624668051771
"COG2","Cog2",10.559572,11.792097,11.711475,132,672,369,11.3543813333333,13.4637,13.4637,0.854164655885654
"COG3","Cog3",7.401291,9.054875,8.362846,214,884,514,8.273004,10.66309,10.66309,0.795072660847168
"COG4","Cog4",28.271836,25.476773,22.82275,277,1082,605,25.5237863333333,44.62316,44.62316,0.581366707903033
"COG5","Cog5",17.855648,20.374185,20.167038,321,1163,690,19.4656236666667,18.65003,18.65003,1.04150597564821
"COG6","Cog6",19.453593,14.780836,13.402143,280,975,569,15.8788573333333,8.46409,8.46409,1.78346331589549
"COG7","Cog7",10.350019,11.627796,12.018974,199,852,498,11.332263,43.81409,43.81409,0.275187178853794
"COG8","Cog8",12.969092,11.936806,10.355784,204,638,398,11.753894,16.03612,16.03612,0.748638422363778
"COIL","Coil",6.136376,7.229132,6.675241,104,411,227,6.68024966666667,6.07838,6.07838,1.08502929578048
"COL10A1","Col10a1",0.095732,0.0127,0.022523,2,1,1,0.0436516666666667,0,0,1.04365166666667
"COL11A1","Col11a1",1.715789,4.104369,2.45904,47,400,129,2.75973266666667,13.48445,13.48445,0.25957027478894
"COL11A2","Col11a2",10.079417,10.747858,6.584759,92,591,281,9.13734466666667,9.64657,9.64657,0.95217001031005
"COL12A1","Col12a1",1.378285,3.022388,1.812592,44,241,131,2.07108833333333,5.70496,5.70496,0.458032312397588
"COL13A1","Col13a1",0.88896,0.744534,0.971851,12,51,24,0.868448333333333,0.56012,0.56012,1.19763116512405
"COL14A1","Col14a1",1.101811,0.280252,0.21089,8,34,16,0.530984333333333,2.15751,2.15751,0.484870778978794
"COL15A1","Col15a1",4.95208,4.774116,1.325245,43,135,69,3.68381366666667,3.31925,3.31925,1.08440439119446
"COL16A1","Col16a1",16.927853,13.773772,15.483472,61,438,207,15.3950323333333,409.40864,409.40864,0.0399480681823203
"COL17A1","Col17a1",1.608846,0.440819,1.1341,20,47,43,1.061255,5.16558,5.16558,0.334316479552613
"COL18A1","Col18a1",8.583,11.409864,11.281567,241,1157,769,10.4248103333333,54.47718,54.47718,0.205937113842725
"COL19A1","Col19a1",1.616874,1.543511,1.726853,56,188,119,1.62907933333333,0.08298,0.08298,2.42763424378413
"COL1A1","Col1a1",1.139879,2.86238,2.264417,49,227,137,2.088892,9.75029,9.75029,0.287331039441727
"COL1A2","Col1a2",11.591743,6.321838,5.644811,198,783,433,7.85279733333333,23.06878,23.06878,0.367812466329134
"COL20A1","Col20a1",0.454261,2.011199,0.990911,14,67,37,1.15212366666667,43.10875,43.10875,0.0487913093584984
"COL23A1","Col23a1",4.946714,3.576784,2.341162,65,276,134,3.62155333333333,0.89205,0.89205,2.44261691463404
"COL24A1","Col24a1",0.377554,0.648172,0.350475,11,111,36,0.458733666666667,7.36458,7.36458,0.174394131763539
"COL25A1","Col25a1",2.765751,3.907832,3.307592,111,543,268,3.32705833333333,0.95428,0.95428,2.21414451016913
"COL27A1","Col27a1",0.894095,2.403036,2.058291,44,326,172,1.78514066666667,4.56397,4.56397,0.500567160977983
"COL28A1","Col28a1",0.2802,0.101075,0.130179,5,11,8,0.170484666666667,4.4395,4.4395,0.215182400343169
"COL2A1","Col2a1",1.683513,0.643589,1.184569,9,71,40,1.170557,0.12447,0.12447,1.93029338266028
"COL3A1","Col3a1",4.388524,2.909153,5.092597,39,154,74,4.13009133333333,5.74645,5.74645,0.760413452013034
"COL4A1","Col4a1",8.94568,16.088262,15.247195,157,623,324,13.4270456666667,4.72993,4.72993,2.51783977582041
"COL4A2","Col4a2",5.306275,5.426486,5.842516,154,677,347,5.52509233333333,26.80294,26.80294,0.234690731747554
"COL4A3","Col4a3",0.51115,0.248911,0.205512,8,41,26,0.321857666666667,1.70112,1.70112,0.489373914030723
"COL4A4","Col4a4",0.069355,0.360594,0.20257,5,69,31,0.210839666666667,0.53938,0.53938,0.786576197343519
"COL5A1","Col5a1",1.344821,2.542311,2.143867,57,347,177,2.010333,1.99155,1.99155,1.00627868496264
"COL5A2","Col5a2",0.522584,2.823664,0.641571,24,133,61,1.329273,2.05379,2.05379,0.76274825708382
"COL6A1","Col6a1",1.674672,1.741572,1.54552,47,186,93,1.65392133333333,42.85981,42.85981,0.0605091844523114
"COL6A2","Col6a2",1.189298,1.159467,1.087939,33,121,65,1.145568,30.01846,30.01846,0.0691706809428966
"COL6A4P2","Col6a4",1.101812,0.188422,0.424027,2,19,14,0.571420333333333,0.6431,0.6431,0.956375347412411
"COL6A5","Col6a5",0.030809,0.139237,0.245763,2,16,13,0.138603,0,0,1.138603
"COL6A6","Col6a6",0,0.146549,0.060381,0,17,8,0.0689766666666667,0.06224,0.06224,1.00634194406788
"COL7A1","Col7a1",0.630547,1.467376,8.994039,9,90,54,3.69732066666667,21.80332,21.80332,0.205992840808561
"COL8A1","Col8a1",1.068453,1.296098,1.732299,38,172,130,1.36561666666667,3.54745,3.54745,0.52020729566387
"COL8A2","Col8a2",1.465175,2.10284,2.78881,35,233,133,2.11894166666667,2.05379,2.05379,1.02133469120885
"COL9A1","Col9a1",0,0.154208,0.091442,0,12,4,0.0818833333333333,25.82791,25.82791,0.0403267840593372
"COL9A2","Col9a2",6.561608,6.289252,5.215769,63,253,119,6.02220966666667,196.20912,196.20912,0.0356079357114248
"COLEC10","Colec10",0,0.017217,0,0,2,0,0.005739,0.2282,0.2282,0.818872333496173
"COLEC11","Colec11",0.654177,0.397717,0.364266,5,9,6,0.472053333333333,1.59739,1.59739,0.566743282038251
"COLEC12","Colec12",6.596151,5.106778,5.941314,136,526,323,5.88141433333333,11.97004,11.97004,0.530562306155828
"COLQ","Colq",1.378577,1.885615,2.136631,26,135,86,1.80027433333333,3.90012,3.90012,0.571470562625677
"COMMD1","Commd1",47.008052,49.385555,51.511366,98,383,222,49.3016576666667,419.51161,419.51161,0.119620140016269
"COMMD10","Commd10",14.177877,10.398289,12.364332,78,282,176,12.3134993333333,65.32697,65.32697,0.200725275605584
"COMMD2","Commd2",11.077375,7.678915,7.42,81,217,130,8.72543,11.34768,11.34768,0.787632170577793
"COMMD3","Commd3",70.336509,64.83928,59.987538,174,687,350,65.0544423333333,93.91401,93.91401,0.695939854752036
"COMMD4","Commd4",112.937406,120.988643,95.313262,114,464,270,109.746437,101.58977,101.58977,1.07950760587532
"COMMD5","Commd5",7.435689,11.940674,9.186837,44,252,114,9.52106666666667,18.33885,18.33885,0.544037865057471
"COMMD6","Commd6",25.477962,30.300645,32.628297,125,468,261,29.468968,92.3996,92.3996,0.326221611227457
"COMMD7","Commd7",5.664308,8.604103,8.287775,91,400,211,7.51872866666667,22.59164,22.59164,0.361090990989464
"COMMD8","Commd8",38.44911,50.969709,55.988168,166,657,407,48.4689956666667,17.59202,17.59202,2.66076497694531
"COMMD9","Commd9",35.755905,24.910394,24.798872,88,409,190,28.4883903333333,89.2878,89.2878,0.326604373274499
"COMP","Comp",1.07131,1.761773,2.101309,9,32,34,1.64479733333333,2.69689,2.69689,0.715411422393778
"COMT","Comt",28.619836,29.510235,32.108258,301,1125,677,30.079443,316.42818,316.42818,0.0979101571889427
"COMTD1","Comtd1",13.701474,14.316964,14.244569,41,153,88,14.087669,6.4103,6.4103,2.03604024128578
"COPA","Copa",53.720783,60.038963,69.781429,1367,5587,3268,61.1803916666667,54.62239,54.62239,1.11790219130582
"COPB1","Copb1",19.133751,25.38939,26.240162,425,1572,960,23.5877676666667,28.5248,28.5248,0.832783546939071
"COPB2","Copb2",40.453061,33.388567,41.577598,592,2287,1356,38.4730753333333,36.0346,36.0346,1.06584316648035
"COPE","Cope",92.230634,109.088528,102.270204,302,1306,739,101.196455333333,186.70777,186.70777,0.544444459242861
"COPG1","Copg1",136.60754,138.912331,132.927791,1631,6687,3772,136.149220666667,75.94857,75.94857,1.78234918032482
"COPG2","Copg2",32.455218,44.551326,41.208002,559,2180,1301,39.4048486666667,70.72075,70.72075,0.56336344316905
"COPS2","Cops2",51.348046,47.541268,62.354695,542,2398,1426,53.748003,24.12679,24.12679,2.17886976410437
"COPS3","Cops3",69.111871,48.894162,58.437493,370,1188,724,58.8145086666667,52.71383,52.71383,1.11357742813474
"COPS4","Cops4",50.369865,42.265293,46.501663,319,1264,761,46.3789403333333,23.62891,23.62891,1.92371243117675
"COPS5","Cops5",52.169751,59.726334,56.619412,311,1278,693,56.1718323333333,38.81447,38.81447,1.43595613186194
"COPS6","Cops6",63.815726,66.872476,70.130697,402,1617,954,66.939633,217.92946,217.92946,0.310326591039872
"COPS7A","Cops7a",82.105111,83.162542,96.675253,429,1598,1007,87.314302,75.42994,75.42994,1.15549354088202
"COPS7B","Cops7b",10.329483,19.583803,26.54153,63,272,129,18.818272,81.17639,81.17639,0.241167469147769
"COPS8","Cops8",119.220443,106.616891,123.718025,378,1387,863,116.518453,89.26706,89.26706,1.30189742526233
"COPZ1","Copz1",27.547803,27.413444,30.092147,281,1082,666,28.3511313333333,38.75223,38.75223,0.738351819088724
"COPZ2","Copz2",4.636229,4.354237,7.548155,20,69,47,5.51287366666667,56.53096,56.53096,0.113206413845113
"COQ10B","Coq10b",15.099009,13.74008,13.585371,154,531,305,14.1414866666667,20.08146,20.08146,0.718237098695568
"COQ2","Coq2",22.427833,21.99404,22.535715,225,796,444,22.319196,3.31925,3.31925,5.39889934595127
"COQ3","Coq3",4.95039,5.986017,5.718615,75,388,210,5.551674,11.36843,11.36843,0.529709429571902
"COQ4","Coq4",43.958438,20.901395,15.681737,42,152,94,26.84719,48.12911,48.12911,0.566816496370482
"COQ5","Coq5",17.833149,18.509094,20.47754,187,650,384,18.9399276666667,29.97697,29.97697,0.64370168117368
"COQ6","Coq6",28.073213,22.965961,26.36606,62,350,165,25.8017446666667,25.57896,25.57896,1.00838199337621
"COQ7","Coq7",21.649294,23.419962,19.501728,105,433,208,21.5236613333333,17.59202,17.59202,1.21146929345673
"COQ9","Coq9",183.255218,147.977503,143.98654,252,1014,576,158.406420333333,55.34848,55.34848,2.82893913612813
"CORIN","Corin",1.269368,1.664275,1.528331,34,144,104,1.48732466666667,1.22397,1.22397,1.11841646544992
"CORO1A","Coro1a",48.232235,39.239011,40.379019,151,674,405,42.616755,76.86136,76.86136,0.560184859344866
"CORO1B","Coro1b",95.658502,97.412665,86.201667,292,1210,685,93.0909446666667,106.75535,106.75535,0.873190469583799
"CORO1C","Coro1c",230.340581,253.110502,331.033466,445,2059,1176,271.494849666667,60.01617,60.01617,4.46594484161603
"CORO2A","Coro2a",9.805453,9.5941,9.733241,173,599,353,9.71093133333333,1.38994,1.38994,4.4816737379739
"CORO2B","Coro2b",84.818627,107.243532,134.560647,1018,4147,2680,108.874268666667,81.11415,81.11415,1.33806741793792
"CORO6","Coro6",13.189542,17.726604,17.02446,165,874,407,15.980202,27.28008,27.28008,0.600429772475891
"CORT","Cort",0,0,0,0,0,0,0,7.44757,7.44757,0.11837723747776
"COTL1","Cotl1",366.231036,411.111351,427.048494,336,1351,794,401.463627,81.15564,81.15564,4.89879486058413
"COX10","Cox10",5.291425,6.13708,6.111051,102,445,254,5.84651866666667,4.46024,4.46024,1.25388603187161
"COX11","Cox11",14.245814,13.305938,12.996426,88,289,170,13.5160593333333,45.95086,45.95086,0.309175579176469
"COX14","Cox14",32.697902,22.738804,20.134574,250,803,468,25.1904266666667,108.22827,108.22827,0.239776997902344
"COX15","Cox15",10.513469,12.929075,10.813523,168,634,365,11.418689,21.28469,21.28469,0.557274478576996
"COX16","Cox16",26.794531,30.995525,33.008081,77,281,156,30.2660456666667,69.22709,69.22709,0.44521345917461
"COX17","Cox17",325.593472,272.964039,253.506552,177,538,312,284.021354333333,55.78413,55.78413,5.01938401333847
"COX18","Cox18",9.792277,8.821208,8.560953,32,149,89,9.058146,10.49713,10.49713,0.874839720869469
"COX19","Cox19",41.421292,29.721895,25.614657,107,418,243,32.2526146666667,11.57588,11.57588,2.64415807614788
"COX20","Cox20",51.108709,41.145332,37.324623,82,248,127,43.192888,30.10144,30.10144,1.4209273911433
"COX4I1","Cox4i1",845.294121,909.784735,908.663492,1858,7039,4156,887.914116,1344.25444,1344.25444,0.660777686041311
"COX4I2","Cox4i2",2.028688,1.73905,2.14951,7,23,16,1.972416,3.33999,3.33999,0.684890057350362
"COX5A","Cox5a",251.646257,235.27662,245.930038,722,2533,1499,244.284305,204.85991,204.85991,1.19151079488959
"COX5B","Cox5b",661.627559,696.161613,706.823356,565,2251,1299,688.204176,301.57454,301.57454,2.27779963244759
"COX6A1","Cox6a1",267.356906,289.049783,294.942525,631,2502,1445,283.783071333333,622.04805,622.04805,0.457080431169528
"COX6A2","Cox6a2",1.277061,0.923319,1.045375,4,11,7,1.08191833333333,12.09451,12.09451,0.158991694483668
"COX6B1","Cox6b1",954.739918,1040.673251,1062.203241,632,2481,1442,1019.20547,291.09816,291.09816,3.49268023461702
"COX6B2","Cox6b2",3.325794,13.112778,13.343603,4,70,34,9.92739166666667,3.13254,3.13254,2.64423131213894
"COX6C","Cox6c",237.160978,299.680194,263.091411,403,2066,1041,266.644194333333,506.78712,506.78712,0.527079525635336
"COX7A1","Cox7a1",8.607903,14.698817,12.578373,9,58,28,11.9616976666667,198.15918,198.15918,0.0650820999899009
"COX7A2","Cox7a2",430.468309,405.890567,430.290627,582,2065,1243,422.216501,1126.36647,1126.36647,0.375402774751674
"COX7A2L","Cox7a2l",125.061872,128.560772,133.50153,579,2338,1346,129.041391333333,169.61363,169.61363,0.762198139347562
"COX7B","Cox7b",448.784584,445.460467,495.150254,530,2043,1132,463.131768333333,147.12572,147.12572,3.13336379619511
"COX7C","Cox7c",287.606775,248.167722,243.500603,162,501,286,259.758366666667,1068.36259,1068.36259,0.243844668875752
"COX8A","Cox8a",360.259352,367.993501,426.973773,813,3072,2022,385.075542,434.88388,434.88388,0.885730259169025
"COX8C","Cox8c",0,0,0,0,0,0,0,0.6846,0.6846,0.593612727056868
"CP","Cp",19.034871,14.290361,14.746305,157,581,298,16.0238456666667,9.64657,9.64657,1.5989981436901
"CPA1","Cpa1",0,0,0,0,0,0,0,0,0,1
"CPA2","Cpa2",4.65578,4.525905,4.186988,11,42,24,4.45622433333333,1.45217,1.45217,2.22505957308561
"CPA3","Cpa3",0,0,0,0,0,0,0,0,0,1
"CPA4","Cpa4",0.056006,0.102931,0.077921,1,7,3,0.0789526666666667,2.07453,2.07453,0.350932554460899
